Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1652369/,Белгородская область,Начальник ОГИБДД подозревается в превышении должностных полномочий,['превышение полномочий'],02 Мая 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Белгородской области возбуждено уголовное дело в отношении начальника ОГИБДД ОМВД России по Краснояружскому району, подозреваемого в совершении преступления, предусмотренного ч.1 ст.286 УК РФ (превышение должностных полномочий).
 
По версии следствия, в декабре 2021 года подозреваемый, обладая организационно-распорядительными полномочиями, по телефону дал указание подчиненным ему сотрудникам не составлять в отношении водителя транспортного средства протокол об административном правонарушении, что позволило нарушителю незаконно избежать административной ответственности за выезд на встречную полосу. Преступление было выявлено сотрудниками УФСБ России по Белгородской области и подразделения собственной безопасности УМВД России по Белгородской области.
 
В настоящее время проводится комплекс следственных и процессуальных действий, направленный на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается.
 
При полном или частичном использовании информации ссылка на СУ СК России по Белгородской области обязательна."
/news/item/1408678/,Белгородская область,Житель Нового Оскола предстанет перед судом по обвинению в хищении и попытке дать взятку полицейскому,"['взятка', 'кража', 'покушение']",18 Апреля 2024,"Новооскольским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Белгородской области завершено расследование уголовного дела по обвинению 30-летнего жителя Нового Оскола в совершении преступлений, предусмотренных ч.1 ст.158, ч.3 ст.30 ч.3 ст.291 УК РФ (кража, покушение на дачу взятки).
 
По версии следствия, в сентябре 2019 года обвиняемый, на улице Нового Оскола тайно слил из автомобиля КАМАЗ 60 литров дизельного топлива, которым распорядился по своему усмотрению. Однако, уже 29 сентября в отношении него было возбуждено уголовное дело за совершение кражи. 8 октября 2019 года он был приглашен в группу дознания ОМВД России по Новооскольскому городскому округу для дачи показаний. Желая избежать уголовной ответственности за хищение, обвиняемый пытался передать должностному лицу взятку в сумме 11 тысяч рублей, однако преступление не было доведено до конца по независящим от обвиняемого причинам. После передачи денег он был задержан сотрудниками полиции.
 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1752337/,Белгородская область,Житель области осужден за покушение на дачу взятки сотруднику полиции,"['взятка', 'вина', 'деньги', 'коррупция', 'покушение', 'приговор', 'противодействие', 'сотрудник', 'суд', 'условное']",16 Апреля 2024,"Собранные Новооскольским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Белгородской области доказательства признаны судом достаточными для вынесения приговора 37-летнему жителю Чернянского района, который признан виновным в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично за совершение заведомо незаконных бездействий).
Следствием  и судом установлено, что  в ночное время 14.10.2022 осужденный был задержан на улице в п. Чернянка Чернянского района сотрудниками ГИБДД при управлении автомобилем с признаками алкогольного опьянения. От прохождения медицинского освидетельствования он отказался.
За несоставление административного протокола о совершенном им административном правонарушении, предусмотренном ч. 1 ст. 12.26 КоАП РФ – не выполнение водителем транспортного средства законного требования уполномоченного должностного лица о прохождении медицинского освидетельствования на состояние опьянения, нарушитель попытался передать инспектору ИДПС ОГИБДД ОМВД России по Чернянскому району в служебном автомобиле последнего взятку в размере 30 000  рублей.
Сотрудник полиции от предложенного незаконного вознаграждения отказался.
Приговором суда подсудимый признан виновным и ему назначено наказание в виде лишения свободы сроком на 1 год условно с испытательным сроком на 1 год .
При использовании ссылка на следственное управление СК России по Белгородской области обязательна."
/news/item/1197678/,Белгородская область,Бывший сотрудник исправительного учреждения осужден за взятку,[],04 Апреля 2024,"Собранные Валуйским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Белгородской области доказательства признаны судом достаточными для вынесения приговора бывшему начальнику отряда отдела по воспитательной работе с осужденными ФКУ ИК-7 УФСИН России по Белгородской области А. Попову. Он признан виновным в совершении преступлений, предусмотренных ч.1 ст.286,  ч.3 ст.290 УК РФ (превышение должностных полномочий, получение взятки за незаконные действия).
 
Следствием и судом установлено, что в январе 2017 года Попов договорился с одним из осужденных о переносе на территорию колонии запрещенных предметов. В феврале 2017 года он через КПП по пропуску людей осуществил доставку в режимную зону 5 телефонов, которые передал осужденному. 5 августа 2017 года в условленном месте он получил 30 тысяч рублей и 3 блока сигарет за ранее совершенные незаконные действия, после чего был задержан сотрудниками ОСБ УФСИН России по Белгородской области и УЭБиПК УМВД России по Белгородской области.
 
Приговором суда Попову назначено наказание в виде штрафа в размере 1 миллион 20 тысяч рублей, также он лишен права занимать  должности в системе ФСИН в течение 3 лет."
/news/item/1791446/,Белгородская область,Завершено расследование уголовного дела по обвинению бывшего сотрудника уголовно-исполнительной инспекции в совершении ряда коррупционных преступлений,"['взятка', 'коррупция', 'мошенничество']",02 Апреля 2024,"Борисовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Белгородской области завершено расследование уголовного дела в отношении 41-летней бывшего старшего инспектора Краснояружского межмуниципального филиала федерального казенного учреждения «Уголовно-исполнительная инспекция Управления Федеральной службы исполнения наказаний по Белгородской области» обвиняемой в совершении двух преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения), трех преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные бездействия) и преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (получение взятки лично в размере, не превышающем десяти тысяч рублей).
Расследованием установлено, что 30.12.2020 к обвиняемой прибыл для постановки на учет гражданин, которому необходимо было установить техническое средство-браслет для отслеживания его местоположения. За неустановление указанного браслета мужчина по требованию инспектора перевел незаконное денежное вознаграждение в размере 5000 рублей ей на счет банковской карты.
В августе 2021 года обвиняемая при личной встрече с одной из потерпевших заверила последнюю, что она может оказать ей содействие в сдаче экзамена на получение водительского удостоверения. Потерпевшая, будучи уверенной в возможностях обвиняемой, передала ей денежные средства в размере 25 000 рублей. При этом фактически обвиняемая никаких мер к оказанию помощи потерпевшей принимать не собиралась, поскольку оказать содействия возможностей не имела.
Также установлено, что в сентябре 2021 года состоявшая на учете в Уголовно-исполнительной инспекции поднадзорная нарушила условия содержания под домашним арестом, что стало известно обвиняемой. За решение вопроса о нефиксации выявленного ею нарушения она получила от родственника женщины незаконное вознаграждение в размере 15 000 рублей.  
В ноябре 2021 года, при выявлении вновь допущенного нарушения условий содержания под домашним арестом за нефиксацию данного нарушения получила от родственников поднадзорной незаконное денежное вознаграждение в размере 28 000 рублей.
В декабре 2021 года состоящая на учете поднадзорная совершает преступление, в связи с чем в отношении нее было возбуждено органами внутренних дел уголовное дело. Следователем в суд было заявлено ходатайство об избрании ей меры пресечения в виде заключения под стражу. Родственник женщины, от которого ранее инспектор дважды получала взятки,  обратился  к ней с просьбой решить вопрос с судом о неизбрании указанной меры пресечения.  
Осознавая, что она не наделена полномочиями по избранию меры пресечения в отношении подозреваемых (обвиняемых) по уголовным делам и не имеет реальной возможности влиять на решение судьи по избранию меры пресечения в отношении женщины, она ввела потерпевшего в заблуждение, что может оказать содействие, за что получила от него денежные средства в размере 45 000 рублей.
Кроме того, в сентябре 2021 года обвиняемая получила незаконное денежное вознаграждение в размере 20 000 рублей от находящегося у нее на учете осуждённого, который уклонялся от отбывания назначенного судом наказания в виде исправительных работ. Денежные средства осужденным были переданы инспектору за бездействие, связанное с не обращением ее в суд с представлением о замене наказания на более строгое наказание.
Преступления выявлены сотрудниками ОЭБ и ПК ОМВД России по Борисовскому району.
Следствием собрана достаточная доказательственная база, обвинительное заключение утверждено прокуратурой, уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1768331/,Белгородская область,Осуждена продавец магазина за покушение на дачу взятки сотруднику полиции,"['взятка', 'коррупция', 'приговор', 'суд']",29 Марта 2024,"Собранные следственным отделом по Белгородскому району следственного управления Следственного комитета Российской Федерации по Белгородской области признаны судом достаточными для вынесения приговора 43-летней жительнице региона, которая признана виновной в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично за совершение заведомо незаконного бездействия).
Следствием и судом установлено, что 19 октября 2022 года женщина, являясь продавцом одного из магазинов, расположенных в Белгородском районе, реализовала алкогольную продукцию несовершеннолетнему лицу.  Несовершеннолетний покупатель  был задержан сотрудниками ОПДН ОУУП и ПДН ОМВД России по Белгородскому район, патрулировавшими сектор обслуживания.
В ходе составления протокола об административном правонарушении злоумышленница высказала предложение инспектору о передаче вознаграждения за решение вопроса о непривлечении ее к административной ответственности.
Сотрудник полиции отказалась от незаконного вознаграждения, предупредив о возможной уголовной ответственности. О произошедшем незамедлительно сообщила своему руководству, которым организован комплекс оперативно-розыскных мероприятий.
В результате проведенных мероприятий установлен факт покушения на дачу взятки сотруднику полиции путем передачи денежных средств в размере 25 000 рублей, которые продавец магазина положила в перчаточный ящик служебного автомобиля сотрудников полиции.
Приговором суда подсудимая признана виновной и ей назначено наказание в виде лишения свободы сроком на 2 года со штрафом. Назначенное наказание в виде лишения свободы постановлено считать условным с испытательным сроком 2 года.При использовании ссылка на СУ СК России по Белгородской области обязательна."
/news/item/1438638/,Белгородская область,Житель Белгорода предстанет перед судом за посредничество во взяточничестве,"['взятка', 'посредничество']",04 Марта 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Белгородской области завершено расследование уголовного дела по обвинению 42-летнего белгородца в совершении преступления, предусмотренного ч.4 ст.291.1 УК РФ (посредничество во взяточничестве, совершенное в особо крупном размере).
 
По версии следствия, в сентябре 2019 года обвиняемый согласился быть посредником в передаче взятки в сумме 1 миллион 300 тысяч рублей между сотрудником полиции и знакомыми руководителями коммерческой организации за принятие положительного решения при проведении оперативно-розыскных мероприятий по оказанию услуг, не отвечающих требованиям безопасности и в сфере налогообложения в отношении бизнесменов. О поступившем предложении бизнесмены сообщили в правоохранительные органы. После передачи обвиняемому денег он был задержан сотрудниками УФСБ России по Белгородской области совместно с сотрудниками собственной безопасности УМВД России по Белгородской области. .
 
В отношении уже бывшего сотрудника полиции расследуется уголовное дело по признакам составов преступлений, предусмотренных ч.1 ст.286, ч.3 ст.30 – ч.6 ст.290 УК РФ (превышение должностных полномочий, покушение на получение взятки в особо крупном размере).
 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1524473/,Белгородская область,Бывший чиновник администрации горокруга предстанет перед судом за получение взяток и иные преступления,"['взятка', 'служебный подлог']",29 Февраля 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Белгородской области завершено расследование уголовного дела по обвинению бывшего начальника управления архитектуры и градостроительства администрации Яковлевского городского округа в совершении преступлений, предусмотренных ч.2 ст.290 (6 эпизодов), ч.1 ст.292 (4 эпизода), ч.2 ст.272, ч.1 ст.327 (5 эпизодов) УК РФ (получение взяток в значительном размере, служебный подлог, неправомерный доступ к охраняемой законом компьютерной информации, совершенный из корыстной заинтересованности, подделка официального документа, предоставляющего права).
 
По версии следствия, в 2019 году, будучи должностным лицом, обвиняемый получил взятки в значительном размере от двух индивидуальных предпринимателей, главы крестьянско-фермерского хозяйства, представителя коммерческого общества и двух граждан, за выдачу им разрешений на строительство объектов капитального строительства и разрешений на ввод в эксплуатацию построенных (реконструированных) объектов на территории Яковлевского горокруга. Самостоятельно подготовил разрешения на строительство и разрешение на ввод объектов в эксплуатацию без законных оснований. Уже не являясь должностным лицом, через персональный компьютер специалиста управления архитектуры и градостроительства администрации Яковлевского городского округа, с использованием электронной подписи вошел в автоматизированную систему документооборота и осуществил модификацию компьютерной информации для создания разрешения на ввод в эксплуатацию объекта, а также совершил подделку иных официальных документов, в которые вносил заведомо ложные сведения.
 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1563423/,Белгородская область,Завершено расследование уголовного дела по обвинению мужчины в даче взятки сотруднику правоохранительных органов,['взятка'],28 Февраля 2024,"Яковлевским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации завершено расследование уголовного дела в отношении 43-летнего мужчины, обвиняемого в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (дача взятки лично в размере, не превышающем десяти тысяч рублей).По версии следствия, в апреле 2021 года сотрудники ДПС ОГИБДД ОМВД России по Яковлевскому городскому округу, находившиеся при исполнении своих служебных обязанностей, на автодороге остановили автомобиль, у водителя которого отсутствовали надлежащим образом оформленные документы на перевозимый груз. Установленное нарушение образует состав административного правонарушения, предусмотренного ч. 1 ст. 12.3 КоАП РФ – «Управление транспортным средством водителем, не имеющим при себе документов, предусмотренных Правилами дорожного движения» и влечет наложение административного штрафа, что и было разъяснено водителю. С целью освобождения от административной ответственности водитель во время разъяснения признаков совершенного административного правонарушения и необходимости составления протокола об административном правонарушении, по собственной инициативе передал взятку сотруднику полиции в размере 1000 рублей, которые положил возле рычага ручного тормоза между передними сидениями автомобиля ДПС ГИБДД. От получении взятки сотрудник полиции отказался.Уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу.http://www.belgorod.sledcom.ru/ При использовании информации ссылка на СУ СК России по Белгородской области обязательна."
/news/item/1141348/,Белгородская область,За мошенничество осужден директор школы,[],26 Февраля 2024,"Собранные Валуйским межрайонным следственным отделом Следственного комитета Российской Федерации по Белгородской области доказательства признаны судом достаточными для вынесения приговора 37-летнему директору общеобразовательной школы Ровеньского района. Он признан виновным в совершении четырех эпизодов преступлений по ч.3 ст.159 УК РФ (мошенничество) и трех эпизодов, предусмотренных ч.1 ст.292 УК РФ (служебный подлог).
Следствием и судом установлено, что с декабря 2007 по ноябрь 2010 годов обвиняемый под благовидным предлогом убедил ряд лиц оформиться на работу в школу, не выполняя при этом трудовых обязанностей, а заработную плату передавать ему. Таким образом, он причинил государству ущерб в сумме свыше 150 тысяч рублей. 
  
Приговором суда директору назначено наказание в виде штрафа в размере 300 тысяч рублей."
