Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1778045/,Брянская область,В Брянской области завершено расследование уголовного дела о получении крупной взятки заведующей аптекой районной больницы,['взятка'],28 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Брянской области завершено расследование уголовного дела по обвинению заведующей аптекой ГБУЗ «Почепская центральная районная больница» в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки в виде денег в крупном размере).
Предварительным следствием установлено, что заведующая аптекой лечебного учреждения в период с июня по июль 2021 года получила от предпринимателя взятку в размере 284 тысяч рублей за обеспечение заключения больницей с ним контрактов на поставку изделий медицинского назначения.
Преступление выявлено и пресечено оперативниками УЭБиПК УМВД России по Брянской области.
В настоящее время предварительное следствие завершено, а уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1545765/,Брянская область,Участковый лесничий в Брянской области обвиняется в получении взятки в крупном размере,['взятка'],27 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Брянской области возбуждено уголовное дело по факту получения должностным лицом взятки в крупном размере (п. «в» ч. 5 ст. 290 УК РФ). По подозрению в совершении преступления следователями задержан участковый лесничий ГКУ Брянской области «Карачевское лесничество».
Предварительно установлено, что подозреваемый в период времени с ноября 2018 по декабрь 2019 года получил от лесозаготовителя Карачевского района Брянской области взятку в виде денег в сумме 255000 рублей за беспрепятственное предоставление ему возможности осуществления лесозаготовки на территории подконтрольного подозреваемому лесничества.
Преступление выявлено оперативными сотрудниками УЭБиПК УМВД России по Брянской области.
В настоящее время подозреваемому предъявлено обвинение. С учетом признания им своей вины, а также совокупности других обстоятельств, по ходатайству следователей судом обвиняемому избрана мера пресечения в виде домашнего ареста.
 
#СКРФ #СледственныйКомитет #СКР #СКРоссии #СКРоссии32 #Брянск #БрянскаяОбласть #Взятка #ДолжностноеЛицо #Коррупция"
/news/item/1311542/,Брянская область,Бывший сотрудник исправительной колонии признан виновным в совершении преступлений коррупционной направленности,[],27 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Брянской области доказательства признаны судом достаточными для вынесения приговора бывшему младшему инспектору группы надзора отдела безопасности исправительной колонии №4. Он признан виновным в превышении должностных полномочий и получении взятки за незаконные действия (ч.1 ст.286 и ч.3 ст.290 УК РФ).
Следствием и судом установлено,  что 25 июля 2018 года сержант внутренней службы за обещанное вознаграждение в сумме 25 тыс. рублей пронес на режимную территорию 16 мобильных телефонов  и иные запрещенные к свободному обороту в исправительном учреждении предметы, которые были предназначены для одного из заключенных.
Преступление выявлено службой собственной безопасности регионального управления ФСИН.
Приговором суда фигуранту уголовного дела назначено наказание в виде 3,5 лет лишения свободы с отбыванием в исправительной колонии общего режима и штрафа в сумме 250 тыс.рублей."
/news/item/1487199/,Брянская область,"Депутат Брянской областной думы, учредитель и технолог коммерческого предприятия региона признаны виновными в даче взятки","['взятка', 'посредничество']",26 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Брянской области доказательства признаны судом достаточными для вынесения приговора депутату, являющемуся заместителем генерального директора ООО «Деснянский пищекомбинат», учредителю и технологу указанного предприятия. Депутат и учредитель коммерческого предприятия признаны виновными в совершении преступления, предусмотренного п. «а» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу через посредника, в значительном размере, группой лиц по предварительному сговору), технолог предприятия признан виновным в совершении преступления, предусмотренного ч. 1 ст. 291.1 УК РФ (посредничество во взяточничестве). 
Следствием и судом установлено, что в период времени с 23 мая 2019 года по 15 июня 2019 года обвиняемые, после проведенной Управлением Россельхознадзора по Брянской и Смоленской областям проверки управляемого ими мясоперерабатывающего предприятия, договорились о необходимости передачи взятки должностному лицу контролирующего органа для снижения суммы штрафа за выявленные нарушения.
С этой целью они дали указание технологу предприятия передать денежные средства в сумме 30 тысяч рублей проверяющему лицу.
Утром 15 июня 2019 года, получив денежные средства в размере 30 тысяч рублей в кассе предприятия, технолог встретился с сотрудником Управления Россельхознадзора и передал ему их в качестве взятки.
Преступление выявлено сотрудниками регионального управления ФСБ России.
За совершение указанных преступлений депутату Брянской областной думы и учредителю предприятия назначено наказание в виде штрафа в размере 1,5 млн рублей каждому, а технологу организации назначено наказание в виде штрафа в размере 200 тыс рублей.
Приговор не вступил в законную силу.
 
#СКРФ #СледственныйКомитет #СКР #СКРоссии #СКРоссии32 #Брянск #БрянскаяОбласть #Взятка #ПосредничествоВоВзяточничестве"
/news/item/1805569/,Брянская область,В Брянске завершено расследование уголовного дела по обвинению бывшего конкурсного управляющего коммерческой организации,['мошенничество'],24 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Брянской области завершено расследование уголовного дела по обвинению 69-летнего жителя Курского области, являвшегося конкурсным управляющим организации, в совершении мошенничества с использованием своего служебного положения в особо крупном размере (ч. 4 ст. 159 УК РФ).
В ходе предварительного следствия установлено, что в период с февраля по июль 2021 года мужчина, являясь конкурсным управляющим общества с ограниченной ответственностью, производящего в городе Фокино Брянской области строительные материалы, сообщил кредитору недостоверную информацию о необходимости погашения текущих долгов организации в размере 3 млн рублей для оформления перехода права собственности на юридическое лицо.
Получив денежные средства, конкурсный управляющий долги не погасил, а распорядился денежными средствами по своему усмотрению.
Преступление выявлено подразделением экономической безопасности и противодействия коррупции МО МВД России «Дятьковский».
Собранные следователем доказательства признаны прокурором достаточными для утверждения по делу обвинительного заключения и направления его в суд для рассмотрения."
/news/item/1373050/,Брянская область,Сотрудники полиции предстанут перед судом за совершение должностного преступления,[],22 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Брянской области завершено расследование уголовного дела по факту превышения должностных полномочий сотрудниками полиции (ч. 1 ст. 286 УК РФ).
По версии следствия, в октябре 2018 года в результате принятия сотрудниками полиции незаконного решения о возврате вещественных доказательств по уголовному делу произошла утрата немаркированных табачных изделий общей стоимостью свыше 4 млн рублей.
Следствием собрана достаточная доказательственная база, в связи с чем, прокурором утверждено обвинительное заключение, а уголовное дело будет направлено в суд для рассмотрения по существу."
/news/item/1256738/,Брянская область,В Унече бывший начальник отдела экономической безопасности и противодействия коррупции осужден за совершение преступлений коррупционной направленности,[],18 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Брянской области доказательства признаны судом достаточными для вынесения приговора бывшему начальнику ОЭБ и ПК МО МВД России «Унечский». Он признан виновным  в совершении преступлений, предусмотренных  ч.2 ст.290 УК РФ (получение взятки в значительном размере), ч.1 ст.291.2 (мелкое взяточничество – 2 эпизода) и ч. 3 ст. 160 УК РФ (растрата, то есть хищение чужого имущества, вверенного виновному, с причинением значительного ущерба гражданину, совершенное лицом с использованием своего служебного положения).
Следствием и судом установлено, что в июне 2017 года и январе 2018 года  полицейский частями, в том числе через посредника-адвоката, получил взятку в сумме 35 тыс. рублей. За незаконное вознаграждение он обещал просителю использовать свои служебные полномочия для  оказания помощи в возврате денежного долга. В ходе расследования также выяснилось, что майор полиции за оказанное покровительство получал мелкие взятки от индивидуального предпринимателя и представителя организации в сумме 5 и 3 тыс. рублей соответственно. Кроме того, он похитил часть спортивной обуви и одежды общей стоимостью более 13 тыс. рублей, изъятой  из торговых точек для проверки на предмет наличия признаков контрафактности.
Преступление выявили сотрудники регионального управления ФСБ совместно со службой собственной безопасности полиции.
Приговором суда осужденному назначено наказание в виде 3 лет лишения свободы  с отбыванием в исправительной колонии общего режима и штрафа в сумме 350 тыс. рублей. Кроме того, он лишен специального звания и права занимать должности в правоохранительных органах."
/news/item/1666081/,Брянская область,"В Клинцах перед судом предстанет местный житель по обвинению в совершении преступления в области безопасности движения и эксплуатации транспорта, а также во взяточничестве",['взятка'],17 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Брянской области завершено расследование уголовного дела в отношении ранее неоднократно привлекавшегося к уголовной ответственности 49-летнего жителя г. Клинцы Брянской области. Он обвиняется в совершении преступлений, предусмотренных ч. 2 ст. 264.1, ч. 3 ст. 30 – ч. 3 ст. 291 УК РФ (управление автомобилем лицом, находящимся в состоянии опьянения и имеющим судимость за совершение аналогичного преступления; покушение на дачу взятки должностному лицу за совершение заведомо незаконных действий).  
Предварительным следствием установлено, что в дневное время 04 января 2022 года обвиняемый, будучи осужденным ранее за совершение преступления, предусмотренного ст. 264.1 УК РФ, снова управлял транспортным средством в состоянии алкогольного опьянения и был остановлен инспектором ДПС ОВ ДПС ГИБДД МО МВД России «Клинцовский».
Находясь в служебном автомобиле ДПС, расположенном на участке местности возле дома №85 по ул. Октябрьской в г. Клинцы Брянской области, обвиняемый попытался передать сотруднику полиции взятку в виде денежных средств в сумме 20000 рублей за не составление процессуальных документов о совершении им преступления в области безопасности дорожного движения. Инспектор ДПС от взятки отказался, а о произошедшем сообщил в дежурную часть органа внутренних дел.
В настоящее время расследование завершено. Материалы уголовного дела с утвержденным прокурором обвинительным заключением направлены в суд для рассмотрения по существу.
 
#СКРФ #СледственныйКомитет #СКР #СКРоссии #СКРоссии32 #Брянск #БрянскаяОбласть #Взятка"
/news/item/1213609/,Брянская область,Заместитель главы Брянской городской администрации предстанет перед судом по обвинению в получении взятки,[],15 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Брянской области завершено расследование  уголовного дела в отношении заместителя главы Брянской городской администрации, который обвиняется в получении взятки в значительном размере (ч.3 ст.290 УК РФ).
По версии следствия, 11 сентября и 28 декабря 2017 года обвиняемый через посредника получил незаконное вознаграждение в общей  сумме 60 тыс. рублей под предлогом оказания покровительства владельцу рекламных конструкций, размещенных на территории областного центра с нарушением установленного порядка. Преступление выявлено в ходе оперативно-розыскных мероприятий, проведенных сотрудниками полиции.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокурором обвинительным заключением будет направлено в суд для рассмотрения по существу. Индивидуальный предприниматель, в интересах которого действовало должностное лицо, и посредник в передаче взятки также предстанут перед судом, им соответственно предъявлены обвинения в даче взятки (ч.3 ст.291УК РФ) и посредничестве во взяточничестве (ч.2 ст.291.1 УК РФ)"
/news/item/1470715/,Брянская область,В Брянске перед судом предстанет бывший начальник следственного отдела по обвинению в получении взятки,['взятка'],09 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Брянской области завершено расследование уголовного дела по обвинению начальника следственного отдела следственного управления органа внутренних дел региона, обвиняемого в получении взятки в особо крупном размере (ч. 6 ст. 290 УК РФ).
Предварительным следствием установлено, что в период с июля по сентябрь 2019 года начальник следственного отдела договорился с фигурантом уголовного дела, которое находилось в его производстве, о прекращении уголовного преследования за взятку в размере 5 000 000 рублей. 20 сентября 2019 года он получил от обвиняемого часть взятки в виде 2 200 долларов США, что составило в рублевом эквиваленте 141 283,78 рублей.
Дальнейшие действия по передаче суммы взятки происходили под контролем оперативных сотрудников ФСБ и МВД.
В дневное время 17 октября 2019 года начальник следственного отдела задержан при попытке получить от обвиняемого вторую часть взятки в размере 1 105 000 рублей.
В настоящее время расследование уголовного дела завершено. Собранные органом предварительного следствия доказательства стали достаточными для утверждения прокурором обвинительного заключения и направления уголовного дела в суд."
