Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1510493/,Москова,Начальнику службы таможенного контроля предъявлено обвинение в совершении коррупционного преступления,[],25 Апреля 2024,"Фото ГСУ СК России по г. Москве            

Главным следственным управлением СК России по городу Москве возбуждено уголовное дело в отношении заместителя начальника таможни – начальника службы таможенного контроля после выпуска товаров Московской таможни Центрального таможенного управления Федеральной таможенной службы Российской Федерации, полковника таможенной службы  Сергея Цуканова. Ему предъявлено обвинение в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере).
По данным следствия, в октябре 2020 года Цуканов получил взятку от представителей торговой компании в виде денежных средств в сумме 500 тыс. рублей. За указанную сумму  начальник службы таможенного контроля пообещал ускорить процедуру допуска представителей коммерческой организации к товарам, изъятым во время проводимой ими проверки. 
В ходе совместной работы следователей ГСУ СК России по городу Москве и сотрудников ФСБ России фигурант был задержан.
В настоящее время в отношении фигуранта избрана мера пресечения в виде заключения под стражу. Устанавливаются иные, возможно причастные к совершению коррупционного преступления, лица."
/news/item/1139779/,Москова,В Главном следственном управлении по городу Москве организован прием граждан по вопросам противодействия преступности среди мигрантов,[],24 Апреля 2024,"В Главном следственном управлении Следственного комитета Российской Федерации по городу Москве проводится прием граждан  руководителем ГСУ СК России по г. Москве по вопросам противодействия преступности среди мигрантов, совершения преступлений представителями этнических группировок, а также совершения преступлений коррупционной направленности сотрудниками правоохранительных органов, способствующих незаконной деятельности указанной группы лиц в торговой и иных социальных сферах.
Гражданам, желающим записаться на личный прием по указанным вопросам, необходимо обратиться с соответствующим заявлением в Главное следственное управление Следственного комитета Российской Федерации по городу Москве по адресу: г. Москва, ул. Арбат, д. 16/2,  стр. 1, в рабочие дни с 09 часов до 18 часов с перерывом с 13 часов до 14 часов, в пятницу – до 16 часов 45 минут, где в течение всего рабочего дня осуществляется прием граждан должностными лицами отдела по приему граждан и документационному обеспечению согласно графику без предварительной записи в порядке очередности."
/news/item/1549026/,Москова,По подозрению в совершении коррупционных преступлений задержан следователь полиции и столичный адвокат,"['взятка', 'ГСУ СКР по г.Москве']",22 Апреля 2024,"фото ГСУ СК России по г. Москве            

В ходе планомерной работы по пресечению коррупции следователями Следственного комитета совместно с сотрудниками УФСБ по городу Москве и Московской области и столичного УСБ ГУ МВД России выявлен факт получения взятки сотрудником полиции и его посредником.
На основании имеющихся материалов следственными органами возбуждены уголовные дела в отношении старшего следователя по особо важным делам 13 отдела следственной части по расследованию организованной преступной деятельности ГСУ ГУ МВД России по городу Москве и столичного адвоката. В зависимости от роли каждого они подозреваются в совершении преступлений, предусмотренных ч. 4 ст. 291.1 УК РФ (посредничество во взяточничестве в особо крупном размере) и ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере).
По данным следствия, в марте 2021 года следователь вступил в преступный сговор с адвокатом. Они намеревались получить незаконное вознаграждение в размере 5 млн рублей за непривлечение к уголовной ответственности лиц, проверяемых на причастность к совершению преступления в рамках расследуемого уголовного дела. При получении части требуемой суммы подозреваемые задержаны с поличным.
В настоящее время с фигурантами проводятся следственные действия. Устанавливаются иные лица, возможно, причастные к совершению коррупционного преступления. Расследование продолжается."
/news/item/1139788/,Москова,Трое сотрудников полиции подозреваются в покушении на дачу взятки,[],17 Апреля 2024,"Следственными органами Главного следственного управления СК России по городу Москве возбуждено уголовное дело в отношении трех сотрудников полиции по факту покушения на дачу взятки (ч.3 ст. 30, п.п. «а», «б» ч.4 ст. 291 УК РФ).
По данным следствия, 17 октября 2013 года старший инспектор вневедомственной охраны УВД по СВАО города Москвы Алексей Курочкин с целью избежать административной ответственности по материалу о совершении им правонарушения, предусмотренного ст. 12.8. КоАП РФ (управление транспортным средством в нетрезвом состоянии), обратился к своему знакомому - инспектору службы ППСП ОМВД России по Алтуфьевскому району Александру Герасимову и передал ему 300 тыс. рублей. Герасимов передал эти денежные средства заместителю начальника отдела вневедомственной охраны межмуниципального управления МВД России «Мытищинское» Дмитрию Дружину, который, в свою очередь, попытался передать их в качестве взятки мировому судье одного из мировых судебных участков Северо-Западного административного округа Москвы, у которого в производстве и находился вышеуказанный административный материал. В результате при передаче денежных средств Дружин с поличным был задержан сотрудниками ГУСБ и ГУЭБиПК МВД России в рамках проводимых оперативных мероприятий, а в последующем были задержаны и остальные фигуранты.
     
В настоящее время Курочкин, Дружин и Герасимов задержаны в установленном законом порядке. С ними проводятся следственные действия, направленные на закрепление доказательственной базы. Завтра следствие намерено заявить перед судом ходатайство об избрании в отношении подозреваемых меры пресечения в виде заключения под стражу. Расследование уголовного дела продолжается."
/news/item/1139739/,Москова,"Направлено в суд уголовное дело в отношении капитана полиции, обвиняемого в покушении на получение взятки",[],16 Апреля 2024,"Следственными органами Главного следственного управления по городу Москве расследовано уголовное дело в отношении инспектора группы розыска ГИБДД УВД по ЮЗАО ГУ МВД России по городу Москве Андрея Степанова. Его действия квалифицированы следствием по ч. 3 ст. 30, ч. 2 ст. 290 УК РФ (покушение на получение взятки). 
В ходе рассмотрения административного материала по факту оставления водителем места дорожно-транспортного происшествия с участием пешехода обвиняемый потребовал 30 000 рублей за ненаправление в суд материалов о лишении водителя права управления транспортным средством. Степанов был задержан с поличным 19 октября 2011 года в служебном кабинете при получении денежных средств. 
При проведении следственных действий обвиняемый признал вину в полном объеме. Ему была избрана мера пресечения в виде подписки о невыезде и надлежащем поведении. В настоящее время уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1254621/,Москова,Судебная коллегия Московского городского суда удовлетворила ходатайство Председателя СК России о заочном аресте бывшего мирового судьи,"['взятка', 'судья']",15 Апреля 2024,"Главным следственным управлением Следственного комитета Российской Федерации по городу Москве расследуется уголовное дело в отношении бывшего мирового судьи судебного участка № 386 района Северное Медведково города Москвы Алексея Зорина. Он обвиняется в совершении преступления, предусмотренного п. «б» ч. 5 ст. 290 УК РФ (получение взятки).

Уголовное дело в отношении Зорина было возбуждено после рассмотрения представления Председателя Следственного комитета Российской Федерации Александра Бастрыкина Высшей квалификационной коллегией судей Российской Федерации, которая по результатам изучения представленных материалов согласилась с позицией СК России.

По данным следствия, в ноябре 2015 года в производстве мирового судьи находилось дело об административном правонарушении. В целях незаконного личного обогащения в ходе неоднократных встреч Зорин выдвинул требование лицу, привлекаемому к административной ответственности, о передаче ему взятки в виде денег в размере 20 тысяч рублей. Незаконное денежное вознаграждение предназначалось за неприменение в отношении мужчины таких видов наказаний, как административный арест либо обязательные работы. Позднее, 14 декабря 2015 года, мужчина, участвовавший в рамках оперативно-розыскного мероприятия, находясь в помещении суда, передал Зорину паспорт с ранее оговоренной суммой взятки.

После возбуждения уголовного дела бывший мировой судья скрылся от органов следствия, в связи с чем объявлен в международный розыск.

Сегодня судебная коллегия Московского городского суда удовлетворила ходатайство Председателя Следственного комитета России, и Зорину заочно избрана мера пресечения в виде заключения под стражу."
/news/item/1139684/,Москова,"В отношении сотрудников милиции, сфальсифицировавших материалы проверки и незаконно изъявших у предпринимателя товар на сумму не менее 20 миллионов рублей,  постановлен обвинительный приговор",[],12 Апреля 2024,"Главным следственным управлением по городу Москве расследовано уголовное дело о превышении должностных полномочий бывшими оперуполномоченными УБЭП ГУВД по г. Москве И.Кикиным и С. Полукаровым, а также бывшим заместителем начальника отдела ОРБ ГУ МВД России по ЦФО А.Горячевым. Приговором Замоскворецкого районного суда г. Москвы от 17 февраля они осуждены к лишению свободы на сроки пять, три и четыре с половиной года соответственно. 
В ходе расследования было установлено, что в 2006 году сотрудники милиции, превышая свои должностные полномочия, попытались устранить конкурентов на рынке реализации пиротехнической продукции, а именно ЗАО «Центр-Сувенир». За денежное вознаграждение они подыскали человека, который согласился стать обвиняемым по уголовному делу о преступлении небольшой тяжести (сбыт товаров, не отвечающих требованиям безопасности), якобы совершенном в ЗАО «Центр-Сувенир», а также потерпевшего, который якобы получил телесные повреждения при использовании реализуемых ЗАО «Центр-Сувенир» пиротехнических изделий. Используя личные связи, они организовали получение заключения экспертов о недоброкачественности данной продукции. Собранные материалы милиционеры представили в Хорошевскую межрайонную прокуратуру г. Москвы для решения о возбуждении уголовного дела по ст. 238 УК РФ. После возбуждения дела у ЗАО «Центр-Сувенир» был изъят товар на сумму не менее 20 миллионов рублей, помещен на должным образом не оборудованный склад, откуда впоследствии исчез. ЗАО «Центр-Сувенир» понесло значительные убытки."
/news/item/1648800/,Москова,В Москве предъявлено обвинение начальнику больницы следственного изолятора,['ГСУ СКР по г.Москве'],04 Апреля 2024,"Главным следственным управлением Следственного комитета Российской Федерации по городу Москве расследуется уголовное дело в отношении начальника филиала «Больница» ФКУЗ МСЧ 77 УФСИН России. Ему предъявлено обвинение в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки за незаконные действия) и ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
По данным следствия, в период с 2020 по 2021 год начальник филиала, являясь должностным лицом, наделённым организационно-распорядительными полномочиями, получил от следственно-арестованных и осуждённых денежные средства за организацию медицинских освидетельствований, по результатам которых были приняты заведомо незаконные решения о наличии тяжёлых заболеваний у осуждённых и иных лиц. Данные решения послужили основанием для последующего освобождения от наказания и содержания под стражей спецконтингента. В ходе предварительного следствия установлено восемь лиц, освобождённых из под стражи в результате сфальсифицированных диагнозов.
Благодаря совместной работе следователей Главного следственного управления Следственного комитета Российской Федерации по городу Москве, сотрудников столичной прокуратуры, ОЭБиПК УВД по ВАО ГУ МВД России по городу Москве, подразделения собственной безопасности УФСИН России по городу Москве и иных правоохранительных органов удалось пресечь незаконную деятельность фигуранта.
Завтра следствие намерено ходатайствовать перед Пресненским судом об избрании в отношении фигуранта меры пресечения в виде заключения под стражу. Расследование продолжается."
/news/item/1623383/,Москова,"Завершено расследование уголовного дела в отношении четырех бывших сотрудников Домодедовской таможни, обвиняемых в коррупционном преступлении","['взятка', 'ГСУ СКР по г.Москве', 'посредничество']",03 Апреля 2024,"фото ГСУ СК России по г. Москве            

Вторым управлением по расследованию особо важных дел Главного следственного управления Следственного комитета Российской Федерации по городу Москве завершено расследование уголовного дела в отношении четырех бывших сотрудников Домодедовской таможни. В зависимости от роли каждого они обвиняются в совершении преступлений, предусмотренных   п.п. «а, в» ч. 5 ст. 290 УК РФ (получение взятки, совершенное группой лиц по предварительному сговору в крупном размере) и п. «б» ч. 3 ст. 291.1 УК РФ (посредничество во взяточничестве, совершенное в крупном размере).
По версии следствия, в сентябре 2020 года на территории города Домодедово и города Подольска Московской области начальник одного из отделов Домодедовской таможни, ее заместитель и их подчиненная через выступающего в качестве посредника коллегу из руководящего состава другого отдела получили от представителя коммерческой организации взятку в размере 600 тыс. рублей. Со своей стороны они обещали ускорить рассмотрение административного производства в отношении организации, применение минимальных штрафных санкций за совершенные правонарушения, а также возвращение изъятых товаров, ввезенных в Российскую Федерацию и задекларированных в нарушение таможенного законодательства.
Преступная деятельность фигурантов выявлена и пресечена в ходе совместной работы следователей столичного Следственного комитета и сотрудников ФСБ России. В ходе оперативных мероприятий соучастники были задержаны при получении денежных средств. По месту их проживания и службы проведены обыски, в ходе которых обнаружены документы и предметы, имеющие значение для следствия.
Следователем на высоком профессиональном уровне проведен значительный объем следственных и процессуальных действий. Установлены и допрошены более 20 свидетелей, проведены очные ставки, а также сложные судебные экспертизы, в том числе фоноскопические и криминалистические, выводы которых в совокупности с иными доказательствами полностью изобличают фигурантов в инкриминированных преступных деяниях.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело направлено для утверждения обвинительного заключения и последующей передачи в суд для рассмотрения по существу."
/news/item/1513447/,Москова,"Перед судом предстанет бывший сотрудник органов внутренних дел, обвиняемый в превышении должностных полномочий в период 2009-2010 годов",['превышение полномочий'],31 Марта 2024,"фото из открытых источников            

Следственными органами Главного следственного управления Следственного комитета Российской Федерации по городу Москве завершено расследование уголовного дела в отношении Евгения Кучера, возбужденного в 2011 году. Он обвиняется в совершении трех преступлений, предусмотренных ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
По версии следствия, Кучер, занимая на момент совершения преступления должность начальника оперативно-разыскной части по налоговым преступлениям УВД по ЮЗАО города Москвы, на протяжении 2009-2010 гг., совместно с двумя соучастниками – подчиненными оперуполномоченными, в целях улучшения личных показателей в работе, подыскали лиц из числа социально неблагополучной категории населения, согласных за небольшое денежное вознаграждение быть привлеченными к уголовной ответственности и осужденными за преступления, которые фактически никогда не совершали. После чего они сфальсифицировали ряд материалов доследственной проверки, и направили их в территориальный следственный орган полиции, что послужило поводом для возбуждения уголовных дел о якобы совершенных потерпевшими ряда налоговых и иных преступлений экономической направленности. До момента привлечения Кучера к уголовной ответственности потерпевшие не заявляли о своей непричастности к преступлениям, за которые были осуждены, в силу своей малограмотности и социальной незащищенности.
Ранее действиям соучастников дана правовая оценка, один из них осужден столичным судом.
Кучер длительное время скрывался от органов предварительного следствия, в связи с чем был объявлен в федеральный розыск. В феврале 2020 года его местонахождение было установлено.
Следствием собраны все необходимые доказательства, изобличающие обвиняемого в совершении указанных преступлений, в связи с чем прокуратурой утверждено обвинительное заключение. Уголовное дело будет направлено в суд для рассмотрения по существу."
