Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1835390/,Москва,В Серпухове бывший инспектор Гостехнадзора признан виновным в совершении коррупционных и должностных преступлений,['ГСУ СКР по Мособл'],03 Мая 2024,"фото ГСУ СК России по Московской области             

Собранные следователем следственного отдела по г. Серпухов ГСУ СК России по Московской области доказательства признаны судом достаточными для вынесения приговора бывшему инспектору отдела по надзору № 4 управления регионального государственного надзора в области технического состояния самоходных машин и других видов техники министерства экологии и природопользования Московской области. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки – 10 эпизодов) , ч. 1 ст. 291.2 УК РФ (мелкое взяточничество), ч. 1 ст. 286 УК РФ (превышение должностных полномочий – 2 эпизода) , ч. 1 ст. 303 УК РФ (фальсификация доказательств - 2 эпизода).
Следствием и судом установлено, что с октября 2021 по октябрь 2022 года подсудимый систематически получал взятки в виде денег с представителей коммерческих и некоммерческих организаций за оформление и выдачу свидетельств о прохождении государственного технического осмотра техники без её фактического предоставления, а также за непривлечение к административной ответственности лиц, допустивших нарушения требований законодательства.
Кроме этого, подсудимый для повышения показателей своей работы в отчетных данных и для создания видимости своевременного и полного исполнения им своих должностных обязанностей фальсифицировал доказательства по делам об административных правонарушениях, составляя протоколы в отношении лиц, которые в действительности административные нарушения не совершали.
В рамках расследования уголовного дела следователем проведен значительный объем работы, в том числе: допрошено более 20 свидетелей, проведено более 20 обысков, изучены документы, запрошены и получены выписки о движении денежных средств по банковским счетам. В результате собранные следователем доказательства легли в основу обвинения.
Приговором суда ему назначено наказание в виде 5 лет лишения свободы с отбыванием в колонии общего режима."
/news/item/721863/,Москва,В Московской области ветеринарный врач подозревается в получении взятки,[],02 Мая 2024,"Следственными органами СК России по Московской области по результатам проведенной проверки возбуждено уголовное дело в отношении ветеринарного врача подразделения Главного управления ветеринарии Московской области «Раменская районная станция по борьбе с болезнями животных». Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 290 (получение взятки за незаконные действия).  По версии следствия, 10 апреля 2013 года около 13 часов ветеринарный врач получил от предпринимателя денежные средства в размере 18 тыс. рублей за незаконные действия, выразившиеся в изготовлении ветеринарных свидетельств на рыбную продукцию без фактического его осмотра. Сразу же после получения денег он был задержан сотрудниками МУ МВД «Раменское».  Проводятся следственные действия, направленные на установление всех обстоятельств происшествия. Расследование продолжается."
/news/item/1118095/,Москва,В Московской области арестован начальник управления Министерства здравоохранения по подозрению в получении взятки,[],26 Апреля 2024,"Вторым управлением по расследованию особо важных дел ГСУ СК России по Московской области продолжается расследование уголовного дела в отношении начальника управления Министерства здравоохранения Московской области и ряда представителей коммерческих организаций по признакам преступлений, предусмотренных ч. 2, п. «в» ч. 5 и ч. 6 ст. 290 УК РФ (получение взяток в значительном, крупом и особо крупном размере), ч. 2 , п. «б» ч. 4 и ч. 5 ст. 291 УК РФ (дача взяток в значительном, крупом и особо крупном размере).
Ранее сообщалось, что должное лицо Министерства здравоохранения Московской области, в период 2016-2017 годов, действуя из корыстной заинтересованности, в своём служебном кабинете неоднократно лично получал взятки в виде денег от представителей коммерческих организаций за совершение действий в пользу взяткодателей и представляемых ими лиц, а также за общее покровительство по службе.
Так, с сентября 2016 года по февраль 2017 года представители коммерческих организаций передали начальнику управления Министерства здравоохранения Московской области около 2 000 000 рублей за способствование в силу должностного положения в выдаче лицензии на осуществление медицинской деятельности, а также в достижении победы на аукционах в электронной форме на право заключить контракты на поставку расходных материалов лечебным учреждениям.
По ходатайству следственных органов в отношении чиновника избрана мера пресечения в виде заключения под стражу.
В настоящее время следователями проводится комплекс следственных действий, направленных на установление всех обстоятельств совершенных преступлений и сбор доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1493272/,Москва,"В Московской области перед судом предстанут трое бывших сотрудников Ространснадзора и предприниматели,  обвиняемые в совершении коррупционных преступлений","['взятка', 'ГСУ СКР по Мособл', 'следователь СК']",25 Апреля 2024,"фото из открытых источников             

Следователем второго управления по расследованию особо важных дел ГСУ СК России по Московской области завершено расследование уголовного дела в отношении троих бывших сотрудников Одинцовского отдела автотранспортного надзора Центрального межрегионального Управления государственного автодорожного надзора Федеральной службы по надзору в сфере транспорта, а также в отношении семи предпринимателей. В зависимости от роли  и степени участия они обвиняются в получении взятки в крупном и особо крупном размере группой лиц по предварительному сговору (п.п. «а, в» ч. 5 ст. 290, ч. 6 ст. 290 УК РФ)  и даче взятки группой лиц по предварительному  сговору в крупном размере (ч. 2 ст. 291, ч. 3 ст. 291, п. «б» ч. 4 ст. 291, , п.п. «а, б» ч. 4 ст. 291 УК РФ). 
Следствием установлено, что в период с ноября 2016 года по май 2018 года сотрудники Одинцовского отдела автотранспортного надзора Центрального межрегионального Управления государственного автодорожного надзора Федеральной службы по надзору в сфере транспорта (ЦМУГАДН) систематически получали взятки в виде денег с представителей коммерческих организаций, осуществляющих коммерческие и пассажирские грузоперевозки на территории Московского региона за незаконные действия (бездействия), связанные с непринятием к ним мер в случае осуществления деятельности с нарушением действующих правил перевозок, в том числе с превышением допустимо разрешенного веса груза, предупреждения последних о планируемых проверках в их отношении, а также за общее покровительство в их деятельности, связанной с коммерческими или пассажирскими грузоперевозками. В результате чего общая сумма полученных преступным путем денежных средств составила более 10 млн. рублей. 
В рамках расследования уголовного дела следователями проведен значительный объем работы, в том числе: допрошено большое количество свидетелей, проведены очные ставки и обыски по местам жительства и работы обвиняемых, изучены изъятые документы, запрошены и получены выписки о движении денежных средств по банковским счетам фигурантов уголовного дела. В результате собранные следователем доказательства и заключения экспертиз легли в основу обвинения. Уголовное дело с утвержденным прокурором обвинительным заключением передано в суд для рассмотрения по существу."
/news/item/1423593/,Москва,В Московской области заместителю начальника ОГИБДД МУ МВД России «Балашихинское» предъявлено обвинение в получении взятки и избрана мера пресечения,"['взятка', 'ГСУ СКР по Мособл', 'полицейский']",13 Апреля 2024,"Следователем второго управления по расследованию особо важных дел ГСУ СК России по Московской области заместителю начальника ОГИБДД МУ МВД России «Балашихинское» предъявлено обвинение в получении взятки (п. «в» ч.5 ст. 290 УК РФ). По ходатайству следователя судом в отношении него избрана мера пресечения в виде заключения под стражу.
По данным следствия, с апреля 2015 по февраль 2018 года полицейский получал от генерального директора фирмы как лично, так и посредством переводов на счета банковских карт денежные средства в общей сумме не менее 250 тыс. рублей за общее покровительство предпринимательской деятельности, связанной с содержанием дорожной и уличной сети г.о. Балашихи.
В отношении генерального директора фирмы возбуждено уголовное дело по факту дачи взятки (п. «б» ч.4 ст. 291 УК РФ). Он допрошен в качестве подозреваемого.
Следователем продолжается проведение комплекса следственных действий, направленных на сбор и закрепление, полученной доказательственной базы."
/news/item/1188788/,Москва,"В Московской области перед судом предстанет заместитель начальника отдела надзорной деятельности и профилактической работы ГУ МЧС России по Московской области и его подчиненный, обвиняемые в получении взятки","['взятка', 'должностное лицо', 'коррупция', 'посредничество']",20 Февраля 2024,"Следственным отделом по городу Можайск ГСУ СК России по Московской области завершено расследование уголовного дела в отношении заместителя начальника отдела надзорной деятельности по Можайскому району управления надзорной деятельности и профилактической работы ГУ МЧС России по Московской области, майора внутренней службы Алексея Николаева и дознавателя того же подразделения капитана внутренней службы Дениса Кузнецова. В зависимости от роли каждого они обвиняются в совершении преступлений, предусмотренных п. «б» ч. 5 ст. 290 УК РФ (получение взятки с вымогательством), ч. 2 ст. 291.1 УК РФ (посредничество во взяточничестве).
Следствием установлено, что Николаев,проводя процессуальную проверку по факту пожара, произошедшего 11 июля 2017 года, в доме, расположенном на участке №2 садового товарищества «Восход» Можайского района Московской области, имея умысел на получение взятки в виде денег, созвонился с представителем хозяйки дома и в ходе телефонного разговора, договорился с ним о встрече под предлогом проведения процессуальной проверки.
13 июля 2017 года, реализуя свой преступный умысел, обвиняемый встретился в своем автомобиле с представителем хозяйки дома, в котором произошел пожар, где потребовал от мужчины заплатить ему денежные средства в размере 100 тысяч рублей за вынесение постановления об отказе в возбуждении уголовного дела, при этом законных оснований для привлечения женщины к уголовной и административной ответственности за нарушение ею правил пожарной безопасности, повлекшего повреждение соседского дома у него не имелось. Обвиняемый в ходе разговора озвучил, что в случае не уплаты ему денежных средств привлечет женщину к ответственности.
В последующем в ходе неоднократных телефонных разговоров и личных встреч с представителем потерпевшей, обвиняемый согласился снизить сумму взятки до 50 тысяч рублей.
В дальнейшем Николаев решил использовать в качестве посредника в получении взятки своего непосредственного подчиненного, дознавателя Дениса Кузнецова, которого в последующем обещал отблагодарить. В свою очередь, Кузнецов, желая проявить себя с положительной стороны, а также получить денежную благодарность, согласился выступить посредником. По указанию своего непосредственного начальника, дознаватель составил постановление об отказе в возбуждении уголовного дела по факту пожара, которое в последующем должен был передать представителю в обмен на 50 тысяч рублей.
20 августа 2017 года Кузнецов, находясь в служебном автомобиле, получил от представителя женщины денежные средства в размере 50 тысяч рублей, причитающиеся Николаеву в качестве взятки.  После чего Кузнецов оставил 25 тысяч рублей себе, а вторую половину отнёс начальнику, который ожидал его на берегу реки Мжуть. При получении денег Николаев подписал постановление и в этот же день дознаватель, находясь в служебном автомобиле, передал мужчине два экземпляра постановления об отказе в возбуждении уголовного дела.
После этого мужчины были задержаны с поличным сотрудниками правоохранительных органов.
В настоящее время следствием собрана достаточная доказательственная база, в этой связи уголовное дело с утвержденным прокурором обвинительным заключением передано в суд для рассмотрения, по существу."
/news/item/1813401/,Москва,В Электроуглях мигранту предъявлено обвинение в даче взятки должностному лицу,"['взятка', 'ГСУ СКР по Мособл', 'мигранты']",11 Декабря 2023,"фото ГСУ СК России по Московской области             

Следователем следственного отдела по г. Ногинску ГСУ СК России по Московской области предъявлено обвинение 39-летнему гражданину Узбекистана. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст.291 УК РФ (дача взятки должностному лицу).
 По данным следствия, 27  июля  2023 года обвиняемый, находясь в отделе полиции в г. Электроугли, дал взятку  в размере 15 тыс. рублей сотруднику полиции за прекращение проверки и непривлечение к уголовной ответственности. Должностное лицо отказалось от взятки, а обвиняемый был задержан сотрудниками правоохранительных органов.
Следователем проведен осмотр места происшествия, а также допросы, в ходе которых обвиняемый признал свою вину в содеянном. Продолжается проведение комплекса следственных действий, направленных на сбор и закрепление доказательственной базы. В ближайшее время следствие выйдет в суд с ходатайством об избрании в отношении обвиняемого меры пресечения."
/news/item/1826131/,Москва,Бывший глава городского округа и четверо его сообщников предстанут перед судом,['ГСУ СКР по Мособл'],29 Ноября 2023,"фото ГСУ СК России по Московской области             

Следователем второго управления по расследованию особо важных дел ГСУ СК России по Московской области завершено расследование уголовного дела по обвинению бывшего главы г.о. Воскресенска в организации хищения денежных средств муниципальных унитарных предприятий ЖКХ совместно с четырьмя должностными лицами данных организаций.В ходе расследования установлено, что с октября 2020 по июль 2022 года обвиняемый, занимавший должность главы городского округа Воскресенск, действуя в составе организованной группы совместно с лицами из руководящего состава МУП «Управление домами-Воскресенск» и МУП «Белоозерское ЖКХ», похитил денежные средства муниципальных унитарных предприятий на общую сумму более 35,5 млн рублей путем начисления повышенных премий и фиктивного трудоустройства работников. Похищенными деньгами соучастники распорядились по своему усмотрению.Также обвиняемый, занимавший должность главы городского округа, превысил свои полномочия, дав указание директору МУП «Белоозерское ЖКХ» о приобретении туристической путевки из средств предприятия стоимостью 199 тыс рублей, а в последующем совместно с ним реализовал ее.В ходе расследования проведено более 150 допросов, две сложные бухгалтерские экспертизы. Собранные следователем доказательства легли в основу обвинения и явились достаточными для утверждения обвинительного заключения. Уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1008451/,Москва,В Люберецком районе сотрудник полиции подозревается в получении взятки,[],20 Ноября 2023,"Следственным отделом по городу Люберцы ГСУ СК России по Московской области возбуждено уголовное дело в отношении оперуполномоченного уголовного розыска Дзержинского ОП МУ МВД России «Люберецкое». Он подозревается в совершении преступления, предусмотренного п. «в» ч.5 ст. 290 УК РФ (получение взятки в крупном размере).
По данным следствия, 16 ноября 2015 года оперуполномоченным в рамках исполнения своих должностных обязанностей был выявлен факт незаконного пребывания и осуществления трудовой деятельности иностранных граждан на территории одной из коммерческих фирм в городе Дзержинский. В ходе встречи с представителем данной фирмы оперуполномоченный предложил передать ему взятку в размере 250 тыс.рублей за не привлечение сотрудников фирмы к уголовной ответственности и последующее покровительство. В дальнейшем, в ходе телефонных разговоров и встреч полицейский сообщил, что ему необходимо передать 300 тыс. рублей, путем перевода на расчетный счет банковской карты. Впоследствии представитель фирмы перевел на расчетный счет 160 тыс. рублей.
22 января 2016 года после обналичивания супругой оперуполномоченного, не осведомленной о его преступных намерениях, части денежных средств в размере 100 тыс.рублей через терминал, полицейский был задержан.
Проводится комплекс следственных действий, направленных на сбор и закрепление доказательственной базы. В ближайшее время будет решен вопрос об избрании в отношении подозреваемого меры пресечения."
/news/item/1445515/,Москва,"В г.о. Шатура задержана сотрудница администрации, подозреваемая в совершении коррупционного преступления","['взятка', 'ГСУ СКР по Мособл', 'деньги', 'коррупция', 'следователь СК']",14 Ноября 2023,"фото из открытых источников             

Следственным отделом по городу Шатура ГСУ СК России по Московской области возбуждено уголовное дело в отношении председателя комитета по управлению имуществом администрации городского округа Шатуры. Она подозревается в совершении преступления, предусмотренного   ч. 2 ст. 290 УК РФ (получение взятки в значительном размере).
По данным следствия, подозреваемая получила взятку в размере 150 тысяч рублей за способствование в предоставлении в собственность земельного участка третьему лицу. После получения денежных средств сотрудница была задержана.
По уголовному делу продолжается проведение комплекса следственных действий, направленных на сбор и закрепление доказательственной базы. Подозреваемая будет проверена на причастность к совершению аналогичных преступлений. В ближайшее время будет решен вопрос об избрании в отношении нее меры пресечения. Расследование уголовного дела продолжается."
