Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1852271/,Кемеровская область - Кузбасс,"В Кемеровской области – Кузбассе перед судом предстанут бывший муниципальный служащий и застройщик, обвиняемые в хищении бюджетных денежных средств","['деньги,', 'должностные преступления,', 'мошенничество,', 'превышение полномочий']",11 Января 2024,"Следственными органами Следственного комитета Российской Федерации по Кемеровской области – Кузбассу завершено расследование уголовного дела в отношении 41-летнего бывшего заместителя главы Мариинского муниципального округа – председателя комитета по управлению муниципальным имуществом администрации Мариинского муниципального округа и 45-летнего застройщика. В зависимости от роли каждого они обвиняются в совершении 18 эпизодов преступлений, предусмотренных ч.ч. 3, 4 ст. 159 УК РФ (мошенничество, совершенное лицом, с использованием своего служебного положения, в особо крупном размере) и 3 эпизодов преступлений, предусмотренных ч. 1 ст. 286 УК РФ (превышение должностных полномочий). 
По версии следствия, в июле 2015 года фигуранты решили похитить бюджетные денежные средства, предназначенные для обеспечения жильем лиц из числа социально незащищенных категорий граждан. Для этого 41-летний фигурант, являясь начальником отдела архитектуры и градостроительства администрации Мариинского муниципального округа, незаконно выдал, а 45-летний фигурант получил разрешение на строительство жилого дома в Мариинском муниципальном округе, не указав в градостроительном плане сведения об имеющемся на земельном участке административном здании. После этого он осуществил фактическую его реконструкцию под многоквартирный жилой дом, не отвечающий санитарным и техническим правилам и нормам, незаконно получив разрешение на ввод его в эксплуатацию. 
В период с июля 2017 года по июль 2019 года 41-летний обвиняемый, являясь уже заместителем главы Мариинского муниципального округа – председателем КУМИ, и 45-летний застройщик посредством использования трех коммерческих фирм, руководители которых не были осведомлены о преступной деятельности, незаконно заключили 12 муниципальных контрактов на покупку жилых помещений в указанном многоквартирном доме, в том числе для обеспечения жильем детей сирот и детей, оставшихся без попечения родителей, чем причинили ущерб бюджету муниципального образования в размере почти в 10 млн рублей, которыми распорядились по своему усмотрению. В период с 2019 по 2020 г.г. 41-летний обвиняемый заключил контракты уже с новыми собственниками жилых помещений на покупку 3 из ранее приобретенных квартир и предоставил их в качестве жилья лицам из числа детей, оставшихся без попечения родителей, и переселенцу из аварийного жилья, причинив ущерб муниципальному бюджету в размере более 3 млн 700 тыс. рублей. Помимо этого 45-летний застройщик лично осуществил продажу еще 6 квартир, сообщив покупателям ложные сведения о качестве приобретаемого жилья, причинив им ущерб на общую сумму в размере 5 млн 850 тыс. руб. 
Преступная деятельность застройщика выявлена в ходе прокурорской проверки, а должного лица – в ходе личного приема жителей многоквартирного дома руководителем регионального следственного управления. Оперативное сопровождение осуществлялось сотрудниками УЭБ и ПК ГУ МВД России по Кемеровской области – Кузбассу. 
Со следствием фигуранты сотрудничать отказались, однако следователем СК России собрана исчерпывающая доказательственная база, включающая выводы строительной-технической и комплексных судебных экспертиз, показания более 40 свидетелей и 16 лиц из числа потерпевших, подтвердившая их причастность к инкриминируемым деяниям. 
По ходатайству следственных органов судом каждому из обвиняемых избрана мера пресечения, связанная с изоляцией от общества. На их имущество и денежные средства на общую сумму более 22 млн. рублей наложен арест. 
Уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1850441/,Костромская область,"В Костромской области перед судом предстанет бывший глава городского округа город Мантурово, обвиняемый в совершении ряда коррупционных преступлений","['взятка,', 'деньги,', 'коррупция']",30 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Костромской области завершено расследование уголовного дела в отношении бывшего главы городского округа город Мантурово, обвиняемого в совершении трех преступлений, предусмотренных п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки в виде денег, в крупном размере), ч. 2 ст. 285 УК РФ (злоупотребление должностными полномочиями), ч. 1 ст. 174.1 УК РФ (легализация денежных средств).
По версии следствия, в 2021-2023 г.г. глава городского округа город Мантурово систематически получал взятки, в том числе и через посредника, от представителей коммерческих организаций за предоставление возможности демонтажа зданий, принадлежащих муниципалитету, с целью последующего использования в хозяйственной деятельности. В качестве незаконного вознаграждения обвиняемый получил 760 тысяч рублей, часть из которых он легализовал путем погашения своих личных кредитных обязательств перед банком, чем совершил вовлечение преступно полученных денежных средств в легальный экономический и финансовый оборот.
Кроме того, в 2021-2022 г.г. обвиняемый незаконно предоставил в пользование коммерческой организации муниципальные земли и расположенное на них имущество в виде лома черных металлов общим весом не менее 49 тонн. Добытое предпринимателем имущество в дальнейшем было реализовано на сумму свыше 1,3 миллиона рублей, что повлекло причинение существенного материального ущерба муниципальному образованию.
В марте 2023 года при получении очередной взятки глава городского округа город Мантурово был задержан и арестован. Преступная деятельность обвиняемого выявлена и пресечена в ходе оперативно-розыскной деятельности УФСБ и УМВД России по Костромской области.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с обвинительным заключением будет направлено в суд для рассмотрения по существу."
/news/item/1850234/,Пензенская область,Бывший министр физической культуры и спорта Пензенской области признан виновным в получении взяток,"['взятка,', 'деньги,', 'коррупция,', 'лишение свободы,', 'приговор,', 'чиновник']",29 Декабря 2023,"Доказательства, собранные следственными органами следственного управления СК России по Пензенской области, признаны судом достаточными для вынесения приговора бывшему министру физической культуры и спорта Пензенской области за совершение преступлений, предусмотренных п. «в» ч. 5 ст. 290 УК РФ, ч. 6 ст. 290 УК РФ (получение должностным лицом, занимающим государственную должность субъекта Российской Федерации, взяток, в том числе в особо крупном размере). Уголовное дело расследовано при оперативном сопровождении сотрудников УФСБ России по Пензенской области. Следствием и судом установлено, что в период с апреля 2020 года по октябрь 2021 года подсудимый, занимавший должность министра и временно исполняющего обязанности министра физической культуры и спорта Пензенской области, на постоянной основе получал взятки от лица, организовывавшего на территории региона спортивные мероприятия по настольному теннису, с целью продажи видеотрансляций турниров букмекерским организациям. Взятки он получал за общее покровительство его деятельности, в том числе оказание помощи при возникновении у организатора спортивных мероприятий проблем, связанных со сферой физической культуры и спорта в регионе. Временно исполняющий обязанности министра физической культуры и спорта Пензенской области задержан 15 октября 2021 года при передаче ему очередной суммы 120 тыс. рублей. В общей сложности он получил взятки в размере 1 млн 050 тыс. рублей. В ходе расследования уголовного дела выявлен еще один факт получения подсудимым взятки в крупном размере. В период с октября 2020 года по сентябрь 2021 года он на постоянной основе получал от жителя Пензы, занимавшегося организацией и покупкой видеотрансляций турниров по нескольким видам спорта, взятки за общее покровительство его деятельности и оказание ему помощи при возникновении трудностей в организации турниров. В общей сложности он получил взятки в размере 230 тыс. рублей. В ходе следствия судом по ходатайству следователя в обеспечительных целях наложен арест на автомашину, жилые помещения, земельный участок, ценные бумаги и денежные средства фигуранта. Приговором суда виновный осужден к 9 годам лишения свободы в колонии строгого режима со штрафом в размере 5,5 млн рублей и лишением права занимать должности в органах государственной власти и местного самоуправления сроком на 6 лет."
/news/item/1848538/,Амурская область,В Амурской области генеральный директор строительной компании осужден за  мошенничество в особо крупном размере,"['деньги,', 'лишение свободы,', 'мошенничество,', 'приговор']",25 Декабря 2023,"Собранные следственнными органами следственного управления Следственного комитета Российской Федерации по Амурской области доказательства признаны судом достаточными для вынесения приговора в отношении генерального директора организации, осуществляющей строительство автодорог. Мужчина признан виновным в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, совершенное с использованием  служебного положения, в особо крупном размере).
Следствием и судом установлено, что в июле 2021 года между администрацией города Тында и организацией, возглавляемой осужденным, заключен муниципальный контракт на выполнение работ по капитальному ремонту улицы Красная Пресня в городе Тында. Условиями контракта предусматривалась оплата только выполненных работ после соответствующих проверок на предмет их соответствия условиям контракта. Несмотря на это, в ноябре 2021 года осужденный умышленно ввел в заблуждение заказчика, представив для оплаты подложные отчётные документы о приобретении материалов для выполнения предстоящих работ.  Для придания видимости достоверности сведений, содержащихся в этих документах, подрядчик продемонстрировал строительные материалы, которые на самом деле принадлежали другому юридическому лицу. Администрация города Тында выплатила подрядчику более 117 млн рублей бюджетных средств. В дальнейшем материалы на указанную сумму обвиняемым не приобретались, ремонтные работы не проводились, а полученные денежные средства использованы на текущую деятельность организации.
В августе 2022 года орган местного самоуправления принял решение об одностороннем отказе от исполнения муниципального контракта в связи с ненадлежащим выполнением подрядчиком работ.
Основанием для возбуждения уголовного дела послужили материалы проверки, проведенной органами прокуратуры, а также  оперативно-разыскных мероприятий, проведенных сотрудниками УФСБ России по Амурской области.
Приговором суда виновному назначено наказание в виде 7 лет лишения свободы с отбыванием в исправительной колонии общего режима со штрафом в размере 500 тысяч рублей."
/news/item/1848505/,Хабаровский край и Еврейская АО,"Заместитель министра транспорта Хабаровского края, руководитель «Хабаровскуправтодора», а также представитель коммерческой фирмы обвиняются в коррупционных преступлениях","['взятка,', 'коррупция,', 'обвинение']",25 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации СК России по Хабаровскому краю и ЕАО продолжается расследование уголовного дела в отношении заместителя министра транспорта Хабаровского края Дениса Пронкина, руководителя КГКУ «Хабаровскуправтодор» Евгения Зайцева, обвиняемых в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки за незаконные действия, группой лиц по предварительному сговору, в особо крупном размере), а также иностранного гражданина, обвиняемого в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки).
По версии следствия, в период с 2022 по 2023 годы в ходе выполнения предприятием работ по ремонту автомобильных дорог в городе Советская Гавань по государственным контрактам Пронкин и Зайцев получили от исполнительного директора фирмы часть взятки в виде денег в сумме не менее 29 млн рублей из общей суммы в 57 млн за заключение контрактов в приоритетном порядке.
Следователями проводится комплекс следственных и процессуальных действий, фигурантам предъявлено обвинение в совершении инкриминируемых преступлений, должностные лица по решению суда заключены под стражу, в отношении предпринимателя избрана мера пресечения в виде домашнего ареста."
/news/item/1848476/,Хабаровский край и Еврейская АО,В Хабаровском крае за получение взятки осужден бывший заместитель главы администрации Николаевского муниципального района,"['взятка,', 'коррупция,', 'приговор,', 'собранные доказательства']",25 Декабря 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области доказательства признаны судом достаточными для постановления обвинительного приговора в отношении мужчины 1981 года рождения. Он признан виновным в совершении преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере), ч. 2 ст. 290 УК РФ (получение взятки в значительном размере).
Следствием и судом установлено, что, пребывая в должности заместителя главы администрации Николаевского муниципального района Хабаровского края, мужчина предложил представителю одного из муниципальных предприятий на постоянной основе передавать ему взятки за общее покровительство и попустительство по службе. Оно выражалось в продолжении осуществления трудовых обязанностей на занимаемой должности, непривлечении его к дисциплинарной ответственности, а также непривлечении к административной ответственности его, как индивидуального предпринимателя, и представляемое им предприятие. В период с 2017 по 2020 годы в качестве взятки были переданы более 1,4 млн рублей.
Другому предпринимателю за взятку в виде незаконного оказания ремонтных услуг в его квартире на сумму более 100 тыс. рублей в 2018 году мужчина предложил не привлекать к административной ответственности два представляемые им предприятия.
По уголовному делу проведены следственные и процессуальные действия, результаты которых позволили изобличить мужчину в совершении инкриминируемых ему преступлений.
Приговором суда ему назначено наказание в виде лишения свободы сроком на 10 лет со штрафом в размере 15 млн рублей."
/news/item/1847044/,N/A,Главным следственным управлением СК России возбуждено уголовное дело в отношении начальника ГУ МЧС по Самарской области Олега Бойко и двух представителей коммерческой организации,"['взятка,', 'ГСУ СКР,', 'МЧС']",18 Декабря 2023,"Главным следственным управлением СК России возбуждено уголовное дело в отношении начальника ГУ МЧС по Самарской области Олега Бойко и двух представителей коммерческой организации. По данным следствия, Бойко получил от них взятки на сумму свыше 25 миллионов рублей за покровительство при выполнении работ в сфере организации пожарной безопасности. Подозреваемые задержаны. Решается вопрос об избрании им меры пресечения."
/news/item/1845674/,Саратовская область,"В Саратове вынесен приговор в отношении бывших руководителей акционерного общества, признанных виновными в преступлениях коррупционной направленности","['взятка,', 'коррупция,', 'лишение свободы,', 'приговор']",12 Декабря 2023,"Собранные следственными органами следственного управления СК России по Саратовской области доказательства явились достаточными для признания виновными бывших генерального директора и исполнительного директора акционерного общества в совершении четырех эпизодов преступлений, предусмотренных ч. 6 ст. 290 УК РФ и п. «а» ч. 5 ст. 290 УК РФ.
Следствием и судом установлено, что с ноября 2016 по май 2021 года генеральный директор, исполнительный директор и заместитель директора одного из акционерных обществ города Саратова получили от пяти представителей контрагентов частями взятки в виде денег в общей сумме более 8 млн рублей. Вознаграждение предназначалось за совершение незаконных действий в интересах представляемых взяткодателями организаций, а именно - за постоянную покупку товаров без проведения закупок у широкого круга лиц, а также за продажу вторичного сырья – макулатуры и отработанных пластин, образовавшихся в процессе деятельности акционерного общества.
Противоправные действия должностных лиц выявлены сотрудниками УЭБиПК ГУ МВД России по Саратовской области.
Приговором суда бывшему генеральному директору назначено наказание в виде 10 лет лишения свободы в исправительной колонии строгого режима, бывшему исполнительному директору в виде 10 лет и 6 месяцев лишения свободы в исправительной колонии строгого режима. Также осужденным назначен штраф в размере 7,5 млн с лишением права занимать определенные должности сроком на 5 лет.
Как сообщалось ранее, в отношении заместителя директора, с которым заключено досудебное соглашение о сотрудничестве, уголовное дело рассмотрено Заводским районным судом города Саратова. Приговором суда подсудимому назначено наказание в виде штрафа в размере 4 млн рублей с лишением права занимать определенные должности или заниматься определенной деятельностью сроком на 4 года."
/news/item/1845453/,N/A,Перед судом предстанет бывший начальник подразделения органов внутренних дел за получение взятки,"['взятка,', 'ГСУ СКР по СКФО']",11 Декабря 2023,"Главным следственным управлением Следственного комитета Российской Федерации по Северо-Кавказскому федеральному округу завершено расследование уголовного дела в отношении бывшего начальника Центра обеспечения и управления Временной оперативной группировки органов и подразделений (ЦОУ ВОГОиП) ГУ МВД России по СКФО Максима Рабцуна. Он обвиняется в совершении преступления, предусмотренного пп. «а», «б», «в» ч. 5 ст. 290 УК РФ (в получении взятки в виде денег в крупном размере, с вымогательством, в том числе совершенное группой лиц по предварительному сговору).
Установить обстоятельства совершенных преступлений и привлечь к уголовной ответственности Рабцуна удалось во взаимодействии с ГУСБ МВД России и УФСБ России по Ставропольскому краю. 
Следствием установлено, что в период с августа по декабрь 2020 года Рабцун совместно с заместителем начальника отдела материально-технического обеспечения Центра обеспечения и управления ВОГОиП МВД России ГУ МВД России по СКФО Сергеем Балахоновым получили от представителя подрядной организации взятку в виде денег в сумме 245 тыс. руб. за беспрепятственное подписание и утверждение актов выполненных работ по заключенным с ГУ МВД России по СКФО государственным контрактам.
В целях обеспечения исполнения приговора в части взыскания штрафа и других имущественных взысканий наложен арест на автомобиль обвиняемого. 
Уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу. 
Уголовное дело в отношении Балахонова в настоящее время рассматривается в суде."
/news/item/1844424/,Краснодарский край,В Краснодарском крае мужчина признан виновным в покушении на посредничество во взяточничестве в особо крупном размере,"['взятка,', 'деньги,', 'коррупция,', 'лишение свободы,', 'приговор']",07 Декабря 2023,"Собранные следственными органами следственного управления СК России по Краснодарскому краю доказательства признаны достаточными для вынесения судом приговора 39-летнему мужчине. Он признан виновным в покушении на посредничество во взяточничестве в особо крупном размере (ч.3 ст.30, ч.4 ст.291.1 УК РФ).
Следствием и судом установлено, что подсудимый сообщил своему знакомому о своей готовности помочь в благоприятном разрешении имевшегося у мужчины спора при условии передачи ему 16,5 миллионов рублей для дальнейшей передачи компетентным лицам из числа городской администрации. Позднее мужчина получил еще 15 миллионов рублей, которые намеревался передать в управление Росимущества за решение вопроса о передаче права аренды на земельный участок. Однако мужчина не смог передать деньги кому-либо по независящим от него обстоятельствам.
Приговором суда первой инстанциии подсудимому назначено наказание в виде в виде 10 лет лишения свободы с отбыванием наказания в колонии строгого режима со штрафом в размере 55 миллионов рублей. Мужчина обжаловал приговор, однако судом апелляционной инстанции он оставлен без изменений и вступил в законную силу."
