Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1764152/,adygheya,В отношении должностного лица возбуждено уголовное дело по факту получения взятки в крупном размере,"['взятка', 'должностное лицо']",28 Марта 2024,"Следственным отделом по городу Майкоп следственного управления Следственного комитета Российской Федерации по Республике Адыгея в отношении 63-летнего местного жителя возбуждено уголовное дело. Мужчина подозревается в совершении преступления, предусмотренного пунктом «в» части 5 статьи 290 Уголовного кодекса Российской Федерации (получение должностным лицом взятки в крупном размере).
Основанием для возбуждения уголовного дела явились материалы проверки, проведенной прокуратурой города Майкопа Республики Адыгея.
По данным следствия, подозреваемый, занимая должность главного специалиста одного из муниципальных казенных учреждений города Майкопа, действуя умышленно и преследуя цель личного обогащения, в период с апреля 2017 года по январь 2023 года получал от руководителя коммерческой организации, осуществляющей свою деятельность в сфере ритуальных услуг, взятку в виде денег за оказание муниципальной услуги «Выдача разрешения на захоронение (регистрация захоронения)», тогда как получение данной услуги не требовало оплаты. Предприниматель, зная о безвозмездности муниципальной услуги по выдаче разрешения на захоронение, но действуя в целях обеспечения нормального функционирования возглавляемой коммерческой организации и осознавая, что в противном случае ее деятельность будет нарушена, передавал подозреваемому требуемую им сумму в фиксированном размере. За период преступной деятельности подозреваемый получил взяток на общую сумму в размере 184 тысячи рублей.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств имевших место событий, выявление иных фактов преступной деятельности подозреваемого, закрепление полученных доказательств и возмещение причиненного преступлением ущерба. Расследование уголовного дела продолжается.
 
При публикации ссылка на СУ СК РФ по Республике Адыгея
ОБЯЗАТЕЛЬНА"
/news/item/1691367/,adygheya,Завершено расследование уголовного дела в отношении бывшего помощника прокурора района по факту получения взятки,['взятка'],22 Марта 2024,"Отделом по расследованию особо важных дел следственного управления СК России по Республике Адыгея завершено расследование уголовного дела в отношении бывшего помощника прокурора Гиагинского района Республики Адыгея по обвинению в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия).
По данным следствия, обвиняемый в марте 2022 года в рабочее время, находясь в служебном кабинете прокуратуры Гиагинского района, действуя умышленно из корыстных побуждений, лично получил от директора одного из коммерческих предприятий взятку в значительном размере в виде денег за незаконные действия, направленные на увод от административной ответственности за нарушение законодательства, выявленное в ходе надзорной деятельности.
Непосредственно после получения взятки незаконные действия обвиняемого были пресечены сотрудниками Управления ФСБ России по Республике Адыгея.
Уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу.
  
При публикации ссылка на СУ СК РФ по Республике Адыгея
ОБЯЗАТЕЛЬНА"
/news/item/1699190/,adygheya,В Адыгее в отношении судьи возбуждено уголовное дело за получение взятки,"['взятка', 'судья']",28 Февраля 2024,"Председателем Следственного комитета Российской Федерации с согласия Высшей квалификационной коллегии судей Российской Федерации возбуждено уголовное дело в отношении судьи Майкопского городского суда Республики Адыгея. Он подозревается в совершении преступления, предусмотренного ч. 4 ст. 290 УК РФ (получение взятки).
Производство по уголовному делу поручено сотрудникам отдела по расследованию особо важных дел следственного управления СК России по Республике Адыгея.
По данным следствия, подозреваемый в ноябре 2021 года получил взятку за принятие незаконного решения об удовлетворении исковых требований истца по гражданскому делу, находящемуся в его производстве.
Непосредственно после получения взятки незаконные действия подозреваемого пресечены сотрудниками УФСБ России по Республике Адыгея.
Решением квалификационной коллегии судей Республики Адыгея полномочия судьи досрочно прекращены.
В настоящее время по уголовному делу проводятся следственные и процессуальные действия, направленные на закрепление полученных доказательств. Расследование уголовного дела продолжается.
 
 При публикации ссылка на СУ СК РФ по Республике Адыгея
ОБЯЗАТЕЛЬНА"
/news/item/1501352/,adygheya,"В Адыгее вынесен приговор в отношении бывшего главы сельского поселения, обвиняемого в должностных преступлениях","['злоупотребление', 'приговор', 'присвоение', 'чиновник']",16 Января 2024,"Собранные следственным отделом по Майкопскому району следственного управления Следственного комитета Российской Федерации по Республике Адыгея доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении бывшего главы одного из сельских поселений Майкопского района. Он признан виновным в совершении преступлений, предусмотренных ч.3 ст.160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное с использованием своего служебного положения) и ч.2 ст.285 УК РФ (злоупотребление должностными полномочиями, совершенное лицом, являющимся главой органа местного самоуправления).
Уголовное дело возбуждено по материалам, поступившим из органов прокуратуры и органов внутренних дел Республики Адыгея.
Следствием и судом установлено, что обвиняемый, занимая должность главы сельского поселения, действуя умышленно и используя свои служебные полномочия вопреки нормам действующего законодательства, в декабре 2018 года незаконно выписал себе премию в размере 41 тысячи рублей. Всеми полученными денежными средствами обвиняемый распорядился по своему усмотрению.
Кроме того, обвиняемый, используя свои служебные полномочия вопреки интересам службы, из корыстной заинтересованности, в период с июня по август 2019 года получил заработную плату, премию и компенсацию за неиспользованный отпуск в общем размере более 36 тысяч рублей, причитающиеся работнику, фиктивно оформленному на работу и фактически не осуществляющему трудовые функции.
Приговором суда обвиняемому назначено наказание в виде 2 (двух) лет 2 (двух) месяцев лишения свободы с испытательным сроком на 1 год 6 месяцев, со штрафом в размере 150 тысяч рублей. Приговор суда вступил в законную силу 18.09.2020."
/news/item/1701313/,adygheya,В Адыгее в отношении заведующего отделением и эксперта одного из экспертных учреждений возбуждено уголовное дело за получение взятки,['взятка'],23 Ноября 2023,"Тахтамукайским межрайонным следственным отделом следственного управления СК России по Республике Адыгея по материалам проверки, поступившим из подразделения экономической безопасности и противодействия коррупции муниципального отдела МВД России «Адыгейский», в отношении заведующего отделением и эксперта одного из экспертных учреждений республики возбуждено уголовное дело. Фигуранты подозреваются в совершении преступления, предусмотренного п. «а» ч. 5 ст. 290 УК РФ (получение взятки группой лиц по предварительному сговору).
По данным следствия заведующий отделением и эксперт одного из экспертных учреждений республики в ноябре 2021 года в нарушение установленного порядка выдали по просьбе родственников умершего медицинское свидетельство о смерти без вскрытия трупа и проведения судебно-медицинской экспертизы. За свои незаконные действия подозреваемые получили взятку в виде денег в сумме 35 тыс. рублей.
Кроме того, ранее в период с апреля по июнь 2022 года в отношении одного из подозреваемых - заведующего отделением возбуждено еще 10 уголовных дел за получение взяток за аналогичные незаконные действия. В отношении подозреваемого избрана мера пресечения в виде домашнего ареста. В связи с систематическим нарушением подозреваемым ограничений, установленных избранной мерой пресечения, следователь обратился в суд с ходатайством об изменении меры пресечения на заключение под стражу, которое суд удовлетворил.
В настоящее время по уголовному делу проводятся следственные и процессуальные действия, направленные на закрепление полученных доказательств, проводится работа по выявлению других аналогичных фактов незаконных действий подозреваемого. Расследование уголовного дела продолжается.
  
При публикации ссылка на СУ СК РФ по Республике Адыгея
ОБЯЗАТЕЛЬНА"
/news/item/1481871/,adygheya,В Адыгее мужчина обвиняется в покушении на мошенничество в особо крупном размере,"['коррупция', 'мошенничество', 'обвинение']",22 Ноября 2023,"Отделом по расследованию особо важных дел следственного управления СКР по Республике Адыгея возбуждено уголовное дело по материалам, поступившим из республиканского УФСБ России в отношении 42-летнего жителя города Краснодара. Он обвиняется в покушении на мошенничество в особо крупном размере (ч.3 ст.30, ч.4 ст.159 УК РФ).
По версии следствия, 42-летний мужчина узнал от своих знакомых, что они являются фигурантами одного из уголовных дел. В июле 2020 года обвиняемый  с целью личного обогащения решил похитить денежные средства знакомых. В этой связи, мужчина сообщил им, что может оказать содействие в прекращении уголовного дела, при условии получения им 2 миллионов рублей, которые он якобы передаст должностным лицам. В действительности, мужчина собирался все денежные средства присвоить себе. О данном требовании заявитель сообщил в правоохранительные органы. 2 июля 2020 года в одном из ресторанов города Майкопа фигурант встретился с заявителем и получил от последнего требуемую сумму. Распорядиться полученными деньгами он не смог, поскольку был задержан оперативными сотрудниками управления ФСБ России по Республике Адыгея.
 В настоящее время в отношении обвиняемого избрана мера пресечения в виде заключения под стражу, проводятся необходимые следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1492375/,adygheya,В Республике Адыгея в суд направлено уголовное дело о получении взятки сотрудником органа внутренних дел,['взятка'],13 Ноября 2023,"В Республике Адыгея в суд направлено уголовное дело о получении взятки сотрудником органа внутренних дел
Следственными органами следственного управления Следственного комитета Российской Федерации по Республике Адыгея по материалам, поступившим из УФСБ России по Республике Адыгея, возбуждено и расследовано уголовное дело по обвинению сотрудника одного из подразделений Отдела МВД России по городу Майкопу в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение должностным лицом взятки за незаконные действия).
Следствием установлено, что обвиняемый, являясь должностным лицом одного из подразделений Отдела МВД России по городу Майкопу, действуя из корыстных побуждений, в конце ноября 2019 года лично сообщил местному жителю, в отношении которого в орган внутренних дел поступил и на рассмотрении находится материал о совершении преступления, о том, что он за денежное вознаграждение может оказать содействие гражданину в принятии решения об отказе в возбуждении уголовного дела и уводе заподозренного от уголовной ответственности. Полученной через несколько дней лично взяткой в виде денежных средств обвиняемый распорядился по собственному усмотрению.
Уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу. Санкция статьи, по которой предъявлено обвинение, предусматривает максимальное наказание в виде лишения свободы на срок от трех до восьми лет со штрафом в размере до сорокакратной суммы взятки и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет."
/news/item/1764803/,adygheya,В Адыгее полицейскому предъявлено обвинение в покушении на мошенничество с использованием своего служебного положения,"['мошенничество', 'представитель власти']",31 Октября 2023,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Республике Адыгея в отношении оперативного сотрудника Отдела МВД России по Тахтамукайскому району возбуждено уголовное дело. Мужчине предъявлено обвинение в совершении преступления, предусмотренного ч.3 ст. 30, ч.3 ст. 159 УК РФ (покушение на мошенничество с использованием своего служебного положения).
Уголовное дело возбуждено по материалам проверки, поступившим из подразделения собственной безопасности МВД Республики Адыгея.
По данным следствия, обвиняемый, пребывая в должности оперуполномоченного и являясь представителем власти, действуя из корыстных побуждений, в один из дней ноября 2022 года сообщил доставленному в отдел полиции ранее судимому гражданину не соответствующую действительности информацию об осуществлении уголовного преследования в отношении доставленного и предложил за денежное вознаграждение помочь избежать заключения под стражу и уйти от уголовной ответственности.
Гражданин, введенный в заблуждение относительно вопроса возбуждения в его отношении уголовного дела и последующего водворения в следственный изолятор, в тот же день перевел часть требуемой суммы с банковской карты по реквизитам, предоставленным самим обвиняемым, и достиг с ним договоренности о переводе оставшейся суммы не позднее следующего дня.
Свои преступные действия обвиняемый не смог довести до конца по независящим от него обстоятельствам, поскольку был задержан сотрудниками подразделения собственной безопасности МВД Республики Адыгея при силовой поддержке Управления Росгвардии по Республике Адыгея.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств имевших место событий и закрепление полученных доказательств. Расследование уголовного дела продолжается.  
 
При публикации ссылка на СУ СК РФ по Республике Адыгея
ОБЯЗАТЕЛЬНА"
/news/item/1820965/,adygheya,В Адыгее за получение взяток перед судом предстанут заведующий отделением одного из экспертных учреждений и судебно-медицинский эксперт,['взятка'],30 Октября 2023,"Тахтамукайским межрайонным следственным отделом следственного управления СК России по Республике Адыгея завершено расследование уголовного дела в отношении заведующего отделением одного из экспертных учреждений и судебно-медицинского эксперта. Заведующий отделением экспертного учреждения обвиняется в совершении ряда преступлений, предусмотренных ч. 1 и ч. 2 ст. 290 УК РФ (получение должностным лицом взятки), ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия), п. «а» ч. 5 ст. 290 УК РФ (получение взятки группой лиц по предварительному сговору), ч. 1 ст. 286 УК РФ (превышение должностных полномочий), всего установлено 20 эпизодов преступной деятельности обвиняемого.
Судебно-медицинскому эксперту предъявлено обвинение в совершении пяти эпизодов преступления, предусмотренного п. «а» ч. 5 ст. 290 УК РФ (получение взятки группой лиц по предварительному сговору), и трех эпизодов преступления, предусмотренного ч. 3 ст. 160 УК РФ (присвоение вверенного имущества).
Уголовное дело возбуждено по материалам, поступившим из подразделения экономической безопасности и противодействия коррупции муниципального отдела МВД России «Адыгейский» и МВД по Республике Адыгея.
По версии следствия, в период с 2019 года по 2022 год заведующий отделением экспертного учреждения вместе с судебно-медицинским экспертом получали взятки за ускорение проведения судебно-медицинских экспертиз в отношении умерших, а также выдавали свидетельства о смерти без проведения вскрытия в нарушение установленного порядка. Также обвиняемые за взятки передавали работникам ритуальных агентств данные о лицах, погибших в результате дорожно-транспортных происшествий. 
Кроме того, судебно-медицинский эксперт присваивал денежные средства, которые передавались ему родственниками умерших в счет оплаты, медицинских услуг по подготовке тела к захоронению, и распоряжался ими по своему усмотрению. Общая сумма полученных взяток и хищений составляет более 600 тысяч рублей.
Уголовное дело с утвержденным Теучежской межрайонной прокуратурой обвинительным заключением направлено в суд для рассмотрения по существу.
 
При публикации ссылка на СУ СК РФ по Республике Адыгея ОБЯЗАТЕЛЬНА"
/news/item/1775080/,adygheya,В Адыгее в отношении двух участковых уполномоченных полиции возбуждены уголовные дела за получение взяток,['взятка'],02 Октября 2023,"Следственным отделом по г. Майкоп следственного управления СК России по Республике Адыгея в отношении двух участковых уполномоченных полиции ОМВД России по г. Майкопу возбуждены уголовные дела. Они подозреваются в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки за незаконные действия).
По данным следствия, участковый уполномоченный полиции ОМВД России по г. Майкопу в период с февраля 2020 года по февраль 2021 года получил от работника местного ритуального агентства взятку в виде денег на общую сумму более 10 тыс. рублей посредством безналичного перевода за предоставление персональных данных умерших граждан для последующего заключения ритуальным агентством договора на оказание ритуальных услуг с родственниками умерших.
Другой подозреваемый совершил аналогичные незаконные действия в период с ноября 2020 года по февраль 2021 года, за которые также получил взятку в виде денег на общую сумму 10 тыс. рублей.
Уголовные дела возбуждены по материалам, собранным оперативниками службы собственной безопасности МВД по Республике Адыгея. В отношении участковых уполномоченных полиции в МВД по Республике Адыгея проводится служебная проверка.
В настоящее время по уголовному делу проводятся следственные и процессуальные действия, направленные на закрепление полученных доказательств. Органом следствия также будет дана правовая оценка действиям работника ритуального агентства. Расследование уголовного дела продолжается.
 
При публикации ссылка на СУ СК РФ по Республике Адыгея
ОБЯЗАТЕЛЬНА"
