Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1349623/,altai-krai,"Следственными органами СКР по Алтайскому краю завершено расследование уголовного дела в отношении жительницы Республики Узбекистан, обвиняемой в покушении на мелкое взяточничество",['взятка'],17 Апреля 2024,"Следственным отделом по городу Рубцовск следственного управления Следственного комитета Российской Федерации по Алтайскому краю завершено расследование уголовного дела в отношении 42-летней жительницы Республики Узбекистан. Она обвиняется в совершении преступления, предусмотренного ч. 3 ст. 30 ч. 1 ст. 291.2 УК РФ (покушение на совершение мелкого взяточничества, то есть дача взятки лично в размере, не превышающем десяти тысяч рублей, если при этом преступление не было доведено до конца по не зависящим от этого лица обстоятельствам).
По данным следствия, в марте 2019 года в городе Рубцовске в ходе проверки документов у иностранных граждан, находившихся в остановленном сотрудниками ДПС ГИБДД автомобиле, выявлен факт отсутствия законных оснований для пребывания гражданки Республики Узбекистан на территории Российской Федерации. За непринятие мер к надлежащему оформлению выявленного правонарушения, которое влечет наложение значительного штрафа с выдворением за пределы России, женщина попытался дать сотруднику полиции взятку в размере 2000 рублей. Довести преступный умысел до конца ей не удалось, так как полицейский  от денежных средств отказался.
В ходе предварительного следствия собраны достаточные доказательства, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
Старший помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по взаимодействию со СМИ Людмила Рязанцева"
/news/item/1601528/,altai-krai,Бывшая представитель Губернатора и Правительства в Алтайском краевом Законодательном Собрании Стелла Штань признана виновной в мошенничестве в особо крупном размере,['мошенничество'],10 Апреля 2024,"Собранные вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Алтайскому краю доказательства признаны достаточными для вынесения приговора бывшему представителю Губернатора и Правительства в Алтайском краевом Законодательном Собрании Стелле Штань. Она признана виновной  в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана и злоупотребления доверием, совершенное группой лиц по предварительному сговору, лицом с использованием своего служебного положения и в особо крупном размере).
Следствием и судом установлено, что с 2010 по 2015 год в фактической собственности Штань имелось нежилое помещение. С целью его продажи она обратилась к знакомому риэлтору помочь найти покупателя. Узнав о продаже недвижимости, директор частного детского сада «HAPPY BABY» города Барнаула Елена Воротникова, подыскивающая помещение, в ноябре 2015 года встретилась с продавцом и риэлтором с целью его покупки. Однако она не имела в наличии достаточных денежных средств для приобретения недвижимости в рамках выполнения условий долевого финансирования по государственной программе «Поддержка и развитие малого и среднего предпринимательства в Алтайском крае». Действуя в группе лиц по предварительному сговору, женщины изготовили фиктивные документы: договор купли-продажи, в котором стоимость помещения была существенно завышена и расписку о передаче денежных средств в качестве частичного расчета по договору. Данные документы они предоставили в Главное управления образования и молодежной политики Алтайского края, на основании чего получили субсидии в размере 14 миллионов рублей из федерального бюджета. В дальнейшем, денежными средствами воспользовалась Штань, а Воротникова оформила в собственность нежилое помещение площадью более 415 квадратных метров.
Оперативное сопровождение по уголовному делу осуществлялось сотрудниками УФСБ России по Алтайскому краю.
Ранее в отношении Елены Воротниковой судом был вынесен приговор и назначено наказание в виде 3 лет лишения свободы условно с выплатой штрафа в размере 300 тысяч рублей.
В начале предварительного следствия Стелла Штань вину не признавала, однако под тяжестью собранных следствием доказательств, призналась в содеянном и возместила ущерб в полном объеме. Следователем СК в обеспечение гражданского иска и возможной конфискации, на ее имущество стоимостью более 4 миллионов рублей наложен арест. Следствием собраны достаточные доказательства, которые суд принял во внимание, назначив Стелле Штань наказание в виде 3 лет лишения свободы условно с испытательным сроком 3 года.
Старший помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по информационному взаимодействию с общественностью и СМИ Людмила Рязанцева"
/news/item/1728153/,altai-krai,В Алтайском крае руководитель отдела научно-исследовательского института садоводства подозревается в получении взятки,['взятка'],09 Апреля 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Алтайскому краю возбуждено уголовное дело в отношении руководителя отдела «Научно-исследовательский институт садоводства Сибири имени М.А. Лисавенко». Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки в значительном размере).
По данным следствия, с 2017 по 2022 год подозреваемый получил взятку от представителя коммерческих организаций, осуществляющих предпринимательскую деятельность по реализации систем капельного орошения, укрывного материала, саженцев и иных товаров для садоводства. Взятка предназначалась за принятие юридически значимых  решений о выборе данных организаций в качестве основного поставщика товарно-материальных ценностей до проведения каких-либо закупочных процедур. Деньги на общую сумму 99 тысяч рублей перечислялись частями на банковский счет подозреваемого.
Преступление выявлено сотрудниками ОЭБиПК УМВД России по городу Барнаулу.
В настоящее время следствием проводятся следственные действия, направленные на установление обстоятельств произошедшего. Расследование уголовного дела продолжается.
Старший помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по информационному взаимодействию с общественностью и СМИ Людмила Рязанцева"
/news/item/1503879/,altai-krai,Бухгалтер Комитета по управлению имуществом города Белокурихи предстанет перед судом по обвинению в присвоении денежных средств с использованием служебного положения,['присвоение'],03 Апреля 2024,"Белокурихинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Алтайскому краю завершено расследование уголовного дела в отношении бухгалтера Комитета по управлению имуществом города Белокурихи. Она обвиняется в совершении преступления, предусмотренного ч. 3 ст. 160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения).
По данным следствия, в период с января 2017 по декабрь 2019 года обвиняемая, работая бухгалтером, имела доступ к управлению расчетным счетом Комитета.  Женщина изготавливала платежные документы, в которых умышленно завышала сумму, подлежащую к перечислению в качестве ее заработной платы и в дальнейшем списывала эти суммы с лицевого счета организации. Путем присвоения бухгалтер похитила  финансовые средства Комитета в сумме более 400 тысяч рублей.
В ходе следствия обвиняемая признала вину в совершенном преступлении. Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утверждённым прокурором города Белокурихи обвинительным заключением направлено в суд для рассмотрения по существу.
 
Помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по взаимодействию со СМИ Елена Коновалова"
/news/item/1776848/,altai-krai,В городе Бийске следователями СК задержана ректор высшего учебного заведения,['превышение полномочий'],02 Апреля 2024,"Следственным отделом по городу Бийск следственного управления Следственного комитета Российской Федерации по Алтайскому краю возбуждено уголовное дело в отношении ректора одного из ВУЗов города Бийска. Она подозревается в совершении преступлений, предусмотренных ч. 1 ст. 286 УК РФ (превышение должностных полномочий) и п. «е» ч. 3 ст. 286 УК РФ (превышение должностных полномочий из корыстной заинтересованности).
По данным следствия, с 2021 по 2022 год должностное лицо, используя свое служебное положение, истребовала от двух своих подчиненных принадлежащие им денежные средства, выделенные в качестве стимулирующих выплат. Общая сумма незаконно истребованных частями денежных средств составила более 1 миллиона 590 тысяч рублей.
Преступление выявлено оперативными сотрудниками Управления ФСБ России по Алтайскому краю.
В настоящее время подозреваемая задержана в порядке ст. 91 УПК РФ. Следователем СК готовится ходатайство в суд об избрании в отношении нее меры пресечения в виде заключения под стражу. Следствием ведется сбор и закрепление доказательств по уголовному делу для предъявления женщине обвинения. Расследование продолжается.
Старший помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по информационному взаимодействию с общественностью и СМИ Людмила Рязанцева"
/news/item/1492951/,altai-krai,В Табунском районе ветеринарный врач обвиняется в получении взятки от предпринимателя,['взятка'],01 Апреля 2024,"Кулундинским межрайонным следственным отделом  следственного управления Следственного комитета Российской Федерации по Алтайскому предъявлено обвинение ветеринарному врачу КГБУ «Управление ветеринарии государственной ветеринарной службы Алтайского края по Табунскому  району» в совершении преступления, предусмотренного  ч. 3 ст. 290 УК РФ (получение должностным лицом взятки в виде денег в значительном размере).
По данным следствия, обвиняемый получил лично взятку в виде денег в значительном размере в общей сумме более 77 тысяч рублей от индивидуального предпринимателя  за совершение незаконных действий по беспрепятственному оформлению и выдаче ветеринарных свидетельств без фактического осмотра и проведения проверки продукции – шкур крупно-рогатого скота.
Следствием проводятся необходимые мероприятия, направленные на установление иных фактов совершения преступления. Расследование уголовного дела продолжается.
Старший помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по взаимодействию со СМИ Людмила Рязанцева"
/news/item/1844071/,altai-krai,Директор спортивной школы и бывший председатель комитета по физической культуре и спорту администрации города Заринска признаны виновными в мошенничестве,['мошенничество'],29 Марта 2024,"Собранные Заринским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Алтайскому краю доказательства признаны судом достаточными для вынесения приговора директору спортивной школы и бывшему председателю комитета по физической культуре и спорту администрации города Заринска. Они признаны виновными в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения, группой лиц по предварительному сговору).
Следствием и судом установлено, что в июле 2022 года директор спортивной школы и председатель комитета вступили в преступный сговор на хищение нереализованных денежных средств, выделенных на проведение летней Олимпиады городов Алтайского края. Используя свое служебное положение, они обратились к знакомому индивидуальному предпринимателю, занимающемуся изготовлением рекламной продукции и, не посвятив в свой преступный умысел, предложили ему заключить фиктивную сделку со спортивной школой по продаже рекламной продукции. В результате были изготовлены и подписаны документы, содержащие заведомо ложные и недостоверные сведения на куплю-продажу баннеров с перечислением денежных средств. В дальнейшем деньги были переданы предпринимателем, введенным в заблуждение, директору спортивной школы и сотруднику администрации города Заринска. Полученные мошенническим путем денежные средства фигуранты уголовного дела разделили между собой в равных долях и распорядились по своему усмотрению, причинив Министерству спорта Алтайского края ущерб в сумме более 98 тысяч рублей.  
Преступление было выявлено сотрудниками Управления ФСБ России по Алтайскому краю.
Суд, оценив собранные в ходе следствия доказательства, признал подсудимых виновными в инкриминируемом им деянии и назначил наказание в виде лишения свободы условно. Также они лишены права занимать должности, связанные с осуществлением организационно-распорядительных и административно-хозяйственных полномочий в органах власти, на определённый срок.
Помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по информационному взаимодействию с общественностью и СМИ Ольга Чеснокова"
/news/item/1449058/,altai-krai,"Следственными органами СКР по Алтайскому краю возбуждено уголовное дело в отношении жителя Республики Узбекистан, подозреваемого в покушении на дачу взятки сотруднику полиции",['взятка'],27 Марта 2024,"Каменским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Алтайскому краю возбуждено уголовное дело в отношении 53-летнего жителя Республики Узбекистан, подозреваемого в совершении преступления, предусмотренного ч.3 ст.30, ч.1 ст.291.2 УК РФ (покушение на дачу взятки в размере, не превышающем десяти тысяч рублей).
По версии следствия,  11 марта  2020 года на автомобильной дороге в Панкрушихинском районе сотрудниками ДПС ГИБДД был остановлен автомобиль подозреваемого. В связи с тем, что водителем были нарушены правила оказания услуг по перевозке граждан другой Республики, он был приглашен в  патрульную машину для составления административного материала. За не составление протокола об административном правонарушении, мужчина, действуя в интересах своего сына,  попытался дать взятку сотруднику полиции в размере 1 тысячи рублей. Довести преступный умысел до конца мужчине не удалось в связи с тем, что полицейский от взятки отказался.
В настоящее время по уголовному делу проводится комплекс следственных действий, направленных на дальнейший сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается.
Помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по взаимодействию со СМИ Елена Коновалова"
/news/item/1140754/,altai-krai,Начальник РЭО ГИБДД МУ МВД России «Бийское» задержан по подозрению в получении взятки,[],13 Марта 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета РФ по Алтайскому краю по материалам, поступившим из Управления ФСБ России по Алтайскому краю, возбуждено  уголовное дело в отношении начальника РЭО ГИБДД МУ МВД России «Бийское», подозреваемого в совершении преступления, предусмотренного ч.3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия).
По данным следствия, 5 мая 2016 года  в служебном помещении начальник РЭО получил через посредника в качестве взятки денежные средства от местной жительницы за совершение в ее пользу незаконных действий. Подозреваемый содействовал гражданке в получении положительных оценок за теоретический и практические экзамены на проверку навыков вождения и знаний правил дорожного вождения без их фактической сдачи для последующей выдачи водительского удостоверения. Противоправные действия должностного лица  были пресечены сотрудниками Управления ФСБ России по Алтайскому краю.
По ходатайству следователя судом в отношении подозреваемого избрана мера пресечения в виде заключения под стражу.
В настоящее время проводятся следственные действия,  направленные на установление всех обстоятельств произошедшего и выявление иных возможных фактов противоправной деятельности подозреваемого. Расследование уголовного дела продолжается.
 
Старший помощник руководителя следственного управления Следственного комитета РФ по Алтайскому краю по взаимодействию со СМИ Ольга Чеснокова"
/news/item/1140577/,altai-krai,"Перед судом предстанет глава одного из сельсоветов Первомайского района и местный житель, обвиняемые в мошенничестве и пособничестве в мошенничестве",[],11 Марта 2024,"Новоалтайским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Алтайскому краю завершено расследование уголовного дела в отношении главы одного из сельсоветов Первомайского района, обвиняемой в совершении преступления, предусмотренного ч. 5 ст. 33, ч. 3 ст. 159 УК РФ (пособничество в мошенничестве, совершенное в крупном размере) и местного жителя, обвиняемого в совершении преступления, предусмотренного ч. 3 ст.159 УК РФ (мошенничество, совершенное в крупном размере). 

По данным следствия, в период с октября 2008 года по август 2009 года обвиняемая, являясь главой одного из сельсоветов Первомайского района, по просьбе знакомого оказала ему содействие в незаконном приобретении права собственности на земельный участок, стоимостью более 399 тысяч рублей. Она подписала подложные документы, на основании которых обвиняемый получил право собственности на землю. Своими действиями обвиняемые причинили муниципальному бюджету ущерб на сумму более 399 тысяч рублей, что является крупным размером. 

По словам заместителя руководителя Новоалтайского межрайонного следственного отдела СУ СКР по Алтайскому краю Николая Воронкова, в ходе следствия была собрана достаточная доказательственная база, подтверждающая причастность обвиняемых к совершению преступления. В связи с чем, уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу. 
Помощник руководителя следственного управления по взаимодействию со СМИ Евгения Беликова"
