Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1655432/,altai,"Директору Турочакского лесничества предъявлено обвинение в получении взятки, он заключен под стражу","['взятка', 'коррупция']",06 Мая 2024,"Следственными органами следственного управления СК России по Республике Алтай директору Турочакского лесничества предъявлено обвинение в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки должностным лицом в крупном размере). На основании ходатайства следователя в отношении обвиняемого судом избрана мера пресечения в виде заключения под стражу. 
По предварительным данным, в ноябре и декабре 2021 года директор казенного учреждения  Республики Алтай «Турочакское лесничество», являясь должностным лицом, заключил с одним из лесозаготовителей, являющимся местным жителем, ряд договоров купли-продажи лесных насаждений, в которых незаконно указал, что последний вправе заготовить новогодние ели на отведенных лесоделянах, расположенных на территории Ушпинского участкового лесничества в урочище «Турочакское». За совершение подобных незаконных действий директор лесничества потребовал от лесозаготовителя передать ему денежное вознаграждение в размере 10% от всей суммы выручки, полученной от реализации елей. Согласно достигнутой преступной договоренности в указанный период времени директор лесничества самостоятельно выписывал на имя лесозаготовителя квитанции на отпуск новогодних елей в целях создания видимости законности их заготовки и перевозки до покупателей, за что лично частями получил взятку на общую сумму не менее 180 000 рублей от лица, в чьих интересах действовал.
Кроме того, взяткодателю следователями также предъявлено обвинение в совершении преступления, предусмотренного ч. 4 ст. 291 УК РФ (дача взятки должностному лицу в крупном размере). Учитывая полное признание вины обвиняемым, его активное способствование расследованию указанных коррупционных преступлений, наличие 6-ти детей, трое из которых несовершеннолетние, по ходатайству следственного органа судом в отношении него избрана мера пресечения, ограничивающая свободу, в виде домашнего ареста.
Следователями проводится комплекс иных следственных и процессуальных  действий, направленных на сбор и закрепление доказательственной базы. Расследование уголовных дел продолжается."
/news/item/1653235/,altai,В Горно-Алтайске по уголовному делу о даче взятки судебному приставу-исполнителю  осужден житель Волгоградской области,"['взятка', 'приговор']",03 Мая 2024,"Собранные следователями следственного отдела по городу Горно-Алтайск следственного управления СК России по Республике Алтай доказательства признаны достаточными для вынесения судом приговора в отношении 35-летнего жителя Волгоградской области. Он признан виновным в совершении  преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки в значительном размере должностному лицу за совершение заведомо незаконных действий).
Следствием и судом установлено, что весной 2021 года житель Волгограда, являясь адвокатом палаты адвокатов Волгоградской области, выступая в интересах физического лица (взыскателя) по исполнительному листу, предложил сотруднику службы судебных приставов-исполнителей, являющемуся должностным лицом, оказать содействие по незаконному взысканию по исполнительному лицу денежных средств со страховой компании в размере 395 000 рублей, за взятку в размере 10% от взысканной суммы, то есть в значительном размере 39 500 рублей.
После этого в мае 2021 года злоумышленник в подтверждение своих преступных намерений лично перечислил на банковский счет судебного пристава-исполнителя часть взятки в размере 10 000 рублей, а остаток денежных средств в размере 29 500 рублей намеревался передать после перечисления взысканной суммы на банковский счет взыскателя. Однако сотрудник службы судебных приставов сообщил о произошедшем в службу собственной безопасности и в УФСБ России по Республике Алтай.
Обвиняемый полностью признал свою вину, раскаявшись в содеянном.
Суд, приняв во внимание собранные следствием доказательства, признал его виновным и назначил наказание в виде штрафа в размере 300 000 рублей.
Приговор не вступил в законную силу."
/news/item/1745917/,altai,В Онгудайском районе за совершение должностного преступления осужден участковый лесничий,"['взятка', 'коррупция', 'приговор']",03 Мая 2024,"Собранные следователями Усть-Канского межрайонного следственного отдела следственного управления СК России по Республике Алтай доказательства признаны судом достаточными для вынесения приговора в отношении 50-летнего местного жителя. Он признан судом виновным в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (получение взятки лично в размере, не превышающем десяти тысяч рублей).
Следствием и судом установлено, что 29 сентября 2021 года около 17 часов в селе Ябоган Усть-Канского района участковый лесничий Ябоганского участкового лесничества, являясь должностным лицом, из корыстных побуждений лично получил от местного жителя денежные средства в сумме 5000 рублей в качестве мелкой взятки за совершение незаконных действий в пользу последнего - за отвод деловой древесины в виде 7 сырорастущих деревьев породы лиственница в нарушение установленного порядка предоставления лицу права на рубку лесных насаждений.
Суд, с учетом собранных по уголовному делу доказательств, признал его виновным и назначил ему наказание в виде штрафа. Приговор вступил в законную силу."
/news/item/1355125/,altai,"В Чемальском районе окончено очередное дело в отношении бывшей заведующей детского сада, присваивавшей деньги",['присвоение'],06 Марта 2024,"Майминским межрайонным следственным отделом СУ СК России по Республике Алтай окончено расследование уголовного дела в отношении 49-летней женщины, которая ранее занимала должность заведующей одного из муниципальных дошкольных образовательных учреждений Чемальского района. Органами следствия она обвиняется в совершении преступления, предусмотренного ч.3 ст.160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения).
Следствием установлено, что в период с января по октябрь 2016 года в с.Чемал заведующая детского сада «Медвежонок», используя свое служебное положение, путем присвоения похитила денежные средства учреждения на общую сумму 132 674,77 руб. Женщина фиктивно трудоустроила в качестве сторожей и кочегаров своего мужа и медицинскую сестру детского сада, хотя те фактически не исполняли обязанности таковых. Обвиняемая представляла в бухгалтерию заведомо ложные сведения о необходимости изготовления бухгалтерских документов о выплате им заработной платы.
Уголовное дело передано прокурору Чемальского района для решения вопроса об утверждении обвинительного заключения и последующего направления в суд для рассмотрения по существу.
Стоит отметить, что в отношении злоумышленницы расследовались уголовные дела о совершении ею аналогичных преступлений, совершенных в период с января 2009 года по декабрь 2010 года, а также с января 2011 года по июнь 2014 года. Общая сумма ущерба по двум делам составила более 900 тысяч рублей."
/news/item/1736996/,altai,В Республике Алтай осуждены бывший министр здравоохранения и его помощник за совершение коррупционных преступлений,"['взятка', 'коррупция', 'мошенничество']",04 Марта 2024,"Собранные следователями следственного управления СК России по Республике Алтай доказательства признаны достаточными для вынесения судом приговора в отношении бывшего министра здравоохранения Республики Алтай Сергея Коваленко и его помощника Рустама Туюнчекова. Коваленко признан виновным в совершении преступления, предусмотренного пунктами «а», «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия, совершенное лицом, занимающим государственную должность  субъекта РФ, организованной группой, в крупном размере), а также двух преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение должностным лицом взятки, совершенное лицом, занимающим государственную должность  субъекта РФ, организованной группой, в особо крупном размере); Туюнчеков – в совершении преступлений, предусмотренных пунктами «а», «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия, совершенное организованной группой, в крупном размере), ч. 1 ст. 159 УК РФ (мошенничество), а также двух преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия, совершенное организованной группой, в особо крупном размере).
Следствием и судом установлено, что в период с апреля 2020 года по январь 2021 года министр здравоохранения Республики Алтай Коваленко и его помощник Туюнчеков, действуя в составе организованной группы, неоднократно получали от руководителей коммерческих организаций взятки в виде денег в крупном и особо крупном размерах на общую сумму свыше 16 млн рублей в качестве вознаграждения за заключение прямых государственных контрактов с подконтрольными поставщикам юридическими лицами, а также за предоставление преимуществ, общее покровительство и иное способствование заключению с ними государственных контрактов на поставку медицинских изделий и товаров (средств индивидуальной защиты) для нужд системы здравоохранения республики, обеспечение последующего их беспрепятственного принятия и своевременной оплаты.
Все преступления выявлены в тесном взаимодействии следователей следственного управления с оперативными подразделения УФСБ России по Республике Алтай, благодаря грамотно спланированным и проведенным последними оперативно-розыскным мероприятиям, а также следственным действиям, проведенным на основании представленных результатов оперативно-розыскной деятельности.
В ходе предварительного расследования уголовного дела проведен большой объем следственных и иных процессуальных действий, в том числе ряд судебных экспертиз, изучено значительное количество документов, связанных с заключением государственных контактов; проведены обыски по месту жительства обвиняемых, направленные на установление имущества, добытого преступным путем. В результате проделанной работы следователями на основании полученного в установленном порядке судебного решения наложен арест на имущество обвиняемых на общую сумму свыше 18 млн рублей.
Обвиняемые частично признали вину в совершении инкриминируемых им преступных деяний, их причастность к совершению вышеуказанных коррупционных преступлений подтверждается показаниями свидетелей, заключениями проведенных судебных экспертиз, а также иными доказательствами в их совокупности.
Суд, приняв во внимание собранные следствием доказательства, признал их виновными и, с учетом смягчающих обстоятельств,  назначил обоим осужденным наказание в виде 10 лет лишения свободы со штрафом в размере 15 млн рублей и с лишением права занимать должности в государственных органах и органах местного самоуправления, связанные с выполнением организационно-распорядительных и административно-хозяйственных функций сроком на 5 лет, с отбыванием лишения свободы в исправительной колонии строгого режима. Приговор суда в законную силу не вступил.
Следует отметить, что все руководители коммерческих организаций, являвшиеся взяткодателями, уже осуждены."
/news/item/1814023/,altai,В Республике Алтай осуждена глава Чепошского сельского поселения по уголовному делу о совершении должностного преступления,"['должностные преступления', 'превышение полномочий']",03 Марта 2024,"Собранные следователями следственных органов следственного управления СК России по Республике Алтай доказательства признаны достаточными для вынесения судом приговора в отношении главы Чепошского сельского поселения. Она признана виновной в совершении должностного преступления,  предусмотренного ч. 2 ст. 286 УК РФ (превышение должностных полномочий, совершенное главой органа местного самоуправления).
Следствием и судом установлено, что в августе 2021 года в селе Чепош Чемальского района Республики Алтай глава муниципального образования «Чепошское сельское поселение», являясь должностным лицом, выходя за пределы своих полномочий, от имени администрации сельского поселения заключила со своей родной сестрой договор купли-продажи находящегося в распоряжении районной администрации земельного участка площадью более 53 тыс. кв.м. рыночной стоимостью свыше 4 млн рублей, передав его в собственность последней за плату в размере 12 665,66 рублей, причинив тем самым муниципальному образованию имущественный ущерб в особо крупном размере.
Несмотря на непризнание вины подсудимой, суд, приняв во внимание собранные следствием доказательства, признал ее виновной и назначил ей наказание в виде штрафа в размере 200 тыс. рублей с лишением права занимать должности на государственной службе и в органах местного самоуправления, связанных с выполнением функций представителя власти, выполнением организационно-распорядительных и административно-хозяйственных функций, сроком на 2 года. Приговор в законную силу не вступил."
/news/item/1184752/,altai,В Республике Алтай перед судом предстанет директор общества с ограниченной ответственностью «Гранит»  за дачу взяток,[],01 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Алтай завершено расследование уголовного дела в отношении Меделхана Бегимбекова, занимавшего должность директора ООО «Гранит», он обвиняется в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу лично за совершение заведомо незаконных действий, совершенная в особо крупном размере), а также в совершении преступления, предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу через посредника за совершение заведомо незаконных действий, совершенная в крупном размере).
По версии следствия, Бегимбеков, являясь директором ООО «Гранит» передал взятку в виде денег в особо крупном размере главе муниципального образования «Кош-Агачский район» Джаткамбаеву А.Ж. за способствование совершению в его пользу незаконных действий, связанных с обеспечением победы ООО «Гранит» в аукционе, проводимом на право заключения контракта на выполнение работ по строительству средней общеобразовательной школы Кош-Агачского района Республики Алтай.
Также Бегимбеков, через посредника передал взятку в виде денег в крупном размере руководителю Управления Федеральной антимонопольной службы по Республике Алтай Елбаевой Н.А. за способствование совершению в его пользу незаконных действий, связанных с обеспечением победы ООО «Гранит» в аукционе, проводимом на право заключения контракта на выполнение работ по  строительству средней общеобразовательной школы Кош-Агачского района Республики Алтай, общее покровительство по службе, выраженное в согласии должностного лица контролирующего органа не пресекать и не применять, входящие в его полномочия меры ответственности, в случае выявления нарушений, совершенных взяткодателем.
         Общая сумма взяток составила 3 миллиона 300 тысяч рублей.
          Уголовное дело с утвержденным обвинительным заключением направлено для рассмотрения в суд."
/news/item/1138187/,altai,В Республике Алтай задержан гражданин Казахстана подозреваемый в даче взятки,[],29 Февраля 2024,"Следственными органами Следственного комитета РФ по Республике Алтай возбуждено уголовное дело в отношении 66-летнего гражданина Республики  Казахстан Абдузеира Айсарова. Он подозревается в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки должностному лицу лично за совершение заведомо незаконных действий).
 
По версии следствия, 16 марта 2013 года около 17 часов 10 минут на территории Ташантинского таможенного поста Алтайской таможни в селе Ташанта Кош-Агачского района Республики Алтай подозреваемый, желая добиться выгодного для себя решения, дал лично взятку в виде денег в сумме 200 долларов США главному государственному таможенному инспектору, за незаконные действия в части таможенного оформления транзита груза. При передаче взятки обвиняемый был взят с поличным сотрудниками отдела по противодействию коррупции таможенной службы.
 
Подозреваемый  задержан, в настоящее время  решается вопрос об избрании в отношении него меры пресечения в виде заключения под стражу.
 
По уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного   дела продолжается.
 
Старший помощник руководителя
(по взаимодействию со СМИ) И.В. Сизов"
/news/item/1852562/,altai,В Горно-Алтайске завершено расследование уголовного дела по обвинению местного жителя в совершении коррупционных преступлений,"['взятка', 'коррупция', 'посредничество']",22 Января 2024,"Следователями следственного отдела по городу  Горно-Алтайск следственного управления СК России по Республике Алтай завершено расследование уголовного дела в отношении 63-летнего местного жителя. Он обвиняется в совершении 8 преступлений, предусмотренных ч. 3 ст.30, ч. 2 ст. 291.1 УК РФ (покушение на посредничество во взяточничестве должностному лицу в значительном размере, то есть непосредственная передача взятки по поручению взяткодателя за совершение заведомо незаконных действий).
Следствием установлено, что в период с января 2022 года по март 2023 года обвиняемый, находясь в республиканской столице, действуя в качестве посредника в даче взятки сотруднику Госавтоинспекции в виде денег в размере от 50 000 до 120 000 рублей, которые получал от жителей республики за совершение последним заведомо незаконных действий по выдаче водительского удостоверения без прохождения надлежащей процедуры сдачи теоретического и практического экзаменов, перечислял банковскими переводами получаемые от взяткодателей денежные средства неустановленным следствием лицам, представлявшимся сотрудниками  ГИБДД МВД России, оставляя часть денег себе в качестве вознаграждения.
Однако полученные впоследствии от лже-сотрудников правоохранительных органов водительские удостоверения на имя взяткодателей оказались поддельными.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с обвинительным заключением направлено прокурору."
/news/item/1690797/,altai,В Улаганском районе в отношении 22-летней местной жительницы   возбуждено уголовное дело о даче взятки за водительское удостоверение,"['взятка', 'коррупция']",19 Января 2024,"Следователями Улаганского межрайонного следственного отдела следственного управления СК России по Республике Алтай в отношении 22-летней местной жительницы возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки в значительном размере должностному лицу через посредника за совершение заведомо незаконных действий).
По предварительным данным, в марте 2022 года в селе Улаган Улаганского района Республики Алтай молодая женщина посредством банковского перевода перечислила посреднику денежные средства в размере 40 000 рублей в качестве взятки должностному лицу правоохранительных органов, за совершение последним заведомо незаконных действий по выдаче на ее имя водительского удостоверения без прохождения надлежащей процедуры сдачи теоретического и практического экзаменов.
Свой преступный умысел злоумышленница не довела до конца по независящим от нее обстоятельствам, поскольку посредник обманным путем похитил переданные ему в качестве взятки денежные средства, присвоив себе, изначально не намереваясь исполнять взятые на себя обязательства, умышленно введя женщину в заблуждение.
Расследование уголовного дела продолжается.
Материалы в отношении посредника, совершившего при вышеуказанных обстоятельствах мошеннические действия, в ближайшее время будут выделены следователями в отдельное производство и направлены по подследственности в органы внутренних дел для организации процессуальной проверки по ст. 159 УК РФ."
