Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1137066/,astr,В Астрахани мужчина признан виновным в даче взятки пограничнику,[],27 Июля 2023,"Собранные следственным отделом по Трусовскому району г. Астрахани СУ СК России по Астраханской области доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении  Анатолия Чернышова. Он признан виновным в даче взятки должностному лицу (ч.3 ст.291 УК РФ).
Следствием и судом установлено, что в конце октября 2015 года Чернышов был привлечен сотрудником Пограничного управления ФСБ России по Республике Калмыкия и Астраханской области к административной ответственности за неостановку им маломерного плавательного средства и попытку скрыться. При выполнении служебных задач был изъят ряд личных вещей нарушителя. Чернышов попытался вернуть изъятые вещи путем дачи взятки в размере 10000 рублей пограничнику, однако преступные действия были пресечены сотрудниками отдела собственной безопасности Пограничного управления.
Приговором Трусовского районного суда Анатолию Чернышову назначено наказание в виде 2 лет лишения свободы с отбыванием наказания в колонии общего режима и штрафа в размере 300000 рублей.
 (Пресс-служба следственного управления)"
/news/item/1136922/,astr,"В Астраханской области бывший гениральный директор ООО «Светлоярское управление буровых работ» признан виновным в покушении на мошенничество в особо крупном размере, а также уклонении от уплаты налогов группой лиц по предварительному сговору",[],15 Февраля 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Астраханской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему генеральному директору ООО «Светлоярское управление буровых работ» Денису Герасимову. Он признан виновным в покушении на мошенничество в особо крупном размере, а также уклонении от уплаты налогов  группой лиц по предварительному сговору (ч.3 ст.30, ч.4 ст.159, п «а», «б» ч.2 ст. 199 УК РФ).
Следствием и судом установлено, что с февраля по июль 2010 года Герасимов заключил с ООО «НК-Альянс» фиктивную сделку купли-продажи буровой установки и оборудования к ней с целью с последующего возмещения из федерального бюджета налога на добавленную стоимость, указав при этом цену буровой установки в размере более 490 миллионов рублей, оплата которой не проводилась.
После этого Герасимов представил в налоговую службу фиктивную декларацию для возмещения налогов на добавленную стоимость в размере более 57 миллионов рублей.
Кроме того, представив в налоговую службу налоговую декларацию, содержащую  ложные сведения, виновный уклонился от уплаты налогов на общую сумму более 10 миллионов рублей.
Приговором Наримановского районного суда Герасимову назначено наказание в виде 4 лет лишения свободы в отбыванием в колонии общего режима, а также штраф в размере 300 тысяч рублей. 
(Икрянинский МСО)"
/news/item/1137045/,astr,В Астраханской области заведующий ветеринарной лечебницей подозревается в серии служебных подлогов и получений взяток,[],29 Декабря 2022,"Икрянинским межрайонным следственным отделом СУ СК России по Астраханской области возбуждено уголовное дело в отношении заведующего Бурунской участковой ветеринарной лечебницей ГБУ АО «Наримановская районная ветеринарная станция», подозреваемого в совершении преступлений, предусмотренных ч.1 ст.292, ч.3 ст.290 УК РФ (12-эпизодов служебного подлога, 12-эпизодов получения взяток).
По версии следствия, подозреваемый по просьбе обратившихся к нему граждан вносил заведомо ложные сведения в ветеринарные свидетельства о проведении им ветеринарно-санитарной экспертизы с последующим исследованием соответствующих проб. Далее заведующий лечебницей с целью придания законности ветеринарным свидетельствам  заверял их подписью и производил выдачу, предоставив тем самым гражданам право на дальнейшую реализацию без ограничений продуктов животноводства, не обеспечив безопасность этих продуктов в ветеринарно-санитарном отношении. С указанными ветеринарными свидетельствами мясо было направлено на рынки г. Астрахани для реализации
За совершение незаконных действий по выдаче ветеринарного свидетельства подозреваемый получал от граждан вознаграждения в размере от 100 до 300 рублей.
В настоящее время устанавливаются все обстоятельства произошедшего. Расследование уголовного дела продолжается.
(Пресс-служба следственного управления)"
/news/item/1136897/,astr,В Астраханской области бывший руководитель аппарата мирового суда обвиняется в мошенничестве,[],03 Апреля 2018,"Следственными органами Следственного комитета Российской Федерации по Астраханской области завершено расследование уголовного дела в отношении бывшего руководителя аппарата мирового суда судебного участка №1 Харабалинского района 31-летнего Марата Джемагулова, обвиняемого в мошенничестве с использованием своего служебного положения (ч.3 ст.159 УК РФ).
Следствием установлено, что в 2009 году к Джемагулову обратился мужчина с просьбой о возврате водительского удостоверения, изъятого сотрудниками полиции в рамках производства дела об административном правонарушении.
Обвиняемый согласился оказать свою помощь в обмен за вознаграждение в размере 20 тысяч рублей. После чего, получив деньги, распорядился ими по своему усмотрению.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
(Ахтубинский МСО)"
/news/item/1137018/,astr,В Астрахани депутат областной Думы предстанет перед судом по обвинению в мошенничестве,[],02 Апреля 2018,"Следственными органами Следственного комитета Российской Федерации по Астраханской области завершено расследование уголовного дела в отношении  генерального директора ООО ПКФ «Каналводстрой» – депутата Думы Астраханской области Павла Григоршева, обвиняемого в совершении преступления, предусмотренного ч.3 ст.159 (мошенничество).
Следствием установлено, что между министерством ЖКХ Астраханской области и фирмой «Консалтинг+» был заключен государственный контракт на строительство водопроводной сети в селе Сокрутовка Ахтубинского района в целях обеспечения населения питьевой водой. Согласно требованиям рабочего проекта, на указанном объекте предусмотрена установка водонапорной башни для запасов воды. 
В сентябре 2012 года генеральный директор «Консалтинг+» обратилась к Григоршеву с просьбой оказать помощь в установке приобретенной водонапорной башни, которая хранилась на объекте в разобранном виде. Григоршев, согласившись на данные работы, обманным путем убедил директора в том, что данную установку необходимо транспортировать на производственную базу ООО «Каналводстрой». Водонапорная башня была транспортирована в Икрянинский район, где Григоршев использовал ее на своем объекте.
С целью сокрытия данного преступления в 2013 году обвиняемый доставил на объект водонапорную башню, которая была не пригодна для эксплуатации. Согласно заключению эксперта, фирме ООО «Консалтинг+» был нанесен крупный ущерб в размере более 670 тысяч рублей.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
(Отдел по расследованию особо важных дел)"
/news/item/1137063/,astr,В Астрахани выявлены новые эпизоды получения взяток сотрудниками одного из университетов города,[],16 Февраля 2018,"Отделом по расследованию особо важных дел СУ СК России по Астраханской области продолжается расследование уголовного дела в отношении и.о. директора центра международного образования одного из университетов города и его подчиненного – старшего лаборанта. В рамках расследования уголовного дела следователем выявлены новые эпизоды получения взяток (п. «а» ч.5 ст.290 УК РФ).
Следствием установлено, в апреле 2015 года женщины, будучи сотрудницами университета, вступив в преступный сговор, получили взятку в размере 6 тыс. рублей за успешную сдачу экзаменов по русскому языку, истории России и основам законодательства РФ группой иностранцев. Что обеспечило в дальнейшем получение последними сертификатов для трудоустройства.
В настоящее время устанавливаются все обстоятельства произошедшего. И.о. директора  и лаборанту избрана мера пресечения в виде домашнего ареста. Расследование уголовного дела продолжается.
(Пресс-служба следственного управления)"
/news/item/1136975/,astr,В Астрахани сотрудник УФСКН подозревается в покушении на мошенничество,[],27 Июня 2017,"Следственными органами Следственного комитета Российской Федерации по Астраханской области возбуждено уголовное дело в отношении 34-летнего оперуполномоченного Лиманского межрайонного отдела Регионального управления ФСКН России по области,  подозреваемого в покушении на мошенничество с использованием служебного положения (ч.3 ст.30, ч.3 ст.159 УК РФ).
Следствием установлено, что следственная служба УФСКН  направила в суд уголовное дело по факту покушения на незаконное производство наркотических средств. 17 июля 2014 года обвиняемый по данному уголовному делу обратился к сотруднику УФСКН с просьбой оказать содействие в том, чтобы суд при вынесении приговора назначил минимальное наказание. Сотрудник наркоконтроля, не имея реальной возможности и намерений выполнить обещанное, потребовал за услугу 20 тысяч рублей.
При передаче денежных средств оперуполномоченный был задержан сотрудниками ФСБ России по Астраханской области. 
В настоящее время выясняются все обстоятельства произошедшего. Расследование уголовного дела продолжается.
(Отдел по ОВД)"
/news/item/1136863/,astr,В Астраханской области сотрудник милиции подозревается в получении взятки,[],25 Апреля 2017,"Следственными органами Следственного комитета Российской Федерации по Астраханской области  возбуждено уголовное дело в отношении участкового уполномоченного милиции ОВД по Енотаевскому району Юрия Мухлаева, подозреваемого в получении взятки за незаконные действия (ч.2 ст.290 УК РФ).
Установлено, что 26 января 2011 года Мухлаев, находясь при исполнении своих должностных полномочий, в помещении территориального пункта милиции села Никольское Енотаевского района, лично получил взятку в размере 2 000 рублей за незаконное освобождение гражданина республики Таджикистана от административной ответственности по ст.18.8 КоАП (нарушение иностранным гражданином правил режима пребывания в Российской Федерации). 
В настоящее время проводятся следственные действия,  направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается.
Енотаевский МСО"
/news/item/1137030/,astr,В Астраханской области глава муниципального образования предстанет перед судом по обвинению в злоупотреблении должностными  полномочиями,[],11 Июля 2016,"Отделом по расследованию особо важных дел СУ СК России по Астраханской области завершено расследование уголовного дела в отношении главы муниципального образования «Степновский сельсовет» Хасиетуллы Бейсова, обвиняемого в злоупотреблении должностными полномочиями (ч.3 ст.285 УК РФ), а также директора ООО ПКФ «ГРАП» Рабадана Гасанова, обвиняемого в пособничестве в злоупотреблении должностными полномочиями (ч.5 ст.33, ч.3 ст.285 УК РФ).
Следствием установлено, Бейсов, используя свои служебные полномочия вопреки интересам службы, желая оказать финансовую помощь своему знакомому Гасанову, дал согласие на совершение сделки по закупке нефтепродуктов на сумму 55 миллионов рублей, поставка которых фактически не планировалась, при этом указанные денежные средства являлись целевыми и предназначались для строительства рыбного предприятия.
Приобретенное на «бумаге» топливо не было поставлено, а денежные средства, которые Гасанов обещал вернуть, так и не поступили обратно на счет унитарного предприятия «Аксарайский», чем причинен существенный финансовый ущерб в виде приостановки строительства современного комплекса по воспроизводству и переработке рыбы.
Следствием собрана достаточная доказательная база, в связи с чем уголовное дело направлено в суд для рассмотрения по существу.
(Пресс-служба следственного управления)"
/news/item/1137064/,astr,Заместитель начальника отдела по развитию территории администрации Кировского района города Астрахани подозревается в получении взятки,[],28 Июня 2016,"Следственным отделом по Кировскому району г. Астрахани СУ СК России по Астраханской области возбуждено уголовное дело в отношении заместителя начальника отдела по развитию территории администрации Кировского района города Астрахани, подозреваемого в получении взятки в значительном размере (ч. 3 ст. 290 УК РФ).
Следствием установлено, что в начале мая 2016 года к заместителю начальника отдела по развитию территории администрации Кировского района города Астрахани обратилась женщина с просьбой о несоставлении в отношении неё протоколов об административных правонарушениях и привлечения к административной ответственности. При этом основания к её освобождению от ответственности отсутствовали, поскольку последняя не получила в установленном законом порядке разрешение на осуществление коммерческой деятельности, что образует состав административного правонарушения.
Подозреваемый предложил передать ему взятку в размере 20 тысяч рублей за совершение незаконных действий.
В конце мая 2016 года при передаче денежных средств подозреваемый был задержан сотрудниками полиции.
В настоящее время устанавливаются все обстоятельства произошедшего. Расследование уголовного дела продолжается.
(Пресс-служба следственного управления)"
