Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1139062/,buryatia,В Заиграевском районе местный житель признан виновным в покушении на дачу взятки,[],25 Мая 2022,"Собранные следственным отделом по Заиграевскому району СУ СК России по Республике Бурятия доказательства суд счел достаточными для вынесения приговора 48-летнему Виталию Мильгунову, признанному виновным в совершении преступления, предусмотренного ч. 3 ст. 30 ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение заведомо незаконных действий).
Следствием и судом установлено, что 16 сентября утром Мильгунов в лесном массиве в 10 км от села Унэгэтэй Заиграевского района Республики Бурятия принялся незаконно спиливать растущие там сосны. После того, как им было свалено 21 дерево, на месте происшествия его задержали сотрудники полиции, осуществлявшие мероприятия по охране и защите лесов. Рассчитывая избежать уголовной ответственности за незаконную рубку лесных насаждений, обвиняемый предложил полицейским 20 тыс. рублей в качестве взятки и попросил отпустить его. Однако сотрудники полиции деньги не приняли и сразу же зафиксировали в документах попытку лесоруба подкупить представителей власти.
Всего два дня следователям понадобилось, чтобы собрать достаточные доказательства вины Мильгунова и передать уголовное дело в суд для рассмотрения по существу.
Приговором суда Мильгунову назначено наказание в виде штрафа в размере 300 тысяч рублей. Приговор вступил в законную силу."
/news/item/1139063/,buryatia,В Советском районе высокопоставленный чиновник признан судом виновным в нецелевом расходовании бюджетных денежных средств,[],19 Мая 2022,"Собранные отделом по расследованию особо важных дел СУ СК России по Республике Бурятия доказательства суд счел достаточными для вынесения приговора в отношении директора государственного казенного учреждения «Хозяйственно-транспортный комплекс Администрации Главы и Правительства Республики Бурятия» Александра Сучкова, признанного виновным в совершении преступления, предусмотренного п. «б» ч. 2 ст. 285.1 УК РФ (нецелевое расходование бюджетных средств, совершенное в особо крупном размере).
Следствием и судом установлено, что в 2012 и 2013 году в смете ГКУ ХТК не были предусмотрены расходы на капитальное строительство зданий. Однако в нарушение требований бюджетного законодательства директор учреждения Сучков в указанный период израсходовал более 61 млн. рублей на строительство жилого дома общей площадью более 500 кв.м. для проживания Главы Республики Бурятия. Таким образом, указанные бюджетные средства были израсходованы незаконно, на цели, не соответствующие их получению. Для сокрытия преступления чиновник в проектных и финансовых документах пытался представить строительство здания в качестве его реконструкции. Однако, следствием были собраны достаточные доказательства того, что велось именно строительство дома, которое не было предусмотрено расходными статьями.
Приговором суда Сучкову назначено наказание в виде штрафа в размере 300 тыс. рублей и лишения права занимать должности на государственной службе и службе в органах местного самоуправления, связанные с распорядительно-хозяйственной деятельностью, сроком на 2 года. В связи с амнистией Сучков был освобожден от наказания."
/news/item/1450277/,buryatia,"В Тункинском районе задержан начальник местного отдела внутренних дел, подозреваемый в получении взятки в особо крупном размере",['взятка'],13 Мая 2022,"изображение из открытых источников сети Интернет            

Отделом по расследованию особо важных дел СУ СК России по Республике Бурятия возбуждено уголовное дело в отношении начальника межмуниципального отдела МВД России «Тункинский». Он подозревается в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение должностным лицом взятки в особо крупном размере за незаконные действия (бездействие).
По данным следствия, на территории Тункинского района Республики Бурятия велось строительство автомобильной дороги «Култук-Монды» в рамках государственного контракта. В марте 2017 года начальник межмуниципального отдела МВД России «Тункинский» из корыстных побуждений, используя свои властные полномочия, дал указание подчиненным сотрудникам приостановить деятельность принадлежащего местному предпринимателю карьера, с которого для строительства автодороги поставлялась песчано-гравийная смесь. После чего через знакомого местного жителя им была организована поставка на стройку песчано-гравийной смеси с другого карьера, где ее добыча велась незаконно. За указанные противоправные действия начальник отдела полиции в период с мая по июль 2017 года получил взятку в сумме почти  8 млн. рублей.
Данное преступление выявлено сотрудниками УФСБ Бурятии и ОРЧ СБ МВД Бурятии. После проверки представленных ими материалов оперативно-разыскной деятельности следствием принято решение о возбуждении уголовного дела в отношении полицейского и его задержании.
В настоящее время решается вопрос об избрании в отношении подозреваемого сотрудника меры пресечения в виде заключения под стражу. По уголовному делу проводятся необходимые следственные действия, направленные на установление всех обстоятельств преступления и сбор полной доказательственной базы."
/news/item/1139061/,buryatia,В Прибайкальском районе глава местной администрации подозревается в превышении должностных полномочий при выделении земельных участков на берегу Байкала,[],22 Апреля 2022,"Руководителем следственного управления СК России по Республике Бурятия возбуждено уголовное дело в отношении 52-летнего главы муниципального образования «Прибайкальский район» Геннадия Галичкина, подозреваемого в совершении преступления, предусмотренного ч. 2 ст. 286 УК РФ (превышение должностных полномочий).
По данным следствия, 9 сентября 2014 года Галичкин незаконно, в нарушение положений Земельного, Водного кодексов Российской Федерации, а также Федерального закона «Об охране озера Байкал» подписал документы, на основании которых в собственность участников ДНТ «Родник» были переданы земельные участки общей площадью 8 га, расположенные между селами Гремячинск и Турка почти на самом берегу озера Байкал в прибрежной защитной зоне.
Данное преступление было выявлено прокуратурой Прибайкальского района Республики Бурятия и УФСБ по Республике Бурятия.  
В настоящее время по уголовному делу проводятся следственные действия, направленные на сбор необходимой доказательственной базы."
/news/item/1378484/,buryatia,"В Советском районе вынесен приговор бывшему сотруднику МЧС Бурятии, признанному виновным в получении взяток и злоупотреблении должностными полномочиями","['взятка', 'злоупотребление полномочиями', 'посредничество']",22 Марта 2022,"изображение из открытых источников в сети Интерент            

Собранные отделом по расследованию особо важных дел СУ СК России по Республике Бурятия доказательства суд счел достаточными для вынесения приговора бывшему начальнику отдела надзорной деятельности и профилактической работы города Улан-Удэ управления надзорной деятельности и профилактической работы главного управления МЧС по Республике Бурятия Алексею Думнову. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ и ч. 6 ст. 290 УК РФ (получение взятки за незаконные действия (бездействие), совершенное группой лиц по предварительному сговору в особо крупном размере), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями). А также -  предпринимателю Илье Калашникову, признанному виновным в совершении преступления, предусмотренного ч. 4 ст. 291.1 УК РФ (посредничество во взяточничестве в особо крупном размере).
Следствием и судом установлено, что в начале 2016 года Думнов с целью незаконного обогащения вступил в преступный сговор со своим непосредственным руководителем – заместителем начальника главного управления МЧС по Республике Бурятия Дмитрием Унагаевым. Вместе они потребовали от директора коммерческой организации, которая занималась монтажом и обслуживанием противопожарного оборудования, регулярно предавать им денежные средства в виде взятки за счет части прибыли, полученной от предпринимательской деятельности. За незаконное вознаграждение должностные лица предложили директору свое покровительство, обещая в силу своих полномочий ограничить конкуренцию со стороны других предпринимателей, которые оказывали схожие услуги, а также заверили, что будут «закрывать глаза» на нарушения, которые допускались компанией при обслуживании систем пожарного мониторинга. Директор организации вынуждено согласиться с требованиями должностных лиц и в период 2016-2017 годов и начала 2018 года через работника своей компании Калашникова, который выступал посредником, а также лично передавал сотрудникам МЧС денежные средства. Общий размер полученной ими взятки превысил 1,6 млн. рублей. Однако позже должностные лица перестали выполнять часть своих обещаний, и директор компании обратился в правоохранительные органы с заявлением о вымогательстве у него взяток. После этого, действуя под контролем сотрудников, осуществляющих оперативно-разыскную деятельность, он перечислил очередную часть взятки на счет посредника, который при получении денег в банке был задержан. Следом осуществлено задержание должностных лиц, получавших взятки.
Напомним, что уголовное дело в отношении Унагаева, заключившего досудебное соглашение о сотрудничестве со следствием, уже рассмотрено судом в особом порядке. Бывшему чиновнику вынесен приговор и назначено наказание в виде лишения свободы на срок 7 лет условно с лишением права занимать должности в системе правоохранительных органов и органах государственной власти, связанные с обеспечением деятельности государственной противопожарной службы, связанные с осуществлением функций представителя государственной власти на срок 6 лет и со штрафом в размере 55000 рублей. Также Унагаев лишен специального звания - полковник внутренней службы.
Сегодня судом завершено оглашение приговора Думнову, которому назначено наказание в виде лишения свободы на срок 5 лет 6 месяцев с отбыванием в исправительной колонии строгого режима с лишением права занимать должности в системе правоохранительных органов и органах государственной власти, связанные с обеспечением деятельности государственной противопожарной службы, на срок 7 лет и с лишением специального звания - подполковник внутренней службы. Калашникову назначено наказание в виде штрафа в размере 2,5 млн. рублей."
/news/item/1139056/,buryatia,"В Советском районе перед судом предстанет высокопоставленный чиновник, обвиняемый в хищении денежных средств, собранных в ходе благотворительной акции",[],17 Февраля 2022,"Отделом по расследованию особо важных дел СУ СК России по Республике Бурятия завершено расследование уголовного дела в отношении заместителя начальника управления ФСИН России по Республике Бурятия Сергея Коваля, обвиняемого в совершении двух преступлений, предусмотренных ч. 1 ст. 158 УК РФ (кража). 
По данным следствия, в ноябре-декабре 2010 года Ковалем был организован добровольный сбор денежных средств со всех сотрудников УФСИН России по Республике Бурятия для оказания помощи онкологическому отделению Детской республиканской клинической больницы. В ходе благотворительной акции было собрано более 155 тысяч рублей. После этого обвиняемый забрал себе почти половину из указанной суммы – 70,5 тысяч рублей, которые потратил на свои личные нужды. Оставшиеся деньги он передал подчиненным сотрудникам, которые приобрели на них различные товары и передали их в больницу.
Кроме этого, по данным следствия, после сделанных покупок остатки денежных средств - чуть более полутора тысяч рублей, сотрудники вернули обратно Ковалю. Однако чиновник спустя некоторое время похитил и эту небольшую сумму, вновь потратив деньги на свои личные нужды.    
В настоящее время в ходе проведенного расследования собрана необходимая доказательственная база, в связи с чем уголовное дело вместе с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1370079/,buryatia,"В Железнодорожном районе перед судом предстал бывший муниципальный чиновник, обвиняемый в получении взяток",['взятка'],28 Октября 2021,"изображение из открытых источников сети Интернет            

Следственным отделом по Железнодорожному району СУ СК России по Республике Бурятия завершено расследование уголовного дела в отношении бывшего заместителя директора муниципального бюджетного учреждения «Комбинат по благоустройству г. Улан-Удэ» 48-летнего Владимира Чебакова. Он обвиняется в совершении двух преступлений, предусмотренных ч. 1 ст. 290 УК РФ (получение взятки) и еще двух преступлений, предусмотренных ч. 2 ст. 290 УК РФ (получение взятки в крупном размере).
По данным следствия, в марте 2015 года к обвиняемому обратился председатель одного из садовых товариществ, расположенных на территории города Улан-Удэ, который попросил сделать ремонт и выравнивание грунтовой автодороги, ведущей к их поселку, которая была размыта талыми водами. В действительности, такие работы входили в сферу полномочий учреждения и субсидировались за счет средств местного бюджета. Но чиновник просителю ответил отказом, сославшись на то, что вся техника занята на других участках. Однако затем  он решил нажиться на проблемах дачников, перезвонил председателю садового товарищества и потребовал взятку, а взамен пообещал предоставить во внеочередном порядке технику для обслуживания автодороги. Председатель вынужденно согласился с условиями чиновника и каждый раз за ремонт дороги передавал обвиняемому денежное вознаграждение, которое чиновник тратил на свои личные нужды. Таким путем он получал взятки в течение каждого весенне-летнего периода, вплоть до сентября 2018 года, пока данные преступления не были выявлены сотрудниками отдела экономической безопасности и противодействия коррупции УМВД России по городу Улан-Удэ. В 2015 году общая сумма незаконно полученных им денежных средств составила 20 тыс. рублей, в 2016 – 18 тыс. рублей, в 2017 – 40 тыс. рублей, в 2018 – 35 тыс. рублей.
В ходе проведенного предварительного расследования собрана достаточная доказательственная база, в связи с чем уголовное дело вместе с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1440993/,buryatia,В Еравнинском районе двое работников местного лесничества обвиняются в получении взяток,['взятка'],27 Октября 2021,"изображение из открытых источников сети Интернет            

Еравнинским межрайонным следственным отделом СУ СК России по Республике Бурятия расследуется уголовное дело в отношении двух работников местного лесничества Республиканского агентства лесного хозяйства. Один из них обвиняется в совершении двух преступлений, предусмотренных п. «б» ч. 5 ст. 290 УК РФ (получение взятки с ее вымогательством за незаконные действия (бездействие), а также совместно с напарников – в совершении преступления, предусмотренного п. «а» ч. 5 ст. 290 УК РФ (получение взятки группой лиц за незаконные действия (бездействие).
По данным следствия, в июне и августе 2019 года участковый лесничий отдела организации и обеспечения деятельности Еравнинского лесничества Республиканского агентства лесного хозяйства в ходе рейдовых мероприятий при проверке лесовозов в двух случаях выявил нарушения и потребовал взятку от владельцев груза в размере 20 тыс. рублей, обещая им совершить попустительство по службе, не привлекая их к ответственности и не изымая перевозимую древесину. Таким образом, он дважды получил незаконное вознаграждение на общую сумму 40 тыс. рублей. Помимо этого, в октябре 2019 года обвиняемый вместе с еще одним лесничим в ходе рейдового мероприятия обнаружил на пилораме лесовоз, с которого разгружали древесину без необходимых документов. Лесничие, сговорившись, потребовали у владельцев груза взятку в размере 30 тыс. рублей, взамен которой не стали изымать древесину, задерживать виновных лиц и их автотранспортное средство. Деньги они поделили между собой и потратили на личные нужды.
Уголовные дела в отношении работников лесничества возбуждены на основании материалов оперативно-разыскной деятельности, представленных  сотрудниками УЭБ и ПК МВД по Республике Бурятия, которыми выявлены данные преступления после обращения потерпевших.      
В настоящее время решается вопрос об избрании в отношении одного из обвиняемых меры пресечения в виде содержания под стражей; в отношении второго – избрана мера пресечения в виде подписки о невыезде и надлежащем поведении. По уголовному делу проводятся следственные действия, направленные на сбор необходимой доказательственной базы."
/news/item/1302706/,buryatia,"В Советском районе перед судом предстанет сотрудник МЧС Бурятии, обвиняемый в получении взятки, злоупотреблении должностными полномочиями и легализации денежных средств, полученных преступным путем","['взятка', 'злоупотребление полномочиями', 'коррупция', 'чиновник']",18 Октября 2021,"изображение из открытых источников сети Интернет            

Отделом по расследованию особо важных дел СУ СК России по Республике Бурятия завершено расследование уголовного дела в отношении заместителя начальника главного управления - начальника управления надзорной деятельности и профилактической работы главного управления МЧС по Республике Бурятия. Он обвиняется в совершении преступлений, предусмотренных  ч. 6 ст. 290 УК РФ (получение взятки за незаконные действия (бездействие), совершенное группой лиц по предварительному сговору в особо крупном размере), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями) и ч. 1 ст. 174.1 УК РФ (легализация (отмывание) денежных средств или иного имущества, приобретенных лицом в результате совершения им преступления).
По данным следствия, в начале 2016 года обвиняемый вступил в преступный сговор с подчиненным начальником территориального отдела надзорной деятельности и профилактической работы своего управления и вместе с ним потребовал от директора коммерческой организации, которая занималась монтажом и обслуживанием противопожарного оборудования, регулярно предавать им денежные средства в виде взятки за счет части прибыли полученной от предпринимательской деятельности. За незаконное вознаграждение должностные лица предложили директору свое покровительство, обещая в силу своих полномочий ограничить конкуренцию со стороны других предпринимателей, которые оказывали схожие услуги, а также заверили, что будут «закрывать глаза» на нарушения, которые допускались компанией при обслуживании систем пожарного мониторинга. Директор организации вынуждено согласиться с требованиями должностных лиц и в период 2016-2017 годов и начала 2018 года через сотрудника своей компании, который выступал посредником, а также лично передавал сотрудникам МЧС денежные средства. Общий размер полученной ими взятки превысил 1,6 млн. рублей. При этом часть взятки по требованию обвиняемого была перечислена директором компании на счета фирм его родственников по притворным сделкам, чтобы придать видимость правомерного получения денежных средств, то есть легализовать их. Однако позже должностные лица перестали выполнять часть своих обещаний, и директор компании обратился в правоохранительные органы с заявлением о вымогательстве у него взяток. После этого, действуя под контролем сотрудников, осуществляющих оперативно-разыскную деятельность, он перечислил очередную часть взятки на счет посредника, который при получении денег в банке был задержан. Следом осуществлено задержание чиновников, получавших взятки.
После задержания обвиняемый заключил досудебное соглашение о сотрудничестве со следствием, признал свою вину и помог изобличить соучастников преступлений. В связи с чем уголовное дело в отношении него выделено в отдельное производство, по нему собраны достаточные доказательства, и в настоящее время оно направлено в суд с обвинительным заключением для рассмотрения в особом порядке.  
Уголовное дело в отношении его соучастников было направлено в суд с утвержденным обвинительным заключением раньше и сейчас уже рассматривается по существу."
/news/item/1139060/,buryatia,"В Заиграевском районе следователям понадобилось меньше недели для того, чтобы собрать достаточные доказательства по уголовному делу в отношении местного жителя, обвиняемого в покушении на дачу взятки",[],09 Сентября 2021,"Следственным отделом по Заиграевскому району СУ СК России по Республике Бурятия завершено расследование уголовного дела в отношении 48-летнего жителя села Унэгэтэй, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30 ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение заведомо незаконных действий).
По данным следствия, 16 сентября утром обвиняемый в лесном массиве в 10 км от села Унэгэтэй Заиграевского района Республики Бурятия принялся незаконно спиливать растущие там сосны. После того, как им было свалено 21 дерево, на месте происшествия его задержали сотрудники полиции, осуществлявшие мероприятия по охране и защите лесов. Рассчитывая избежать уголовной ответственности за незаконную рубку лесных насаждений, обвиняемый предложил полицейским 20 тыс. рублей в качестве взятки и попросил отпустить его. Однако сотрудники полиции деньги не приняли и сразу же зафиксировали в документах попытку лесоруба подкупить представителей власти.
30 сентября, после того, как собранные сотрудниками полиции материалы о взятке были переданы в следственные органы, в отношении мужчины было возбуждено уголовное дело. В течение всего двух дней следователям удалось собрать достаточные доказательства его вины, и уголовное дело было направлено прокурору для изучения. Вскоре было утверждено обвинительное заключение, и в настоящее время уголовное дело передано в суд для рассмотрения по существу."
