Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1664927/,chukotka,Перед судом предстанет заведующая детским садом по обвинению  в мошенничестве и служебном подлоге,"['мошенничество', 'служебный подлог']",02 Августа 2023,"взято из свободных источников            

Анадырским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу завершено расследование уголовного дела в отношении заведующей одного из дошкольных образовательных учреждений окружной столицы по фактам совершения ею мошенничества в особо крупном размере (ч. 4 ст. 159 УК РФ) и служебного подлога (ч. 1 ст. 292 УК РФ).
По данным следствия, в период с апреля 2012 года по июнь 2017 года обвиняемая, занимая руководящую должность в муниципальном бюджетном дошкольном образовательном учреждении города Анадырь, фиктивно трудоустроила в данное учреждение сотрудницу и систематически вносила в табели учета рабочего времени заведомо ложные сведения об исполнении ею трудовых обязанностей, несмотря на то, что фактически какая-либо работа данным лицом не осуществлялась.
В результате противоправных действий муниципальному образованию городского округа Анадырь был причинен материальный ущерб в сумме более 2,6 миллионов рублей, что является особо крупным размером.
В настоящее время уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу.
За совершение наиболее тяжкого из преступлений обвиняемой грозит наказание в виде лишения свободы сроком до 10 лет."
/news/item/1744535/,chukotka,"Начальник государственного казенного учреждения поселка Эгвекинот Иультинского района предстанет перед судом по обвинению  в служебном подлоге, присвоении и растрате","['должностные преступления', 'присвоение', 'растрата', 'служебный подлог']",28 Ноября 2022,"Иультинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу завершено расследование уголовного дела в отношении  начальника одного из государственных казенных учреждений поселка Эгвекинот, обвиняемого в совершении преступлений, предусмотренных ч. 1 ст. 292 УК РФ (служебный подлог), ч. 4 ст. 160 УК РФ (присвоение и растрата, совершенные лицом с использованием своего служебного положения, в особо крупном размере), ч. 3 ст. 160 УК РФ (растрата, совершенная лицом с использованием своего служебного положения).  
По версии следствия, в период с января 2011 года по июль 2020 года обвиняемый, являясь руководителем государственного казенного учреждения, действуя из корыстных побуждений и используя свое служебное положение, высказал 4 подчиненным сотрудникам незаконные требования о передаче ему премий, как полностью, так и частично, которые будут начисляться потерпевшим. После этого, опасаясь наступления неблагоприятных последствий по службе, сотрудники, находящиеся в подчинении у обвиняемого, в период с 2011 года по 2020 год выполнили незаконные требования своего начальника и осуществили передачу ему денежных средств в сумме более 2 млн рублей, начисленных им в качестве премий, которыми тот распорядился по своему усмотрению.
Помимо этого, с января 2020 года по декабрь 2021 года обвиняемый, используя свое служебное положение, из корыстной заинтересованности внес заведомо ложные сведения в официальные документы, на основании которых осуществил списание топлива марки «АИ-92», принадлежащего учреждению, начальником которого он являлся, по завышенным им нормам. В последующем образовавшиеся излишки топлива в объеме более 2,7 тыс. литров мужчиной были использованы в личных целях.
Своими противоправными действиями обвиняемый причинил бюджету Чукотского автономного округа материальный ущерб на сумму более 2,5 млн рублей.
В ходе расследования уголовного дела приняты меры обеспечительного характера - судом по ходатайству следователя наложен арест на имущество обвиняемого на сумму более 5,5 млн рублей.
Несмотря на то, что свою вину в совершении инкриминируемых деяний мужчина не признал, следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в Иультинский районный суд для рассмотрения по существу."
/news/item/1524959/,chukotka,Бывшая сотрудница управления Россельхознадзора по Камчатскому краю  и Чукотскому автономному округу признана виновной в получении взятки,"['взятка', 'приговор']",01 Ноября 2022,"ведомственное фото            

Собранные Анадырским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу доказательства признаны судом достаточными для вынесения приговора в отношении бывшей сотрудницы управления Россельхознадзора по Камчатскому краю и Чукотскому автономному округу. Она признана виновной в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ – получение взятки в значительном размере.
Следствием и судом установлено, что в 2019 году чиновница, узнав о совершении одним из индивидуальных предпринимателей города Анадырь административного правонарушения, связанного с нарушением ветеринарно-санитарных правил перевозки продуктов животноводства, умышленно ввела его в заблуждение о наказании в виде штрафа за данное правонарушение в размере 700 000 рублей и применении меры обеспечения производства по делу об административном правонарушении в виде уничтожения продукции, после чего потребовала от предпринимателя передать ей деньги в качестве взятки за незаконное бездействие.
Опасаясь того, что сотрудник управления Россельхознадзора может реализовать высказанные угрозы о привлечении к административной ответственности с наложением штрафа в размере 700 000 рублей и уничтожении товаров, предприниматель, не желая нести связанные с этим существенные имущественные убытки, был вынужден согласиться с выдвинутыми незаконными требованиями и в последующем передать должностному лицу взятку в виде денег в значительном размере.
Во время получения части взятки в размере 35 000 рублей сотрудница Управления Россельхознадзора по Камчатскому краю и Чукотскому автономному округу была задержана сотрудниками окружного Управления ФСБ России.
Суд, приняв во внимание доводы следствия, признал подсудимую виновной в инкриминируемом ей деянии и назначил наказание в виде штрафа в размере 1000000 рублей с лишением права занимать должности на государственной службе и в органах местного самоуправления на срок 3 года.
Приговор суда в законную силу не вступил."
/news/item/1374886/,chukotka,"Следственным управлением по Чукотскому автономному округу возбуждено уголовное дело в отношении чиновницы, задержанной  с поличным при получении взятки в значительном размере",['взятка'],05 Августа 2022,"ведомственное фото            

18.07.2019 сотрудниками Управления ФСБ России по Чукотскому автономному округу на территории г. Анадырь с поличным при получении взятки была задержана сотрудница Управления Россельхознадзора по Камчатскому краю и Чукотскому автономному округу.
В этот же день отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу возбуждено уголовное дело по статье 290 УК РФ («Получение взятки»).
По версии следствия чиновница, убедив одного из индивидуальных предпринимателей города, осуществляющего розничную торговлю продуктами питания, в совершении им административного правонарушения, связанного с нарушением ветеринарно-санитарных правил перевозки продуктов животноводства, 18.07.2019 лично получила от него взятку в виде денег за не привлечение данного предпринимателя к административной ответственности, а также не принятие мер обеспечения при производстве по делу об административном правонарушении в виде изъятия и наложения ареста на продукты животноводства, доставленные в г. Анадырь морским транспортом для их продажи.     
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление обстоятельств произошедшего, а также причин и условий, способствовавших  совершению преступления."
/news/item/1674161/,chukotka,По факту получения взятки возбуждено уголовное дело,[],30 Июня 2022,"фото: СУ СК РФ по ЧАО            

Анадырским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу возбуждено уголовное дело в отношении 65-летнего жителя Нижегородской области по признакам преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки в крупном размере).
По версии следствия, в 2014-2015 гг. подозреваемый, являясь первым заместителем директора одной из организаций п. Угольные Копи Чукотского автономного округа, получил взятку в общей сумме более 700 тыс. рублей за попустительство при приемке работ по заключенному с индивидуальным предпринимателем договору об оказании услуг по комплексному обслуживанию жилых домов и прилегающих территорий.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование продолжается."
/news/item/1672766/,chukotka,Житель города Билибино подозревается в совершении коррупционного преступления,['коррупция'],08 Июня 2022,"ведомственное фото            

Билибинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу по материалам УФСБ России по Чукотскому автономному округу возбуждено уголовное дело в отношении 32-летнего жителя города Билибино. Он подозревается в совершении преступления, предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу лично в крупном размере за совершение заведомо незаконных действий).
По версии следствия, 1 апреля текущего года подозреваемый, находясь в городе Билибино Чукотского автономного округа, лично передал взятку в виде денег в сумме 600 тыс. рублей сотруднику МО МВД России «Билибинский» за незаконное освобождение его от уголовной ответственности по ч. 1 ст. 228 УК РФ (незаконное приобретение наркотического средства в значительном размере).
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование продолжается."
/news/item/1702131/,chukotka,Директор муниципального предприятия Билибинского района предстанет перед судом по обвинению в служебном подлоге и присвоении,"['присвоение', 'служебный подлог']",25 Апреля 2022,"взято из свободных источников            

Билибинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу завершено расследование уголовного дела в отношении  директора муниципального предприятия Билибинского района. Он обвиняется в совершении преступлений, предусмотренных ч. 1 ст. 292 УК РФ (служебный подлог), ч. 3 ст. 160 УК РФ (присвоение, совершенное лицом с использованием своего служебного положения).
По версии следствия, в 2021 году обвиняемый, занимая должность директора одного из муниципальных предприятий Билибинского района Чукотского автономного округа, используя свое служебное положение, с целью личного обогащения, дал указания подчиненному сотруднику составить табели учета рабочего времени за август-ноябрь 2021 года с заведомо ложными сведениями о выполнении им трудовых обязанностей, несмотря на то, что в указанное время мужчина фактически трудовую деятельность не осуществлял и находился за пределами Чукотского автономного округа.
В последующем, прибыв в г. Билибино, обвиняемый утвердил данные табели учета рабочего времени, на основании которых ему была начислена и выплачена заработная плата в размере более 180 000 рублей.
В ходе расследования уголовного дела материальный ущерб, причиненный муниципальному образованию Билибинского муниципального района, обвиняемым возмещен в полном объеме.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1677307/,chukotka,Директор общеобразовательного учреждения подозревается в совершении служебного подлога,['служебный подлог'],15 Апреля 2022,"фото: СУ СК РФ по ЧАО            

Билибинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу возбуждено уголовное дело в отношении директора общеобразовательного учреждения Чаунского района по признакам преступления, предусмотренного ч. 1 ст. 292 Уголовного кодекса Российской Федерации (служебный подлог).
По версии следствия, 28.07.2021 директором общеобразовательного учреждения с одним из индивидуальных предпринимателей был заключен договор на поставку товаров спортивной тематики, сумма которого составила более 50 тысяч рублей.
В установленный контрактом срок – в период с 25.09.2021 по 31.12.2021 поставка товара произведена не была. Несмотря на это, подозреваемая, действуя из личной заинтересованности, подписала официальные документы – универсальный передаточный документ (счет-фактуру) и акт приема-передачи товара, на основании которых индивидуальному предпринимателю незаконно оплачены бюджетные денежные средства за фактически не исполненные договорные обязательства. При этом предусмотренные контрактом меры ответственности за несвоевременное исполнение обязательств в отношении индивидуального предпринимателя со стороны должностного лица образовательного учреждения не принимались, требования об уплате неустоек и пени ему не направлялись.  
В настоящее время по уголовному делу проводится комплекс следственных действий, направленных на сбор и закрепление доказательственной базы. Расследование продолжается."
/news/item/1590774/,chukotka,"Бывший начальник одного из государственных бюджетных учреждений дополнительного образования Чукотского автономного округа признана виновной в растрате бюджетных средств, служебном подлоге  и взяточничестве","['взятка', 'растрата', 'служебный подлог', 'суд']",12 Апреля 2022,"взято из свободных источников            

Собранные отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении бывшего начальника ГБОУ «Учебно-методический центр по гражданской обороне, чрезвычайным ситуациям и пожарной безопасности Чукотского автономного округа». Она признана виновной в совершении двух преступлений, предусмотренных ч. 3 ст. 160 УК РФ (растрата, совершенная лицом с использованием своего служебного положения), двух преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере), а также преступления, предусмотренного ч. 1 ст. 292 УК РФ (служебный подлог).
Следствием и судом установлено, в 2018-2019 гг. осужденная, являясь должностным лицом, путем внесения в официальные документы заведомо ложных сведений о своем направлении в служебные командировки в г. Москву и Санкт-Петербург для прохождения курсов повышения квалификации, дважды совершила растрату бюджетных денежных средств на общую сумму более 130 тыс. рублей, незаконно возместив себе фиктивные командировочные расходы в вышеуказанных поездках, которые ею были совершены в личных целях и не были связаны со служебной необходимостью.
Помимо этого, на протяжении последних нескольких лет осужденная, действуя из корыстных побуждений, получала от индивидуального предпринимателя за систематическое заключение с ним договоров о возмездном оказании услуг по обслуживанию компьютерной техники учреждения, а также от подчиненного сотрудника за назначение на вакантную должность своего заместителя и предоставление возможности внутреннего совмещения работы по данной должности взятки, общая сумма которых составила более 2,5 млн рублей.
В ходе расследования женщина вину в совершении вышеуказанных преступлений признала в полном объеме и добровольно возместила причиненный ущерб. 
Приговором Анадырского городского суда осужденной назначено наказание в виде штрафа в размере 4 млн рублей с лишением права занимать определенные должности на срок 3 года.
Приговор суда в законную силу не вступил.  
Уголовное дело было возбуждено по материалам, предоставленным окружным управлением ФСБ."
/news/item/1736694/,chukotka,Руководитель государственного казенного учреждения  Чукотского автономного округа подозревается в служебном подлоге,['служебный подлог'],17 Марта 2022,"взято из свободных источников            

Билибинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Чукотскому автономному округу возбуждено уголовное дело в отношении директора одного из государственных казенных учреждений округа  по признакам преступления, предусмотренного ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, в период с января по июль 2022 года подозреваемый, являясь руководителем государственного казенного учреждения, используя свое служебное положение, действуя из корыстных побуждений, с целью создания возможности получения материальной выгоды для своей семьи, а также обеспечения трудового стажа для своей супруги, внес в приказы о поощрении работников, заведомо ложные сведения о надлежащем исполнении своей супругой должностных обязанностей по должности уборщика служебных помещений, заведомо зная, что фактически какие-либо трудовые функции она не выполняла, после чего собственноручно подписал их.
В результате этого учреждению был причинен имущественный ущерб на сумму более 120 000 рублей.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств произошедшего."
