Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1410170/,chuvashia,В Чебоксарах осужден бывший руководитель коммерческой организации,"['заработная плата', 'коррупция', 'мошенничество', 'приговор', 'суд']",01 Апреля 2024,"Доказательства, собранные следственными органами Следственного комитета РФ по Чувашской Республике, признаны судом достаточными для вынесения обвинительного приговора бывшему руководителю коммерческой организации, расположенной в городе Чебоксары. Он признан виновным в совершении преступлений, предусмотренных ч. 2 ст. 145.1 УК РФ (полная невыплата заработной платы свыше двух месяцев подряд) и ч. 4 ст. 159.2 УК РФ (мошенничество при получении выплат, совершенное в особо крупном размере). Ему назначено наказание в виде 2 лет лишения свободы условно.
Следствием и Московским районным судом города Чебоксары установлено, что в городе Чебоксары злоумышленник, возглавляя указанное предприятие, в 2017 году не обеспечил своевременную выплату заработной платы четырем подчиненным работникам на общую сумму более 140 тысяч рублей, хотя реальная финансовая возможность для этого имелась.
Кроме того, в целях хищения субсидий, выделявшихся из бюджета в рамках государственных мер поддержки в сфере занятости населения, в октябре 2016 года он заключил от имени возглавляемой организации с центром занятости населения договор  и дополнительные соглашения к нему, в соответствии с которыми обязался трудоустроить 13 инвалидов. Фактически им был трудоустроен лишь один инвалид, однако в центр занятости населения он представил фиктивные документы о трудоустройстве еще 12-ти лиц этой категории. После этого на счет возглавляемого им предприятия центром занятости населения было перечислено в общей сложности более 1 миллиона 200 тысяч рублей, которые тем самым были похищены.
Причастность осужденного к инкриминированному деянию доказана его показаниями, показаниями потерпевших, свидетелей, а также другими материалами уголовного дела.
Следует отметить, что факты противоправной деятельности осужденного выявлены в результате оперативного взаимодействия следователей СУ СК России по Чувашской Республике с сотрудниками прокуратуры Московского района города Чебоксары и отдела экономической безопасности и противодействия коррупции Управления МВД России по городу Чебоксары.
Приговор суда еще не вступил в законную силу."
/news/item/1284042/,chuvashia,В Алатыре двое бывших сотрудников ГИБДД признаны виновными в получении взятки,"['взятка', 'коррупция', 'приговор', 'суд']",25 Марта 2024,"Доказательства, собранные следственными органами Следственного комитета Российской Федерации по Чувашской Республике, признаны судом достаточными для вынесения обвинительного приговора двоим бывшим инспекторам ГИБДД межмуниципального отдела МВД России «Алатырский». Они признаны виновными в совершении преступления, предусмотренного п.п. «а, б» ч. 5 ст. 290 УК РФ (получение взятки, совершенное группой лиц по предварительному сговору, с вымогательством взятки). Каждому из них назначено наказание в виде штрафа в размере 1 миллиона 400 тысяч рублей с лишением права занимать должности, связанные с осуществлением функций представителя власти, сроком на 5 лет.
Следствием и Алатырским районным судом установлено, что в ночь с 11 на 12 августа 2018 года в городе Алатыре сотрудники ГИБДД остановили автомобиль под управлением местного жителя, который находился в состоянии алкогольного опьянения. Не составив в отношении него протокола об административном правонарушении и не приняв мер по привлечению его к установленной административной ответственности, они потребовали за это передать им взятку в размере 20 тысяч рублей в срок до 18-19 августа 2018 года. 21 августа 2018 года, не получив ранее оговоренной суммы денег, они приехали к дому водителя и вновь потребовали их, угрожая в противном случае изъять его машину под предлогом того, что якобы она проходила по ДТП, и поместить на специализированную стоянку или продать. В тот день они установили ему новый срок. 01 сентября 2018 года злоумышленники направили к нему за деньгами своего знакомого, не осведомленного об их преступных намерениях, и при получении указанной суммы взятки были задержаны с поличным сотрудниками правоохранительных органов.
Факт противоправной деятельности инспекторов ГИБДД выявлен в результате оперативного взаимодействия следователей СУ СК России по Чувашской Республике, сотрудников подразделения собственной безопасности МВД по Чувашии и Управления ФСБ России по Чувашской Республике. По результатам расследования в МВД по Чувашской Республике внесено представление о принятии мер по устранению обстоятельств, способствовавших совершению сотрудниками ГИБДД преступления.
Приговор суда еще не вступил в законную силу.
 
Будьте в курсе новостей СУ СКР по Чувашии 
на нашем инстаграм: https://www.instagram.com/chuvashiasledcom/,
мы ""Вконтакте"": https://vk.com/chuvashiasledcom, 
в ""Твиттере"": https://twitter.com/SuChuvashia, 
в ""Фейсбуке"": https://www.facebook.com/chuvashiasledcom/,
в «ТамТам»: https://tt.me/chuvashiasledcom.
Подписывайтесь на официальный канал СУ СКР по Чувашии в Youtube и смотрите видео о деятельности ведомства  
Радиоверсию новостей от СУ СКР по Чувашии, а также интервью с экспертами по актуальной правовой тематике слушайте по пятницам в 16:20 и понедельникам в 14:20 на волнах «Национального радио Чувашии» (105.0 FM, 72,41 УКВ) в информационно-аналитической  программе «Экстренный час с Олегом Дмитриевым» (официальная группа «ВКонтакте»: https://vk.com/radiochas)."
/news/item/1261194/,chuvashia,В Новочебоксарске местный житель подозревается в покушении на дачу мелкой взятки сотруднику полиции,"['взятка', 'коррупция']",04 Марта 2024,"Следственными органами Следственного комитета РФ по Чувашской Республике возбуждено уголовное дело в отношении 48-летнего жителя города Новочебоксарска. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 1 ст. 291.2 УК РФ (покушение на дачу мелкой взятки).
Как следует из материалов уголовного дела, вечером 28 сентября 2018 года возле одного из торговых центров в городе Новочебоксарске местный житель обнаружил в своем автомобиле, который он не закрыл на ключ, постороннего мужчину, который проник туда в состоянии алкогольного опьянения и уснул, расположившись на водительском сиденье. Последний был препровожден сотрудниками полиции, прибывшими по сообщению об этом факте, в служебный автомобиль. В пути следования в отдел внутренних дел для разбирательства по данному факту тот передал одному из правоохранителей незаконное денежное вознаграждение в размере 1 тысячи рублей за недоставление его в полицию.
В настоящее время проводятся необходимые следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается.
 
Будьте в курсе новостей СУ СКР по Чувашии 
на нашем инстаграм: https://www.instagram.com/chuvashiasledcom/,
мы ""Вконтакте"": https://vk.com/chuvashiasledcom, 
в ""Твиттере"": https://twitter.com/SuChuvashia, 
в ""Фейсбуке"": https://www.facebook.com/chuvashiasledcom/,
в «ТамТам»: https://tt.me/chuvashiasledcom.
Подписывайтесь на официальный канал СУ СКР по Чувашии в Youtube и смотрите видео о деятельности ведомства  
Радиоверсию новостей от СУ СКР по Чувашии, а также интервью с экспертами по актуальной правовой тематике слушайте по пятницам в 16:20 и понедельникам в 14:20 на волнах «Национального радио Чувашии» (105.0 FM, 72,41 УКВ) в информационно-аналитической  программе «Экстренный час с Олегом Дмитриевым» (официальная группа «ВКонтакте»: https://vk.com/radiochas)."
/news/item/1243194/,chuvashia,Ко Дню сотрудника органов следствия Российской Федерации: об итогах работы СУ СКР по Чувашии в сфере противодействия коррупции в первом полугодии 2018 года,"['взятка', 'должностное лицо', 'злоупотребление', 'коррупция', 'мошенничество', 'превышение полномочий', 'присвоение', 'растрата', 'служебный подлог']",24 Января 2024,"Работа по противодействию коррупции является приоритетным направлением деятельности СУ СКР по Чувашии и строится в тесном взаимодействии с органами государственной власти и правоохранительными органами. Так, в первом полугодии 2018 года следователями СУ СКР по Чувашии возбуждено 165 уголовных дел о коррупции, тогда как в аналогичном периоде прошлого года (АППГ) - 84. В суды направлено 48 уголовных дел (в АППГ – 20), по которым собраны доказательства совершения 127 эпизодов преступлений коррупционной направленности (в АППГ – 46). Установлена причастность к их совершению 51 лица (в АППГ – 22). Остальные уголовные дела находятся в производстве.
Чаще других в первом полугодии 2018 года в производстве следователей СУ СКР по Чувашии находились уголовные дела, возбужденные по фактам совершения следующих категорий коррупционных преступлений:
получение взятки, в том числе мелкой (в размере не более 10 тысяч рублей) – 64 дела;
дача взятки, в том числе мелкой – 37 дел;
присвоение или растрата с использованием служебного положения – 24 дела;
служебный подлог – 17 уголовных дел;
мошенничество (в том числе при получении выплат), совершенное с использованием служебного положения – 11 дел;
а также ряд других: злоупотребление должностными полномочиями и их превышение, коммерческий подкуп, посредничество во взяточничестве.
Установленный следователями СУ СКР по Чувашии ущерб от коррупции по уголовным делам, направленным в первом полугодии 2018 года в суд, оценивается на сумму более 8 миллионов рублей. Принятыми мерами удалось возместить свыше 1 миллиона 400 тысяч рублей. Кроме того, в целях обеспечения возможности возмещения ущерба по таким уголовным делам следователями шире применялся арест имущества. В первом полугодии 2018 года его общая стоимость превысила 31,5 миллиона рублей (в АППГ – более 13 миллионов рублей).
За совершение коррупционных преступлений по уголовным делам, завершенным расследованием в первом полугодии 2018 года, на скамье подсудимых оказались 12 должностных лиц органов местного самоуправления. Им инкриминировано совершение 15 эпизодов таких противоправных действий.
В первом полугодии 2018 года следователями СУ СКР по Чувашии в тесном взаимодействии с подразделениями собственной безопасности соответствующих правоохранительных органов была продолжена работа по расследованию фактов коррупции среди их сотрудников. В результате по обвинению в коррупции в прошлом году перед судом предстали 3 лица, которые в момент их совершения занимали различные должности в правоохранительных органах.
Следственное управление СКР по Чувашии выражает признательность сотрудникам прокуратуры Чувашской Республики, МВД по Чувашской Республике, республиканских управлений ФСБ, ФСИН и ФССП, благодаря активному сотрудничеству с которыми стали возможны имеющиеся показатели работы следственного управления.
 
Будьте в курсе новостей СУ СКР по Чувашии 
на нашем инстаграм: https://www.instagram.com/chuvashiasledcom/,
мы ""Вконтакте"": https://vk.com/chuvashiasledcom, 
в ""Твиттере"": https://twitter.com/SuChuvashia, 
в ""Фейсбуке"": https://www.facebook.com/chuvashiasledcom/,
в «ТамТам»: https://tt.me/chuvashiasledcom.
Подписывайтесь на официальный канал СУ СКР по Чувашии в Youtube и смотрите видео о деятельности ведомства  
Радиоверсию новостей от СУ СКР по Чувашии, а также интервью с экспертами по актуальной правовой тематике слушайте по пятницам в 16:20 и понедельникам в 14:20 на волнах «Национального радио Чувашии» (105.0 FM, 72,41 УКВ) в информационно-аналитической  программе «Экстренный час с Олегом Дмитриевым» (официальная группа «ВКонтакте»: https://vk.com/radiochas)."
/news/item/1142806/,chuvashia,"В Чебоксарах перед судом предстанут местный житель и его сожительница, обвиняемые в покушении на дачу взятки сотруднику ФСБ",[],16 Января 2024,"Первым отделом по расследованию особо важных дел СУ СКР по Чувашии завершено расследование уголовного дела в отношении 45-летнего официально не трудоустроенного жителя города Чебоксары и его 43-летней сожительницы, являющейся адвокатом одной из коллегий адвокатов Адвокатской палаты Чувашской Республики. Они обвиняются в совершении преступления, предусмотренного ч. 3 ст. 30 – ч. 4 ст. 291 УК РФ (покушение на дачу взятки должностному лицу в крупном размере). 
По версии следствия, с 26 февраля по 10 марта 2016 года в городе Чебоксары мужчина, действуя по предварительному сговору со своей сожительницей, инициативно обратился к оперативному сотруднику управления ФСБ России по Чувашской Республике и пообещал ему взятку в размере 500 тысяч рублей, полагая, что тот может поспособствовать прекращению уголовного преследования о незаконном игорном бизнесе в отношении его знакомой, чьи интересы как адвокат защищала его сожительница, либо назначению ей наказания, не связанного с лишением свободы. Дальнейшие мероприятия по документированию противоправной деятельности проводились под контролем сотрудников правоохранительных органов. 
Реализуя свой преступный замысел, 11 марта 2016 года адвокат разместила 495 тысяч рублей в индивидуальной сейфовой ячейке в одном из местных банковских учреждений и передала ключ от нее сотруднику органов безопасности. После этого действия гражданских супругов были пресечены сотрудниками управления ФСБ России по Чувашской Республике и следователями первого отдела по расследованию особо важных дел СУ СК России по Чувашской Республике.
В целях установления всех обстоятельств произошедшего и объективной истины по уголовному делу проведен ряд обысков, изъят предмет взятки в виде денежных средств в вышеуказанной сумме. Причастность обвиняемых к совершению преступления подтверждена совокупностью собранных по уголовному делу доказательств, в том числе: показаниями свидетелей, результатами проведенных оперативно-розыскных мероприятий, изъятыми и приобщенными к делу соответствующими документами. По ходатайству следователя судом в отношении мужчины избрана мера пресечения в виде заключения под стражу, а в отношении его сожительницы – в виде домашнего ареста. 
Следователем собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направлено в Ленинский районный суд города Чебоксары для рассмотрения по существу."
/news/item/1142665/,chuvashia,"В Канашском районе лишенный прав водитель из Батыревского района пытался подкупить сотрудника ГИБДД, чтобы избежать административной ответственности",[],25 Декабря 2023,"Канашским межрайонным следственным отделом СУ СКР по Чувашии возбуждено уголовное дело в отношении 40-летнего жителя деревни Татарские Сугуты Батыревского района. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 30 - ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
По версии следствия, днем 26 января 2016 года на автодороге у деревни Караклы Канашского района подозреваемый, лишенный права управления транспортными средствами за вождение автомобиля в состоянии алкогольного опьянения, но тем не менее севший за руль, был остановлен сотрудниками ГИБДД. Не желая быть привлеченным к административной ответственности за совершенное правонарушение по ч. 2 ст. 12.7 КоАП РФ, предусматривающей наложение административного штрафа в размере 30 тысяч рублей, административный арест на срок до 15 суток либо обязательные работы на срок от 100 до 200 часов, он попытался передать инспектору ДПС взятку в размере 500 рублей, однако тот отказался от ее получения.
В настоящее время проводятся необходимые следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается.
Следует отметить, что протокол об административном правонарушении по ч. 2 ст. 12.7 КоАП РФ сотрудником ГИБДД в отношении нарушителя все же был составлен, и по результатам его рассмотрения постановлением мирового судьи подозреваемый привлечен к административной ответственности в виде 200 часов обязательных работ. Кроме того, злоумышленник будет привлечен и к уголовной ответственности."
/news/item/1391367/,chuvashia,В Мариинском Посаде бывший директор коммерческой организации осуждена за мошенничество,"['коррупция', 'мошенничество', 'приговор', 'суд']",18 Декабря 2023,"Доказательства, собранные следственными органами Следственного комитета РФ по Чувашской Республике, признаны судом достаточными для вынесения обвинительного приговора бывшему директору коммерческой организации, ранее располагавшейся в городе Мариинском Посаде. Она признана виновной в совершении трех эпизодов преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, совершенное с использованием служебного положения). Ей назначено наказание в виде штрафа в размере 150 тысяч рублей.
Следствием и Мариинско-Посадским районным судом установлено, что в городе Мариинском Посаде она, одновременно являясь директором и единственным учредителем указанной фирмы, в целях хищения денежных средств, выделявшихся из республиканского бюджета, в 2011-2013 годах заключала от имени возглавляемой организации с местным центром занятости населения договоры, в соответствии с которыми обязалась принять на работу многодетного родителя, инвалида, а также родителя, воспитывающего ребенка-инвалида, и оснастить для этих граждан рабочие места. Затем директор фирмы представляла в центр занятости населения фиктивные документы о трудоустройстве указанных лиц. После этого на счет ее организации центром занятости населения было перечислено в общей сложности 147 тысяч рублей, которые ею тем самым были похищены.
Причастность осужденной к инкриминированным деяниям подтверждается ее признательными показаниями, показаниями свидетелей и другими материалами уголовного дела. В ходе следствия она в полном объеме возместила причиненный центру занятости населения материальный ущерб. Следует отметить, что указанная коммерческая организация к настоящему времени какой-либо хозяйственной деятельности не ведет.
Приговор суда еще не вступил в законную силу.
 
Будьте в курсе новостей СУ СКР по Чувашии 
мы ""Вконтакте"": https://vk.com/chuvashiasledcom, 
в ""Твиттере"": https://twitter.com/SuChuvashia, 
в ""Фейсбуке"": https://www.facebook.com/chuvashiasledcom/,
в «ТамТам»: https://tt.me/chuvashiasledcom.
Присоединяйтесь к нам в Instagram (https://www.instagram.com/chuvashiasledcom) и смотрите видео о деятельности СУ СКР по Чувашии на нашем канале IGTV (https://www.instagram.com/chuvashiasledcom/channel/). 
Подписывайтесь на официальный канал СУ СКР по Чувашии в Youtube.
Радиоверсию новостей от СУ СКР по Чувашии, а также интервью с экспертами по актуальной правовой тематике слушайте по пятницам в 16:20 и понедельникам в 14:20 на волнах «Национального радио Чувашии» (105.0 FM, 72,41 УКВ) в информационно-аналитической  программе «Экстренный час с Олегом Дмитриевым» (официальная группа «ВКонтакте»: https://vk.com/radiochas)."
/news/item/1476531/,chuvashia,В Чебоксарском районе сельчанин признан виновным в покушении на дачу мелкой взятки за непривлечение его к административной ответственности,"['взятка', 'коррупция', 'покушение', 'приговор', 'суд']",08 Ноября 2023,"Доказательства, собранные следственными органами Следственного комитета РФ по Чувашской Республике, признаны судом достаточными для вынесения приговора 43-летнему жителю деревни Сятракасы Чебоксарского района. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 1 ст. 291.2 УК РФ (покушение на дачу мелкой взятки). Ему назначено наказание в виде штрафа в размере 15 тысяч рублей.
Следствием и судом установлено, что вечером 03 апреля 2020 года в поселке Альгешево города Чебоксары указанный мужчина, управляя автомобилем «Шкода Октавиа», выехал на встречную полосу автодороги, где совершил столкновение с автомобилем «Хёндэ Акцент», после чего не сообщил о случившемся в ГИБДД, а скрылся с места ДТП, направившись к месту своего жительства. В кратчайшие сроки его местонахождение было установлено сотрудниками правоохранительных органов, также был выявлен факт нахождения его за рулем в состоянии алкогольного опьянения. Тем не менее водитель не выполнил законного требования полицейского о прохождении медицинского освидетельствования на состояние опьянения, а также, чтобы избежать ответственности за это и ранее совершенные административные правонарушения, попытался передать инспектору ДПС незаконное денежное вознаграждение в размере 2 тысяч рублей, однако тот от получения взятки отказался, а противоправные действия нарушителя были пресечены.
Приговор суда еще не вступил в законную силу."
/news/item/1187957/,chuvashia,В Вурнарском районе завершено расследование уголовного дела в отношении бывшего начальника местного бюро технической инвентаризации,[],03 Ноября 2023,"Шумерлинским межрайонным следственным отделом СУ СКР по Чувашии завершено расследование уголовного дела в отношении бывшего начальника муниципального унитарного предприятия «Вурнарское бюро технической инвентаризации» (МУП «Вурнарское БТИ»). Он обвиняется в совершении преступлений, предусмотренных ч. 1 ст. 201 УК РФ (злоупотребление полномочиями), ч. 3 ст. 160 УК РФ (растрата, совершенная с использованием своего служебного положения) и ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, с сентября 2014 по август 2015 года обвиняемый искусственно создал видимость оказания населению услуг под видом возглавляемого предприятия вопреки его интересам в арендуемом его супругой как индивидуальным предпринимателем помещении в поселке Вурнары. Он незаконно привлекал подчиненных к приему заявок на изготовление технических планов, а также к выполнению кадастровых работ для жены либо в их рабочее время и выходные дни, либо принудительно направляя в административные отпуска без сохранения заработной платы. Также обвиняемый получил от глав двух сельских поселений сбор 200 заявок, собранных ими от граждан на изготовление технических планов и паспортов для постановки на кадастровый учет, и свыше 570 тысяч рублей для оплаты этих услуг, а в последующем передал эти денежные средства и заявки своей жене как предпринимателю. Кроме того, злоумышленник передавал ей либо без согласия собственника имущества, либо без заключения каких-либо договоров оборудование и служебный автотранспорт БТИ, а также доступ к электронному архиву технических паспортов, которые та использовала в своей предпринимательской деятельности. Таким образом, МУП «Вурнарское БТИ» причинен ущерб на общую сумму свыше 815 тысяч рублей.
Кроме того, с января 2014 по май 2015 года и с декабря 2015 по февраль 2016 года обвиняемый давал заведомо незаконное указание главному бухгалтеру возглавляемой организации о внесении в табели учета рабочего времени сведений, удостоверяющих заведомо ложные сведения о выполнении своих трудовых функций его супругой, которая занимала в этой организации должность юриста на 0,5 ставки, хотя та в эти периоды времени фактически свою работу не делала. В последующем он собственноручно утверждал указанные официальные документы, на основании которых его жене начислялась и выплачивалась заработная плата, а также производились отчисления во внебюджетные фонды. В результате муниципальному предприятию был причинен ущерб на общую сумму свыше 150 тысяч рублей.
По результатам расследования уголовного дела следователем в администрацию Вурнарского района внесено представление о принятии мер по устранению обстоятельств, способствовавших совершению преступлений. По ходатайству следователя судом наложен арест на имущество обвиняемого, а именно: два земельных участка, расположенные в деревне Хорнзор Вурнарского района. МУП «Вурнарское БТИ», кроме того, заявило гражданский иск к обвиняемому о взыскании суммы, причиненного предприятию ущерба.
Следователем собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направленов Вурнарский районный суд для рассмотрения по существу.
Факты противоправной деятельности обвиняемого выявлены в результате оперативного взаимодействия следователей СК России с сотрудниками управления ФСБ по Чувашской Республике и органов прокуратуры Чувашской Республики.
 
Читайте новости СУ СКР по Чувашии в нашем официальном Твиттере @SuChuvashia, а также в официальных группах «ВКонтакте» (https://vk.com/chuvashiasledcom) и «Facebook» (https://www.facebook.com/chuvashiasledcom/)
Аккаунт СУ СКР по Чувашии в сети «Инстаграм» - https://www.instagram.com/chuvashiasledcom/
Подписывайтесь на официальный канал СУ СКР по Чувашии в Youtube и смотрите видео о деятельности ведомства  
Радиоверсию новостей от СУ СКР по Чувашии, а также интервью с экспертами по актуальной правовой тематике слушайте по пятницам в 16:20 и понедельникам в 14:20 на волнах «Национального радио Чувашии» (105.0 FM, 72,41 УКВ) в информационно-аналитической  программе «Экстренный час с Олегом Дмитриеым» (официальная группа «ВКонтакте»: https://vk.com/radiochas)"
/news/item/1825719/,chuvashia,"В Новочебоксарске завершено расследование уголовного дела в отношении бывшего врача по медико-социальной экспертизе, обвиняемого в совершении коррупционных преступлений","['взятка', 'коррупция', 'СО по г. Новочебоксарск']",28 Октября 2023,"Следственными органами Следственного комитета РФ по Чувашской Республике завершено расследование уголовного дела в отношении бывшего врача невролога, врача по медико-социальной экспертизе филиала Главного бюро медико-социальной экспертизы по Чувашской Республике, расположенного в городе Новочебоксарске. Он обвиняется в совершении преступлений, предусмотренных ч. 1, ч. 2, п. «в» ч. 5 ст. 290 УК РФ (получение взятки, в том числе в значительном и в крупном размере – 6 эпизодов) и ч. 3 ст. 30, ч. 2 ст. 290 УК РФ (покушение на получение взятки в значительном размере).
По версии следствия, в период с апреля 2019 года по сентябрь 2022 года обвиняемый, занимая вышеуказанную должность, неоднократно получал взятки от граждан в размере от 14 до 168 тыс. рублей за обеспечение успешного прохождения ими медико-социальной экспертизы по установлению инвалидности и выдачу соответствующих документов. В октябре 2022 года попытка получения взятки в размере 41 тыс. рублей от одной из пациенток была пресечена сотрудниками правоохранительных органов.
Причастность бывшего врача к инкриминируемым деяниям подтверждается совокупностью собранных по делу доказательств, в том числе его собственными признательными показаниями, показаниями свидетелей, а также другими материалами дела.
В настоящее время следователем собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения прокурором обвинительного заключения направлено в Новочебоксарский городской суд для его рассмотрения по существу.
Следует отметить, что лица, незаконно передававшие взятки  врачу, также привлечены к уголовной ответственности."
