Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1426806/,crim,Главный врач Ленинской центральной районной больницы Республики Крым подозревается в получении взятки,[],03 Мая 2024,"Главным следственным управлением Следственного комитета Российской Федерации по Республики Крым и городу Севастополю возбуждено уголовное дело в отношении главного врача ГБУЗ РК ""Ленинская ЦРБ"". Он подозревается в получении взятки, сопряженном с вымогательством (п.""в"" ч.5ст.290 УК РФ).
Следствием установлено, что главный врач Ленинской центральной районной больницы вымогал взятку в размере 755 тысяч рублей за общее покровительство фирме при реализации государственного контракта.
Преступление было выявлено управлением по борьбе с экономическими преступлениями и противодействию коррупции МВД по Республике Крым и УФСБ России по Республике Крым и городу Севастополю. После получения части суммы он был задержан представителями этих ведомств.
В настоящее время проводится весь комплекс необходимых следственных и иных процессуальных действий для установления обстоятельств совершенного преступления.
Расследование уголовного дела продолжается."
/news/item/1187187/,crim,В Крыму возбуждены еще два уголовных дела по факту злоупотребления полномочиями руководства НПАО «Массандра»,[],12 Апреля 2024,"Управлением по расследованию особо важных дел Главного следственного управления Следственного комитета Российской Федерации по Республике Крым возбуждены еще два уголовных дела по признакам состава преступления, предусмотренного ч. 1 ст. 201 УК РФ (злоупотребление полномочиями) по факту злоупотребления полномочиями руководства Национального производственно-аграрного объединения «Массандра».
По данным следствия, 22 января 2013 года генеральный директор НПАО «Массандра», используя свои полномочия вопреки законным интересам НПАО «Массандра», в целях нанесения вреда ГП «Малореченское», являющегося участником НПАО «Массандра», заключил с директором предприятия экономически невыгодный договор купли-продажи виноматериалов до 2023 года, по которому в 2014 году ГП «Малореченское» реализовывало в НПАО «Массандра» виноматериалы различных марок. В результате чего ГП «Малореченское» недополучено в 2014 году доходов на сумму более 8,4 млн. рублей, что повлекло причинение существенного вреда правам и законным интересам ГП «Малореченское» и НПАО «Массандра», являющегося собственностью Республики Крым, а также охраняемым законом интересам общества и государства.
Кроме того, с ноября по декабрь 2014 года лица, выполняющие управленческие функции в НПАО «Массандра», на основании заключенного между НПАО «Массандра» и ЧАО «Торговый Дом «Массандра» договора поставки вина, вопреки законным интересам НПАО «Массандра», а также интересам Республики Крым, реализовали принадлежащую предприятию готовую продукцию – вино виноградное, в том числе коллекционное вино, по ценам заведомо ниже, чем среднерыночные. Таким образом, фактическое исполнение договора поставки между НПАО «Массандра» и ЧАО «Торговый Дом «Массандра» повлекло причинение существенного вреда на сумму не менее 20 млн. рублей, чем существенно были нарушены права и законные интересы НПАО «Массандра», являющегося собственностью Республики Крым, а также охраняемые законом интересы общества и государства.
В настоящее время по ходатайству следователя решением суда генеральный директор НПАО «Массандра» отстранен от занимаемой должности. Выясняются все обстоятельства совершенных преступлений. Расследование уголовного дела продолжается."
/news/item/1113472/,crim,Глава администрации города Красноперекопска подозревается в получении взятки,[],05 Апреля 2024,"Управлением по расследованию особо важных дел Главного следственного управления Следственного комитета Российской Федерации по Республике Крым возбуждено уголовное дело в отношении главы администрации г.Красноперекопска. Он подозревается в совершении преступления, предусмотренного п.""в"" ч. 5 ст. 290 УК РФ (получение взятки).
По данным следствия, 4 апреля 2017 года подозреваемый получил от предпринимателя взятку в размере 350 тысяч рублей за заключение договора аренды муниципальных помещений для дальнейшего использования их предпринимателем в коммерческих целях.
Уголовное дело возбуждено по материалам оперативных сотрудников управления экономической безопасности и противодействия коррупции МВД по Республике Крым.
В настоящее время подозреваемый задержан. Расследование уголовного дела продолжается."
/news/item/1187171/,crim,В Крыму возбуждено уголовное дело в отношении заведующей отделением в Республиканском заведении «Евпаторийский медицинский колледж» по факту получения взятки.,[],21 Марта 2024,"Следственным отделом по городу Евпатория Главного следственного управления Следственного комитета Российской Федерации по Республике Крым возбуждено уголовное дело по факту совершения заведующей отделением «Сестринское дело» в Республиканском заведении «Евпаторийский медицинский колледж» преступления – получение взятки (ст. 290 ч.2 УК РФ).  


Следствием установлено, что в июне 2014 года заведующая отделением «Сестринское дело» в Республиканском заведении «Евпаторийский медицинский колледж» предложила абитуриентке, жительнице города Евпатория своё содействие в поступлении на бюджетную форму обучения в Республиканское заведение «Евпаторийский медицинский колледж» за вознаграждение в сумме 70000 рублей. Девушка обратилась по данному факту в отдел в г. Евпатория УФСБ России по Республике Крым и г. Севастополю с заявлением. 


После чего, подозреваемая, находясь в своей квартире в городе Евпатория, лично получила от абитуриентки, которая действовала под контролем сотрудников отдела в городе Евпатория УФСБ России по Республике Крым и г. Севастополю, денежные средства в размере 70000 рублей в качестве взятки, за оказание содействия в поступлении Республиканское заведение «Евпаторийский медицинский колледж». 


 Подозреваемая была задержана с поличным на месте преступления, следователем Главного следственного управления Следственного комитета Российской Федерации по Республике Крым в отношении неё избрана мера пресечения в виде подписки о невыезде и надлежащем поведении. 


 В ближайшее время заведующей отделением «Сестринское дело» в Республиканском заведении «Евпаторийский медицинский колледж», ранее судимой за аналогичное преступление по законодательству Украины, планируется предъявить обвинение в совершении преступления, предусмотренного ст. 290 ч.2 УК РФ. Расследование уголовного дела продолжается."
/news/item/1842982/,crim,Первый заместитель руководителя Главного следственного управления Евгений Руднев стал гостем крымского филиала Краснодарского университета МВД России,['профилактика преступлений'],19 Марта 2024,"В рамках сотрудничества между Главным следственным управлением СК России по Республике Крым и городу Севастополю и крымским филиалом Краснодарского университета МВД России состоялось еще одно межведомственное мероприятие, направленное на выработку общих мер по противодействию коррупции.
Первый заместитель руководителя Главного следственного управления Евгений Владимирович Руднев встретился с личным составом вуза на тему профессионально-этических стандартов антикоррупционного поведения государственных служащих.
Заместитель начальника филиала Дмитрий Алексеевич Поштарук поблагодарил представителя органов СК России за постоянное взаимодействие, внимание к деятельности учебного заведения и совместную подготовку кадров для правовой сферы полуострова."
/news/item/1042992/,crim,Председатель одного из товариществ обвиняется в коммерческом подкупе,[],04 Марта 2024,"Следственным отделом по Центральному району города Симферополь Главного следственного управления Следственного комитета Российской Федерации по Республике Крым предъявлено обвинение председателю товарищества собственников недвижимости жилищно-строительного обслуживающего кооператива индивидуальных застройщиков «Дубки». Он обвиняется в совершении преступления, предусмотренного п. «в» ч. 4 ст. 204 УК (коммерческий подкуп, совершенный за незаконные действия).
По данным следствия, с  февраля по  май 2016 года обвиняемый изготовил фиктивные документы об избрании председателем товарищества и председателем ревизионной комиссии двух местных жителей, после чего потребовал от них передать ему в качестве вознаграждения за данные незаконные действия денежные средства в размере 200 тысяч долларов США (13 млн. рублей).
В настоящее время следователями проводится комплекс следственных действий, направленных на выяснение все обстоятельств совершенного преступления. Кроме того, в ходе следствия было установлено, что обвиняемый был ранее судим в соответствии с законодательством Украины за мошенничество. Расследование уголовного дела продолжается."
/news/item/1490145/,crim,В Севастополе возбуждено уголовное дело в отношении должностного лица Роспотребнадзора за покушение на мошенничество,"['деньги', 'мошенничество', 'чиновник']",01 Февраля 2024,"из материалов уголовного дела            

Главным следственным управлением Следственного комитета Российской Федерации по Республике Крым и городу Севастополю возбуждено уголовное дело в отношении главного специалиста – эксперта Территориального отдела по городу федерального значения Севастопольского Межрегионального управления Роспотребнадзора по Республике Крым и городу Севастополю по факту совершения покушения на мошенничество (ч. 3 ст. 30 ч. 3 ст. 159 УК РФ).
Следователями следственного отдела по Гагаринскому району города Севастополя Главного следственного управления совместно с сотрудниками управления экономической безопасности и противодействия коррупции УМВД России по городу Севастополю установлено, что сотрудник Роспотребнадзора в целях незаконного обогащения, предложил индивидуальному предпринимателю за вознаграждение в сумме 30 тысяч рублей решить вопрос о прекращении проверки, которая проводилась в отношении последнего за нарушения, допущенные при осуществлении предпринимательской деятельности в арендуемом им баре «Екатерина» в городе Севастополе и освобождения от уплаты штрафа за них.
При этом сотрудник Роспотребнадзора, несмотря на то, что проверка в отношении предпринимателя в его производстве не находилась, а ее проведение приостановлено не по его протекции, а ввиду действия режима ограничений, связанных с распространением вирусной инфекции Covid-19, умышленно ввел в заблуждение предпринимателя относительно своих возможностей для достижения своей корыстной цели.
Так, 3 августа текущего года сотрудник Роспотребнадзора сообщил последнему, что он предпринял все необходимые меры в интересах коммерсанта, который в свою очередь передал должностному лицу деньги в сумме 30 тысяч рублей.
Передача денежных средств проведена под контролем сотрудников УБЭиПК УМВД России по городу Севастополь, сотрудник Роспотребнадзора задержан при получении им денег в сумме 30 тысяч рублей.
Следователями должностное лицо контролирующего органа допрошено в качестве подозреваемого, вину в инкриминируемом ему преступлении он признал полностью, в содеянном раскаялся, дал признательные показания.
В настоящее время следователями Главного следственного управления во взаимодействии с сотрудниками УЭБиПК УМВД России по городу Севастополю проведены обыски по месту работы подозреваемого, изъяты документы и предметы, представляющие интерес для органов предварительного следствия, допрошены свидетели, проводятся иные следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершения данного преступления.
Расследование уголовного дела продолжается."
/news/item/885945/,crim,Бывший начальник криминальной милиции одного из отделов МВД Украины предстанет перед судом по обвинению в получении взятки,[],19 Января 2024,"Управлением по расследованию особо важных дел Главного следственного управления Следственного комитета Российской Федерации по Республике Крым завершено расследование уголовного дела в отношении бывшего начальника криминальной милиции Кировского районного отдела ГУ МВД Украины в Автономной Республике Крым. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег за незаконное бездействие). 



По данным следствия, в июне 2014 года обвиняемый за незаконное освобождение от административной ответственности гражданина Узбекистана, проживающего без регистрации и соответствующих миграционно-разрешительных документов, получил взятку в размере 12 тысяч рублей от своего знакомого, у которого проживал этот гражданин. После чего обвиняемый был задержан сотрудниками УФСБ России по Республике Крым и городу Севастополю. 



В ходе расследования уголовного дела были собраны достаточные доказательства, подтверждающие причастность обвиняемого к совершению преступления. В связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1187221/,crim,В ходе расследования уголовного дела выявлен еще один факт преступной деятельности бывшего начальника одного из управлений администрации города Алушты,[],18 Января 2024,"Следственным отделом по городу Алушта Главного следственного управления Следственного комитета Российской Федерации по Республике Крым возбуждено еще одно уголовное дело в отношении бывшего начальника Управления капитального строительства и жилищно-коммунального хозяйства Администрации города Алушта. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 285 УК РФ (злоупотребление должностными полномочиями).
По данным следствия, в ходе реализации Региональной адресной программы «Переселение граждан из аварийного жилищного фонда на 2014 - 2015 годы на территории Республики Крым» подозреваемый, используя свои служебные полномочия, самостоятельно определил застройщика для строительства многоквартирного дома и земельный участок, на котором должен быть возведен дом. Зная при этом, что у строительной фирмы нет всех необходимых документов для строительства, а земельный участок предоставлен для строительства многоквартирного жилого дома другой организации. Не смотря на то, что строительная фирма не выполнила свои обязательства по постройке многоквартирного дома с подводящими сетями и благоустройством прилегающей территории на ее счет в качестве аванса были переведены денежные средства в размере более 14 млн.рублей.
Действия подозреваемого повлекли тяжкие последствия в виде отчуждения из муниципального бюджета более 14 млн.рублей и невозможности для 26 семей, нуждающихся в отселении из аварийного жилья в г. Алушта, получить пригодное для жизни жилье, а также нарушение прав на земельный участок другим предприятием. 
Ранее в отношении бывшего начальника Управления капитального строительства и жилищно-коммунального хозяйства Администрации города Алушта было возбуждено уголовное дело, он подозревается в злоупотреблении должностными полномочиями при освоении денежных средств на строительство модульного детского сада, в результате чего незаконно были перечислены средства из муниципального бюджета в размере более 20  млн.рублей. 
По ходатайству следователя судом подозреваемому была избрана мера пресечения в виде заключения под стражу. Проводится комплекс следственных действий, направленных на выяснение всех обстоятельств совершенных преступлений. Расследование уголовного дела продолжается."
/news/item/1522248/,crim,Должностное лицо УМВД по городу Ялте и адвокат адвокатской палаты Республики Крым подозреваются в совершении коррупционных преступлений,"['адвокат', 'взятка', 'посредничество']",08 Декабря 2023,"Главным следственным управлением Следственного комитета Российской Федерации по Республике Крым и городу Севастополю по результатам спецмероприятий, проведенных совместно с УФСБ России по Республике Крым и городу Севастополю и ОРЧ СБ МВД по Республике Крым, возбуждено и расследуется уголовное дело в отношении врио замначальника следственного отдела УМВД России по г. Ялте, подозреваемого в получении взятки должностным лицом в особо крупном размере (ч.6 ст.290 УК РФ). Адвокат адвокатский палаты Республики Крым подозревается в посредничестве во взяточничестве, совершенном в особо крупном размере (ч.4 ст. 291.1 УК РФ).
Управлением по расследованию особо важных дел установлено, что должностным лицом УМВД России по городу Ялте проводилась проверка по сообщению о возможных неправомерных действиях при постановке на кадастровый учет земельных участков, приобретенных гражданкой соседнего государства. У сотрудника полиции возник преступный умысел на получение взятки за вынесение по результатам проверки постановления об отказе в возбуждении уголовного дела. Своему знакомому адвокату он предложил выступить посредником в получении взятки.
Когда адвокат достиг договоренности по передаче денежных средств должностному лицу МВД, последний вынес решение об отказе в возбуждении уголовного дела в связи с отсутствием в действиях гражданки состава преступления, предусмотренного статьями 159 и 327 УК РФ, адвокату для передаче владелице были выданы оригиналы документов на право владения участками. После чего посредник получил 100 тысяч долларов США (что составило по курсу Центрального банка России свыше 7,7 млн. рублей) и передал их врио замначальника следственного отдела УМВД России по городу Ялте. Подозреваемые были задержаны сотрудниками УФСБ России по Республике Крым и городу Севастополю.
Учитывая, что задержанные в соответствии со статьей 447 УПК РФ относятся к перечню лиц, в отношении которых применяется особый порядок производства, уголовные дела в отношении фигурантов возбуждались исполняющим обязанности руководителя Главного следственного управления СК России по Республике Крым и городу Севастополю.
В ходе обысков по местам работы и жительства фигурантов были изъяты документы и электронные носители, представляющие интерес для следствия. В настоящее время следствие готовится предъявить им обвинение и выйти в суд с ходатайством об избрании меры пресечения."
