Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1711903/,dagestan,"Гражданин иностранного государства, подозреваемый в покушении на дачу взятки, заключен под стражу","['взятка', 'коррупция', 'покушение']",03 Мая 2024,"Магарамкентским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Республике Дагестан продолжается расследование уголовного дела, возбужденного в отношении 53-летнего жителя иностранного государства, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 1 ст. 291 УК РФ (покушение на дачу взятки за совершение заведомо незаконных действий (бездействие).
По версии следствия, 25 июля 2022 года на Магарамкентском таможенном посту Дагестанской таможни Российско-Азербайджанской границы, расположенном на административной территории Магарамкентского района, мужчина передал заместителю таможенного поста взятку в размере 15 000 рублей и 200 долларов США за непринятие законных мер по составлению протокола об административном правонарушении за осуществление международных автомобильных перевозок с нарушением таможенного законодательства.
Сотрудником таможни отказано в принятии вознаграждения и разъяснено нарушителю о наступлении уголовной ответственности за дачу взятки должностному лицу.
Подозреваемый не смог довести свой преступный умысел до конца по независящим от его воли обстоятельствам.
Сегодня по ходатайству следствия судом ему избрана мера пресечения в виде заключения под стражу.
В настоящее время проводится комплекс следственных действий, направленный на закрепление доказательств вины подозреваемого, в ближайшее время ему будет предъявлено обвинение.
Расследование уголовного дела продолжается."
/news/item/1704588/,dagestan,"Направлено в суд уголовное дело в отношении мирового судьи в отставке, обвиняемого в получении взятки","['взятка', 'коррупция', 'судья']",03 Мая 2024,"Следственным управлением Следственного комитета Российской Федерации по Республике Дагестан завершено расследование уголовного дела в отношении  мирового судьи судебного участка № 1 Кировского района города  Махачкалы в отставке по признакам преступления, предусмотренного ч. 4 ст. 290 УК РФ (получение взятки).
По версии следствия, в мае 2018 года мировой судья получил от гражданина, действующего в интересах своего знакомого, 150 000 рублей за принятие в пользу последнего незаконного решения о прекращении производства по делу о совершенном административном правонарушении за вождение автомобиля в нетрезвом состоянии. 
В соответствии с действующим уголовно-процессуальным законодательством Российской Федерации решение о возбуждении уголовного дела в отношении судьи принималось Председателем Следственного комитета Российской Федерации. 
Следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1558627/,dagestan,"Завершены расследованием уголовные дела в отношении бывших должностных лиц министерства молодежи, обвиняемых в мошенничестве в особо крупном размере и подделке официальных документов","['мошенничество', 'поддельный документ']",01 Апреля 2024,"Следственным управлением Следственного комитета Российской Федерации по Республике Дагестан завершены расследованием уголовные дела в отношении бывшего исполняющего обязанности начальника отдела по работе со студенческой и трудящейся молодежью и бывшего исполняющего обязанности начальника отдела профилактических программ и проектов министерства по делам молодежи республики, обвиняемых в совершении преступлений, предусмотренных ч. 4 ст. 159 УК РФ (мошенничество, совершенное группой лиц по предварительному сговору в особо крупном размере) и ч. 1 ст. 327 УК РФ (подделка официального документа).   
По версии следствия, в конце декабря 2015 года обвиняемые, с целью хищения путем обмана и с использованием своего служебного положения бюджетных денежных средств в размере 1,8 миллионов рублей, выделенных на реализацию различных программ в сфере молодежной политики,  представив заведомо подложные документы о фактически не понесенных затратах, связанных с  организацией молодежного форума, введя в заблуждение руководство и бухгалтерию министерства молодежной политики республики, добились перечисления указанной суммы на счет коммерческой организации своего знакомого.
После поступления бюджетных денежных средств на счет общества с ограниченной ответственностью, генеральный директор перечислил часть денег на счета лиц, указанных обвиняемыми, а часть в размере 6% или 108 тысяч рублей оставил себе в соответствии с ранее достигнутой договоренностью.
Похищенными денежными средствами обвиняемые распорядились по своему усмотрению, причинив министерству по делам молодежи Республики Дагестан имущественный вред в особо крупном размере.
Принятыми в ходе следствия мерами обеспечено частичное возмещение ущерба.
Следствием собрана достаточная доказательственная база, в связи с чем уголовные дела с утвержденными обвинительными заключениями направлены в суд для рассмотрения по существу."
/news/item/963053/,dagestan,Перед судом предстанет глава села по обвинению в присвоении бюджетных средств и служебном подлоге,[],29 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Дагестан завершено расследование уголовного дела в отношении главы муниципального образования сельское поселение «с/с Арсланбековский» Ногайского района. Он обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 160 УК РФ (присвоение, совершенное с использованием служебного положения) и ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, в декабре 2013 года, в селе Ленинаул Ногайского района, глава села, полученные им 39 тысяч рублей в счет арендной платы от крестьянско-фермерского хозяйства «Анвар» в кассу муниципального образования не внес. Находясь в своем служебном кабинете, обвиняемый составил заведомо подложный официальный документ – квитанцию к приходно-кассовому ордеру, в котором подделал подписи бухгалтера и расписался за кассира о принятии денег и внесении в кассу, а также проставил гербовую печать муниципального образования. Указанную подложную  квитанцию глава села передал представителю хозяйства. Похищенными денежными средствами обвиняемый распорядился по своему усмотрению. 
            Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1651562/,dagestan,"Возбуждены уголовные дела в отношении бывшего главы села, подозреваемого в превышении должностных полномочий","['местное самоуправление', 'муниципальное образование', 'превышение полномочий']",27 Марта 2024,"Следственным управлением Следственного комитета Российской Федерации по Республике Дагестан возбуждены 10 уголовных дел в отношении бывшего главы муниципального образования сельского поселения «село Манаскент» Карабудахкентского района, подозреваемого в совершении преступлений, предусмотренных ч. 2 ст. 286 УК РФ (превышение должностных полномочий).  
По версии следствия, в 2013-2014 годы подозреваемый, явно выходя за пределы своих полномочий, выделил 10 местным жителям бесплатно земельные участки площадью от 400 до 1 600 кв м для ведения личного подсобного хозяйства, находящиеся в собственности МО «Карабудахкентский район». Для придания видимости законности выделения земельных участков, он незаконно изготовил и выдал им выписки из похозяйственных книг о наличии у последних прав на земельные участки, которые заверил своей подписью и оттисками печати администрации муниципального образования сельского поселения.
Указанные выписки из похозяйственной книги гражданами были представлены в подразделение Росреестра по Республике Дагестан, на основании которых после проведения межевания земельных участков, выданы выписки из Единого государственного реестра прав на недвижимое имущество и сделок с ним о регистрации права собственности на указанные земельные участки.
Незаконными действиями бывшего главы сельского поселения причинен материальный ущерб в виде отчуждения права собственности муниципалитета на указанные земельные участки общей стоимостью около 4 000 000 рублей.
В ходе предварительного расследования будут приняты меры, направленные на возмещение подозреваемым причиненного бюджету муниципального района ущерба.
В настоящее время проводятся необходимые следственные действия, направленные на закрепление доказательственной базы. Расследование уголовных дел продолжается."
/news/item/1805773/,dagestan,В Махачкале перед судом предстанут две сотрудницы МКУ «Управление образования»,['взятка'],21 Марта 2024,"Первым отделом по расследованию особо важных дел следственного управления Следственного комитета РФ по Республике Дагестан завершено расследование уголовных дел в отношении заместителя начальника МКУ «Управление образования» Администрации городского округа «г. Махачкала», обвиняемой в получении взяток в значительном размере по ч. 2 ст. 290 УК РФ (5 эпизодов) и начальника отдела материально-технического обслуживания МКУ «Управление образования» Администрации городского округа «г. Махачкала», обвиняемой в получении взяток по ч. 1 ст. 290 УК РФ (5 эпизодов).
По версии следствия, с октября 2021 по февраль 2022 заместитель начальника МКУ «Управление образования» г. Махачкалы за попустительство по службе, выражавшееся в непринятии входящих в ее служебные полномочия мер в виде инициирования проверок, соблюдения требований законодательства при организации питания в ряде образовательных учреждении города, ежемесячно получала от руководства данных учреждений денежные средства в виде взятки. Всего в указанный период обвиняемой были получены денежные средства в общей сумме 230 тыс.рублей.
В указанный же период начальник отдела материально-технического обслуживания МКУ «Управление образования» Администрации городского округа «г. Махачкала» также получала взятки в виде денег от руководства образовательных учреждений города за непринятие входящих в ее служебные полномочия мер в виде инициирования проверок соблюдения требований СаНпиН при организации питания в образовательных учреждениях. Всего обвиняемой были получены денежные средства в общей сумме 125 тыс.рублей.
Следствием собрана достаточная доказательственная база, в связи с чем уголовные дела с утвержденными обвинительными заключениями направлены в суд для рассмотрения по существу."
/news/item/1394485/,dagestan,Бывшая заведующая фельдшерским пунктом предстанет перед судом по обвинению в использовании поддельного диплома при трудоустройстве,[],15 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Дагестан завершено расследование уголовного дела в отношении бывшей заведующей фельдшерским пунктом Чародинской центральной районной больницы. Она подозревается в совершении преступления, предусмотренного ч. 3 ст. 327 УК РФ (использование заведомо поддельного официального документа).
По данным следствия, в 1996 году в городе Махачкале обвиняемая  приобрела у неустановленного лица поддельный диплом специалиста  базового медицинского колледжа, в котором она фактически не училась, с внесенными заведомо ложными сведениями  о том, что она имеет среднее профессиональное образование по квалификации «Фельдшер» по специальности  «Лечебное дело».
В 2013 году женщина предоставила указанный подложный диплом в отдел кадров Чародинской центральной районной больницы, на основании которого была назначена на должность заведующей фельдшерским пунктом.
Следствием собрана достаточная доказательственная база, в связи с чем по уголовному делу утверждено обвинительное заключение и оно направлено в суд для рассмотрения по существу."
/news/item/1546915/,dagestan,Глава сельсовета подозревается в превышении должностных полномочий,"['местное самоуправление', 'муниципальное образование', 'превышение полномочий']",02 Февраля 2024,"Следственным управлением Следственного комитета Российской Федерации по Республике Дагестан по материалам прокурорской проверки возбуждено уголовное дело в отношении главы муниципального образования «сельсовет Каякентский» Каякентского района Республики Дагестан. Он подозревается в совершении преступления, предусмотренного ч. 2 ст. 286 УК РФ (превышение должностных полномочий, совершенное главой органа местного самоуправления).
По версии следствия, в 2018 году глава сельсовета, превышая свои должностные полномочия, в нарушение требований земельного законодательства, издал незаконные постановления о предоставлении в собственность бесплатно четырем гражданам земельные участки общей площадью от 8 000 до 10 000 кв м каждому для ведения личного подсобного хозяйства.
Согласно Генеральному плану и Правилам землепользования и застройки муниципального образования, указанные земельные участки расположены в зоне индивидуальной жилой застройки и относятся к категории земель населенных пунктов. При этом главой муниципального образования превышен допустимый предельный размер предоставляемых земельных участков.
На основании незаконных постановлений подозреваемого в Едином государственном реестре недвижимости произведена запись о регистрации права собственности граждан на земельные участки.
В результате противоправных действий главы сельского поселения муниципальному образованию причинен существенный ущерб на сумму около 3,8 миллионов рублей.
В настоящее время проводится комплекс следственных действий, направленный на закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/908179/,dagestan,"Возбуждено уголовное дело по факту злоупотребления полномочиями руководством коммерческой организации, в результате которой образовалась крупная задолженность за поставленный газ",[],30 Января 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Дагестан возбуждено уголовное дело по факту злоупотребления полномочиями руководством общества с ограниченной ответственностью «Дагестанэнерго», в результате чего образовалась крупная задолженность за поставленный газ (ч. 2 ст. 201 УК РФ).
По версии следствия, с 2011 по 2014 годы руководство ООО «Дагестанэнерго», имея реальную возможность на погашение задолженности в размере свыше 800 миллионов рублей за поставленный природный газ, согласно договору поставки, заключенному с ООО «Газпром межрегионгаз Пятигорск», использовала денежные средства, полученные от потребителей, по своему усмотрению. Противоправные действия руководства ООО «Дагестанэнерго» повлекли тяжкие последствия в виде причинения вреда законным интересам ООО «Газпром межрегионгаз Пятигорск».
В настоящее время проводится комплекс следственных действий, направленных на установление конкретных виновных лиц и привлечение их к уголовной ответственности. Расследование уголовного дела продолжается."
/news/item/1714021/,dagestan,Гражданину иностранного государства предъявлено обвинение в покушении на дачу взятки,"['взятка', 'коррупция', 'покушение']",26 Января 2024,"Магарамкентским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Республике Дагестан предъявлено обвинение 53-летнему гражданину иностранного государства в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 1 ст. 291 УК РФ (покушение на дачу взятки за совершение заведомо незаконных действий (бездействие).
По версии следствия, 25 июля 2022 года на Магарамкентском таможенном посту Дагестанской таможни Российско-Азербайджанской границы, расположенном на административной территории Магарамкентского района, мужчина передал заместителю таможенного поста взятку в размере 15 000 рублей и 200 долларов США за непринятие законных мер по составлению протокола об административном правонарушении за осуществление международных автомобильных перевозок с нарушением таможенного законодательства.
Сотрудником таможни отказано в принятии вознаграждения и разъяснено нарушителю о наступлении уголовной ответственности за дачу взятки должностному лицу.
Обвиняемый не смог довести свой преступный умысел до конца по независящим от его воли обстоятельствам.
Ранее по ходатайству следствия судом ему избрана мера пресечения в виде заключения под стражу.
В настоящее время проводится комплекс следственных действий, направленный на закрепление доказательственной базы. Расследование уголовного дела продолжается."
