Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1387894/,hmao,В Сургуте бывшая сотрудница Росреестра признана виновной в получении взяток за сокращение сроков регистрации прав на недвижимость,[],01 Апреля 2024,"Доказательства, собранные следователями следственного отдела по городу Сургут следственного управления СК России по Ханты-Мансийскому автономному округу – Югре, признаны судом достаточными для вынесения приговора бывшей сотруднице Росреестра. Женщина признана виновной в совершении 24 преступлений, предусмотренных ч. 1 и ч. 2 ст. 290 УК РФ, ч. 2 ст. 291.1 (получение взяток, посредничество во взяточничестве).
По версии следствия, в разные периоды 2016-2018 г.г. подсудимая, а также ее коллега, работавшие в Сургутском отделе Росреестра, систематически получали взятки за сокращение сроков принятия документов, сроков проведения правовых экспертиз и регистрации прав на недвижимость и сделок с ним в пользу третьих лиц. В роли взяткодателей выступали индивидуальные предприниматели и риелторы, осуществлявшие коммерческую деятельность в сфере купли-продажи недвижимости на территории города Сургута и Сургутского района. Сумма полученных в качестве взяток денежных средств, по данным следствия, составила более 2 миллионов 600 тысяч рублей.
Приговором суда подсудимая признана виновной в совершении инкриминируемых преступлений и ей назначено наказание в виде 5 лет лишения свободы с отбыванием наказания в исправительной колонии общего режима, а также штраф в размере 250 тысяч рублей. По решению суда исполнение наказания отсрочено до достижения ребенком подсудимой 14-летнего возраста.
Кроме этого уже осужден один из взяткодателей. Он признан виновным в передаче взяток и ему назначено наказание в виде 2 лет 6 месяцев лишения свободы условно со штрафом в размере 600 тысяч рублей.
Уголовные дела в отношении второй сотрудницы Сургутского отдела Росреестра, остальных взяткодателей и посредников в передаче взяток в настоящее время находятся на судебном рассмотрении."
/news/item/1831764/,hmao,Житель Ханты-Мансийска подозревается в покушении на дачу взятки инспектору ГИБДД,['взятка'],20 Марта 2024,"Ханты-Мансийским межрайонным следственным отделом следственного управления СК России по Ханты-Мансийскому автономному округу – Югре возбуждено уголовное дело в отношении 49-летнего мужчины. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 30 ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение незаконных действий).
По версии следствия, 13 октября автомобиль под управлением мужчины был остановлен сотрудниками ГИБДД в районе улицы Чехова г.Ханты-Мансийска для проверки документов, при этом водитель имел явные признаки опьянения. В ходе медицинского освидетельствования установлено наличие паров алкоголя в выдыхаемом им воздухе.
Во время составления административного протокола в патрульном автомобиле водитель транспортного средства, желая избежать ответственности, попытался подкупить инспектора ГИБДД, положив более 39 тысяч рублей в бардачок служебного автомобиля. Незаконные действия подозреваемого были пресечены сотрудниками полиции.
По уголовному делу проводятся следственные действия.
В соответствии с УК РФ дача взятки должностному лицу наказывается штрафом в размере до одного миллиона пятисот тысяч рублей, или в размере до шестидесятикратной суммы взятки с лишением права занимать определенные должности или заниматься определенной деятельностью либо лишением свободы со штрафом в размере до тридцатикратной суммы взятки."
/news/item/1415592/,hmao,В Сургуте вынесен приговор по уголовному делу в отношении бывшего сотрудника исправительной колонии,[],13 Марта 2024,"Доказательства, собранные следственным отделом по городу Сургут следственного управления СК России по Ханты-Мансийскому автономному округу – Югре, признаны судом достаточными для вынесения приговора по уголовному делу в отношении бывшего сотрудника исправительной колонии. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки) и ч. 1 ст. 286 УК РФ (превышение должностных полномочий). Преступления были выявлены сотрудниками отдела собственной безопасности УФСИН России по Ханты-Мансийскому автономному округу - Югре.
Следствием и судом установлено, что в июне 2019 года сотрудник колонии незаконно пронес на территорию учреждения запрещенные предметы – мобильный телефон и сим-карту, которые за взятку в размере 11 тысяч рублей передал осужденному.
Приговором суда подсудимый признан виновным и ему назначено наказание в виде лишения свободы сроком на 3,5 года условно с испытательным сроком 3,5 года и штрафа в размере 55 тысяч рублей. Также суд лишил осужденного права занимать должности на государственной службе в правоохранительных органах сроком на 3 года."
/news/item/1834543/,hmao,Завершено расследование уголовного дела о коммерческом подкупе,['коммерческий подкуп'],04 Марта 2024,"Следственным отделом по Нижневартовскому району следственного управления СК России по Ханты-Мансийскому автономному округу – Югре завершено расследование уголовного дела в отношении сотрудника нефтедобывающей организации, выполняющего управленческие функции. Он обвиняется в совершении преступления, предусмотренного ч. 7 ст. 204 УК РФ (коммерческий подкуп).
По версии следствия, в 2022 году обвиняемый путем вымогательства получил от руководителя фирмы-субподрядчика 150 тысяч рублей за бездействие в интересах указанной компании – обвиняемый обязался не проводить какие-либо проверки в отношении фирмы и не применять штрафные санкции за нарушения, в случае их выявления.
По уголовному делу следователем собраны достаточные доказательства, материалы уголовного дела переданы в суд для рассмотрения по существу."
/news/item/1381647/,hmao,В Ханты-Мансийске продолжается расследование уголовного дела в отношении должностных лиц КУ ХМАО – Югры «Бюро судебно-медицинская экспертиза»,[],14 Февраля 2024,"Ханты-Мансийским межрайонным следственным отделом следственного управления СК России по Ханты-Мансийскому автономному округу - Югре продолжается расследование уголовных дел в отношении должностных лиц КУ ХМАО– Югры «Бюро судебно-медицинская экспертиза», в ходе которого выявлен дополнительный эпизод их преступной деятельности, предусмотренный ч. 3 ст. 291 УК РФ (дача взятки должностному лицу).
По версии следствия, в конце декабря 2016 года заместитель начальника по экономическим вопросам казенного учреждения Ханты-Мансийского автономного округа – Югры передала начальнику по хозяйственным вопросам данного учреждения денежные средства в размере 40 тысяч рублей за совершение незаконного бездействия при заключении государственного контракта с одним из индивидуальных предпринимателей на выполнение ремонтных работ в филиале «Отделение в городе Сургут» КУ БУ ХМАО – Югры «БСМЭ» и незаконных действий при принятии работ по указанному государственному контракту.
В настоящее время по уголовным делам в отношении должностных лиц вышеуказанного учреждения проводятся необходимые следственные действия, направленные на сбор и закрепление доказательственной базы, выявление других эпизодов преступной деятельности."
/news/item/1634846/,hmao,Выявлен дополнительный эпизод получения взятки работником Управления капитального строительства ХМАО,"['взятка', 'коррупция', 'СКР']",01 Февраля 2024,"Первым отделом по расследованию особо важных дел следственного управления СК России по ХМАО-Югре продолжается расследование уголовного дела, возбужденного в отношении директора филиала в городе Нижневартовск казенного учреждения ХМАО-Югры «Управление капитального строительства» по ч.6 ст. 290 УК РФ (получение взятки в особо крупном размере).
В ходе расследования установлено, что в период с декабря 2020 по июль 2021 года, обвиняемый, находясь на территории города Москва, помимо ранее выявленного факта получения 35 миллионов, получил от жителя Московской области, представляющего интересы компании – поставщика оборудования для строящегося объекта «Центральная больница на 1100 коек в городе Нижневартовск» 1,5 миллиона рублей. Указанные денежные средства получены в качестве взятки за содействие в выигрыше поставщиком конкурса и последующее лояльное отношение к выполнению условий контракта.
По указанному факту в отношении обвиняемого и 37-летнего посредника возбуждено уголовное дело по ч.6 ст. 290 УК РФ (получение взятки) и ч.4 ст. 291.1 УК РФ (посредничество во взяточничестве в особо крупном размере).
По уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств произошедшего и сбор доказательственной базы. Расследование продолжается."
/news/item/1773579/,hmao,Бывший директор филиала КУ ХМАО-Югры «Управление капитального строительства» предстанет перед судом по обвинению в получении взятки в особо крупном размере,['взятка'],25 Января 2024,"Первым отделом по расследованию особо важных дел следственного управления Следственного комитета России по Ханты-Мансийскому автономному округу – Югре завершено расследование уголовного дела в отношении бывшего директора филиала в городе Нижневартовск казенного учреждения ХМАО-Югры «Управление капитального строительства». Он обвиняется в совершении преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере), ч. 1 ст. 285 (злоупотребление должностными полномочиями), ч. 2 ст. 292 (служебный подлог). Преступление было выявлено РУ ФСБ России по Тюменской области.
По версии следствия, обвиняемый в период с декабря 2019 по сентябрь 2021 года, находясь на территории города Москвы и Московской области несколькими частями получил свыше 36 миллионов рублей от представителя исполнителя государственного контракта на поставку оборудования для объекта «Центральная больница на 1100 коек в городе Нижневартовск». Указанные денежные средства получены в качестве взятки за лояльное отношение к выполнению условий контракта, в том числе за принятие работ в полном объеме при их фактическом несоответствии условиям контракта.
Обвиняемый был задержан в городе Ханты-Мансийске в октябре 2021 года, по ходатайству следователя СКР и решению суда он помещен под стражу, где находится по настоящее время.
В ходе расследования уголовного дела у обвиняемого обнаружены и изъяты более 14 миллионов рублей. На денежные средства в сумме 20 миллионов рублей, хранящиеся на банковском счете обвиняемого, наложен арест. Материалы по фактам дачи взяток должностному лицу выделены в отдельное производство, работа следствия продолжается и направлена на установление всех обстоятельств совершенного преступления.
По уголовному делу следователями собраны достаточные доказательства, прокурором утверждено обвинительное заключение и материалы дела переданы в суд для рассмотрения по существу."
/news/item/1216315/,hmao,Житель Сургута предстанет перед судом по обвинению в мелком взяточничестве,[],23 Января 2024,"Сургутским межрайонным следственным отделом следственного управления СКР по Ханты-Мансийскому автономному округу – Югре завершено расследование уголовного дела по обвинению жителя Сургута в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
Следствием установлено, что автомобиль под управлением обвиняемого был остановлен инспектором дорожно-патрульной службы за нарушение правил дорожного движения. В ходе проверки документов инспектор ДПС установил, что водитель лишен права управления транспортными средствами на полтора года за управление автомобилем в состоянии алкогольного опьянения.
Желая избежать привлечения к административной ответственности обвиняемый предложил инспектору ДПС взятку, после чего был предупрежден сотрудником полиции об уголовной ответственности. Но мужчину это не остановило и он положил 5-тысячную купюру возле рычага переключения коробки передач патрульного автомобиля. После совершения преступления мужчина был задержан.
В настоящее время расследование уголовного дела завершено. Обвиняемому грозит до 1 года лишения свободы."
/news/item/1663534/,hmao,Бывший заместитель директора бюджетного учреждения признан виновным в получении взятки,"['взятка', 'коррупция', 'приговор', 'СКР']",22 Января 2024,"Доказательства, собранные следователями следственного отдела по городу Сургут следственного управления СК России по ХМАО-Югре признаны судом достаточными для вынесения приговора бывшему заместителю директора бюджетного учреждения. Он признан виновным в совершении преступления, предусмотренного ч.2 ст. 290 УК РФ (получение взятки).
Следствием и судом установлено, что осужденный, занимая должность заместителя директора по административно-хозяйственной части БУ ХМАО-Югры «Сургутский музыкально-драматический театр», в октябре 2017 года получил от одного из предпринимателей 50 тысяч рублей в качестве взятки за составление и подписание в августе 2017 года акта о приемке работ по текущему ремонту объектов учреждения, произведенному в рамках окружной программы «Доступная среда на 2016-2020 годы по обеспечению доступности для маломобильных групп населения». При этом в акте и иных приемочных документах отражены недостоверные сведения о стоимости использованных во время ремонта материалов.
Сургутским городским судом, с учетом раскаяния подсудимого, ему назначено наказание в виде 3 лет лишения свободы условно с испытательным сроком 3 года и штрафом 500 тысяч рублей, что соответствует 10-ти кратной сумме взятки. Также осужденному запрещено занимать руководящие должности на государственной и муниципальной службе, а также в организациях в сфере культуры и образования.
Приговор не вступил в законную силу."
/news/item/1837316/,hmao,Бывший глава сельского поселения Хулимсунт признан виновным в совершении коррупционного преступления,"['взятка', 'коррупция']",05 Января 2024,"Доказательства, собранные первым отделом по расследованию особо важных дел следственного управления СК России по Ханты-Мансийскому автономному округу – Югре, признаны судом достаточными для вынесения приговора по уголовному делу в отношении бывшего главы сельского поселения Хулимсунт Березовского района. Он признан виновным в совершении преступления, предусмотренного ч. 4 ст. 290 УК РФ (получение взятки в значительном размере, совершенное лицом, занимающим должность главы органа местного самоуправления).
Следствием установлено, что 27 сентября 2022 года подсудимый, являясь главой сельского поселения Хулимсунт, получил от представителя одного из предпринимателей денежные средства в сумме 50 тысяч рублей в качестве взятки за изменение вида разрешенного использования земельного участка, рядом с которым расположена торговая точка. Совершенные в пользу взяткодателя действия способствовали продолжению предпринимателем торговли алкогольной продукцией после введения с 1 сентября 2022 года новых правил и ограничений на такую деятельность.
Приговором суда подсудимый признан виновным в инкриминируемом преступлении. Ему назначено наказание в виде штрафа в размере 1 миллиона рублей. С учетом его нахождения под домашним арестом сумма штрафа снижена до 800 тысяч рублей. Также он лишен права занимать должности на государственной службе и в органах местного самоуправления сроком на 3 года."
