Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1713190/,ingushetia,Житель республики подозревается в даче взятки,['взятка'],05 Августа 2022,"Следователем Назрановского межрайонного следственного отдела следственного управления Следственного комитета Российской Федерации по Республике Ингушетия возбуждено уголовное дело в отношении 28-летнего жителя республики. Он подозревается в совершении преступления, предусмотренного ч.1 ст.291 УК РФ (дача взятки должностному лицу).
По данным следствия, 04 августа 2022 года мужчина дал взятку сотруднику полиции за не осуществление сбора материала по факту реализации им алкогольной продукции.
Сотрудник полиции от получения взятки отказался.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование продолжается."
/news/item/1142456/,ingushetia,Депутат городского совета муниципального образования подозревается в совершении мошенничества,[],02 Июня 2022,"Следственным отделом по городу Назрань следственного управления Следственного комитета Российской Федерации по Республике Ингушетия возбуждено уголовное дело в отношении 52–летнего депутата городского совета муниципального образования «Городской округ города Назрань». Он подозревается в совершении преступления, предусмотренного ч.4 ст.159 УК РФ (мошенничество, совершенное в особо крупном размере).
По данным следствия, в декабре 1996 года на основании подложных документов подозреваемый получил удостоверение вынужденного переселенца. В апреле 2016 года он представил в Министерство по внешним связям, национальной политике, печати и информации Республики Ингушетия, реализующее подпрограмму «Выполнение государственных обязательств по обеспечению жильем категорий граждан, установленных федеральным законодательством» федеральной целевой программы «Жилище» на 2015-2020 годы подложные документы об утрате его семьей жилья в результате военного конфликта на территории Чеченской Республики, на основании которых ему выдан жилищный сертификат на сумму 5185152 рубля, на средства которого он прибрел два жилых помещения.
Преступление выявлено сотрудниками УФСБ России по Республике Ингушетия.
По уголовному делу допрошены подозреваемый, свидетели, работники указанного ведомства, запрошены сведения, характеризующие подозреваемого, изъяты документы, назначены судебные экспертизы.
Расследование уголовного дела продолжается."
/news/item/1009606/,ingushetia,Житель республики подозревается в мошенничестве в особо крупном размере,[],27 Мая 2022,"Следственным отделом по городу Назрань следственного управления Следственного комитета Российской Федерации по Республике Ингушетия возбуждено уголовное дело в отношении 33-летнего жителя республики. Он подозревается в совершении преступления, предусмотренного ч.4 ст.159 УК РФ (мошенничество, совершенное в особо крупном размере).
По данным следствия, подозреваемый, являясь главным бухгалтером отделения вневедомственной охраны по городу Назрань – филиала Федерального казенного государственного учреждения «Управление вневедомственной охраны МВД по Республике Ингушетия», получая заработную плату по своей должности, с февраля 2012 года по август 2014 года, с использованием своего служебного положения, помимо установленной заработной платы, необоснованно начислял себе и получал заработную плату как сотрудник органов внутренних дел, имеющий специальное звание, не являясь таковым. Кроме того, в указанный период он необоснованно начислял и получал заработную плату на имя своей супруги, которая в отделении вневедомственной охраны по городу Назрань в указанный период не работала. Всего подозреваемый завладел бюджетными денежными средствами в сумме более 6 миллионов рублей.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1192145/,ingushetia,Житель республики подозревается в мошенничестве,['мошенничество'],16 Мая 2022,"Назрановским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Республике Ингушетия возбуждено уголовное дело в отношении 52-летнего жителя республики. Он подозревается в совершении преступления, предусмотренного ч.3 ст.159 УК РФ (мошенничество, совершенное в крупном размере).
По данным следствия, с 22 по 31 декабря 2016 года подозреваемым, являющимся работником бухгалтерии ГКОУ «Горский кадетский корпус им А.Д. Цароева», путем обмана и злоупотребления доверием присвоены денежные средства, поступившие в декабре 2016 года в виде премий на банковские счета нескольких работников указанного образовательного учреждения, которые в дальнейшем им использованы по своему усмотрению.
По уголовному делу проведены первоначальные следственные действия, направленные на установление обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1123036/,ingushetia,Сотрудник полиции предстанет перед судом за совершение мошенничества,[],29 Апреля 2022,"Первым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Республике Ингушетия окончено расследование уголовного дела в отношении 38-летней жительницы республики. Она обвиняется в совершении преступления, предусмотренного ч.3 ст.159 УК РФ (мошенничество, совершенное в крупном размере).
Как сообщалось ранее, в декабре 2016 года у обвиняемой – должностного лица МВД по Республике Ингушетия, в чьи обязанности входит обработка и направление документов для согласования на допуск к сведениям, составляющим государственную тайну, после подготовки и направления соответствующих документов по оформлению допуска сотрудника полиции к сведениям, составляющим государственную тайну, возник умысел на завладение денежными средствами в размере 50 тысяч рублей путем обмана и злоупотребления доверием.
В связи с этим она ввела сотрудника полиции в заблуждение, сообщив ему ложную информацию относительно дачи положительного заключения при оформлении ему допуска к сведениям, составляющим государственную тайну, и потребовала за данную услугу указанную денежную сумму.
Осознавая противоправность ее требований, сотрудник полиции обратился в органы безопасности республики и в дальнейшем процесс передачи денежных средств проходил в рамках оперативно-розыскных мероприятий, проведенных УФСБ РФ по Республике Ингушетия.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено прокурором в суд для рассмотрения по существу."
/news/item/1560700/,ingushetia,В Ингушетии перед судом предстанет бывший глава администрации с.п. Барсуки за превышение должностных полномочий и служебный подлог при выдаче земельных участков.,[],15 Апреля 2022,"Назрановским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Республике Ингушетия окончено производством уголовное дело в отношении бывшего главы администрации с.п. Барсуки по 10 эпизодам преступлений, предусмотренных ч.2 ст. 286 и ч.2 ст. 292 УК РФ.  
Следствием установлено, что Эстоев С.А. 1977 г.р., будучи главой сельского поселения Барсуки Назрановского муниципального района Республики Ингушетия, являясь представителем власти, наделенным организационно-распорядительными и административно-хозяйственными функциями, действуя умышленно и осознавая преступный характер своих действий, совершая действия, явно выходящие за пределы своих полномочий, не имея правовых оснований, в период нахождения в должности в нарушение административного регламента предоставления муниципальной услуги «Выдача юридическим и физическим лицам справок, выписок из похозяйственных книг», в разные периоды времени выдал 10 подложных выписок из похозяйственной книги, в которые были внесены заведомо ложные сведения о принадлежности 10 жителям республики на праве постоянного бессрочного пользования земельных участков, на основании которых были оформлены права собственности.
В результате незаконных действий обвиняемого государству причинен ущерб в размере свыше 6 миллионов рублей.
Таким образом, своими умышленными действиями, обвиняемый совершил 5 преступлений, предусмотренных частью 2 статьи 286 УК РФ - превышение должностных полномочий, то есть совершение главой органа местного самоуправления действий, явно выходящих за пределы его полномочий и повлекших существенное нарушение охраняемых законом интересов общества или государства и  5 преступлений, предусмотренных ч. 2 ст. 292 УК РФ – служебный подлог, то есть внесение должностным лицом в официальные документы заведомо ложных сведений, если это деяние совершено из иной личной заинтересованности, повлекшее существенное нарушение прав и законных интересов граждан и охраняемых законом интересов общества и государства.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением передано в суд для рассмотрения по существу."
/news/item/1687334/,ingushetia,Бывший министр образования и науки республики подозревается в превышении должностных полномочий,['превышение полномочий'],11 Апреля 2022,"Следователем следственного отдела по городу Назрань следственного управления Следственного комитета Российской Федерации по Республике Ингушетия на основании материалов УФСБ и МВД России по Республике Ингушетия возбуждено уголовное дело в отношении 58-летнего бывшего министра образования и науки Республики Ингушетия. Он подозревается в совершении преступления, предусмотренного ч.2 ст.286 УК РФ (превышение должностных полномочий лицом, занимающим государственную должность субъекта Российской Федерации, повлекших существенное нарушение охраняемых законом интересов государства).
По данным следствия, в ноябре-декабре 2018 года между Министерством образования и науки Республики Ингушетия и ООО «Аликом ИНК», заключены государственные контракты на общую сумму около 37 млн рублей на поставку оборудования для оснащения детского технопарка «Кванториум».
В декабре 2018 года подозреваемый, являясь должностным лицом, занимающим государственную должность субъекта Российской Федерации, подписал документы, содержащие ложные сведения о поставке оборудования, будучи осведомленным о том, что какое-либо оборудование в рамках исполнения государственных контрактов ООО «Аликом ИНК» фактически не поставлено, а затем осуществил перечисление денежных средств данной коммерческой организации, совершив тем самым действия, явно выходящие за пределы своих должностных полномочий, повлекшие существенное нарушение охраняемых законом интересов государства, выразившиеся в причинении Министерству образования и науки Республики Ингушетия ущерба на указанную сумму.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается.
Ранее в отношении генерального директора ООО «Аликом ИНК» возбуждено уголовное дело по подозрению в совершении преступления, предусмотренного ч.4 ст.159 УК РФ (мошенничество, совершенное в особо крупном размере), которое в настоящее время с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1691090/,ingushetia,Сотрудники полиции подозреваются в вымогательстве и получении взятки в крупном размере,"['взятка', 'полицейский']",22 Февраля 2022,"Следователем следственного отдела по городу Назрань следственного управления Следственного комитета Российской Федерации по Республике Ингушетия на основании материалов УФСБ России по Республике Ингушетия возбуждено уголовное дело в отношении 34- и 44-летнего жителей республики. Они подозреваются в совершении преступления, предусмотренного п. «а», «б», «в» ч.5 ст.290 УК РФ (получение должностным лицом лично взятки в виде денег в группе лиц по предварительному сговору с вымогательством взятки в крупном размере).
По данным следствия, 18 мая 2022 года подозреваемые, являющиеся сотрудниками Назрановского линейного отдела МВД России на транспорте, вступив в преступный сговор, направленный на вымогательство взятки в крупном размере в виде денежных средств у 26-летнего жителя республики, доставленного в указанный отдел по подозрению в хранении наркотических веществ, потребовали передать им денежные средства в сумме 300 тысяч рублей за не совершение в отношении него проверочных действий, входящих в их полномочия по выявлению, предупреждению, пресечению и раскрытию преступлений, связанных с незаконным оборотом наркотических средств.
Вечером того же дня, реализуя свой преступный умысел, направленный на вымогательство взятки в крупном размере, в городе Назрани они получили от матери молодого человека требуемые денежные средства.
Подозреваемые задержаны. В отношении них судом избрана мера пресечения в виде заключения под стражу.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1560463/,ingushetia,В Ингушетии перед судом предстанет бывший глава администрации за превышении должностных полномочий и служебный подлог при выдаче земельных участков.,"['должностные преступления', 'злоупотребление', 'служебный подлог', 'чиновник']",21 Февраля 2022,"Следственным отделом по г. Малгобек следственного управления Следственного комитета Российской Федерации по Республике Ингушетия окончено производством уголовное дело в отношении бывшего главы администрации с.п. Средние Ачалуки по 28 эпизодам преступлений, предусмотренных ч.2 ст. 286 и ч.2 ст. 292 УК РФ.  
 Следствием установлено, что 55-летний местный житель, будучи главой муниципального образования «Сельское поселение Средние Ачалуки», являясь представителем власти, наделенным организационно-распорядительными и административно-хозяйственными функциями, действуя умышленно и осознавая преступный характер своих действий, совершая действия, явно выходящие за пределы своих полномочий, не имея правовых оснований, в период нахождения в должности в нарушение административного регламента предоставления муниципальной услуги «Выдача юридическим и физическим лицам справок, выписок из похозяйственных книг администрации с.п.Средние Ачалуки», в разные периоды времени выдал 14 подложных выписок из похозяйственной книги, в которые были внесены заведомо ложные сведения о принадлежности 14 жителям республики на праве постоянного бессрочного пользования земельных участков. 
В результате незаконных действий обвиняемого государству причинен ущерб в размере свыше 10 миллионов рублей.
Таким образом, своими умышленными действиями, обвиняемый 1966 г.р. совершил 14 преступлений, предусмотренных частью 2 статьи 286 УК РФ - превышение должностных полномочий, то есть совершение главой органа местного самоуправления действий, явно выходящих за пределы его полномочий и повлекших существенное нарушение охраняемых законом интересов общества или государства и  14 преступлений, предусмотренных ч. 2 ст. 292 УК РФ – служебный подлог, то есть внесение должностным лицом в официальные документы заведомо ложных сведений, если это деяние совершено из иной личной заинтересованности, повлекшее существенное нарушение прав и законных интересов граждан и охраняемых законом интересов общества и государства.
 Следствием собраны достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением передано в суд для рассмотрения по существу."
/news/item/1194422/,ingushetia,Бывший сотрудник полиции подозревается в получении взятки,['коррупция'],28 Октября 2021,"Следственным отделом по городу Назрань следственного управления Следственного комитета Российской Федерации по Республике Ингушетия возбуждено уголовное дело в отношении 37-летнего бывшего старшего инспектора ДПС ОГИБДД МВД республики. Он подозревается в совершении преступления, предусмотренного ч.1 ст.291.2 УК РФ (получение взятки лично в размере, не превышающем десяти тысяч рублей).
По данным следствия, 11 сентября 2017 года подозреваемый, находясь при исполнении должностных обязанностей на стационарном посту ДПС, расположенном на 564 километре Федеральной автомобильной дороги «Кавказ», под угрозой привлечения к административной ответственности и создания препятствий потребовал и получил у водителя автомашины денежные средства в сумме 4 тысячи рублей за беспрепятственный проезд через стационарный пост ДПС, а также содействие в передвижении по территории республики.
По уголовному делу выполнены все необходимые первоначальные следственные действия.
Расследование уголовного дела продолжается."
