Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1138750/,irk,В Бодайбо бывший главный врач больницы подозревается в должностном преступлении,[],17 Января 2024,"Бодайбинским межрайонным следственным отделом СУ СК России по Иркутской области возбуждено уголовное дело по признакам преступления, предусмотренного ч.1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
По версии следствия, с ноября 2014 года по июль 2016 года главврач медучреждения, являясь должностным лицом, действуя из корыстной заинтересованности, злоупотребил своими должностными полномочиями. Больницей по договору оказывались платные услуги клиентам частного медицинского центра в связи с отсутствием возможности проведения последним ряда исследований. Директором этого медцентра является жена главврача. С целью сокращения расходов ее фирмы на оплату произведенных больницей услуг он занизил их стоимость на сумму более двух миллионов рублей.
В настоящее время следователями СКР совместно с сотрудниками полиции проводится комплекс необходимых мероприятий и следственных действий. Расследование уголовного дела продолжается."
/news/item/1411387/,irk,В Иркутской области за дачу взятки сотруднику полиции задержан нелегальный лесозаготовитель,"['взятка', 'деньги', 'должностное лицо', 'СКР']",12 Января 2024,"Боханским межрайонным следственным отделом СУ СК России по Иркутской области расследуется уголовное дело в отношении 28-летнего мужчины, подозреваемого в совершении преступлений, предусмотренных ч.2 ст. 260 УК РФ (незаконная рубка лесных насаждений), ч.3 ст. 291 УК РФ (дача взятки должностному лицу).
По версии следствия, 5 ноября текущего года на ул. Октябрьская в п. Приморский Осинского района сотрудники полиции остановили автомобиль «КАМАЗ», груженный древесиной. Необходимые документы на перевозимый лес отсутствовали. С целью избежать проведение проверки законности груза сопровождающий передал оперуполномоченному 15 тысяч рублей, последний от денежных средств отказался. Факт дачи взятки незамедлительно был пресечен, мужчину доставили в отдел полиции. Автомобиль и изъятый сортимент леса помещены на арест площадку.
В ходе проведения оперативных и следственных мероприятий правоохранители установили причастность задержанного к незаконной рубке лесных насаждений на территории Обусинского участкового лесничества. Сумма ущерба, нанесенного лесному фонду от противоправной деятельности фигуранта, составила около 100 тысяч рублей.
В настоящее время следователями СКР проводятся необходимые следственные действия. Подозреваемому избрана мера пресечения в виде подписки о невыезде. Расследование уголовного дела продолжается."
/news/item/1138639/,irk,В Тайшете чиновник признан виновным в превышении должностных полномочий,[],11 Января 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Иркутской области доказательства признаны судом достаточными для вынесения приговора главе Соляновского муниципального образования Тайшетского района Юрию Донскому в совершении преступления, предусмотренного ч.2 ст.286 УК РФ (превышение должностных полномочий, совершенное главой органа местного самоуправления).
Следствием и судом установлено, что Донской, являясь главой органа местного самоуправления, в нарушении Лесного кодекса РФ, Федерального закона «Об охоте и сохранении охотничьих ресурсов», Градостроительного кодекса РФ выдал разрешение на строительство и ввод в эксплуатацию объекта недвижимого имущества – нежилого здания, расположенного на землях государственного лесного фонда. Эти действия не входили в его полномочия и повлекли существенное нарушение охраняемых законом интересов государства в виде незаконной регистрации права собственности организации на объект недвижимого имущества – нежилого здания площадью более 200 квадратов, расположенного в Тагульском участковом лесничестве на землях государственного лесного фонда.
В связи с чем, общество с ограниченной ответственностью, являясь собственником нежилого здания, получило преимущественное право на продление срока аренды и приобретения в собственность земельного участка расположенного под этим зданием.
Приговором Тайшетского городского суда он признан виновным и ему назначено наказание в виде штрафа в размере 50 тысяч рублей."
/news/item/1629133/,irk,В Иркутске предприниматель подозревается в покушении на дачу взятки сотруднику полиции,[],27 Декабря 2023,"Следственным отделом по Куйбышевскому району г.Иркутск СУ СК России по Иркутской области возбуждено уголовное дело в отношении индивидуального предпринимателя, подозреваемого в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу).
По версии следствия, в рамках проведения оперативно-профилактической операции «Контрафакт» на территории рынка «Китай-Город» сотрудниками полиции был выявлен факт реализации контрафактной брендовой одежды. В ходе составления процессуальных документов индивидуальный предприниматель попытался дать взятку оперуполномоченному ОЭБиПК МУ МВД России «Иркутское» в размере 20 000 рублей за неисполнение последним своих должностных обязанностей и не проведение проверки, а также возврате изъятой продукции. Сотрудник полиции от денежных средств отказался и сообщил руководству о склонении его к коррупционному преступлению.
В настоящее время проводятся необходимые следственные действия. Расследование уголовного дела продолжается."
/news/item/1138652/,irk,"В Иркутской области перед судом предстанет бухгалтер, обвиняемый в мошенничестве",[],18 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Иркутской области завершено расследование уголовного дела в отношении ведущего бухгалтера Управления образования одного из муниципальных образований. Чиновник обвиняется в совершении преступлений, предусмотренных ч.3 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения, в крупном размере).
По версии следствия, обвиняемый, выполняя обязанности руководителя расчетной группы централизованной бухгалтерии Управления образования муниципального образования, осуществлял административно-хозяйственные функции по начислению заработной платы. Используя свое служебное положение, умышленно, из корыстных побуждений, при составлении реестров на зачисление заработной платы работникам МБДОУ детский сад «Светлячок», включил в указанные реестры двух лиц, фактически в там не работавших. После того как заработная плата была переведена на лицевые счета «мёртвых душ», обвиняемый обналичил данные денежные средства и распорядился ими по своему усмотрению на личные нужды. Используя преступную схему в период с 01.03.2013 по 11.10.2013, злоумышленник совершил хищение денежных средств на сумму 644 643 руб. Аналогичный подход к распоряжению средствами фонда оплаты труда он применил и по отношению к сельской общеобразовательной школе, тайно похитив ещё 650 745 руб.
В результате умышленных действий указанного лица было совершено хищение денежных средств и причинен материальный ущерб детскому саду и общеобразовательной школе в размере 1295388 рубля.
Следствием собрана достаточная доказательственная база, в связи, с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1752547/,irk,В Нижнеудинске осужден инспектор лесного комплекса за получение взятки,"['взятка', 'коррупция']",10 Декабря 2023,"Собранные следственным отделом по г. Нижнеудинску СУ СК России по Иркутской области доказательства признаны судом достаточными для вынесения приговора 49-летнему мужчине – государственному лесному инспектору. Он признан виновным в совершении преступления, предусмотренного п. «б» ч. 5 ст. 290 УК РФ (получение взятки, совершенное с вымогательством) и ч. 1 ст. 222 УК РФ  (незаконное хранение боеприпасов).

Уголовные дела возбуждены по материалам УЭБиПК ГУ МВД России по Иркутской области..

Следствием и судом установлено, что 18 марта текущего года государственный лесной инспектор, в здании территориального управления Министерства лесного комплекса Иркутской области по Нижнеудинскому лесничеству, путем вымогательства получил от главы крестьянско-фермерского хозяйства взятку в размере 100 000 рублей за не привлечение его к административной ответственности за нарушения правил лесопользования.

Кроме того, фигурант до 19 марта в своем доме незаконно хранил винтовочные патроны, являющиеся боеприпасами.

Суд с учетом мнения прокурора назначил злоумышленнику наказание в виде 7 лет 6 месяцев лишения свободы с отбыванием наказания в исправительной колонии строгого режима с лишением права занимать должности, связанные с осуществлением функций представителя власти в государственных органах, органах местного самоуправления, государственных и муниципальных учреждениях на срок 5 лет."
/news/item/1138679/,irk,В Иркутской области за вымогательство и получение взятки чиновнику грозит до 12 лет тюрьмы и многомиллионный штраф,[],09 Декабря 2023,"Следственным отделом по городу Братск СУ СК России по Иркутской области предъявлено обвинение начальнику Братского отдела по инспектированию автодорог ОГКУ «Дирекция по строительству и эксплуатации автомобильных дорог Иркутской области» в совершении преступления, предусмотренного п. «б» ч. 5 ст. 290 УК РФ (получение взятки должностным лицом, совершенное с вымогательством взятки).
По версии следствия, в начале мая текущего года обвиняемый вымогал у двоих жителей г. Братска, осуществляющих деятельность по перевозке грузов, взятку в размере 70 тысяч рублей. В случае не передачи денежных средств чиновник угрожал грузоперевозчикам привлечением их к ответственности за нарушение ограничений, установленных Правительством Иркутской области для перевозки тяжелых грузов в весенне-летний период по автомобильным дорогам общего пользования регионального значения. Спустя некоторое время начальник отдела, находясь в своём служебном кабинете, получил взятку в указанной сумме.
В настоящее время обвиняемому избрана мера пресечения в виде домашнего ареста. Следователями СКР совместно с сотрудниками ОЭБиПК МУ МВД России «Братское» проверяется его причастность к совершению аналогичных преступлений.
Санкция данной статьи предусматривает наказание в виде штрафа от 70-ти кратной до девяностократной суммы взятки либо лишением свободы на срок от 7 до 12 лет со штрафом. Расследование уголовного дела продолжается."
/news/item/1138610/,irk,В Саянске заместитель начальника исправительной колонии подозревается в получении взятки,[],01 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Иркутской области возбуждено уголовное дело в отношении заместителя начальника ФКУ ОИК-8 ГУФСИН России по Иркутской области, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки должностным лицом). 
По версии следствия, в декабре 2013 года подозреваемый, являясь должностным лицом, будучи проинформирован и предупрежден с Правилами внутреннего трудового распорядка  исправительных учреждений в части взаимоотношений между сотрудниками учреждений и осужденными, об ответственности в случае установления с ними или их родственниками каких-либо связей, не вызванных служебными интересами, получил от супруги осужденного офисное кресло стоимостью более 5 тыс. рублей за свободное пользование мобильным телефоном, предоставление дополнительных свиданий, не привлечение к дисциплинарной ответственности.
В настоящее время с подозреваемым проводятся следственные действия. Расследование уголовного дела продолжается."
/news/item/1138647/,irk,"В Братске перед судом предстанет бывший сотрудник ГУФСИН, обвиняемый в ряде преступлений",[],25 Ноября 2023,"Следственным отделом по г. Братску завершено расследование уголовного дела, возбужденного в отношении бывшего командира подразделения ведомственной пожарной охраны пожарной части ФКУ «Лечебное исправительное учреждение № 27 ГУФСИН России по Иркутской области». Он обвиняется в совершении 14 эпизодов преступлений, предусмотренных ч.3 ст.290 УК РФ (получение должностным лицом взятки за незаконные действия), а также в превышении должностных полномочий (ч.1 ст.286 УК РФ) и посредничестве при покушении на незаконное приобретение наркотических средств в крупном размере (ч.5 ст.33, ч.3 ст.30 – ч.2 ст.228 УК РФ).
По версии следствия, обвиняемый вступил в неслужебные отношения с группой осужденных, отбывавших наказание за особо тяжкие преступления против личности в исправительном учреждении. Для них по устной договоренности за разовые денежные платежи он проносил запрещенные к обороту в исправительных учреждениях предметы и продукты, такие как средства мобильной связи, спиртные напитки, а также наркотические вещества, которые передавал для употребления осужденным. Плата за такие услуги варьировалась от 800 до 5000 рублей, в зависимости от значимости переносимого через контрольно-пропускной пункт груза. При этом все денежные средства поступали на зарплатную карту обвиняемого посредством денежных переводов. Примечательно, что мужчина имел поощрения от руководства за безупречную службу. В настоящее время он содержится в следственном изоляторе, где начинал свою службу в Федеральной службе исполнения наказания России, ему грозит наказание в виде лишения свободы сроком до 10 лет, а также штраф в размере от сорокакратной до семидесятикратной суммы взятки. Преступления были выявлены отделом собственной безопасности ГУФСИН по Иркутской области.
В настоящее время прокурором города утверждено обвинительное заключение, уголовное дело направлено для рассмотрения в районный суд."
/news/item/1138746/,irk,В Иркутской области в суд направлено уголовное дело в отношении бывшего главы муниципального образования,[],21 Ноября 2023,"Эхирит-Булагатским межрайонным следственным отделом СУ СК России по Иркутской области завершено расследование уголовного дела в отношении бывшего главы Еланцынского муниципального образования Владислава Романова и его супруги. Они обвиняются в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ, ч.3 ст. 30 ч. 4 ст. 159 УК РФ, по факту приобретения права собственности на чужое имущество путем обмана.
По версии следствия, в 2010 году Романов, являясь главой Еланцынского муниципального образования, при отсутствии на то законных оснований, выдал своей супруге выписку из похозяйственной книги о наличии у нее права на земельный участок в Ольхонском районе, на основании которой она зарегистрировала право собственности на земельный участок общей площадью 3 тыс. кв. метров. В настоящее время на данном участке расположено кафе «Бригантина».
В настоящее время уголовное дело направлено в суд для рассмотрения по существу.
Напомним, что в настоящее время Владислав Романов отбывает наказание в исправительной колонии строгого режима за покушение на получение взятки в крупном размере.
Следствием и судом установлено, что в период с декабря 2011 г. по февраль 2012 г. Романов выдал гражданину выписку из похозяйственной книги, якобы, о наличии у него права на земельный участок в с. Еланцы. Взамен Романов должен был получить часть одноэтажного нежилого помещения стоимостью более 340 тыс. рублей, расположенного на земельном участке. Преступление не было доведено до конца по независящим от Романова обстоятельствам, поскольку ранее условленная между ним и гражданином передача части здания не состоялась в связи с отказом мужчины передать указанное имущество.
Ольхонским районным судом Романов признан виновным, ему назначено наказание в виде лишения свободы сроком на 3 года с отбыванием в исправительной колонии строгого режима со штрафом в размере 20,5 млн. рублей.
Следователи СКР напоминают, что информацию о коррупции необходимо сообщать по телефонной линии Следственного управления СК России по Иркутской области «Остановим коррупцию»: 8 (3952) 20-40-74 либо 02."
