Link,Topic,Card Title,Tags,Date,Card Text
/news/item/772985/,ivanovo,Тейковским МСО проводится доследственная проверка по факту получения взятки врачом-кардиологом,[],25 Апреля 2024,"Тейковским межрайонным следственным отделом Следственного комитета Российской Федерации по Ивановской области проводится доследственная проверка по факту получения взятки врачом-кардиологом поликлиники Областного бюджетного учреждения здравоохранения «Тейковская центральная районная больница».
По версии следственных органов, должностное лицо получило от жительницы города Тейково Ивановской области 1 тысячу рублей за оформление листка нетрудоспособности.
В целях принятия законного и обоснованного решения в настоящее время проводится процессуальная проверка, устанавливаются обстоятельства произошедшего."
/news/item/1189361/,ivanovo,"В городе Фурманове вынесен приговор бывшему начальнику отделения регионального УФМС России в Фурмановском муниципальном районе, признанному виновным в даче взятки и использовании заведомо подложного документа",[],11 Апреля 2024,"Собранные  Фурмановским МСО следственного управления Следственного комитета Российской Федерации по Ивановской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшего  начальника отделения УФМС России по Ивановской области в Фурмановском муниципальном районе. Он признан виновным в совершении преступлений, предусмотренных  ч.3 ст.291 УК РФ (дача взятки),  ч. 3 ст. 327  УК РФ (использование заведомо подложного документа).
Следствием и судом установлено, что в апреле 2012 года вышеуказанный  сотрудник федеральной миграционной службы ожидал приказ, с получением которого он должен был стать пенсионером МВД.  Не желая до получения данного документа  выходить на службу, он договорился со старшей медсестрой поликлиники № 1 МУЗ «Фурмановская ЦРБ» об оказании без наличия заболевания  и приема врача  содействия в оформлении больничного листа.  Женщина  уговорила врача-терапевта  выписать  лист нетрудоспособности. По истечении периода освобождения от службы «в связи с заболеванием» мужчина в поликлинике передал в качестве взятки для лица, оформившего больничный, деньги в сумме 3 тысячи рублей.
В дальнейшем  он предоставил по месту службы больничный лист и  получил денежное довольствие в сумме  более 8,8  тысяч рублей. 
Приговором  суда пенсионеру  МВД    назначено наказание в виде штрафа в размере 110   тысяч  рублей"
/news/item/1533724/,ivanovo,В суд направлено уголовное дело о получении взятки должностным лицом,"['взятка', 'должностное лицо']",05 Апреля 2024,"Фрунзенским межрайонным следственным отделом г. Иваново следственного управления СК России по Ивановской области завершено расследование по уголовному делу в отношении экс-сотрудника ФКУ ИК-5 УФСИН России по Ивановской области о получении им взятки за незаконные действия (ч. 3 ст. 290 УК РФ).
По данным следствия, 16 ноября 2020 года обвиняемый получил 12 тысяч рублей за пронос по просьбе одного из осужденных на территорию исправительного учреждения запрещенных для приобретения, хранения и использования осужденными предметов: смарт-часов с функцией осуществление вызовов и сим-карты оператора мобильной связи.        
После совершения указанных действий обвиняемый был задержан сотрудниками ОСБ УФСИН России по Ивановской области.   
В ходе расследования обвиняемый вину в инкриминируемом ему деянии признал полностью.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1189456/,ivanovo,В городе Иванове завершено следствие по делу о посредничестве во взяточничестве на 12 миллионов рублей,[],01 Февраля 2024,"Первым отделом по расследованию особо важных дел следственного управления  Следственного комитета Российской Федерации по Ивановской области завершено расследование уголовного дела в отношении 34-летнего индивидуального предпринимателя. Он обвиняется в совершении преступления, предусмотренного ч. 4 ст. 291.1 УК РФ (посредничество во взяточничестве в особо крупном размере).
По версии следствия,  в ноябре 2014 года в городе Иванове  по поручению заместителя председателя Ивановской городской Думы Сергея Морозова, в настоящее время находящегося под следствием, обвиняемый в качестве посредника  неоднократно встречался  с жительницей регионального центра, обратившейся  в городскую администрацию по поводу предоставления ей земельных участков  для развития бизнеса. Злоумышленник предложил предпринимателю за взятку в размере 12 миллионов рублей решить интересующий  вопрос в ее пользу, свое участие он оценил в 500 тысяч рублей.   В дальнейшем обвиняемый с установленным следствием лицом договорились оформить земельные участки   на подконтрольного гражданина.   В продолжение реализации преступной схемы было оказано содействие в  принятии положительного решения о предоставлении в аренду участков площадью более 12 тысяч квадратных метров. Заявительнице были предоставлены копии документов,  заверения и устные гарантии  переуступки ей права аренды указанных земельных участков и предложено в максимально короткие сроки передать  оговоренное незаконное вознаграждение. В последующем посредник неоднократно встречался  с предпринимателем на территории регионального центра и города Кохмы, обсуждая условия, даты и механизмы передачи взятки в счет приобретения права аренды на указанные земельные участки, а также переносил назначенные встречи по указанному вопросу. Посредником была  получена часть незаконного вознаграждения в сумме 300 тысяч рублей.
Преступление выявлено сотрудниками УЭБиПК регионального УМВД.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокурором обвинительным заключением будет направлено в суд для рассмотрения по существу."
/news/item/1084843/,ivanovo,В Иванове возбуждено уголовное дело о даче взятки,[],12 Января 2024,"Следственным отделом по Фрунзенскому району г. Иваново СУ СК России по Ивановской области возбуждено уголовное дело о даче взятки должностному лицу  (ч. 3 ст. 291 УК РФ)
По версии следствия, 38-летний  житель областного центра, освободившийся из мест лишения свободы в сентябре 2015 года, обратился к сотруднику учреждения УФСИН России по Ивановской области, в котором отбывал наказание, с предложением передать на территорию учреждения ФСИН России 6 сотовых телефонов и зарядных устройств к ним. За указанное незаконное перемещение средств связи, а также незаконное бездействие по факту использования указанных средств осужденными, злоумышленник предложил сотруднику УФСИН России по Ивановской области взятку в размере 15 тыс. рублей.
Должностное лицо УФСИН России по Ивановской, после того как ему было выдвинуто предложение о передаче средств связи на территорию учреждения УФСИН России по Ивановской области за денежное вознаграждение, обратился в службу безопасности УФСИН России по Ивановской области в дальнейшем действовал в рамках оперативных мероприятий.
В дневное время 30 ноября 2016 года в г. Иваново, злоумышленник передал должностному лицу УФСИН России по Ивановской области взятку в виде денег в сумме 15 тыс. рублей за незаконное перемещение на территорию одной из колоний УФСИН России по Ивановской области 6 сотовых телефонов и зарядных устройств к ним, а также за незаконное бездействие по факту использования указанных средств осужденными.
По уголовному делу выполняются следственные и иные процессуальные действия, направленные на установление всех обстоятельств совершенного преступления.
Расследование по уголовному делу продолжается."
/news/item/1189337/,ivanovo,"Фурмановским межрайонным следственным отделом возбуждено уголовное дело в отношении врача, подозреваемого в получении взятки",[],25 Декабря 2023,"Фурмановским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ивановской области 29 января 2013 года возбуждено уголовное дело в отношении врача ОБУЗ «Фурмановская центральная  районная больница», подозреваемого в совершении преступления, предусмотренного частью 3 статьи 290 УК РФ (получение взятки за незаконные действия). По версии следствия, врач районной больницы получил в качестве взятки деньги в сумме 2 тысячи рублей за выдачу фиктивного больничного листа временной нетрудоспособности. В этот же день злоумышленник был задержан и помещён в изолятор временного содержания. В настоящее время проводятся следственные действия и иные мероприятия, направленные на установление всех обстоятельств совершённого деяния, а также выявление аналогичных эпизодов преступной деятельности."
/news/item/1189485/,ivanovo,"Сотрудником следственного управления принято участие в мероприятии по противодействию коррупции, организованном Департаментом конкурсов и аукционов Ивановской области",[],28 Ноября 2023,"21 марта 2016 года сотрудником следственного управления Следственного комитета Российской Федерации по Ивановской области в рамках работы по противодействию коррупции принято участие в мероприятии, направленном на формирование у государственных гражданских служащих Ивановской области, замещающих должности государственной гражданской службы Ивановской области в Департаменте конкурсов и аукционов Ивановской области, нетерпимого отношения к коррупции, соблюдение ограничений, запретов и обязанностей, установленных законодательством о противодействии коррупции, в том числе на формирование негативного отношения к получению подарков в связи с исполнением должностных обязанностей.
Мероприятие организовано Департаментом конкурсов и аукционов Ивановской области во исполнение рекомендаций комиссии по координации работы по противодействию коррупции в Ивановской области."
/news/item/1189462/,ivanovo,Во Фрунзенском районе г. Иваново в отношении судебного пристава-исполнителя возбуждено уголовное дело о получении взятки,[],23 Ноября 2023,"СО по Фрунзенскому району г. Иваново следственного управления Следственного комитета Российской Федерации по Ивановской области    в отношении судебного пристава-исполнителя межрайонного отдела  регионального УФССП возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки).
По версии следствия,   в августе 2015 года судебный пристав-исполнитель потребовала от должника передать ей в качестве денежного вознаграждения 100 тысяч рублей за прекращение исполнительного производства в отношении гражданки по взысканию задолженности свыше 800 тысяч рублей и снятие запрета на выезд за границу.  14 августа   2015 года   пристав получила  требуемую сумму взятки за незаконные действия.
С учетом положительной  характеристики личности,  наличия на иждивении двоих детей   в отношении подозреваемой избрана мера пресечения  в виде подписки о невыезде.
Преступление выявлено сотрудниками регионального управления ФСБ.
В настоящее время следователи проводят необходимые следственные действия, направленные на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1189323/,ivanovo,Статистика  по итогам работы СУ СК РФ по Ивановской области в 1 полугодии 2011 года,[],22 Ноября 2023,"Следственное управление Следственного комитета Российской Федерации по Ивановской области  образовано  15 января 2011 года.   В настоящее время в следственных отделах служат   60  следователей, старших следователей, следователей по особо важным делам.  Общее количество расследованных СУ СКР по Ивановской области уголовных дел  Следователями в 1 полугодии 2011 года принято процессуальное решение по 3644 сообщениям о преступлениях. Всего расследовано 563 уголовных дела, из которых 223 дела  по фактам тяжких и особо тяжких преступлений.  Окончено производством 393 уголовных дела в отношении  400 обвиняемых.      Особо тяжкие преступления против жизни и здоровья  За 6 месяцев 2011 года возбуждено 49  уголовных дел по фактам убийств;   155 уголовных дел  возбуждено по фактам умышленного причинения тяжкого вреда здоровью, из которых 34 повлекли смерть потерпевших.   Преступления  коррупционной направленности  В  1 полугодии 2011 года следователями следственного управления возбуждено 103 уголовных дела коррупционной направленности, из которых 44 дела окончены производством и направлены в суд для рассмотрения по существу. Ни одного уголовного дела по фактам совершения преступлений коррупционной направленности по реабилитирующим основаниям не прекращалось.   Преступления в отношении несовершеннолетних   Особое внимание руководство следственного управления уделяет раскрытию и расследованию преступлений, от которых пострадали  дети. В истекшем полугодии следователями было возбуждено 18 уголовных дел по фактам особо тяжких преступлений в отношении несовершеннолетних. От   преступных посягательств пострадали 3 детей в возрасте до 1 года,  8 – в возрасте от 1 года до 14 лет. Таким образом, половина потерпевших детей являлись малолетними.  В отношении  6 детей были совершены преступления против половой  неприкосновенности,  3 ребенка  были убиты.  Преступления против конституционных прав и свобод  человека и гражданина  В 1 полугодии 2011 года  следователями  было возбуждено 63 уголовных дела  указанной категории в отношении 68 обвиняемых по фактам нарушениям тайны переписки, неприкосновенности жилища, правил охраны труда,  авторских и смежных прав.  Преступления прошлых лет   За 6 месяцев 2011 года раскрыто 23 преступления прошлых лет. Дополнительно, в ходе следствия следователями выявлено 57 преступлений прошлых лет, ранее не стоявших на учете."
/news/item/1669381/,ivanovo,В Иванове вынесен приговор по уголовному делу по факту получения взяток за устройство детей в детские сады,['взятка'],27 Октября 2023,"Собранные следственным отделом по Ленинскому району города Иваново СУ СК России по Ивановской области доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении экс-сотрудницы городской администрации и двух ее сообщниц. Женщины признана виновными в совершении преступлений, предусмотренных п. «а» ч.5 ст. 290 УК РФ (получение взятки, совершенное в составе организованной группы).
Следствием и судом установлено, что подсудимая, будучи в должности специалиста дошкольного отдела Управления образования Администрации г. Иваново, разработала схему получения взяток и создала для этого преступную группу под своим руководством, в которую входили еще две женщины (подсудимые). Согласно данной схеме она совместно с двумя сообщницами получала взятки в виде денег от родителей желающих зачислить, а так же перевести ребенка из одного муниципального дошкольного учреждения (МДОУ) в другое, минуя имеющуюся очередность и в нарушении установленного порядка.
Согласно распределенным ролям, сообщницы должны были подыскивать родителей для этих целей и передавать сведения о них чиновнице, которая в свою очередь выдавала родителям в Управлении образования Администрации г. Иваново направления о зачислении детей в МДОУ.   
За период существования организованной группы с января 2016 года по июль 2020 года следователями в ходе расследования уголовного дела было установлено 35 фактов получения криминальных доходов, сумма взяток варьировалась от 15 до 40 тысяч рублей.
Приговором суда бывшей сотруднице Администрации города Иваново назначено наказание в виде 8 лет лишения свободы, одной ее сообщнице – 7 лет 5 месяцев лишения свободы, а другой соучастнице - 7 лет 3 месяца лишения свободы с отсрочкой отбывания наказания до достижения ребенком возраста 14 лет.
Приговор в законную силу не вступил."
