Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1251877/,kalmykia,Бывший оператор группы надзора отдела безопасности ФКУ ИК-1 УФСИН России по Республике Калмыкия признан виновным в получении взятки и превышении должностных полномочий,[],27 Апреля 2024,"Собранные в следственном отделе по городу Элиста следственного управления Следственного комитета Российской Федерации по Республике Калмыкия доказательства признаны судом достаточными для вынесения приговора в отношении бывшего оператора группы надзора отдела безопасности ФКУ ИК-1 УФСИН России по Республике Калмыкия. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия) и  ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
Следствием и судом установлено, что в период времени с 18 по 22 января 2018 года обвиняемый получил от одного из осужденных, отбывающих наказание в ФКУ ИК-1 УФСИН России по Республике Калмыкия, взятку в размере 13 тысяч рублей за незаконный пронос на режимную территорию исправительной колонии запрещенных предметов.
26 января 2018 года оператор группы надзора отдела безопасности ИК-1 пронес на территорию исправительного учреждения, для последующей передачи осужденному,  два мобильных телефона и зарядные устройства к ним, где был задержан сотрудниками отдела собственной безопасности УФСИН России по Республике Калмыкия и сотрудниками ОНК УМВД России по г.Элисте.
В целях установления истины по уголовному делу следователем допрошены все свидетели, назначены и проведены необходимые судебные экспертизы, осмотрены и приобщены в качестве вещественных доказательств предметы и иные документы, изобличающие мужчину в совершении указанного преступления.
Суд, оценив собранные по уголовному делу доказательства, вынес обвинительный приговор в соответствии с которым подсудимому назначено наказание в виде 3 лет 6 месяцев лишения свободы.
Приговор в законную силу не вступил."
/news/item/1440617/,kalmykia,В Черноземельском межрайонном следственном отделе возбуждено уголовное дело  о покушении на дачу взятки,[],17 Апреля 2024,"В Черноземельском межрайонном следственном отделе следственного управления Следственного комитета Российской Федерации по Республике Калмыкия возбуждено уголовное дело в отношении 35-летнего жителя Мурманской области, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично в значительном размере, за совершение заведомо незаконного бездействия, не доведенное до конца по независящим от этого лица обстоятельствам).
 По версии следствия, 13 февраля 2020 года, в вечернее время подозреваемый,  находясь в одном из служебных кабинетов МО МВД России «Лаганский» заведомо зная, что в отношении него имеется материал проверки по факту обнаружения у него наркотических средств, с целью расположения к себе должностного лица и для дальнейшего разрешения с ним вопроса об избежании уголовной ответственности за указанное преступление, предложил сотруднику полиции денежные средства в размере 30 000 рублей за непроведение процессуальной проверки, после чего достал из кармана своей куртки денежные средства в размере 30 000 рублей, демонстративно положил их на рабочий стол сотрудника полиции, тем самым попытался дать взятку должностному лицу - оперуполномоченному МО МВД России «Лаганский».
Однако по независящим от него обстоятельствам, преступный умысел обвиняемого на дачу взятки должностному лицу не был доведен до конца, так как оперуполномоченный МО МВД России «Лаганский» отказался от получения денежных средств и действия подозреваемого были пресечены сотрудниками полиции.
В настоящее время сотрудниками  следственного отдела выполняется комплекс необходимых мероприятий, направленных на установление всех обстоятельств совершенного преступления сбор и закрепление доказательной базы."
/news/item/1241402/,kalmykia,"Заместитель министра по строительству, транспорту и дорожному хозяйству Республики Калмыкия подозревается в получении взятки",[],12 Апреля 2024,"В следственном отделе по городу Элиста следственного управления Следственного комитета Российской Федерации по Республике Калмыкия возбуждено уголовное дело в отношении заместителя министра по строительству, транспорту и дорожному хозяйству Республики Калмыкия, подозреваемого в совершении преступления, предусмотренного ч. 1 ст. 290 УК РФ (получение должностным лицом лично взятки в виде иного имущества за совершение действий в пользу взяткодателя).
 
По версии следствия, днем 16 ноября 2017 года подозреваемый, получил от представителей ООО «Прогресс» выбранные им автомобильные диски и шины на общую сумму 21 тысяча рублей за общее покровительство при выполнении работ по содержанию автомобильных дорог на территории Яшалтинского и Городовиковского районов Республики Калмыкия.     
 
В настоящее время проводятся необходимые следственные действия, направленные на установление всех обстоятельств произошедшего, сбор и закрепление доказательственной базы. Допрашиваются свидетели, а также осматриваются и приобщаются к уголовному делу материалы, полученные в ходе оперативно-розыскных мероприятий. Расследование уголовного дела продолжается.
 
За получение взятки Уголовный кодекс Российской Федерации предусматривает наказание от штрафа до трех лет лишения свободы со штрафом в размере от десятикратной до двадцатикратной суммы взятки или без такового."
/news/item/1701724/,kalmykia,В следственном управлении состоялось межведомственное совещание по профилактике коррупционных и должностных преступлений,"['коррупция', 'профилактика преступлений', 'совещание']",29 Марта 2024,"Сегодня под председательством исполняющего обязанности руководителя следственного управления Следственного комитета Российской Федерации по Республике Калмыкия Игоря Александровича Соболя состоялось межведомственное совещание по профилактике совершения коррупционных и должностных преступлений среди работников природоохранных органов, ветеринарного надзора исполнительной власти республики, подведомственных им учреждений и организаций, а также в сфере природопользования.
В мероприятии приняли участие руководитель Управления ветеринарии Республики Калмыкия Виктор Николаевич Санджиев и начальник отдела мониторинга заразных болезней и пищевой безопасности Батнасун Николаевич Мураев, заместитель начальника управления лесного хозяйства Министерства природных ресурсов и охраны окружающей среды Республики Калмыкия Артур Борисович Корнеев, руководитель Управления по противодействию коррупции при главе Республики Калмыкия Санал Александрович Коджаев, руководители структурных подразделений аппарата следственного управления.
Открывая совещание, исполняющий обязанности руководителя следственного управления Игорь Александрович Соболь подчеркнул, что вопросам эффективности работы по противодействию преступлениям коррупционной направленности, выявлению и расследованию должностных преступлений уделяется особое внимание, и они находятся на постоянном контроле в аппарате следственного управления.
Выступая с докладом, руководитель контрольно-следственного отделения следственного управления Баир Викторович Араев отметил, что борьба с преступлениями в коррупционной сфере остается одним из приоритетных направлений деятельности следственного управления и в ходе предварительного следствия по всем уголовным делам устанавливаются причины и условия, способствовавшие совершению преступлений, вносятся представления о принятии мер по их устранению. Также сообщил о ходе и результатах расследования  уголовных дел в отношении должностных лиц районных станций по борьбе с болезнями животных, республиканского Управления ветеринарии и Годжурского участкового лесничества.  
С докладами выступили представители Управления ветеринарии республики, Управления лесного хозяйства и Управления по противодействию коррупции при Главе РК.
По итогам совещания предложен комплекс дополнительных организационных и практических мер, направленных на взаимодействие и повышение эффективности деятельности по профилактике коррупционных и должностных преступлений, а также их  выявление и пресечение."
/news/item/1052950/,kalmykia,Бывшие начальники отделов камеральных проверок Инспекции ФНС России по городу Элиста предстанут перед судом за получение взятки,[],18 Января 2024,"В отделе по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Республике Калмыкия завершено расследование уголовного дела в отношении бывших начальников отделов камеральных проверок № 1 и № 3 Инспекции Федеральной налоговой службы России по городу Элиста обвиняемых в совершении преступления, предусмотренного п. «а», «в» ч. 5 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег за совершение действий в пользу взяткодателя, если оно в силу должностного положения может способствовать таким действиям, а равно за общее попустительство по службе, совершенное группой лиц по предварительному сговору в крупном размере).
Следствием установлено, что во второй половине декабря 2014 года обвиняемые, являясь должностными лицами государственного фискального органа, используя свои служебные полномочия, действуя по предварительному сговору между собой,  получили от генерального директора одной из фирм, зарегистрированной на территории города Элиста, взятку в виде денег в размере 200 тысяч рублей за способствование принятию решения об отказе в привлечении данной фирмы к налоговой ответственности, неприменению к ней штрафных санкций в порядке ч. 1 ст. 122 Налогового кодекса РФ и освобождению от обязанности уплаты доначисленного налога на добавленную стоимость в размере более 3 миллионов рублей.
В рамках расследования уголовного дела следователем допрошены свидетели, проведены очные ставки, выемки документов, а также назначены и проведены все необходимые судебные экспертизы, изобличающие обвиняемых в совершении преступления.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1686757/,kalmykia,В Республике Калмыкия  вынесен приговор по уголовному делу в отношении бывших должностных лиц администрации г. Элисты,['мошенничество'],17 Января 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Калмыкия  доказательства признаны достаточными для вынесения приговора бывшему главе г. Элисты Республики Калмыкия, бывшему депутату Элистинского городского Собрания и руководителю Аппарата Элистинского городского Собрания. Они признаны виновными в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество). Уголовное дело было возбуждено по материалам УФСБ России по Республике Калмыкия.
Следствием и судом установлено, что бывшие должностные лица в обмен на оказание содействия юридическим и физическим лицам при решении вопроса об изменении категории земель неоднократно получали от них вознаграждения в виде частей данных земельных участков. Своими действиями они причинили муниципальному образованию  ущерб в размере около 400 тысяч рублей. Кроме того, бывший глава г. Элисты,  используя свое служебное положение,  организовал отчуждение по заниженной стоимости находящегося в муниципальной собственности автомобиля «Тойота Камри», причинив ущерб  110 тысяч рублей.
Судом бывшему главе г. Элисты, бывшему депутату Элистинского городского Собрания назначено наказание в виде лишения свободы сроком  2 года и 1 год 6 месяцев соответственно с отбыванием в исправительной колонии общего режима, руководителю Аппарата Элистинского городского Собрания - в виде  лишения свободы сроком 1 год 6 месяцев условно с испытательным сроком 1 год.
Приговор в законную силу не вступил."
/news/item/1187245/,kalmykia,"Бывший главный государственный инспектор Северокаспийского отдела государственного контроля, надзора, охраны водных биологических ресурсов и среды обитания Волго-Каспийского территориального управления Федерального агентства по рыболовству предстанет перед судом за получение взяток",[],28 Декабря 2023,"В отделе по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Республике Калмыкия завершено расследование уголовного дела в отношении бывшего главного государственного инспектора Северокаспийского отдела государственного контроля, надзора, охраны водных биологических ресурсов и среды обитания Волго-Каспийского территориального управления Федерального агентства по рыболовству. Он обвиняется в совершении преступлений, предусмотренных п. «в» ч. 5 ст. 290 УК РФ и двух эпизодов ч. 3 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег за общее покровительство по службе и незаконное бездействие, совершенное в крупном размере).
 
Следствием установлено, в период до 26 ноября 2014 года по 13 октября 2016 года обвиняемый, занимая должность главного государственного инспектора Северокаспийского отдела государственного контроля, надзора, охраны водных биологических ресурсов и среды обитания Волго-Каспийского территориального управления Федерального агентства Росрыболовства, систематически получал в качестве взятки денежные средства от рыбопромышленников за предоставление возможности беспрепятственного осуществления ими рыбопромысловой деятельности в акватории Чограйского водохранилища, расположенного на границе Ставропольского края и Ики-Бурульского района Республики Калмыкия, в том числе с нарушением Правил рыболовства, предусматривающих запрет добычи (вылова) водных биоресурсов вне разрешенных сроков, превышения объема и использования определенных способов и орудий их добычи (вылова), не пресечении совершаемых последними при ведении данной промысловой деятельности правонарушений, а при выявлении подобных правонарушений другими должностными лицами контролирующих, правоохранительных либо надзорных органов, оказании содействия в освобождении их от административной и уголовной ответственности.
 
При указанных обстоятельствах, обвиняемый получил в качестве взяток от рыбопромышленников 330 тысяч рублей которыми распорядился по своему усмотрению.
 
В целях установления истины по уголовному делу следователем допрошены все свидетели, назначены и проведены необходимые судебные экспертизы, изобличающие обвиняемого в совершении указанных преступлений.
 
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1378601/,kalmykia,Заместитель Главы Администрации г. Элисты подозревается в получении взятки,[],11 Декабря 2023,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Республике Калмыкия, по материалам оперативно-розыскной деятельности УФСБ России по Республике Калмыкия, возбуждено уголовное дело в отношении заместителя Главы Администрации г. Элисты. Он подозревается в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег за совершение действий в пользу взяткодателя, если оно в силу своего должностного положения может способствовать указанным действиям, в крупном размере).
По версии следствия, в начале 2018 года директор по капитальному строительству АО «ГТ Энерго» обратился к заместителю Главы Администрации г. Элисты с просьбой ускорить вопрос оформления права пользования земельными участками, на которых построены тепловые сети, на что последний выдвинул требование о передаче ему денежных средств для решения названного вопроса.
Директор акционерного общества согласился, после чего в период с сентября 2018 года по 25 июля 2019 года передал путем перевода на банковские карты подозреваемого и его дочери взятку в виде денежных средств в размере не менее 290 тысяч рублей за способствование в оформлении права пользования земельными участками, на которых построены тепловые сети АО «ГТ Энерго».
В настоящее время в отношении подозреваемого избрана мера пресечения в виде заключения под стражу. Проводятся все необходимые неотложные следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления, сбор и закрепление доказательственной базы.  Расследование уголовного дела продолжается."
/news/item/1081899/,kalmykia,В отношении бывшего генерального директора ООО «Эталон» возбуждено уголовное дело,[],15 Ноября 2023,"В отделе по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Республике Калмыкия возбуждено уголовное дело в отношении бывшего генерального директора ООО «Эталон», подозреваемого в совершении преступления, предусмотренного  ч. 4 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана, совершенное лицом с использованием своего служебного положения, в особо крупном размере).
По версии следствия, в период с 14 января 2012 года по 22 декабря 2014 года подозреваемый составил подложные протоколы общего собрания участников ООО «Эталон» о принятии решения о продаже имущества указанного общества, после чего 17 января 2015 года мужчина заключил договор купли-продажи зданий брагоректификации и спиртохранилища за 3 миллиона рублей со своим знакомым. Полученные денежные средства последний обратил в свою пользу и распорядился ими по собственному усмотрению.
В настоящее время выполняется комплекс необходимых следственных действий, направленных на установление всех обстоятельств совершенного преступления, сбор и закрепление доказательственной базы. Проводятся выемки документации имеющей значение для уголовного дела, а также допрашиваются свидетели. Расследование уголовного дела продолжается."
/news/item/1027470/,kalmykia,"Инспектор Группы по контролю за оборотом оружия, выдачи лицензий и разрешений Центра лицензионно-разрешительной работы МВД России по Республике Калмыкия подозревается в мошенничестве",[],07 Ноября 2023,"В следственном отделе по городу Элиста следственного управления Следственного комитета Российской Федерации по Республике Калмыкия возбуждено уголовное дело в отношении сотрудника республиканского МВД, подозреваемого в совершении преступления,  предусмотренного ч. 3 ст. 30 – ч. 3 ст. 159 УК РФ (покушение на мошенничество, совершенное лицом с использованием своего служебного положения).
По версии следствия, днем 1 апреля 2016 года подозреваемый, зная, что в его должностные полномочия не входит решение вопроса о выдаче свидетельства о прохождении профессиональной подготовки для охранников 6 разряда, а он только принимает участие в комиссии по проведению квалификационного экзамена у граждан, претендующих на получение правового статуса частного охранника, используя свое служебное положение, путем злоупотребления доверием, введя в заблуждение жителя республики, получил от последнего денежные средства в размере 12 тысяч рублей за беспрепятственное прохождение соответствующего квалификационного экзамена в НОУ ДО Учебный центр «Школа охранника» без фактического обучения.  
Однако подозреваемый не смог довести до конца свой преступный умысел, направленный на хищение денежных средств у мужчины, по независящим от него обстоятельствам, в связи с тем, что был задержан на месте совершения им преступления сотрудниками УФСБ по Республике Калмыкия
В настоящее время следователем выполняется комплекс мероприятий, направленных на выяснение всех обстоятельств совершенного преступления, сбор и закрепление доказательственной базы. По ходатайству следователя судом в отношении подозреваемого избрана мера пресечения в виде заключения под стражу. Допрашиваются свидетели, а также осматриваются и приобщаются к уголовному делу материалы, полученные в ходе оперативно-розыскных мероприятий. Расследование уголовного дела продолжается."
