Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1228758/,kaluga,В Калуге пресечена попытка дачи взятки сотруднику регионального УФСБ,"['взятка', 'деньги', 'коррупция', 'мигранты']",23 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Калужской области возбуждено уголовное дело в отношении 30-летней гражданки Китайской Народной Республики. Она подозревается в совершении преступления, предусмотренного ч.3 ст. 291 УК РФ (дача взятки).
По версии следствия, 17 мая 2018 года подозреваемая попыталась договориться с сотрудниками УФСБ России по Калужской области об освобождении задержанных накануне 26 граждан Китая, которые нарушали режим пребывания на территории Российской Федерации и нелегально трудились на сельхозработах в Тарусском районе. Сначала женщина предложила двум сотрудникам купить современные смартфоны iPhone X, а затем - стоимость этих телефонов в денежном выражении. Передача денежных средств осуществлялась под контролем сотрудников регионального УФСБ. При передаче сотруднику 100 тысяч рублей женщина была задержана с поличным.
В связи с тем, что подозреваемая является гражданкой другого государства, для обеспечения производства расследования по факту дачи взятки судом удовлетворено ходатайство следователя об избрании задержанной меры пресечения в виде заключения под стражу. Расследование уголовного дела продолжается.
Оперативное видео - https://youtu.be/Dqfi08ViOMM
Комментарий следствия - https://youtu.be/D6_n5-kZLsQ"
/news/item/1131147/,kaluga,В Ферзиковском районе Калужской области возбуждено уголовное дело по факту получения взяток сотрудниками сельской и районной администрации,[],12 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Калужской области по материалам УФСБ и УМВД возбуждено уголовное дело в отношении бывшей заведующей отделом администрации МР «Ферзиковский район», ее 67-летнего знакомого и бывшего главы администрации сельского поселения. Они подозреваются в совершении преступления, предусмотренного п. «в» ч.5 ст. 290 УК РФ (получение взятки в крупном размере) и п. «б» ч.3 ст. 291.1 УК РФ (посредничество во взяточничестве).
По версии следствия, в 2016 году чиновники получили от предпринимателя, собственника земельных участков в Ферзиковском районе, взятки за согласование и утверждение проектной документации системы газоснабжения этих участков и планировки их территории. Бывшая сотрудница районной администрации получила в качестве взятки земельный участок размером 10 соток стоимостью 700 тысяч рублей, который с целью завуалирования неправомерного характера передачи был оформлен на имя сына чиновницы. В качестве посредника в получении взятки выступал 67-летний знакомый подозреваемой, который передал предпринимателю предложение  о даче взятки и вел необходимые переговоры. Бывший глава администрации сельского поселения получил в качестве незаконного вознаграждения земельный участок такой же площади стоимостью 600 тысяч рублей, который был оформлен на мать главы.
Следователи регионального управления СК России проводят необходимые следственные действия, направленные на сбор доказательств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1086409/,kaluga,"Руководитель регионального управления СКР принял участие в брифинге, посвященном борьбе с коррупцией",[],11 Апреля 2024,"Международный день борьбы с коррупцией отмечается ежегодно 9 декабря по инициативе Организации Объединенных Наций. В это день, 9 декабря 2003 года, в мексиканском городе Мерида на политической конференции высокого уровня была открыта для подписания Конвенция ООН против коррупции. Россия ратифицировала конвенцию в марте 2006 года. В настоящее время ее участниками являются 173 государства.
8 декабря прокурор Калужской области Александр Гулягин, начальник Управления МВД России по Калужской области Сергей Плахих и руководитель следственного управления Следственного Комитета России по Калужской области Владимир Ефременкова приняли участие в брифинге, посвященном вопросам противодействия коррупции.
 
Руководитель областного управления СКР Владимир Ефременков отметил, что в этой работе для сотрудников правоохранительных ведомств неприкасаемых нет. Критерий один - есть ли в действиях должностного лица состав преступления или нет, и имеются ли доказательства совершения им преступления.
Ефременков обозначил две сферы общественной деятельности, наиболее подверженные коррупции на территории Калужской области. Первая – сфера земельных отношений, вторая – обеспечение граждан и организаций ресурсами (светом, газом, водой).
Так, полтора миллиона рублей получил бывший чиновник из Дзержинского района. Взятка была получена от представителя юридического лица за положительное решение вопроса, связанного с переводом земель сельскохозяйственного назначения в земли населенных пунктов. Речь идет об огромных полях в Дзержинском районе. 70 тысяч квадратных метров или почти 10 футбольных полей. Там можно подключить коммуникации, недалеко речка Угра, а в поселке находится музей Великого стояния на Угре. В итоге стоимость земель вырастает в сотни раз.
Само село Дворцы, где находятся эти земли, явно не обделено вниманием. Уже не впервые значится в уголовных делах. Например, специалист из местной администрации мошенническим путем завладела тремя участками. Ущерб составил более 5 миллионов рублей. Следователь инициировал арест земли. В прошлом году женщину осудили, участки возвращены в муниципальную собственность.
Отметилась даже глава администрации Дворцов. Женщина незаконно приобрела право собственности на земельный участок, что повлекло материальный ущерб на общую сумму более 1 700 000 рублей. То есть совершила мошенничество в особо крупном размере. В последующем участок был преобразован в два участка, один из их был поджарен родной сестре. Бывшей главе назначено наказание в виде 5 лет лишения свободы с отбыванием наказания в колонии общего режима. Этот приговор не был обжалован и вступил в законную силу, все участки возвращены государству.
Шесть лет в исправительной колонии проведет бывший глава администрации сельского поселения «Село Некрасово» Тарусского района. Он признан виновным в мошенничестве и получении взятки в крупном размере. Осужденный получил от жителя Московской области 1,5 млн. рублей. за предоставление в собственность земельного участка в селе Некрасово Тарусского района, однако договоренность не исполнил, а денежные средства использовал по своему усмотрению. 
Он же получил взятку от жителя Московской области в сумме 450 тысяч рублей  за содействие в получении земельных участков, расположенных на территории сельского поселения «Село Некрасово» общей площадью 1,15 га в собственность. 
 
Наказание в виде двух лет лишения свободы назначено бывшему исполнительному директору ГП «Калугаоблводоканал» за совершенное им мошенничество. В помещении одного из кафе города Калуги он получил от директора коммерческой фирмы деньги в сумме 357 тысяч рублей, за оказание им содействия в победе фирмы в закупке на право заключения с ГП «Калугаоблводоканал» договора на поставку, пуско-наладку оборудования.
Сотрудники Калуджских и Обнинских электрических сетей заплатят крупные штрафы за совершение ими коммерческого подкупа. В первом случае фигурантпотребовал от представителя индивидуального предпринимателя города Калуги деньги в сумме 90 тысяч рублей за снижение суммы оплаты по договору о технологическом присоединении к электросети нежилого помещения. Его обнинский коллега выявил факт бездоговорного потребления электроэнергии на одном из земельных участков в Износковском районе. За сокрытие факта инженер потребовал у гражданина взятку в сумму 20 000 рублей.
На скамье подсудимых заместитель генерального директора газовой компании. По версии следствия, он потребовал от представителя фирмы, занимающейся установкой газового оборудования, денежные средства за опломбирование приборов учета газа, установленных организацией. При получении денежных средств в сумме 55 тысяч рублей мужчина был задержан с поличным.
 
Представители правоохранительных органов отмечают низкую активность граждан в вопросе противодействия коррупции. Дело в том, что в большинстве случаев ситуация с дачей и получением взятки выгодна обоим - и взяткодателю, и взяткополучателю. Гражданин, как правило, обращается в том случае, если чиновник его обманул, то есть взял деньги, но обещание не выполнил. Здесь человеком движет не непримиримость к коррупции, а скорее месть."
/news/item/1068202/,kaluga,"В Калуге задержан иностранный гражданин, подозреваемый в даче взятки сотрудникам полиции",[],21 Марта 2024,"Следственным отделом по городу Калуга СКР по Калужской области возбуждено уголовное дело в отношении 54-летнего гражданина Республики Узбекистан. Он подозревается в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий (бездействия). 
По версии следствия, 14 сентября 2016 года на территории города Калуги сотрудниками полиции задержан гражданин Узбекистана, который нарушал режим пребывания (проживания) на территории Российской Федерации. Иностранный гражданин был доставлен в отделение полиции УМВД России по городу Калуге для составления в отношении него соответствующего административного материала. Подозреваемый, находясь в служебном кабинете, не желая быть привлеченным к административной ответственности, а также во избежание каких-либо правовых последствий в связи с привлечением к административной ответственности, передал сотрудникам полиции взятку в виде денег в сумме 5 тысяч рублей. Однако должностные лица деньги не взяли и о данном факте было сообщено в органы Следственного комитета России. 
После передачи денежных средств иностранный гражданин был задержан. В ходе допроса подозреваемый следователю дал признательные показания. По ходатайству следователя судом в отношении подозреваемого избрана мера пресечения в виде заключения под стражу. Расследование уголовного дела продолжается."
/news/item/1148335/,kaluga,В Калужской области работницы электросетей подозреваются в незаконном получении денег,[],19 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Калужской области возбуждено уголовное дело в отношении сотрудников электрических сетей одного из районов области. Они подозреваются в совершении преступления, предусмотренного п.п. «а», «г» ч.7 ст. 204 УК РФ (коммерческий подкуп, то есть незаконное получение лицом, выполняющим управленческие функции в коммерческой организации, денег за совершение действий в интересах дающего, группой лиц в крупном размере).
По версии следствия, 4 июля 2017 года инженер районных электросетей и руководитель группы технологического присоединения незаконно получили от представителя коммерческой организации денежные средства в размере 300 тысяч рублей за решение вопроса о технологическом присоединении к электрическим сетям нежилого помещения.
При передаче денежных средств сотрудницы электрических сетей были задержаны с поличным, в ходе осмотра места происшествия денежные средства, явившиеся предметом коммерческого подкупа, изъяты. Подозреваемые были задержаны следователем на 48 часов. Следователем уже получены первоначальные изобличающие подозреваемых доказательства, в настоящее время  следствие ходатайствует перед судом об избрании им меры пресечения в виде домашнего ареста. Расследование уголовного дела продолжается."
/news/item/1304421/,kaluga,Не человеческий фактор,"['взятка', 'коррупция', 'мошенничество', 'приговор']",07 Марта 2024,"Не человеческий фактор



Людмила СТАЦЕНКО


И снова на скамье подсудимых оказался человек в белом халате. Чем на сей раз он запятнан?


    Дело о взятках обнинского врача получилось громким, резонансным и вызвало в обществе полярные мнения от «слишком легко отделался» до «как вообще его посмели тронуть». Сам фигурант считает себя жертвой провокации. Речь подсудимого в последнем слове была пронзительной, чего стоит только такой посыл: мол, его руки прооперировали 2,5 тысячи пациентов, а на них хотят надеть наручники!    Плюс ко всему уголовное дело еще и весьма деликатное, и не только потому, что исходными обстоятельствами является мужское здоровье. Слишком уж тонкая грань в понимании обывателей, что считать благодарностью доктору, а что взяткой. У правоохранителей, вооруженных законом и практическим опытом, здесь нет никаких разночтений, для всех остальных попытаемся расставить акценты.
   Вопрос жизни и смерти
    Диагноз «рак предстательной железы» для Николая Савченко (имена и фамилии фигурантов изменены) прозвучал как гром среди ясного неба, впрочем, как и для любого другого, окажись он в подобной ситуации. Благо медицина шагнула далеко вперед и не всегда страшное слово «рак» является смертным приговором, если, конечно, не медлить и попасть в хорошие руки.    В ходе обследования в госпитале им.Бурденко Николай Семенович узнал о современном и эффективном методе лечения заболевания – брахитерапии (контактная лучевая терапия). Из интернета он также почерпнул информацию о том, что родоначальником в России данного метода является Центр брахитерапии рака предстательной железы, созданный в 2009 году в Обнинске, в клинической больнице № 8 Федерального медико-биологического агентства.    Мужчина в середине ноября 2016 года приехал из столицы в наукоград на консультацию. Доктор, посмотрев результаты анализов, обнадежил пациента: готов сделать операцию. Правда, с оговоркой: с обязательной передачей лично ему 230 тысяч рублей.    В Центре брахитерапии действительно предусмотрено оказание платных услуг. В этом случае составляется соответствующий договор, деньги вносятся в кассу – наличкой или перечислением на счет.    Пётр Сниригов настаивал на другом варианте: если Савченко соглашается с его условием, тогда заведующий выписывает больному квоту на бесплатное лечение, не согласен – квоты не будет.Пациент несколько подрастерялся. С одной стороны, он понимал, что такая квота гарантирует бесплатную операцию, тогда за что же платить? С другой стороны, эскулап не оставлял ему выбора: как торговаться, если операция – вопрос жизни и смерти. В общем, Савченко вынужден был согласиться. Только после этого он получил направление на получение квоты и была назначена дата операции.    А осадочек, как говорится, остался, да еще какой, тем более что денег пришлось просить у сына. Тот, разумеется, отцу не отказал, но здраво посоветовал прежде проконсультироваться в других больницах на предмет бесплатной операции.    Николай Семенович все же отправился в департамент здравоохранения г.Москвы с документами на квоту, там разговорился с незнакомым гражданином, который подсказал, что в других лечебных учреждениях взятки за квоты и операции не вымогают. Этот довод укрепил решение пенсионера поступить иначе. Он позвонил Сниригову: мол, воздержусь пока от операции, поскольку не могу собрать обозначенную сумму. Доктор, как никто другой понимавший, что на кону здоровье и жизнь пациента, проявил некоторую гибкость: деньги можно отдать частями – одну до операции, другую – после.    - Подумаю, - ответил Николай Семенович, хотя твердо для себя решил не иметь дела с этим доктором.     А тот меж тем звонил его сыну, спрашивал, собирается ли отец ехать на операцию. Видно, не хотел, чтоб с крючка сорвался клиент. Однако ж это произошло помимо воли врача: Савченко прооперировался в другом месте - бесплатно по квоте. А его история взаимоотношений со Снириговым вошла отдельным эпизодом в объемное уголовное дело, в котором фигурируют 17 фактов получения взяток, три покушения на это преступление, четыре факта мошенничества.
   Осечка вышла
    Возможно, подобных фактов было бы и больше. Пациенты, обескураженные настойчивостью Сниригова в своих условиях, просто терялись и как под гипнозом, на фоне страха перед неизвестностью своей судьбы, на все соглашались. Это, похоже, несколько приглушило инстинкт самосохранения у доктора или он так уверовал в свою неприкасаемость? Напрасно, как оказалось.Череду мздоимств прервал… другой пациент, проявив, как у нас говорят, свою твердую гражданскую позицию.    Практически тот же сценарий. В 2010-м обследование в Москве выявило у Андрея Лыкова рак. Решить проблему могла лишь брахитерапия, другие методы лечения мужчине были противопоказаны. Сниригов прооперировал Андрея Степановича тогда за 150 тыс.рублей. И забыл бы пациент обо всех неприятных подробностях, если бы не вернувшийся диагноз.    Больной пошел по проторенной дорожке: позвонил в Обнинск, доктор назначил дату консультации. В этот день Сниригов обнадежил мужчину: повторная операция при его рецидиве возможна, читай «дам еще один шанс на жизнь», но за 350 тысяч рублей и не в кассу учреждения. Заведующий центром, не стесняясь лишнего свидетеля – жены пациента, недвусмысленно уточнил, за что: за выдачу квоты на бесплатное лечение и проведение операции, без каких-либо оправдательных документов.    От безысходности А.Лыков согласился, после чего Сниригов назначил дату операции, отправил больного оформить документы, необходимые для выдачи квоты на бесплатное лечение, которые предстояло передать в департамент здравоохранения г.Москвы.    С оформлением квоты в столице не было никаких шероховатостей. Более того, там заверили: она включает полную стоимость операции, и очень удивились, что с пациента требуют немалую сумму. И дали совет обратиться в правоохранительные органы.    В назначенный врачом день Андрей Степанович прибыл в центр, без денег, объяснив, что не успел собрать, чем вызвал явное недовольство врача. В операции он не отказал, но потребовал расплатиться с ним при повторном осмотре. Сразу после операции Сниригов выдал протокол решения врачебной комиссии для предоставления квоты на повторное лечение, объяснив, что, возможно, потребуется еще операция.    С оформлением второй квоты в Москве также не было никаких проблем, но тут уже А.Лыков по электронной почте направил жалобу в Генеральную прокуратуру, и буквально через несколько дней на заявителя вышли сотрудники областного УМВД. Андрей Степанович согласился поучаствовать в разоблачении доктора, вымогающего взятку.    Если бы пациент что-то неправильно понял, результаты оперативно-разыскных мероприятий оказались бы нулевыми. Ан нет. Более того, Сниригов мог бы и отказаться от своих требований – не все шло без сучка без задоринки, но помехи, возникшие на пути получения мзды, его почему-то не насторожили и не заставили отказаться от незаконной наживы. 




Важно
В 2018 году в регионе было возбуждено 90 дел о коррупционных преступлениях 63 человека предстали перед судом Ущерб от преступлений составил 6 млн 800 тыс. рублей Наложен арест и возмещено ущерба на 6 млн 600 тыс. рублей.
Оконание следует.
Опубликовано в газете ""Калужские губернские ведомости"" от 22.02.2019"
/news/item/1626995/,kaluga,"В Калуге завершился первый этап конкурса детского рисунка, посвященного борьбе с коррупцией","['дети', 'коррупция', 'профилактика преступлений']",29 Февраля 2024,"В следственном управлении Следственного комитета Российской Федерации по Калужской области завершился первый региональный этап ежегодного конкурса детского рисунка. Конкурс посвящен Международному дню борьбы с коррупцией, который отмечается ежегодно 9 декабря.
Участники конкурса имеют возможность показать свои творческие способности, повысить правовую культуру, сформировать антикоррупционные стандарты поведения. Проведение подобных мероприятий является важным элементом содействия укреплению основ духовно-нравственного единства общества и развития конструктивного творческого мышления детей и подростков.
По итогам конкурса в каждой возрастной категории были определены победители и призеры: возрастная группа от 7 до 11лет - Бущан Богдана,  Судакова Соня, Алешина Дарья; возрастная группа от 12 до 14 лет -  Коренков Роман, Короткий Влад; возрастная группа  от 15 до 18 лет - Миткалева Анна, Абрамцова Кристина.
Победители первого этапа конкурса принимают участие во втором этапе, который проводится в центральном аппарате Следственного комитета в Москве. Мы желаем участникам конкурса творческих успехов, вдохновения и креативных идей для раскрытия всех важных общественно-значимых проблем современного общества."
/news/item/1371096/,kaluga,"Два сотрудника ОМВД России по Боровскому району, подозреваемые в получении взятки, заключены под стражу","['взятка', 'коррупция', 'МВД', 'полицейский', 'следователь']",01 Февраля 2024,"Исполняющим обязанности руководителя следственного управления Следственного комитета Российской Федерации по Калужской области возбуждено уголовное дело в отношении двух сотрудников ОМВД России по Боровскому району. Они подозреваются в совершении преступления, предусмотренного п. «а» ч.5 ст. 290 УК РФ (получение взятки в значительном размере, совершенное группой лиц).
По версии следствия, следователь следственного отдела и оперуполномоченный уголовного розыска ОМВД России по Боровскому району получили от местного жителя 100 тысяч рублей в качестве взятки за принятие решения об отказе в возбуждении уголовного дела. Сотрудники были задержаны на месте преступления в ходе оперативного эксперимента при получении второй части взятки в размере 60 тысяч рублей. При осмотре места происшествия денежные средства обнаружены и изъяты.
Следствие инициировало вопрос об избрании задержанным меры пресечения в виде заключения под стражу. Ходатайства следователя удовлетворены судом, и в ближайшие два месяца сотрудники будут находиться в следственном изоляторе. Следователи провели обыски в служебных кабинетах подозреваемых и по месту их жительства, допросили свидетелей, изъяли необходимые документы. Расследование уголовного дела продолжается. Преступление выявлено подразделением собственной безопасности УМВД России по Калужской области.
Фото с места происшествия"
/news/item/1226314/,kaluga,"В Износках перед судом предстанут главный бухгалтер и заведующая районного отдела культуры, обвиняемые в присвоении","['должностные преступления', 'превышение полномочий', 'присвоение']",31 Января 2024,"Следственными органами Следственного комитета Российской Федерации по Калужской области завершено расследование уголовного дела в отношении главного бухгалтера и заведующей Износковского районного отдела культуры. В зависимости от роли каждой они обвиняются в совершении преступлений, предусмотренных ч.4 ст.160 УК РФ (присвоение в особо крупном размере с использованием своего служебного положения) и ч.1 ст. 286 УК РФ (превышение должностных полномочий).
По версии следствия, в конце 2011 года заведующая фиктивно трудоустроила двух лиц в отдел культуры, которые фактически свои трудовые обязанности не исполняли. С конца 2011 и вплоть до сентября 2016 года, на протяжении более четырех лет, заведующая и главных бухгалтер ежемесячно присваивали бюджетные денежные средства, выделенные им для оплаты труда этих работников. Причиненный ущерб оценивается в сумму более 4 миллионов рублей. Преступление было выявлено сотрудниками отдела по борьбе с экономическими преступлениями органов внутренних дел.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1507016/,kaluga,В Калужской области перед судом предстанет бывший министр строительства региона и его заместитель,['превышение полномочий'],19 Января 2024,"Следственными органами Следственного комитета Российской Федерации по Калужской области завершено расследование уголовного дела в отношении Алексея Шигапова, занимавшего пост министра строительства и жилищно-коммунального хозяйства Калужской области с 2015 по 2017 года, и Александра Маркелова, который в тот же период был его заместителем. Бывший министр обвиняется в совершении преступления, предусмотренного ч.2 ст. 286 УК РФ, его заместителю предъявлено обвинение по ч.1 ст. 286 УК РФ (превышение должностных полномочий).
По версии следствия, обвиняемые препятствовали законной предпринимательской деятельности строительной организации в ходе осуществления строительства домов по федеральной программе переселения граждан из ветхого и аварийного жилья. Должностные лица навязывали субподрядчику, осуществляющему строительство, организации, с которыми он должен заключать договоры подряда, и требовали авансировать непроизведенные ими работы на одной из строительных площадок. Субподрядчик, понимая, что от данных сотрудников министерства зависят непрерывность и оперативность финансирования работ, вынужден был соглашаться на эти условия. В дальнейшем при отказе работать в данных условиях обвиняемые заставили генерального подрядчика расторгнуть договор с субподпрядчиком и выдворили его с другой строительной площадки.
Действиями должностных лиц субподрядчику причинен ущерб в размере более 25 миллионов рублей, Фонду поддержки строительства доступного жилья в Калужской области в размере одного миллиона рублей. В целях возмещения вреда, причиненного преступлением, следствием арестованы японский внедорожник, шесть нежилых помещений и жилой дом с земельным участком, расположенные в Калуге и принадлежащие Шигапову (без учета жилья, в котором проживает фигурант). 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу. Оперативное сопровождение по делу осуществлялось сотрудниками УЭБиПК УМВД Росси по Калужской области и УФСБ России по Калужской области."
