Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1521959/,kamchatka,Бывшему главе Петропавловск-Камчатского городского округа вынесен обвинительный приговор,['взятка'],25 Апреля 2024,"Собранные отделом по расследованию особо важных дел следственного управления СК России по Камчатскому краю доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему главе Петропавловск-Камчатского городского округа и его брату. Он признан виновным в получении взятки в крупном размере (п. «в» ч.5 ст. 290 УК РФ), его родной брат признан виновным в посредничестве во взяточничестве в крупном размере (п. «б» ч.3 ст. 291.1 УК РФ) и мошенничестве в крупном размере (ч.3 ст. 159 УК РФ).
Следствием и судом установлено, что в период с января по апрель 2019 года должностное лицо через посредников, одним из которых являлся родной брат обвиняемого, получил частями взятку в размере 700 тысяч рублей от генерального директора коммерческого предприятия за совершение действий, связанных с созданием условий для заключения с организацией муниципальных контрактов и договоров по благоустройству города, а также общее покровительство по службе.
Более того, установлен второй факт получения взятки обвиняемым в период с февраля по март 2019 года в размере 200 тысяч рублей от одного из индивидуальных предпринимателей города, полученных также через посредников.
В ходе расследования первого эпизода преступной деятельности установлено, что сумма к передаче в качестве взятки должностному лицу составляла 1 миллион 400 тысяч рублей, но в результате мошеннических действий родственника обвиняемого, часть взятки была им похищена, в связи с чем, последнему следствием было предъявлено обвинение в совершении мошенничества в крупном размере (ч.3 ст. 159 УК РФ).
В ходе следствия обвиняемые полностью признали свою вину, дали подробные показания об обстоятельствах совершенных ими преступлений и сотрудничали со следствием.
Приговором суда Виталию Иваненко назначено наказание в виде 5 лет 6 месяцев лишения свободы с отбыванием наказания в колонии строгого режима, выплатой штрафа в размере 4 миллионов рублей, его брату назначено наказание в виде лишения свободы сроком 3 года 6 месяцев с отбыванием в колонии общего режима и выплатой штрафа в размере 2 миллионов 200 тысяч рублей."
/news/item/1297506/,kamchatka,Завершено расследование уголовного дела по факту хищения денежных средств ООО ДЦ «Жемчужина Камчатки»,['мошенничество'],23 Апреля 2024,"Следственным отделом по городу Елизово следственного управления СК России по Камчатскому краю завершено расследование уголовного дела в отношении бывших работниц ООО ДЦ «Жемчужина Камчатки» - главного бухгалтера, заместителя главного бухгалтера, бухгалтера- кассира, начальника отдела кадров, обвиняемых в совершении ряда преступлений, предусмотренных ч.4 ст.159 и ч.3 ст.159 УК РФ (мошенничество, совершенное группой лиц по предварительном сговору, лицом с использованием своего служебного положения, в крупном и особо размере) и пособницы обвиняемых, являющейся индивидуальным предпринимателем, обвиняемой по ч.5 ст.33, ч.4 ст. 159 УК РФ.
По данным следствия, в период с 2013 по 2015 год обвиняемые, занимая вышеуказанные должности из корыстных побуждений, используя различные способы - перевод денежных средств предприятия ИП за якобы оказанные услуги,  перевод денежных средств лицам, не являющимися работниками предприятия,  приобретение средств связи и бытовой техники и обращение их в свою пользу, обращением денежных средств предприятия в свою пользу, похитили денежные средства, принадлежащие  ООО ДЦ «Жемчужина Камчатки» в общей сумме свыше 11 миллионов рублей.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1213835/,kamchatka,Бывший главный врач Козыревской больницы подозревается в присвоении денежных средств,['присвоение'],02 Апреля 2024,"Усть-Камчатским межрайонным следственным отделом следственного управления СК России по Камчатскому краю возбуждено уголовное дело в отношении бывшего главного врача «Козыревской участковой больницы». Она  подозревается в совершении преступления, предусмотренного ч.3 ст.160 УК РФ  (присвоение денежных средств, вверенных виновному, совершенное с использованием своего служебного положения).
По версии следствия, с марта 2013 года по сентябрь 2014 года главный врач ГБУЗ КК «Козыревская участковая больница» без согласования с Министерством здравоохранения Камчатского края, неоднократно повышала себе должностной оклад, который может быть увеличен только Министерством здравоохранения,  в результате чего получала завышенную заработную плату, таким образом,  похитив путем присвоения денежные средства в размере около миллиона  рублей, причинив ущерб ГБУЗ КК «Ключевская районная больница».
Поводом для возбуждения уголовного дела послужили материалы УЭБ и ПК УМВД России по Камчатскому краю.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1660219/,kamchatka,Завершено предварительное расследование уголовного дела о даче взятки в крупном размере,['взятка'],22 Марта 2024,"Следственным отделом по городу Петропавловск-Камчатский СУ СК России по Камчатскому краю завершено расследование уголовного дела по факту дачи взятки должностным лицам Пограниченого управления ФСБ России по Восточному арктическому району в крупном размере за совершение заведомо незаконных действий.
В совершении особо тяжкого преступления коррупционной направленности обвиняются двое мужчин, 50 и 38 лет (пп. «а, б» ч.4 ст. 291 УК РФ).
Из материалов уголовного дела следует, что в вечернее время 31 января, подозреваемые, находясь в салоне автомобиля, припаркованном в районе улицы Карла Маркса краевого центра, действуя группой лиц по предварительному сговору, совершили дачу взятки сотрудникам территориального отдела Пограниченого управления ФСБ России по Восточному арктическому району. Сумма взятки составила 500 тысяч рублей, что является крупным размером.
Злоумышленники полагали, что за незаконное вознаграждение вернут ранее изъятую из незаконного оборота икорную продукцию в количестве 58 кубоконтейнеров, общей массой 1450 кг.
Однако пограничники действовали в рамках оперативного мероприятия, в связи с чем после передачи денег подозреваемые были задержаны.
В ходе допроса фигуранты уголовного дела дали признательные показания.
В настоящее время уголовное дело передано прокурору для решения вопроса об утверждении обвинительного заключения."
/news/item/1804795/,kamchatka,"На Камчатке сотрудник исправительной колонии обвиняется в получении взятки, а также в совершении служебного подлога",['взятка'],11 Января 2024,"Старшим следователем следственного отдела по городу Елизово СУ СК России по Камчатскому краю возбуждено уголовное дело в отношении сотрудника исправительной колонии № 6 УФСИН России по Камчатскому краю.
Мужчина обвиняется в получении взятки в значительном размере за незаконные действия, а также в совершении служебного подлога (ч. 3 ст. 290, ч. 2 ст. 292 УК РФ).
Из материалов уголовного дела следует, что заместитель начальника ФКУ ИК № 6 УФСИН России по Камчатскому краю в 2022 году организовал преступную схему путем внесения в официальные документы заведомо ложных сведений об условиях поставки товаров для нужд учреждения.
Так, злоумышленник, достоверно зная о том, что индивидуальный предприниматель совместно с мужем с марта 2021 года осуществляют поставку исправительной колонии товаров в рамках государственных закупок, дважды потребовал включить в приложения к государственным контрактам заведомо ложные сведения о поставке 500 единиц продовольственной продукции, приобретение которой фактически не планировалось, а также внести в официальные документы заведомо ложные сведения о поставке учреждению строительного материала, который фактически не приобретался, после чего организовал заключение и подписание  данных государственных контрактов с недостоверными сведениями.
За осуществление данных незаконных мероприятий и дальнейшее общее покровительство предпринимателю для продолжения поставок товаров заместитель начальника исправительного учреждения получил от мужчины взятку в общей сумме 118 000 рублей.
В результате совершенного служебного подлога и незаконного перечисления бюджетных средств за непоставленный товар исправительной колонии причинен ущерб на сумму свыше 238 000 рублей.
Уголовное дело возбуждено и расследуется при оперативном сопровождении сотрудников собственной безопасности УФСИН России по Камчатскому краю и сотрудников полиции.
В ходе следствия мужчина полностью признал вину в инкриминируемом преступлении.
Действиям предпринимателя по передаче денежных средств подозреваемому следствием также будет дана надлежащая правовая оценка."
/news/item/1758040/,kamchatka,Начальник почтового отделения села Соболево подозревается в присвоении денежных средств в особо крупном размере,['присвоение'],10 Января 2024,"Усть-Большерецким межрайонным следственным отделом СУ СК России по Камчатскому краю возбуждено уголовное дело в отношении начальника отделения почтовой связи села Соболево. 
Женщина подозревается в присвоении чужого имущества в особо купном размере (ч.4 ст. 160 УК РФ).
Из материалов уголовного дела следует, что 39-летняя подозреваемая, являясь начальником почтового отделения в селе Соболево, в период с сентября 2021 года по июль 2022 года с целью  личного обогащения, используя свое должностное положение, присваивала из кассы наличные денежные средства, а также различные товары, реализуемые отделением.
Сумма присвоенных денежных средств составила свыше 2,3 млн рублей, стоимость похищенного имущества оценивается в сумме свыше 650 тыс. рублей.
Ранее женщина была осуждена за совершение аналогичного преступления против собственности.
Органом следствия проводится комплекс процессуальных действий, направленный на детальное установление всех обстоятельств совершенного деяния."
/news/item/1558917/,kamchatka,Возбуждено уголовное дело по факту дачи взятки должностному лицу Пограничного управления ФСБ России по Восточному арктическому району,"['взятка', 'должностное лицо']",26 Декабря 2023,"Следственным отделом по г. Петропавловск – Камчатский СУ СК России по Камчатскому краю возбуждено уголовное дело в отношении капитана рыболовного судна по факту дачи взятки должностному лицу в значительном размере (ч. 2 ст. 291 УК РФ).
По версии следствия, 44-летний мужчина в апреле 2021 года, находясь в салоне автомобиля в районе улицы Владивостокская города Петропавловска-Камчатского, желая снизить наказание за совершенное им нарушение правил рыболовства в исключительной экономической зоне, лично передал дознавателю отдела дознания и административной практики Пограничного управления ФСБ России по Восточному арктическому району, действовавшему в рамках оперативно-розыскного мероприятия, взятку в виде денег в размере 100 000 рублей.
В отношении злоумышленника следствием избрана мера пресечения в виде подписки о невыезде и надлежащем поведении.
Поводом для возбуждения уголовного дела послужили материалы оперативно-розыскной деятельности  Пограничного управления ФСБ России по ВАР.
Расследование уголовного дела продолжается, проводятся следственные и иные процессуальные действия, направленные на установление всех обстоятельств произошедшего."
/news/item/1279629/,kamchatka,Бывшая сотрудница администрации сельского поселения подозревается в присвоении бюджетных денежных средств,"['деньги', 'присвоение']",26 Декабря 2023,"Мильковским межрайонным следственным отделом следственного управления СК России по Камчатскому краю возбуждено уголовное дело в отношении 51-летней жительницы села Эссо Быстринского района Камчатского края, ранее занимавшей должность врио главы администрации Эссовского сельского поселения. Она подозревается в совершении преступления, предусмотренного ч.3 ст. 160 УК РФ (присвоение чужого имущества, вверенного виновному с использованием служебного положения).
По версии следствия, злоумышленница, работавшая в должности врио главы администрации Эссовского сельского поселения Быстринского муниципального района Камчатского края, из корыстных побуждений, выраженных в стремлении улучшить свое материальное благосостояние, самостоятельно издала распоряжение, согласно которому внесла в дополнительное соглашение о временном совмещении обязанностей главы поселения изменения в части оплаты труда, изменив себе дополнительную оплату труда с 35 тысяч рублей до 56 тысяч рублей в месяц, в результате чего в период с января по апрель 2017 года похитила путем присвоения вверенные ей бюджетные денежные средства в размере свыше 68 тысяч рублей, причинив своими действиями администрации Эссовского сельского поселения материальный ущерб на вышеуказанную сумму.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1673770/,kamchatka,В отношении фигурантов уголовного дела о коррупционном преступлении вынесен обвинительный приговор,['приговор'],14 Декабря 2023,"Собранные следственным отделом по городу Петропавловск-Камчатский СУ СК России по Камчатскому краю доказательства признаны судом достаточными для вынесения приговора двум мужчинам, 50 и 38 лет.
Фигуранты уголовного дела признаны виновными в даче взятки должностным лицам Пограничного управления ФСБ России по Восточному арктическому району в крупном размере за совершение заведомо незаконных действий (пп. «а, б» ч.4 ст. 291 УК РФ).
Следствием и судом установлено, что в вечернее время 31 января, подсудимые, находясь в салоне автомобиля, припаркованном в районе улицы Карла Маркса краевого центра, действуя группой лиц по предварительному сговору, совершили дачу взятки сотрудникам территориального отдела Пограничного управления ФСБ России по Восточному арктическому району. Сумма взятки составила 500 тысяч рублей, что является крупным размером.
Злоумышленники полагали, что за незаконное вознаграждение вернут ранее изъятую из незаконного оборота икорную продукцию в количестве 58 кубоконтейнеров, общей массой 1450 кг.
Однако пограничники действовали в рамках оперативного мероприятия, в связи с чем после передачи денег подсудимые были задержаны.
В ходе допроса фигуранты уголовного дела дали признательные показания.
Приговором суда мужчинам назначено наказание в виде штрафа в размере 1,5 млн рублей.
Приговор в законную силу не вступил."
/news/item/1648211/,kamchatka,Возбуждено уголовное дело о получении взятки начальником Камчатского линейного отдела МВД России на транспорте,['взятка'],26 Октября 2023,"Следственным управлением СК России по Камчатскому краю возбуждено уголовное дело в отношении начальника Камчатского линейного отдела МВД на транспорте. Должностное лицо подозревается в получении взятки за незаконные действия (ч.3 ст. 290 УК РФ).
По версии следствия, 42-летняя подозреваемая, являясь начальником Камчатского линейного отдела МВД России на транспорте, в период с июня по сентябрь 2021 года получила от двух мужчин, 32 и 37 лет, действующих в составе организованной группы лиц, взятку в виде денег в размере 74 тысяч рублей, что является, в соответствии с нормами уголовного закона, значительным размером.
За незаконное вознаграждение должностное лицо полиции не принимала мер к пресечению деятельности преступной группы по незаконному провозу немаркированной зернистой икры рыбы лососевых пород в багаже пассажиров, вылетающих авиарейсами за пределы Камчатского края, а также не принимала мер к привлечению указанных лиц к ответственности, и оказывала им содействие в возвращении изъятой немаркированной икры в ходе административных процедур.
В отношении взяткодателей следственным управлением возбуждены уголовные дела по факту дачи взятки должностному лицу, совершенному группой лиц (п. «а» ч. 4 ст. 291 УК РФ).
Уголовное дело возбуждено и расследуется при оперативном сопровождении сотрудников региональных управлений МВД России и ФСБ России.
В настоящее время органом следствия проводится комплекс следственных действий, направленный на детальное установление всех обстоятельств произошедшего.
Расследование уголовного дела продолжается."
