Link,Topic,Card Title,Tags,Date,Card Text
/news/item/627493/,kbr,Следственным управление проводится проверка в отношении Председателя Правительства Кабардино-Балкарской Республики по материалам поступившим из МВД по КБР,[],03 Мая 2024,"В следственное управление Следственного комитета Российской Федерации по Кабардино-Балкарской Республике из Министерства внутренних дел по Кабардино-Балкарской Республике поступили материалы проверок в отношении Председателя Правительства Кабардино-Балкарской Республики Ивана Гертера, о незаконной постановке в 2009 году бывшего главы местной администрации Прохладненского муниципального района Кабардино-Балкарской Республики Ивана Гертера, на учет как нуждающегося в улучшении жилищных условий, предоставлении ему четырехкомнатной квартиры в качестве служебного жилья и последующей приватизации в собственность.
По данному факту первым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кабардино-Балкарской Республике, проводится доследственная проверка по доводам изложенным в материалах проверок поступивших из Министерства внутренних дел по Кабардино-Балкарской Республике."
/news/item/1513234/,kbr,"Следственным управлением завершено расследование уголовного дела в отношении оперуполномоченного отдела уголовного розыска по Эльбрусскому району, обвиняемого в превышении полномочий и организации незаконного оборота наркотических средств",[],24 Апреля 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кабардино-Балкарской Республике завершено расследование уголовного дела в отношении сотрудника уголовного розыска ОМВД России по Эльбрусскому району, обвиняемого в совершении преступлений, предусмотренных ч.1 ст. 286 УК РФ (совершение должностным лицом действий, явно выходящих за пределы его полномочий и повлекших существенное нарушение прав и законных интересов граждан и охраняемых законом интересов общества и государства) и ч.3 ст.33, ч.2 ст.228 УК РФ,  (организация незаконного приобретения, хранения, без цели сбыта наркотических средств, в крупном  размере).
По версии следствия, 03 октября 2019 года, сотрудник полиции, преследуя цель повышения результатов своей работы, находясь в служебном кабинете отдела уголовного розыска, оказал давление на доставленного туда гражданина, заставив его под угрозой уголовного преследования согласиться подбросить своему знакомому наркотические средства, для их последующего изъятия и привлечения последнего к уголовной ответственности. Осуществляя задуманное, оперуполномоченный поручил мужчине исполнить заранее продуманный план. Так, ему надлежало пригласить потерпевшего на окраину города Тырныауз в пойму реки, распить с ним спиртное, приведя в бессознательное состояние, после чего сорвать верхушечные части дикорастущей конопли и подложить ему. Следуя оговоренному плану, мужчина употребил со своим знакомым заранее приготовленное спиртное, а когда последний уснул, подложил ему наркотические средства. Убедившись, что задуманное прошло по плану, полицейский, получив звонок об исполнении поручения, задержал потерпевшего и изъял наркотические средства. На следующий день в отношении мужчины было возбуждено уголовное дело, по признакам преступления, предусмотренного ч.2 ст.228 УК РФ (незаконные приобретение, хранение, перевозка без цели сбыта растений, содержащих наркотические средства, совершенное в крупном размере). Потерпевший обратился с заявлением в следственное управление СК России по КБР.
Уголовное дело с утвержденным обвинительным заключением передано в суд."
/news/item/1510955/,kbr,"Следственным отделом по Чегемскому району возбуждено уголовное дело в отношении оперуполномоченного уголовного розыска, подозреваемого в превышении должностных полномочий","['коррупция', 'полицейский', 'превышение полномочий']",23 Апреля 2024,"Следственным  отделом по Чегемскому району следственного управления Следственного комитета Российской Федерации по Кабардино-Балкарской Республике возбуждено уголовное дело  в отношении оперуполномоченного отдела уголовного розыска ОМВД России по Чегемскому району, подозреваемого в совершении  преступления, предусмотренного ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
По версии следствия,  обвиняемый, в целях повышения показателей эффективности своей работы и раскрытия совершенных на контролируемой территории преступлений, находясь в расположении отдела полиции, 22 сентября 2020, стал уговаривать ранее неоднократно судимого жителя района оговорить себя и сознаться в совершении кражи, предлагая ему материальное вознаграждение. Получив согласие мужчины, сотрудник полиции подготовил от его имени протокол явки с повинной, а также подробный текст объяснения, в котором изложил обстоятельства совершения кражи. О якобы имевшем место раскрытии кражи, оперуполномоченный сообщил руководству отдела полиции, а также передал материалы в следственный отдел. Перед проведением следственных действий, полицейский ещё раз проинструктировал мужчину об обстоятельствах кражи и отвез его на место преступления.  Действия оперуполномоченного уголовного розыска были пресечены сотрудниками ОРЧ СБ МВД по КБР.

Расследование  уголовного дела продолжается."
/news/item/1236563/,kbr,"В  городе Прохладный возбуждено два уголовных дела в отношении начальника  Прохладненского межрайонного отдела Управления Федеральной службы судебных приставов по Кабардино-Балкарской Республике,  подозреваемого в получении взятки","['взятка', 'коррупция']",09 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Кабардино-Балкарской Республике возбуждено уголовное дело в отношении  начальника Прохладненского межрайонного отдела Управления Федеральной службы судебных приставов по Кабардино-Балкарской Республике, подозреваемого в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение должностным лицом взятки за незаконные действия).
По версии следствия,  начальник Прохладненского межрайонного отдела Управления Федеральной службы судебных приставов по Кабардино-Балкарской Республике 20 февраля 2018 года, получил через посредника взятку в виде денег в сумме 20 000 рублей, за совершение в пользу взяткодателя незаконных действий, а именно прекращение без взыскания задолженности по административному штрафу. В тот же день он дал устное распоряжение подчиненному сотруднику  прекратить исполнительное производство в отношении должника.
 
Второе уголовное дело в отношении начальника Прохладненского межрайонного отдела Управления Федеральной службы судебных приставов по Кабардино-Балкарской Республике  и его подчиненного возбуждено по признакам преступления, предусмотренного п. «а» ч.5 ст.290 УК РФ (получение должностным лицом взятки за незаконные действия, совершенное группой лиц по предварительному сговору).    
По версии следствия, в марте 2017 года  судебным приставом-исполнителем Прохладненского МРО УФССП по КБР  было возбуждено исполнительное производство  о взыскании с гражданина задолженности по кредитным платежам в размере 402 000 рублей. В целях обеспечения исполнения требований исполнительного документа на автомобиль  принадлежащий  должнику наложен запрет на совершение регистрационных действий. В марте 2018 года, пристав МРО УФССП по КБР  за денежное вознаграждение, получил предложение оказать содействие в снятии запрета на регистрационные действия с автомашины. Действуя вопреки интересам службы, с целью незаконного  материального обогащения, пристав   вступил в предварительный сговор со своим начальником, после чего ими было дано указание должнику составить фиктивные документы и представить их в Прохладненского МРО УФССП по КБР.  Получив документы и денежные средства в размере 45 000 рублей, начальник отдела дал поручение приставу снять запрет на регистрационные действия с автомашины.
 
Уголовные дела соединены в одно производство. Основание для возбуждения дел послужили материалы, собранные УФСБ России по КБР. Следствие ходатайствовало перед судом об избрании в отношении начальника  Прохладненского МРО УФССП по КБР меры пресечения в виде содержания под стражей. Решением суда ему была избрана мера пресечения в виде домашнего ареста. Расследование уголовного дела продолжается."
/news/item/1639932/,kbr,"В Эльбрусском районе возбуждено уголовное дело в отношении участкового уполномоченного полиции, подозреваемого в укрытии преступления от  учета и  регистрации","['злоупотребление полномочиями', 'полицейский']",06 Апреля 2024,"Следственным отделом по Эльбрусскому району следственного управления  Следственного комитета Российской Федерации по Кабардино-Балкарской Республике возбуждено уголовное дело в отношении ОУУП и ПДН ОМВД России по Эльбрусскому району КБР, подозреваемого в совершении преступления, предусмотренного ч.1 ст.285 УК РФ (использование должностным лицом своих служебных полномочий вопреки интересам службы, если это деяние совершено из корыстной и иной личной заинтересованности).
По версии следствия,  19 ноября 2021 года, получив от оперативного дежурного ОМВД России по Эльбрусскому району сообщение о бытовом конфликте, подозреваемый прибыл на место, где стал очевидцем   умышленного причинения средней тяжести вреда здоровья заявителя.  В  нарушение требований действующего законодательства, действуя из неприязненных отношений к заявителю, в связи с тем, что последний ранее неоднократно жаловался на него, участковый скрыл от руководства произошедшее и не составил рапорт об обнаружении признаков преступления. В поданном в последующем рапорте подозреваемый указал ложные сведения  о том,  что якобы заявитель  подрался со своим братом и не имеет к нему претензий, утаив сведения о лице, применившим в отношении мужчины физическое насилие.
Впоследствии,  при проведении сотрудниками следственного отдела по   Эльбрусскому району СУ СК России по КБР  проверки установлен факт применения насилия в отношении заявителя, после чего возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 112 УК РФ, в рамках которого последний признан потерпевшим.
Расследование уголовного дела продолжается."
/news/item/1816529/,kbr,"Завершено расследование уголовного дела в отношении секретаря судебного заседания, обвиняемого в покушении на мошенничество",['мошенничество'],04 Апреля 2024,"Следственным управлением Следственного комитета  Российской Федерации по Кабардино- Балкарской Республике  завершено расследование уголовного  дела в отношении секретаря судебного заседания Верховного суда КБР, обвиняемого в совершении преступления, предусмотренного  ч. 3 ст. 30, ч.3 ст. 159 УК РФ (покушение на мошенничество, то есть хищение чужого имущества путем обмана, совершенное в крупном размере).
 
По версии следствия, в декабре 2021 года к обвиняемому обратился его знакомый,  в отношении которого  Нальчикским городским судом КБР рассматривалось уголовное дело.  Предполагая, что обвиняемый в силу занимаемого им служебного положения – секретаря судебного заседания Верховного Суда КБР, может помочь ему избежать уголовной ответственности, мужчина попросил его оказать ему в этом содействие. Действуя из корыстной заинтересованности, задумав совершить хищение путем обмана денежных средств, заведомо зная об отсутствии у него каких-либо полномочий принимать подобное решение и повлиять на принятие судом необходимого решения, обвиняемый сообщил, что сможет организовать возвращение уголовного дела в органы предварительного следствия для производства дополнительного расследования и потребовал передать ему денежные средства в размере 1 млн руб.  В ходе проведения оперативных мероприятий сотрудниками УФСБ России по КБР были зафиксированы неоднократные встречи и переговоры обвиняемого с его знакомым, а также зафиксирован факт передачи денежных средств, после чего сотрудник суда был задержан.   
 
Уголовное дело с утвержденным обвинительным заключением передано в суд."
/news/item/623623/,kbr,Расследованием окончено и направлено прокурору КБР с обвинительным заключением уголовное дело по обвинению сотрудников Пенсионного фонда и отделения Сбербанка Баксанского района КБР,[],03 Апреля 2024,"Первым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кабардино-Балкарской Республике завершено расследование уголовного дела по обвинению сотрудников Пенсионного фонда и отделения Сбербанка Баксанского района КБР, по признакам преступлений предусмотренных ч.4 ст.159 УК РФ (мошенничество, совершенное организованной группой в особо крупном размере), ч.1 ст.327 УК РФ (подделка, изготовление или сбыт поддельных документов), ч.1 ст.325 УК РФ (похищение или повреждение документов)

Следствием установлено, что в период с сентября 2003 года по март 2010 года участники организованной преступной группы четыре сотрудника ОПФР по КБР в Баксанском районе и четыре сотрудника КБ ОСБ № 8631(Сбербанка),а также неустановленные следствием лица, действия путем обманна и злоупотребления доверием, похитили денежные средства ГУ-ОПФР по КБР, являющиеся федеральной собственностью, в особо крупном размере на общую сумму 6 миллионов 369 тысяч 775 рублей, которыми члены преступной группы распорядились по своему усмотрению.В настоящее время прокуратурой Кабардино-Балкарской Республики уголовное дело направлено в Баксанский районный суд для рассмотрения по существу."
/news/item/1730163/,kbr,"В Нальчике возбуждено уголовное дело в отношении инспектора ДПС, подозреваемого в вымогательстве взятки","['взятка', 'полицейский']",01 Апреля 2024,"Следственным отделом по городу Нальчик следственного управления Следственного комитета Российской Федерации по Кабардино-Балкарской Республике возбуждено уголовное дело в отношении инспектора ДПС ГИБДД УМВД России по городскому округу Нальчик, подозреваемого в совершении преступления, предусмотренного п. «б» ч.5 ст.290 УК РФ (получение должностным лицом взятки, совершенное с вымогательством взятки).
  По версии следствия, 5 октября 2022 года, сотрудником полиции в ходе несения службы, была остановлена автомашина под управлением местного жителя.  У полицейского возникли подозрения, что гражданин находится в состоянии алкогольного опьянения  и он предложил ему пройти освидетельствование путем использования тестера. Мужчина отрицал употребление алкоголя и согласился пройти проверку, которая подтвердила отсутствие опьянения. Вместе с тем сотрудник полиции начал составлять документы об отстранении водителя от управления транспортным средством, требуя от него пройти медицинское освидетельствование на наличие наркотического опьянения. Получив согласие гражданина, инспектор стал убеждать его, что работники наркологического диспансера обязательно обнаружат у него наркотическое опьянение и в его же интересах передать 25 тыс руб, чтобы избежать этого. Опасаясь наступления для себя негативных последствий, гражданин согласился на требование инспектора. Полицейский дал ему время для сбора средств, при этом в телефонных звонках угрожал ему привлечением к ответственности, если его требования не будут исполнены. В тот же день мужчина обратился с заявлением о противоправных действиях полицейского ОРЧ СБ МВД по КБР. В момент передачи взятки полицейский был задержан сотрудниками УФСБ России по КБР и МВД по КБР."
/news/item/985603/,kbr,"В городе Прохладный возбуждено уголовное дело в отношении заместителя старшего судебного пристава межрайонного отдела судебных приставов, подозреваемого в присвоении чужого имущества",[],21 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Кабардино-Балкарской Республике возбуждено уголовное дело в отношении заместителя старшего судебного пристава Прохладненского межрайонного отдела судебных приставов, подозреваемого в совершении преступления, предусмотренного ч.3 ст.160 УК РФ (присвоение, совершенное с использованием служебного положения).   
По версии следствия,   подозреваемый, являясь должностным лицом, был наделен полномочиями обращать взыскание на денежные средства и иное имущество должника, в отношении которого возбуждено исполнительное производство. В сентябре 2013 года на основании исполнительного листа подозреваемым было вынесено постановление о возбуждении исполнительного производства   на сумму 10 000 рублей. В ходе проведения мероприятий по указанному исполнительному производству подозреваемый встретился в своем рабочем кабинете с потерпевшим, являющимся должником по  исполнительному производству, и убедил его передать 10 300 рублей, с учетом госпошлины, обязуясь   внести полученные деньги через отделение банка в счет оплаты задолженности.  Однако, пристав  присвоил полученные деньги и незаконно вынес постановление об окончании исполнительного производства.
Материалы, послужившие основанием для возбуждения уголовного дела, собраны УФСБ России по КБР.
 Расследование уголовного дела продолжается."
/news/item/627482/,kbr,Майским межрайонным следственным отделом проводится проверка по факту получения взяток сотрудниками СБ ДПС ГИБДД ОР МВД по КБР,[],15 Марта 2024,"27 сентября 2012 года, в Майский межрайонный следственный отдел из ОРЧ СБ МВД по КБР поступил материал предварительной проверки о том, что в период времени с конца августа по начало сентября 2012 года, сотрудниками ОРЧ СБ МВД по КБР были проведены оперативно-розыскные мероприятия на постах ДПС «Таллин» и «Джулат». Сотрудники СБ ДПС ГИБДД ОР МВД по КБР несшие службу на указанных постах в разные дни указанного периода времени используя свое служебное положение в целях получения чужого имущества за беспрепятственный проезд получали денежные средства.
По предварительной оценке в действиях шестерых инспекторов ДПС ГИБДД ОР МВД по КБР и одного инспектора ДПС ОГИБДД ОМВД России по Терскому району усматриваются признаки преступлений предусмотренных, ст.159 УК РФ (мошенничество), ст.285 УК РФ (превышение должностных полномочий), ст.290 (получение взятки).
В настоявшее время Майским межрайонным следственным отделом следственного управления Следственного комитета по Кабардино-Балкарской Республике, проводится проверка по данным фактам."
