Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1336223/,kchr,"В Карачаево-Черкесии по обвинению в превышение должностных полномочий, взятках и служебном подлоге перед судом предстанет бывший чиновник регионального управления МЧС России",[],13 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Карачаево-Черкесской Республике окончено следствие в отношении 48-летнего заместителя начальника ГУ МЧС России по КЧР. Чиновник обвиняется по ч. 1 ст. 286 УК РФ (превышение должностных полномочий), ч. 2 ст. 292 УК РФ (служебный подлог), ч. 1 ст. 290 УК РФ (получение взятки).
По версии следствия, злоумышленник, занимая должность заместителя начальника ГУ МЧС России по КЧР, в декабре 2016 года при осуществлении обязанностей по исполнению контракта о производстве проектно-изыскательских работ по строительству объекта внес заведомо ложные сведения в официальные документы, подтверждающие выполнение контрактных обязательств подрядчиком. Фактически работы, предусмотренные государственным контрактом, не проводились. Вследствие чего были необоснованно израсходованы бюджетные денежные средства в сумме 5 млн. рублей, предназначенные на оплату исполненных работ по договору.
Он же, в декабре 2017 года получил взятку от гражданина в виде денег в размере 20 тыс. рублей за действия, связанные с получением статуса ветерана боевых действий, дающих право на ежемесячное денежное пособие и установленные законодательством льготы.
Уголовное дело направлено в Черкесский городской суд Карачаево-Черкесской Республики для рассмотрения по существу.
Следственное управление 
СКР по КЧР
тел. 8 (878-22) 8-11-74
http://kchr.sledcom.ru//"
/news/item/1500972/,kchr,В Карачаево-Черкесской Республике сотрудниками СКР завершено расследование уголовного дела о покушении на дачу взятки,"['взятка', 'коррупция', 'СКР']",11 Апреля 2024,"Следственными органами СУ СК России по Карачаево-Черкесской Республике завершено расследование уголовного дела в отношении 34-летнего местного жителя, обвиняемого в покушении на дачу взятки лично должностному лицу (ч.3 ст.30 и ч.1 ст.291 УК РФ).
В ходе предварительного следствия установлено, что 21.08.2020 злоумышленник передал лично должностному лицу Усть-Джегутинского районного отдела судебных приставов регионального Управления Федеральной службы судебных приставов России в качестве взятки  11 000 рублей.
Денежное вознаграждение предназначалось за совершение представителем власти действий по принятию решения о невозможности взыскания в пользу одного из подразделений регионального Управления ФНС России денежных средств в размере свыше 217 000 рублей и прекращении исполнительного производства по данному основанию, мотивируя это отсутствием финансовой возможности погасить вышеуказанную задолженность.
Судебный пристав от получения взятки отказался, а преступная деятельность взяткодателя пресечена в ходе совместных оперативно-розыскных мероприятий проводимых сотрудниками службы безопасности УФССП и МВД республики.
На основании собранных следствием доказательств уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1695374/,kchr,Заведующая детского сада села Терезе предстанет перед судом за мошенничество и служебный подлог,"['коррупция', 'мошенничество', 'служебный подлог']",10 Апреля 2024,"Следственным отделом по Малокарачаевскому району следственного управления Следственного комитета Российской Федерации по Карачаево-Черкесской Республике завершено расследование уголовного дела в отношении заведующей муниципального казенного дошкольного образовательного учреждения «Детский сад №5 «Къуанч» села Терезе. Она обвиняется в совершении четырех эпизодов преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана, совершенное с использованием своего служебного положения) и ч. 1 ст. 292 УК РФ (служебный подлог, то есть внесение должностным лицом в официальные документы заведомо ложных сведений, если эти деяния совершены из корыстной или иной личной заинтересованности).
Следствием установлено, в период с сентября 2008 года по декабрь 2021 года обвиняемая, являясь заведующей детским учреждением, из корыстных побуждений, желая улучшить свое материальное положение, пользуясь своим полномочиями, фиктивно трудоустроила свою родственницу и  ежемесячно утверждала табели учета рабочего времени, содержащие заведомо ложные сведения о ее работе. В действительности, последняя на работу не ходила и возложенный функционал не выполняла, в то время как заработная плата начислялась на банковскую карту, которая находилась в распоряжении заведующей детским садом, которая снимала денежные средства и использовала в личных целях.
В ходе следствия обвиняемая полностью признала свою вину, активно сотрудничала со следствием, а также возместила причиненный  материальный ущерб в размере 392 тысячи рублей.
В целях установления истины следователем допрошен ряд свидетелей, проведены выемки и осмотры служебной документации, необходимые экспертизы, а также следственные и процессуальные действия, изобличающие заведующую в совершении указанного преступления. В настоящее время собрана исчерпывающая доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
                                                                     
При полном или частичном использовании материалов сайта ссылка на следственное управление Следственного комитета Российской Федерации по Карачаево-Черкесской Республике обязательна."
/news/item/1418547/,kchr,Адвокат Карачаево-Черкеской республиканской коллегии адвокатов признан виновным в покушении на мошенничество,"['адвокат', 'мошенничество', 'приговор', 'суд']",05 Апреля 2024,"Собранные отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Карачаево-Черкесской Республике доказательства признаны судом достаточными для вынесения приговора адвокату Карачаево-Черкеской республиканской коллегии адвокатов Рашиду Лайпанову. Он признан виновным в совершении преступления, предусмотренного ч.3 ст.30 и ч.2 ст.159 УК РФ (покушение на мошенничество).
Уголовное дело рассмотрено по существу в Черкесском городском суде Карачаево-Черкесской Республики.
Следствием и судом установлено, что Лайпанов, осуществляя защиту в рамках уголовного дела по обвинению лица в совершении особо тяжких преступлений - убийства и покушении на убийство двух и более лиц, мошенническим путем требовал от родственников обвиняемого передачи ему одного миллиона ста тысяч рублей, якобы за решение им вопроса об освобождении обвиняемого из-под стражи и переквалификации его действий на более мягкое преступление.
Однако реализовать задуманное Лайпанову не удалось, в апреле 2018 года в ходе проводимых оперативно-розыскных мероприятий сотрудниками УФСБ России по Карачаево-Черкесской Республике он был задержан с переданными ему в качестве аванса денежными средствами и муляжом денежных средств на сумму 100.000 рублей.
В ходе предварительного и судебного следствия Лайпанов не признавал свою вину в содеянном. Приговор суда обжаловался стороной защиты, однако вышестоящей инстанцией признан законным.
На основании собранных следствием доказательств, судом Рашиду Лайпанову назначено наказание в виде штрафа.
Старший помощник руководителя следственного управления Следственного комитета РФ по Карачаево-Черкесской Республике Роман Цыганков."
/news/item/1571529/,kchr,"В отношении инспектора ДПС ОГИБДД МО МВД России «Зеленчукский», подозреваемого в мелком взяточничестве, возбуждено уголовное дело",['коррупция'],28 Марта 2024,"Первым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Карачаево-Черкесской Республике по материалам УФСБ России по Карачаево-Черкесской Республике возбуждено уголовное дело в отношении инспектора ДПС ОГИБДД МО МВД России «Зеленчукский», подозреваемого в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По данным следствия, ночью 23 февраля 2021 года подозреваемый,  осуществляя патрулирование автодороги Майкоп-Зеленчукская, остановил автомобиль под управлением местной жительницы, находящейся в состоянии алкогольного опьянения. Желая обогатиться, преследуя корыстный интерес, инспектор предложил женщине передать ему денежное вознаграждение в размере 10 тысяч рублей, гарантировав ей освобождение от административной ответственности и наказания, на что последняя согласилась. В связи с отсутствием в тот момент с собой денежных средств, они договорились, что она передаст указанную сумму в ближайшие дни,  после чего  была отпущена. В последующем, в период с 24 по 26 февраля 2021 года подозреваемый неоднократно высказывал женщине требования о необходимости передачи ему взятки в размере 10 тысяч рублей. Вечером 26 февраля 2021 года женщина, находясь около одного из заведений общепита Урупского района, передала злоумышленнику требуемые им денежные средства.
Указанные преступные действия подозреваемого нанесли урон авторитету органов внутренних дел как органу государственной власти и правопорядка.
В настоящее время по уголовному делу выполняется комплекс необходимых следственных и процессуальных действий, направленных на установление всех обстоятельств совершенного преступления, сбор и закрепление доказательственной базы.
 
При полном или частичном использовании материалов сайта ссылка на следственное управление Следственного комитета Российской Федерации по Карачаево-Черкесской Республике обязательна."
/news/item/1454697/,kchr,В Карачаево-Черкесской Республике возбуждено уголовное дело о превышении должностных полномочий.,"['должностное лицо', 'полицейский', 'превышение полномочий', 'СКР']",18 Марта 2024,"Следственными органами следственного управления Следственного комитета Российской Федерации по Карачаево-Черкесской Республике по материалам регионального УФСБ возбуждено два уголовных дела в отношении государственного инспектора безопасности дорожного движения одного из подразделений ГИБДД МВД России в республике. Уголовные дела возбуждены  по ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
По предварительным данным, представитель власти из личной заинтересованности  оформил подложные документы жителям из соседнего региона о профессиональной подготовке водителей транспортных средств без прохождения соответствующего обучения и сдачи квалификационного экзамена.
На основании выданных злоумышленником документов два 24-летних автовладельца, не имеющие соответствующих навыков, получили водительские удостоверения.
Проведенными сотрудниками УФСБ оперативно-розыскными мероприятиями преступная деятельность должностного лица выявлена и задокументирована.
Следователем обнаружены и изъяты водительские удостоверения и иные выданные водителям документы, допрошены свидетели, назначены экспертизы. В настоящее время решается вопрос об избрании меры пресечения.
Уголовные дела соединены в одно производство. Расследование уголовного дела продолжается."
/news/item/1299210/,kchr,Пятеро бывших сотрудников ГИБДД города Кисловодска признаны виновными в вымогательстве взяток,[],12 Марта 2024,"Собранные Главным следственным управлением по Северо-Кавказскому федеральному округу Следственного комитета Российской Федерации доказательства признаны судом достаточными для вынесения приговора  бывшим сотрудникам взвода в составе отдельной роты ДПС ОГИБДД ОМВД России по городу Кисловодску Арману Геворгяну, Александру Макарову, Виктору Тимановскому, Рудольфу Чилингаряну и Михаилу Феневу. Они признаны виновными  в  совершении ряда эпизодов преступления, предусмотренного пп. «а, б» ч. 5 ст. 290 УК РФ (получение взяток в виде денег за совершение незаконных действий (бездействие), группой лиц по предварительному сговору, с вымогательством).
Следствием и судом установлено, что соучастники преступной группы в форменном обмундировании и при исполнении должностных обязанностей, заранее договорившись, в период с 30 июня по 23 декабря 2013 года под предлогом проверки документов водителя автомобиля останавливали въезжающий в город Кисловодск и выезжающий автотранспорт, отдавая предпочтение автомобилям с регистрационными знаками других субъектов. В ходе проверки документов водителей они высказывали свои подозрения о наличии у них признаков опьянения, после чего предлагали пройти в помещение, расположенное на маршруте патрулирования. Под действием угроз и психологического давления водители вынужденно передавали участникам преступной группы требуемую сумму денег в виде взятки в размере от 12 до 50 тысяч рублей, за непроведение административных процедур. Общая сумма незаконных вознаграждений составила более 450 тысяч рублей. 
Фигуранты вину в инкриминируемых им деяниях не признали. Однако следствие предоставило все необходимые доказательства, изобличающие соучастников в коррупционных преступлениях, в числе которых неопровержимые оперативные данные, предоставленные УФСБ России по Ставропольскому краю.
Приговором суда всем соучастникам назначено наказание  в виде лишения свободы с отбыванием в исправительной колонии строгого режима сроком от 6 до 8 лет, так  же им запрещено занимать должности в государственных и правоохранительных органах сроком от 2 до 5 лет.
Видео: https://twitter.com/sledcom_rf/status/1095565401658920960"
/news/item/1661406/,kchr,Бывший инспектор контрольного отдела ФНС России по КЧР подозревается в получении взяток,[],21 Февраля 2024,"Первым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Карачаево-Черкесской Республике возбуждено уголовное дело в отношении бывшего главного государственного налогового инспектора контрольного отдела № 2 Межрайонной инспекции Федеральной налоговой службы России № 1 по КЧР подозреваемого в совершении пяти эпизодов преступления, предусмотренного п. «б» ч. 5 ст. 290 УК РФ (получение взятки, то есть получение должностным лицом лично взятки в виде денег в пользу взяткодателя и представляемого им лица за попустительство по службе и незаконные действия (бездействия), если указанные действия (бездействия) входят в служебные полномочия должностного лица, совершенные с вымогательством взятки).
По данным следствия, с сентября 2018 года по апрель 2021 года подозреваемый, являясь должностным лицом, путем вымогательства, систематически получал через посредника денежные средства в качестве взяток от жителей республики за предпринимательскую деятельность. В свою очередь злоумышленник за денежные вознаграждения не применял входящие в его круг обязанностей полномочия направленные на проведение проверок соблюдения действующего законодательства о государственной регистрации, а также в области применения контрольно-кассовой техники.
За вышеуказанный период подозреваемый получил не менее 340 тысяч рублей наличным и безналичным способом.
Уголовное дело возбуждено по материалам УЭБиПК МВД по КЧР.
В настоящее время подозреваемый задержан в порядке ст. ст. 91-92 УПК РФ, решается вопрос об избрании меры пресечения. Выполняется комплекс необходимых следственных и процессуальных действий, направленных на установление всех обстоятельств совершенного преступления, сбор и закрепление доказательственной базы. Назначаются необходимые экспертизы, допрашиваются свидетели. Расследование уголовного дела продолжается.
 
При полном или частичном использовании материалов сайта ссылка на следственное управление Следственного комитета Российской Федерации по Карачаево-Черкесской Республике обязательна."
/news/item/1859456/,kchr,В Карачаево-Черкесии возбуждено уголовное дело в отношении местной жительницы за дачи взяток должностному лицу,['СКР'],09 Февраля 2024,"Первым отделом по расследованию особо важных дел следственного управления СК России по Карачаево-Черкесской Республике по материалам МВД по КЧР в отношении 54-летней местной жительницы возбуждено уголовное дело по 3-м эпизодам преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По данным следствия, в 2021 году подозреваемая, действуя в интересах своих знакомых, передала бывшему начальнику районного отдела ЗАГСа взятки за незаконное оформление подложных свидетельств о рождении детей. В дальнейшем полученные фиктивные документы она передала своим знакомым, которые, в свою очередь, использовали их для незаконного получения средств материнского капитала и социальных выплат.
По уголовному делу проводится комплекс следственных и процессуальных действий, направленный на установление всех обстоятельств совершенного преступления, а также сбор и закрепление доказательственной базы."
/news/item/1527144/,kchr,В Карачаево-Черкесской Республике   следователями СКР возбуждено уголовное дело  о хищении бюджетных средств,"['должностное лицо', 'мошенничество', 'СКР']",08 Февраля 2024,"Следственными органами  следственного управления Следственного комитета Российской Федерации по Карачаево-Черкесской Республике возбуждено уголовное дело в отношении бывшего руководителя федерального государственного бюджетного учреждения в республике, по признакам  преступления, предусмотренного ч.4 ст.159 УК РФ (мошенничество в особо крупном размере).
По данным следствия, в период с 2011 по 2013 г.г. местный житель,  являясь директором  предприятия, без проведения конкурсных процедур заключил государственные контракты на общую сумму 307 793 000 рублей с аффилированной коммерческой организацией на проведение работ, связанных с реализацией противооползневых мероприятий.
В ходе исполнения контрактных обязательств руководитель учреждения похитил свыше 56 млн. рублей путем завышения объемов выполненных работ.
В настоящее время следователем осмотрено место происшествия, назначены экспертизы, изъяты документы финансово-хозяйственной деятельности. В рамках уголовного дела ведутся допросы свидетелей, проводятся иные мероприятия, направленные на установление всех обстоятельств совершённого преступления.
Расследование уголовного дела продолжается."
/news/item/1874371/,kchr,В Карачаево-Черкесии начальник отдела полиции обвиняется в вымогательстве взятки в особо крупном размере (ВИДЕО),['СКР'],23 Января 2024,"Первым отделом по расследованию особо важных дел следственного управления СК России по Карачаево-Черкесской Республике по материалам УФСБ России по КЧР во взаимодействии с ОРЧ СБ МВД по КЧР в отношении начальника отдела УНК МВД по КЧР возбуждено уголовное дело по признакам преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки с вымогательством в особо крупном размере).
По данным следствия, в октябре 2021 года обвиняемый получил оперативную информацию о совершении тремя жителями республики серии преступлений, предусмотренных ч. 3 ст. 234 УК РФ (незаконные приобретение, хранение, перевозка и сбыт сильнодействующих веществ). Обладая указанной информацией, фигурант в ходе встречи с одной из участниц преступной группы обнаружил в приложении на ее телефоне электронный кошелек, на счете которого хранится криптовалюта, эквивалентная 1,8 млн руб.
В целях незаконного завладения указанными денежными средствами мужчина, угрожая привлечением женщины к уголовной ответственности за совершенные ею преступления, потребовал  перевести указанную сумму на его электронный счет. Потерпевшая, опасаясь угроз фигуранта, в тот же день выполнила незаконные требования должностного лица.
Должностное лицо было задержано в порядке ст. 91 УПК РФ, ему предъявлено обвинение, в ближайшее время будет избрана мера пресечения.
Следователями СК выполняется комплекс следственных и процессуальных действий, направленных на установление всех обстоятельств совершенного преступления. С участием оперативных сотрудников УФСБ России по КЧР проведены обыски по местам службы и жительства фигуранта, допрошен личный состав отдела полиции, потерпевшая и свидетели, изъяты предметы, имеющие доказательственное значение для уголовного дела."
/news/item/1279784/,kchr,Международный день борьбы с коррупцией,[],14 Декабря 2023,"Сегодня во всем мире отмечается Международный день борьбы с коррупцией. Следственный комитет как государственный орган, осуществляющий в соответствии с законодательством Российской Федерации полномочия в сфере уголовного судопроизводства, занимается расследованием уголовных дел коррупционной направленности. Это одно из приоритетных направлений деятельности ведомства.
В текущем году правоохранительными органами Российской Федерации зарегистрировано 25004 преступления коррупционной направленности, что на 0,6% больше, чем за 9 месяцев 2017 г. (24 856). Увеличилось на 3% количество выявленных фактов взяточничества (ст. 290 – 291.2 УК РФ) (10 179 преступлений, 2017 г. – 9 886). Удельный вес преступлений коррупционной направленности от общего количества зарегистрированных преступлений также увеличился и составил 1,7% (2017 г. – 1,6%).
Следователями СК России возбуждено 14190 уголовных дел. Наибольшее количество уголовных дел о преступлениях коррупционной направленности возбуждено в Самарской области (308), Уральском следственном управлении на транспорте (326),  Московской (349) и Ростовской (353) областях, Краснодарском крае (372), городе Москве (421), Республике Татарстан (459) и Челябинской области (639).
Направлено в суды 6123 дела. В общем массиве направленных в суд уголовных дел преобладают дела о следующих преступлениях: мелкое взяточничество  – 1 366 (22,3%); мошенничество – 1 210 (19,8%); дача взятки  – 1 105 (18%); получение взятки – 926 (15,1%); присвоение или растрата  – 509 (8,3%); злоупотребление должностными полномочиями – 228 (3,7%); превышение должностных полномочий – 199 (3,3%); служебный подлог – 161 (2,6%); посредничество во взяточничестве – 166 (2,7%); коммерческий подкуп – 165 (2,7%); злоупотребление полномочиями – 33 (0,5%).
К уголовной ответственности по этим уголовным делам привлечено 6885 лиц. В их числе 2 684 взяткодателя, не являющиеся должностными лицами; 790 сотрудников органов внутренних дел; 596 лиц, выполняющих управленческие функции в коммерческой или иной организации; 502 должностных лица органов местного самоуправления; 495 военнослужащих; 483   должностных лица государственных, муниципальных учреждений и предприятий; 334 работника Минюста России, в том числе ФСИН – 206, ФССП – 115; 261 работник образования и науки; 178 работников здравоохранения; 69 должностных лиц органов государственного и муниципального контроля; 43 сотрудника таможни; 40 работников Минприроды России; 33сотрудника МЧС России;  33 сотрудника Минкомсвязи России; 33работника Минтранса России;  32 работника Минтруда России; 26 сотрудников органов Национальной гвардии России; 25 работников Минсельхоза России; 18 сотрудников ФНС России.
В этом году завершено расследование уголовных дел в отношении бывшего губернатора Удмуртии Александра Соловьева; бывшего главы города Владивостока Игоря Пушкарева; бывшего заместителя начальника Управления «Т» ГУЭБиПК МВД России Дмитрия Захарченко; бывшего первого заместителя председателя правительства Ивановской области Дмитрия Куликова;  бывшего судьи Арбитражного суда города Москвы Игоря Корогодова и адвоката адвокатской палаты города Москвы Александра Мосина; бывшего министра транспорта Пермского края Алмаза Закиева; судьи Саратовского областного суда в отставке Владимира Стасенкова; бывшего министра природных ресурсов и экологии Мурманской области Эльвиры Макаровой.
За совершение преступлений коррупционной направленности были осуждены  бывший заместитель Губернатора Владимирской области Дмитрий Хвостов; бывший заместитель губернатора Вологодской области Николай Гуслинский; бывший заместитель губернатора Алтайского края Юрий Денисов; бывший первый заместитель председателя правительства Рязанской области Дмитрий Андреев; бывший заместитель начальника ГУ МЧС России по Тамбовской области Игорь Фатькин; бывшая руководитель регионального УФНС России по Тамбовской области Любовь Кругова; бывший следователь ГУ МВД России по городу Москве Владимир Андриевский; бывший начальник ГУФСИН России по Пермскому краю Александр Соколов; бывший заместитель председателя Пензенской городской думы Георгий Тюрин; бывший министр строительства и модернизации коммунального хозяйства Республики Тыва Владимир Сат; бывший мэр города Усть-Илимска Владимир Ташкинов и другие. 
Следственным комитетом во взаимодействии с оперативными подразделениями ФСБ и МВД России продолжается комплексная работа по выявлению коррупционных преступлений и привлечению лиц, уличенных в противоправных действиях, к уголовной ответственности
Официальный представитель
СК России        С.Петренко"
/news/item/1144655/,kchr,Следственными органами СК России по Карачаево-Черкесской Республике  в отношении бывшего чиновника пенсионного фонда возбуждено уголовное дело,[],09 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Карачаево-Черкесской Республике в отношении бывшего  начальника юридического отдела ГУ ОПФР по КЧР  возбуждено уголовное дело по факту получения им взятки (ч. 2 ст. 290 УК РФ).
По данным следствия, в следственный отдел по городу Черкесск,  из УФСБ РФ по КЧР поступил материал проверки по заявлению местной жительницы о вымогательстве у нее взятки 41-летним начальником юридического отдела Государственного учреждения отделения пенсионного фонда России по Карачаево-Черкесской Республике.
С апреля по май 2017 года, в административном здании ГУ ОПФР по КЧР, в ходе бесед с потерпевшей, начальник юридического отдела предложил дать ему взятку в сумме 30 тысяч рублей за совершение действий в её пользу. Согласно должностной инструкции начальник юридического отдела осуществлял правовую оценку документации по реализации материнского (семейного) капитала.
Злоумышленник в салоне автомобиля в г. Черкесск, по ул. Привокзальная лично получил от потерпевшей взятку в сумме 30 тысяч рублей за удовлетворение  её заявления о распоряжении средствами МСК, после чего сразу был задержан с поличным сотрудниками УФСБ России по КЧР, в результате проведённых в отношении него оперативно-розыскных мероприятий.
В настоящее время следователями назначен ряд экспертиз, проводятся все необходимые следственные мероприятия.
Расследование уголовного дела продолжается.
 
Следственное управление 
СКР по КЧР
тел. 8 (878-22) 6-79-50
http://kchr.sledcom.ru//"
