Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1393732/,kirov,"Перед судом предстанет бывший сотрудник полиции, обвиняемый в  совершении ряда коррупционных преступлений","['взятка', 'суд']",23 Апреля 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кировской области завершено расследование уголовного дела в отношении бывшего сотрудника УМВД России по Кировской области, обвиняемого в совершении преступлений, предусмотренных ч. 2 ст. 290 УК РФ (получение взятки должностным лицом через посредника в виде денег в значительном размере), ч. 1 ст. 291.2 УК РФ (мелкое взяточничество) и нескольких эпизодах преступлений, предусмотренных  ч. 1 ст. 290 УК РФ (получение взятки).
Напомним, в июне текущего года сотрудниками региональных УФСБ и УМВД России по Кировской области в ходе проведения совместных оперативных мероприятий был установлен факт получения взятки 44-летним сотрудником полиции.По версии следствия, 28 июня инспектор отдела по вопросам миграции УМВД России по городу Кирову через посредника получил от представителя одной из коммерческих организаций взятку в виде денег в размере 30 тысяч рублей. Денежные средства предназначались за совершение обвиняемым действий в пользу указанной организации, а именно за замену административного наказания с целью избежать крупного штрафа.
По данному факту следователями второго отдела по расследованию особо важных дел СУ СК России по Кировской области было возбуждено уголовное дело, в рамках расследования которого установлены иные эпизоды преступной деятельности бывшего полицейского.
Так, в апреле текущего года он получил от директора другого коммерческого предприятия взятку в виде денег в сумме 10 тысяч рублей и подарочный набор чая за оформление материалов административного расследования в отношении Общества таким образом, чтобы избежать крупного штрафа за административное правонарушение.
На протяжении 2018 года он также, используя свое должностное положение, неоднократно получал через посредника взятки в виде денег за замену административного наказания за совершенные компаниями административные правонарушения в виде штрафа на более мягкое наказание – предупреждение. Получив при этом в качестве взяток в общей сумме не менее 80 тысяч рублей.
В ходе следствия следователи провели весь комплекс следственных действий и оперативно-розыскных мероприятий, собрали достаточную доказательственную базу. Вину в совершенных преступлениях бывший сотрудник полиции признал полностью. В настоящее время уголовное дело для утверждения обвинительного заключения направлено в прокуратуру Кировской области.
 
Ссылка на видео: https://www.youtube.com/watch?v=S8bScYIKgQQ"
/news/item/1784100/,kirov,В Кирсе вынесен приговор бывшей сотруднице отделения почтовой связи за присвоение денежных средств,"['коррупция', 'приговор', 'присвоение', 'суд']",12 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Кировской области доказательства признаны судом достаточными для вынесения приговора жительнице города Кирса. Она признана виновной в совершении преступления, предусмотренного ч.3 ст.160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения, в крупном размере).
Установлено, что бывшая сотрудница отделения почтовой связи в городе Кирсе, используя свое служебное положение, имея доступ к денежным средствам, хранимым в отделении почтовой связи, похитила путем присвоения вверенные ей денежные средства в общей сумме более 950 тысяч рублей.
Похищенные денежные средства она противоправно присвоила, распорядившись ими по своему усмотрению.
Следователями СК проведен комплекс следственных действий, направленных на установление всех обстоятельств произошедшего, сбор и закрепление доказательственной базы.
На основе собранных доказательств суд с учетом мнения государственного обвинителя прокуратуры признал женщину виновной. Ей назначено наказание в виде 2 лет лишений свободы условно с испытательным сроком 2 года."
/news/item/1534462/,kirov,"Кировчанин, обвиняемый в мошенничестве в особо крупном размере,  предстал перед судом",['мошенничество'],11 Апреля 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кировской области завершено расследование уголовного дела в отношении кировчанина, обвиняемого в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество,  то есть хищение чужого имущества путем обмана в особо крупном размере).
По версии следствия, обвиняемый умышленно, из корыстных побуждений, сообщил одному из предпринимателей, осуществляющих деятельность в сфере лесозаготовок, заведомо ложные сведения о том, что он готов выступить посредником в передаче взятки в сумме 6 миллионов рублей сотруднику министерства лесного хозяйства Кировской области за обеспечение последним в силу должностного положения подписания с компанией предпринимателя договоров аренды лесных участков объёмом 80 000 куб. м. Предприниматель согласился на данное предложение обвиняемого, рассчитывая извлечь в дальнейшем прибыль из заключенных договоров.
Обвиняемый, зная, что не будет выполнять обещанных действий по передаче взятки, получил от предпринимателя по частям денежные средства в общей сумме 6 миллионов рублей. В последующем он распорядился ими по своему усмотрению.
Спустя некоторое время предприниматель осознав, что с его компанией так и не были заключены договоры аренды лесных участков, стал предъявлять обвиняемому претензии. Затем он самостоятельно встретился с сотрудником министерства лесного хозяйства и выяснил, что последнему обвиняемый никаких денежных средств не передавал, ни каких вопросов по заключению договоров не обсуждал. После этого на протяжении нескольких месяцев потерпевший самостоятельнопытался вернуть свои денежные средства. В итоге он обратился в УЭБиПК УМВД России по Кировской области с заявлением о противоправных действиях обвиняемого.
По результатам проверки следователями второго отдела по расследованию особо важных дел было возбуждено уголовное дело, в рамках расследования которого проведен комплекс следственных действий, собрана достаточная доказательственная база.
В настоящее время уголовное дело с утвержденным заместителем прокурора Первомайского района города Кирова обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1198224/,kirov,Возбуждено уголовное дело по факту растраты денежных средств администрации  Кикнурского городского поселения,[],10 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Кировской области возбуждено уголовное дело по факту растраты денежных средств администрации  Кикнурского городского поселения, то есть по признакам преступления, предусмотренного ч.3 ст. 160 УК РФ.
По версии следствия,  директор муниципального унитарного предприятия, расположенного в поселке городского типа Кикнур, в период с марта 2016 по январь 2017, используя свое служебное положение, незаконно начислял себе премии без фактического распоряжения  администрации Кикнурского городского поселения.
Таким образом, подозреваемый незаконно присвоил себе денежные средства в размере более 60 тысяч рублей, причинив тем самым ущерб  администрации.
Уголовное дело возбуждено по материалам проверки УБЭПиПК УМВД России по Кировской области.
Следователи СУ СК РФ по Кировской области исследуют обстоятельства произошедшего. Расследование уголовного дела продолжается."
/news/item/1677937/,kirov,Следственный комитет России обращает внимание граждан на случаи телефонного мошенничества,['мошенничество'],09 Апреля 2024,"Практически ежедневно в правоохранительные органы, и в том числе в Следственный комитет, поступает информация о новых фактах телефонного мошенничества. Результаты анализа сообщений о мошеннических действиях неизвестных лиц, совершаемых по телефону, позволяют сделать вывод, что злоумышленники становятся все изощреннее и изобретательнее. Для реализации преступного умысла они зачастую используют IT-технологии и программное обеспечение, а также поддельные документы с реквизитами различных государственных органов и банковских организаций.
Еще раз напоминаем гражданам о необходимости проявлять бдительность. Следственный комитет обращает внимание на следующую распространенную схему, которую используют мошенники, а также предлагает возможный алгоритм действий для тех, кто столкнулся с подобной ситуацией:
- использование мошенниками системы автоматизированной подмены номеров, при этом нередко дозвон осуществляется несколько раз подряд с разных номеров.
То есть на абонентской станции (на телефонном аппарате) отображается номер телефона, не соответствующий  реальному номеру абонента, осуществляющего дозвон. Для этих целей используются специальные программные средства, в которых имеется поле для указания желаемого номера для отображения у конечного абонента – таким образом можно ввести абсолютно любой номер телефона.
Важно! Не следует перезванивать по входящим номерам, поскольку они отображаются некорректно – с подменой телефонного номера. Для получения информации и разъяснений необходимо вручную набрать телефонные номера, указанные на официальных сайтах государственных структур и банков.  
- требование в ходе телефонного разговора о явке по называемым  адресам и  убеждение в необходимости перевода денежных средств под различными предлогами на указанные звонящим лицом счета.
Следователи СК России и сотрудники других правоохранительных органов, на которых возложены обязанности по проведению предварительного следствия, производят вызов граждан в порядке, установленном законодательством. Лица вызываются повесткой. При этом должностное лицо никогда не требует по телефону предоставления персональных данных и банковских реквизитов, информации по счетам и пластиковым картам.
Важно! Ни по телефону, ни в ходе очной беседы сотрудники правоохранительных органов (СК России, ФСБ России, МВД России, Росгвардии и другие) не заявляют требований о переводе денежных средств на какие-либо счета. Это незаконно. Любые предложения о содействии правоохранительным органам, например, в поимке преступников путем перечисления денежных средств на указанные «собеседником» счета, либо с целью обезопасить сбережения от противоправных действий третьих лиц – это явный признак мошенничества, о чем необходимо сообщить в правоохранительные органы.      
- предоставление электронными и иными средствами связи поддельных документов, подтверждающих вымышленную мошенниками информацию для завладения денежными средствами.
Мошенники, представляющиеся следователями и другими сотрудниками госорганов, в подтверждение своих слов предупреждают и реально направляют фальшивые «документы», и вновь просят перевести денежные средства  под каким-либо предлогом. Как правило, используется адрес собеседника, который есть в открытом доступе.
Важно!  В случае таких требований со ссылкой на отправленные документы стоит позвонить по номерам телефонов государственных органов или финансово-кредитных организаций, указанных на их официальных сайтах, и проверить подлинность полученного документа и достоверность сведений.  При этом следует уточнять совокупность всех сведений. 
Следует помнить, что в случае, когда потерпевший сообщает злоумышленнику о том, что сам перезвонит в государственные органы и финансовые организации для уточнения всей информации по данному вопросу, он может натолкнуться на провокации. Мошенники зачастую путем угроз и недостоверной информации пытаются убедить абонента не делать этого, поскольку якобы может произойти «разглашение определенных сведений, за что действующим законодательством предусмотрена ответственность». Данные заявления не являются правомерными и рассчитаны на запугивание абонента, который может растеряться и отказаться  проверить поступившую информацию и достоверность документов.
Еще раз обращаем внимание граждан: не поддавайтесь уговорам, угрозам и влиянию телефонных мошенников и не переводите денежные средства на указанные ими счета. Сообщайте о таких фактах в органы полиции.
Если звонящий представился сотрудником правоохранительного органа – проверяйте озвученную им информацию по телефонам «горячих линий» соответствующего госоргана. Если мошенник представился сотрудником СУ СК России по Кировской области, вы можете перепроверить информацию, позвонив по телефону 8 (8332) 485-100."
/news/item/1242971/,kirov,В Кирово-Чепецке возбуждено уголовное дело по факту совершения служебных подлогов,['служебный подлог'],04 Апреля 2024,"Следственным отделом по городу Кирово-Чепецк следственного управления Следственного комитета Российской Федерации по Кировской области возбуждены уголовные дела по фактам служебных подлогов в отношении двух сотрудников МКУ «Кирово-Чепецкого Городского Управления Гражданской Защиты», по признакам преступления, предусмотренного ч.1 ст.292 УК РФ (служебный подлог).
По версии следствия, с 23 марта по 14 мая 2018 года начальник поисково-спасательного отряда «Муниципального казенного учреждения «Кирово-Чепецкого Городского Управления Гражданской Защиты», действуя из корыстной заинтересованности, умышленно внес в официальные документы – табеля учёта рабочего времени, заведомо ложные сведения об исполнении своим подчиненным служебных обязанностей в период его отъезда на заработки, как спасателя учреждения. В период с 18 марта по 12 июня 2018 года его заместитель также вносил в табеля учёта рабочего времени заведомо ложные сведения об исполнении своим подчиненным служебных обязанностей в период его отъезда на заработки, как спасателя.
По данным фактам следователями СУ СКР по Кировской области возбуждены два уголовных дела. Следователями проводятся комплекс следственных действий, направленных на установление всех обстоятельств произошедшего. Расследование продолжается."
/news/item/1487409/,kirov,Начальник одного из отделов КОГСАУ «Кировгослесхоз» подозревается в служебном подлоге,['служебный подлог'],29 Марта 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кировской области возбуждено уголовное дело в отношении начальника отдела по лесохозяйственной деятельности КОГСАУ «Кировгослесхоз», подозреваемого в совершении преступления, предусмотренного ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, в 2019 году начальник отдела по лесохозяйственной деятельности КОГСАУ «Кировгослесхоз», используя свое служебное положение, из корыстной заинтересованности, в нарушение требований законодательства о закупках, совершил служебный подлог, внеся недостоверные сведения в официальные документы, согласно которым, одна из компаний победила в аукционена поставку сеянцев деревьев хвойных пород для КОГСАУ «Кировгослесхоз».
Данный факт был выявлен при взаимодействии с сотрудниками Прокуратуры Кировской области в рамках расследования уголовного дела в отношении данного должностного лица, обвиняемого в получении взятки за совершение действий в интересах одной из фирм и других преступлений.
В настоящее время следователи проводят следственные действия, направленные на установление обстоятельств произошедшего, сбор и закрепление доказательственной базы. Расследование продолжается."
/news/item/1825099/,kirov,"Вступил в законную силу приговор бывшему заместителю директора АО «Центральный рынок», признанному виновным в получении взятки","['взятка', 'приговор', 'суд']",22 Марта 2024,"Собранные вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кировской области доказательства признаны судом достаточными для вынесения приговора бывшему заместителю директора АО «Центральный рынок». Он признан виновным в совершении преступлений, предусмотренных ч.6 ст.290 УК РФ (получение взятки в особо крупном размере), ч. 1 ст. 30, ч. 6 ст. 290 УК РФ (приготовление к получению взятки в особо крупном размере.
Установлено, что бывший заместитель генерального директора подведомственного Администрации города Кирова АО «Центральный рынок» получил от индивидуального предпринимателя денежные средства в виде взятки в особо крупном размере за общее покровительство.
Кроме того, он обвинялся в совершении преступления, предусмотренного ч. 1 ст. 30, ч. 6 ст. 290 УК РФ (приготовление к получению взятки в особо крупном размере) за аналогичные действия.
Данные факты были выявлены в ходе оперативно-розыскных мероприятий сотрудниками УФСБ России по Кировской области.
Следователями СК проведен комплекс следственных действий, направленных на установление всех обстоятельств произошедшего.
На основе собранных следователями доказательств суд с учетом мнения государственного обвинителя прокуратуры признал мужчину виновным. Ему назначено наказание в виде 5 лет и 6 месяцев лишения свободы с отбыванием наказания в колонии строгого режима. Приговор вступил в законную силу."
/news/item/1849962/,kirov,В Кирове возбуждено уголовное дело по факту мошенничества и подделки официального документа,['мошенничество'],21 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Кировской областивозбуждено уголовное дело по признакам преступлений, предусмотренных ч. 3 ст. 159 (мошенничество), ч.1 ст. 327 УК РФ (подделка официального документа).
По версии следствия, между одним из колледжей города Кирова и одним из обществ с ограниченной ответственностью был заключен договор на выполнение работ по текущему ремонту кровли учебного корпуса. В процессе работ директор колледжа и директор организации совершили мошенничество, а именно действия по внесению недостоверных сведений, не соответствующих действительности в локальную смету и в акт о приемке выполненных работ, подделав официальный документ, с целью получения материальной выгоды, выраженной в разнице стоимости материалов по сметной стоимости в размере не менее 130 тысяч рублей.
Данный факт был выявлен в ходе прокурорской проверки.
Следователями СК было возбуждено уголовное дело. Проводится  комплекс следственных действий, направленных на установление всех обстоятельств произошедшего."
/news/item/1772366/,kirov,В отношении бывшего директора НКО «Фонд капитального ремонта» возбуждены новые уголовные дела за получение взяток,"['взятка', 'коррупция']",20 Марта 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Кировской области продолжается расследование уголовного дела, возбужденного по материалам УФСБ и УМВД России по Кировской области в отношении бывшего директора НКО «Фонд капитального ремонта», обвиняемого в совершении нескольких преступлений, предусмотренных ч.6 ст. 290 УК РФ (получение взятки в особо крупном размере) и п. «в» ч.5 ст. 290 УК РФ (получение взятки в крупном размере).По версии следствия, бывший директор НКО «Фонд капитального ремонта» лично и через посредников неоднократно получал от представителей обществ с ограниченной ответственностью взятки за заключение договоров между ООО и НКО «Фонд капитального ремонта» на оказание услуг и выполнение работ по капитальному ремонту общего имущества многоквартирных домов на территории Кировской области, беспрепятственную приемку и своевременную оплату выполненных работ в рамках данных договоров.
В ходе следствия на текущий момент выявлены 6 эпизодов его преступной деятельности на общую сумму более 3,9 млн.рублей.
В отношении мужчины избрана мера пресечения в виде заключения под стражу.
Следователи продолжают проводить комплекс следственных действий, направленных на установление всех обстоятельств произошедшего. Оперативное сопровождение оказывают сотрудники УФСБ и УМВД России по Кировской области.
Также следователи просят граждан, обладающих информацией об аналогичных фактах получения обвиняемым взяток, обращаться в следственное управление СК России по Кировской области по телефону: 8 (8332) 485-124.
В том случае, если лицо давшее взятку, активно способствовало раскрытию или расследованию преступления, если имело место вымогательство взятки со стороны должностного лица или если лицо, добровольно сообщило органу, имеющему право возбудить уголовное дело, о даче взятки, то такое лицо в соответствии с примечанием к ст. 291 УК РФ освобождается от уголовной ответственности."
