Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1805024/,kld,В Калининграде вынесен обвинительный приговор бывшему заместителю руководителя Северо-Западного управления государственного автодорожного надзора и его подчиненной,"['взятка', 'приговор']",05 Апреля 2024,"Собранные вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) СУ СК России по Калининградской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему заместителю начальника управления – заместителя главного государственного инспектора Северо-Западного межрегионального управления государственного автодорожного надзора Федеральной службы по надзору в сфере транспорта и экс-заместителю начальника отдела разрешительной и лицензионной деятельности этого же управления.
Заместитель начальника управления признан судом виновным в двух преступлениях, предусмотренных п. 2 «а» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки, совершенное группой лиц по предварительному сговору), и двух преступлениях, предусмотренных ч. 1 ст. 291.2 (получение взятки лично в размере, не превышающем десяти тысяч рублей). Его подчиненная признана виновной в двух эпизодах получения взятки группой лиц по предварительному сговору (п. 2 «а» ч. 5 ст. 290 УК РФ).
Как ранее сообщалось, решение о возбуждении уголовного дела принято следствием на основании материалов, полученных в ходе оперативно-розыскных мероприятий, проведенных УФСБ России по Калининградской области.
Следствием и судом установлено, что заместитель начальника управления курировал деятельность калининградских отделов автотранспортного и автодорожного надзора и международных автомобильных перевозок, а его подчиненная, в свою очередь, организовывала и контролировала работу в сфере оформления и выдачи юридическим лицам разрешительных документов на осуществление международных автоперевозок.
В феврале 2021 года и в феврале 2022 года фигурант получил от представителей двух участников коммерческих международных перевозок грузов взятки в размере 20 тыс. и 14,8 тыс. рублей, взамен на ускорение процедуры проверки соответствия условиям допуска к осуществлению перевозок, а впоследствии 10 тыс. рублей от первой взятки передал сообщнице.
Кроме того, в феврале 2022 года осужденный дважды получил мелкие взятки в сумме 5 тыс. рублей и 3 тыс. рублей от участников международных перевозок за ускорение процедуры проверки полноты и достоверности представленных перевозчиками документов.
Ни на стадии предварительного следствия, ни в суде, фигуранты в полном объеме вину в инкриминируемых преступлениях не признали. Вместе с тем, суд счел собранные следователями регионального управления СКР доказательства достаточными для постановления обвинительного приговора.
Заместителю начальника управления назначено наказание в виде 6 лет 6 месяцев лишения свободы с отбытием в исправительной колонии строгого режима. Заместитель начальника отдела осуждена к 5 годам 6 месяцам лишения свободы с отбытием в исправительной колонии общего режима. Оба также оштрафованы на 50 тыс. рублей каждый.
Кроме того, после освобождения из мест лишения свободы осужденные лишены права занимать должности на государственной службе и в органах местного самоуправления, связанные с осуществлением организационно-распорядительных и административно-хозяйственных полномочий, на 5 лет.
Приговор не вступил в законную силу."
/news/item/1411711/,kld,В Калининграде сотрудник полиции обвиняется в получении взятки,"['взятка', 'полицейский']",21 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Калининградской области расследуется уголовное дело в отношении действующего сотрудника полиции. Капитан полиции обвиняется в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в особо крупном размере).
Решение о возбуждении уголовного дела принято следствием на основании материалов оперативно-разыскных мероприятий, проведенных УФСБ России по Калининградской области.
Следствие полагает, что 7 ноября текущего года 29-летний обвиняемый, являющийся оперуполномоченным отдела экономической безопасности и противодействия коррупции ОМВД России по Центральному району города Калининграда УМВД России по Калининградской области, действуя из корыстных побуждений, получил от гражданина взятку в виде денег в размере 200 тыс. рублей. Взамен на денежное вознаграждение полицейский обещал мужчине вынести постановление об отказе в возбуждении уголовного дела по заявлению о самоуправстве.
В этот же день обвиняемый задержан оперативными сотрудниками УФСБ России по Калининградской области, конверт с деньгами обнаружен и изъят в его личном автомобиле.
В настоящее время полицейский допрошен в качестве подозреваемого, дал признательные показания. Ему предъявлено обвинение. По ходатайству следствия обвиняемому судом избрана мера пресечения в виде домашнего ареста. По уголовному делу выполняется комплекс следственных действий, направленных на закрепление доказательственной базы.
Расследование уголовного дела продолжается."
/news/item/1231361/,kld,В Калининграде по подозрению в мошенничестве задержан действующий сотрудник полиции,"['мошенничество', 'полицейский']",18 Марта 2024,"Следственными органами следственного управления Следственного комитета Российской Федерации по Калининградской области в отношении старшего оперуполномоченного одного из отделений УЭБ и ПК УМВД России по городу Калининграду возбуждено уголовное дело. Майор полиции подозревается в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, совершенное в особо крупном размере).
Решение о возбуждении уголовного дела принято следствием на основании материалов проверки, проведенной сотрудниками УФСБ России по Калининградской области.
По данным следствия, в апреле 2008 года подозреваемый, действуя из корыстных побуждений, представил в администрацию городского округа «Город Калининград» сфальсифицированную справку, о том, что он занимает должность участкового уполномоченного, на основании которой ему была выделена в служебное пользование квартира на улице Пулеметной в областном центре.
В марте 2009 года, продолжая реализацию преступного умысла, полицейский лично изготовил и предоставил в администрацию города Калининграда ходатайство от имени начальника ОВД по Ленинградскому району областного центра о передаче указанной квартиры в безвозмездное пользование подозреваемого, которое властями города было удовлетворено. Квартиру подозреваемый впоследствии продал, получив от сделки деньги в сумме 1,1 млн рублей и распорядившись ими по собственному усмотрению.
В настоящее время подозреваемый задержан, решается вопрос об избрании в отношении него меры пресечения. Следствием проводится комплекс следственных действий, направленных на закрепление доказательственной базы.
Расследование уголовного дела продолжается."
/news/item/1766853/,kld,В Калининграде сотрудники ГИБДД подозреваются во взяточничестве,"['взятка', 'коррупция', 'посредничество']",11 Марта 2024,"Вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) СУ СК России по Калининградской области возбуждено уголовное дело о получении взятки (п. «а» ч. 5 ст. 290 УК РФ), даче взятки (ч. 3 ст. 291 УК РФ) и посредничестве во взяточничестве (ч. 2 ст. 291.1 УК РФ). Фигурантами уголовного дела стали трое сотрудников ГИБДД УМВД России по Калининградской области и двое жителей областного центра.
Решение о возбуждении уголовного дела принято следствием на основании материалов оперативно-розыскных мероприятий, проведенных ОРЧ СБ УМВД России по Калининградской области.
По версии следствия, 8 октября минувшего года 28-летний местный житель управлял автомобилем в состоянии алкогольного опьянения, в чем был уличен сотрудниками отдельного батальона ДПС ГИБДД УМВД России по Калининградской области. Желая избежать привлечения к административной ответственности за совершение указанного правонарушения, калининградец, прибегнув к услугам посредника – своего 43-летнего знакомого, передал одному из сотрудников ГИБДД взятку в размере 60 тыс. рублей.
В настоящее время все пятеро фигурантов задержаны в качестве подозреваемых, допрошены, в отношении всех пятерых судом по ходатайству следствия избрана мера пресечения в виде заключения под стражу.
В ближайшее время всем подозреваемым будет предъявлено обвинение. По уголовному делу продолжается выполнение комплекса следственных действий, направленных на установление всех обстоятельств совершенного преступления и закрепление доказательной базы.
Расследование уголовного дела продолжается."
/news/item/1666144/,kld,В Немане бывший генеральный директор строительной компании предстанет перед судом по обвинению в мошенничестве при выполнении условий муниципального контракта,"['депутат', 'мошенничество']",22 Февраля 2024,"Вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) СУ СК России по Калининградской области завершено расследование уголовного дела в отношении бывшего генерального директора одной из строительных компаний региона, также являющегося депутатом окружного совета депутатов муниципального образования «Советский городской округ». 43-летний предприниматель обвиняется в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана, совершенное лицом с использованием своего служебного положения, в особо крупном размере).
В мае 2019 года муниципальным образованием «Неманский городской округ» в рамках государственной программы Калининградской области «Формирование современной городской среды» и фирмой, возглавляемой обвиняемым заключен муниципальный контракт по благоустройству центральной части города Неман, стоимостью 6,6 млн рублей. В соответствии условиями контракта исполнитель должен был произвести работы по обустройству газона, укладке тротуарной плитки, высадить деревья и кустарники, установить чугунные скамьи и бетонные вазоны в центре Немана.
По версии следствия, обвиняемый, действуя умышленно, из корыстных побуждений, с целью хищения бюджетных средств, организовал выполнение работ в заниженном объеме и с применением материалов, не предусмотренных контрактом, а также изготовление актов о приемке выполненных работ и иной документации, содержащих заведомо ложные сведения о выполнении условий контракта в полном объеме и в соответствии с техническим заданием.
К примеру, по версии следствия, площадь обустроенного газона фактически составила 1261 кв.м, вместо предусмотренных техническим заданием 3046 кв.м., вместо фигурной цветной тротуарной плитки была уложена плитка-кирпичик, меньшей стоимости, использована более дешевая песко-цементная смесь, занижены объемы использованных песка и песчано-гравийной смеси, декоративного гранитного щебня, не были высажены свыше 500 декоративных деревьев и кустарников различных пород, вместо 7 чугунных скамеек установлены стальные меньшей стоимости.
Осенью 2019 года на основании указанных документов, содержащих заведомо ложные сведения, изготовление которых, как полагает следствие, организовано обвиняемым, на расчетный счет возглавляемой им фирмы из бюджета Неманского городского округа необоснованно перечислены денежные средства в размере 4,1 млн рублей за фактически невыполненные работы.
Обвиняемый вину в совершении указанного преступления не признал. Вместе с тем, следователям регионального управления Следственного комитета по уголовному делу собран достаточных объем доказательств: произведены осмотры места происшествия, обыски, выемки, исследована техническая и служебная документация, допрошены свидетели, проведены проверки показаний на месте, получены заключения строительно-технических судебных экспертиз.
В настоящее время сбор доказательств завершен. Уголовное дело с обвинительным заключением, утвержденным прокурором города Неман, направлено в суд для рассмотрения по существу."
/news/item/1836868/,kld,В Калининграде перед судом предстанет сотрудница полиции по обвинению в мошенничестве,"['мошенничество', 'полицейский']",16 Февраля 2024,"Следственным отделом по Московскому району города Калининграда СУ СК России по Калининградской области завершено расследование уголовного дела в отношении 28-летней сотрудницы одного из районных отделов полиции, обвиняемой в совершении преступления, предусмотренного ч. 2 ст. 159 УК РФ (мошенничество, с причинением значительного ущерба гражданину).
По версии следствия, в августе текущего года, обвиняемой стало известно о том, что в Московском районном суде города Калининграда по существу рассматривается уголовное дело, подсудимым по которому является супруг ее знакомой. Руководствуясь корыстными побуждениями, сотрудница полиции ввела их в заблуждение, сообщив, что за денежное вознаграждение в сумме 150 тыс. рублей окажет содействие в назначении мужчине судом наказания, не связанного с лишением свободы. В действительности же, обвиняемая такой возможностью не располагала и намеревалась оставить полученные деньги себе. Факт противоправной деятельности выявлен сотрудниками собственной безопасности УМВД России по Калининградской области. 
Вину в совершении инкриминируемого преступления обвиняемая признала в полном объеме. Следователями регионального управления СКР по уголовному делу собрана достаточная доказательная база. Расследование уголовного дела завершено.
Уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1365357/,kld,В Калининградской области экс-сотрудник Министерства регионального контроля Калининградской области и лже-главный инженер признаны виновными в покушении на мошенничество (видео),"['мошенничество', 'покушение', 'приговор', 'чиновник']",05 Февраля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Калининградской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему ведущему консультанту одного из отделов департамента строительного надзора Министерства регионального контроля (надзора) Калининградской области (далее – Департамент) и его 36-летнему знакомому. Оба мужчины признаны виновными в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 159 УК РФ (покушение на мошенничество, совершенное группой лиц по предварительному сговору, в крупном размере).
Следствием и судом установлено, что летом 2017 года сотрудник Департамента, наделенный должностными полномочиями в сфере архитектурно-строительного надзора, в ходе выездной внеплановой проверки зафиксировал дефекты, допущенные генеральным подрядчиком при строительстве одного из объектов на улице Тихоокеанской в городе Калининграде. Руководствуясь корыстными побуждениями, он вступил со своим знакомым в преступный сговор о хищении денежных средств генерального директора строительной фирмы – генерального подрядчика.
С этой целью, экс-чиновник изготовил запрос о предоставлении сведений о результатах обследования элементов строящегося объекта и направил его в адрес заказчика-застройщика. Достоверно зная, в силу занимаемой должности, что для исполнения запроса генеральному подрядчику потребуется проведение строительной экспертизы, осужденный сообщил потерпевшему о необходимости производства строительной экспертизы в конкретной фирме и назвал ему в качестве специалиста для производства экспертизы, якобы, главного инженера фирмы, а на самом деле – своего знакомого, не являющегося таковым.
Потерпевший, введенный в заблуждение чиновником, обратился к лже-эксперту, который, выполняя свою роль в преступном сговоре, сообщил ему, что стоимость производства экспертизы составит 900 тыс. рублей.
7 июля 2017 года в городе Гурьевске Калининградской области потерпевший передал часть оговоренной суммы в размере 300 тыс. рублей лже-эксперту, а тот, в свою очередь, в этот же день в вечернее время передал деньги экс-чиновнику.
 Распорядиться похищенными деньгами мужчины не смогли, поскольку были задержаны сотрудниками УЭБ и ПК УМВД России по Калининградской области в ходе оперативно-разыскных мероприятий.
По уголовному делу проделан значительный объем работы: допрошены свидетели, изучена необходимая документация, проведены проверки показаний на месте и очные ставки, выполнены иные следственные и процессуальные действия. В целях обеспечения исполнения приговора в части возможной конфискации имущества и штрафа, следствием наложен арест на мотоцикл и автомобиль одного из обвиняемых.
Приговором Гурьевского районного суда экс-чиновнику назначено наказание в виде 2 лет 8 месяцев лишения свободы условно с испытательным сроком 3 года. Второму фигуранту суд назначил наказание в виде 2 лет 5 месяцев лишения свободы условно с испытательным сроком также 3 года.
Приговор в законную силу не вступил."
/news/item/1795350/,kld,В Калининграде инспектор отдела лицензионно-разрешительной работы регионального управления Росгвардии подозревается во взяточничестве,['взятка'],12 Января 2024,"Вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) СУ СК России по Калининградской области в отношении инспектора отдела лицензионно-разрешительной работы управления Росгвардии по Калининградской области возбуждено уголовное дело о получении взятки (ч. 3 ст. 290 УК РФ).
Решение о возбуждении уголовного дела принято следствием на основании материалов оперативно-розыскных мероприятий, проведенных УФСБ России по Калининградской области.
По данным следствия, осенью 2021 года подозреваемый через посредника получил от жителя Калининграда взятку в размере 13 тыс. рублей взамен на продление срока действия разрешений на хранение и ношение двух единиц огнестрельного оружия, а также взамен на непривлечение калининградца к административной ответственности за пропуск срока обращения в подразделение лицензионно-разрешительной работы для продления срока действия разрешений.
В настоящее время инспектор задержан, допрошен в качестве подозреваемого. В Ленинградский районный суд города Калининграда следствием направлено ходатайство об избрании ему меры пресечения в виде заключения под стражу.
41-летний взяткодатель также стал фигурантом указанного уголовного дела. Ему предъявлено обвинение в даче взятки должностному лицу через посредника (ч. 3 ст. 291 УК РФ). В ближайшее время следствие решит вопрос об избрании ему меры пресечения.
По уголовному делу выполняется полномасштабный комплекс следственных действий, направленных на установление всех обстоятельств совершенного преступления.
Расследование уголовного дела продолжается."
/news/item/1455223/,kld,Житель Черняховского района предстанет перед судом по обвинению в даче взятки сотруднику регионального управления ФСБ,"['взятка', 'ФСБ']",10 Января 2024,"Следственным отделом по Ленинградскому району города Калининграда СУ СК России по Калининградской области завершено расследование уголовного дела в отношении 58-летнего жителя Черняховского района. Мужчина обвиняется в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконного бездействия).
Напомним, решение о возбуждении уголовного дела принято следствием по результатам оперативных мероприятий, проведенных отделом собственной безопасности УФСБ России по Калининградской области.
По версии следствия, 14 августа 2019 года, в городе Калининграде, обвиняемый передал взятку в размере 100 тыс. рублей оперативному сотруднику УФСБ России по Калининградской области, спрятав из в пачку из-под сигарет. Взамен на денежное вознаграждение мужчина рассчитывал избежать привлечения к ответственности за незаконную рубку лесных насаждений в Багратионовском районе. Сотрудник ФСБ от получения взятки отказался. Непосредственно после передачи денег мужчина задержан в рамках оперативно-разыскного мероприятия.
Вину в инкриминируемом преступлении мужчина не признал, от дачи показаний по существу предъявленного обвинения отказался. По уголовному делу допрошены свидетели, проведен ряд криминалистических судебных экспертиз, иные следственные действия. Следствием собран достаточный объем доказательств, уголовное дело с утвержденным обвинительным заключением в ближайшее время поступит в суд для рассмотрения по существу."
/news/item/1104498/,kld,Осуждённому за покушение на мошенничество и применение насилия к представителю власти полицейскому г. Советска назначено наказание в виде штрафа,[],10 Января 2024,"Собранные Советским межрайонным следственным отделом регионального следственного управления Следственного комитета РФ доказательства были признаны судом достаточными для вынесения приговора в отношении Петра Чно-Си-Чона, государственного инспектора безопасности дорожного движения регистрационно-экзаменационной группы отдела государственной инспекции безопасности дорожного движения (РЭГ ОГИБДД) МО МВД России «Советский». Сотрудник полиции признан виновным в покушении на мошенничество и в применении насилия к представителю власти.
Предварительным следствием и судом установлено, что 25 июня 2015 года к 35-летнему инспектору РЭГ ОГИБДД обратился инструктор одной из автошкол города Советска с просьбой оказать содействие ученице в положительной сдаче второго этапа практической части государственного экзамена по вождению на получение водительского удостоверения. Сотрудник полиции, достоверно зная, что у данной учащейся автошколы экзамен будет принимать другой инспектор, и он никоим образом не сможет повлиять на результаты сдачи экзамена ученицы, действуя вопреки интересам службы, из корыстных побуждений, заверил инструктора, что за вознаграждение в сумме 10 000 рублей сможет посодействовать решению о положительной сдаче экзамена, намереваясь при этом указанные денежные средства оставить себе. При передаче денег от инструктора автошколы полицейский был задержан оперативниками УФСБ России по Калининградской области в рамках проведения оперативно-розыскного мероприятия.
Следует отметить, что выявление указанного должностного преступления, совершенного сотрудником полиции, стало возможным благодаря слаженной работе УФСБ России по Калининградской области и регионального Управления собственной безопасности МВД России.
Кроме того, 22 сентября 2015 года в рамках расследования уголовного дела в отношении Чно-Си-Чона П. сотрудником УФСБ России по Калининградской области по поручению следствия проводился обыск в жилище обвиняемого, в ходе которого были обнаружены шесть патронов, пригодных для стрельбы из револьвера и пистолета.
В свою очередь обвиняемый, понимая правовые последствия за незаконное хранение боеприпасов, желая уничтожить указанные предметы, оттолкнул оперативного сотрудника УФСБ России по Калининградской области и оказал ему, тем самым, сопротивление.
Действия подсудимого суд квалифицировал по ч. 3 ст. 30 ч. 3 ст. 159 УК РФ, как покушение на мошенничество, то есть умышленные действия лица, непосредственно направленные на хищение чужого имущества путем обмана и злоупотребления доверием, совершенное лицом с использованием своего служебного положения; а также по ч. 1 ст. 318 УК РФ, как применение насилия, не опасного для жизни и здоровья в отношении представителя власти в связи с исполнением им своих должностных обязанностей.
Приговором Советского городского суда Чно-Си-Чон признан виновным в совершении вышеуказанных преступлений. Ему назначено наказание в виде штрафа в размере 120 000 рублей.
При назначении наказания суд учел характер и степень общественной опасности совершенных преступлений, личность подсудимого, обстоятельства, смягчающие наказание, влияние назначенного наказания на исправление осужденного и на условия жизни его семьи.
К обстоятельствам, смягчающим наказание подсудимого, суд отнес наличие на иждивении у него двоих малолетних детей.
Приговор в законную силу не вступил, поскольку обжалуется стороной защиты."
