Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1139976/,komi,Преподаватель Ухтинского государственного технического университета подозревается в совершении коррупционного преступления,[],17 Апреля 2024,"Следственным отделом по г.Ухта СУ СК России по Республике Коми возбуждено уголовное дело в отношении преподавателя Ухтинского государственного технического университета, подозреваемой в получении взятки за незаконные действия (ч.3 ст.290 УК РФ).
По данным следствия в марте 2016 года преподаватель получила от студентов нескольких групп в качестве взятки денежное вознаграждение на общую сумму 260 тысяч рублей (деньги перечислялись на банковский счет) за выставление положительных оценок по своему предмету без фактического проведения зачета.
Оперативное сопровождение по уголовному делу осуществляют сотрудники отдела по борьбе с экономическими преступлениями и противодействию коррупции местного отдела полиции.
Фигурантка написала явку с повинной и в ходе допроса в качестве подозреваемой признала вину в совершенном преступлении. В отношении нее избрана мера пресечения в виде подписки о невыезде и надлежащем поведении. Расследование уголовного дела продолжается."
/news/item/1268448/,komi,Бывший начальник департамента Пенсионного фонда Российской Федерации и его заместитель признаны виновными в совершении коррупционного преступления,"['взятка', 'деньги', 'коррупция', 'чиновник']",12 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Коми доказательства признаны судом достаточными для вынесения приговора бывшему начальнику Департамента капитального строительства и имущественных отношений Пенсионного фонда Российской Федерации Сергею Рыжкову и его бывшему заместителю Игорю Кондратенко. Они признаны виновными в получении взятки, совершенном группой лиц по предварительному сговору, в особо крупном размере (ч.6 ст.290 УК РФ).
Следствием и судом установлено, что в 2013 году Отделение Пенсионного фонда РФ в Республике Коми провело аукцион, по результатам которого с ООО «РЭЙТ» был заключен государственный контракт купли-продажи здания для нужд Отделения в г.Ухте стоимостью более 165 миллионов рублей. Рыжков и Кондратенко, действуя группой лиц по предварительному сговору, согласно ранее достигнутой договоренности с одним из собственников здания, содействовали решению вопроса о выделении денежных средств на приобретение здания, а также заключению и исполнению государственного контракта. За это они потребовали от собственника и представляемых им лиц денежное вознаграждение в размере 18 миллионов рублей. В течение 2015-2016 годов обвиняемые получили в качестве взятки часть от общей суммы в размере 8 миллионов рублей. Дальнейшая передача денег проходила под контролем сотрудников ФСБ России. В июле 2017 года после получения 4,5 миллионов рублей был задержан привлеченный фигурантами посредник, а в последующем – с поличным Кондратенко и Рыжков. Всего фигуранты получили в виде взятки 12,5 миллионов рублей от общей суммы в размере 18 миллионов рублей. 
Приговором суда подсудимым назначено наказание: Рыжкову – в виде 10 лет лишения свободы с отбыванием в исправительной колонии строгого режима со штрафом в размере 180 миллионов рублей и с лишением права занимать определенные должности в течение 12 лет; Кондратенко – в виде 5 лет лишения свободы с отбыванием в исправительной колонии общего режима со штрафом в размере 36 миллионов рублей и лишением права занимать определенные должности в течение 5 лет. Также судом принято решение о конфискации у подсудимых полученных в качестве взятки денежных средств.
Приговор не вступил в законную силу."
/news/item/1622975/,komi,"Бывшему руководителю администрации Главы Республики Коми, обвиняемому  в мошенничестве в особо крупном размере, избрана мера пресечения",['мошенничество'],10 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Коми предъявлено обвинение бывшему первому заместителю председателя правительства Республики Коми - руководителю администрации Главы Республики Коми Михаилу Порядину в совершении преступления, предусмотренного ч.4 ст.159 УК РФ (мошенничество, совершенное группой лиц по предварительному сговору, с использованием своего служебного положения, в особо крупном размере).
Уголовное дело возбуждено на основании материалов, собранных сотрудниками регионального УФСБ России.
По данным следствия, в 2018-2020 годах фигурант, действуя группой лиц по предварительному сговору с иными лицами, похитил денежные средства, поступившие на счета благотворительного Фонда содействия развитию волонтерского движения и патриотического воспитания молодежи «Патриот», на общую сумму не менее 85 миллионов рублей. 
В отношении обвиняемого по ходатайству следователя судом избрана мера пресечения в виде заключения под стражу.
Расследование уголовного дела продолжается при оперативном сопровождении сотрудников УФСБ России по Республике Коми."
/news/item/1458477/,komi,В Ухте осуждена бывший работник коммерческой организации за совершение коррупционных преступлений,['коммерческий подкуп'],09 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Коми доказательства признаны судом достаточными для вынесения приговора бывшей сотруднице одного из предприятий. Она признана виновной в незаконном получении лицом, выполняющим управленческие функции в коммерческой организации, денег за совершение действий в интересах дающего, если указанные действия  входят в служебные полномочия такого лица, в особо крупном и значительном размере (ч.ч.6,8 ст.204 УК РФ).
Следствием и судом установлено, что в 2015-2017 годах фигурантка, получив от индивидуального предпринимателя более 1,86 миллиона рублей, доводила до руководства организации, в которой выполняла функции специалиста отдела материально-технического снабжения, заведомо ложную информацию о выгодности договорных отношений с указанным коммерсантом, при этом скрывая информацию о явном завышении цен на поставляемые в рамках договорных отношений товары.
Кроме того, в 2014 году обвиняемая получила от руководителя общества с ограниченной ответственностью, поставлявшего химические реактивы и оборудование, денежные средства в сумме более 56 тысяч рублей за предпочтительное направление в адрес указанной организации заявок на заключение договоров поставки. 
Приговором суда подсудимой назначено наказание в виде штрафа в размере 2,5 млн. рублей с лишением права занимать определенные должности в течение 5 лет. Приговор не вступил в законную силу."
/news/item/1218184/,komi,К семи годам лишения свободы приговорен директор Сыктывкарского филиала аптечной сети за коммерческий подкуп в особо крупном размере,"['коммерческий подкуп', 'приговор']",28 Марта 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Коми доказательства признаны судом достаточными для вынесения приговора директору Сыктывкарского филиала ООО «Ригла». Он признан виновным в коммерческом подкупе, совершенном в особо крупном размере (ч.8 ст.204 УК РФ).
Следствием и судом установлено, что в 2016 году фигурант в процессе приобретения аптечного бизнеса в Ухте предпринял действия, направленные на получение от руководителей организаций, занимающийся реализацией лекарственных средств, в качестве коммерческого подкупа денежных средств на общую сумму более 1,9 миллиона рублей за переуступку прав и обязанностей по договорам аренды занимаемых аптеками помещений. Для придания законности движению денежных средств были привлечены сторонние организации, с которыми заключены фиктивные договоры на проведение ремонтно-отделочных работ. После перечисления первой части денежных средств в размере 270 тысяч рублей по заявлению одной из потерпевших  незаконная деятельность фигуранта была поставлена правоохранительными органами под контроль и в последующем пресечена, в связи с чем оставшуюся часть коммерческого подкупа в виде денежных средств он получить не смог.
Приговором суда подсудимому назначено наказание в виде 7 лет лишения свободы с отбыванием в исправительной колонии строгого режима со штрафом в размере 3,9 млн. рублей. Кроме того, подсудимый лишен права заниматься определенной деятельностью сроком на 2 года. Приговор не вступил в законную силу."
/news/item/1669200/,komi,В Сыктывкаре по подозрению в коммерческом подкупе задержаны сотрудники строительной организации,['коммерческий подкуп'],14 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Коми по материалам, собранным сотрудниками Управления экономической безопасности и противодействия коррупции регионального МВД, возбуждено уголовное дело в отношении сотрудников строительной организации, подозреваемых в коммерческом подкупе (ст.204 УК РФ).
По данным следствия, в 2020 году компания, в которой работали фигуранты, взяла по контракту на себя обязательства по капитальному строительству объекта «Расширение республиканского Тентюковского дома-интерната для престарелых и инвалидов». Действуя группой лиц по предварительному сговору, фигуранты получили от представителя организации-субподрядчика не менее 240 тысяч рублей в качестве незаконного денежного вознаграждения за совершение действий в интересах организации, в том числе, способствование приемки работ, их своевременную оплату и т.д.
В настоящее время подозреваемые задержаны, в отношении них решается вопрос об избрании меры пресечения.
По уголовному делу следователями СК при оперативном сопровождении сотрудников регионального МВД проводятся следственные и процессуальные действия, направленные на закрепление доказательственной базы."
/news/item/1752001/,komi,Бывший руководитель Деревянского участкового лесничества осужден за совершение коррупционных преступлений,"['взятка', 'приговор']",05 Февраля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Коми совместно с УФСБ России по Республике Коми доказательства признаны судом достаточными для вынесения приговора бывшему руководителю Деревянского участкового лесничества ГУ РК ""Усть-Куломское лесничество"". Он признан виновным в получении взяток в значительном и крупном размере(ст. 290 УК РФ – 2 эпизода).
Следствием и судом установлено, что в 2015-2021 годах фигурант получил от двух индивидуальных предпринимателей, осуществлявших лесозаготовительную деятельность, незаконное денежное вознаграждение за совершение действий в пользу ИП, а именно, положительное решение вопросов, связанных с выделением интересующих земельных участков с лесными насаждениями, заключением договоров купли-продажи лесных насаждений, подписанием актов приемки лесных участков по окончанию рубки. Предпринимателям оказывалось общее покровительство их деятельности, они не подвергались проверкам. В общей сложности подсудимый получил в качестве взятки более 400 тысяч рублей.
Приговором суда подсудимому назначено наказание в виде 8 лет лишения свободы с отбыванием в исправительной колонии строгого режима со штрафом в размере 2 000 000 рублей. Также подсудимый лишен права заниматься деятельностью, связанной с осуществлением организационно-распорядительных и административно-хозяйственных полномочий в государственных и муниципальных учреждениях, сроком на 5 лет. Приговор не вступил в законную силу."
/news/item/1481973/,komi,В Сыктывкаре осужденный признан виновным в даче взятки сотруднику исправительного учреждения,"['взятка', 'коррупция', 'приговор', 'противодействие']",02 Февраля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Коми  доказательства признаны судом достаточными для вынесения приговора 29-летнему  гражданину  Республики Таджикистан. Он признан виновным в даче взятки должностному лицу за совершение незаконных действий (ч.3 ст.291 УК РФ).
Следствием и судом установлено, что в апреле 2019 года фигурант, отбывающий наказание в ФКУ ИК-25 УФСИН России по Республике Коми, попросил сотрудника колонии за взятку пронести на территорию колонии мобильный телефон. Сотрудник в установленном порядке сообщил об этом руководству, и в последующем события стали происходить под контролем оперативных служб. В мае денежные средства  в размере 11 200 рублей были перечислены на банковскую карту сотрудника. После получения мобильного телефона и комплектующих к нему фигурант был задержан, запрещенные предметы изъяты.
В ходе расследования обвиняемый признал вину по предъявленному обвинению.
Приговором суда подсудимому назначено наказание в виде 2 лет 9 месяцев лишения свободы с отбыванием в исправительной колонии строгого режима со штрафом в размере 56 тысяч рублей.
Приговор не вступил в законную силу."
/news/item/1713180/,komi,Врач Воркутинской больницы скорой медицинской помощи признан виновным в мелком взяточничестве,"['взятка', 'приговор', 'служебный подлог']",19 Декабря 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Коми доказательства признаны судом достаточными для вынесения приговора врачу Воркутинской больницы скорой медицинской помощи. Он признан виновным в мелком взяточничестве (ч.1 ст.291.2УК РФ) и служебном подлоге (ч.1 ст.292 УК РФ).
Следствием и судом установлено, что в мае 2021 года фигурант через посредников получил от местного жителя незаконное денежное вознаграждение в размере, не превышающем десяти тысяч рублей, за оформление листка временной нетрудоспособности с внесением в него заведомо недостоверных данных о наличии у гражданина заболевания, влекущего освобождение от трудовой деятельности.
Приговором суда подсудимому назначено наказание в виде штрафа в доход государства в размере 100 тысяч рублей. Приговор не вступил в законную силу."
/news/item/1807217/,komi,Перед судом предстанет житель Троицко-Печорского района по обвинению в даче взятки,['взятка'],18 Декабря 2023,"Троицко-Печорским подразделением следственного отдела по г.Сосногорск СУ СК России по Республике Коми завершено расследование уголовного дела в отношении 54-летнего местного жителя, обвиняемого в даче взятки должностному лицу за совершение заведомо незаконных действий (ч.3 ст.291 УК РФ). Уголовное дело возбуждено по материалам, собранным сотрудниками региональных УФСБ и МВД.
По данным следствия, фигурант, не сумевший несколько раз сдать в установленном порядке экзамен на право управления транспортным средством категории В, обратился к сотруднику ГИБДД с предложением за взятку оказать ему необходимое содействие в сдаче экзамена и получении водительского удостоверения. Правоохранитель доложил руководству, и с этого момента ситуацию под контроль взяли оперативные службы. В один из дней апреля обвиняемый, находясь в служебном кабинете сотрудника ГИБДД, передал ему 30 тысяч рублей в качестве незаконного денежного вознаграждения за совершение заведомо незаконных действий в интересах взяткодателя. Преступление было зафиксировано и пресечено сотрудниками вышеуказанных ведомств.
Следователем собрана доказательственная база, и уголовное дело направлено в суд для рассмотрения по существу."
