Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1172144/,kostroma,В Костромской области осуждены бывшие работники лесничества за получение взяток,[],12 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Костромской области доказательства признаны судом достаточными для вынесения приговора двум бывшим работникам  ОГКУ «Поназыревское лесничество». Они признаны виновными в совершении двух преступлений, предусмотренных п. «а» ч. 5 ст. 290 УК РФ (получение должностным лицом в группе лиц по предварительному сговору лично взятки в виде денег в значительном размере за незаконное бездействие в пользу взяткодателя).
Следствием и судом установлено, что в 2015-2016 годах участковый лесничий и государственный инспектор по охране леса дважды получили от директора коммерческого предприятия взятки в суммах 90 и 50 тысяч рублей за незаконное бездействие в пользу взяткодателя, а именно за возможность завершения лесозаготовительных работ за пределами установленного лесной декларацией срока и без привлечения его к установленной законом ответственности.
Приговором суда осужденным назначено наказание в виде штрафа в размере 350 тысяч рублей и 3 миллиона рублей соответственно, а также обоим назначено дополнительное наказание в виде лишения права занимать должности в государственных и муниципальных органах власти сроком на 3 года."
/news/item/1137760/,kostroma,Бывший глава сельского поселения признан виновным в совершении должностных преступлений,[],08 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Костромской области доказательства признаны судом достаточными для вынесения приговора в отношении  бывшего главы одного из сельских поселений Октябрьского муниципального района Костромской области. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 160 УК РФ (растрата, совершенная лицом с использованием своего служебного положения) и ч. 1 ст. 293 УК РФ (халатность).
Следствием и судом достоверно установлено, что глава сельского поселения, будучи привлеченным к ответственности в виде штрафа за совершение административного правонарушения, предусмотренного ст.12.34 КоАП РФ (несоблюдение требований по обеспечению безопасности дорожного движения при ремонте и содержании дорог), дал незаконное указание главному бухгалтеру оплатить указанный штраф из средств бюджета сельского поселения.
Также весной 2011 года чиновник, действуя вопреки своим должностным обязанностям и интересам службы, предоставил своему родственнику жилое помещение, достоверно зная, что тот на учете в качестве нуждающегося в получении жилья не состоит, впоследствии родственник главы поселения зарегистрировал право собственности на квартиру.
В результате совершения незаконных действий главы поселения были существенно нарушены охраняемые законом интересы граждан, общества и государства.
С учетом тяжести и опасности совершенного преступления, данных о личности осужденного, приговором суда чиновник осужден к 2 годам 6 месяцам лишения права занимать определенные должности и заниматься определенной деятельностью."
/news/item/1721426/,kostroma,В Костроме водитель автомобиля предстанет перед судом по обвинению в покушении на дачу взятки сотрудникам полиции,"['взятка', 'покушение']",08 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Костромской области завершено расследование уголовного дела в отношении ранее судимого 44-летнего местного жителя, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично в виде денег, в значительном размере, за совершение заведомо незаконного бездействия).
По версии следствия, ночью 13 мая 2022 года на улице в городе Костроме инспекторы ГИБДД остановили автомобиль под управлением водителя, находившегося в состоянии алкогольного опьянения. Желая избежать привлечения к установленной законом ответственности, обвиняемый, держа в руках несколько денежных купюр, предложил сотрудникам полиции взятку в сумме 60 тысяч рублей, за не составление в отношении него протокола об административном правонарушении. Довести свой преступный умысел до конца обвиняемый не смог по независящим от него обстоятельствам, поскольку правоохранители отказались от получения взятки, предупредив нарушителя о незаконности его действий и уголовной ответственности за них. Преступные действия обвиняемого были пресечены и задокументированы, в ходе проведенного расследования установлено, что он ранее был лишен водительских прав, неоднократно привлекался к ответственности за совершение административных правонарушений в области дорожного движения и имеет судимость за совершение преступления, предусмотренного ч. 1 ст.264.1 УК РФ.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с обвинительным заключением направлено в суд для рассмотрения по существу.
При полном или частичном использовании материалов сайта ссылка на следственное управление СК России по Костромской области обязательна."
/news/item/1137766/,kostroma,В Костромской области бывший преподаватель университета признан виновным в 52 эпизодах получения взятки,[],04 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Костромской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшего доцента кафедры финансов и бухгалтерского учета Федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Костромской государственный университет имени Н.А. Некрасова». Он признан виновным в совершении 52 преступлений, предусмотренных ч. 1 ст. 291.2 УК РФ (получение взятки лично в размере, не превышающем десяти тысяч рублей).
Следствием и судом достоверно установлено, что 43-летний преподаватель, являясь членом государственной экзаменационной комиссии для проведения государственного итогового экзамена по специальности «Финансы и кредит», действуя из корыстных побуждений, в один из дней мая-июня 2015 года получил от 52 студентов 3 курса университета взятку в виде денег в размере 2 тысячи рублей с каждого, а в общей сумме 104 тысячи рублей за принятие государственного экзамена по указанной специальности при предварительном распределении между студентами экзаменационных билетов для подготовки каждого студента по конкретному экзаменационному билету, то есть без проведения надлежащей оценки их знаний и уровня профессиональной подготовки.
После получения осужденным данных денежных средств указанной группой студентов был успешно сдан государственный экзамен по специальности «Финансы и кредит», в ходе которого они отвечали на вопросы заранее выбранных ими экзаменационных билетов и получили положительные оценки («отлично» и «хорошо»).
Приговором суда бывшему преподавателю университета назначено наказание в виде штрафа в размере 150 тысяч рублей."
/news/item/1724121/,kostroma,В Костроме женщина предстанет перед судом по обвинению в покушении на дачу взятки и управление автомобилем в состоянии опьянения,"['взятка', 'покушение', 'собранные доказательства']",20 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Костромской области завершено расследование уголовного дела в отношении 31-летней жительницы г.Костромы, обвиняемой в совершении преступлений, предусмотренных ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение заведомо незаконных действий), ч. 1 ст. 264.1 УК РФ (управление автомобилем лицом, находящимся в состоянии опьянения, подвергнутым административному наказанию за управление транспортным средством в состоянии опьянения).
По версии следствия, 11 июня 2022 года обвиняемая, будучи ранее лишенной водительских прав за управление транспортным средством в состоянии опьянения, вновь управляла автомобилем в состоянии алкогольного опьянения и была остановлена сотрудником ГИБДД на улице в городе Костроме. При этом женщина, имея явные признаки алкогольного опьянения, отказалась выполнять законное требование инспектора о прохождении медицинского освидетельствования. Кроме того, обвиняемая, была привлечена к ответственности за совершение административного правонарушения в области дорожного движения с назначением наказания в виде обязательных работ, исполнительное производство по данному материалу было поручено судебному приставу. В июне 2022 года обвиняемая предложила судебному приставу за взятку прекратить исполнительное производство без фактического отбытия ею назначенного наказания. Судебный пристав отказался, сообщив руководству о факте склонения должностного лица к коррупционному преступлению. 1 июля 2022 года обвиняемая в кабинете судебного пристава попыталась передать ему взятку в виде денег в сумме 15 тысяч рублей. Однако довести свой преступный умысел до конца обвиняемая не смогла по независящим от нее обстоятельствам, в связи с проведением оперативно-розыскного мероприятия, в ходе которого предмет взятки был обнаружен и изъят оперативными сотрудниками.   
Вину в совершении инкриминируемых ей преступлений обвиняемая признала полностью, в содеянном раскаивается.  Следователем в отношении обвиняемой избрана мера пресечения в виде подписки о невыезде и надлежащим поведении.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с обвинительным заключением направлено в суд для рассмотрения по существу.
При полном или частичном использовании материалов сайта ссылка на следственное управление СК России по Костромской области обязательна."
/news/item/1825114/,kostroma,В Костромской области глава городского округа обвиняется в получении взятки в особо крупном размере (ВИДЕО),"['взятка', 'коррупция']",18 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Костромской области возбуждено уголовное дело в отношении главы городского округа город Шарья Костромской области, подозреваемого в совершении преступления, предусмотренного ч. 6  ст. 290 УК РФ (получение главой органа местного самоуправления взятки в особо крупном размере).
По версии следствия, в 2022-2023г.г. главой городского округа г. Шарья осуществлялся контроль за исполнением договорных обязательств по муниципальному контракту на строительство физкультурно-оздоровительного комплекса в г. Шарье, заключенного с коммерческой организацией в рамках реализации мероприятий национального проекта «Демография». В ходе личной встречи глава и представитель подрядчика договорились об увеличении стоимости работ по контракту и о принятии мер к дополнительному выделению бюджетных средств. При этом также была достигнута договоренность о передаче главе городского округа незаконного вознаграждения в размере 2 миллионов  рублей. В сентябре 2023 года глава городского округа обеспечил подготовку и подписал документ, касающийся обязательства выделения дополнительных денежных средств. 16 сентября 2023 года в городе Костроме при передаче должностному лицу части оговоренной суммы взятки в размере 1 миллиона рублей он был задержан сотрудниками УФСБ России по Костромской области. Оставшуюся часть взятки он намеревался получить после подписания дополнительного соглашения об изменении условий муниципального контракта в части увеличения его стоимости.
Главе городского округа г. Шарья предъявлено обвинение в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ, он задержан, следствие ходатайствует об избрании в отношении него меры пресечения в виде заключения под стражу.
Следователем регионального СК при оперативном сопровождении УФСБ России и УМВД по Костромской области проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Ход расследования находится на контроле руководителя следственного управления.
При полном или частичном использовании материалов сайта ссылка на следственное управление СК России по Костромской области обязательна."
/news/item/1486968/,kostroma,В Костромской области возбуждено уголовное дело о мошенничестве при ремонте в зданиях Волгореченского промышленного техникума,['мошенничество'],22 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Костромской области на основании материалов, представленных УФСБ России по Костромской области, возбуждено уголовное дело в отношении 42-летнего жителя города Волгореченска, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения).
По версии следствия, в 2019 году подозреваемый, занимая должность директора ОГБПОУ «Волгореченский промышленный техникум», используя свое служебное положение, умышленно, из корыстной заинтересованности, заключил два договора на оказание услуг по ремонту кровли спортивного зала и водоснабжения, водоотведения и электропроводки в общежитии техникума с коммерческой организацией, в которой он фактически являлся единственным учредителем и директором. Впоследствии, достоверно зная, что работы по ремонту выполнены не в полном объеме и не соответствуют предъявляемому качеству, он подписал два акта выполненных работ, после чего денежные средства в общей сумме более 400 тысяч рублей были перечислены на счет принадлежащей ему фирмы. Согласно данным, представленным Департаментом образования и науки Костромской области по результатам служебной проверки техникума, оплата по вышеуказанным договорам на сумму почти 136 тысяч рублей произведена без фактического проведения ремонтных работ.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается.
При полном или частичном использовании материалов сайта ссылка на следственное управление Следственного комитета Российской Федерации по Костромской области обязательна."
/news/item/1553888/,kostroma,В Костромской области ужесточен приговор бывшему чиновнику за получение взятки,"['взятка', 'коррупция', 'приговор', 'чиновник']",20 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Костромской области было расследовано и направлено в суд уголовное дело в отношении бывшего заместителя главы администрации городского округа город Волгореченск Костромской области. Он был осужден по ч. 6  ст. 290 УК РФ (получение взятки в особо крупном размере) к штрафу в размере 4,5 миллиона рублей  с лишением права занимать должности на государственной службе и в органах местного самоуправления сроком на 5 лет.
Органами предварительного следствия установлено, что чиновник, используя свое должностное положение при осуществлении контроля за надлежащим выполнением работ в рамках заключенного с коммерческой организацией при реализации федерального проекта «Оздоровление Волги» в рамках Национального проекта «Экология» и государственной программы «Рациональное использование природных ресурсов и охрана окружающей среды Костромской области на 2014 – 2020 годы» муниципального контракта на выполнение работ по реконструкции канализационных очистных сооружений в городе Волгореченске, потребовал от представителя подрядной организации взятку в размере 5% от суммы муниципального контракта, то есть в размере более 33 миллионов рублей. 2 апреля 2020 года при передаче чиновнику на автодороге Кострома - Волгореченск части оговоренной суммы взятки в размере 1,5 миллиона рублей он был задержан сотрудниками УФСБ России по Костромской области вместе с полученными деньгами.
Апелляционным определением Костромского областного суда осужденному назначено наказание с применением положений ст. 64 УК РФ в виде 4 лет лишения свободы с отбыванием в колонии строгого режима. Осужденный взят под стражу в зале суда.
При полном или частичном использовании материалов сайта ссылка на следственное управление Следственного комитета Российской Федерации по Костромской области обязательна."
/news/item/1112501/,kostroma,Возбуждено уголовное дело по факту получения взятки  сотрудником УФСИН по Костромской области,[],20 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Костромской области возбуждено уголовное дело по факту получения взятки сотрудником Управления Федеральной службы исполнения наказаний по Костромской области, по признакам преступления, предусмотренного ч. 2 ст. 290 УК РФ (получение должностным лицом взятки в значительном размере).
По версии следствия, начальник одного из отделов исправительного учреждения города Костромы действуя из корыстных побуждений, с целью извлечения личной имущественной выгоды, в период с 08 августа 2016 года по 15 сентября 2016 года, используя свои должностные полномочия, согласовал документы о результатах маркетингового исследования и о необходимости заключения государственного контракта с определенным обществом с ограниченной ответственности на поставку автоматических выключателей для нужд учреждения, за что получил в качестве взятки через своего знакомого денежные средства в размере не менее 31 тысячи рублей, что является  значительным размером.  
Проводятся следственные действия, направленные на объективное установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1669210/,kostroma,В Костроме возбуждено уголовное дело о получении взятки,"['взятка', 'коррупция']",14 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Костромской области на основании материалов, представленных УМВД России по Костромской области, возбуждено уголовное дело в отношении должностного лица МУП г.Кострома «Костромагорводоканал», подозреваемой в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки в значительном размере).
По версии следствия, в  марте 2022 года должностное лицо получило от местного жителя взятку в виде денежных средств в размере 50 тысяч рублей за создание фиктивной проектной документации от имени проектной организации на подключение к централизованным сетям водоснабжения и водоотведения нежилого помещения в городе Костроме и ее согласование в муниципальном учреждении.
Подозреваемая задержана следователем СУ СК России по Костромской области в порядке ст.ст. 91, 92 УПК РФ.
В настоящее время проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается.
При полном или частичном использовании материалов сайта ссылка на следственное управление СК России по Костромской области обязательна."
