Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1707155/,krk,"В Красноярске перед судом предстанет начальник отдела реализации арестованного, конфискованного и иного  имущества МТУ Росимущества по уголовному делу о получении взяток",['взятка'],12 Января 2024,"Вторым управлением по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) ГСУ СК России по Красноярскому краю и Республике Хакасия завершено расследование уголовного дела о получении взяток должностными лицами МТУ Росимущества в Красноярском крае, Республике Хакасия и Республике Тыва.
Уголовное дело возбуждено на основании материалов, представленных УФСБ России по Красноярскому краю.
По данным следствия, в период с 2018 по 2021 год обвиняемый, действуя в составе группы лиц с должностными лицами МТУ Росимущества, получил от представителей коммерческих организаций частями взятку в виде денег на общую сумму более 4 миллионов 300 тысяч рублей за обеспечение заключения с МТУ Росимущества государственных контрактов на право реализации арестованного имущества.
В ходе следствия обвиняемый вину не признал, в отношении него избрана мера пресечения в виде заключения под стражу.  
Уголовное дело вместе с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1141300/,krk,На Таймыре бывший руководитель КГБУ «Таймырское лесничество» подозревается в злоупотреблении должностными полномочиями,[],24 Октября 2023,"Следственными органами Следственного комитета Российской Федерации по Красноярскому краю  возбуждено уголовное дело в отношении бывшего  руководителя КГБУ «Таймырское лесничество», подозреваемого  в совершении  преступления, предусмотренном  ч. 1 ст. 285 (злоупотребление должностными полномочиями) УК РФ.
По версии следствия, в период с мая по октябрь 2016  года руководитель КГБУ «Таймырское лесничество» направлял  подчиненного ему участкового  лесничего для ловли рыбы, которую затем использовал в личных целях. Сотрудник в это время не находился на своем рабочем месте, однако, ему своевременно была  начислена заработная плата в размере около 100 тысяч рублей, поскольку руководитель дал указание протабелировать подчиненного. В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего, изъята финансово-хозяйственная документация. Расследование уголовного дела продолжается."
/news/item/1502516/,krk,В Железногорске бывший руководитель городского управления образования обвиняется  в получении взятки в особо крупном размере,[],20 Октября 2023,"В производстве ГСУ СК России по Красноярскому краю и Республике Хакасия находится уголовное дело в отношении на данный момент уже бывшего руководителя городского управления образования администрации города Железногорска, обвиняемого в совершении преступления, предусмотренного  ч. 6 ст. 290 УК РФ (получение должностным лицом взятки в особо крупном размере).
По предварительной версии следствия, в период с   2016-го по июль 2019 года руководитель МКУ «Управление образования» получил разными частями взятку на общую сумму более 2,8 миллиона рублей от предпринимателя за оказание ему помощи при участии в конкурсной процедуре, для дальнейшего заключения с ним договоров на поставку продуктов питания в муниципальные дошкольные образовательные учреждения, расположенные на территории ЗАТО Железногорск Красноярского края.
Полученными в качестве взятки денежными средствами  обвиняемый распорядился по своему усмотрению.
 
В настоящее время в отношении обвиняемого избрана мера пресечения в виде домашнего ареста. Расследование уголовного дела продолжается."
/news/item/1603234/,krk,В Саяногорске местный житель предстанет перед судом по обвинению в покушении на дачу взятки сотруднику полиции,"['взятка', 'деньги']",04 Сентября 2023,"Следственным отделом по городу Саяногорску ГСУ СК России по Красноярскому краю и Республике Хакасия завершено расследование уголовного дела в отношении 35-летнего жителя Саяногорска. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст.30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично за совершение заведомо незаконного бездействия). 
По данным следствия, 20 июня 2021 года сотрудники ОППСП ОМВД России по городу Саяногорску на одной из улиц в Заводском микрорайоне города остановили автомобиль «ВАЗ-2114» за нарушение правил маневрирования.
В ходе проверки документов полицейские заподозрили, что у водителя имеются признаки алкогольного опьянения. Они отстранили мужчину от управления транспортным средством. Обвиняемый попытался «решить вопрос на месте» и с целью уклонения от административной ответственности за несообщение в отделение полиции об инциденте предложил одному из полицейских деньги в сумме 20 тысяч рублей, после чего был предупрежден об уголовной ответственности за дачу взятки.
Продолжая реализацию преступного умысла, находясь в служебном автомобиле, мужчина за незаконное бездействие со стороны полицейских - несообщение ими в отдел полиции города Саяногорска о произошедшем инциденте положил денежные средства в сумме 20 тысяч рублей в качестве взятки под стояночный тормоз служебного автомобиля представителей власти. Действия нарушителя были пресечены сотрудниками полиции.
В рамках расследования уголовного дела проведен комплекс следственных и процессуальных действий, позволивших установить все обстоятельства совершенного преступления.
В ближайшее время уголовное дело вместе с утверждённым обвинительным заключением будет направлено в суд для рассмотрения по существу."
/news/item/1141227/,krk,В Свердловском районе бывшая заведующая детским садом подозревается в злоупотреблении должностными полномочиями,[],25 Августа 2023,"Следственными органами Следственного комитета Российской Федерации по Красноярскому краю  возбуждено уголовное дело в отношении заведующей детским садом по признакам  преступления, предусмотренного  ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями). По предварительной версии следствия,  в октябре 2013 года к заведующей обратилась женщина, которая желала устроить своего ребенка в детский сад без направления отдела образования города Красноярска. Заведующая согласилась взять ребенка с дополнительной оплатой ежемесячно в сумме 1 400 рублей. С декабря 2013 по май 2014 года заведующая незаконно получила от матери ребенка 5 000 рублей.  В настоящее время проводится комплекс необходимых следственных действий, направленных на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1179558/,krk,В Красноярске заведующая женской консультации подозревается в получении взятки,[],17 Апреля 2023,"Следственными органами Следственного комитета Российской Федерации по Красноярскому краю возбуждено уголовное дело в отношении заведующей женской консультации №1 КГБУЗ «Красноярский межрайонный родильный дом №2», подозреваемой в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки за незаконные действия).
По предварительной версии следствия, подозреваемая находясь в своем служебном кабинете, получила от знакомой взятку в сумме 15 тысяч рублей за незаконную  выдачу листка нетрудоспособности без проведения медицинского осмотра и фактического оказания медицинских услуг.
В настоящее время устанавливаются все обстоятельства совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1477457/,krk,В Красноярском крае перед судом предстанут бывший главный врач и бывшая главная медсестра КГБУЗ «Красноярский краевой клинический центр охраны материнства и детства»,['взятка'],21 Июля 2022,"Следственными органами Следственного комитета Российской Федерации по Красноярскому краю и Республике Хакасия завершено расследование уголовного дела в отношении бывшего главного врача КГБУЗ «Красноярский краевой клинический центр охраны материнства и детства» Павлова А.В. и бывшей главной медсестры указанного медицинского учреждения, обвиняемых в совершении двух  преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение должностным лицом взятки, совершенное организованной группой в особо крупном размере), пяти преступлений, предусмотренных п.п. «а», «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки, совершенное организованной группой в крупном размере), двух преступлений, предусмотренных п. «а» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки, совершенное организованной группой в значительном размере), а также ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По предварительной версии следствия в период с января 2014-го по декабрь 2017 года  главный врач КГБУЗ «Красноярский краевой клинический центр охраны материнства и детства» и главная медсестра указанного медицинского учреждения, являясь должностными лицами, действуя в составе организованной группы, согласно распределенным ролям, лично и через посредника получили взятки и части от общей суммы взяток в виде денежных средств на сумму от 10 до  750 тысяч рублей, всего более 4,3 миллиона рублей,  от представителей медицинских компаний  Красноярска и Новосибирска за совершение действий в интересах данных компаний при заключении государственных контрактов и договоров на поставку изделий медицинского назначения. Данные преступления были выявлены сотрудниками УФСБ России по Красноярскому краю.
В настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1485971/,krk,В Красноярском крае  две чиновницы и два предпринимателя задержаны по подозрению в махинациях с жильем для сирот (видео),[],20 Июля 2022,"Следственными органами Следственного комитета Российской Федерации по Красноярскому краю и Республике Хакасия по результатам рассмотрения материалов, поступивших из УФСБ по Красноярскому раю, возбуждено уголовное дело в отношении исполняющей обязанности директора муниципального казенного учреждения «Управление имуществом, землепользования и землеустройства» администрации Балахтинского района Красноярского края и исполняющей обязанности директора отдела по правовым и кадровым вопросам администрации Балахтинского района. Они подозреваются  в совершении преступлений, предусмотренных, пп. «а», «в» ч. 5 ст. 290 УК РФ (получение взятки), а также двух предпринимателей, подозреваемых в совершении преступления, предусмотренного пп. «а», «б» ч. 4 ст. 291 УК РФ (дача взятки).
По предварительной версии следствия, в период с 1 января по 31 декабря 2019 года два предпринимателя обратились к чиновницам   с просьбой о передаче им аукционной документации по обеспечению жилыми помещениями детей-сирот и детей, оставшихся без попечения родителей.  
После получения  от чиновниц параметров требуемого жилого помещения предприниматели  проводили мониторинг газет, а также объявлений в интернет-ресурсах на предмет покупки жилых помещений в разных населенных пунктах Балахтинского района.  После нахождения подходящих вариантов от собственников жилых помещений  оформлялась нотариальная доверенность у нотариуса на имя одного из подозреваемых  предпринимателей, дающая право представления интересов собственников.
После этого  предприниматели согласовывали с чиновницами техническое состояние жилого помещения, придавали ему вид благоустроенности для того, чтобы оно соответствовало техническому заданию аукционной документации. 
В случае поступления заявок от иных представителей  чиновницы их отклоняли по формальным основаниям, создавая  условия для признания заявок поданных их знакомыми предпринимателями победителями аукционов по максимальной начальной цене. В среднем стоимость покупаемых предпринимателями домов составляла от 150 до 350 тысяч рублей, а реализовывались они  на аукционе за  1,1 миллиона рублей, таким образом в результате своей преступной деятельности в 2019 году злоумышленники заработали около восьми миллионов рублей, передав сотрудницам администрации взятку на общую сумму 250 тысяч рублей. 
 В настоящее время все четверо фигурантов задержаны при силовой поддержке Росгвардии, обе чиновницы дают признательные показания и раскаиваются в содеянном, предприниматели от дачи показаний отказались. Следствие в ближайшее время выйдет в суд с ходатайством об избрании в отношении них меры пресечения в виде заключения под стражу. Расследование уголовного дела продолжается."
/news/item/1697497/,krk,В Курагинском районе специалист администрации сельсовета подозревается в мошенничестве,['мошенничество'],20 Июля 2022,"Курагинским межрайонным следственным отделом ГСУ СК России по Красноярскому краю и Республике Хакасия возбуждено уголовное дело в отношении главного бухгалтера одного из сельсоветов Курагинского района Красноярского края. Она подозревается в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения, в особо крупном размере).
По версии следствия, в период с января 2017 по апрель 2021 года главный бухгалтер сельсовета, действуя из корыстных побуждений, используя свое служебное положение, производила незаконное начисление себе заработной платы сверх установленной трудовым договором, а также производила незаконные начисления по договорам гражданско-правового характера, заключенным с несуществующими фирмами, на ремонт дорожной сети. Похищенными денежными средствами бухгалтер распорядилась по своему усмотрению.
В результате незаконных действий подозреваемой бюджету сельсовета причинен ущерб в размере более 4 миллионов рублей.
В настоящее время по делу выполняются необходимые следственные действия, направленные на выяснение всех обстоятельств совершенного преступления, сбор и закрепление доказательств. Расследование уголовного дела продолжается."
/news/item/1193000/,krk,В Канске перед судом предстанет бывший  сотрудник МЧС  по обвинению в получении взятки и превышении должностных полномочий,[],19 Июля 2022,"Главным  следственным управлением Следственного комитета Российской Федерации по Красноярскому краю завершено  расследование уголовного  дела  по обвинению бывшего  начальника  отдела надзорной деятельности по городу  Канску и Канскому району  управления надзорной деятельности и профилактической работы Главного управления МЧС России по Красноярскому краю  в совершении преступлений, предусмотренных ч. 1 ст. 286 (превышение должностных полномочий), п.п. «б», «в» ч. 5 ст. 290 (получение взятки) УК РФ.
Следствием установлено,  что  в декабре 2016 года обвиняемый,  за совершение им действий, входящих в его должностные обязанности, получил для обеспечения деятельности возглавляемого им отдела услуги имущественного характера.  Кроме того, в апреле 2016 года, обвиняемый на территории города  Канска  путем вымогательства лично получил взятку в крупном размере в виде денег в размере 200 000 рублей от гражданина КНР за непривлечение к административной ответственности организации, осуществляющей деревообрабатывающую деятельность. Обвиняемому была избрана мера пресечения в виде заключения под стражу, свою вину в ходе следствия он не признал.
В настоящее время  уголовное дело с утвержденным обвинительным заключением  направлено в суд для рассмотрения по существу."
