Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1454392/,kurgan,Жалоба заместителя начальника УМВД России по Курганской области об избрании ему по ходатайству следственных органов меры пресечения в виде заключении под стражу оставлена без удовлетворения,[],04 Мая 2024,"Судебной коллегией по уголовным делам Курганского областного суда 08 апреля 2020 года по результатам рассмотрения апелляционной жалобы следственно-арестованного заместителя начальника УМВД России по Курганской области принято решение об отказе в ее удовлетворении.
Высокопоставленные должностные лица органов внутренних дел были задержаны 20 марта текущего года по подозрению в совершении должностного коррупционного преступления. Заместитель начальника УМВД России по Курганской области, начальник МО МВД России «Шадринский» УМВД России по Курганской области, главный бухгалтер указанного отдела полиции и два подчиненных ей бухгалтера в зависимости от роли каждого обвиняются в совершении преступлений, предусмотренных ч.4 ст.159 УК РФ (мошенничество, совершенное с использованием своего служебного положения, организованной группой, в особо крупном размере).
23 марта 2020 года Курганским городским судом по мотивированным ходатайствам следователя заместитель начальника УМВД России по Курганской области, начальник МО МВД России «Шадринский» УМВД России по Курганской заключены под стражу сроком на 2 месяца. В отношении главного бухгалтера указанного отдела полиции и подчиненного ей сотрудника судом избрана мера пресечения в виде домашнего ареста.
Расследование  уголовного дела продолжается, проводится комплекс следственных действий и оперативно-розыскных мероприятий, направленных на установление иных эпизодов преступной деятельности обвиняемых,  а также  возможных  соучастников  преступлений.
 Первый отдел по расследованию особо важных дел"
/news/item/1730952/,kurgan,Житель Петуховского района подозревается в даче взятки должностному лицу,['взятка'],27 Апреля 2024,"Макушинским межрайонным следственным отделом СУ СК России по Курганской области возбуждено уголовное дело в отношении 50-летнего жителя горда Петухово. Мужчина подозревается в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки).
По данным следствия, вечером 5 октября текущего года нетрезвый мужчина, управлявший личным автомобилем в состоянии алкогольного опьянения, был задержан на одной из улиц города Петухово. За непривлечение к административной ответственности за допущенные административные правонарушения водитель автомобиля предложил сотрудникам полиции денежное вознаграждение в размере 30 тысяч рублей. Инспекторы ДПС от незаконного предложения и получения денежных отказались и передали сообщение о противоправных действиях водителя в правоохранительные органы.
В настоящее время следователем проводятся мероприятия, направленные на закрепление доказательств по уголовному делу, в ближайшее время мужчине будет предъявлено обвинение в совершении указанного преступления. По данному факту ведется следствие."
/news/item/1664784/,kurgan,"Перед судом предстанет бывший глава Катайского района, обвиняемый в превышении должностных полномочий при приобретении квартир для детей-сирот","['должностное лицо', 'превышение полномочий']",25 Апреля 2024,"Следственными органами СУ СК России по Курганской области завершено расследование уголовного дела в отношении бывшего главы Катайского района, обвиняемого в совершении преступления, предусмотренного п.«в» ч.3 ст.286 УК РФ (превышение должностных полномочий с причинением тяжких последствий).
Согласно материалам дела, в 2015 году обвиняемый, являясь главой района, организовал приобретение у индивидуального предпринимателя 12 квартир в реконструированном из административного здания многоквартирном жилом доме с целью обеспечения жильем граждан из числа детей-сирот и детей, оставшихся без попечения родителей. При этом предоставленные впоследствии сиротам квартиры не соответствовали предъявляемым санитарно-техническим требованиям. В результате действий обвиняемого бюджету муниципального образования причинен ущерб в размере более 8 миллионов рублей.
В настоящее время по делу собрана достаточная доказательственная база, в связи с чем обвинительное заключение утверждено. В ближайшее время уголовное дело по существу рассмотрит суд.
 
Катайский межрайонный следственный отдел"
/news/item/1739180/,kurgan,"Вынесен приговор суда в отношении бывшего генерального директора предприятия по добыче урановых руд АО «Далур», признанного виновным в совершении коррупционных преступлений",['приговор'],16 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Курганской области доказательства признаны судом достаточными для вынесения судом приговора в отношении бывшего генерального директора Акционерного Общества «Далур». Бывший руководитель предприятия признан виновным в совершении преступлений, предусмотренных ч.1 ст.285, п.«в» ч.5 ст.290 УК РФ (злоупотребление должностными полномочиями, получение взятки в крупном размере).
По версии следствия, в 2016 году осужденный, занимая должность генерального директора Акционерного Общества «Далур», являясь лицом, выполняющим управленческие функции и используя свое должностное положение, получил от руководителя подрядной организации взятку в сумме 700 тысяч рублей за содействие в заключении договора подряда на выполнение технических работ на одном из месторождений и оплату в полном объеме. Кроме того, зная, что подрядчиком произведена частичная поставка оборудования, осуждённый произвел расчет по договору в полном объеме, причинив ущерб принадлежащему государству предприятию на сумму около 7 миллионов рублей. В последующем директор принял меры к сокрытию данного факта подчиненными ему сотрудниками. В ходе следствия осужденный возместил ущерб, причинённый предприятию.
Приговором суда осужденному назначено наказание в виде 7 лет 6 месяцев лишения свободы в исправительной колонии строгого режима со штрафом в размере 2 миллионов 100 тысяч рублей, с лишением права занимать должности, связанные с выполнением организационно-распорядительных и административно-хозяйственных функций в государственных органах, органах местного самоуправления, государственных и муниципальных учреждениях, унитарных предприятиях и иных организациях с участием Российской Федерации на 5 лет.
Приговор суда в законную силу не вступил."
/news/item/1717174/,kurgan,В Шадринске вынесен обвинительный приговор членам организованной преступной группы под руководством бывшего заместителя начальника УМВД России по Курганской области,"['полицейский', 'превышение полномочий', 'приговор', 'присвоение']",12 Апреля 2024,"фото Половниковой Л.С.            

Собранные следственными органами Следственного комитета Российской Федерации по Курганской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшим заместителю начальника УМВД России по Курганской области, начальнику и бухгалтеру-кассиру МО МВД России «Шадринский» УМВД России по Курганской области. В зависимости от участия и роли каждого они признаны виновными в совершении преступлений, предусмотренных ч.4 ст.160, ч.2 ст.290, ч.2 ст.291, ч.1 ст.286, ч.2 ст.174.1 УК РФ (присвоение, совершенное организованной группой, в особо крупном размере; дача и получение взятки; превышение должностных полномочий; легализация денежных средств в крупном размере).
По версии  следствия, в период с 2012 по февраль 2020 года один из обвиняемых, занимая должности  начальника  ОМВД  России по г.Шадринску, а с 2017 года заместителя начальника УМВД России по Курганской области организовал и возглавил  преступную группу по хищению денежных средств путем  их присвоения из начисляемых сотрудникам МО МВД России «Шадринский» денежного довольствия, премий и иных выплат. Начальник МО МВД России ""Шадринский"", пользуясь покровительством вышестоящего обвиняемого и злоупотребляя своими должностными полномочиями, требовал от своих подчиненных передачи ему части выданных им премий. Бухгалтер-кассир также принимала участие в присвоении наличных денежных средств личного состава отдела полиции, выдавая сотрудникам заработную плату не в полном размере. Присвоенные денежные средства распределялись между участниками преступной группы, которые тратились на личные увеселительные мероприятия, приобретение дорогостоящих ювелирных изделий, в том числе на улучшение своих жилищно-бытовых условий.
Всего за время нахождения в занимаемых должностях обвиняемыми было присвоено таким образом не менее 53,5 миллионов рублей. Денежные средства в размере 2 миллионов рублей заместитель начальника УМВД легализовал, открыв вклад на указанную сумму в банке на одну из своих родственниц.
Кроме того, в ходе следствия установлено, что в декабре 2019 года начальник районного отдела полиции лично организовал доставку в служебный кабинет заместителя начальника УМВД приобретенных за счет незаконно собранных с подчиненных денежных средств подарочных наборов, спиртных напитков и продуктов питания на общую сумму не менее 118 тысяч рублей в качестве взятки за его общее покровительство и попустительство допускаемым в отделе полиции нарушениям служебной дисциплины.
Расследованием уголовного дела занимались следователи первого отдела по расследованию особо важных дел регионального следственного управления во взаимодействии с оперативными сотрудниками УФСБ России по Курганской области.
В ходе предварительного следствия во взаимодействии с оперативными сотрудниками УФСБ России по Курганской области в марте 2020 года заместитель начальника УМВД России по Курганской области и начальник МО МВД России «Шадринский» УМВД России по Курганской области были задержаны и заключены под стражу. В отношении бухгалтера-кассира указанного отдела полиции судом по ходатайству следствия избрана мера пресечения в виде домашнего ареста.
Ранее, обвинительные приговоры были вынесены сотрудникам бухгалтерии указанного  отдела полиции.
Приговором Шадринского районного суда осужденному бывшему заместителю начальника УМВД России по Курганской области назначено наказание в виде 12 лет лишения свободы в исправительной колонии строгого режима, с лишением права занимать должности, связанные с государственной службой на 3 года, а также уплатой штрафа в сумме 3 миллиона рублей. Кроме того, он лишен специального звания полковника внутренней службы. 
Осужденному бывшему начальнику МО МВД России «Шадринский» УМВД России назначено наказание в виде 10 лет лишения свободы в исправительной колонии строгого режима, с лишением права занимать должности, связанные с государственной службой на 3 года, а также уплатой штрафа в сумме 1 миллиона рублей. Он также лишен специального звания полковника внутренней службы. 
Сотруднику бухгалтерии назначено наказание в виде 5 лет лишения свободы в исправительной колонии общего режима, с лишением права занимать должности, связанные с государственной службой на 2 года.
Более того, с подсудимых солидарно взыскана сумма ущерба,  причиненного  в результате хищений.
Приговор  в законную силу не вступил.




оперативное видео"
/news/item/1614977/,kurgan,В Кургане врачу одного из медицинских учреждений предъявлено обвинение в получении взятки,[],11 Апреля 2024,"Следственными органами СК России по Курганской области врачу одного из областных лечебных учреждений предъявлено обвинение в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение взятки).  
По данным следствия, в 2019 году через посредников врач получила не менее чем от 10 призывников взятку за выдачу медицинского заключения о наличии заболевания, освобождающего от прохождения воинской службы, которых у призывников фактически не было.
Личность медработника установлена в результате оперативно-розыскных мероприятий сотрудниками ОЭБ и ПК УМВД России по г. Кургану
Свою вину в совершении инкриминируемого преступления врач признала. Во взаимодействии с оперативными сотрудниками регионального УМВД России проводится комплекс следственных действий и оперативно-розыскных мероприятий, направленных на установление иных возможных эпизодов преступной деятельности обвиняемой. Расследование продолжается.
 
Первый отдел по расследованию особо важных дел"
/news/item/1539341/,kurgan,"Следственными органами возбуждено уголовное дело в отношении бывшего Главы из одного районов области, подозреваемого в совершении должностного преступления",[],10 Апреля 2024,"Следственным органами следственного управления Следственного комитета Российской Федерации по Курганской области возбуждено уголовное дело в отношении бывшего Главы Администрации одного из районов Курганской области. Бывший чиновник подозревается в совершении преступления, предусмотренного п.«в» ч.5 ст.290 УК (получение взятки).
По версии следствия, в период 2018 – 2020 годов подозреваемый, являясь Главой Администрации района, с целью незаконного личного обогащения и улучшения своего финансового благосостояния, используя свое должностное положение по решению вопросов местного значения, получил от представителей одной из коммерческих организаций взятку в виде автомобиля «ТОЙОТА КАМРИ», которую использовал в личных целях. При этом в ходе следствия установлено, что взятка предназначалась за общее покровительство деятельности данной организации и ее коммерческих интересов на территории возглавляемого района.
Уголовное дело возбуждено на основании материалов УЭБ и ПК регионального УМВД. В настоящее время следствием устанавливаются обстоятельства совершенного преступления. Расследование уголовного дела продолжается.
 
Куртамышский межрайонный следственный отдел"
/news/item/1700605/,kurgan,В Кургане за совершение коррупционных должностных преступлений осуждена врач одного из медицинских учреждений,"['взятка', 'приговор']",05 Апреля 2024,"Собранные следственными органами СКР по Курганской области доказательства признаны судом достаточными для вынесения приговора в отношении врача одного из областных лечебных учреждений. Женщина признана виновной в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение взятки) и девяти преступлений, предусмотренных ч.1 ст.291.2 УК (мелкое взяточничество).
Установлено, что в 2019-2020 годах, являясь заведующей отделения медицинского учреждения, врач через посредников получила не менее чем от 9 призывников взятки за выдачу медицинских заключений о наличии заболеваний, освобождающих от прохождения воинской службы, которых у призывников фактически не было. Личность медработника была установлена в результате совместных следственно-оперативных мероприятий, проведенных следователями СК и сотрудниками ОЭБ и ПК УМВД России по г.Кургану.
Свою вину в совершении инкриминируемых преступлений врач признала.
Приговором суда осужденной назначено в виде лишения свободы на срок 2 года условно с испытательным сроком 2 года, с лишением права занимать должности, связанные с осуществлением организационно-распорядительных и административно-хозяйственных функций в государственных и муниципальных медицинских учреждениях на срок 2 года.
Приговор суда в законную силу не вступил."
/news/item/1539893/,kurgan,Следственными органами завершено расследование уголовного дела в отношении бывшего начальника Главного управления МЧС России по Курганской области,[],02 Апреля 2024,"фото из материалов уголовного дела             

Следственным управлением СКР по Курганской области завершены следственные действия по уголовному делу в отношении бывшего начальника Главного управления МЧС России по Курганской области Олега Рожкова. С учетом совокупности собранных в ходе следствия доказательств бывшему начальнику Главного управления МЧС России по Курганской области Олегу Рожкову по результатам расследования уголовного дела предъявлено обвинение в совершении преступлений, предусмотренных п.«в» ч.3 ст.286 УК РФ (превышение должностных полномочий, с причинением тяжких последствий), ч.3 ст.159 (мошенничество, совершенное лицом с использованием своего служебного положения,) и двух преступлений, предусмотренных ч.1 ст.285 УК РФ (злоупотребление должностными полномочиями).
 
Как сообщалось ранее, в марте - апреле 2018 года обвиняемый, являясь председателем комиссии по приемке заказанной продукции в рамках государственного оборонного заказа на поставку робототехнического оборудования для нужд МЧС России, достоверно зная о существенных недостатках техники и невозможности ее приемки, действуя умышленно, явно превышая предоставленные ему полномочия, организовал приемку робототехнических средств и составление фиктивных актов о соответствии их техническим условиям к государственному контракту, которые лично подписал и представил к последующей оплате в МЧС России. На основании представленных Рожковым заведомо ложных документов МЧС России необоснованно перечислило поставщику более 56,5 миллионов рублей бюджетных средств, что повлекло существенное нарушение прав и законных интересов общества и государства, причинение тяжких последствий в виде оплаты непригодных к эксплуатации робототехнических средств и невозможности их использования спасательными подразделениями МЧС России.
Также установлено, что в период с февраля 2019 по февраль 2020 Рожков незаконно использовал в своих личных целях специализированную и спасательную технику, состоящую на вооружении ГУ МЧС России по Курганской области, что повлекло невозможность ее применения в течение длительного времени для нужд возглавляемой им организации. Квадроцикл, снегоход и многочисленная дорогостоящая строительная техника использовались обвиняемым для досуга и при возведении его жилого дома.
Кроме того в ходе следствия достоверно установлено, что в сентябре 2019 года Рожков, желая избежать снижения ему денежного содержания в связи с истечением срока временного исполнения служебных обязанностей начальника ГУ МЧС России по Курганской области, сообщил главному бухгалтеру ГУ МЧС России по Курганской области недостоверную информацию о своем дальнейшем назначении на указанную должность и, путем обмана и злоупотребления доверием, убедил ее и руководство Главного управления безосновательно начислять и осуществлять ему выплаты по ранее занимаемой должности. Похищенными на протяжении нескольких месяцев денежными средствами в общей сумме не менее 128 тысяч рублей Рожков распорядился по своему усмотрению.
В 2018 году Олег Рожков, не желая тратить свои личные средства для покупки дорогостоящих мобильных телефонов, неоднократно давал незаконные указания о их приобретении за счет средств подведомственного учреждения. Впоследствии гаджеты, стоимостью более 160 тысяч рублей, передавались в его личное пользование. Данными телефонами обвиняемый пользовался вплоть до изъятия в рамках расследования данного уголовного дела.
В ходе следствия во взаимодействии с оперативными сотрудниками УФСБ России по Курганской области в марте 2020 года Олег Рожков был задержан и заключен под стражу.
В настоящее время обвиняемый и его адвокат, в соответствии с требованиями ст.217 УПК РФ, приступили к ознакомлению с материалами уголовного дела.
 
Первый отдел по расследованию особо важных дел"
/news/item/1878076/,kurgan,"Следственным отделом по городу Шадринску завершено расследование уголовного дела в отношении женщины, обвиняемой в даче взятки",['взятка'],22 Февраля 2024,"Следственным отделом по городу Шадринску следственного управления Следственного комитета Российской Федерации по Курганской области завершено расследование уголовного дела в отношении жительницы Ханты-Мансийского автономного округа – Югра, 1989 года рождения. Женщина обвиняется в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий).
По версии следствия, желая незаконно получить свидетельство по профессии «водитель автомобиля категории «В»», обвиняемая, действуя через посредников, передала денежные средства мастеру производственного обучения профессионального колледжа. При этом взятка была предназначена за совершение заведомо незаконных действий в пользу обвиняемой, а именно за сдачу квалификационного экзамена без фактического прохождения обучения и явки, а также за последующую выдачу женщине свидетельства о прохождении профессионального обучения.
На основании полученного свидетельства о прохождении обучения обвиняемая впоследствии получила допуск к сдаче экзаменов в подразделениях Госавтоинспекции и впоследствии водительское удостоверение на управление автомобилем, которые в ходе следствия были изъяты и приобщены к материалам дела.
Расследование уголовного дела в отношении преподавателя колледжа продолжается.
В настоящее время следствие завершено, обвинительное заключение утверждено, дело направлено в суд для рассмотрения по существу."
