Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1506528/,kursk,"В Курске возбуждено уголовное дело в отношении заместителя руководителя Центрально-Черноземного межрегионального Управления Росприроднадзора Галины Писаревой и ее подчиненного -   бывшего начальника отдела государственного экологического надзора Андрея Мальцева,  подозреваемых в получении взятки группой лиц по предварительному сговору, в крупном размере","['взятка', 'коррупция', 'чиновник']",03 Мая 2024,"Следственными органами Следственного комитета Российской Федерации по Курской области по материалам УФСБ России по Курской области возбуждено уголовное дело в отношении заместителя руководителя Центрально-Черноземного межрегионального Управления Росприроднадзора Галины Писаревой и ее подчиненного - бывшего начальника отдела государственного экологического надзора Андрея Мальцева, подозреваемых в совершении преступления, предусмотренного п.п. «а», «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки, совершенное группой лиц по предварительному сговору в крупном размере).
По версии следствия, с 22 января 2020 года по 18 февраля 2020 года заместитель руководителя Центрально-Черноземного межрегионального Управления Росприроднадзора Галина Писарева и ее подчиненный - бывший начальник отдела государственного экологического надзора Андрей Мальцев, действуя группой лиц по предварительному сговору, преследуя корыстную цель, получили от генерального директора ООО «Экотекс», занимающейся производством трикотажного полотна, взятку в размере 800 000 рублей за совершение незаконных действий, выразившихся в не привлечении организации к административной ответственности за совершение административного правонарушения, предусмотренного ч. 1 ст. 7.3 КоАП РФ – (пользование недрами без лицензии на пользование недрами), а также за общее покровительство.
В настоящее время подозреваемые задержаны, решается вопрос об избрании им меры пресечения. По делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления.
Кроме того, следственными органами возбуждено уголовное дело в отношении взяткодателя - генерального директора ООО «Экотекс» по признакам преступления, предусмотренного п. «б» ч.4 ст.291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий  в крупном размере).
оперативное видео"
/news/item/1486552/,kursk,В Мантуровском районе мужчина подозревается в покушении на дачу взятки сотруднику полиции,"['взятка', 'коррупция', 'полицейский']",08 Апреля 2024,"Солнцевским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Курской области возбуждено уголовное дело в отношении 58-летнего мужчины, подозреваемого в совершении преступления, предусмотренного ч.3 ст.30, ч.1 ст.291.2 УК РФ (покушение на дачу взятки).
По версии следствия, 23 июля 2020 года  примерно в 17 часов  подозреваемый, являясь водителем одной из организаций, находясь на участке автомобильной дороги Мяснянка-Бурцевка Мантуровского района, намеревался совершить хищение дизельного топлива из бака автомобиля КАМАЗ, на котором он работал, однако указанные действия были обнаружены и пресечены сотрудником отделения ГИБДД отделения МВД России по Мантуровскому району.
Затем, в указанное время, подозреваемый, не желая быть привлеченным к административной ответственности за мелкое хищение, передал полицейскому в качестве взятки денежные средства в сумме 500 рублей.
Однако сотрудник полиции от взятки отказался и сообщил о произошедшем в дежурную часть районного отделения полиции.
В настоящее время по делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование продолжается."
/news/item/1455208/,kursk,"В Золотухинском районе возбуждено уголовное дело в отношении мужчины, подозреваемого в даче взятки сотруднику полиции","['взятка', 'полицейский']",08 Апреля 2024,"Золотухинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Курской области возбуждено уголовное дело в отношении 30-летнего мужчины, подозреваемого в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки).
По версии следствия, 13 марта 2020 года в дневное время подозреваемый, не желая быть привлеченным к административной ответственности по ч.1 ст. 12.26 КоАП РФ - «Невыполнение водителем транспортного средства требования о прохождении медицинского освидетельствования на состояние опьянения», находясь служебном кабинете ОГИБДД ОМВД России по Золотухинскому району, расположенном в поселке Золотухино, лично передал начальнику ОГИБДД ОМВД России по Золотухинскому району в качестве взятки денежные средства в сумме 20 000 рублей за сокрытие, фальсификацию и не направление административного материала, ранее составленного в отношении подозреваемого, для рассмотрения в суд.
Полицейский от взятки отказался, сообщив о произошедшем в дежурную ОМВД России по Золотухинскому району.
В настоящее время по делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления, а также закрепления доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1441959/,kursk,"В Медвенском районе мужчина, подозревается в покушении на дачу взятки сотруднику дорожно-патрульной службы","['взятка', 'коррупция']",29 Февраля 2024,"Курским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Курской области возбуждено уголовное дело в отношении 45-летнего мужчины, подозреваемого в совершении преступления, предусмотренного ч.3 ст.30, ч.1 ст.291.2 УК РФ (покушение на дачу взятки).
По версии следствия, 16 февраля 2020 года в ночное время автомобиль под управлением подозреваемого был остановлен сотрудниками ДПС в поселке Медвенка. В ходе проверки у водителя было выявлено состояние алкогольного опьянения, в связи с чем он был доставлен отдел полиции для составления административного материала. Находясь в служебном кабинете ОГИБДД отделения МВД России по Медвенскому району, подозреваемый   понимая, что в отношении него, управлявшего в состоянии алкогольного опьянения автомобилем, будет составлен административный материал,  передал инспектору ДПС в качестве взятки денежные средства в сумме 3 400 рублей за не привлечение к административной ответственности.
Однако инспектор ДПС от взятки отказался и сообщил о произошедшем в дежурную часть районного отделения полиции.
В настоящее время по делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления, а также закрепления доказательственной базы. Расследование продолжается."
/news/item/1852651/,kursk,Бывшие сотрудники ДПС признаны виновными в получении взятки,"['взятка', 'приговор']",27 Февраля 2024,"Собранные первым отделом по расследованию особо важных дел следственного управления СКР по Курской области доказательства признаны судом достаточными для вынесения приговора двум бывшим сотрудникам ДПС. Они признаны виновными в получении взятки (п. «а» ч. 5 ст. 290 УК РФ).
Следствием и судом установлено, что 25 мая 2023 года осужденными был остановлен автомобиль под управлением девушки, употребившей накануне алкогольные напитки. Сотрудники ДПС в ходе разговора с ней попросили пройти в служебный автомобиль, где достигли договоренности о передаче взятки в размере 20 000 руб. за то, чтобы не составлять протокол об административном правонарушении.
В дальнейшем противоправная деятельность вышеуказанных должностных лиц была пресечена ОРЧ СБ УМВД России по Курской области.
Приговором суда мужчинам назначено наказание в виде штрафа с лишением права занимать определенные должности сроком на 3 года. Бывшие сотрудники полиции лишены специальных званий."
/news/item/1723248/,kursk,В Курской области преподаватель образовательной организации  подозревается в получении взятки,"['взятка', 'коррупция']",21 Февраля 2024,"По версии следствия, 31 марта 2021 года подозреваемая, находясь в здании учебного заведения, расположенного на Советской площади г. Суджа, предложила студенту за денежное вознаграждение оказать содействие в подготовке выпускной квалификационной работы, а также в защите этой работы за взятку в размере 15 000 рублей.
Студент, согласившись на указанное предложение, передал лично часть указанной суммы подозреваемой, оставшуюся часть перевел на банковскую карту подозреваемой.
В настоящее время по делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1254788/,kursk,За совершение служебных подлогов и получение взятки осужден бывший налоговый инспектор,"['взятка', 'приговор', 'служебный подлог']",26 Января 2024,"Собранные Золотухинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Курской области доказательства признаны судом достаточными для вынесения приговора бывшему старшему государственному налоговому инспектору отдела выездных проверок Межрайонной ИФНС России № 5 по Курской области. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки) и ч. 2 ст. 292 УК РФ (служебный подлог).
Следствием и судом установлено, что налоговый инспектор, действуя из личной заинтересованности, выраженной в желании искусственно повысить свои показатели выявленных административных правонарушений, вносил заведомо ложные сведения в протоколы об административном правонарушении в отношении индивидуальных предпринимателей. Выявлено 17 фактов, когда в отношении предпринимателей обвиняемым составлялись фиктивные административные протоколы о торговле товарами при отсутствии установленной информации либо неприменение контрольно-кассовой техники. Предприниматели были вынуждены оплачивать административный штраф, поскольку налоговый инспектор грозил им проблемами в осуществлении их предпринимательской деятельности. Кроме того, осужденный днем 6 сентября 2016 года в магазине, расположенном на улице Железнодорожной поселка Золотухино, лично получил от индивидуального предпринимателя в качестве взятки 11 тысяч рублей за несоставление в отношении владелицы торговой точки протокола об административном правонарушении за отсутствие в магазине кассового аппарата, а также за общее покровительство в осуществлении дальнейшей коммерческой деятельности.
Приговором суда бывшему налоговому инспектору назначено наказание в виде 4 лет лишения свободы с отбыванием в исправительной колонии общего режима, со штрафом в размере 110 тысяч рублей, с лишением права 3 года занимать должности в налоговых органах."
/news/item/1674750/,kursk,В Курске сотрудник полиции подозревается в совершении мошеннических действий,"['мошенничество', 'сотрудник']",22 Января 2024,"Фото: СУ СК России по Курской области            

Следственным отделом по Центральному административному округу г. Курска следственного управления Следственного комитета Российской Федерации по Курской области по материалам оперативно-розыскных мероприятий проводимых сотрудниками УФСБ России по Курской области возбуждено уголовное дело в отношении оперуполномоченного ОУР Железнодорожного ОП УМВД России по г. Курску, подозреваемого в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, совершенное с использованием служебного положения).
Установлено, что в период с 04.04.2022 по 12.04.2022, подозреваемому от ранее ему знакомого местного жителя стало известно о проведении в отношении последнего сотрудниками УМВД России по Курской области оперативно-розыскных мероприятий.
После этого, подозреваемый, действуя умышленно, из корыстных побуждений, в ходе разговора с указанным лицом, вводя его в заблуждение, сообщил об имеющейся у него возможности решить указанный вопрос при условии передачи через него высокопоставленным должностным лицам УМВД России по Курской области взятки в размере 2 200 000 рублей.
Мужчина, убежденный подозреваемым относительно наличия у него возможности решить указанный вопрос ответил согласием, договорившись о том, что названная сумма взятки будет передана частями.
После чего, 12.04.2022, подозреваемый, находясь в салоне автомобиля, припаркованного на участке по адресу: г. Курск, ул. Гремяченская, получил от ранее знакомого часть оговоренной суммы денежных средств в размере 400 000 рублей, и договорился с ним о встрече для передачи оставшейся суммы денежных средств.
Затем, 14.04.2022, в дневное время, подозреваемый, находясь в салоне автомобиля, припаркованного на том же месте получил от ранее знакомого мужчины оставшуюся часть оговоренной суммы денежных средств в размере 1 800 000 рублей, после чего, был задержан сотрудниками УФСБ России по Курской области.
В настоящее время подозреваемый задержан, решается вопрос об избрании ему меры пресечения в виде заключения под стражу. По делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления."
/news/item/1056500/,kursk,"Инспектор дорожно-патрульной службы подозревается в получении взятки, а его коллега в посредничестве в данном преступлении",[],12 Января 2024,"Рыльским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Курской области возбуждены уголовные дела в отношении инспектора ДПС ОБ ДПС ГИБДД УМВД России по Курской области, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки за незаконные действия), а также государственного инспектора дорожного надзора ОГИБДД ОМВД России по Рыльскому району, подозреваемого в совершении преступления, предусмотренного ч. 2 ст. 291.1 УК РФ (посредничество во взяточничестве).
По версии следствия, утром 23 июля 2016 года на территории сквера в городе Рыльске инспектор районного отдела, выступая в качестве посредника, получил от гражданина 30 тысяч рублей, которые позже передал своему коллеге в качестве взятки за не составление в отношении водителя протокола об административном правонарушении. Указанные незаконные действия проходили под контролем сотрудников УФСБ России по курской области, которые и задержали подозреваемых.
В отношении подозреваемого в получении взятки избрана мера пресечения в виде заключения под стражу, а в отношении посредника – подписка о невыезде и надлежащем поведении. В настоящее время по уголовным делам проводятся следственные действия, направленные на установление всех обстоятельств совершенных преступлений, а также закрепления доказательственной базы. Расследование уголовных дел продолжается."
/news/item/1649565/,kursk,В Щиграх осужден бывший сотрудник полиции за получение взятки,"['бывший сотрудник', 'взятка']",16 Января 2023,"Собранные Щигровским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Курской области доказательства признаны судом достаточными для вынесения приговора бывшему инспектору ДПС МО МВД России «Щигровский». Он признан виновным в совершении преступлений, предусмотренных п. «б» ч. 5 ст. 290 УК РФ (получение взятки за незаконное бездействие в пользу взяткодателя, совершенное с вымогательством взятки).
Следствием и судом установлено, что 12.05.2020 в утреннее время, осужденный получил от жителя города Щигры взятку в виде незаконного предоставления обвиняемому за денежные средства в сумме 10000 рублей, автомобиля ВАЗ-21100, совершенную с вымогательством, в размере 11194 рубля 50 копеек, за не привлечение к административной ответственности, предусмотренное ч. 1 ст. 12.3 КРФоАП (управление транспортным средством водителем, не имеющим при себе регистрационных документов на транспортное средство), а также за не применение им в соответствии с положениями ст. 27.1 КРФоАП меры обеспечения производства по делу об административном правонарушении в виде задержания транспортного средства.
Приговором суда бывшему сотруднику полиции назначено наказание в виде лишения  свободы сроком на 4,6 года с отбыванием наказания в колонии строгого  режима со штрафом в размере 1000000 рублей, с лишением права занимать должности, связанные с осуществлением функций представителя власти в государственных органах и органах местного самоуправления, сроком на 5 лет."
