Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1138895/,kuzbass,"В Кемеровской области перед судом предстанет бывший руководитель правого управления одного из ВУЗов, обвиняемый в получении взятки в крупном размере",[],24 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Кемеровской области завершено расследование уголовного дела в отношении 33-летнего руководителя правового управления одного  из технических ВУЗов Кемеровской области, обвиняемого в совершении  3 эпизодов преступления предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере).  
По версии следствия,  в 2015 году, а также январе и  апреле 2016 года обвиняемый предложил директору одного из охранных  предприятий заключить договор на охрану объектов ВУЗа, находящихся на территории  Новокузнецка, Прокопьевска, Белово. За содействие в подписании выгодного договора и последующее покровительство мужчина попросил по 250 тысяч рублей. В общей сложности он получил 750 тысяч рублей. После передачи последней части денег оба были задержаны сотрудниками УЭБ И ПК ГУ МВД России по Кемеровской области. За дачу взятки в отношении директора охранного предприятия также было  возбуждено уголовное дело, в настоящее время оно  рассматривается  в суде.  
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1227643/,kuzbass,"В Кемеровской области перед судом предстанет бывший адвокат, обвиняемый в мошенничестве","['мошенничество', 'суд']",19 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации  по Кемеровской области завершено расследование уголовного дела  в отношении 34-летнего бывшего адвоката одной из коллегий адвокатов г. Кемерово, обвиняемого в совершении преступлений, предусмотренных  ч. 3 ст. 159 УК РФ (мошенничество, совершенное в крупном размере), ч.2 ст. 159 УК РФ (мошенничество, совершенное с причинением значительного ущерба гражданину).
По версии следствия, в октябре 2016 года к обвиняемому за квалифицированной юридической помощью обратился местный житель, который подозревался в совершении умышленного преступления. Из корыстных побуждений адвокат убедил мужчину, что через знакомого работника прокуратуры он сможет переквалифицировать его действия на преступление, совершенное по неосторожности. В связи с чем в дальнейшем ему будет назначено наказание, не связанное с реальным лишением свободы. За помощь адвокат попросил передать ему 800 тысяч рублей, убедив мужчину, что денежные средства он якобы передаст сотруднику прокуратуры. В период с октября 2016-го по май 2017 года мужчина частями передавал требуемую сумму. В мае 2017 года этот же потерпевший проходил по другому уголовному делу в качестве свидетеля, и на этот раз адвокат пообещал, что за вознаграждение в 50 тысяч рублей его не будет  беспокоить следователь. Мужчина перечислил деньги, предполагая, что именно адвокат сделает так, чтобы его оставили в покое.  Нарушения выявлены в результате оперативно-розыскных мероприятий, проведенных сотрудниками УФСБ России по Кемеровской области. Вину адвокат признал, однако, воспользовавшись 51 ст. Конституции РФ, от дачи показаний отказался. Ущерб не возместил.  По личной инициативе написал заявление о прекращении статуса адвоката, заявление было удовлетворено советом адвокатской палаты.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1447802/,kuzbass,В Кемеровской области главный бухгалтер управления муниципальным имуществом похитила бюджетные деньги,"['коррупция', 'мошенничество', 'служебный подлог']",18 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Кемеровской области – Кузбассу возбуждено уголовное дело  в отношении 43-летнего главного бухгалтера  одного из управлений муниципальным имуществом  городского округа, подозреваемой в совершении преступлений, предусмотренных ч. 4 ст. 159 УК РФ (мошенничество, совершенное в особо крупном размере), ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, с апреля  2014-го по февраль текущего года подозреваемая, являясь главным бухгалтером муниципального казенного учреждения, формировала заявки на возврат денежных средств, излишне внесенных местными жителями в качестве арендной платы за муниципальное имущество. После чего платежные поручения направлялись в банк для зачисления денежных средств. При этом номер банковского счета женщина указывала свой либо матери. Таким образом  подозреваемая похитила из бюджета муниципального образования более 6 млн рублей. Преступная деятельность бухгалтера была выявлена после финансовой проверки, проведенной финансовым отделом администрации города. Материалы переданы в следственные органы. В ходе предварительного следствия будет устанавливаться имущество подозреваемой, на которое в счет возмещения ущерба, причиненного преступлением, будет наложен арест.
В настоящее время проводятся необходимые следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1138823/,kuzbass,"В Кемеровской области бывший заместитель начальника регионального департамента промышленности, торговли и предпринимательства признан виновным в покушении на мошенничество",[],11 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Кемеровской области доказательства признаны судом достаточными для вынесения приговора бывшему заместителю начальника регионального департамента промышленности, торговли и предпринимательства Никите Черкасову. Он признан виновным  в совершении преступления, предусмотренного  ч. 3 ст. 30, ч. 3 ст. 159 УК РФ (покушение на мошенничество в крупном размере).
Следствием и судом установлено, что  в апреле 2012 года чиновник предложил генеральному директору одного из коммерческих предприятий передать ему  деньги  в размере  350  тысяч рублей, обещая не проводить проверки соблюдения лицензионных требований в сфере оборота алкогольной продукции и беспрепятственную коммерческую деятельность. Потерпевший, предполагая, что в случае отказа у предприятия могут возникнуть проблемы, согласился передать требуемую сумму. Сначала он передал Черкасову 150 тысяч рублей, а затем еще 200 тысяч рублей, после этого обвиняемый был задержан сотрудниками регионального управления ФСБ России X 
Приговором суда  Черкасову назначено наказание в виде штрафа в сумме 200 тысяч рублей."
/news/item/1138887/,kuzbass,В Кемеровской области водитель легкового автомобиля признана виновным  в покушении на дачу взятки сотруднику ДПС,[],11 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации  по Кемеровской области доказательства признаны судом достаточными для вынесения приговора 41-летнему жителю Прокопьевского района. Он признан виновным  в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
Следствием и судом установлено, что 10 мая 2016 года сотрудникам ДПС поступило сообщение, что по территории кладбища передвигается автомобиль, который виляет из стороны в сторону. Прибыв по сигналу, инспекторы остановили указанную машину и попросили водителя предъявить документы. Оказалось, что мужчина управляет автомобилем без документов.  Также полицейские почувствовали, что от водителя идет запах алкоголя. Результаты алкотестера подтвердили, что водитель  находится в состоянии алкогольного опьянения. Чтобы избежать административной ответственности нарушитель попросил отпустить его за денежное вознаграждение без оформления протокола. В подтверждение своих намерений положил на сиденье 4 тысяча  рублей. Однако инспектор на сделку не пошел, о коррупционном предложении он сообщил в следственный отдел.
Приговором суда мужчине назначено наказание в виде  штрафа в сумме 120 тысяч рублей."
/news/item/1301555/,kuzbass,"В Кемеровской области вынесен приговор индивидуальному  предпринимателю, обвиняемому в покушении на дачу взятки сотруднику полиции","['взятка', 'приговор']",10 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Кемеровской области доказательства признаны судом достаточными для вынесения приговора 59-летнему индивидуальному предпринимателю, гражданину Республики Азербайджан. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично, за совершение заведомо незаконных действий и незаконное бездействие).
Следствием и судом установлено, что в феврале 2018 года в ходе проведения  оперативных мероприятий сотрудниками полиции было выявлено, что в одном из магазинов Таштагольского района продается алкогольная и табачная продукция без акцизных марок. Немаркированный товар был изъят из продажи, в отношении предпринимателя проводилась проверка. Владелец магазина решил коррупционным путем добиться того, чтобы сотрудники полиции прекратили разбирательство и вернули ему товар. Мужчина пришел к начальнику отделения экономической безопасности и противодействия коррупции отдела МВД России по Таштагольскому району и предложил ему за 99 тысяч рублей прекратить разбирательство. В подтверждение своих преступных намерений обвиняемый передал полицейскому деньги. Тот отказался принять взятку и сообщил о коррупционном предложении своему руководству. Сообщение было передано в следственные органы. Со следствием обвиняемый не сотрудничал, вину не признал. На предварительном следствии обвиняемый пользовался услугами переводчика, так как, несмотря на то, что на русском языке он  изъяснялся, следователю пояснил, что юридические термины на русском языке ему не понятны. В рамках расследования уголовного дела для изучения личности обвиняемого следователем направлялся запрос о помощи в Республику Азербайджан. Необходимо отметить, что мужчина находился на территории России легально, предпринимательскую деятельность осуществлял на законных основаниях.
Приговором  суда предпринимателю назначено наказание в виде 3 лет лишения свободы условно с испытательным сроком 1 год 6 месяцев, штрафа  в размере 495 тысяч рублей."
/news/item/1138875/,kuzbass,В Кемеровской области перед судом предстанет бывший начальник отдела по обслуживанию ВИП-клиентов Новокузнецкого муниципального банка,[],09 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Кемеровской области завершено расследование уголовного дела в отношении бывшего начальника отдела по обслуживанию ВИП-клиентов ОАО АКБ «Новокузнецкий муниципальный банк», обвиняемой в совершении преступления, предусмотренного ч. 4 ст. 160 УК РФ (растрата вверенного имущества в особо крупном размере)
По версии следствия,  с декабря 2012 по декабрь 2013 года обвиняемая, действуя по указанию руководителя банка и его в интересах,  переводила  денежные средства без ведома вкладчиков на счета аффилированных фирм. В результате подельники таким способом похитили со счетов ВИП-клиентов  более 1 млрд. рублей. В рамках расследования проведена судебно-бухгалтерская экспертиза, результаты которой показали движение денежных средств со счетов «Новокузнецкого муниципального банка».
Женщина заключила со следствием досудебное соглашение, в отношении нее уголовное дело было выделено в отдельное производство.
Бывшему директору ОАО АКБ «Новокузнецкий муниципальный банк» Александру Павлову предъявлено обвинение в совершении преступлений, предусмотренных ч. 2 ст. 201 УК РФ (злоупотребление полномочиями, повлекшее тяжкие последствия), ч. 4 ст. 160 УК РФ (растрата вверенного имущества в особо крупном размере). В настоящее время уголовное дело находится в производстве.  В счет возмещения ущерба следователями наложен арест на имущество обвиняемого, в том числе на принадлежащий его семье торгово-развлекательный цент «Сити-мол», оценочная стоимость которого по заключению экспертов составила прядка 5 млрд. рублей.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1820050/,kuzbass,"В Кемеровской области – Кузбассе перед судом предстанет жительница областного центра, обвиняемая в даче взятки инспектору ПДН",['взятка'],02 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Кемеровской области – Кузбассу завершено расследование уголовного дела в отношении 48-летней жительницы областного центра, обвиняемой в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу).
По версии следствия, в период с января по февраль текущего года обвиняемая через знакомого предложила инспектору ПДН, на рассмотрении которой находились заявления о воспрепятствовании ее бывшим супругом общению с 15-летним сыном, за денежное вознаграждение сообщать ей информацию о ходе проверок, а также забрать документы сына из учебного заведения, в которое его перевел бывший супруг без ее согласия. В этих целях женщина передала посреднику 30 тысяч рублей, заявив, что за оказание помощи общая сумма вознаграждения может составить 90 тысяч рублей. Инспектор ПДН, действующая в рамках оперативного мероприятия, проводимого сотрудниками Управления ФСБ России по Кемеровской области – Кузбассу совместно с сотрудниками ОРЧ службы собственной безопасности ГУ МВД России по Кемеровской области - Кузбассу, встретилась с посредником и приняла часть взятки. Материалы о коррупционном преступлении были переданы в следственные органы.
 
В ходе предварительного следствия собраны исчерпывающие доказательства, подтвердившие причастность обвиняемой к инкриминируемому деянию.
В отношении посредника уголовное дело в настоящее время находится на рассмотрении в суде. 
 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением в ближайшее время будет направлено в суд для рассмотрения по существу."
/news/item/1201988/,kuzbass,"В Кемеровской области перед судом предстанет бывший депутат  Совета народных депутатов сельского поселения, обвиняемый в мошенничестве","['депутат', 'мошенничество', 'суд']",29 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Кемеровской области завершено уголовное дело в отношении 50-летнего бывшего депутата Совета народных депутатов одного из сельских поселений Топкинского района, обвиняемого в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, совершенное лицом  с использованием своего служебного положения,  в особо  крупном размере).
По версии следствия, в 2011 году обвиняемый, являясь генеральным директором и учредителем аграрного предприятия, а также депутатом одного из сельских поселений Топкинского района,  из корыстных побуждений предоставил в департамент сельского хозяйства фиктивные документы о приобретении 2 зерносушилок на сумму 4 млн 600 тысяч рублей. В рамках целевой программы из бюджета области предпринимателю было возмещено 50% стоимости оборудования. Таким образом, бюджету причинен ущерб на сумму 2 млн 294 тысячи рублей. Нарушения выявлены в результате оперативно-розыскных мероприятий, проведенных сотрудниками УФСБ России по Кемеровской области. В рамках расследования назначены и проведены ряд судебных экспертиз, в числе которых почерковедческая, техническая, допрошено большое количество свидетелей, изъяты уличающие обвиняемого документы. В ходе расследования ущерб бюджету области возмещен  в полном объеме.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1571414/,kuzbass,"В Кемеровской области  вынесен приговор бывшему сотруднику исправительной колонии, проносившему  заключенным за деньги запрещенные предметы","['взятка', 'превышение полномочий', 'приговор']",22 Марта 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Кемеровской области – Кузбассу доказательства признаны судом достаточными для вынесения приговора 26-летнему бывшему начальнику отряда отдела воспитательной работы с осужденными одной из исправительных колоний Кемеровской области. Он признан виновным в совершении 2 эпизодов преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия), 4 эпизодов преступления, предусмотренного  ч. 1 ст. 286 УК РФ (превышение должностных полномочий),  п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки в крупном размере), ч. 3 ст. 30, ч. 1 ст. 291.2 УК РФ (покушение на получение взятки в размере, не превышающем десяти тысяч рублей).
Следствием и судом установлено, что  в период с декабря 2019-го по март 2020 года осужденный за денежное вознаграждение проносил на территорию колонии запрещенные предметы: сотовые телефоны, комплектующие к ним, алкогольную продукцию  – и передавал их заключенным. Сумма взятки составляла от 10 до 177 тысяч рублей, родственники осужденных зачисляли осужденному деньги на банковскую карту, после чего он передавал запрещенный предмет. О коррупционной сделке между сотрудником колонии и осужденными стало известно службе собственной безопасности ГУФСИН  России по Кемеровской области – Кузбассу и УФСБ России по Кемеровской области. После проведения  оперативных мероприятий  материалы были переданы в следственные органы. В ходе предварительного следствия установлено, что незаконным путем обвиняемый заработал порядка 215 тысяч рублей. Со следствием мужчина сотрудничал, вину признал.
Приговором суда мужчине назначено наказание в виде 2 лет лишения свободы в колонии строгого режима."
/news/item/1876571/,kuzbass,В Кемеровской области – Кузбассе еще одна из участниц организованной преступной группы признана виновной в хищении бюджетных денежных средств,['мошенничество'],27 Февраля 2024,"Собранные следственными органами СУ СКР по Кемеровской области – Кузбассу доказательства признаны судом достаточными для вынесения приговора заключившей досудебное соглашение о сотрудничестве председателю комитета по управлению муниципальным имуществом Ленинск–Кузнецкого городского округа. Она признана виновной в совершении с иными участниками организованной группы 30 эпизодов мошенничества в особо крупном размере (ч. 4 ст. 159 УК РФ).
Следствием и судом установлено, что в период с января 2014 года по декабрь 2018 года между комитетом по управлению муниципальным имуществом Ленинск–Кузнецкого городского округа и коммерческой организацией заключены муниципальные контракты на приобретение готовых квартир путем участия в долевом строительстве домов, предназначенных для переселения граждан из аварийного жилья, предоставления жилых помещений детям-сиротам и детям, оставшимся без попечения родителей, а также обеспечения жильем ветеранов Великой Отечественной войны. Согласно условиям контрактов, строительная фирма обязалась собственными силами построить многоквартирные дома, выполнить работы по благоустройству и подведению к этим домам инженерных сетей.
После завершения строительства и ввода домов в эксплуатацию застройщик должен был передать заказчику квартиры для их дальнейшего предоставления нуждающимся в улучшении жилищных условий гражданам.
Несмотря на наличие соответствующих условий в муниципальных контрактах, желая обогатиться, глава Ленинск–Кузнецкого городского округа договорился с остальными фигурантами совершить хищение бюджетных денежных средств, для чего при отсутствии законных оснований было заключено 30 муниципальных контрактов со строительной фирмой на выполнение работ по благоустройству и подведению инженерно-технических сетей к указанным многоквартирным домам, произведена оплата их стоимости за счет средств муниципального бюджета на общую сумму почти в 73 млн рублей. Полученными денежными средствами фигуранты распорядились по своему усмотрению.
Приговором суда виновной назначено наказание в виде 7 лет лишения свободы условно с испытательным сроком 5 лет со штрафом в размере 2 млн рублей.
Уголовное дело в отношении иных участников ОПГ в настоящее время рассматривается в суде."
/news/item/1288342/,kuzbass,"В Кемеровской области перед судом предстанет бывший сотрудник полиции,  обвиняемый в получении взятки от работника похоронного агентства","['взятка', 'коррупция', 'суд']",20 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Кемеровской области завершено расследование уголовного дела в отношении 31-летнего бывшего помощника оперативного дежурного отдела полиции города Киселевска, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки).
По версии следствия, в мае 2017 года к обвиняемому обратился ритуальный агент с просьбой за денежное вознаграждение сообщать адреса, с которых поступают сообщения об обнаружении тел умерших граждан. Полицейский согласился, они договорились, что за каждый заключенный договор об оказании ритуальных услуг он будет получать от похоронного агентства по 5 тысяч рублей. В общей сложности с мая 2017-го по февраль 2018 года коррупционным путем полицейский заработал 80 тысяч рублей. Данная информация стала известна сотрудникам ОРЧ собственной безопасности ГУ МВД России по Кемеровской области, которые пресекли незаконную деятельность полицейского, материалы были направлены в следственные органы. В связи с активным содействием следствию в отношении взяткодателя уголовное преследование было прекращено.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1796264/,kuzbass,"В Кемеровской области – Кузбассе расследуется уголовное дело о коммерческом подкупе и получении сведений, являющихся коммерческой тайной","['коммерческий подкуп', 'сведения составляющие тайну']",16 Февраля 2024,"Следственными органами следственного управления  Следственного комитета Российской Федерации по Кемеровской области – Кузбассу возбуждено уголовное дело в отношении 39-летнего депутата  Новокузнецкого городского Совета народных депутатов, подозреваемого в  совершении преступлений, предусмотренных ч. 3 ст. 183 УК РФ (незаконное получение сведений, составляющих коммерческую тайну), п. «б» ч. 4  ст. 204 УК РФ (незаконная передача лицу, выполняющему управленческие функции в коммерческой или иной организации,  денег за заведомо незаконные действия).
 
По версии следствия, в августе 2022 года подозреваемый передал денежное вознаграждение за сведения, составляющие коммерческую тайну организации. Преступная деятельность депутата выявлена  сотрудниками УФСБ России по Кемеровской области – Кузбассу, материалы переданы в следственные органы. Следователями безотлагательно проведен комплекс следственных действий,  направленный на закрепление доказательств вины лица особого правого статуса. По уголовному делу проведены обыски в жилище  и служебном кабинете фигуранта, изъята необходимая следствию документация, техника. Решается вопрос о предъявлении мужчине обвинения и избрании меры пресечения в виде заключения под стражу.
 
В настоящее время проводятся необходимые следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
