Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1225667/,lipetsk,В Липецке бывший сотрудник исправительной колонии подозревается в получении мелкой взятки от осужденного,"['взятка', 'деньги', 'коррупция']",02 Мая 2024,"Следственным отделом по Правобережному округу г. Липецка СУ СК России по Липецкой области возбуждено уголовное дело в отношении бывшего сотрудника ФКУ ИК-6 регионального УФСИН России, подозреваемого в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (получение взятки в размере, не превышающем десяти тысяч рублей).
По данным следствия, в феврале 2018 года подозреваемый, состоя в должности начальника одного из отделов исправительной колонии, за денежное вознаграждение в размере 3 тысячи рублей пытался передать осужденному мобильные телефоны. Их использование запрещено лицам, отбывающим наказание в учреждениях уголовно-исполнительной системы. Однако при досмотре майор внутренней службы был задержан с поличным. Телефоны изъяты и признаны вещественными доказательствами. Взятку за противоправные действия сотрудник колонии получил на банковский счет и успел распорядиться ею по своему усмотрению.
В ходе расследования уголовного дела вину в совершении преступления подозреваемый признал и дал подробные показания об обстоятельствах получения взятки, что может смягчить наказание при рассмотрении дела судом. В настоящее время проводится комплекс следственных действий, направленных на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается.
Санкция данной статьи УК РФ предусматривает наказание в виде штрафа в размере до 200 тысяч рублей или в размере заработной платы или иного дохода осужденного за период до 3 месяцев, либо исправительные работы на срок до 1 года, либо ограничение свободы на срок до 2 лет, либо лишение свободы на срок до 1 года."
/news/item/1513435/,lipetsk,В Данковском районе автолюбитель предстанет перед судом за попытку подкупить инспектора ДПС,"['взятка', 'деньги', 'коррупция', 'противодействие', 'собранные доказательства']",26 Апреля 2024,"Данковским межрайонным следственным отделом СУ СК России по Липецкой области завершено расследование уголовного дела в отношении 59-летнего местного жителя, обвиняемого в совершении преступления, предусмотренного ч.1 ст. 30, ч. 3 ст. 291 УК РФ (приготовление к даче взятки должностному лицу лично в значительном размере за совершение заведомо незаконного бездействия).
По данным следствия, днем 4 августа 2020 года обвиняемый, находясь в патрульном автомобиле на улице Чапаева города Данкова,  и осознавая, что за управление автомобилем в нетрезвом виде ему грозит административная ответственность, предложил передать сотрудникам ДПС взятку в размере 30 тысяч рублей. За незаконное денежное вознаграждение капитан полиции должен был отказаться от составления протокола по ч. 1 ст. 12.26 КоАП РФ (невыполнение водителем транспортного средства требования о прохождении медицинского освидетельствования на состояние опьянения) и ""закрыть глаза"" на грубое нарушение.
Вопреки ожиданиям нетрезвого автолюбителя инспектор ДПС от получения взятки отказался и сообщил о коррупционном преступлении в следственные органы.
В ходе расследования уголовного дела обвиняемый вину в совершении преступлений признал и дал подробные показания об обстоятельствах произошедшего. В настоящее время следствием собрана достаточная доказательственная база и уголовное дело направлено для утверждения обвинительного заключения и последующей передачи в суд."
/news/item/1481018/,lipetsk,В Липецкой области экс-руководитель регионального ГУ МЧС России подозревается в получении взятки,"['взятка', 'деньги', 'должностные преступления', 'коррупция', 'посредничество']",30 Марта 2024,"Следственными органами СУ СК России по Липецкой области в рамках расследования уголовного дела в отношении должностных лиц регионального ГУ МЧС России установлен эпизод получения взятки экс-руководителем ведомства. Его действия следствием квалифицированы по ч. 6 ст. 290 УК РФ (получение взятки через посредника в особо крупном размере).
По версии следствия, подозреваемый, занимая должность начальника главного управления МЧС России по Липецкой области, в октябре 2019 года получил от гендиректора коммерческой фирмы взятку в размере 1,5 миллиона рублей. В такую сумму оценил свои действия подозреваемый, создавший вопреки требованиям законодательства, преимущественные условия для заключения госконтракта с взяткодателем на выполнение работ по реконструкции и расширению автоматизированной системы оповещения. Незаконное денежное вознаграждение подозреваемый получил через своего подчиненного.
Действия участников коррупционной схемы следствием квалифицированы по ч. 5 ст. 291 УК РФ (дача взятка), ч. 4 ст. 291.1 УК РФ (посредничество во взяточничестве).
Преступление выявлено и пресечено во взаимодействии сотрудников регионального СКР с МВД России, УФСБ России, а также их региональных подразделений, в том числе ГУ ЭБиПК МВД России и ГУ СБ МЧС России.
В настоящее время проводится масштабный комплекс следственных действий, направленный на установление всех обстоятельств и роли конкретных должностных лиц, причастных к совершению коррупционного преступления. При силовой поддержке сотрудников Росгвардии в служебных кабинетах руководства ГУ МЧС России по Липецкой области и по месту их жительства проходят обыски, допрашиваются свидетели и очевидцы.  
Ход расследование уголовного дела под особым контролем руководителя следственного управления СК России по Липецкой области."
/news/item/1633632/,lipetsk,В Долгоруковском районе предъявлено обвинение местной жительнице за приготовление к даче взятки инспектору ДПС,"['взятка', 'деньги', 'коррупция']",28 Марта 2024,"Тербунским межрайонным следственным отделом СУ СК России по Липецкой области в рамках расследования уголовного дела  о приготовлении к даче взятки инспектору ДПС предъявлено обвинение 54-летней жительнице Долгоруковского района. Её действия следователем квалифицированы по признакам преступления, предусмотренного ч. 1 ст. 30 ч. 3 ст. 291 УК РФ (приготовление к даче взятки должностному за заведомо незаконное бездействие в значительном размере).
По данным следствия, 5 ноября 2021 года обвиняемая, управляя  транспортным средством в состоянии алкогольного опьянения, была остановлена сотрудниками ДПС. С целью избежать административной ответственности нарушительница, находясь в патрульном автомобиле и осознавая, что инспектор ДПС является представителем власти, во время составления административного материала предложила ему взятку в размере 50 тысяч рублей, которые у нее имелись на счете банковской карты.
Довести преступление до конца обвиняемая не смогла по независящим от неё обстоятельствам, поскольку инспектор ДПС от получения взятки отказался и сообщил о произошедшем в следственные органы.
В настоящее время проводится комплекс следственных действий с целью сбора и закрепления доказательственной базы. Расследование уголовного дела продолжается.
Санкция указанной выше статьи УК РФ предусматривает наказание вплоть до 8 лет лишения свободы."
/news/item/1713839/,lipetsk,В Липецке предстал перед судом автомобилист за  приготовление к даче взятки инспектору ДПС,"['взятка', 'покушение', 'собранные доказательства']",21 Марта 2024,"Следственным отделом по Советскому округу г. Липецка СК России по Липецкой области завершено расследование уголовного дела в отношении 32-летнего автомобилиста, обвиняемого в совершении преступления, предусмотренного  ч. 1 ст. 30, ч. 3 ст. 291 УК РФ (приготовление к даче взятки должностному лицу лично за совершение заведомо незаконного бездействия).
По версии следствия, 4 июня 2022 года  обвиняемый, управлявший автомобилем в состоянии алкогольного опьянения, был остановлен инспектором ДПС для проверки документов. В связи с явными признаками опьянения полицейский предложил водителю  пройти медицинское освидетельствование.
Не желая быть привлеченным к административной ответственности за грубое нарушение правил дорожного движения и отказ от прохождения медицинского освидетельствования,  обвиняемый предложил перевести на банковскую карту должностного лица взятку в размере 20 тысяч рублей.
Сотрудник полиции от взятки отказался и сообщил о коррупционном преступлении в следственные органы.
В отношении взяткодателя было возбуждено уголовное дело, в ходе расследования которого автомобилист признал вину, пояснив следователю все обстоятельства произошедшего.  В установленный законом двухмесячный срок следователем регионального СК России собрана достаточная доказательственная база, что позволило уголовное дело с утвержденным обвинительным заключением направить в суд.
Санкция вменяемой фигуранту статьи УК РФ предусматривает наказание вплоть до 8 лет лишения свободы."
/news/item/1551758/,lipetsk,Липчанин предстанет перед судом за дачу взятки инспектору ДПС,"['взятка', 'деньги']",18 Марта 2024,"Следственным отделом по Октябрьскому округу г. Липецка СУ СК России по Липецкой области завершено расследование уголовного дела в отношении автолюбителя, обвиняемого в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (дача взятки лично в размере, не превышающем десяти тысяч рублей).
По данным следствия, днем 23 декабря 2020 года обвиняемый, находясь  в патрульном автомобиле ДПС, передал сотруднику полиции взятку в сумме 5 тысяч рублей, положив денежную купюру между сиденьями. Незаконное вознаграждение предназначалось за не составление протокола о совершенном им административном правонарушении, предусмотренном ч. 4 ст. 12.15 (нарушение правил расположения транспортного средства на проезжей части дороги, встречного разъезда или обгона).
Инспектор от незаконного вознаграждения отказался, а в отношении взяткодателя было возбуждено уголовное дело.
Вину в совершении преступления фигурант признал и дал подробные показания об обстоятельствах произошедшего. В настоящее время материалы уголовного дела направлены прокурору для утверждения обвинительного заключения и последующей передачи в суд.
Санкция данной статьи УК РФ предусматривает наказание вплоть до лишения свободы сроком до 1 года."
/news/item/1779599/,lipetsk,В Липецке возбуждено уголовное дело о получении работниками филиала крупной электросетевой компании взятки в сумме более 1 млн рублей,"['взятка', 'деньги']",12 Марта 2024,"Вторым отделом по РОВД СУ СК России по Липецкой области возбуждено уголовное дело в отношении ведущего инженера филиала ПАО «Россети Центр» - «Липецкэнерго» и иных неустановленных должностных лиц из числа его коллег, подозреваемых в совершении трех эпизодов преступления, предусмотренного п. «а, в» ч. 5 ст. 290 УК РФ (получение взятки в виде денег, совершенное группой лиц по предварительному сговору, в крупном размере).
По данным следствия, подозреваемый, действуя в группе лиц, с декабря 2019 по январь 2023 года получил от троих собственников коммерческой недвижимости взятку в общей сумме более 1 млн рублей. Незаконное денежное вознаграждение предприниматели передавали за вмешательство ведущего инженера липецкого филиала электросетевой компании и его коллег в работу приборов учета. Используя специальные технические приспособления, блокирующие счётный механизм без вмешательства в конструктив счётчика, подозреваемые занижали показания потребленной электроэнергии, а также организовывали безучётное и бездоговорное её потребление.
Действия трех взяткодателей квалифицированы как дача взятки должностному лицу за совершение заведомо незаконных действий и незаконного бездействия, в крупном размере (п. «б» ч. 4 ст. 291 УК РФ).
Уголовные дела, возбужденные следователем регионального СК России по материалам оперативно-розыскной деятельности сотрудников ГУЭБиПК МВД России и их коллег из региональных управлений ФСБ и МВД России, соединены в одно производство.
В рамках расследования проведены обыски по местам жительства подозреваемых, осмотры мест происшествия, в ходе которых изъяты приборы учета для проведения технического исследования, а также денежные средства, признанные вещественным доказательством по уголовному делу.  Допрашиваются свидетели и подозреваемые, проводятся иные следственные действия с целью установления всех участников коррупционной схемы и фактов их преступной деятельности."
/news/item/1164632/,lipetsk,"В Липецкой области возбуждено уголовное дело в отношении инженера строительного контроля, подозреваемого в коммерческом подкупе",[],11 Марта 2024,"Елецким межрайонным следственным отделом СУ СК России по Липецкой области возбуждено уголовное дело в отношении жителя города Брянска, подозреваемого в совершении преступления, предусмотренного п. «г» ч. 7 ст. 204 УК РФ (коммерческий подкуп, совершенный в крупном размере).
По данным следствия, днем 14 сентября 2017 года инженер столичной коммерческой фирмы, контролирующей реконструкцию магистрального нефтепровода на территории Становлянского района, получил от начальника участка подрядной организации вознаграждение в размере 175 тысяч рублей. В такую сумму он оценил свое лояльное отношение к деятельности подрядчиков, заключающееся в бездействии в случае осуществления ими работ, не соответствующих предъявляемым требованиям. Однако воспользоваться деньгами подозреваемый не успел, так как после их получения был задержан.
Преступление раскрыто во взаимодействии с сотрудниками региональных управлений МВД и ФСБ России.
В ходе расследования уголовного дела вину в совершении коррупционного преступления подозреваемый признал и раскаялся в содеянном. В настоящее время проводится комплекс следственных действий для установления всех обстоятельств произошедшего, сбора и закрепления доказательственной базы. Расследование уголовного дела продолжается.
Санкция данной статьи УК РФ предусматривает наказание в виде штрафа в от 1 до 3 миллионов рублей, или в размере заработной платы или иного дохода осужденного за период от 1 года до 3 лет, или в размере от 30-кратной до 60-кратной суммы коммерческого подкупа с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до 5 лет либо лишение свободы на срок от 5 до 9 лет со штрафом в размере до 40-кратной суммы коммерческого подкупа или без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до 5 лет или без такового."
/news/item/1455501/,lipetsk,В Чаплыгиском районе завершено следствие по уголовному делу о попытке подкупить сотрудника полиции,"['взятка', 'коррупция', 'покушение', 'собранные доказательства']",11 Марта 2024,"Чаплыгинским межрайонным следственным отделом СУ СК России по Липецкой области завершено расследование уголовного дела в отношении местной жительницы, обвиняемой в совершении преступления, предусмотренного ч. 3 ст. 30, ч.1 ст. 291.2 УК РФ (покушение на дачу взятки лично в размере, не превышающем 10 тысяч рублей).
По данным следствия, 27 февраля 2020 года обвиняемая попыталась передать должностному лицу территориального отдела полиции 2000 рублей за прекращение возбужденного в отношении нее уголовного дела о фиктивной регистрация иностранного гражданина по месту жительства в жилом помещении в Российской Федерации. Её попытка подкупить должностное лицо не удалась, так сотрудник отдела полиции от незаконного вознаграждения отказался и сообщил о коррупционном преступлении в следственные органы.
В ходе расследования уголовного дела вину в совершении преступления фигурантка признала и раскаялась в содеянном. Вместе с тем следствием собрана достаточная доказательственная база, что позволило направить материалы уголовного дела в суд для рассмотрения по существу предъявленного обвинения.
 Санкция данной статьи УК РФ предусматривает наказание в виде штрафа в размере до 200 тысяч рублей либо исправительных работ на срок до 1 года, либо ограничения свободы на срок до 2 лет, либо лишения свободы на срок до 1 года."
/news/item/1588296/,lipetsk,В Грязинском районе начальник отделения почты подозревается в растрате чужого имущества,['присвоение'],04 Марта 2024,"Грязинским межрайонным следственным отделом СУ СК России по Липецкой области  возбуждено уголовное дело в отношении начальника отделения почтовой связи, подозреваемый в совершении преступления, предусмотренного ч. 3 ст. 160 УК РФ. (Присвоение или растрата с использованием служебного положения)
По версии следствия, в период с 01.06.2021 по 23.06.2021 начальник отделения почты, находясь в помещении почтовой связи, имея умысел на хищение путем присвоения вверенных ей денежных средств, принадлежащих АО «Почта России», полученных от граждан в качестве оплаты за товары, реализованные в отделении почтовой связи, используя с корыстной целью свое служебное положение, похитила вверенные ей денежные средства на сумму 10 000 рублей и потратила их на личные нужды.
В настоящее время проводится комплекс следственных действий, направленных на выяснение всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
