Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1371943/,magadan,Завершено расследование уголовного дела о фактах хищения денежных средств в Магаданской областной больнице,"['мошенничество', 'служебный подлог']",19 Апреля 2024,"Следственным отделом по городу Магадан следственного управления СК России по Магаданской области завершено расследование уголовного дела в отношении 51-летней жительницы областного центра, которая обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество в крупном размере, с использованием служебного положения), ч. 3 ст. 30, ч. 3 ст. 159 УК РФ (покушение на мошенничество), ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, обвиняемая, занимая должность шеф-повара пищеблока государственного бюджетного учреждения здравоохранения «Магаданская областная больница», на протяжении 2018-2019 годов, используя служебное положение, систематически совершала хищения денежных средств больницы, предназначенных для выплаты заработной платы работникам.
На протяжении указанного периода женщина вносила в официальные документы заведомо ложные сведения о выполнении подчиненными ей работниками повышенного объема работ в связи с имеющимися вакантными должностями. На основании данных документов работники пищеблока незаконно получали повышенную заработную плату, иные выплаты компенсационного и стимулирующего характера, часть из которых передавали обвиняемой по ее требованию.         
В марте 2019 года сотрудники управления экономической безопасности и противодействия коррупции регионального УМВД пресекли противоправную деятельность женщины, задержав ее с поличным при получении от работника пищеблока части незаконно выплаченной ему заработной платы в повышенном размере.
В ходе расследования уголовного дела проведен большой объем следственных действий, изъяты и тщательно исследованы кадровые и финансовые документы учреждения здравоохранения, проведены почерковедческая и сложные экономические судебные экспертизы. По представлению следователя руководством больницы принято решение об отстранении шеф-повара от занимаемой должности. Общий ущерб от действий обвиняемой составил более 460 тыс. рублей.  
Следствием собрана достаточная доказательственная база, в связи чем по уголовному делу утверждено обвинительное заключение и в ближайшее время оно будет направлено в суд для рассмотрения по существу."
/news/item/1258550/,magadan,В отношении бывшего сотрудника полиции Магаданский городской суд вынес обвинительный приговор,"['бывший сотрудник', 'полицейский', 'превышение полномочий', 'приговор']",28 Марта 2024,"Собранные следственными органами следственного управления СК России по Магаданской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему оперуполномоченному отдела по борьбе с экономическими преступлениями УМВД России по Магаданской области, который обвинялся в совершении преступлений, предусмотренных ч. 1 ст. 286 УК РФ (превышение должностных полномочий) и п. «а» ч. 2 ст. 238 УК РФ (сбыт продукции, не отвечающей требованиям безопасности здоровья потребителей).
Следствием и судом установлено, что в 2015 и 2016 годах сотрудники регионального УМВД в ходе оперативно-розыскных мероприятий из незаконного оборота изъяли более 2,5 тонн лососевой икры, которая не соответствовала требованиям безопасности здоровья потребителей. По фактам изъятия данной икры органом дознания возбуждены 2 уголовных дела, а по одному факту изъятия проводилась доследственная процессуальная проверка. В период расследования уголовных дел и проведения проверки, изъятая продукция хранилась в холодильных камерах одного из коммерческих предприятий Магадана.
В ноябре 2016 года 45-летний осужденный достоверно зная, что реализация указанной икры для употребления в пищу недопустима, понимая, что данная икра будет в дальнейшем утилизирована либо уничтожена, решил реализовать часть вышеуказанной икры на территории Магадана с целью незаконного личного обогащения.
Для реализации своего плана бывший полицейский привлек одного из предпринимателей, который осуществлял розничную торговлю рыбной продукцией на рынках и торговых точках Магадана. Согласно отведенной ему роли, данный предприниматель должен был подготовить для осужденного испорченную лососевую икру и ее имитацию в объемах и таре идентичных ранее изъятым, а затем реализовать похищенную икру.
В период с ноября 2016 года по март 2017 года бывший сотрудник полиции, имея, в силу занимаемой должности, беспрепятственный доступ к изъятой икре, вывез с места хранения более 1,5 тонн изъятой его коллегами опасной для здоровья продукции, подменив ее заведомо испорченной икрой и ее имитацией. В дальнейшем, данная икра, не отвечающая требованиям безопасности здоровья потребителей, поступила в розничную торговую сеть на территории Магаданской области.
В ходе расследования уголовного дела предприниматель заключил досудебное соглашение о сотрудничестве со следствием, в связи с чем уголовное дело в отношении него выделено в отдельное производство и ранее рассмотрено Магаданским городским судом в особом порядке.
Бывшему полицейскому приговором суда назначено наказание по совокупности преступлений в виде 4 лет лишения свободы с отбыванием наказания в исправительной колонии общего режима, с лишением права занимать должности, связанные с осуществлением функций представителя власти в государственных органах и органах местного самоуправления на срок 3 года, со штрафом 100 тысяч рублей. После оглашения приговора осужденный был взят под стражу в зале суда.   
Приговор в законную силу не вступил."
/news/item/1238672/,magadan,"Избрана мера пресечения мужчине, обвиняемому в покушении на дачу взятки в Магадане","['взятка', 'коррупция']",25 Марта 2024,"Сегодня Магаданским городским судом рассмотрено ходатайство следователя отдела по расследованию особо важных дел следственного управления СК России по Магаданской области об избрании меры пресечения 32-летнему мужчине, обвиняемому в покушении на дачу взятки в значительном размере (ч. 3 ст. 30, ч. 2 ст. 291 УК РФ). 
Напомним, что 30 июня 2018 года в Магадане работник коммерческого предприятия, которое занимается разработкой технической документации в сфере пожарной безопасности, лично передал деньги в сумме 100 тыс рублей сотруднику отдела государственного пожарного надзора и профилактической работы Главного управления МЧС России по Магаданской области. В момент передачи взятки злоумышленник был задержан с поличным, денежные средства изъяты в ходе осмотра места происшествия.
Указанная сумма являлась «благодарностью» обвиняемого за законные действия сотрудника МЧС по согласованию технических условий пожарной безопасности торгового центра «Идея». Кроме того, передав взятку, мужчина надеялся на дальнейшее покровительство в решении аналогичных вопросов при осуществлении деятельности на территории Магаданской области.
Необходимо отметить, что сотрудник МЧС отказался принять незаконное вознаграждение и сообщил в правоохранительные органы о склонении к коррупционному поведению.   
Рассмотрев представленные следователем материалы, суд избрал обвиняемому меру пресечения в виде домашнего ареста на срок до 30 августа 2018 года.
Расследование уголовного дела продолжается."
/news/item/1584600/,magadan,В Магадане вынесен приговор бывшему руководителю НКО «Фонд капитального ремонта Магаданской области» за получение коммерческого подкупа,"['коммерческий подкуп', 'коррупция', 'приговор']",19 Марта 2024,"Фото: СУ СК России по Магаданской области            

Собранные следственными органами СУ СК России по Магаданской области доказательства признаны судом достаточными для вынесения приговора 64-летнему бывшему руководителю НКО «Фонд капитального ремонта Магаданской области», который обвинялся в совершении преступления, предусмотренного п. «г» ч. 7 ст. 204 УК РФ (получение коммерческого подкупа в крупном размере).   
Следствием и в судебном заседании установлено, что исполняющий обязанности генерального директора некоммерческой организации «Фонд капитального ремонта Магаданской области» незаконно потребовал от представителя двух Обществ с ограниченной ответственностью 660 тыс. рублей в качестве коммерческого подкупа.
За незаконное вознаграждение осужденный пообещал представителю коммерческих предприятий согласовать вопрос о прохождении негосударственной экспертизы проектно-сметной документации по капитальному ремонту трех многоквартирных домов в Магадане, а также оказать содействие в беспрепятственной приемке и оплате работ по ранее заключенным договорам. 
При передаче коммерческого подкупа 16 ноября 2020 года руководитель НКО был задержан в Магадане с поличным сотрудниками Управления ФСБ России по Магаданской области в ходе проведения оперативно-розыскных мероприятий. Деньги были изъяты на месте происшествия следователями регионального управления СК России.
На первоначальном этапе расследования уголовного дела мужчина сначала отрицал свою причастность к преступлению, однако в дальнейшем, под тяжестью неопровержимых доказательств, полностью признал свою вину и активно сотрудничал со следствием.
В ходе предварительного следствия выявлены существенные упущения в организации работы Фонда капитального ремонта, в связи с чем в министерство строительства, ЖКХ и энергетики Магаданской области внесено соответствующее представление об их устранении. В целях обеспечения исполнения приговора суда следователем наложен арест на личный автомобиль фигуранта уголовного дела стоимостью 500 тыс. рублей.   
Приговором Магаданского городского суда бывший руководитель Фонда капитального ремонта признан виновным в совершении указанного преступления, ему назначено наказание в виде 5 лет лишения свободы условно, с испытательным сроком на 3 года.
Приговор суда в законную силу не вступил."
/news/item/1177361/,magadan,В совершении мошенничества в особо крупном размере обвиняется бывший бухгалтер детского дошкольного учреждения города Магадан,"['коррупция', 'мошенничество']",13 Марта 2024,"Следственным отделом по г. Магадану следственного управления СК России по Магаданской области завершено расследование уголовного дела в отношении бывшей исполняющей обязанности главного бухгалтера Муниципальное бюджетное общеобразовательное учреждение «Начальная школа – детский сад № 72», которая обвиняется в совершении двух преступлений, предусмотренных ч. 4 ст. 159 УК РФ (мошенничество с использованием своего служебного положения в особо крупном размере).
По версии следствия, работая в указанной должности, обвиняемая в период с января по ноябрь 2016 года, злоупотребляя доверием заведующей детским садом, систематически вносила в платежные ведомости сведения о неправомерном начислении себе заработной платы в увеличенном размере. В результате указанных преступных действий муниципальному образованию «Город Магадан» причинен имущественный вред на сумму более 3 миллионов рублей.
Она же, в указанный период, также злоупотребляя доверием заведующей, неоднократно изготавливала финансовые документы о необходимости оплаты якобы произведенных расходов по обеспечению текущей деятельности детского дошкольного учреждения в сфере закупок товаров и услуг, оплаты взносов по обязательному социальному страхованию, уплаты налогов и сборов, а также оплаты услуг связи. При этом в финансовых документах, в качестве получателя выделяемых из бюджета средств обвиняемая указывала свой расчетный счет. В дальнейшем перечисленные денежные средства она обращала в свою собственность и распоряжалась ими по своему усмотрению. В результате данной преступной деятельности муниципальному образованию «Город Магадан» причинен ущерб на сумму более 1,5 миллионов рублей.  
В настоящее время уголовное дело направлено в прокуратуру города Магадана для решения вопроса об утверждении обвинительного заключения и направления в суд.
Санкция ч. 4 ст. 159 УК РФ предусматривает наказание в виде лишения свободы сроком до 10 лет со штрафом в размере до одного миллиона рублей.
Противоправная деятельность выявлена в результате оперативно-розыскных мероприятий сотрудниками подразделения по борьбе с экономическими и коррупционными преступлениями регионального управления МВД России."
/news/item/1569504/,magadan,Двух колымчанок признал суд виновными в хищении бюджетных денежных средств,"['коррупция', 'мошенничество', 'приговор']",01 Марта 2024,"Собранные следственными органами СУ СК России по Магаданской области доказательства признаны судом достаточными для вынесения приговора двум местным жительницам, которые обвинялись в совершении преступлений, предусмотренных ч. 4 ст. 159.3 УК РФ (мошенничество с использованием электронных средств платежа, группой лиц по предварительному сговору, в особо крупном размере) и ч. 1 ст. 187 УК РФ (изготовление в целях использования поддельных распоряжений о переводе денежных средств).
В ходе следствия и в судебном заседании установлено, что в начале января 2018 года бывшие главный бухгалтер и бухгалтер областного государственного профессионального образовательного учреждения «Технологический лицей» вступили в преступный сговор о систематическом хищении денежных средств лицея. Для указанной цели женщины, имея в силу занимаемых должностей электронную цифровую подпись директора и злоупотребляя ее доверием, в период с января по декабрь 2018 года изготавливали и предоставляли в один из банков и Управление Федерального казначейства по Магаданской области под видом правомерных поддельные распоряжения о переводе денежных средств лицея на свои личные счета, а также счета своих знакомых и родственников.
Указанным способом женщины похитили бюджетные денежные средства в особо крупном размере на общую сумму более 3 млн рублей, причинив ущерб министерству образования Магаданской области.
В ходе расследования уголовного дела следствием изъят и проанализирован значительный объем кадровых, финансовых и иных документов образовательного учреждения, кредитной организации и Управления Федерального казначейства по Магаданской области, проведены трудоемкие финансово-экономические судебные экспертизы, для обеспечения исковых требований наложен арест на имущество обвиняемых на сумму более 200 тыс. рублей.
Противоправная деятельность была выявлена сотрудниками управления по борьбе с экономическими преступлениями и противодействию коррупции УМВД России по Магаданской области.  
Приговором Магаданского городского суда осужденные признаны виновными в совершении указанных преступлений, одной из женщин назначено наказание в виде лишения свободы на срок 2,5 года условно, с испытательным сроком на 3 года, со штрафом в 100 тыс. рублей. Второй осужденной суд назначил наказание в виде лишения свободы на срок 3 года условно, с испытательным сроком на 4 года, со штрафом в 100 тыс. рублей и лишением права занимать определенные должности на государственной службе и в органах местного самоуправления на 3 года.   
Кроме того, суд частично удовлетворил заявленный по уголовному делу гражданский иск, обязав осужденных выплатить солидарно министерству образования Магаданской области в качестве компенсации причиненного материального ущерба более 2 млн 800 тыс. рублей.     
Приговор суда в законную силу не вступил."
/news/item/1482112/,magadan,Бывшая заведующая детским садом предстанет перед судом по обвинению в мошенничестве и служебном подлоге,"['мошенничество', 'служебный подлог']",09 Декабря 2023,"Следственными органами следственного управления СК России по Магаданской области завершено расследование уголовного дела в отношении 54-летней женщины, которая обвиняется в совершении преступлений, предусмотренных ч. 4 ст. 159 УК РФ (мошенничество с использованием своего служебного положения, в особо крупном размере) и ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, обвиняемая, занимая должность заведующей одного из дошкольных образовательных учреждений Магадана, в период с февраля 2017 года по ноябрь 2018 года фиктивно трудоустроила двух колымчанок в возглавляемый ею детский сад на должности воспитателей.
В указанный период, действуя с целью хищения бюджетных денежных средств, она давала указания подчиненным работникам изготавливать документы, свидетельствующие о работе указанных лиц, утверждала своей подписью табели учета рабочего времени, которые являлись основанием для ежемесячного начисления и выплаты им заработной платы.
В дальнейшем, бывшая заведующая получала незаконно начисленные деньги и распоряжалась ими по своему усмотрению. Всего, указанным способом она похитила денежные средства из бюджета муниципального образования «Город Магадан» в сумме более 1 млн рублей, причинив ущерб в особо крупном размере.
В ходе расследования женщина скрывалась от органов следствия, в связи с чем была объявлена в межгосударственный розыск. В марте 2020 года по поручению следователя управления она была задержана в международном аэропорту Сочи при попытке вылететь за пределы Российской Федерации, а затем арестована и доставлена в Магадан.
Свою вину в совершении указанных преступлений обвиняемая не признала и отказалась давать показания.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокуратурой обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1777489/,magadan,В Магадане осужден бухгалтерский работник за хищение бюджетных средств и служебный подлог,"['мошенничество', 'приговор']",12 Сентября 2023,"Собранные следственными органами СУ СК России по Магаданской области доказательства признаны судом достаточными для вынесения приговора бывшему главному бухгалтеру бюджетного учреждения здравоохранения «Магаданский областной диспансер психиатрии и наркологии», после реорганизации - бывшему начальнику отдела Магаданского областного медицинского информационно-аналитического центра. Она признана виновной в совершении преступлений, предусмотренных  ч. 4 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана, совершенное лицом с использованием своего служебного положения, в особо крупном размере) и ч. 2 ст. 292 УК РФ (служебный подлог).
Как установлено следствием и судом, в период 2018-2022 годов, используя свое положение и влияние, 65-летняя осужденная фиктивно трудоустраивала на разные периоды времени в учреждение здравоохранения трех своих знакомых, получая за них заработные платы, выплаты стимулирующего, компенсационного характера и отпускные.  Незаконными действиями злоумышленницы бюджетному учреждению причинен ущерб в особо крупном размере на общую сумму более 5,4 млн рублей.
Преступления выявлены в ходе оперативно-розыскной деятельности УМВД России по Магаданской области.
Приговором суда осужденной назначено наказание в виде 3,5 лет лишения свободы, условно на срок 3 года, с лишением права занимать определенные должности на срок 3 года.
Судом удовлетворен гражданский иск бюджетного учреждения о взыскании с осужденной денежных средств в счет возмещения ущерба, причиненного преступлением, в размере почти 3,8 млн рублей с учетом частичного добровольного погашения ущерба.
Приговор не вступил в законную силу."
/news/item/1557573/,magadan,Завершено расследование уголовного дела по обвинению бывшего начальника отряда противопожарной службы в коррупционных преступлениях,"['злоупотребление полномочиями', 'мошенничество', 'превышение полномочий', 'служебный подлог']",10 Августа 2023,"По версии следствия, должностное лицо одного из отрядов Федеральной противопожарной службы по Магаданской области, занимающее руководящую должность в указанном государственном учреждении, с ноября 2017 года по декабрь 2019 года, совершал на постоянной основе хищение бюджетных средств. 
Так, в нарушение трудового законодательства документально не оформив увольнение одной из подчиненных сотрудниц и не обязывая ее выполнять трудовые функции, обвиняемый, путем обмана вышестоящего руководства о фактическом наличии вакансии в вверенном ему учреждении, используя свое служебное положение начальника, давал указание подчиненным о ежемесячном табелировании уволившейся сотрудницы, а также о включении ее в рапорты о премировании.
После чего, обвиняемый сам лично утверждал табели учета рабочего времени, то есть официальные документы и передавал в бухгалтерию для начисления заработной платы и иных выплат уволившейся сотруднице, которые начислялись и выплачивались последней в полном объеме. Бывшая же сотрудница по указанию обвиняемого, ежемесячно перечисляла полученные в качестве оплаты труда денежные средства на банковский счет как самого злоумышленника, так и его родственников.
В результате вышеуказанных преступных действий обвиняемым из федерального бюджета похищено более 2 млн. рублей, что является особо крупным размером.
Кроме того, обвиняемый, превышая свои должностные полномочия, лично в отсутствие законных оснований устанавливал некоторым подчиненным сотрудникам премиальные выплаты, с последующим включением их в соответствующий приказ за своей подписью. На основании незаконно составленных приказов указанным сотрудникам начислялись и выплачивались премии, 50 % от размера которых сотрудники учреждения перечисляли на банковский счет обвиняемого либо его супруги.
Всего указанным способом начальник учреждения незаконно получил от подчиненных сотрудников денежные средства на общую сумму 865 000 рублей.
По результатам расследования незаконные действия обвиняемого квалифицированы по ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями), ч. 4 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения, в особо крупном размере),  ч. 2 ст. 292 УК РФ (служебный подлог), ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
Уголовное дело было возбуждено по материалам оперативно-розыскной деятельности УЭБиПК УМВД России по Магаданской области.
В ходе расследования обвиняемый свою вину в инкриминируемых ему деяниях не признал, однако следствием собран достаточный объем доказательств, подтверждающих виновность последнего в совершении указанных коррупционных преступлениях.
К данному моменту расследование уголовного дела завершено, в связи с чем передано в прокуратуру для решения вопроса об утверждении обвинительного заключения и направления в суд."
/news/item/1176846/,magadan,Бывшему руководителю Охотского территориального управления Федерального агентства по рыболовству предъявлено окончательное обвинение,"['взятка', 'коррупция', 'чиновник']",18 Июля 2023,"Бывшему руководителю Охотского территориального управления Федерального агентства по рыболовству предъявлено обвинение в совершении двух преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение должностным лицом взятки в виде денег лично и через посредника, с вымогательством взятки, в особо крупном размере).  
Совокупность собранных отделом по расследованию особо важных дел следственного управления СК России по Магаданской области доказательств явилась достаточной для предъявления обвинения бывшему чиновнику по двум эпизодам получения взяток, сопряженных с вымогательством, в особо крупном размере.
По версии следствия, в период лососевой путины 2016 года временно исполняющий обязанности руководителя Охотского территориального управления Федерального агентства по рыболовству намеренно создал условия, парализующие нормальную деятельность двух родовых общин коренных малочисленных народов Севера в области рыболовства. После этого обвиняемый потребовал от предпринимателя, содействующего родовым общинам в вылове рыб лососевых видов, взятку в виде денег за ослабление режима проверок их деятельности.
В период с июня по сентябрь 2016 года в г. Магадане бывший чиновник получил от предпринимателя частями взятку в сумме 2 миллиона 800 тысяч рублей.
По аналогичной преступной схеме бывший руководитель Охотского территориального управления Федерального агентства по рыболовству вымогал взятку у этого же предпринимателя в период проведения лососевой путины в 2017 году. Однако его преступные действия были пресечены, и 23 июля 2017 года он был задержан в г. Магадане с поличным после получения части очередной взятки. В данном случае чиновник намеревался незаконно получить 4 миллиона рублей.
В ближайшее время планируется завершить предварительное следствие и предъявить обвиняемому и его защитникам все материалы уголовного дела для ознакомления."
