Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1140250/,mordovia,Сотрудники исправительной колонии подозреваются в злоупотреблении должностными полномочиями,[],03 Мая 2024,"Отделом по расследованию особо важных дел Следственного управления Следственного комитета Российской Федерации по Республике Мордовия по факту злоупотребления должностными лицами ФКУ ИК-12 УФСИН России по Республике Мордовия своими полномочиями возбуждено уголовное дело (ч.1 ст.285 УК РФ). 
По версии следствия, с января 2012 по сентябрь 2013 года должностные лица исправительного учреждения из корыстной и иной личной заинтересованности получили от одного из осужденных, отбывающего наказание в исправительной колонии, деньги и материальные ценности в сумме более 340 тысяч рублей. 
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1246227/,mordovia,В Краснослободском районе бывший глава администрации сельского поселения признан виновным в мошенничестве,"['мошенничество', 'приговор']",02 Мая 2024,"Собранные Краснослободским межрайонным следственным отделом Следственного управления Следственного комитета Российской Федерации по Республике Мордовия доказательства признаны судом достаточными для вынесения  приговора бывшему главе Колопинского сельского поселения, признанному виновным в совершении преступления, предусмотренного ч.3 ст.159.2 УК РФ (мошенничество при получении выплат, совершенное лицом с использованием своего служебного положения).
Следствием и судом установлено, что в сентябре 2013 года осужденный, занимая должность главы сельского поселения, из корыстных побуждений с целью получения государственной социальной стипендии его двумя детьми, обучавшимися в высших учебных заведениях, изготовил справки о размере своих доходов с июня по  август  2013 года. При этом размер своего дохода за указанный период времени он уменьшил более чем в 2 раза. В результате незаконных действий его семья была признана малообеспеченной и на основании предоставленных справок его детям с сентября 2013 по июнь 2014 года была назначена и выплачена государственная социальная стипендия на общую сумму около 55 тысяч рублей.
Приговором суда мужчине назначено наказание в виде 2 лет лишения свободы  условно, с испытательным сроком 2 года. Приговор суда в законную силу не вступил."
/news/item/1140278/,mordovia,Вступил в законную силу приговор в отношении двух фигурантов уголовного дела о коммерческом подкупе,[],26 Апреля 2024,"Собранные Темниковским межрайонным следственным отделом Следственного управления Следственного комитета Российской Федерации по Республике Мордовия доказательства признаны судом достаточными для вступления в законную силу приговора в отношении жителей Темниковского района республики Рашить и Динара Муратовых, являющихся отцом и сыном. Они признаны виновными в совершении преступления, предусмотренного п.«а» ч.2 ст.204 УК РФ (коммерческий подкуп, совершенный группой лиц по предварительному сговору).
Следствием и судом установлено, что в октябре 2012 года  администрация Темниковского муниципального района разместила объявление о проведении аукциона по продаже в собственность земельного участка из земель населенных пунктов с видом разрешенного использования «под объекты торговли» площадью  6632 кв.м. Для участия в конкурсе заявки подали Динар Муратов, являющийся индивидуальным предпринимателем, и еще одна коммерческая организация. Муратовы решили подкупить представителя коммерческой организации с целью его пассивного участия и намеренного проигрыша в аукционе. В результате 20 ноября 2012 года перед началом аукциона, действуя согласованно, обвиняемые предложили и передали второму участнику аукциона денежные средства в размере 300 тысяч рублей. 
Решение о возбуждении уголовного дела было принято следственными органами по результатам оперативно-розыскных мероприятий, проведенных сотрудниками управления ФСБ России по Республике Мордовия.
Приговором суда Муратовым назначено наказание в виде штрафа в размере 12 миллионов рублей каждому и лишением права заниматься коммерческой деятельностью на 2 года. Рашить Муратов освобожден от исполнения наказания в связи с применением акта об амнистии. Приговор суда вступил в законную силу. 
Следствием в интересах государства приняты меры к исполнению приговора за счет арестованного личного имущества Динара Муратова."
/news/item/1140164/,mordovia,За фальсификацию доказательств предстанет перед судом,[],24 Апреля 2024,"Следствием установлено, что в ноябре 2008 года обвиняемый сфальсифицировал документы о ремонте бытовой техники на сумму свыше 13 тысяч рублей и представил их вместе с исковым заявлением в мировой суд. Согласно иска Блиненков просил взыскать с ответчиков материальный ущерб, причиненный в результате затопления его квартиры в городе Ковылкино.  
В ходе следствия было также установлено, что бытовая техника не ремонтировалась и организации, якобы, производившей ремонт, не существует. 

Следствием собрана достаточная доказательственная база, в связи с чем после  утверждения обвинительного заключения уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1140247/,mordovia,Женщина признана виновной в покушении на дачу взятки начальнику органа внутренних дел за освобождение ее сына от административного ареста,[],10 Апреля 2024,"Собранные Краснослободским межрайонным следственным отделом Следственного управления Следственного комитета Российской Федерации по Республике Мордовия доказательства признаны судом достаточными для вынесения приговора 40-летней Ольге Кубасовой. Она признана виновной в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки).
Следствием и судом установлено, что 4 июня 2013 года в служебном кабинете обвиняемая пыталась дать взятку в размере 15 тысяч рублей начальнику межмуниципального отдела полиции «Краснослободский» МВД России по Республике Мордовия за совершение заведомо незаконных действий по освобождению ее сына от административного ареста, назначенного постановлением мирового судьи за управление транспортным средством в состоянии опьянения и будучи лишенным прав. Однако довести свой преступный умысел до конца женщина не смогла, поскольку была задержана сотрудниками правоохранительных органов.
Приговором суда Кубасовой назначено наказание в виде штрафа в размере 360 тысяч рублей. Приговор в законную силу не вступил."
/news/item/1140176/,mordovia,По подозрению в получении взятки задержан прокурор района,[],05 Апреля 2024,"По версии следствия, подозреваемый требовал от директора муниципального предприятия «Ковылкинский муниципальный рынок» денежные средства в размере 310 тысяч рублей за непривлечение  к административной ответственности в виде штрафа. 28 декабря 2010 года  в собственном кабинете в городе Ковылкино подозреваемый был задержан сотрудниками УФСБ по Республике Мордовия с поличным при получении денег  в сумме 100 тысяч рублей. Противоправная деятельность прокурора была пресечена в ходе совместных действий сотрудников Следственного управления, УФСБ и собственной безопасности прокуратуры республики.   
В настоящее время проводятся следственные действия и оперативно-розыскные мероприятия, направленные на сбор и закрепление доказательственной базы и установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1404734/,mordovia,Заместитель начальника исправительной колонии заключен под стражу по подозрению в получении взятки,['взятка'],01 Апреля 2024,"Зубово-Полянским межрайонным следственным отделом Следственного управления Следственного комитета  России по Республике Мордовия возбуждено уголовное дело в отношении заместителя начальника ФКУ ИК-1 УФСИН России по Республике Мордовия, подозреваемого в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение взятки).
Установлено, что в октябре 2019 года на автодороге в Зубово-Полянском районе подозреваемый был задержан оперативными сотрудниками УФСБ по Республике Мордовия при содействии собственной безопасности регионального УФСИН  после получения взятки в размере 150 тысяч рублей. По данным следствия, денежные средства передавались в интересах одного из осужденных – за общее покровительство и доставку на территорию исправительного учреждения запрещенных предметов. После задержания денежные средства у сотрудника исправительной колонии были изъяты.
В настоящее время судом по ходатайству следователя СК в отношении подозреваемого избрана мера пресечения в виде заключения под стражу. В ближайшее время ему будет предъявлено обвинение
Проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления и закрепление доказательственной базы, а также выявление дополнительных эпизодов противоправной деятельности подозреваемого. Расследование уголовного дела продолжается."
/news/item/1140231/,mordovia,Преподаватель техникума подозревается в получении взятки,[],26 Марта 2024,"Чамзинским межрайонным следственным отделом Следственного управления Следственного комитета Российской Федерации по Республике Мордовия возбуждено уголовное дело в отношении преподавателя государственного бюджетного образовательного учреждения  Республики Мордовия среднего профессионального образования «Алексеевский индустриальный техникум», подозреваемой в совершении преступления, предусмотренного  ч.1 ст.290 УК РФ (получение взятки).
По версии следствия, днем 25 июня 2013 года подозреваемая,  являясь членом государственной аттестационной комиссии, получила от студента техникума взятку в размере 2 тысячи рублей за содействие в сдаче государственного аттестационного и квалификационного экзамена, после чего была задержана сотрудниками полиции.
  
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенных преступлений и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1435279/,mordovia,Завершено расследование уголовного дела в отношении нескольких фигурантов по факту получения взятки в особо крупном размере,"['взятка', 'коррупция']",20 Марта 2024,"Отделом по расследованию особо важных дел Следственного управления СК России по Республике Мордовия  завершено расследование уголовного дела в отношении двух работников ПАО «Ковылкинский электромеханический завод» и двух военнослужащих военного представительства Министерства обороны. В зависимости от роли каждого мужчинам предъявлено обвинение в совершении преступлений, предусмотренных ч.6 ст.290 УК РФ (получение взятки организованной группой в особо крупном размере)  и двух эпизодов п. «в» ч.5 ст. 290  УК РФ (получение взятки  через посредников в крупном размере).
По версии следствия, с ноября 2014 по июнь 2018 года обвиняемые, поддерживающие между собой в течение длительного времени дружеские отношения, за обеспечение заключения договоров с коммерческими организациями и лоббирование интересов в рамках исполнения обязательств по данным договорам получили от фактического руководителя данных организаций несколькими частями взятку в размере более 22 миллионов рублей. Незаконное денежное вознаграждение перечислялось на банковскую карту и затем распределялось между членами организованной группы.
В ходе расследования также установлено, что один из фигурантов уголовного дела, являвшийся работником завода, за аналогичные действия, выразившиеся в обеспечении заключения договора поставки с другой коммерческой организацией, а также лоббирование интересов последней в рамках исполнения обязательств по договору, через посредников дважды получил несколькими частями  взятку в размере более 1,4 миллиона рублей.
В ходе следствия в целях обеспечения исполнения приговора наложен арест на имущество обвиняемых.  Фигуранты уголовного дела по решению суда помещены под домашний арест.
Уголовное дело возбуждено на основании материалов оперативно-разыскной деятельности  сотрудников республиканских ФСБ и МВД.
Следователем СК собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1140212/,mordovia,Признана виновной в покушении на дачу взятки сотруднику регионального МЧС,[],19 Марта 2024,"Собранные Ковылкинским межрайонным следственным отделом Следственного управления СКР по Республике Мордовия доказательства признаны судом достаточными для вынесения приговора 42-летней индивидуальной предпринимательнице. Она признана виновной в совершении преступления, предусмотренного ч.3 ст.30, ч.1 ст.291 УК РФ (покушение на дачу взятки). 
Следствием и судом установлено, что в сентябре 2012 года сотрудниками отделения надзорной деятельности по Ковылкинскому муниципальному району ГУ МЧС РФ по Республике Мордовия была проведена проверка торговой точки индивидуального предпринимателя в поселке Кадошкино. По результатам проверки было вынесено постановление о наложении административного взыскания за нарушение требований пожарной безопасности. 5 октября 2012 года женщина за непринятие мер, входящих в должностные обязанности сотрудника МЧС, по взысканию с нее штрафа, передала ему взятку в сумме 10 тысяч рублей. Довести до конца свои преступные действия злоумышленница не смогла, так как майор внутренней службы от получения денежной суммы отказался, а ее противоправные действия были пресечены сотрудниками полиции.
Уголовное дело рассмотрено в особом порядке судебного разбирательства, поскольку женщина полностью признала  вину в инкриминируемом преступлении.
Приговором суда ей назначено наказание в виде штрафа в размере 100 тысяч рублей. Приговор вступил в законную силу."
