Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1257887/,murmansk,Перед судом предстанет бывший директор детско-юношеской спортивной школы города Полярный за совершение служебного подлога и растраты,"['растрата', 'служебный подлог']",28 Марта 2024,"Фото из открытых источников            

Следственным отделом по закрытым административно-территориальным образованиям Мурманской области Следственного управления Следственного комитета Российской Федерации по Мурманской области завершено расследование  уголовного дела в отношении бывшего директора детско-юношеской спортивной школы города Полярный Мурманской области (МАОУ ДО ДЮСШ г. Полярный). Он обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 160 УК РФ (растрата, то есть в хищении чужого имущества, вверенного виновному, совершенного лицом с использованием своего служебного положения) и ч. 1 ст. 292 УК РФ (служебный подлог, то есть внесение должностным лицом в официальные документы заведомо ложных сведений, совершенных из корыстной и иной личной заинтересованности).
Следствием установлено, что обвиняемый, являясь на момент совершения преступления директором детско-юношеской спортивной школы города Полярный (МАОУ ДО ДЮСШ г. Полярный), принял на должность тренера-преподавателя своего сына, который в сентябре 2016 года на протяжении некоторого времени отсутствовал на рабочем месте по причинам, не связанным с исполнением им трудовых обязанностей. При этом злоумышленник поручил подчиненному работнику, неосведомленному о преступных намерениях последнего, внести в табель учета рабочего времени заведомо недостоверные сведения о том, что его сын находился на рабочем месте.
Кроме того, обвиняемый, реализуя свой преступный умысел, направленный на служебный подлог и осознавая, что без его подписи платежная ведомость не будет принята к исполнению бухгалтерией МАОУ ДО ДЮСШ, собственноручно утвердил расчетно-платежную ведомость за сентябрь 2016 года, поставив в ней свою подпись, тем самым причинив Управлению образования администрации ЗАТО Александровск имущественный вред.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
 
Старший помощник руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Ксения Кошелюк"
/news/item/1480212/,murmansk,"Завершено расследование уголовного дела в отношении главного бухгалтера организации Никеля, обвиняемой в присвоении",['присвоение'],26 Марта 2024,"Фото из открытых источников            

Следственным отделом по городу Заполярный Следственного управления Следственного комитета Российской Федерации по Мурманской области завершено расследование уголовного дела в отношении руководителя одного из муниципальных унитарных предприятий города Никеля. Она обвиняется в совершении преступления, предусмотренного ч. 3 ст. 160 УК РФ (присвоение, то есть хищение чужого имущества, совершенное лицом с использованием служебного положения).
По версии следствия, обвиняемая, 1981 года рождения, занимала должность главного бухгалтера управляющей компании. В 2015 году женщина, используя подложный договор возмездного оказания услуг по раскладке и подшивке бухгалтерских документов, якобы заключенный предприятием с ее матерью, присвоила денежные средства в сумме 30 000 рублей. Данные средства поступили в кассу предприятия, в том числе в качестве оплаты населением услуг жилищно-коммунального хозяйства.
В ходе предварительного следствия обвиняемая полностью признала вину в инкриминируемом преступлении, дала исчерпывающие признательные показания. Причиненный ущерб женщина возместила в полном объеме.
Уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу. Санкция указанной статьи предусматривает максимальное наказание в виде лишения свободы на срок до шести лет.
 
Старший помощник руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Алина Александрович"
/news/item/1250038/,murmansk,В ходе расследования уголовного дела по факту присвоения выявлен дополнительный эпизод преступной деятельности бывшего начальника «Медико-санитарной части №5»,['служебный подлог'],22 Марта 2024,"фото из открытых источников            

Следственным отделом по закрытым административно-территориальным образованиям Мурманской области Следственного управления Следственного комитета Российской Федерации по Мурманской области расследуется уголовное дело, возбужденное по признакам состава преступления, предусмотренного по ч.3 ст.160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное с использованием своего служебного положения).
В ходе проведенных следственных действий выявлен дополнительный эпизод преступной деятельности бывшего начальника «Медико-санитарной части №5» Федерального государственного бюджетного учреждения здравоохранения «Центральная медико-санитарная часть №120» Федерального медико-биологического агентства, расположенного на территории ЗАТО Александровск. В отношении неё возбуждено уголовное дело по признакам состава преступления, предусмотренного ч. 1 ст. 292 УК РФ (служебный подлог).
По данным следствия, в октябре 2016 года подозреваемая в целях незаконного обогащения за счет средств федерального бюджета, то есть действуя из корыстной заинтересованности, внесла заведомо ложные сведения в авансовый отчет, являющийся официальным документом, о получении компенсации на проезд к месту проведения отпуска и обратно, подлежащих возмещению. В результате внесения заведомо ложных сведений в официальный документ работнику из средств федерального бюджета незаконно были выплачены денежные средства в сумме более 20 000 рублей.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается.
Санкцией статьи предусмотрено максимальное наказание в виде лишения свободы на срок до двух лет.
 
Старший помощник руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Ксения Кошелюк"
/news/item/1478329/,murmansk,В Оленегорске бывший судебный пристав-исполнитель предстанет перед судом по обвинению в получении взятки,"['взятка', 'должностное лицо']",09 Января 2024,"Фото СУ СК России по Мурманской области            

Следственным отделом по городу Мончегорск следственного управления Следственного комитета Российской Федерации по Мурманской области завершено расследование уголовного дела в отношении бывшего судебного пристава-исполнителя отдела судебных приставов города Оленегорска. Она обвиняется в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия).
По версии следствия, в феврале 2020 года в производстве судебного пристава-исполнителя находилось исполнительное производство о взыскании задолженности с жителя города Оленегорска, являющегося индивидуальным предпринимателем. Обвиняемая, являясь должностным лицом, предложила должнику за взятку совершить ряд незаконных действий, направленных на неотчуждение имущества должника в пользу взыскателя, а также способствование окончанию исполнительного производства и возвращению исполнительного документа взыскателю.
За совершение незаконных действий 25 февраля 2020 года возле одного из кафе на улице Энергетиков в Оленегорске злоумышленница получила незаконное вознаграждение в размере 20 000 рублей. После получения денежных средств женщина была задержана.
В ходе расследования уголовного дела обвиняемая вину в инкриминируемом преступлении признала в полном объеме.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу.
 
Старший помощник руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Алина Александрович"
/news/item/1302303/,murmansk,"СЛЕДСТВЕННЫМИ ОРГАНАМИ ЗАВЕРШЕНО РАССЛЕДОВАНИЕ УГОЛОВНОГО ДЕЛА В ОТНОШЕНИИ ВОДИТЕЛЯ, ОБВИНЯЕМОГО В ПОКУШЕНИИ НА МЕЛКОЕ ВЗЯТОЧНИЧЕСТВО",['взятка'],29 Декабря 2023,"Фото из открытых источников            

Следственным отделом по закрытым административно-территориальным образованиям Мурманской области Следственного управления Следственного комитета Российской Федерации по Мурманской области завершено расследование уголовного дела в отношении ранее не судимого мужчины, 1988 года рождения, обвиняемого в совершении покушения на совершение преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По версии следствия, в ночное время 13 января 2019 года житель города Североморска, управлявший транспортным средством в состоянии алкогольного опьянения и не имевший водительского удостоверения, был остановлен на автодороге возле остановки общественного транспорта поселка Сафоново инспектором дорожно-патрульной службы гибдд. с целью проверки документов водитель был приглашен в служебный автомобиль ДПС, находясь на переднем пассажирском сидении которого, желая избежать привлечения к административной ответственности, передал инспектору в качестве взятки денежные средства в сумме 3000 рублей. Взятку злоумышленник положил в переднюю панель автомашины.
Сотрудник полиции взятку не принял и сообщил о случившемся в дежурную часть отдела полиции, после чего принял меры по сохранению следов преступления до прибытия следственно-оперативной группы.
В ходе предварительного следствия мужчина вину в инкриминируемом преступлении признал полностью, дал изобличающие показания. Следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
 
Старший помощник руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Алина Александрович"
/news/item/1436256/,murmansk,"Следственными органами завершено расследование уголовного дела в отношении водителя, обвиняемой в покушении на мелкое взяточничество",['взятка'],26 Декабря 2023,"Фото из открытых источников            

Следственным отделом по закрытым административно-территориальным образованиям Мурманской области Следственного управления Следственного комитета Российской Федерации по Мурманской области завершено расследование уголовного дела в отношении ранее не судимой женщины, 1967 года рождения, обвиняемой в покушении на совершение преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По версии следствия, в дневное время 2 января 2020 года жительница поселка Сафоново-1, управлявшая транспортным средством в состоянии алкогольного опьянения, была остановлена у поворота автодороги по направлению в поселок Сафоново-1 ЗАТО город Североморск Мурманской области инспектором дорожно-патрульной службы ГИБДД. С целью проверки документов водитель была приглашена в служебный автомобиль ДПС. Находясь на переднем пассажирском сидении женщина, желая избежать привлечения к административной ответственности, передала инспектору в качестве взятки денежные средства в сумме 5000 рублей. Взятку северянка положила в нишу консоли рядом с коробкой переключения передач автомашины.
Сотрудник полиции взятку не принял и сообщил о случившемся в дежурную часть отдела полиции, после чего принял меры по сохранению следов преступления до прибытия следственно-оперативной группы.
В ходе предварительного следствия женщина вину в инкриминируемом преступлении признала полностью, дала изобличающие показания. Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
 
И.о. старшего помощника руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Алина Александрович"
/news/item/1307490/,murmansk,СЛЕДСТВЕННЫМ УПРАВЛЕНИЕМ СК РОССИИ ПО МУРМАНСКОЙ ОБЛАСТИ В СУД НАПРАВЛЕНО УГОЛОВНОЕ ДЕЛО В ОТНОШЕНИИ ДОЛЖНОСТНОГО ЛИЦА РЕГИОНАЛЬНОГО МЧС РОССИИ,"['должностное лицо', 'мошенничество']",19 Декабря 2023,"Фото из открытых источников            

Отделом по расследованию особо важных дел Следственного управления Следственного комитета Российской Федерации по Мурманской области завершено расследование уголовного дела по обвинению должностного лица ФГКУ «Специальное управление ФПС № 48 МЧС России» в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества, путем обмана, совершенное лицом с использованием своего служебного положения в особо крупном размере).
По версии следствия, в период с 05 июня 2015 года по 15 февраля 2017 года начальник специальной пожарно-спасательной части № 1 ФГКУ «Специальное управление ФПС № 48 МЧС России» в городе Снежногорске Мурманской области давал указания подчиненным сотрудникам о написании рапортов о выплате им денежных средств в качестве дополнительной материальной помощи. В указанные документы сотрудниками вносились ложные сведения о необходимости прохождения лечения, приобретения лекарственных средств. По указанию должностного лица при поступлении бюджетных денежных средств сотрудникам СПСЧ № 1 для заявленных нужд, последние передавали часть полученных денег обвиняемому. Всего должностным лицом от подчиненных сотрудников получены денежные средства в размере более 2 300 000 рублей, что в соответствии с нормами Уголовного кодекса Российской Федерации является особо крупным размером. Полученными денежными средствами обвиняемый распорядился в личных целях по своему усмотрению.
В ходе предварительного расследования следователями проведен комплекс следственных действий, направленный на сбор доказательств. В том числе в качестве свидетелей допрошен ряд должностных лиц из числа сотрудников ФГКУ «Специальное управление ФПС № 48 МЧС России», проведены экономические исследования бухгалтерских документов учреждения. Вину в инкриминируемом преступлении обвиняемый не признал, от показаний не отказывался, выдвигал защитную версию, которая опровергнута следствием.
Преступление выявлено в ходе оперативно-розыскных мероприятий, проведенных сотрудниками УФСБ России по Мурманской области.
Следствием собрана достаточная доказательственная база, и уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу.
Максимальное наказание, предусмотренное уголовным законодательством Российской Федерации за совершение данного преступления предусматривает лишение свободы на срок до десяти лет со штрафом в размере до 1 миллиона рублей.
 
Старший помощник руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Алина Александрович"
/news/item/1428342/,murmansk,Следственным управлением СК России по Мурманской области завершено расследование уголовного дела в отношении директора Мурманского морского биологического института Кольского научного центра Российской академии наук,"['присвоение', 'растрата']",19 Декабря 2023,"Фото из открытых источников            

Отделом по расследованию особо важных дел Следственного управления Следственного комитета Российской Федерации по Мурманской области завершено расследование уголовного дела в отношении директора Мурманского морского биологического института Кольского научного центра Российской академии наук в совершении преступлений, предусмотренных ч. 3 ст. 160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному) и ч. 3 ст. 160 УК РФ (растрата, то есть хищение чужого имущества, вверенного виновному).
По данным следствия, в период с июня по сентябрь 2018 года по указанию директора института одному из его подчиненных незаконно перечислялись премии в заведомо завышенном размере. Полученные денежные средства в размере 380 000 рублей в соответствии с ранее достигнутой договоренностью с сотрудником обналичены и переданы директору. Последний незаконно присвоил деньги, распорядившись ими по своему усмотрению.
Кроме того, в период с января по октябрь 2018 года им же давались указания о перечислении заработной платы общей суммой более 200 000 рублей другому сотруднику указанного учреждения с незаконными доплатами за работу в условиях Крайнего Севера в виде районного коэффициента и процентной надбавки. При этом работник в указанный период фактически осуществлял свои трудовые функции на территории Ростова-на-Дону.
Преступная деятельность должностного лица выявлена и пресечена благодаря совместной работе с оперативными сотрудниками УФСБ России по Мурманской области.
В ходе предварительного расследования мужчина вину в совершении инкриминируемых преступлений не признал. Собранные следствием доказательства признаны прокурором достаточными, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
 
И.о. старшего помощника руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Алина Александрович"
/news/item/1419778/,murmansk,В Мурманске возбуждено уголовное дело в отношении руководства Фонда капитального ремонта по факту получения взятки в особо крупном размере,"['взятка', 'должностное лицо']",07 Декабря 2023,"Отделом по расследованию особо важных дел Следственного управления Следственного комитета Российской Федерации по Мурманской области возбуждено уголовное дело в отношении одного из руководителей НКО «Фонд капитального ремонта общего имущества в многоквартирных домах в Мурманской области» по признакам преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение должностным лицом взятки в особо крупном размере).
В ходе первоначальных следственных действий установлено, что некоммерческая организация осуществляет деятельность в качестве регионального оператора, направленную на обеспечение проведения капитального ремонта общего имущества в многоквартирных домах, расположенных на территории Мурманской области.
По версии следствия, 11 декабря 2019 года один из руководителей Фонда, находясь в здании ГДЦ «Меридиан» в городе Мурманске, получил лично от заинтересованного лица часть взятки в виде денег в размере 350 000 рублей от общей суммы взятки в размере не менее 2 500 000 рублей. Указанные денежные средства предназначались третьему лицу в качестве оплаты ранее выполненных работ по осуществлению строительного контроля. Однако ввиду имеющихся ограничений по счету последнего, принято решение о перечислении задолженности взяткодателю при условии возвращения части денежных средств должностному лицу.
Получить оставшуюся часть взятки подозреваемый не смог по независящим от него обстоятельствам, так как был задержан. Преступная деятельность мужчины выявлена и пресечена благодаря совместной работе с оперативными сотрудниками УМВД России по Мурманской области при силовой поддержке бойцов Управления Росгвардии по Мурманской области.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления, решается вопрос об избрании  меры пресечения. 
Расследование уголовного дела продолжается."
/news/item/1327976/,murmansk,"ДИРЕКТОР МАГАЗИНА КОЛЬСКОГО РАЙОНА ПОДОЗРЕВАЕТСЯ В ПРИСВОЕНИИ, СОВЕРШЕННОМ В ОСОБО КРУПНОМ РАЗМЕРЕ",['присвоение'],05 Декабря 2023,"Фото из открытых источников            

Следственным отделом по Кольскому району Следственного управления Следственного комитета Российской Федерации по Мурманской области возбуждено уголовное дело в отношении директора одного из сетевых магазинов, занимающихся розничной продажей алкогольной продукции. Он подозревается в совершении преступления, предусмотренного ч. 4 ст. 160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному, совершенные лицом с использованием своего служебного положения в особо крупном размере).
По версии следствия, подозреваемый, 1987 года рождения, в период с августа 2018 года по февраль 2019 года совершил присвоение денежных средств в сумме более 1,5 миллионов рублей, принадлежащих магазину. Мужчина похищал вверенные ему денежные средств из кассы, после чего вносил в кассовый отчет недостоверные сведения. Присвоенные денежные средства подозреваемый потратил на погашение собственных долгов перед кредитными организациями, а также на иные личные нужды.
Преступные действия мужчины выявлены и пресечены благодаря тесному взаимодействию с оперативными сотрудниками УЭБиПК УМВД России по Мурманской области.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Следователями изъята бухгалтерская документация организации, проводятся необходимые финансовые исследования, направленные на установление точной суммы ущерба, причиненного действиями злоумышленника.
Санкцией статьи предусмотрено максимальное наказание в виде лишения свободы на срок до десяти лет. Расследование уголовного дела продолжается.
 
Старший помощник руководителя Следственного управления Следственного комитета РФ по Мурманской области по взаимодействию со СМИ Алина Александрович"
