Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1438835/,nsk,В Новосибирске расследуется уголовное дело по факту дачи и получения взятки,['взятка'],03 Мая 2024,"Следственным отделом по Дзержинскому району города Новосибирска следственного управления Следственного комитета Российской Федерации по Новосибирской области возбуждено уголовное дело в отношении 40-летнего участкового уполномоченного полиции по ч. 3 ст. 290 УК РФ (получение взятки) и 36-летнего мужчины по ч. 3 ст. 291 УК РФ (дача взятки).
По данным следствия, в 2019 году старший участковый уполномоченный полиции отдела УУП и ПДН ОП № 5 «Дзержинский» УМВД России по г. Новосибирску встретился с ранее знакомым 36-летним мужчиной, осуществляющим предпринимательскую деятельность в области оказания услуг по подготовке к захоронению и захоронению умерших,  и договорились что сотрудник полиции будет получать персональные данные лиц, умерших на территории Дзержинского района г.Новосибирска, а также их родственников, и передавать их 36-летнему мужчине похоронного агентства.
В случае дальнейшего заключения с родственниками умершего договора на оказание услуг по подготовке и захоронению тела, сотрудник полиции будет получать взятку в сумме 10 тыс. рублей за каждый факт предоставления информации.
В настоящее время выявлено два преступных эпизода дачи и получения взятки. 
Уголовное дело возбуждено по материалам оперативно-розыскной деятельности Управления собственной безопасности ГУ МВД России по Новосибирской области. 
Подозреваемые по уголовному делу задержаны и в настоящее время решается вопрос об избрании им меры пресечения.
По делу выполняется комплекс следственных действий, направленных на установление всех подлежащих доказыванию обстоятельств, расследование продолжается."
/news/item/1213686/,nsk,В городе Новосибирске завершено расследование уголовного дела в отношении экс - начальника отдела имущества и земельных отношений администрации Ордынского района Новосибирской области,"['должностное лицо', 'мошенничество']",25 Апреля 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Новосибирской области  завершено расследование уголовного дела в отношении Элины Фомичевой по признакам преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество), ч. 3 ст. 285 УК РФ (злоупотребление полномочиями)
По версии следствия, в период с 2009 по 2011 годы Фомичева, используя свое служебное положение, приобрела право собственности на два земельных участка общей площадью более 2000 кв.м., которые оформила на своих родственников, тем самым причинила ущерб на сумму более 900 тыс. рублей
Далее, в указанный период времени Фомичева,  используя свои должностные  полномочия вопреки интересам службы и злоупотребляя ими, незаконно, бесплатно, путем подготовки распоряжений и актов передачи земельных участков, подписанных от имени главы Ордынского района Новосибирской области, в целях сокрытия совершенного ей мошенничества, предоставила физическим лицам 50 земельных участков. Ущерб составил более 14 млн. рублей.
Уголовное дело возбуждено по материалам оперативно-розыскной деятельности, проведенной Управлением ФСБ России по Новосибирской области.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением после вручения его копии обвиняемому будет направлено в суд для рассмотрения по существу."
/news/item/1284156/,nsk,В городе Новосибирске вынесен приговор в отношении сотрудника Ростехнадзора в получении взятки,['взятка'],23 Апреля 2024,"Собранные вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Новосибирской области доказательства признаны судом достаточными для вынесения обвинительного приговора  в отношении Марии Усмановой в совершении трех эпизодов преступлений, предусмотренных ч. 2 ст. 290 УК РФ.
По версии следствия, с 2016 по 2017 год главный государственный инспектор Новосибирского отдела по надзору за тепловыми электростанциями, теплогенерирующими установками и сетями и котлонадзору Сибирского управления Ростехнадзора Усманова, за денежное вознаграждение оформляла акты осмотров и выдавала разрешения на допуск в эксплуатацию тепловых энергоустановок ряду юридических лиц на территории г. Новосибирска. Общая сумма полученных взяток составила более 140 тыс. рублей.
Приговором Центрального районного суда  Мария Усманова приговорена к 3 годам лишения свободы, с отсрочкой отбывания наказания до достижения ребенком четырнадцатилетнего возраста."
/news/item/1139070/,nsk,Для сотрудников следственного управления состоялась лекция профессора Гармаева Ю.П.  о расследовании уголовных дел коррупционной направленности,[],05 Апреля 2024,"Сегодня в актовом зале следственного управления, в рамках проведения учебно-методической работы, состоялась лекция доктора юридических наук, профессора Гармаева Юрия Петровича, на которой присутствовали сотрудники аппарата следственного управления, следователи отдела по расследованию особо важных дел, руководители и заместители руководителей межрайонных и районных следственных подразделений,
На лекции были обсуждены наиболее актуальные вопросы работы в сфере противодействия  коррупции - организация расследования преступлений коррупционной направленности, в том числе  эффективные методы взаимодействия с субъектами оперативно-розыскной деятельности, раскрываемость таких преступлений следственным путем и их квалификация, взаимодействие с надзирающим прокурором и государственным обвинителем после направления уголовных дел этой категории в суд.
Кроме того, слушателям даны практические советы по организации работы общественных помощников следователей."
/news/item/1139071/,nsk,"В следственном  управлении с участием судьи  Новосибирского областного суда в отставке Сюркалова А.Н. состоялся учебный семинар по вопросам, возникающим в ходе  судебного следствия  по уголовным делам о преступлениях, совершаемых должностными лицами",[],04 Апреля 2024,"В рамках проведения учебно-методической работы, в следственном  управлении с участием судьи Новосибирского областного суда в отставке Сюркалова А.Н. состоялся очередной учебный семинар для  следователей следственных подразделений аппарата и территориальных подразделений по темам - «Преступное бездействие должностных лиц» и «Преступления против интересов службы в коммерческих и иных организациях».
После лекционной части  проведена  письменная проверка знаний следователей по указанным темам в виде задач для самостоятельного решения."
/news/item/1501860/,nsk,В Новосибирске завершено расследование уголовного дела по факту мошенничества сотрудниками «Института горного дела им. Г.А. Чинакала» СО РАН,"['мошенничество', 'присвоение', 'растрата']",29 Марта 2024,"Заельцовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Новосибирской области завершено расследование уголовного дела в отношении трех сотрудников «Института горного дела им. Г.А. Чинакала» СО РАН. В зависимости от роли и степени участия каждого они обвиняются в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество в крупном размере, совершенное группой лиц по предварительному сговору, с использованием служебного положения), ч. 3 и ч. 4 ст. 160 УК РФ (присвоение и растрата с использованием своего служебного положения, в крупном и особо крупном размерах).
По данным следствия, директор института, его заместитель, а также научный сотрудник учреждения похитили денежные средства, полученные институтом для выполнения научно-исследовательских работ. В 2017 году заместитель директора «Института горного дела им. Г.А. Чинакала» СО РАН вышел с инициативой к руководству института о покупке измерительной системы телеинспекции за 700 тысяч рублей за счет денежных средств научного гранта, при этом осознавая, что стоимость системы завышена.
Измерительная система телеинспекции была приобретена за 288 тысяч рублей и поставлена в институт на основании заключенного договора за 700 тысяч рублей. Таким образом стоимость измерительной системы необоснованно завышена более чем на 400 тысяч рублей.
Кроме того, сотрудники института незаконно растратили почти 700 тыс. рублей, полученные в качестве надбавок за своевременное и качественное выполнение плановых заданий, которые выполняли другие работники.
Общий размер причиненного преступлениями ущерба составил более 2,4 млн рублей.
В рамках расследования уголовного дела, в целях возмещения ущерба, причиненного преступлением, на имущество обвиняемых следователем СКР наложен арест в общей сумме более 4 млн рублей.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
Старший помощник руководителя следственного управления Следственного комитета РФ по Новосибирской области по взаимодействию со СМИ Анастасия Кулешова"
/news/item/1663137/,nsk,В Новосибирске завершено расследование уголовного дела о взяточничестве в особо крупном размере,[],23 Января 2024,"Отделением по расследованию особо важных дел (о преступлениях прошлых лет) следственного управления СК России по Новосибирской области завершено расследование уголовного дела по обвинению учредителя ООО «Похоронный дом «Некрополь» в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу через посредника, в особо крупном размере).
По данным следствия, обвиняемый в период с февраля 2011 года по июль 2019 года через двух работников организации, действуя в составе группы лиц по предварительному сговору, дал взятку в особо крупном размере заведующему патологоанатомическим отделением Новосибирской городской клинической больницы № 1 в виде денег в общей сумме более 1, 2 млн рублей.
Взятки в размере от 500 до 1 000 рублей передавались должностному лицу за каждого умершего в больнице пациента, в отношении которого ритуальные услуги были оказаны ООО «Похоронный дом «Некрополь».
Фигурант по делу долго скрывался от органов предварительного следствия, был объявлен в федеральный розыск. Однако в ноябре 2021 года был задержан сотрудниками полиции в городе Санкт-Петербурге.
В ходе следствия обвиняемому была избрана мера пресечения в виде домашнего ареста. Вину в совершенном преступлении он не признал.
Следователем выполнен весь комплекс следственных и процессуальных действий, с учетом собранных доказательств уголовное дело вместе с утвержденным обвинительным заключением направлено в Заельцовский районный суд города Новосибирска для рассмотрения по существу."
/news/item/1214634/,nsk,В Новосибирской области расследуется уголовное дело по факту получения взятки,"['взятка', 'служебный подлог']",21 Декабря 2023,"Карасукским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Новосибирской области в отношении 37-летнего инспектора отдела надзора в области карантина растений Управления Федеральной службы по ветеринарному и фитосанитарному надзору по Новосибирской области возбуждено уголовное дело по признакам преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки), и ч. 1 ст. 292 УК РФ (служебный подлог).
По данным следствия, в феврале 2018 года 37-летний инспектор отдела надзора в области карантина растений Управления Федеральной службы по ветеринарному и фитосанитарному надзору по Новосибирской области оформил 7 фитосанитарных сертификатов, на картофель производственный свежий, в количестве 140 тонн, перевозимый на 7 грузовых автомобилях  с территории Российской Федерации в Республику Казахстан, в которые внес заведомо ложные сведения об экспорте, юридическом адресе, наименовании продукции и весе, по которым  экспертиза о карантинном фитосанитарном состоянии продукции не проводится. За незаконные действия инспектор от предпринимателя получил взятку в сумму 17 тыс. рублей.
После получения взятки инспектор задержан сотрудниками Пограничного управления ФСБ России по Новосибирской области. Фигурант дела задержан и судом избрана мера пресечения в виде заключения под стражу.
В настоящее время по уголовному делу проводится комплекс следственных действий, направленных на установление всех подлежащих доказыванию обстоятельств, расследование продолжается."
/news/item/1139073/,nsk,"В связи  с передачей  уголовных дел о налоговых преступлениях  в  подследственность Следственного комитета РФ, в следственном управлении состоялся учебный семинар о методике расследования указанных преступлений",[],20 Декабря 2023,"С января 2011 года к подследственности органов Следственного комитета передаются уголовные дела о преступлениях в сфере налоговых правоотношений. 
Это составы  преступлений, предусмотренные 
статьей 198 УК РФ -  уклонение  от уплаты налогов и (или) сборов с физического лица, 
статьей 199 УК РФ – уклонение от уплаты налогов и (или) сборов с организации, 
статьей 199.1 УК РФ – неисполнение обязанностей налогового агента, 
статьей 199.2 УК РФ – сокрытие денежных средств либо имущества организации или индивидуального предпринимателя, за счет которых должно производиться взыскание налогов и (или) сборов. 
Для расследования  налоговых преступлений вводится  специализация следователей. 
В связи с этим, для   почти 50 сотрудников  следственных подразделений проведен учебно-методический семинар по теме «Основы налогового законодательства. Налоговые преступления».  
Лекция об основах налогового законодательства подготовлена и проведена специалистами Управления Федеральной налоговой службы России по Новосибирской области -  начальником контрольного отдела Управления ФНС Сергеем Аксеновым и специалистом отдела урегулирования задолженности и обеспечения процедур банкротства  Управления ФНС Андреем Смоленцевым.
Вторая часть учебного семинара была проведена заместителем начальника следственной части Главного следственного управления при ГУВД по Новосибирской области Алексеем Шашкевичем и посвящена методике рассмотрения материалов и расследования уголовных дел о налоговых преступлениях."
/news/item/1297183/,nsk,В Новосибирске вынесен приговор в отношении экс- главного врача,"['взятка', 'мошенничество']",07 Декабря 2023,"Собранные Заельцовским межрайонным следственным отделом следственного управления СКР по Новосибирской области доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении главного врача муниципального учреждения здравоохранения «Детская городская клиническая больница №3», по признакам составов преступлений, предусмотренных ч. 4 ст. 159 УК РФ (мошенничество), п. «в» ч. 5 ст. 290 УК РФ (вымогательство взятки), ч. 2 ст. 290 УК РФ (получение взятки).
По данным следствия, в период времени с  июня 2015 по декабрь 2016 главный врач «Детская городская клиническая больница № 3», ее 57-летняя заместитель по экономическим вопросам  и  руководитель направления медицинского страхования АО «Д2 Страхование» вступили в преступный сговор на хищение денежных средств ДГКБ №3 путем обмана, под предлогом мнимого оказания услуг по добровольному медицинскому страхованию пациентам учреждения, при этом, путем изготовления подложной документации о взаиморасчетах между ДГКБ №3, АО «Д2 Страхование» и фиктивным ИП, выступающим в качестве агента АО «Д2 Страхование», похитили денежные средства, поступавшие в ДГКБ №3 от родителей пациентов в счет оплаты услуг по пребыванию в палатах повышенной комфортности в сумме более 8 млн.рублей, что составляет особо крупный размер, после чего денежными средствами обвиняемые распорядились по собственному усмотрению.
Кроме того, в указанный период времени главный врач обеспечивала коммерческим организациям преимущественное участие в открытых аукционах, а также в создании им благоприятных условий по взаимодействию  при заключении контрактов на поставку лекарственных средств в медицинское учреждение, за что получила взятки на сумму более 800 тыс. рублей.
В ходе следствия обвиняемая заключила досудебное соглашение, в связи с чем уголовное дело было выделено в отдельное производство.
Оперативное сопровождение осуществлялось сотрудниками отдела по борьбе с экономическими преступлениями отдела полиции №3 «Заельцовский» УМВД России по г. Новосибирску.
 Приговором Заельцовского районного суда Наталья Никифорова  приговорена к 3 годам лишения свободы в колонии общего режима со штрафом в 3 млн. рублей."
