Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1858536/,orel,Завершено расследование уголовного дела в отношении бывшего начальника изолятора временного содержания подозреваемых и обвиняемых МО МВД России «Мценский»,"['взятка', 'злоупотребление полномочиями', 'коррупция']",26 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Орловской области завершено расследование уголовного дела в отношении бывшего начальника изолятора временного содержания подозреваемых и обвиняемых МО МВД России «Мценский», который обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки), ч.1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
Следствием установлено, что обвиняемый в сентябре 2021 года злоупотребил своими должностными полномочиями и получил от местного жителя, содержащегося под стражей в изоляторе, взятку в значительном размере. В качестве незаконного вознаграждения обвиняемому были предоставлены во временное пользование автомобиль, стоимостью свыше 2 млн рублей, а также две единицы строительной техники, стоимостью свыше 3 млн рублей. За это обвиняемый незаконно предоставил содержащемуся под стражей мужчине возможность получения стоматологических услуг в частной клинике города Мценска с выездом из изолятора, а также незаконно разрешал проведение свиданий с родственниками.
 
В настоящее время предварительное следствие завершено. Уголовное дело с утверждённым прокурором обвинительным заключением направлено в суд для рассмотрения по существу.
 Уголовное дело возбуждено по материалам УМВД и УФСБ России по Орловской области."
/news/item/1622134/,orel,Перед судом предстанет бывший директор спортивной школы «Русичи» Борис Люблинский,"['взятка', 'злоупотребление полномочиями', 'коррупция', 'мошенничество']",23 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Орловской области завершено расследование уголовного дела в отношении бывшего директора БУ ОО «СШОР «Русичи» Бориса Люблинского, который обвиняется в совершении 6 преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество), 6 преступлений, предусмотренных ч. 1 ст. 292 УК РФ (служебный подлог), а также в совершении преступлений, предусмотренных ч.2 ст.290 (взятка), ч.1 ст.291.2 (мелкая взятка), ч.1 ст.285 УК РФ( злоупотребление должностными полномочиями).
Следствием установлено, что обвиняемый с сентября 2016 года по август 2020 года, занимая должность директора бюджетного образовательного учреждения Орловской области дополнительного образования детей «Специализированная детско-юношеская спортивная школа олимпийского резерва по футболу «Русичи» похитил путем обмана принадлежащие спортивной школе денежные средства в общей сумме свыше 1 миллиона 400 тысяч рублей, при этом утвердив фиктивные табели учета рабочего времени и расчета заработной платы, содержащие заведомо ложные сведения о проведении тренировочных занятий. 
Также, занимаясь преступной деятельностью, обвиняемый получил в период с декабря 2017 года по декабрь 2019 года от одного из тренеров спортивной школы взятку в общей сумме 41 500 рублей, а в декабре 2019 года от другого тренера мелкую взятку в размере 5000 рублей за общее покровительство по службе.
В октябре 2018 года злоумышленник злоупотребил своими должностными полномочиями, незаконно завладев денежными средствами врача спортивной школы в сумме 22 000 рублей.
За время следствия проведен значительный объем следственных и процессуальных действий - допрошено свыше 40 свидетелей, проведено более 30 осмотров предметов и документов, УФСБ и УМВД России по Орловской области осуществлялось оперативное сопровождение расследования.
Следователем собрана достаточная доказательственная база, в связи с чем прокурором утверждено обвинительное заключение и уголовное дело  направлено в суд для рассмотрения по существу."
/news/item/1777768/,orel,В Орловской области декан факультета подозревается в совершении восьми эпизодов взяток,['взятка'],04 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Орловской области в отношении декана факультета одного из высших учебных заведений области возбуждены восемь уголовных дел о совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки), которые соединены в одном производстве.
Предварительно установлено, что подозреваемый в период с октября 2019 по декабрь 2020 года, используя свое служебное положение, склонил должностных лиц из числа профессорско-преподавательского состава ВУЗа к совершению ими незаконных действий по выставлению положительных оценок пятерым студентам по предстоящим зачетам и экзаменам, а также защите курсовых работ, без фактической проверки знаний и установленного образовательным учреждением порядка текущего контроля успеваемости обучающихся. За совершение указанных незаконных действий мужчина получил от студентов в виде взятки денежные средства в общей сумме свыше 180 000 рублей.
В настоящее время  подозреваемый задержан следователем, в отношении него выполняется комплекс следственных и процессуальных действий. Следователем в суд направлено ходатайство об избрании в отношении подозреваемого меры пресечения в виде заключения под стражу.
Уголовные дела возбуждены на основании материалов оперативно-розыскной деятельности УМВД России по Орловской области"
/news/item/1729267/,orel,В Орловской области бывший сотрудник полиции осужден за получение взятки,"['взятка', 'приговор']",03 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Орловской области доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении бывшего инспектора по пропаганде безопасности дорожного движения ОМВД России по Покровскому району, который осужден за совершение преступления, предусмотренного ч.3 ст. 290 УК РФ (получение взятки). 
Следствием и судом установлено, что  13 мая 2022 года подсудимый в поселке Покровское получил от местного жителя взятку в размере 60 000 рублей за освобождение последнего от административной ответственности в связи с совершенным им дорожно-транспортным происшествием.
Приговором суда осужденному назначено наказание в виде штрафа в размере 2 млн. 400 тыс. рублей. Кроме того, осужденный лишен специального звания, а также на 3 года лишен права занимать должности на государственной службе и в органах местного самоуправления."
/news/item/1668943/,orel,В Орловской области направлено в суд уголовное дело о мошенничестве,['мошенничество'],18 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Орловской области завершено расследование уголовного дела в отношении начальника финансово – экономического отдела ФГКОУ ВО «Орловский юридический институт МВД России им. В.В. Лукьянова» и еще двух бывших сотрудниц полиции, а также жительницы г. Орла, которые обвиняются в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, совершенное в крупном размере, с использованием служебного положения). 
Следствием установлено, что обвиняемые, в период времени с 01.02.2021 по 15.03.2021, действуя в составе группы лиц по предварительному сговору, похитили денежные средства жительницы п. Шаблыкино  в сумме 800 000 рублей, за якобы оказание ей помощи в поступлении ее сына в ФГКОУ ВО «Орловский юридический институт МВД России им. В.В. Лукьянова»,  не имея при этом реальной возможности оказания содействия парню в успешной сдаче вступительных экзаменов для  поступления в Институт МВД России.
Следствием выполнен комплекс следственных действий, направленных на детальное установление всех обстоятельств совершенного преступления.
Следователем собрана достаточная доказательственная база, в связи с чем прокурором утверждено обвинительное заключение и уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1635431/,orel,В Орловской области бывший начальник отделения ГИБДД ОМВД России по Урицкому району признан виновным в совершении коррупционных преступлений,"['коррупция', 'лишение свободы', 'приговор']",28 Февраля 2024,"Собранные следственными органами СК России по Орловской области доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении бывшего начальника отделения ГИБДД ОМВД России по Урицкому району, который признан виновным в совершении преступлений, предусмотренных ч. 1 ст. 291.2 УК РФ (мелкое взяточничество), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями), ч. 3 ст. 30, ч. 3 ст. 159 УК РФ (покушение на мошенничество).
Следствием и судом установлено, что 27.05.2020 злоумышленник, находясь на участке местности, расположенном на 55-м километре автомобильной дороги «Орел-Брянск-Смоленск Р-120», лично получил от ранее незнакомого ему водителя автомобиля взятку в виде денег в размере 300 рублей за незаконное бездействие в пользу последнего, выразившееся в не составлении им протокола об административном правонарушении. Получив от водителя автомобиля денежные средства, он пренебрег своими должностными полномочиями по привлечению водителя к административной ответственности и не составил в отношении него протокол об административном правонарушении, скрыв тем самым факт его совершения, не пресек указанное административное правонарушение, а также позволил ему избежать административной ответственности и далее управлять автомобилем.
В тот же день обвиняемый, будучи при исполнении своих должностных обязанностей, путем обмана похитил денежные средства местного жителя в сумме 70 000 рублей, пообещав ему поспособствовать получению водительского удостоверения на право управления транспортным средством категории «С», без прохождения обучения в автомобильной школе.
Однако, обвиняемый не довел свои преступные действия до конца, поскольку передача денежных средств осуществлялась в ходе оперативного мероприятия, в процессе которого он был задержан с поличным.
Приговором суда подсудимому назначено наказание в виде  двух с половиной лет лишения свободы с отбыванием в колонии общего режима с лишением права занимать должности в правоохранительных органах на тот же срок. Осужденный лишен специального звания «подполковник полиции». Приговор не вступил в законную силу."
/news/item/1599339/,orel,В Орловской области местный житель подозревается в покушении на дачу взятки,['взятка'],08 Февраля 2024,"Следственными органами СК России по Орловской области в отношении жителя Кромского района Орловской области возбуждено уголовное дело в совершении им преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ. (покушение на дачу взятки). 
 По данным следствия, 7 августа 2021 года в служебном кабинете ОМВД по Кромскому району Орловской области 67-летний подозреваемый пытался передать сотруднику органов внутренних дел взятку в размере 80 тысяч рублей за непривлечение к административной ответственности.
 Преступление выявлено и расследование осуществляется при оперативном сопровождении сотрудников УМВД России по Орловской области.
Расследование уголовного дела продолжается, производятся все необходимые следственные действия, направленные на сбор и закрепление доказательственной базы."
/news/item/1249028/,orel,Бывший сотрудник исправительной колонии предстанет перед судом,"['бывший сотрудник', 'коррупция']",06 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Орловской области завершено расследование уголовного дела в отношении бывшего сотрудника отдела охраны ФКУ ИК-2 УФСИН России по Орловской области, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки).
По данным следствия, в декабре 2017 года обвиняемый на счет своей банковской карты получил 15 тысяч рублей за передачу осужденному запрещенного предмета – мобильного телефона. 
В настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1696772/,orel,В Орловской области начальник одного из отделов полиции осужден за превышение должностных полномочий,"['коррупция', 'превышение полномочий', 'приговор']",05 Февраля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Орловской области доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении начальника полиции Межмуниципального отдела МВД Российской Федерации «Ливенский», который признан виновным в совершении преступления, предусмотренного  ч. 1 ст. 286 УК РФ  (превышение должностных полномочий).
Следствием и судом установлено, что в мае 2020 года обвиняемый  находился в городе Ливны Орловской области и из иной личной заинтересованности попросил находящегося у него в прямом подчинении инспектора ДПС ОГИБДД МО МВД России «Ливенский» не исполнять установленные законодательством РФ административные процедуры в отношении его знакомого, в действиях которого усматривались признаки административных правонарушений при управлении транспортным средством и не составлять протокол об административном правонарушении, тем самым незаконно освободить его от применения мер административного воздействия, что и было выполнено последним.
Приговором суда осужденному назначено наказание в виде лишения свободы на 1 год условно. Приговор не вступил в законную силу.
Расследование осуществлялось при оперативном сопровождении сотрудников службы регионального управления ФСБ России."
/news/item/1630129/,orel,В Орловской области возбуждено уголовное дело о халатности должностных лиц при долевом строительстве,['халатность'],19 Января 2024,"Следственными органами СК России по Орловской области на основании материалов, представленных прокуратурой области, возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 293 УК РФ, по факту халатности должностных лиц Департамента надзорной и контрольной деятельности Орловской области.
 По данным следствия, в период с января 2015 года по январь 2020 года  должностные лица Департамента надзорной и контрольной деятельности Орловской области при реализации полномочий по осуществлению государственного контроля (надзора) в области долевого строительства многоквартирных домов и иных объектов недвижимости, а также контроля за целевым использованием застройщиками денежных средств, ненадлежаще исполнили свои должностные обязанности и не обеспечили контроль за деятельностью ряда организаций-застройщиков, тем самым допустили факты нарушений законодательства о градостроительной деятельности, что привело к не исполнению обязательств застройщиками перед участниками долевого строительства, чьи конституционные права на получение жилья и  на частную собственность были существенно нарушены.
 Следователем по уголовному делу проводятся все необходимые следственные действия, направленные на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1552452/,orel,Инспектор ГИБДД подозревается в злоупотреблении должностными полномочиями и в получении мелкой взятки,['посредничество'],07 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Орловской области по материалам прокуратуры возбуждено уголовное дело в отношении инспектора отдельного специализированного батальона дорожно-патрульной службы ГИБДД УМВД России по Орловской области, подозреваемого в совершении преступлений, предусмотренных ч. 1 ст. 291.2 УК РФ (мелкое взяточничество), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
 
По данным следствия, подозреваемый в марте 2020 года, находясь при исполнении должностных обязанностей, получил от водителя транспортного средства, допустившего нарушение правил дорожного движения – пересечение сплошной линии дорожной разметки, взятку в сумме 4 тысяч рублей за непривлечение последнего к административной ответственности.  
 
В настоящее время проводятся необходимые следственные действия, направленные на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается.

--"
/news/item/1277683/,orel,За совершение преступлений коррупционной направленности осужден преподаватель Орловского государственного университета,[],01 Декабря 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Орловской области доказательства признаны судом достаточными для вынесения приговора в отношении преподавателя медицинского института ФГБОУ ВО «Орловский государственный университет  имени И.С. Тургенева».  Он признан виновным в совершении преступлений, предусмотренных ч. 1 ст. 290 УК РФ (получение взятки), ст. 291.2 УК РФ (мелкое взяточничество).
Следствием и судом установлено, что осужденный с декабря 2016 года по декабрь 2017 года получил от студентов взятки в виде денег на общую сумму 88 тысяч рублей за совершение действий по увеличению количества баллов, полученных студентами во время практических занятий. За те же незаконные действия он получал также взятки в виде продуктов питания и учебно-методических материалов.
Приговором суда осужденному назначено наказание в виде штрафа в сумме 500 тысяч рублей с лишением права заниматься преподавательской деятельностью на 6 месяцев."
/news/item/1627237/,orel,В Орловской области сотрудники администрации Троснянского района осуждены за совершение коррупционного преступления,['коррупция'],22 Ноября 2023,"Собранные следственными органами СК России по Орловской области доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении заместителя главы администрации Троснянского района Орловской области по социальным вопросам Александра Фроловичева, начальника отдела по управлению муниципальным имуществом администрации Троснянского района Орловской области Ольги Статуевой и заместителя главы администрации Троснянского района Орловской области по экономике и финансам Ирины Писаревой. Они признаны виновными в совершении преступления, предусмотренного п. «в» ч. 3 ст. 286 УК РФ (превышение должностных полномочий).
Следствием и судом установлено, то Фроловичев, являясь исполняющим обязанности главы Троснянского района Орловской области, а также Писарева  и Статуева. в нарушение должностных инструкций, превысили свои должностные полномочия при вводе в эксплуатацию жилого дома № 8 по улице Генерала Пухова в селе Тросна, построенного в 2017 году ООО «Гранит», приняв в муниципальную собственность 8 квартир указанного дома, без привлечения специалистов для проверки соответствия квартир требованиям благоустроенности жилых помещений,  предоставив их лицам, из числа детей - сирот и детей, оставшихся без попечения родителей, нуждающимся в предоставлении жилых помещений. 
Вместе с тем, в ходе следствия установлено, что данные жилые помещения не пригодны для проживания, а денежные средства за их приобретение необоснованно перечислены ООО «Гранит» администрацией Троснянского района, чем администрации муниципальному органу причинен ущерб в сумме боле  8  млн. руб.
Приговором суда Фроловичеву назначено наказание в виде 5 лет лишения свободы, двум другим чиновникам в виде 3,6 лет и 3 лет лишения свободы Приговор не вступил в законную силу. 
Ход и результаты расследования уголовного дела были поставлены Председателем Следственного комитета Российской Федерации на контроль в центральном аппарате ведомства."
/news/item/1363420/,orel,Жительница города Орла подозревается в посредничестве во взяточничестве,[],21 Ноября 2023,"Следственными органами Следственного комитета Российской Федерации по Орловской области при содействии УФСБ возбуждено уголовное дело в отношении жительницы города Орла, подозреваемой в совершении преступления, предусмотренного ч. 2 ст. 291.1 УК РФ (посредничество во взяточничестве). По данным следствия, подозреваемая в 2018 году способствовала в достижении соглашения между проректором ФГБОУ ВО «Орловский государственный университет экономики и торговли» и студентом указанного образовательного учреждения о получении взятки в сумме 29 тысяч рублей за выставление ему положительных оценок по учебным дисциплинам.   В настоящее время проводятся необходимые следственные действия, направленные на сбор и закрепление доказательственной базы. Уголовное дело в отношении бывшего проектора ФГБОУ ВО «Орловский государственный университет экономики и торговли» , обвиняемой в получении взятки (ч.3 ст.290 УКРФ), находится на завершающей стадии предварительного следствия.Расследование продолжается."
