Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1604248/,oren,Завершено расследование уголовного дела о покушении на дачу взятки сотруднику полиции,[],14 Октября 2022,"Следственными органами Следственного комитета Российской Федерации по Оренбургской области завершено расследование уголовного дела в отношении 53-летнего жителя Шарлыкского района. Ему инкриминировано совершение преступления, предусмотренного ч. 3 ст. 30 ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу).
По данным следствия, обвиняемый 23 июля 2021 года, предпринял попытку передачи временно исполняющему обязанности начальника ОГИБДД Отд МВД России по Шарлыкскому району Оренбургской области взятки в виде денег в сумме 30 тысяч рублей за освобождение от административной ответственности в связи с управлением транспортным средством в состоянии опьянения.
Преступный умысел довести до конца не удалось, поскольку сотрудник полиции отказался от денежных средств и принял меры к фиксации совершенного преступления.
Уголовное дело направлено прокурору для решения вопроса об утверждении обвинительного заключения.
Уголовное дело расследовано Шарлыкским межрайонным следственным отделом СУ СК России по Оренбургской области."
/news/item/1714390/,oren,Завершено расследование уголовного дела в отношении бывшего главы муниципального образования,['незаконное предпринимательство'],11 Октября 2022,"Следственными органами Следственного комитета Российской Федерации по Оренбургской области завешено расследование уголовного дела в отношении бывшего Главы муниципального образования Красночабанский сельсовет Домбаровского района Оренбургской области. Ему инкриминировано совершение преступления, предусмотренного ст. 289 УК РФ (незаконное участие в предпринимательской деятельности, то есть участие должностного лица в управлении организацией, осуществляющей предпринимательскую деятельность, через доверенное лицо вопреки запрету, установленному законом, если эти деяния связаны с предоставлением такой организации льгот, преимуществ и с покровительством в иной форме).
Следствием установлено, что обвиняемый в период с 19 марта 2014 года по 13 декабря 2021 года, являясь должностным лицом, наделенным в установленном законом порядке организационно – распорядительными и административно – хозяйственными полномочиями, в том числе и в сфере оборота земель сельскохозяйственного назначения, из корыстных побуждений, с целью незаконного обогащения, вопреки установленному законом запрету на участие должностных лиц в предпринимательской деятельности, через доверенное лицо – свою супругу участвовал в управлении коммерческой организацией – ООО «Восток», осуществляющей предпринимательскую деятельность в сфере сельского хозяйства, покровительствуя ей, в том числе посредством предоставления льгот и преимуществ в виде аренды на длительный срок земельных участков сельскохозяйственного назначения.
Уголовное дело направлено прокурору для рассмотрения вопроса об утверждении обвинительного заключения.
Уголовное дело возбуждено по результатам рассмотрения постановления прокурора Оренбургской области о направлении материала проверки в орган предварительного расследования для решения вопроса об уголовном преследовании.
Уголовное дело расследовано Ясненским межрайонным следственным отделом СУ СК России по Оренбургской области."
/news/item/1212146/,oren,В Оренбурге перед судом предстанет  декан факультета экономики и управления Оренбургского государственного университета за получение взяток,"['взятка', 'коррупция']",06 Октября 2022,"фото из открытых источников             

Следственными органами  Следственного комитета Российской Федерации по Оренбургской области завершено предварительное следствие по уголовному делу в отношении декана факультета экономики и управления Федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Оренбургский государственный университет», обвиняемой в совершении 2 эпизодов преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение через посредника взятки в значительном размере за совершение незаконных действий) и 3 эпизодов  преступлений, предусмотренных ч. 1 ст. 291.2 УК РФ (получение через посредника мелких взяток, также за совершение незаконных действий).
По версии следствия, в период с марта по июнь 2016 года  обвиняемая,   выполняя организационно-распорядительные функции в государственном образовательном учреждении, пять раз получила взятки от студентов ОГУ через посредника, который перечислял ей деньги на банковский счет. Сумма взяток составляла  от 9 до 47 тысяч рублей от каждого студента. Получая взятки, обвиняемая совершала в пользу взяткодателей незаконные действия, организуя  выставление в аттестационные ведомости, аттестационные листы и зачетные книжки студентов оценок по дисциплинам образовательной программы по направлению обучения без фактического участия студентов в образовательном процессе. Четверо из пяти студентов во время проставления им оценок находились за пределами города Оренбурга и области.
Следует отметить, что причастность декана экономики и управления ФГБОУ ВПО «ОГУ»  совершению указанных преступлений коррупционной направленности была установлена следователями Следственного комитета России  во взаимодействии с региональными управлениями МВД России и ФСБ России в ходе расследовании уголовного дела, возбужденного в отношении декана исторического факультета ОГПУ.
В ходе предварительного следствия обвиняемая избрала позицию в соответствии со своим процессуальным статусом, воспользовавшись ст.51 Конституции РФ.
 В ходе предварительного следствия наложен арест на имущество обвиняемой в виде денежных средств  и недвижимости  всего на общую сумму более 14 млн. рублей.
По представлению органов следствия декан факультета экономики и управления ФГБОУ ВПО «ОГУ» отстранена руководством университета от работы на весь период уголовного судопроизводства  вступления в силу приговора суда.
Следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1698696/,oren,Возбуждены уголовные дела в отношении сотрудника управления Федеральной службы по ветеринарному и фитосанитарному надзору по Оренбургской области,"['взятка', 'должностное лицо', 'коррупция']",04 Октября 2022,"Следственными органами Следственного комитета Российской Федерации по Оренбургской области возбуждены уголовные дела в отношении государственного инспектора отдела внутреннего карантина растений, качества безопасности зерна, продуктов его переработки и надзора в области семеноводства Управления Федеральной службы по ветеринарному и фитосанитарному надзору по Оренбургской области. Он обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия).
По версии следствия, обвиняемый в период с 2018 года по 2022 год получал взятки в виде денежных средств за совершение незаконных действий и бездействия при выдаче карантинных и фитосанитарных сертификатов.
К настоящему времени задержанному предъявлено обвинение в совершении расследуемых преступлений, по результатам рассмотрения ходатайства следователя в отношении фигуранта избрана мера пресечения в виде домашнего ареста, производятся следственные и процессуальные действия, направленные на установление обстоятельств, подлежащих доказыванию.
Уголовное дело расследуется следственным отделом по городу Орск СУ СК России по Оренбургской области."
/news/item/1728415/,oren,Возбуждено уголовное дело о хищении вверенного имущества,['присвоение'],16 Сентября 2022,"Следственными органами Следственного комитета Российской Федерации по Оренбургской области возбуждено уголовное дело в отношении мастера буровой коммерческой организации. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 160 УК РФ (присвоение, совершенное лицом с использованием своего служебного положения).
По версии следствия, подозреваемый, пользуясь предоставленными ему должностными полномочиями, в июне 2022 года совершил хищение вверенного ему дизельного топлива с территории скважины месторождения в Курманаевском районе Оренбургской области.
В настоящее время производятся следственные и процессуальные действия, направленные на установление обстоятельств, подлежащих доказыванию.
Уголовное дело расследуется Первомайским межрайонным следственным отделом СУ СК России по Оренбургской области."
/news/item/1211717/,oren,В Оренбурге доцент кафедры государственного аграрного университета признана виновной  в совершении коррупционных преступлений,"['взятка', 'следователь СК', 'служебный подлог']",06 Сентября 2022,"фото из открытых источников             

Собранные следственными органами Следственного комитета Российской Федерации по Оренбургской области доказательства признаны судом достаточными для вынесения приговора  доценту кафедры математики и теоретической механики  Федерального государственного бюджетного образовательного учреждения высшего образования «Оренбургского государственного аграрного университета (ОГАУ)» Ирине Дементьевой. Она признана виновной в совершении 6 эпизодов  преступлений, предусмотренных  ч. 1 ст.292 УК РФ (служебный подлог) и  4 эпизодов преступлений, предусмотренных ч.1 ст.291.2 УК РФ (мелкое взяточничество).
Следствием и судом установлено, что в апреле 2017 года  Дементьева, находясь в городе Оренбурге на рабочем месте, в учебном корпусе  Оренбургского государственного аграрного  университета, являясь доцентом кафедры  «Математика и теоретическая механика»,  проставила в зачетные книжки 6 студентов положительный результат о сдаче экзамена без фактической сдачи, а также  получила от них  взятку в сумме от 1,5 до 2 тысяч рублей с каждого за указанные незаконные действия.
Факт передачи денежных средств был зафиксирован в ходе проведения оперативно-розыскных мероприятий. Следователями Следственного комитета проведены неотложные следственные действия по месту жительства и месту работы  фигуранта, в ходе обысков изъяты документы, предметы,  имеющие значение для дела.
Оперативное сопровождение по уголовному делу осуществляли сотрудники ОЭБиПК  МУ МВД России ""Оренбургское"".  
Приговором суда Дементьевой назначено наказание в виде штрафа в размере 150 тысяч рублей и лишение права заниматься преподавательской деятельностью на 2 года. Приговор не вступил в законную силу.
 
Уголовное дело расследовано  следственным отделом по Южному административному округу г.Оренбург следственного управления Следственного комитета Российской Федерации по Оренбургской области."
/news/item/1697819/,oren,Завершено расследование уголовного дела о превышении должностных полномочий,['превышение полномочий'],31 Августа 2022,"Следственными органами Следственного комитета Российской Федерации по Оренбургской области завершено расследование уголовного дела в отношении бывшего бухгалтера сельсовета. Ей инкриминировано совершение преступления, предусмотренного ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
Следствием установлено, что обвиняемая, будучи в должности бухгалтера администрации муниципального образования Верхнеигнашкинский сельсовет Грачевского района Оренбургской области, путем незаконного начисления денежных средств в качестве налогового вычета своему супругу по гражданско-правовому договору, по которому последний реально не оказывал никакие услуги, присвоила денежные средства.
Уголовное дело направлено прокурору для решения вопроса об утверждении обвинительного заключения.
Уголовное дело расследовано Бузулукским межрайонным следственным отделом СУ СК России по Оренбургской области."
/news/item/1581459/,oren,Вынесен приговор в отношении бывшего исполняющего обязанности директора МУП «Санитарная очистка»,[],23 Августа 2022,"Собранные следственными органами Следственного комитета Российской Федерации по Оренбургской области доказательства признаны судом достаточными для вынесения приговора в отношении 52-летнего бывшего исполняющего обязанности директора муниципального унитарного предприятия «Санитарная очистка». Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки должностным лицом), ч. 1 ст. 291.2 УК РФ (мелкое взяточничество) и ч. 1 ст. 292 УК РФ (служебный подлог).
Следствием и судом установлено, что фигурант, используя служебное положение, получал лично взятки за фиктивное отбытие гражданином наказания в МУП «Санитарная очистка» в виде назначенных судом обязательных работ и разрешение на незаконные ввоз и размещение твердых бытовых отходов на мусорном полигоне, расположенном в городе Сорочинск. Для совершения указанных преступлений он также обеспечил изготовление необходимых документов.
В рамках уголовного дела для обеспечения исполнения приговора суда по ходатайству следователя наложен арест на автомобиль и денежные средства обвиняемого, находящиеся на расчетных счетах в кредитных организациях.
Приговором суда ему назначено наказание в виде лишения свободы на срок 3 года с отбыванием в исправительной колонии общего режима со штрафом в размере 800 тысяч рублей и лишением права занимать должности, связанные с осуществлением организационно-распорядительных и административно-хозяйственных полномочий в органах государственной власти и местного самоуправления, муниципальных унитарных предприятиях на срок 4 года.
Уголовное дело расследовано Сорочинским межрайонным следственным отделом СУ СК России по Оренбургской области."
/news/item/1580807/,oren,Возбуждено уголовное дело в отношении главы Муниципального образования Разномойский сельсовет Тюльганского района,[],17 Августа 2022,"Следственными органами Следственного комитета Российской Федерации по Оренбургской области возбуждено уголовное дело в отношении главы Муниципального образования Разномойский сельсовет Тюльганского района. Она подозревается в совершении преступления, предусмотренного ч. 3 ст. 160 УК РФ (растрата, совершенная лицом с использованием своего служебного положения).
По версии следствия, подозреваемая, используя свое должностное положение, с целью хищения вверенных ей бюджетных денежных средств, фиктивно трудоустроила местную жительницу на должность специалиста на период с октября 2015 года по январь 2016 года, в результате чего бюджету Муниципального образования Разномойский сельсовет причинен ущерб.
В настоящее время в рамках расследования проводятся следственные действия, направленные на сбор и закрепление доказательственной базы.
Уголовное дело расследуется Октябрьским межрайонным следственным отделом СУ СК России по Оренбургской области."
/news/item/1724116/,oren,В Оренбурге задержан оперуполномоченный полиции,"['наркотики', 'покушение', 'сотрудник']",11 Августа 2022,"Следственными органами Следственного комитета Российской Федерации по Оренбургской области возбуждено уголовное дело в отношении старшего оперуполномоченного отдела по контролю за оборотом наркотиков МУ МВД России «Оренбургское». Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 30, п. «г» ч. 4 ст. 228.1 УК РФ (покушение на незаконный сбыт наркотических средств в крупном размере).
Уголовное дело возбуждено по результатам взаимодействия со службой собственной безопасности УМВД России по Оренбургской области.
По данным следствия, подозреваемый, попытался сбыть наркотическое средство путем раскладывания в тайники (закладки) на территории города Оренбурга, однако, свой преступный умысел не смог довести до конца, поскольку был задержан.
К настоящему времени подозреваемый задержан в порядке ст. 91 Уголовно-процессуального кодекса Российской Федерации, следствием возбуждено ходатайство об избрании в отношении него меры пресечения в виде заключения под стражу, произведены обыски, назначены необходимые экспертизы, в результате произведенных следственных действий изъяты 23 тайника (закладки) наркотических средств, устанавливаются обстоятельства, подлежащие доказыванию.  
Уголовное дело расследуется следственным отделом по Северному административному округу города Оренбург СУ СК России по Оренбургской области."
