Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1712386/,osetia,Следственным управлением обобщена практика расследования преступлений коррупционной направленности за первое полугодие 2022 года,['коррупция'],17 Октября 2023,"Борьба с коррупцией является одним из важнейших направлений работы следственных органов, поскольку данные преступления представляют особую общественную опасность и угрозу национальной безопасности страны, существенно нарушают права граждан, подрывают основы государственности и экономических отношений.
В настоящее время бурно развивается не только законодательная база  противодействия коррупции, но и вырабатывается антикоррупционная позиция в обществе. Приняты Национальная стратегия по противодействию коррупции, которая предусматривает постоянно совершенствуемую систему мер организационного, экономического, правового, кадрового и информационного характера, направленных на устранение коренных причин коррупции в обществе. Основная роль в борьбе с коррупцией должна принадлежать мерам профилактики, ориентированным на устранение первопричин ее возникновения. Только комплексный подход к решению этой проблемы поможет уменьшить ее негативное влияние на общество и государство. С момента обретения полной самостоятельности деятельность следственного управления по противодействию коррупции значительно активизировалась.  
Анализ материалов служебной деятельности свидетельствует о том, что основными факторами, влияющими на криминогенную обстановку в области коррупции в республике, остаются: злоупотребление и превышение служебными полномочиями сотрудниками правоохранительных органов, чиновниками республиканского звена и органов местного самоуправления, использование последними разнообразных схем хищений бюджетных средств, выделяемых на различные цели, получение взяток.
В первом полугодии 2022 года следственным управлением по материалам коррупционной направленности возбуждено 102 уголовных дела, из них в суды направлено 22. За указанные преступления привлечено к уголовной ответственности 17должностных лиц.
Установленная сумма ущерба, причиненного преступлениями составила 200 млн рублей. На стадии предварительного следствия возмещен ущерб госу­дарству и потерпевшим от преступлений гражданам в размере 195 млн рублей, наложен арест на имущество на сумму около 10 млн рублей.
Благодаря профессиональной работе следователей Следственного комитета и оперативных сотрудников регионального УФСБ привлечен к уголовной ответственности бывший глава Моздокского городского поселения, обвиняемый в незаконной предпринимательской деятельности, мошенничестве и злоупотреблении должностными полномочиями.
Помимо этого, продолжается расследование по уголовным делам, возбужденным в отношении заместителя начальника управления благоустройства и озеленения АМС города Владикавказа и других фигурантов, обвиняемых в получении и даче взятки в особо крупном размере за содействия в заключении контракта на выполнение работ по благоустройству общественных городских территорий, а так же в отношении начальника управления по закупкам и торгам АМС города Владикавказа, подозреваемой в злоупотреблении должностными полномочиями при проведении торгов для муниципальных нужд.   
Хотелось бы напомнить, что в следственном управлении в круглосуточном режиме работает «Телефон доверия» (номер: 8 (8672) 53-92-64) и телефонная линия «Остановим коррупцию» (номер: 8 (8672) 54-16-93), в целях оперативного реагирования на сообщения о нарушениях закона, а также для получения сообщений граждан о случаях проявления коррупции в любой сфере жизни общества и государства. Для удобства граждан на страницах сайта размещен бланк «Сообщите о коррупции» для беспрепятственного сообщения в следственное управление об имевших место коррупционных проявлениях. Помимо этого в следственном управлении работает «Интернет-приемная», приемная для обращений граждан в социальной сети «ВКонтакте», открытых для обеспечения эффективной защиты прав и законных интересов граждан; а также телефонная линия для приема и экстренного реагирования на сообщения о давлении на бизнес (номер: 8 (8672) 56-33-03).   
Работа по раскрытию и расследованию преступлений коррупционной направленности продолжается и остается одним из приоритетных направлений деятельности следственного управления и находится на личном контроле у руководства ведомства."
/news/item/1809228/,osetia,Следственным управлением обобщена практика расследования преступлений коррупционной направленности за первое полугодие 2023 года,"['взятка', 'деньги', 'коррупция', 'мошенничество', 'противодействие', 'чиновник']",13 Октября 2023,"Борьба с коррупцией является одним из важнейших направлений работы следственных органов. 
В первом полугодии 2023 года следственным управлением по материалам коррупционной направленности возбуждено 98 уголовных дел, из них в суды направлено 31. За указанные преступления привлечено к уголовной ответственности 12 должностных лиц.
Установленная сумма ущерба, причиненного преступлениями составила 674,3 млн рублей. На стадии предварительного следствия возмещен ущерб государству и потерпевшим от преступлений гражданам в размере 659 млн рублей, наложен арест на имущество на сумму около 71 млн рублей.
Благодаря профессиональной работе следователей следственного управления СК России и оперативных сотрудников регионального УФСБ привлечены к уголовной ответственности и судом признаны виновными бывшие заместитель начальника управления благоустройства и озеленения городской администрации за получение взятки в особо крупном размере (ч. 6 ст. 290 УК РФ) и директор одного из муниципальных учреждений города Владикавказа за дачу взятки должностному лицу в особо крупном размере (ч. 5 ст. 291 УК РФ), присвоении и растрате с использованием служебного положения (ч.ч. 3, 4 ст. 160 УК РФ) и неправомерном обороте средств платежей (ч. 1 ст. 187 УК РФ).
Следствием и судом установлено, что с сентября 2021 по март 2022 года чиновник помог подконтрольному его знакомому индивидуальному предпринимателю, заключить 58 прямых контрактов на общую сумму 29,4 млн рублей, за что получил от индивидуального предпринимателя в качестве взяток 8,9 млн рублей. По мере поступления денежных средств на банковскую карту чиновник периодически снимал их и распоряжался по своему усмотрению.
Так же следует отметить уголовное дело в отношении руководителя общества с ограниченной ответственностью, обвиняемой в мошенничестве в особо крупном размере (ч. 4 ст. 159 УК РФ) и даче взятки должностному лицу за совершение заведомо незаконных действий в особо крупном размере (ч. 5 ст. 291 УК РФ).
По версии следствия, с октября 2021 по февраль 2023 года с целью хищения чужого имущества  обвиняемая со своим знакомым организовали на территории города Владикавказа деятельность организации по осуществлению ресурсоснабжающей деятельности, без фактического производства, предоставления либо продажи соответствующих коммунальных услуг. Обвиняемая вместе со знакомым осуществляли сбор денежных средств на основании дебиторской задолженности, принадлежавшей открытому акционерному обществу «Владикавказские тепловые сети», которыми они после поступления от должников на расчетные счета компании распоряжались по своему усмотрению. В результате злоумышленники через подконтрольные организации обратили в свою пользу путем обмана по заведомо заниженной стоимости права требования, входившие в имущественный комплекс одного из акционерных обществ, причинив городской администрации ущерб в особо крупным размером на сумму 658,4 млн рублей.
Узнав о проводимых в отношении них оперативно-розыскных мероприятий, они обратились к одному из знакомых и предложили за взятку решить вопрос о прекращении проверочных мероприятий и общее покровительство на территории республики. В период с 17 августа 2022 по 16 февраля 2023 года злоумышленники передали через посредника, действовавшего под контролем УФСБ, взятки на общую сумму 3,29 млн рублей. Женщина была задержана, а ее сообщнику удалось скрыться, он объявлен в федеральный розыск. 
Хотелось бы напомнить, что в следственном управлении в круглосуточном режиме работает «Телефон доверия» (номер: 8 (8672) 53-92-64) и телефонная линия «Остановим коррупцию» (номер: 8 (8672) 54-16-93), в целях оперативного реагирования на сообщения о нарушениях закона, а также для получения сообщений граждан о случаях проявления коррупции в любой сфере жизни общества и государства. Для удобства граждан на страницах сайта размещен бланк «Сообщите о коррупции» для беспрепятственного сообщения в следственное управление об имевших место коррупционных проявлениях. Помимо этого в следственном управлении работает «Интернет-приемная», приемная для обращений граждан в социальной сети «ВКонтакте», открытых для обеспечения эффективной защиты прав и законных интересов граждан; а также телефонная линия для приема и экстренного реагирования на сообщения о давлении на бизнес (номер: 8 (8672) 56-33-03).
Работа по раскрытию и расследованию преступлений коррупционной направленности продолжается и остается одним из приоритетных направлений деятельности следственного управления и находится на личном контроле у руководства ведомства."
/news/item/1800645/,osetia,Во Владикавказе заместителю начальника отдела региональной налоговой службы предъявлено обвинение в получении взяток,"['взятка', 'чиновник']",04 Августа 2023,"Следственным управлением Следственного комитета Российской Федерации по Республике Северная Осетия – Алания предъявлено обвинение заместителю начальника отдела камерального контроля специальных налоговых режимов № 2 Управления федеральной налоговой службы России по РСО-Алания в совершении преступления, предусмотренного ч. 2 ст. 290 УК РФ (получение взятки – 2 эпизода).
По данным следствия, с 4 февраля 2020 по 20 декабря 2022 года обвиняемая, являясь должностным лицом, получила взятки в размере 85 тыс. рублей от двух индивидуальных предпринимателей за непроведение налоговых проверок и беспрепятственное осуществление ими предпринимательской деятельности.
Благодаря грамотно спланированным и проведенным следственным действиям и оперативно-розыскным мероприятиям, обвиняемая была задержана. По ходатайству следственных органов судом в отношении нее избрана  мера пресечения в виде заключения под стражу.
В настоящее время проводятся необходимые следственные действия, направленные на закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1767822/,osetia,Во Владикавказе задержана руководитель одной из коммерческих организаций подозреваемая в даче взятки должностному лицу,"['взятка', 'деньги', 'коррупция']",01 Августа 2023,"Следственным управлением Следственного комитета Российской Федерации по Республике Северная Осетия – Алания в отношении руководителя двух обществ с ограниченной ответственностью и руководителя филиала одного из этих обществ возбуждено уголовное дело. Они подозреваются в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий в особо крупном размере).
По версии следствия, в отношении подозреваемых сотрудниками регионального УФСБ проводились оперативно-розыскные мероприятия по проверке факта приобретения мошенническим путем прав требований на дебиторскую задолженность одного из акционерных обществ, в результате чего кредиторам данной организации причинен ущерб на сумму свыше 658 млн рублей. Подозреваемые, осведомлённые о проводимых мероприятиях, обратились к одному из своих знакомых, предполагая о наличии у него связей с сотрудниками УФСБ, которому предложили выступить посредником при передаче взятки за прекращение в отношении них проверочных мероприятий и за общее покровительство деятельности вышеуказанных организаций на территории республики. Понимая, что предложение подозреваемых является незаконным, мужчина добровольно сообщил об этом в УФСБ по РСО-Алания. 
В дальнейшем, в период с 17 августа 2022 по 16 февраля 2023 года подозреваемые передали через посредника, действовавшего под контролем УФСБ, взятки на общую сумму 3,290 млн рублей. После этого один из подозреваемых был задержан, другому удалось скрыться.    
В настоящее время решается вопрос об избрании в отношении подозреваемой меры пресечения в виде заключения под стражу и предъявлении обвинения в содеянном. Также проводятся необходимые следственные действия и оперативно-розыскные мероприятий, направленные на установление местонахождения и задержание другого фигуранта. Расследование уголовного дела продолжается."
/news/item/1768188/,osetia,Заключена под стражу руководитель одной из коммерческих организаций подозреваемая в даче взятки должностному лицу,"['взятка', 'деньги', 'коррупция']",18 Июля 2023,"Следственным управлением Следственного комитета Российской Федерации по Республике Северная Осетия – Алания продолжается расследование уголовного дела, возбужденного в отношении руководителя двух обществ с ограниченной ответственностью и руководителя филиала одного из этих обществ, подозреваемых в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий в особо крупном размере).
По версии следствия, в отношении подозреваемых сотрудниками регионального УФСБ проводились оперативно-розыскные мероприятия по проверке факта приобретения мошенническим путем прав требований на дебиторскую задолженность одного из акционерных обществ, в результате чего кредиторам данной организации причинен ущерб на сумму свыше 658 млн рублей. Подозреваемые, осведомлённые о проводимых мероприятиях, обратились к одному из своих знакомых, предполагая о наличии у него связей с сотрудниками УФСБ, которому предложили выступить посредником при передаче взятки за прекращение в отношении них проверочных мероприятий и за общее покровительство деятельности вышеуказанных организаций на территории республики. Понимая, что предложение подозреваемых является незаконным, мужчина добровольно сообщил об этом в УФСБ по РСО-Алания.
В дальнейшем с 17 августа 2022 по 16 февраля 2023 года подозреваемые передали через посредника, действовавшего под контролем УФСБ, взятки на общую сумму 3,29 млн рублей. После этого один из подозреваемых был задержан, другому удалось скрыться. По ходатайству следственных органов судом в отношении задержанной избрана мера пресечения в виде заключения под стражу.
В ближайшее время подозреваемой будет предъявлено обвинение в содеянном. Также проводятся необходимые следственные действия и оперативно-розыскные мероприятий, направленные на установление местонахождения и задержание другого фигуранта. Расследование уголовного дела продолжается."
/news/item/1585778/,osetia,Бывшему следователю полиции предъявлено окончательное обвинение в получении взятки в крупном размере,['взятка'],14 Июля 2023,"Следственным управлением Следственного комитета Российской Федерации по Республике Северная Осетия – Алания бывшему следователю 1 отдела следственного управления УМВД России по городу Владикавказу предъявлено обвинение в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере за совершение действий в пользу взяткодателя).
По данным следствия, 17 марта 2021 года обвиняемый в составе следственно-оперативной группы выехал на место происшествия по факту кражи ноутбука в общежитии Северо-Кавказского горно-металлургического института. В ходе оперативно-розыскных мероприятий было установлено лицо, совершившее кражу, которое доставили в служебный кабинет следователя. В ходе устной беседы обвиняемый потребовал от мужчины взятку в сумме 250 тыс. рублей за возбуждение уголовного дела по менее тяжкой статье и не принятие мер по избранию в отношении него меры пресечения связанной с лишением свободы. Потерпевший, опасаясь негативных для себя последствий, согласился и обратился за помощью в правоохранительные органы. 19 марта 2021 года примерно в 9 часов при получении от потерпевшего части взятки в размере 50 тыс. рублей следователь был задержан сотрудниками регионального УФСБ.
В ходе расследования обвиняемый полностью признал свою вину и ему предъявлено обвинение в инкриминируемом преступлении.   
В ближайшее время уголовное дело будет направлено прокурору для утверждения обвинительного заключения."
/news/item/1815002/,osetia,Перед судом предстанут руководитель коммерческой организации и ее знакомый по обвинению в даче взятки в особо крупном размере,['взятка'],05 Июля 2023,"Следственным управлением Следственного комитета Российской Федерации по Республике Северная Осетия – Алания завершено расследование уголовного дела в отношении руководителя общества с ограниченной ответственностью и 67-летнего местного жителя. Они обвиняются в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий в особо крупном размере).
По данным следствия, обвиняемые обратились к знакомому, предполагая наличие у него связей с сотрудниками правоохранительных органов, которому предложили выступить посредником при передаче взятки в сумме 2,5  млн рублей должностным лицам УФСБ, за принуждение директора одного из коммерческих предприятий республики к возврату задолженности в адрес аффилированного с обвиняемым коммерческого предприятия в размере 20  млн рублей. Понимая, что предложение обвиняемых является незаконным, мужчина добровольно сообщил об этом в региональное УФСБ.
30 декабря 2022 года обвиняемая передала через посредника, действовавшего под контролем УФСБ, часть взятки в сумме 300 тыс. рублей за совершение вышеуказанных незаконных действий.
Благодаря грамотно спланированным и проведенным следственным действиям и оперативно-розыскным мероприятиям обвиняемые задержаны, по ходатайству следственных органов судом в отношении них избрана мера пресечения в виде заключения под стражу.
Следствием собрано достаточно доказательств, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1626816/,osetia,Руководителю региональной службы по тарифам предъявлено обвинение в превышении должностных полномочий,['превышение полномочий'],04 Июля 2023,"Следственным управлением Следственного комитета Российской Федерации по Республике Северная Осетия – Алания руководителю Региональной службы по тарифам РСО-Алания (РСТ РСО-Алания) предъявлено обвинение в совершении преступления, предусмотренного п. «в» ч. 3 ст. 286 УК РФ (превышение должностных полномочий с причинением тяжких последствий).  
По данным следствия, 25 декабря 2019 года на заседании Правления РСТ РСО-Алания утверждены индивидуальные тарифы на передачу электрической энергии для взаиморасчетов между смежными сетевыми организациями на территории республики на 2020 год. В период с 25 по 28 декабря 2019 года обвиняемый, в целях создания тарифного профицита в пользу аффилированных ему сетевых организаций, умышленно внес изменения в установленные тарифы, причинив тем самым имущественный ущерб гарантирующему поставщику электроэнергии в лице филиала ПАО «Россети Северный Кавказ» – «Севкавказэнерго», на сумму более 46 млн рублей.
В результате профессионально спланированных и проведенных сотрудниками следственного управления СК России и регионального УФСБ совместных следственных действий и оперативно-розыскных мероприятий противоправная деятельность обвиняемого пресечена и он был задержан. По ходатайству следственных органов судом в отношении него избрана мера пресечения в виде домашнего ареста.
В настоящее время проводятся следственные действия, направленные на закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1654615/,osetia,Следственным управлением обобщена практика расследования преступлений коррупционной направленности за 2021 год,['коррупция'],23 Июня 2023,"Борьба с коррупцией является одним из важнейших направлений работы следственных органов, поскольку данные преступления представляют особую общественную опасность и угрозу национальной безопасности страны, существенно нарушают права граждан, подрывают основы государственности и экономических отношений.
В настоящее время бурно развивается не только законодательная база противодействия коррупции, но и вырабатывается антикоррупционная позиция в обществе. Приняты Национальная стратегия по противодействию коррупции, которая предусматривает постоянно совершенствуемую систему мер организационного, экономического, правового, кадрового и информационного характера, направленных на устранение коренных причин коррупции в обществе. Основная роль в борьбе с коррупцией должна принадлежать мерам профилактики, ориентированным на устранение первопричин ее возникновения. Только комплексный подход к решению этой проблемы поможет уменьшить ее негативное влияние на общество и государство. С момента обретения полной самостоятельности деятельность следственного управления по противодействию коррупции значительно активизировалась.  
Анализ материалов служебной деятельности свидетельствует о том, что основными факторами, влияющими на криминогенную обстановку в области коррупции в республике, остаются: злоупотребление и превышение служебными полномочиями сотрудниками правоохранительных органов, чиновниками республиканского звена и органов местного самоуправления, использование последними разнообразных схем хищений бюджетных средств, выделяемых на различные цели, получение взяток.                
В 2021 году следственным управлением по материалам коррупционной направленности возбуждено 206 уголовных дел, из них в суды направлено 37. За указанные преступления привлечено к уголовной ответственности 36должностных лиц. 
На стадии предварительного следствия возмещен ущерб госу­дарству и потерпевшим от преступлений гражданам на сумму более 52 млн рублей, наложен арест на имущество на сумму около 351 млн рублей. 
Благодаря профессиональной работе следственных органов и оперативных сотрудников регионального УФСБ привлечены к уголовной ответственности бывший начальник УФСИН РСО-Алания, признанный судом виновным в злоупотреблении должностными полномочиями, ему назначено наказание в виде 2,5 лет лишения свободы, с осужденного взыскана и сумма причиненного ущерба в размере 3 млн рублей, а также его заместителя обвиняемые в должностных преступлениях. 
Бывшие заместитель министра природных ресурсов и экологии республики, а также руководитель Россельхознадзора республики, признанные судом виновными в приготовлении к получению взятки в крупном размере и незаконной предпринимательской деятельности, злоупотреблении должностными полномочиями, им назначено наказание в виде 5 и 2 лет лишения свободы условно, соответственно. 
Хотелось бы напомнить, что в следственном управлении в круглосуточном режиме работает «Телефон доверия» (номер: 8 (8672) 53-92-64) и телефонная линия «Остановим коррупцию» (номер: 8 (8672) 54-16-93), в целях оперативного реагирования на сообщения о нарушениях закона, а также для получения сообщений граждан о случаях проявления коррупции в любой сфере жизни общества и государства. Для удобства граждан на страницах сайта размещен бланк «Сообщите о коррупции» для беспрепятственного сообщения в следственное управление об имевших место коррупционных проявлениях. Помимо этого в следственном управлении работает «Интернет-приемная», приемная для обращений граждан в социальной сети «ВКонтакте», открытых для обеспечения эффективной защиты прав и законных интересов граждан; а также телефонная линия для приема и экстренного реагирования на сообщения о давлении на бизнес (номер: 8 (8672) 56-33-03).    
Работа по раскрытию и расследованию преступлений коррупционной направленности продолжается и остается одним из приоритетных направлений деятельности следственного управления и находится на личном контроле у руководства ведомства."
/news/item/1830993/,osetia,В Ардоне главный бухгалтер районного отдела полиции подозревается  в присвоении вверенных ей денежных средств,"['полицейский', 'присвоение']",21 Июня 2023,"Следственным управлением Следственного комитета Российской Федерации по Республике Северная Осетия – Алания в отношении главного бухгалтера ОМВД России по Ардонскому району возбуждено уголовное дело. Она подозревается в совершении преступления, предусмотренного ч. 4 ст. 160 УК РФ (присвоение чужого имущества, вверенного виновному, совершенное с использованием своего служебного положения в особо крупном размере).
По версии следствия, с 01 августа 2022 по 13 сентября 2023 года подозреваемая, не осуществляя записи в кассовой книге о приходе наличных денежных средств, полученных по различным операциям с банковской карты, принадлежащей ОМВД России по Ардонскому району, присвоила денежные средства в сумме 430 тыс. рублей, выделяемые на нужды отдела полиции. Помимо этого в указанный период времени подозреваемая присвоила наличные денежные средства, числящиеся за ней и находившиеся  на хранении в сейфе, в сумме свыше 4,7 млн рублей.
В результате противоправных действий ОМВД России по Ардонскому району причинен материальный ущерб в особо крупном размере свыше 5,1 млн рублей.
Благодаря своевременно спланированным и проведенным следственным действиям и оперативно-розыскным мероприятиям незаконная деятельность подозреваемой была пресечена.
В настоящее время решается вопрос об избрании в отношении нее меры пресечения и предъявлении обвинения. Следователями принимаются меры по проверке ее на причастность к другим эпизодам противоправной деятельности."
