Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1592321/,penza,В Пензе осужденному за участие в массовых беспорядках вынесен приговор за покушение на дачу взятки,"['взятка', 'покушение', 'приговор', 'суд']",29 Апреля 2024,"Собранные следственным отделом по Железнодорожному району города Пензы следственного управления Следственного комитета России по Пензенской области доказательства признаны судом достаточными для вынесения приговора мужчине 1990 года рождения по ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу через посредника за совершение заведомо незаконных действий). Уголовное дело расследовано при взаимодействии следователей Следственного комитета и сотрудников УФСБ и ОСБ УФСИН России по Пензенской области.
По данным следствия, 23 января 2021 года следственно-арестованный по обвинению в совершении преступления, предусмотренного ч. 2 ст. 212 УК РФ (участие в массовых беспорядках), содержащийся под стражей в помещении, функционирующем в режиме следственного изолятора на территории исправительной колонии №4, предложил младшему инспектору дежурной службы за взятку в размере 20 тысяч рублей совершить заведомо незаконные действия – пронос на территорию исправительного учреждения и последующую передачу ему запрещенных предметов: сотового телефона, сим-карты и зарядного устройства. Сотрудник колонии отказался от получения незаконного вознаграждения. Аналогичные предложения от злоумышленника неоднократно поступали младшему инспектору в период с 24 января по 8 февраля 2021 года, тот отвечал отказом. Как задержанный пояснил в ходе следствия, телефон ему был необходим для общения с семьей.
Подсудимый, несмотря на полученные отказы, сообщил своей сожительнице о необходимости приобретения сотового телефона, сим-карты и зарядного устройства и перевода 20 тысяч рублей сотруднику исправительного учреждения. Женщина, не осведомленная о преступных намерениях, выполнила все полученные от сожителя указания, переведя 9 февраля указанную сумму младшему инспектору колонии с использованием приложения «мобильный банк».
Вину в совершении инкриминируемого деяния мужчина признал частично.
Приговором Железнодорожного районного суда города Пензы злоумышленнику назначено наказание в виде лишения свободы сроком на 2 года. По совокупности преступлений, путем полного сложения наказания, назначенного по данному приговору, и приговору Пензенского областного суда от 14 июля 2021 года по ч. 2 ст. 212 УК РФ, окончательно назначено наказание в виде лишения свободы сроком на 4 года, с отбыванием в исправительной колонии общего режима. Приговор не вступил в законную силу."
/news/item/1452380/,penza,Житель Кузнецка признан виновным в покушении на посредничество во взяточничестве,"['взятка', 'посредничество', 'приговор', 'суд']",16 Апреля 2024,"Собранные Кузнецким межрайонным следственным отделом следственного управления Следственного комитета России по Пензенской области доказательства признаны судом достаточными для вынесения приговора 35-летнему жителю Кузнецка по ч. 3 ст. 30, ч. 1 ст. 291.1 УК РФ (покушение на посредничество во взяточничестве).
Следствием и судом установлено, что днем 19 сентября 2019 года мужчина 1984 года рождения, находясь в отделе МВД России по городу Кузнецку, обратился к начальнику отделения дознания и предложил ему взятку за уничтожение экспертного заключения и, как следствие, прекращение уголовного дела по ч. 1 ст. 228 УК РФ (незаконные приобретение и хранение наркотических средств). Таким образом он пытался исключить возможность привлечения к уголовной ответственности его знакомого. Несмотря на отказ сотрудника полиции от получения незаконного вознаграждения, житель Кузнецка попытался дать взятку начальнику отделения дознания, положив в материалы уголовного дела, лежащего на столе, 50 тысяч рублей. Противоправные действия мужчины пресечены сотрудником полиции, денежные средства изъяты следователем в ходе осмотра места происшествия.
Приговором суда жителю Кузнецка назначено наказание в виде 2 лет лишения свободы условно с испытательным сроком 2 года. Приговор не вступил в законную силу."
/news/item/1372614/,penza,Завершено расследование уголовного дела по обвинению бывшего генерального директора акционерного общества «Научно-исследовательский институт физических измерений» в злоупотреблении должностными полномочиями,"['деньги', 'должностное лицо', 'злоупотребление', 'злоупотребление полномочиями']",12 Апреля 2024,"Следственным отделом по Ленинскому району города Пензы следственного управления Следственного комитета России по Пензенской области завершено расследование уголовного дела по обвинению бывшего генерального директора акционерного общества «Научно-исследовательский институт физических измерений» (НИИФИ) в злоупотреблении должностными полномочиями (ч. 1 ст. 285 УК РФ). Уголовное дело расследовано при взаимодействии регионального Следственного комитета и УФСБ России по Пензенской области.
По данным следствия, не позднее февраля 2017 года исполняющий обязанности генерального директора НИИФИ при проведении открытого конкурса на заключение государственного контракта на выполнение опытно-конструкторской работы решил получить в распоряжение возглавляемого им предприятия дополнительные денежные средства путем завышения цены контракта.
В июне 2017 года НИИФИ одержал победу в открытом конкурсе. В результате злоупотребления генеральным директором должностными полномочиями предприятием необоснованно освоены денежные средства в размере более 26 млн рублей, причинив материальный ущерб Госкорпорации «Роскосмос».
В настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1477248/,penza,В Неверкинском районе мужчина осужден за покушение на дачу взятки сотруднику полиции,"['взятка', 'деньги', 'коррупция', 'покушение', 'приговор', 'суд']",05 Апреля 2024,"Собранные Кузнецким межрайонным следственным отделом следственного управления Следственного комитета России по Пензенской области доказательства признаны судом достаточными для вынесения приговора 31-летнему мужчине по ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за заведомо незаконное бездействие).
Следствием и судом установлено, что днём 15 мая 2020 года житель одного из сёл Неверкинского района, будучи лишенным права управления транспортным средством, на автомашине ВАЗ-21093 повёз свою семью в село Неверкино. На обратном пути он был остановлен сотрудниками ОГИБДД отделения МВД России по Неверкинскому району.
При проверке документов водитель, желая избежать привлечения к административной ответственности по ч. 2 ст. 12.7 КоАП РФ (управление транспортным средством водителем, лишенным права управления транспортным средством), находясь в патрульной автомашине, попытался передать начальнику отделения ГИБДД денежные средства в размере 15 тысяч рублей за несоставление протокола об административном правонарушении в отношении него, положив их в перчаточный ящик в салоне автомобиля. Полицейский отказался от получения взятки. Противоправные действия мужчины были пресечены сотрудниками правоохранительных органов. Денежные средства изъяты следователем в ходе осмотра места происшествия.
Приговором суда мужчине назначено наказание в виде 2 лет лишения свободы условно с испытательным сроком 1 год 6 месяцев. Приговор не вступил в законную силу."
/news/item/1640530/,penza,В Пензенской области сотруднику администрации Каменского района предъявлено обвинение в покушении на дачу взятки в особо крупном размере,"['взятка', 'должностное лицо', 'коррупция']",04 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Пензенской области сотруднику администрации Каменского района предъявлено обвинение в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 5 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично за совершение заведомо незаконных действий в особо крупном размере). По ходатайству следователя судом обвиняемой избрана мера пресечения в виде домашнего ареста.
Уголовное дело возбуждено на основании материалов УФСБ России по Пензенской области.
По данным следствия, 16 декабря 2021 года обвиняемая, являясь работником администрации Каменского района, лично передала вице-губернатору Пензенской области взятку в размере 3 млн рублей за совершение заведомо незаконных действий: оказание последним способствования в ее победе в конкурсе на замещение должности главы администрации Каменского района, объявленном в начале декабря 2021 года. 
Вице-губернатор от получения незаконного вознаграждения отказался, противоправные действия женщины были пресечены сотрудниками УФСБ России по Пензенской области. Денежные средства изъяты следователями регионального Следственного комитета в ходе осмотра места происшествия.
Обвиняемая в ходе допроса вину в совершении инкриминируемого деяния признала.
В настоящее время выполняется комплекс следственных действий, направленных на установление всех обстоятельств совершенного преступления и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1156477/,penza,Уголовное дело по обвинению редактора районной газеты передано в суд.,[],28 Марта 2024,"Городищенским межрайонным следственным отделом завершено расследование уголовного дела в отношении редактора газеты «Знамя труда». Она обвиняется в совершении преступлений, предусмотренных ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями) и ч. 3 ст. 159 УК РФ (мошенничество, совершенное с использованием служебного положения).
По версии следствия, в период с января 2012 года по ноябрь 2016 года редактор государственного автономного учреждения газета «Знамя труда», не имея полномочий по заключению дополнительных соглашений в одностороннем порядке к своему трудовому договору, систематически издавала незаконные приказы об установлении себе надбавок за выполнение обязанностей корректора и ответственного секретаря, не взирая на то, что указанные должности не предусмотрены штатным расписанием Учреждения, а также приказы о выплате денежных средств за сверхурочную работу. На основании указанных нормативных актов должностными лицами бухгалтерии организации, введенными редактором в заблуждение, обвиняемой выплачивались денежные средства. В результате указанных мошеннических действий женщина похитила денежные средства, принадлежащие редакции на общую сумму более 176 000 рублей.
Кроме того, редактор газеты, используя свое служебное положение путём издания приказов о начислении премиальных выплат, необоснованно расходовала денежные средства Учреждения. Работникам редакции были необоснованно выплачены денежные средства на сумму более 400 000 рублей, а также самой обвиняемой на сумму 107 000 рублей, что существенно нарушило права и законные интересы ГАУ ПО «Редакция газеты «Знамя труда», а также повлекло образование значительной суммы задолженности у Учреждения по различного рода платежам. Данное обстоятельство создало препятствия в нормальной работе организации.
В ходе следствия обвиняемая не признала себя виновной в совершении инкриминируемых деяний.
После утверждения обвинительного заключения прокурором  уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1639180/,penza,В Пензе осужденный обвиняется в даче взятки сотруднику исправительного учреждения,"['взятка', 'коррупция']",18 Марта 2024,"Следственным отделом по Железнодорожному району города Пензы следственного управления Следственного комитета России по Пензенской области в отношении 42-летнего мужчины возбуждено уголовное дело по  признакам преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу через посредника за совершение заведомо незаконных действий). Уголовное дело возбуждено следователем регионального Следственного комитета во взаимодействии с сотрудниками УФСБ и ОСБ УФСИН России по Пензенской области.
По данным следствия, в конце ноября 2021 года мужчина 1979 года рождения, отбывающий наказание в одной из исправительных колоний за совершение преступления в сфере незаконного оборота наркотиков, предложил младшему инспектору группы надзора отдела безопасности исправительного учреждения за взятку в размере 30 тысяч рублей тайно пронести и передать ему запрещенные к получению, хранению и пользованию на территории колонии предметы – два сотовых телефона.
Младший инспектор колонии не намеревался совершать противоправные действия и сообщил сотрудникам уполномоченных органов о коррупционном преступлении в установленном законом порядке. В ходе проведения оперативно-разыскных мероприятий сотрудниками УФСБ и ОСБ УФСИН России по Пензенской области вечером 6 декабря 2021 года посредник задержан при передаче взятки сотруднику исправительного учреждения. Следователем в ходе осмотра места происшествия изъяты денежные средства (взятка) и сотовые телефоны.
Мужчине предъявлено обвинение в даче взятки должностному лицу, вину в совершении инкриминируемого деяния он признал.
В настоящее время проводится комплекс следственных действий, направленных на установление всех обстоятельств совершения коррупционного преступления и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1242077/,penza,В Никольском районе двое мужчин признаны виновными в даче взятки сотруднику полиции,"['взятка', 'коррупция', 'приговор', 'суд']",25 Января 2024,"Собранные Городищенским межрайонным следственным отделом следственного управления Следственного комитета России по Пензенской области доказательства признаны судом достаточными для вынесения приговора двум жителям Никольского района 1957 и 1968 годов рождения по  п. «а» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий (бездействия) группой лиц по предварительному сговору).
Следствием и судом установлено, что 21 апреля 2018 года мужчина 1968 года рождения был задержан инспекторами ГИБДД отдела полиции МВД России «Никольский», поскольку управлял автомашиной марки «ВАЗ-11193» в состоянии алкогольного опьянения. После освидетельствования он был доставлен в муниципальный отдел полиции для составления административного материала по ч. 1 ст. 12.8 КоАП РФ (управление транспортным средством водителем, находящимся в состоянии опьянения). Не желая быть привлеченным к административной ответственности, он позвонил своему родственнику и попросил привезти 20 тысяч рублей. По приезду последнего мужчины договорились совместно дать взятку полицейскому за совершение им заведомо незаконного бездействия -  ненаправление в суд составленного административного материала и за незаконные действия – уничтожение составленных документов административного материала.
Впоследствии, находясь в кабинете инспектора ДПС ОГИБДД, мужчины вместе начали предлагать полицейскому взятку за совершение вышеуказанных незаконных действий (бездействия). В ходе беседы злоумышленник 1957 года рождения передал сотруднику полиции взятку в размере 20 тысяч рублей, положив их под клавиатуру на столе инспектора. После передачи денежных средств незаконные действия родственников были пресечены сотрудниками правоохранительных органов. Деньги изъяты в ходе осмотра места происшествия.
Приговором суда мужчинам назначено наказание в виде штрафа в размере дохода за период 8 месяцев каждому: одному – 88 тысяч рублей, другому – 99  488 рублей. Приговор не вступил в законную силу."
/news/item/1831949/,penza,Вступил в законную силу приговор женщине за покушение на дачу взятки следователю регионального следственного управления,"['взятка', 'деньги', 'коррупция', 'приговор', 'суд']",14 Ноября 2023,"Собранные следователями Сердобского межрайонного следственного отдела следственного управления СК России по Пензенской области доказательства признаны судом достаточными для вынесения приговора 46-летней жительнице Москвы по ч. 3 ст. 30, ч. 1 ст. 291.2 УК РФ (покушение на дачу взятки в размере, не превышающем десяти тысяч рублей).
Следствием и судом установлено, что в июле 2023 года следователем Каменского межрайонного следственного отдела регионального следственного управления СК России в отношении жителя города Москвы возбуждено уголовное дело по факту применения насилия и публичного оскорбления участкового уполномоченного в связи с исполнением им своих должностных обязанностей в городе Белинский. Утром 13 июля 2023 года его супруга попыталась передать следователю взятку в размере 10 тысяч рублей за совершение незаконных действий: неизбрание в отношении мужа меры пресечения и прекращение уголовного дела. Следователь от получения взятки отказалась, сообщив о поступившем предложении коррупционного характера руководству. Противоправные действия женщины пресечены сотрудниками правоохранительных органов.
Приговором суда подсудимой назначено наказание в виде штрафа. Предмет взятки в размере 10 тысяч рублей конфискован и обращен в собственность государства. Приговор вступил в законную силу.
Ранее приговором Белинского районного суда муж подсудимой был признан виновным в применении насилия и публичном оскорблении полицейского, ему назначено наказание в виде штрафа."
/news/item/1780796/,penza,Завершено расследование уголовного дела по обвинению бывших министра культуры и туризма Пензенской области и директора Пензенского драматического театра в совершении коррупционных преступлений,"['взятка', 'злоупотребление полномочиями', 'коррупция', 'мошенничество', 'растрата', 'чиновник']",19 Октября 2023,"В отделе по расследованию особо важных дел следственного управления СК России по Пензенской области завершено расследование уголовного дела по обвинению бывшего министра культуры и туризма Пензенской области в совершении преступлений, предусмотренных ч. 3 ст. 33, ч. 3 ст. 159 УК РФ (организация мошенничества, совершенного лицом с использованием своего служебного положения), ч. 3 ст. 33, ч. 3 ст. 160 УК РФ (организация растраты, совершенной лицом с использованием своего служебного положения), ч. 2 ст.285 УК РФ (злоупотребление должностными полномочиями, совершенное из корыстной заинтересованности лицом, занимающим государственную должность субъекта Российской Федерации), и бывшего директора Пензенского областного драматического театра в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество с использованием своего служебного положения), ч. 3 ст. 160 УК РФ (растрата с использованием своего служебного положения), ч. 2 ст. 290 УК РФ (получение должностным лицом взятки в значительном размере). Уголовное дело расследовано следователями регионального Следственного комитета при оперативном сопровождении сотрудников УФСБ России по Пензенской области.
По данным следствия, в период с 2018 по 2021 год министр культуры и туризма Пензенской области, используя служебное положение и нахождение от нее в служебной зависимости директора театра, злоупотребляя своими полномочиями, организовала фиктивное трудоустройство своей дочери в Пензенский областной драматический театр, зная, что последняя трудовые обязанности выполнять не будет. Директор драмтеатра, осознавая незаконность и противоправность совершаемых действий, согласился на заключение фиктивного трудового договора.
В результате незаконных действий обвиняемых театру и региональному отделению Фонда социального страхования Российской Федерации причинен имущественный ущерб на общую сумму более 380 тысяч рублей.
Кроме того, директор драмтеатра обвиняется в получении взятки в размере 30 тысяч рублей за заключение договоров на музыкальное оформление ряда спектаклей. 10 тысяч рублей переданы ему в марте 2022 года, оставшаяся часть взятки – в мае 2022 года. Факт получения незаконного вознаграждения зафиксирован сотрудниками УФСБ России по Пензенской области. Денежные средства изъяты следователем в ходе осмотра места происшествия.
После вручения обвинительного заключения уголовное дело будет направлено в суд."
