Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1813703/,perm,В городе Перми бывший заместитель главного врача медицинского учреждения признан виновным в коррупционном преступлении,['коррупция'],11 Января 2024,"Доказательства, собранные вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Пермскому краю, признаны достаточными для вынесения приговора в отношении бывшего заместителя главного врача одного из медицинских учреждений города Перми. Он признан виновным в совершении преступления, предусмотренного ч. 5 ст. 291.1 УК РФ (обещание и предложение посредничества во взяточничестве).
Следствием и судом установлено, что на протяжении 2021 года сотрудниками краевого управления ФСБ России проводились оперативно-розыскные мероприятия, связанные с проверкой заключенных государственных контрактов в одном из медицинских учреждений Пермского края. В рамках мероприятий были опрошены должностные лица организаций-подрядчиков из Санкт-Петербурга. Понимая, что результаты оперативно-розыскных мероприятий могут повлечь негативные последствия для репутации медицинского учреждения в виде доследственных проверок с возможным возбуждением уголовных дел, заместитель главного врача подыскал ранее судимого жителя города Москвы, которому предложил выступить посредником в передаче от представителя одного из поставщиков медицинских изделий взятки в сумме 50 тысяч долларов США сотрудникам ФСБ России за прекращение оперативно-розыскных мероприятий.
Виновный был намерен подыскать сотрудника ведомства, который согласится за взятку помочь в прекращении мероприятий, и передать ему деньги, однако преступная деятельность осужденного была пресечена, он был задержан.
Приговором суда виновному назначено наказание в виде штрафа в размере 1,5 миллиона рублей.
В настоящее время уголовное дело в отношении второго фигуранта, обвиняемого в покушении на посредничество во взяточничестве, рассматривается в суде.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
/news/item/1141361/,perm,В городе Губахе перед судом предстанет чиновник обвиняемый в служебном подлоге и  присвоении денежных средств,[],10 Января 2024,"Губахинским межрайонным следственным отделом Следственного управления Следственного комитета России по Пермскому краю завершено расследование уголовного дела в отношении бывшего руководителя одного из подразделений Администрации городского округа «Город Губаха», обвиняемого в совершении преступлений, предусмотренных ч. 1 ст. 292 УК РФ и ч. 3 ст. 160 УК РФ (служебный подлог и присвоение и растрата, совершенные с использованием своего служебного положения).
По данным следствия, в 2014 году один из руководителей функционального органа Администрации городского округа  «Город Губаха», действуя из корыстных побуждений, составлял фиктивные договоры возмездного оказания услуг муниципальному образованию, однако данные услуги не предоставлялись, а денежное вознаграждение в течение 2014 года им присваивалось и расходовалось на личные нужды. Кроме того, в связи с отчислениями в различные фонды по данным договорам часть денежных средств им была растрачена. Всего обвиняемым было присвоено и растрачено более 230 тысяч рублей.
В результате присвоения и растраты 37-летним чиновником бюджету муниципального образования причинен материальный ущерб в размере более 230 000 руб.
Следствием собрана достаточная доказательная база, в связи с чем, уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
/news/item/1291227/,perm,"В городе Чердыни глава поселения, контрактный управляющий и коммерсант, обвиняемые в пособничестве и хищении имущества, предстанут перед судом","['присвоение', 'растрата', 'собранные доказательства']",09 Декабря 2023,"Чердынским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Пермскому краю закончено расследованием уголовное дело в отношении главы Ныробского городского поселения, контрактного управляющего Ныробского городского поселения и  индивидуального предпринимателя. В зависимости от роли каждого они обвиняются в совершении преступлений, предусмотренных ч. 3 ст. 160 УК РФ (хищение чужого имущества, вверенного виновному, путем присвоения и растраты, совершенные группой лиц по предварительному сговору, лицом с использованием своего служебного положения) и ч. 5 ст. 33, ч. 3 ст. 160 УК РФ (пособничество в совершении хищения чужого имущества, вверенного виновному, путем присвоения и растраты, совершенные группой лиц по предварительному сговору, лицом с использованием своего служебного положения, путем предоставления средств для совершения преступления).
По версии следствия, глава Ныробского городского поселения, используя свое служебное положение, действуя группой лиц по предварительному сговору с контрактным управляющим администрации Ныробского городского поселения, похитила путем присвоения и растраты денежные средства в размере 18 тысяч рублей из бюджета Ныробского городского поселения, при следующих обстоятельствах.
В июле 2017 года, глава поселения, зная, что контрактный управляющий привлечена к административной ответственности, и ей назначено наказание в виде штрафа в сумме 20 тысяч рублей, будучи осведомленной о том, что обязанность по уплате штрафа лежит лично на управляющей, желая незаконно возместить из бюджета поселения наложенный штраф, используя свое служебное положение, предложила управляющей составить фиктивный муниципальный контракт и сопутствующие документы к нему на сумму 18 тысяч рублей, заведомо зная, что данный муниципальный контракт не будет выполнен.
После этого, глава поселения составила фиктивные документы по оказанию транспортных услуг, между администрацией поселения и индивидуальным предпринимателем, внеся заведомо ложные сведения о перевозке имущества, принадлежащего администрации, из посёлка Валай в посёлок Ныроб.
После подписания акта о приемке якобы выполненных работ, глава перечислила бюджетные денежные средства в сумме 18 тысяч рублей на расчетный счет коммерсанта.
По указанию бизнесмена бухгалтер, как ошибочно перечисленные из администрации, перечислила деньги на счет управляющей, которая в этот же день сняла их со своего счета и внесла в счет погашения административного штрафа, тем самым присвоив денежные средства и распорядившись ими по своему усмотрению.
В ходе расследования уголовного дела по ходатайству следователя глава Ныробского городского поселения судом была отстранена от занимаемой должности.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утверждённым обвинительным заключением направлено в суд для рассмотрения, по существу.
При использовании информации, содержащейся в пресс-релизе, ссылка на следственное управление СК России по Пермскому краю обязательна."
/news/item/1765356/,perm,В городе Перми местный житель подозревается в передаче взятки,['взятка'],06 Декабря 2023,"Следственным отделом по Ленинскому району г. Пермь следственного управления Следственного комитета Российской Федерации по Пермскому краю возбуждено уголовное дело в отношении 44-летнего жителя города Перми, подозреваемого в совершении преступления, предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий (бездействие) в крупном размере).
По данным следствия, подозреваемый, которому достоверно было известно о проведении в отношении него проверочных мероприятий сотрудниками УФСБ России по Пермскому краю, пытаясь избежать привлечения к уголовной ответственности, прекращения оперативно-розыскных и иных проверочных мероприятий, решил передать сотруднику ведомства взятку.
7 февраля 2023 года подозреваемый, находясь на улице Окулова, передал взятку в виде денег в сумме 200 тысяч рублей должностному лицу УФСБ России по Пермскому краю, действовавшему под контролем оперативных работников ведомства. Подозреваемый был задержан на месте преступления с поличным.
В ходе допроса подозреваемый признал вину в полном объёме.
В настоящее время продолжается проведение комплекса следственных действий, направленных на сбор и закрепление доказательственной базы.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
/news/item/1798327/,perm,"В городе Перми сотрудник полиции, обвиняемый в получении взятки, предстанет перед судом",['коррупция'],13 Ноября 2023,"Следственными органами  следственного управления Следственного комитета Российской Федерации по Пермскому краю завершено расследование уголовного дела в отношении старшего оперуполномоченного УЭБ и ПК ГУ МВД России по Пермскому краю, обвиняемого в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом взятки в крупном размере).
Следствием установлено, что обвиняемый, занимая выше указанную должность, в период времени с декабря 2021 года по сентябрь 2022 года получал от участника организованной преступной группы, осуществлявшей незаконную игорную деятельность, взятку в виде денег в размере 800 тысяч рублей за предоставление информации о планируемых и проводимых мероприятиях по пресечению незаконной игорной деятельности со стороны правоохранительных органов на территории города Перми.
8 февраля 2023 года обвиняемый был задержан следователем следственного отдела по Дзержинскому району г. Пермь следственного управления при поддержке оперативных сотрудников УФСБ России по Пермскому краю, которыми было выявлено коррупционное преступление.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело направлено в суд для рассмотрения по существу.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
/news/item/1671543/,perm,"В городе Пермь перед судом предстанут двое жителей Екатеринбурга, обвиняемые в коррупционном преступлении",['взятка'],03 Ноября 2023,"Третьим отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Пермскому краю завершено расследование уголовного дела в отношении двоих жителей Свердловской области, обвиняемых в совершении преступления, предусмотренного ч. 4 ст. 291.1 УК РФ (посредничество во взяточничестве, совершенное в особо крупном размере).
По данным следствия, в апреле 2021 года в городе Перми обвиняемые по указанию генерального директора коммерческой организации, заранее договорившись, передали взятку в виде денег должностному лицу Министерства по регулированию контрактной системы в сфере закупок Пермского края в размере более 1,1 миллиона рублей, за совершение незаконных действий в интересах коммерческой организации, а также за способствование в победе в аукционе и заключению договора (контракта) на поставку медицинской техники, стоимостью более 22 миллионов рублей.
Сразу после передачи взятки посредники были задержаны сотрудниками УФСБ России по Пермскому краю.
В настоящее время материалы уголовного дела направлены в суд для рассмотрения по существу.
В отношении руководителя коммерческой организации, обвиняемого в передаче взятки, уголовное дело выделено в отдельное производство.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
/news/item/1712062/,perm,"В Пермском крае перед судом предстанет бывший руководитель УФССП России по Пермскому краю, обвиняемый в коррупционных преступлениях","['взятка', 'злоупотребление полномочиями', 'мошенничество']",13 Октября 2023,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Пермскому краю завершено расследование уголовного дела в отношении бывшего руководителя УФССП России по Пермскому краю, обвиняемого в совершении 11 преступлений, предусмотренных п. «а» ч. 5 ст. 290 УК РФ (получение взятки за незаконные действия, группой лиц по предварительному сговору), 27 преступлений, предусмотренных пп. «а, в» ч. 5 ст. 290 УК РФ (получение взятки за незаконные действия, группой лиц по предварительному сговору, в крупном размере), а также преступлений, предусмотренных ч. 1 ст. 285 (злоупотребление должностными полномочиями) и ч. 3 ст. 33, ч. 4 ст. 159 УК РФ (организация мошенничества, совершенного с использованием своего служебного положения, в особо крупном размере).
Следствием установлено, что с февраля 2017 года по июнь 2018 года в городе Перми обвиняемый, который на тот момент являлся руководителем УФССП России по Пермскому краю, действуя в составе организованной группы, совершил действия, связанные с незаконным возбуждением исполнительных производств на основании фальсифицированных удостоверений и решений комиссий по трудовым спорам, с последующим взысканием денежных средств с расчетных счетов различных юридических лиц и индивидуальных предпринимателей на сумму не менее 222 млн. рублей и дальнейшим их перечислением с лицевого счета Межрайонного отдела на банковские счета различных физических лиц, с целью последующего обналичивания.
В этот же период времени обвиняемым организовано совершение руководителем Межрайонного отдела УФССП России по Пермскому краю хищения путем мошенничества, при пособничестве директора коммерческой организации, с лицевого счета указанного отдела денежных средств, принадлежащих двум коммерческим организациям, в сумме более 3 миллионов рублей.
Кроме того, с июня 2017 года по июль 2018 года обвиняемый и руководитель Межрайонного отдела УФССП России по Пермскому краю, действуя группой лиц по предварительному сговору,получили лично от адвоката, жителя Перми и двух предпринимателей, в том числе через посредника, взятки в виде денег различными суммами от 11 тысяч рублей до 1 миллиона рублей за совершение в пользу взяткодателей и представляемых ими юридических лиц и индивидуальных предпринимателей незаконных действий, связанных с обналичиванием денежных средств. Общая сумма взяток полученных обвиняемым составила более 15 миллионов рублей.
Указанные преступления были выявлены сотрудниками региональных УФСБ России, ГУ МВД России и следователями СУ СК России по Пермскому краю в ходе расследования основного уголовного дела, возбужденного в 2018 году по признакам преступления, предусмотренного ч. 1 ст. 286 УК РФ, по которому также привлечена к уголовной ответственности за совершение аналогичных преступлений бывший руководитель Межрайонного отдела УФССП России по Пермскому краю.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело направляется в суд для рассмотрения по существу.
Кроме того, лица, являвшиеся посредниками или передавшими взятки обвиняемому, привлечены к уголовной ответственности.
При использовании информации, содержащейся в пресс-релизе, ссылка на следственное управление СК России по Пермскому краю обязательна."
/news/item/1675740/,perm,"Житель города Краснокамска, обвиняемый в даче взятки врачу, предстанет перед судом",['взятка'],04 Октября 2023,"Следственным отделом по г. Краснокамск следственного управления Следственного комитета Российской Федерации по Пермскому краю завершено расследование уголовного дела в отношении 38-летнего жителя города Перми, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу через посредника за совершение заведомо незаконных действий).
По данным следствия, в марте 2020 года обвиняемый передал через посредников взятку в виде денег в сумме 15 тысяч рублей врачу городской больницы за совершение заведомо незаконных действий – выдачу листка временной нетрудоспособности, содержащего заведомо ложные сведения о нетрудоспособности обвиняемого. При этом фактически медицинская помощь обвиняемому не оказывалась, экспертиза временной нетрудоспособности не проводилась, обвиняемый заболеваний не имел и в медицинской помощи не нуждался.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
/news/item/1791016/,perm,"В городе Перми задержан работник предприятия, подозреваемый в коммерческом подкупе",['коммерческий подкуп'],12 Сентября 2023,"Следственным отделом по Мотовилихинскому району г. Пермь следственного управления следственного комитета Российской Федерации по Пермскому краю возбуждено уголовное дело в отношении 33-летнего жителя города Перми, подозреваемого в совершении преступления, предусмотренного п. «г» ч. 7 ст. 204 УК РФ (коммерческий подкуп, совершенный в крупном размере) .
По данным следствия, подозреваемый, являясь начальником цеха на предприятии и выполняя управленческие функции, незаконно получил от предпринимателя денежные средства в сумме более 220 тысяч рублей за совершение действий в интересах последнего, в связи с занимаемым служебным положением. Коммерческий подкуп был передан за способствование заключению договора технического обслуживания и ремонта оборудования предприятия, оформлению документации, приемке работ и их оплате.
Во время передачи денежных средств, которая проходила под контролем оперативных сотрудников полиции, подозреваемый был задержан с поличным.
В настоящее время следователями проводится комплекс следственных действий, направленных на установление всех обстоятельств совершенного преступления, сбор и закрепление доказательственной базы.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
/news/item/1724943/,perm,В Пермском крае директор школы признан виновным в коррупционном преступлении,['взятка'],11 Сентября 2023,"Собранные Верещагинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Пермскому краю доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении директора одной из школ Косинского муниципального района. Он признан виновным в совершении  преступления, предусмотренного п. «б» ч. 5 ст. 290 УК РФ (получение взятки, совершенное с вымогательством взятки).
Следствием и судом установлено, что летом 2020 года предпринимателем был заключен контракт на выполнение работ в одной из школ Косинского района на сумму более 700 тысяч рублей. В ходе выполнения работ по условиям контракта возникла необходимость в проведении дополнительных работ на сумму 93 тысяч рублей, которые  были выполнены предпринимателем за обещание директора школы заключить с ним в последующем договор, и соответственно оплатить его. Однако в последующем директор школы отказался подписывать акты выполненных работ и потребовал от предпринимателя взятку в виде половины суммы контракта, а именно 46 тысяч рублей. Затем директор школы длительное время не принимал выполненные работы, вынуждая предпринимателя передать ему денежные средства. Лишь после согласия предпринимателя передать требуемую сумму денег директор подписал акты выполненных работ и предприниматель получил оплату по контракту. В последующем на протяжении полугода директор школы продолжал требовать передать ему деньги, в связи с чем предприниматель обратился в правоохранительные органы.
В ходе передачи взятки, которая проходила под контролем сотрудников правоохранительных органов, директор школы был задержан.
Приговором суда виновному назначено наказание в виде штрафа в размере 2,5 миллионов рублей. Кроме того подсудимому назначен дополнительный вид наказания в виде лишения права занимать  должности, связанные с исполнением организационно-распорядительных и административно-хозяйственных функций в органах  государственной власти и органах местного самоуправления сроком на 3 года. В настоящее время приговор в законную силу не вступил.
При использовании информации, содержащейся в пресс-релизе, ссылка на Следственное управление СКР по Пермскому краю обязательна."
