Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1808614/,primorsky,"В Приморском крае завершено расследование уголовного дела в отношении бывшего сотрудника полиции, обвиняемого  в получении взятки,  мошенничестве и превышении должностных полномочий",['коррупция'],14 Апреля 2024,"Следственными органами СУ СК РФ по Приморскому краю завершено расследование уголовного дела в отношении бывшего заместителя начальника управления экономической безопасности и противодействия коррупции УМВД России по Приморскому краю. Он обвиняется в совершении преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки), ч. 4 ст. 159 УК РФ (мошенничество),  п.п. «а, б» ч. 3 ст. 286 УК РФ  (превышение должностных полномочий)
По версии следствия, в период с июня 2020 года по июнь 2021 года фигурант, являясь должностным лицом,  получал взятки в виде денег от посредника в общей сумме  29 млн  рублей, за  заведомо незаконное бездействие, выраженное в непринятии установленных законом мер  к выявлению, пресечению и документированию совершенного взяткодателем преступления, предусмотренного ст. 260 УК РФ (незаконная вырубка леса), в том числе, в рамках осуществления коммерческой деятельности.
Кроме того, в июле 2021 года,  обвиняемый, используя свое служебное положение, ввел предпринимателя в заблуждение относительно своих возможностей повлиять на процессуальные решения по уголовному делу,
создавая видимость исполнения взятых на себя обязательств по принятию процессуальных решений. При этом  обеспечивал предоставление  потерпевшего через посредника общедоступной, а также вымышленной информации, связанной с расследованием уголовного дела, убеждая в перспективах принятия процессуального решения о прекращении уголовного дела. Таким образом, он обманным путем похитил у предпринимателя денежные средства в сумме 30  млн. рублей. Посредник был привлечен к уголовной ответственности за посредничество во взяточничестве.
Также, фигурант в марте 2021 года, находясь на территории Кавалеровского и Дальнегорского районов,  вышел за пределы своих полномочий  и применил насилие, специальные средства, а также высказал угрозы применения насилия в отношении местного жителя при проведении следственных действий с его участием.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением  будет направлено в суд для рассмотрения по существу."
/news/item/1663251/,primorsky,Во Владивостоке по ходатайству следователя  избрана мера пресечения  в отношении бывшего главы городского округа Большой Камень,[],10 Апреля 2024,"По ходатайству следователя следственного управления Следственного комитета Российской Федерации по Приморскому краю суд избрал меру пресечения в виде заключения под стражу бывшему главе городского округа Большой Камень.
Как сообщалось ранее, следственными органами Следственного комитета Российской Федерации по Приморскому краю возбуждено уголовное дело в отношении бывшего главы городского округа Большой Камень. Он подозревается в совершении преступления, предусмотренного ч. 2 ст. 285 УК РФ (злоупотребление должностными полномочиями).
По версии следствия, в период с апреля 2020 года по декабрь 2021 года подозреваемый, достоверно зная информацию о наличии не менее 30 семей, проживающих на территории городского округа Большой Камень, имеющих в своем составе трех и более детей, включенных в реестр многодетных семей, которые имеют право на бесплатное предоставление в собственность земельных участков в соответствии с Законом Приморского края, из личной заинтересованности, используя своё служебное положение, распорядился по своему усмотрению указанными земельными участками, предоставив их своим родственникам, близким лицам.
В настоящее время расследование уголовного дела продолжается, проводится комплекс мероприятий, направленный на установление всех обстоятельств произошедшего."
/news/item/1483193/,primorsky,В Октябрьском районе завершено расследование уголовного дела в отношении директора школы,['мошенничество'],08 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Приморскому краю завершено расследование уголовного дела в отношении директора школы. Она обвиняется в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана и злоупотребления доверием, совершенное лицом с использованием своего служебного положения).
По версии следствия, обвиняемая, будучи директором одной из общеобразовательных школ Октябрьского района, в период времени с 2013 года по 2018 год периодически выезжала за границу с целью отдыха, при этом давала указание не осведомленному сотруднику ставить в табеле учета рабочего времени заведомо ложные сведения о факте и объемах выполнения ею трудовых обязанностей директора в этот период. На основании ложных сведений начислялась заработная плата. Всего за якобы осуществляемую трудовую деятельность  ею было похищено более 32 000 рублей.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1826632/,primorsky,"В Хорольском районе завершено расследование уголовного дела в отношении местного жителя, обвиняемого в убийстве, совершенном в 1992 году",['насилие'],03 Апреля 2024,"Следственными органами СУ СК РФ по Приморскому краю завершено расследование уголовного дела в отношении 57-летнего мужчины. Он обвиняется в свершении преступления, предусмотренного по ст. 103 УК РСФСР (умышленное убийство, совершенное без отягчающих обстоятельств, указанных в статье 102 УК РСФСР).
По версии следствия, в сентябре 1992 года фигурант напал на 62-летнюю знакомую своей матери, которая уличила его в употреблении наркотических средств.   Находясь в доме по месту жительства по улице Центральной в пгт. Ярославский Хорольского района, он нанес ей удар ножом в живот, а затем с целью сокрытия следов преступления  расчленил тело и перенес на пустырь.
После совершения преступления он был осужден за кражу и длительное время отбывал наказание в местах лишения свободы. Спустя годы следователи при изучении материалов уголовного дела, решили еще раз проверить его причастность к убийству, провели необходимые экспертизы. Частицы биологического вещества, обнаруженного в доме фигуранта полностью совпали с генотипом потерпевшей. Под давлением улик он признался в содеянном.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением будет направлено в суд для рассмотрения по существу."
/news/item/1479955/,primorsky,"В Артеме возбуждено уголовное дело в отношении полицейского, подозреваемого в получении взятки",['взятка'],01 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Приморскому краю возбуждено уголовное дело в отношении старшего участкового уполномоченного полиции отдела участковых уполномоченных полиции и по делам несовершеннолетних отдела МВД РФ по городу Артему. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки).
По версии следствия, 6 июля 2020 года сотрудник полиции, находясь на автомобильной парковке гипермаркета  на улице Гагарина  в городе Артеме, получил взятку от предпринимателя в размере 30 000 рублей за несоставление административного протокола в отношении предпринимателя, предусмотренного ст. 14.2 КоАП РФ (незаконная продажа товаров (иных вещей), свободная реализация которых запрещена или ограничена). Предприниматель занимался реализацией алкогольной продукции без соответствующей лицензии. Предварительно установлено, что подозреваемый ранее составлял в отношении предпринимателя административный протокол по аналогичному правонарушению. При этом, в соответствии с санкцией статьи алкогольная продукция была изъята. При повторной проверке предпринимателя, он должен был вновь привлечь последнего к  ответственности, однако  вместо этого предложил ему ежемесячно передавать   взятку за так называемое «крышевание». В течение нескольких месяцев предприниматель передавал полицейскому взятки, пока однажды не сообщил о преступлении в правоохранительные органы.  6 июля 2020 года в рамках оперативно-розыскного мероприятия, организованного при взаимодействии сотрудников Следственного комитета и ФСБ подозреваемый был взят с поличным.
В настоящее время расследование уголовного дела продолжается, проводятся следственные действия, направленные на закрепление доказательственной базы и предъявление обвинения.    
«Как сообщили в пресс-службе регионального УМВД,  назначено проведение служебной проверки в отношении участкового уполномоченного полиции  ОМВД России по г. Артему. В ходе проверки будут тщательно и объективно изучены обстоятельства, причины и условия, которые привели к задержанию сотрудника. В случае установления вины, он будет уволен в связи с совершением проступка, порочащего честь и достоинство сотрудника ОВД, и понесет наказание в соответствии с действующим законодательством. Его непосредственные руководители будут привлечены к строгой дисциплинарной ответственности»."
/news/item/1858845/,primorsky,Во Владивостоке возбуждено уголовное дело по факту получения взятки и злоупотребления  должностными полномочиями сотрудниками полиции,"['взятка', 'коррупция']",30 Марта 2024,"Следственными органами СУ СК РФ по Приморскому краю возбуждено уголовное дело по факту злоупотребления должностными полномочиями и получения взятки сотрудниками полиции, по признакам преступлений, предусмотренных ч. 1 ст. 285 УК РФ, п. «а,б» ч. 5 ст. 290 УК РФ.
По версии следствия, 17 января 2023 года сотрудники полиции, находясь при исполнении должностных обязанностей, заметили на участке местности в районе лесополосы по улице Маковского в городе Владивостоке  двух граждан, которые делали «закладки» для бесконтактного  сбыта наркотических средств. Фигуранты не приняли  соответствующих мер по  выявлению преступления и привлечения к уголовной ответственности, а получили у последних денежные средства и иное имущество в качестве взятки на общую сумму более 93 тыс.рублей.
Преступление был выявлено сотрудниками УСБ УМВД России по Приморскому краю, в ходе проведения оперативно-розыскного мероприятия.
В настоящее время фигуранты задержаны и решается вопрос об избрании в отношении них меры пресечения.
Следователи СК России провели  в жилище подозреваемых обыски в условиях,  не требующих отлагательств. Установлено имущество, на которое будет наложен арест в целях обеспечения наказания."
/news/item/1530623/,primorsky,В Артеме завершено расследование уголовного дела по факту получения взятки,['взятка'],30 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Приморскому краю завершено расследование уголовного дела в отношении бывшего сотрудника ФКУ ИК-20 ГУФСИН России по Приморскому краю. Он обвиняется в совершении преступлений, предусмотренных п. «б» ч. 5 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег за общее покровительство и попустительство по службе, в значительном размере, за незаконное бездействие, совершенное с вымогательством взятки).
По версии следствия, в сентябре 2019 года обвиняемый достоверно зная, что заключенный, состоящий в должности резчика пищевой продукции в  столовой-кухни,  систематически нарушает режим отбывания наказания в исправительном учреждении, а именно имеет при себе запрещенные  вещи и предметы, решил получить от него взятки за покровительство последнего. В личном разговоре он высказал в адрес осужденного угрозы, связанные с лишением рабочего места и выдворением его в штрафной изолятор, после этого осужденный согласился передавать ему деньги. В течение года заключенный систематически перечислял на банковскую карту для обвиняемого денежные средства от 900 до 8000 рублей. Всего за это время обвиняемый получил 31 900 рублей.
Он также получал  взятки от другого заключенного, работающего пекарем,  за покровительство  и попустительство. За период времени с июня по сентябрь 2020 года заключенный перечислил ему на банковский счет денежные средства в сумме 63 500 рублей. 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением будет  направлено в суд для рассмотрения по существу."
/news/item/1833896/,primorsky,"В Уссурийске возбуждено уголовное дело в отношении бывшего сотрудника полиции, который подозревается  в получении взятки",['взятка'],29 Марта 2024,"Следственными органами СК РФ по Приморскому краю возбуждено уголовное дело в отношении сотрудника полиции. Он подозревается в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки).
По версии следствия, фигурант в конце 2022 получил от гражданина взятку в виде денег в размере 30 тыс. рублей за заведомо незаконные действия в его пользу, а именно за переоформление в нарушение установленного законом порядка транспортного средства. Следствием установлено всего три аналогичных эпизода преступной деятельности фигуранта. Взяткодатель также привлечен к уголовной ответственности.
Оба фигуранта в настоящее время находятся под стражей по другому уголовному делу.  В настоящее время с участием фигурантов следователи СК проводят процессуальные и следственные действия."
/news/item/1608483/,primorsky,"В Артеме завершено расследование  уголовного дела в отношении мужчины, обвиняемого в покушении на дачу взятки за получение положительной оценки за экзамены для получения водительских прав","['взятка', 'покушение']",28 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Приморскому краю завершено расследование уголовного дела в отношении местного жителя. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение, то есть умышленные действия лица, непосредственно направленные на дачу взятки должностному лицу через посредника, в значительном размере, за совершение заведомо незаконных действий и бездействия, если при этом преступление не было доведено до конца по независящем от этого лица обстоятельствам).
По версии следствия, в ноябре 2019 года обвиняемый, находясь на территории автозаправочной станции в городе Артеме, передал взятку в виде денег в сумме 125 тыс рублей посреднику для последующей передачи должностному лицу. Взятка передавалась за совершение в его пользу незаконных действий  и бездействия, обеспечивающих при проведении  теоретического экзамена, а также экзаменов по первоначальным навыкам управления транспортным средством и по управлению транспортным средством в условиях дорожного движения и обеспечения ему  положительного результата экзаменов, а также последующего получения водительского удостоверения категории «D».
 Преступление не было доведено до конца по независящим от обвиняемого обстоятельствам, так как он был задержан сотрудниками правоохраны при передаче взятки посреднику. 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1632957/,primorsky,"В Приморском крае бывшему депутату Государственной Думы Федерального Собрания Российской Федерации заочно предъявлено обвинение в незаконном участии в предпринимательской деятельности и легализации денежных средств, он объявлен в международный розыск",[],27 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Приморскому краю бывшему депутату Государственной Думы Федерального Собрания Российской Федерации Сергею Сопчуку предъявлено обвинение в совершении преступлений, предусмотренных ст. 289 УК РФ (незаконное участие в предпринимательской деятельности), п. «б» ч. 4 ст. 174.1 УК РФ (легализация (отмывание) денежных средств или иного имущества, приобретенных другими лицами преступным путем).

По версии следствия, с 2011 года обвиняемый одновременно с осуществлением законодательных и исполнительных полномочий в Приморском крае занимался предпринимательской деятельностью, в том числе посредством подконтрольных ему коммерческих организаций. Так, для извлечения прибыли он, начиная с 2011 года, участвовал в финансовой деятельности одной из коммерческих организаций. Для этих целей Скопчук назначил руководителем организации доверенное лицо и до 2020 года являлся фактическим совладельцем предприятия. При этом предоставлял предприятию как сам лично, так и через подконтрольных ему физических и юридических лиц займы на общую сумму более 1 млрд рублей.

Совершая преступные действия, фигурант незаконно использовал свой статус представителя власти для покровительства своей предпринимательской деятельности и легализовывал приобретенные в результате этого преступления денежные средства.

В настоящее время проведен обыск по месту жительства, изъята документация. Сопчук объявлен в международный розыск. В отношении последнего избрана мера пресечения в виде заключения под стражу сроком на 2 месяца. Расследование уголовного дела продолжается."
/news/item/1482147/,primorsky,Во Владивостоке завершено расследование уголовного дела в отношении бывшего полицейского,['взятка'],26 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Приморскому краю завершено расследование уголовного дела в отношении бывшего помощника оперативного дежурного (по управлению нарядами) группы управления нарядами дежурной части УМВД России по г. Владивостоку. Он обвиняется в нескольких преступлениях, предусмотренных ч. 1 ст. 291.1 УК РФ (получение взятки лично, в размере не превышающем десяти тысяч рублей), ч. 3 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег, в значительном размере, за незаконные действия).
По версии следствия, в период времени 2018-2019 гг. обвиняемый, являясь сотрудником полиции, достиг соглашение с представителем агентства ритуальных услуг, что  за предоставленную оперативную информацию об умерших людях и  абонентском номере телефона, с которого был сделан звонок, он будет получать 1 000 рублей. Благодаря оперативно предоставляемой информации от обвиняемого представитель ритуального агентства заключал договоры на оказание ритуальных услуг. В ходе расследования установлен факт получения взяток от двух ритуальных агентов на общую сумму более 87 000 рублей.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.     
Стоит отметить, что взяткодатели также привлечены к уголовной ответственности за дачу взятки должностному лицу.

""Как сообщили в региональном управлении МВД России, преступление выявили сотрудники ОРЧ собственной безопасности УМВД России по Приморскому краю во взаимодействии с коллегами из ФСБ России по Приморскому краю. 
Помощник оперативного дежурного уволен в связи с совершением проступка, порочащего честь и достоинство сотрудника органов внутренних дел. Его непосредственные руководители привлечены к строгой дисциплинарной ответственности""."
/news/item/1871292/,primorsky,"Во Владивостоке пресечено коррупционное  преступление, в котором обвиняются: адвокат, бывший сотрудник полиции  и местный житель","['деньги', 'коррупция']",21 Марта 2024,"Следственными органами СК России по Приморскому краю пресечена преступная деятельность  адвоката Адвокатской палаты Приморского края. Он  обвиняется    в совершении преступления, предусмотренного п. «б» ч. 3 ст. 291.1 УК РФ (посредничество во взяточничестве).
По версии следствия, в декабре 2023 года обвиняемый  выступил в качестве посредника при передаче  взятки оперуполномоченному отдела полиции в городе Владивостоке в размере 200 тыс. рублей. Взятка передавалась подзащитным адвоката за совершение незаконных действий со стороны сотрудника полиции в виде незадержания его  в качестве подозреваемого по уголовному делу о мошенничестве.
Следователи СК России провели обыск по месту жительства всех обвиняемых. В отношении взяткодателя и взяткополучателя  также возбуждены уголовные дела по признакам преступлений предусмотренных п. «в» ст. 291 УК РФ (дача взятки) и п. «в» ч. 5 ст. 290 УК РФ (получение взятки).
В настоящее время по уголовному делу проводится комплект следственных действий,  направленных на установление всех обстоятельств произошедшего.
Взяткополучатель находится под домашним арестом, взяткодатель взят под стражу по делу о мошенничестве. По посреднику следователем принято решение о необходимости избрания меры пресечения в виде заключения под стражу, соответствующее ходатайство будет направлено в суд.
Уголовное дело возбуждено по материалам и при оперативном сопровождении сотрудников УФСБ России по Приморскому краю."
