Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1858566/,psut,"В Татарстане осужден бывший капитан судна, обвиняемый в покушении на дачу взятки сотруднику полиции","['капитан', 'приговор', 'транспорт']",28 Февраля 2024,"Собранные Центральным МСУТ СК России доказательства признаны судом достаточными для вынесения приговора в отношении бывшего капитана теплохода, пытавшегося дать взятку сотруднику полиции. Мужчина признан виновным в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение заведомо незаконного бездействия).Следствием и судом установлено, что вечером 13 ноября 2023 года капитан теплохода «Тибет», находясь в состоянии алкогольного опьянения, посадил свое судно с двумя буксируемыми баржами на мель на 1304 км реки Волга в Кировском районе г. Казани. В целях избежать привлечения к административной ответственности, он попытался передать в качестве взятки 20 000 рублей сотруднику транспортной полиции за непрохождение медицинского освидетельствования на состояние опьянения.Сотрудник полиции от получения взятки отказался, сообщив о поступлении коррупционного предложения руководству, и пресёк противоправные действия капитана.Следователями проведен комплекс следственных действий, в том числе выполнен ряд судебных экспертиз, собрана необходимая доказательная база, и уголовное дело направлено в Кировский районный суд Казани для рассмотрения по существу.Суд назначил бывшему капитану наказание в виде штрафа. По представлению следствия капитан с занимаемой должности уволен."
/news/item/1438910/,psut,В Пензе заместитель начальника одного из подразделений железной дороги подозревается в совершении коррупционного преступления,[],08 Февраля 2024,"Приволжским следственным управлением на транспорте СК России возбуждено уголовное дело в отношении заместителя начальника Эксплуатационного вагонного депо «Пенза» – структурного подразделения Куйбышевской дирекции инфраструктуры ОАО «РЖД». Действия подозреваемого квалифицированы по признакам преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки за незаконные действия).
По версии следствия, подозреваемый в октябре 2019 года получил от заместителя начальника вагонного ремонтного депо взятку за совершение незаконных действий, а именно за установление фиктивного брака грузовых вагонов, без проведения их фактического осмотра и с целью направления на ремонт для повышения объема производимых работ ремонтным предприятием.
Преступление было выявлено в результате проведения оперативно - розыскных мероприятий сотрудниками транспортной полиции и регионального УФСБ.
Ведется следствие, подозреваемый задержан, решается вопрос об избрании ему меры пресечения, выполняется комплекс следственных действий и оперативных мероприятий, направленных на установление всех обстоятельств уголовного дела.
С целью недопущения повторения подобных случаев в адрес руководства железнодорожной организации готовится представление об устранении обстоятельств, способствующих совершению подобных преступлений, и усилении ведомственного контроля за работой подчиненных."
/news/item/1143381/,psut,В Самарской области возбуждено уголовное дела в отношении заместителя руководителя областной таможни и его подчиненногопо факту получения взятки в крупном размере,[],05 Февраля 2024,"Приволжским следственным управлением на транспорте СК России возбуждено уголовное дело по п. «а, в» ч. 5 ст. 290 УК РФ (получение взятки группой лиц по предварительному сговору в крупном размере). В совершении вышеуказанного преступления подозревается заместитель начальника Самарской таможни по тыловому обеспечению Дмитрий Игонин и заместитель начальника отдела тылового обеспечения Самарской таможни Андрей Левкин.
По версии следствия, в феврале 2016 года подозреваемые умышленно, группой лиц по предварительному сговору получили от менеджера коммерческой организации взятку в виде денег в сумме 194.000 рублей, за совершение действий, входящих в их служебные полномочия, а именно за содействие в приеме и подписании документов, подтверждающих исполнение государственного контракта на оказание услуг на сумму около 2.000.000 рублей.
Сотрудники таможни были задержаны сотрудниками отдела противодействия коррупции Самарской таможни и сотрудниками 6 отдела УЭБ и ПК ГУ МВД России по Самарской области с поличным, в момент получения денег при проведении оперативно-розыскного мероприятия.
Ведется следствие, выполняется комплекс следственных действий и оперативных мероприятий, направленных на установление всех обстоятельств дела. Решается вопрос об избрании меры пресечения.
Решение о возбуждении уголовного дела Приволжской транспортной прокуратурой признано законным."
/news/item/1165697/,psut,В Казани направлено в суд уголовное дело в отношении бывшего начальника железнодорожной станции «Вятские Поляны» по факту получения взятки в значительном размере,[],30 Января 2024,"Следственными органами Приволжского следственного управления на транспорте Следственного комитета Российской Федерации завершено расследование уголовного дела в отношении завершено расследование уголовного дела в отношении бывшего начальника железнодорожной станции «Вятские Поляны» Игоря Воскресенского, железнодорожник обвиняется в совершении преступления, предусмотренного ч. 2 ст. 290 УК РФ, (получение взятки в значительном размере).
По версии следствия, обвиняемый в октябре 2015 года получил от представителя коммерческой фирмы денежные средства в размере 40.000 рублей в качестве взятки за действия заключающихся в ускоренной подаче и уборке вагонов-цистерн для перевозки дизельного топлива, создании условий для повышения уровня конкурентоспособности и выполнение иных необходимых действий, входящих в его служебные полномочия, в целях минимизации возможных затрат и нормального функционирования предприятия.
Обвиняемый в ходе следствия свою вину признал полностью и стал сотрудничать со следствием.
Преступление было выявлено в результате проведения ряда оперативно - розыскных мероприятий сотрудниками подразделения по борьбе с экономическими преступлениями УТ МВД России по ПФО.
С целью недопущения повторения подобных случаев в адрес руководства железнодорожной организации направлено представление об устранении обстоятельств, способствующих совершению подобных преступлений и усилении ведомственного контроля за работой подчиненных. 
Уголовное дело после утверждения обвинительного заключения Татарским транспортным прокурором направлено в Ново - Савиновский районный суд города Казани для рассмотрения по существу."
/news/item/1167709/,psut,Во Владимире в отношении железнодорожника возбуждены уголовные дела  по фактам получения взяток в значительном размере,[],24 Января 2024,"Приволжским следственным управлением на транспорте СК России возбуждены уголовные дела в отношении главного инженера Владимирской дистанции сигнализации, централизации и блокировки Горьковской железной дороги (ОАО «РЖД») г. Владимир.  Железнодорожник подозревается в совершении преступлений, предусмотренных ч. 2 ст. 290 УК РФ (получение взятки в значительном размере).
По версии следствия, подозреваемый в декабре 2016 года и в январе 2017 года получил от представителя коммерческой организации незаконное денежной вознаграждение в размере 60 000 рублей, в качестве взяток за выделение подчиненных сотрудников для обеспечения качества строительных работ, выполнявшихся коммерческой организацией.
Преступление было выявлено сотрудниками УТ МВД России по ПФО.
Ведется следствие, решается вопрос об избрании подозреваемому меры пресечения, выполняется комплекс следственных действий и оперативных мероприятий, направленных на установление всех обстоятельств уголовного дела.
Следователи устанавливают другие эпизоды преступной деятельности подозреваемого.
С целью недопущения повторения подобных случаев в адрес руководства железнодорожной организации готовится представление об устранении обстоятельств, способствующих совершению подобных преступлений и усилении ведомственного контроля за работой подчиненных. 
Расследование уголовного дела находится на контроле руководства Следственного управления."
/news/item/1728251/,psut,"В Екатеринбурге перед судом предстанет начальник поезда, обвиняемая в коммерческом подкупе в значительном размере","['железная дорога', 'коммерческий подкуп', 'транспорт']",20 Декабря 2023,"Центральным межрегиональным следственным управлением на транспорте Следственного комитета Российской Федерации завершено расследование уголовного дела в отношении начальника пассажирского поезда структурного подразделения Куйбышевского филиала АО «ФПК». Она обвиняется в совершении преступления, предусмотренного п. «б» ч. 3   ст. 204 УК РФ (коммерческий подкуп, совершенный в значительном размере за заведомо незаконные действия (бездействие).
Следствием установлено, что обвиняемая, занимая должность начальника пассажирского поезда, в период с 2017 по 2018 года систематически незаконно передавала денежные средства начальнику отдела контроля пассажирских перевозок Уральского отделения АО «ФПК» за предоставление конфиденциальной информации о графиках предстоящих ревизий поездов, а также невключение в график ревизий поездов. Всего в этот период в качестве незаконного вознаграждения ею передано 147 тыс. рублей.
Следователями проведен комплекс следственных действий, собрана необходимая доказательная база и уголовное дело после утверждения обвинительного заключения транспортной прокуратурой направлено в Первоуральский городской суд Свердловской области для рассмотрения по существу.
Преступление было выявлено сотрудниками УТ МВД России на транспорте по УрФО.
С целью недопущения повторения подобных случаев в контролирующие органы и руководству транспортной пассажирской компании направлено представление об устранении обстоятельств, способствующих совершению подобных преступлений, и усилении ведомственного контроля за работой подчиненных."
/news/item/1215497/,psut,В Самаре в отношении железнодорожника возбуждено уголовное дело по факту получения взятки в крупном размере,[],15 Ноября 2023,"Приволжским следственным управлением на транспорте СК России возбуждено уголовное дело в отношении ведущего инженера отдела организации грузовой и коммерческой работы и условий перевозок грузов службы грузовой и коммерческой работы Куйбышевского территориального центра фирменного транспортного обслуживания ОАО «РЖД» Максима Н.  Железнодорожник подозревается в совершении преступления, предусмотренного п. «б» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере).
По версии следствия, подозреваемый в период 2016 и 2017 года незаконно получил от представителя коммерческой фирмы взятку в размере 300000 рублей за совершение действий, входящих в его служебные полномочия, а именно за проверку и согласование чертежей, схем погрузки грузов на открытом подвижном составе.   
Преступление выявлено в результате проведения оперативно - розыскных мероприятий УТ МВД России по ПФО.
Ведется следствие, решается вопрос об избрании подозреваемому меры пресечения, выполняется комплекс следственных действий и оперативных мероприятий, направленных на установление всех обстоятельств уголовного дела.
Следователи устанавливают другие эпизоды преступной деятельности подозреваемого.
С целью недопущения повторения подобных случаев в адрес руководства железнодорожной организации готовится представление об устранении обстоятельств, способствующих совершению подобных преступлений и усилении ведомственного контроля за работой подчиненных. 
Расследование уголовного дела находится на контроле руководства Следственного управления."
/news/item/1209354/,psut,В Нижнем Новгороде в отношении работника железной дороги возбуждено уголовное дело по факту получения взятки в крупном размере,[],27 Июля 2023,"Приволжским следственным управлением на транспорте СК России возбуждено уголовное дело в отношении заместителя начальника (по экономике) центра диагностики и мониторинга устройств инфраструктуры – структурного подразделения Горьковской дирекции инфраструктуры – структурного подразделения Центральной дирекции инфраструктуры – филиала ОАО «РЖД» Людмилы Гнидиной.  Железнодорожница подозревается в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере).
По версии следствия, подозреваемая в период с ноября 2014 года по август 2016 года от руководства транспортной организации получила взятку в размере 280000 рублей за своевременное согласование и подписание актов выполненных работ по договору на оказание комплекса услуг по обслуживанию пассажирских и служебно-технических вагонов.
Преступление выявлено в результате проведения оперативно - розыскных мероприятий сотрудниками УТ МВД России по ПФО.
Ведется следствие, решается вопрос об избрании подозреваемой меры пресечения, выполняется комплекс следственных действий и оперативных мероприятий, направленных на установление всех обстоятельств уголовного дела.
Следователи устанавливают другие эпизоды преступной деятельности подозреваемой.
С целью недопущения повторения подобных случаев в адрес руководства железнодорожной организации готовится представление об устранении обстоятельств, способствующих совершению подобных преступлений и усилении ведомственного контроля за работой подчиненных. 
Расследование уголовного дела находится на контроле руководства Следственного управления."
/news/item/1857334/,psut,В Екатеринбурге бывший таможенный служащий осужден за получение взятки в значительном размере и разглашение налоговой тайны,"['подсудимый', 'таможенник таможня']",20 Апреля 2023,"Собранные Центральным МСУТ СК России доказательства признаны судом достаточными для вынесения приговора в отношении бывшего 42-летнего служащего Екатеринбургской таможни. Мужчина признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 (получение взятки в значительном размере) и ч. 3 ст. 183 УК РФ (незаконное разглашение сведений, составляющих налоговую тайну).Судом и следствием установлено, что таможенный инспектор в период с января 2019 года по февраль 2021 года, действуя из корыстной заинтересованности, незаконно направил сведения, составляющие налоговую тайну, заинтересованному лицу, получив на банковскую карту за вышеуказанные незаконные действия взятку в сумме свыше 100.000 рублей.Канал передачи третьим лицам информации ограниченного доступа, незаконно полученной из баз данных ФТС России, выявлен сотрудниками подразделений по противодействию коррупции и Службы информационной безопасности ГУИТ Федеральной таможенной службы России во взаимодействии с органами УФСБ России по Свердловской области.Следователями был проведен комплекс следственных действий, собрана необходимая доказательная база, и уголовное дело направлено в суд для рассмотрения по существу. Государственное обвинение в суде поддерживал представитель Уральской транспортной прокуратуры. Суд приговорил бывшего служащего таможни к лишению свободы сроком на 3 года 6 месяцев условно с испытательным сроком 3 года. Кроме этого, ему назначено дополнительное наказание в виде штрафа в размере 819 тыс. рублей с лишением права занимать определенные должности на государственной службе сроком на 2 года."
/news/item/1783131/,psut,В Челябинске в отношении железнодорожника возбуждено уголовное дело по факту получения взятки в значительном размере,"['взятка', 'должностное лицо', 'железная дорога', 'коррупция']",18 Апреля 2023,"Центральным межрегиональным следственным управлением на транспорте СК России в отношении заместителя начальника Челябинского агентства фирменного транспортного обслуживания – структурного подразделения центра фирменного транспортного обслуживания возбуждено уголовное дело по факту получения взятки. Должностное лицо подозревается в совершении преступления, предусмотренного ч. 2 ст. 290 УК РФ, - получение взятки в значительном размере. Следствием установлено, что подозреваемый в период с 2020 по 2021 год получил от представителя коммерческой организации взятку в сумме более 100000 рублей за организацию отправки вагонов, используемых организацией в коммерческой деятельности, без задержек. Преступление было выявлено в результате проведения оперативно - розыскных мероприятий сотрудниками УФСБ России по Челябинской области и УТ МВД России по УрФО. Ведется следствие, проводится сбор доказательной базы, решается вопрос об избрании подозреваемому меры пресечения."
