Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1217104/,rostov,В Каменске-Шахтинском вынесен приговор бывшей сотруднице администрации за получение взятки и мошеннические действия,[],08 Апреля 2024,"Собранные следственным отделом по г. Донецку Следственного управления Следственного комитета Российской Федерации по Ростовской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшей  сотрудницы  администрации  г. Каменска-Шахтинского Ларисы Михайловой. Она признана виновной в совершении преступлений, предусмотренных  ч. 3 ст. 290 УК РФ (получение взятки), ч. 3 ст. 159 УК РФ (мошенничество -5 эпизодов).
Следствием и судом установлено, что Михайлова,  исполняя в апреле 2017 года обязанности начальника сектора по местному самоуправлению в микрорайоне Заводском Администрации города Каменск-Шахтинский получила лично от местного предпринимателя    взятку  в сумме 12 тысяч  рублей за не составление в отношении  него и осуществлявших в его интересах незаконную торговлю лиц протоколов об административных правонарушениях.
Кроме того, занимая должность старшего инспектора сектора по местному самоуправлению в микрорайоне Заводском Администрации города Каменска-Шахтинский  Михайлова совершила в отношении жителей г. Каменска-Шахтинского мошенническое хищение их денежных средств в размере  67 500 рублей, вводя их в заблуждение о привлечении к административной ответственности в сфере несанкционированной торговли, хотя фактически объективной возможности составлять протоколы об административных правонарушениях не имела.
Приговором суда ей назначено наказание  в виде 3 лет 1 месяца лишения свободы в исправительной колонии общего режима со штрафом в размере 240 тысяч рублей и лишением права занимать должности на 2 года.
Приговор в законную силу не вступил."
/news/item/1695250/,rostov,Бывший заведующий кафедрой  медицинского университета предстанет перед судом за получение взяток,"['взятка', 'деньги', 'коррупция', 'обвинение']",05 Апреля 2024,"Вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) следственного управления Следственного комитета Российской Федерации по Ростовской области завершено расследование уголовного дела в отношении бывшего заведующего  кафедрой медицинского университета. Он обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (16 эпизодов получение взяток в значительном размере).
По версии следствия, обвиняемый с 2018 по 2020 год систематически через посредника получал взятки от студентов университета в сумме от 20 тыс. руб. до 30 тыс. руб. за успешную сдачу зачетов и экзаменом без фактической проверки уровня знаний.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
Уголовное дело в отношении посредника следствием выделено в отдельное производство."
/news/item/1526917/,rostov,В Ростове-на-Дону директор коммерческой организации подозревается в мошенничестве,"['коррупция', 'мошенничество']",02 Апреля 2024,"Следственным отделом по Пролетарскому району г. Ростова-на-Дону следственного управления Следственного комитета Российской Федерации по Ростовской области возбуждено уголовное дело в отношении директора ООО «СпецСтрой». Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество).
По версии следствия, в 2019 году подозреваемый, являясь подрядчиком при исполнении муниципального контракта на выполнение работ по благоустройству и озеленению парка, расположенного по ул. Вересаева в г. Ростове-на-Дону, в рамках реализации национального проекта «Жилье и городская среда», похитил с использованием служебного положения денежные средства в сумме более 900 тысяч рублей.
В настоящее время следователем назначено проведение судебных экспертиз, устанавливаются все обстоятельства совершенного преступления, а также причастность иных лиц."
/news/item/1654835/,rostov,В г. Ростове-на-Дону бывший сотрудник полиции признан судом виновным в коррупционном и должностном преступлениях,"['взятка', 'деньги', 'коррупция', 'превышение полномочий', 'приговор', 'суд']",28 Марта 2024,"взято из открытых источников сети Интернет             

Собранные следственным отделом по Октябрьскому району города Ростов-на-Дону следственного управления Следственного комитета Российской Федерации по Ростовской области доказательства признаны судом достаточными для вынесения приговора  в отношении бывшего заместителя начальника отдела полиции № 5 Управления МВД России по г. Ростову-на-Дону. Он признан виновным в совершении преступлений, предусмотренных ч. 1 ст. 286 УК РФ (превышение должностных полномочий), ч. 3 ст. 290 УК РФ (получение взятки).
По версии следствия, с 2015 по 2019 год бывший заместитель начальника отдела полиции неоднократно получал взятки через своего подчиненного – бывшего инспектора отдела полиции, за не привлечение индивидуального предпринимателя к установленной законом ответственности за реализацию в продуктовом магазине немаркированной алкогольной продукции и общее покровительство. Общая сумма взяток составила 135 тысяч рублей.
Кроме того, бывший заместитель начальника районного отдела полиции превысил свои должностные полномочия при рассмотрении заявления о совершении в отношении гражданина противоправных действий.
Приговором суда ему назначено наказание в виде лишения свободы сроком на 3 года в колонии общего режима с лишением права занимать должности на государственной службе и в органах местного самоуправления, со штрафом 30 тысяч рублей.
 
 
https://rostov.sledcom.ru/news/item/1618005"
/news/item/1620030/,rostov,Бывший сотрудник  ростовского управления МВД по вопросам миграции  признан судом виновным в совершении коррупционных и должностных преступлений,"['взятка', 'злоупотребление полномочиями', 'коррупция', 'мигранты', 'приговор', 'суд']",20 Марта 2024,"Собранные первым отделом по  расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Ростовской области  доказательства признаны судом  достаточными для вынесения приговора  в отношении  бывшего заместителя начальника отдела – начальника отделения учета и контроля временно и постоянно проживающих иностранных граждан отдела по оформлению разрешений  на временное проживание и видов на жительство Управления по вопросам миграции ГУ МВД России по Ростовской области Алексея Виноградова.  Он признан виновным в совершении преступлений, предусмотренных п. «а» ч. 2 ст. 322.1 УК РФ (организация незаконной миграции группой лиц по предварительному сговору), п. «в» ч. 5 ст. 290 УК РФ (получение взятки, два эпизода) и ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
Следствием и судом установлено, что в период с января по апрель 2019 года бывший сотрудник управления по вопросам миграции ГУ МВД России по Ростовской области, действуя в составе преступной группы (в настоящее время в отношении членов группы вынесены приговоры),  злоупотребляя должностными полномочиями за взятки организовал незаконное пребывание на территории Российской Федерации иностранных граждан путем заполнения от их имени анкет и заявлений, содержащих заведомо ложные сведения, на основании которых, иностранные граждане могли претендовать на получение разрешения на временное проживание в Российской Федерации.
Приговором суда ему назначено наказание в виде лишения свободы сроком на 14 лет с отбыванием наказания в исправительной колонии строго режима, со штрафом в размере 18 млн. рублей, с лишением права занимать должности в структуре МВД РФ на срок 6 лет.
Приговор в законную силу не вступил."
/news/item/1559688/,rostov,"Генеральный директор ростовской коммерческой организации и двое его подчиненных предстанут перед судом за преступления, совершенные в сфере экономики и подделку документов","['деньги', 'коррупция', 'мошенничество', 'обвинение', 'сокрытие денежных средств']",06 Марта 2024,"Советским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ростовской области завершено расследование уголовного дела в отношении генерального директора ОАО «ЖКХ Советского района г. Ростова-на-Дону» и двух его подчиненных. В зависимости от роли и степени участия они обвиняются в совершении преступлений, предусмотренных ч. 1 ст. 327 (подделка документов), ч. 4 ст. 159 (мошенничество), ч. 2 ст. 199.2 УК РФ (сокрытие денежных средств либо имущества организации, за счет которых должно производиться взыскание налогов, сборов, страховых взносов).
По версии следствия, обвиняемый при помощи своих подчиненных с сентября 2016 года по май 2018 года фиктивно устроил на работу в акционерное общество 8 человек, которые фактически не осуществляли трудовую деятельность. Тем самым, по поддельным официальным документам, мужчина получил за якобы устроенных на работу граждан заработную плату в размере более 2,6 млн. руб.
Кроме того, обвиняемый сокрыл денежные средства организации в сумме более 10,5 млн. руб., за счет которых должно было быть произведено взыскание недоимки по налогам, сборам, страховым взносам имеющейся у ОАО «ЖКХ Советского района г. Ростова-на-Дону».
В настоящее время следствием собрана достаточная доказательная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено  в суд для рассмотрения по существу."
/news/item/1648775/,rostov,В Ростове-на-Дону сотрудник полиции подозревается в мошенничестве,[],01 Марта 2024,"Следственным отделом по Ленинскому району г. Ростов-на-Дону следственного управления Следственного комитета Российской Федерации по Ростовской области по материалам, предоставленным  ОРЧ СБ ГУ МВД России по Ростовской области,  возбуждено уголовное дело в отношении сотрудника УМВД России по г. Ростову-на-Дону по подозрению в совершении преступления, предусмотренного ч.3 ст. 159 УК РФ ( мошенничество).
По версии следствия, в сентябре 2021 года  сотрудник полиции получил  от гражданина  денежные средства  в сумме 800 тысяч рублей  за  якобы непривлечение к уголовной ответственности за незаконный оборот  наркотических средства. Вместе с тем  установлено, что решение указанного вопроса не входило в круг полномочий подозреваемого,  а  гражданин, передавший денежные средства подлежал привлечению не к уголовной, а административной ответственности.
В настоящее время по уголовному делу выполняются необходимые следственные действия, направленные на установление всех обстоятельств совершенного преступления, решается вопрос об избрании в отношении подозреваемого меры пресечения."
/news/item/1771319/,rostov,В Ростове-на-Дону  сотрудник  ГУФСИН подозревается в получении взятки,"['взятка', 'деньги', 'коррупция']",29 Февраля 2024,"Следственным отделом по Ленинскому району г. Ростова-на-Дону следственного управления Следственного комитета Российской Федерации по Ростовской области возбуждено уголовное дело в отношении сотрудника ГУФСИН России по Ростовской области. Он подозревается в совершении преступления, предусмотренного ч. 2 ст. 290 УК РФ (получение взятки).По версии следствия, в ноябре 2022 подозреваемый, исполняя обязанности начальника отряда группы по воспитательной работе с подозреваемыми, обвиняемыми и осужденными в ФКУ СИЗО №5 ГУФСИН России по Ростовской области, потребовал и получил через посредников от одного из осужденных денежные средства в сумме 100 тысяч рублей за улучшение условий содержания последнего. Данное преступление было выявлено сотрудниками  УФСБ России по Ростовской области во взаимодействии с сотрудниками .
В Ростове-на-Дону сотрудник ГУФСИН подозревается в получении взятки
Следственным отделом по Ленинскому району г. Ростова-на-Дону следственного управления Следственного комитета Российской Федерации по Ростовской области возбуждено уголовное дело в отношении сотрудника ГУФСИН России по Ростовской области. Он подозревается в совершении преступления, предусмотренного ч. 2 ст. 290 УК РФ (получение взятки).По версии следствия, в ноябре 2022 подозреваемый, исполняя обязанности начальника отряда группы по воспитательной работе с подозреваемыми, обвиняемыми и осужденными в ФКУ СИЗО №5 ГУФСИН России по Ростовской области, потребовал и получил через посредников от одного из осужденных денежные средства в сумме 100 тысяч рублей за улучшение условий содержания последнего. Данное преступление было выявлено сотрудниками УФСБ России по Ростовской области во взаимодействии с сотрудниками УСБ ГУФСИН России по Ростовской области.
После совершения преступления сотрудник ГУФСИН был задержан. В ходе допроса подозреваемый признал вину в полном объеме.В настоящее время, по ходатайству следователя, судом в отношении него избрана мера пресечения в виде запрета определенных действий. По уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления.Кроме того, в отношении посредников возбуждено уголовное дело по признакам состава преступления, предусмотренного п. «а» ч. 3 ст. 291.1 УК РФ."
/news/item/1704134/,rostov,Бывший сотрудник самарской строительной компании осужден за мошенничество,['мошенничество'],21 Февраля 2024,"Собранные вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) следственного управления Следственного комитета Российской Федерации по Ростовской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшего заместителя директора коммерческой организации, занимающейся строительством жилых и нежилых зданий. Он признан виновным в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество).
По версии следствия, осужденный с июля 2016 года по апрель 2017 года, исполняя обязанности заместителем директора организации, при выполнении работ по реконструкции гребного канала «Дон» путем обмана похитил у муниципального образования «город Ростов-на-Дону» денежные средства в сумме более 17,5 млн. рублей, включив в стоимость понесенных расходов мнимое приобретение элементов магистрального пульпопровода, который в действительности не приобретал.
Приговором суда мужчине назначено наказание в виде 2 лет лишения свободы с отбыванием наказания в исправительной колонии общего режима."
/news/item/1717515/,rostov,Житель Ростовской области подозревается в покушении на дачу взятки инспектору дорожно-патрульной службы,"['взятка', 'деньги', 'коррупция', 'покушение']",09 Февраля 2024,"Следственным отделом по Пролетарскому району г. Ростов-на-Дону следственного управления Следственного комитета Российской Федерации по Ростовской области возбуждено уголовное дело в отношении 32-летнего жителя Белокалитвинского района. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 30 ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
По версии следствия, 18 августа 2022 года подозреваемый, находясь в помещении временного поста полиции, расположенного по пр-ту 40-летия Победы в г. Ростове-на-Дону, в ходе составления административного материала за управление транспортным средством в состоянии алкогольного опьянения, предпринял попытку передать инспектору ДПС взятку в сумме более 10 тысяч рублей за непривлечение его к ответственности. Сотрудник полиции от взятки отказался и сообщил о склонении к коррупционному преступлению своему руководству.
В ходе расследования уголовного дела установлено, что подозреваемый ранее неоднократно привлекался к уголовной ответственности за преступления против собственности и личности.
В настоящее время по уголовному делу проводится комплекс необходимых следственных и иных процессуальных действий, направленных на установление всех обстоятельств совершенного преступления."
