Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1137694/,ryazan,Завкафедрой медуниверситета предстанет перед судом по обвинению в получении взятки в крупном размере,[],28 Апреля 2024,"Железнодорожным межрайонным следственным отделом города Рязань следственного управления Следственного комитета Российской Федерации по Рязанской области завершено расследование уголовного дела в отношении заведующей кафедрой Рязанского государственного медицинского университета, обвиняемой в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере). 

По версии следствия, летом 2013 года к обвиняемой обратился бывший выпускник медуниверситета по вопросу поступления в ординатуру. Обвиняемая за взятку в размере 200 тысяч рублей пообещала ему зачисление в ординатуру вуза на бюджетное место, а также помощь в минимально возможном посещении им учебных занятий в течение всего срока обучения. После получения обвиняемой первой части взятки в размере 100 тысяч рублей, переданной в служебном кабинете, ее преступные действия были пресечены сотрудниками правоохранительных органов. 

Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направлено в суд для рассмотрения по существу."
/news/item/1137647/,ryazan,Перед судом предстанет бывший заместитель министра здравоохранения по обвинению в халатности при приобретении томографов и другого высокотехнологичного импортного оборудования,[],23 Апреля 2024,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Рязанской области завершено расследование уголовного дела в отношении бывшего заместителя министра здравоохранения Рязанской области, обвиняемой в совершении трех преступлений, предусмотренных ч. 1 ст. 293 УК РФ (халатность). 
Следствием установлено, что в 2009-2010 годах, являясь заместителем министра здравоохранения, обвиняемая вследствие небрежного отношения к службе, не желая тратить время и предпринимать усилия на выполнение своих должностных обязанностей, не организовала и не проконтролировала размещение заказа на поставки томографов и иного высокотехнологичного оборудования в медицинские учреждения области. В результате Министерством здравоохранения Рязанской области в рамках реализации трех федеральных целевых программ на основании государственных контрактов были приобретены для нужд онкологического диспансера и шести областных, городских и районных больниц семь многосрезовых томографов и другое медицинское оборудование по завышенной цене. Всего областному бюджету был причинен крупный ущерб на сумму свыше 72 миллионов рублей. 

Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направлено в суд для рассмотрения по существу."
/news/item/1137682/,ryazan,Начальник одного из рязанских лесничеств предстанет перед судом по обвинению в получении взятки в крупном размере,[],17 Апреля 2024,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Рязанской области завершено расследование уголовного дела в отношении бывшего начальника Нижне-Окского лесничества, обвиняемого в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере). 

Следствием установлено, что в 2013 году начальник лесничества потребовал от индивидуального предпринимателя передать ему взятку в размере 300 тысяч рублей за выделение лесных участков для последующей вырубки лесных насаждений. 31 августа 2013 года обвиняемому была передана первая часть требуемой суммы в размере 150 тысяч рублей. После этого он с целью ускорения получения оставшихся денежных средств стал чинить препятствия предпринимателю в осуществлении лесозаготовки. 12 сентября 2013 года в результате тщательно спланированных и грамотно проведенных мероприятий сотрудниками региональных управлений Следственного комитета и МВД России начальник лесничества был задержан после получения оставшейся суммы взятки. 

Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направлено в суд для рассмотрения по существу."
/news/item/1137600/,ryazan,"Завершено расследование уголовного дела в отношении  муниципального служащего, обвиняемого в превышении должностных полномочий",[],10 Апреля 2024,"Касимовским межрайонным следственным отделом Следственного управления Следственного комитета Российской Федерации по Рязанской области завершено расследование уголовного дела в отношении одного из должностных лиц жилищно-коммунального хозяйства муниципального образования – Клепиковский муниципальный район, обвиняемого в совершении преступления, предусмотренного ч. 1 ст. 286 УК РФ (превышение должностных полномочий). 

По версии следствия, в августе 2008 года в рамках федеральной целевой программы «Социальное развитие села до 2012 года» и областной программы модернизации жилищно-коммунального комплекса между жилищно-коммунальным предприятием и коммерческой организацией был заключен муниципальный контракт на реконструкцию электрических сетей в районе индивидуальной застройки деревни Шабаево Клепиковского района. В период с июля по октябрь 2009 года чиновник, зная, что работы по реконструкции электрических сетей не выполнены в полном объеме, а выполненные не соответствуют действующим нормам, подписал акты о приемке на общую сумму более 6 миллионов рублей. Деньги были незаконно перечислены на счет коммерческой организации. При этом подача электроэнергии жителям деревни до настоящего времени осуществляется по временным линиям электропередач. 

Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направлено в суд для рассмотрения по существу."
/news/item/1137706/,ryazan,Гражданин республики Узбекистан предстанет перед судом по обвинению в покушении на дачу взятки сотруднику полиции,[],09 Апреля 2024,"Касимовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Рязанской области завершено расследование уголовного дела в отношении гражданина Республики Узбекистан, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
Следствием установлено, что 17 августа 2015 года в ходе проведения оперативно-профилактического мероприятия «Нелегальный мигрант» на территории Клепиковского района старшим участковым уполномоченным полиции было установлено, что у двух граждан Республики Узбекистан отсутствуют документы, подтверждающие их право на пребывание в Российской Федерации. Осознавая, что за совершение административного правонарушения, предусмотренного ч. 1 ст. 18.8 КоАП РФ, может быть применено наказание в виде принудительного выдворения за пределы России, один из них дал сотруднику полиции взятку в размере трех тысяч рублей за несоставление протоколов об административном правонарушении. При передаче денег обвиняемый был задержан сотрудниками ГЭБ и ПК ОМВД России по Клепиковскому району.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направлено в суд для рассмотрения."
/news/item/1513070/,ryazan,В Шацком районе директор жилищно-коммунального предприятия подозревается в превышении должностных полномочий,['превышение полномочий'],03 Апреля 2024,"Сасовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Рязанской области по материалам проверок прокуратуры и регионального УФСБ возбуждено уголовное дело в отношении директора одного из муниципальных предприятий ЖКХ Шацкого района, подозреваемого в совершении преступления, предусмотренного ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
По данным следствия, летом 2020 года директор жилищно-коммунального предприятия, превышая свои должностные полномочия, без согласования с органами местного самоуправления и без составления проектно-сметной документации принял решение о выводе из эксплуатации действующей линии холодного водоснабжения в селе Большое Агишево Шацкого района и строительстве новой линии, а также последующем взимании денежных средств с жителей села за подключение.
В настоящее время по уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств преступления, а также причин, способствовавших его совершению. В ходе следствия будет исследовано соответствие построенной без надлежащей проектно-сметной документации линии водопровода техническим нормам и правилам. Расследование уголовного дела продолжается."
/news/item/1137613/,ryazan,В Касимовском районе бывший сотрудник полиции подозревается в мошенничестве,[],31 Марта 2024,"Касимовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Рязанской области возбуждено уголовное дело в отношении бывшего инспектора лицензионно-разрешительной работы МО МВД России «Касимовский», подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество). 

По версии следствия, в феврале 2012 года инспектор лицензионно-разрешительной работы указал гражданину, обратившемуся с документами на оформление удостоверения частного охранника, о необходимости передачи ему 3 тысяч рублей за ускорение данной процедуры. При этом сотрудник полиции осознавал, что в силу занимаемой должности не сможет повлиять на сроки оформления. Передача денег была осуществлена 21 февраля под контролем сотрудников отдела собственной безопасности УМВД России по Рязанской области. 

В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств преступления. 
Расследование уголовного дела продолжается."
/news/item/1643578/,ryazan,Экс-сотрудник предприятия - поставщика тепловой энергии в г. Рязани признана виновной во взяточничестве и злоупотреблении должностными полномочиями,"['взятка', 'злоупотребление полномочиями', 'приговор', 'собранные доказательства']",28 Марта 2024,"Собранные Железнодорожным межрайонным следственным отделом г. Рязань следственного управления СК России по Рязанской области доказательства признаны судом достаточными для вынесения приговора в отношении экс-сотрудника предприятия - поставщика тепловой энергии в г. Рязани. Она признана виновной в 5 эпизодах получения взяток (ч. 3 ст. 290 УК РФ), а также злоупотреблении должностными полномочиями (ч.1 ст. 285 УК РФ).
Следствием и судом установлено, в период с мая 2018 года по февраль 2020 года подсудимая через посредника получала взятки от руководителей коммерческих организаций г. Рязани за несоставление актов потребления тепловой энергии нежилыми помещениями указанных организаций при фактическом их отапливании, что влекло не начисление абонентской платы и давало возможность организациям в течение длительного срока не производить оплату потребленной теплоэнергии.
В 2019 году в подтверждение ранее достигнутых договоренностей подсудимая при проведении проверки одной из коммерческих организаций, передававших ей незаконное денежное вознаграждение, достоверно зная об имеющихся нарушениях в сфере потребления теплоэнергии, не выдала организации предписания об их устранении, а также составила акт осмотра энергоустановок, указав в нем заведомо ложные сведения о том, что помещение не отапливается.
Оперативное сопровождение уголовного дела осуществлялось сотрудниками УЭБ и ПК УМВД России по Рязанской области.
Приговором суда виновной назначено наказание в виде 5 лет лишения свободы условно с испытательным сроком 3 года."
/news/item/1165392/,ryazan,Бывший заместитель начальника одного из управлений администрации города Рязани и руководители двух рязанских коммерческих организаций признаны виновными в совершении коррупционных преступлений,[],21 Марта 2024,"Собранные отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Рязанской области и представленные государственным обвинителем - прокурором отдела по надзору за исполнением законодательства в сфере противдодействия коррупции прокуратуры области в ходе судебного заседания доказательства признаны судом достаточными для вынесения приговора бывшему заместителю начальника управления по развитию инженерных коммуникаций управления капитального строительства администрации города Рязани Сергею Солодову. Он признан виновным в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере). Виновным в даче взятки в крупном размере (п. «б» ч. 4 ст. 291 УК РФ) признан руководитель строительной организации Алексей Киселев. Руководителя другой рязанской коммерческой организации Анатолия Сухова признали виновным в посредничестве во взяточничестве в крупном размере (п. «б» ч. 3 ст. 291.1 УК РФ), а также в совершении преступлений, предусмотренных ч. 1 ст. 327 УК РФ (подделка официального документа) – 2 эпизода и ч. 3 ст. 159 УК РФ (мошенничество, совершенное в крупном размере).
 Следствием и судом установлено, что в апреле 2016 года заместитель начальника управления по развитию инженерных коммуникаций управления капитального строительства администрации города Рязани Солодов через посредника получил от руководителя строительной организации взятку в сумме 250 тысяч рублей, из которых вознаграждение посредника составило 100 тысяч рублей. Денежные средства предназначались за действия, направленные на выдачу разрешения на ввод в эксплуатацию жилого дома.
 В ходе следствия по делу выявлены еще три эпизода преступной деятельности Анатолия Сухова. Так, в феврале 2016 года он согласился оказать помощь своему знакомому и получил от него 400 тысяч рублей для передачи в качестве взятки, якобы, должностным лицам администрации города Рязани за скорейшее и беспрепятственное согласование разрешения на строительство жилого комплекса. При этом Сухов не намеревался передавать указанную сумму в качестве взятки. Получив 20 февраля деньги он оставил их себе, тем самым похитив их путем обмана.
Кроме того, в декабре 2015 года он же по просьбе одного из своих знакомых оказал помощь в регистрации части здания, для чего подделал разрешение на строительство и разрешение на ввод в эксплуатацию данного здания, которые впоследствии были предоставлены в администрацию города Рязани и учреждение Росреестра.
 Преступления выявлены благодаря тесному взаимодействию следственного управления с сотрудниками УЭБиПК УМВД России по Рязанской области совместно с сотрудниками Главного управления ЭБиПК МВД России.
 Отделом по расследованию особо важных дел следственного управления уголовное дело в отношении указанных лиц было возбуждено на основании результатов оперативно-розыскной деятельности без задержания «с поличным» и сотрудничества участников взяточничества. При этом следствием грамотно и наступательно проведен комплекс следственных и процессуальных действий, в том числе сложные судебные экспертизы, собраны доказательства, под тяжестью которых двое признали свою вину.
Приговором суда с учетом позиции государственного обвинителя назначено наказание Сергею Солодову в виде 4 лет лишения свободы с отбыванием в исправительной колонии строгого режима и штрафом в размере 5 миллионов рублей, Анатолию Сухову в виде штрафа в размере 8,5 миллионов рублей, Алексею Киселеву – штрафа в размере 1,2 миллиона рублей. Приговор не вступил в законную силу и может быть обжалован."
/news/item/1137607/,ryazan,В Рязанском районе глава одного из сельских поселений подозревается в нецелевом расходовании бюджетных средств,[],12 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Рязанской области возбуждено уголовное дело в отношении главы администрации одного из сельских поселений Рязанского муниципального района, подозреваемого в совершении преступления, предусмотренного ч. 1 ст. 285.1 УК РФ (нецелевое расходование бюджетных средств). 

Следствием установлено, что в октябре 2011 года из бюджета муниципального района на счет сельского поселения был перечислен кредит в сумме более 3,5 миллионов рублей на частичное покрытие дефицита бюджета поселения. Вопреки целевому назначению кредита глава администрации на безвозмездной и безвозвратной основе предоставил указанные денежные средства предприятию жилищно-коммунального хозяйства для погашения долгов по ранее заключенным договорам поставки и транспортировки газа. Действиями должностного лица был причинен ущерб бюджету поселения на сумму около 4 миллионов рублей, поскольку в соответствии с бюджетным законодательством администрация поселения обязана вернуть в срок не только кредит, но и проценты за пользование им. 

В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. 
Расследование уголовного дела продолжается."
