Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1186526/,sakh,В суд направлено дело в отношении врача-терапевта по факту выдачи фиктивного листка нетрудоспособности,[],26 Апреля 2024,"Следственным отделом по г. Южно-Сахалинск Следственного управления Следственного комитета Российской Федерации по Сахалинской области (руководитель Бардаков А.В.) завершено расследование уголовного дела в отношении врача-терапевта МУЗ «Синегорская участковая больница», обвиняемой в совершении преступления предусмотренного ч. 3 ст. 290 УК РФ - получение должностным лицом взятки за незаконные действия. В ходе предварительно следствия установлено, что в феврале 2012 года обвиняемая по просьбе своей знакомой выписала фиктивный листок нетрудоспособности, получив за это денежное вознаграждение в размере 2500 рублей. Следствием собрана достаточная доказательственная база, уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1171845/,sakh,Следственным отделом по г. Южно-Сахалинск бывший преподаватель колледжа обвиняется в получении взятки,[],24 Апреля 2024,"Следственным отделом по г. Южно-Сахалинск следственного управления Следственного комитета Российской Федерации по Сахалинской области завершено расследование уголовного дела в отношении бывшего преподавателя Политехнического колледжа ФГБОУ «Сахалинский государственный университет». Он обвиняется в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки).
По версии следствия, обвиняемый, используя свои должностные полномочия преподавателя вышеуказанного колледжа по проведению экзаменов по дисциплинам «Организация управления строительной деятельностью» и «Реконструкция зданий и сооружений», в нарушение Положения о порядке проведения государственной итоговой аттестации по образовательным программам среднего профессионального образования, достоверно зная о том, что студенты одной из групп, фактически не освоили данные программы, способствовал студентам в сдаче экзаменов, чем обеспечил им успешную сдачу экзаменов. После экзаменов студенты по предварительной договоренности вручили преподавателю взятку в виде золотого браслета.
Следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело, с утвержденным обвинительным заключением, направлено в суд для рассмотрения по существу."
/news/item/1274095/,sakh,В Долинске бывший сотрудник полиции обвиняется в совершении преступлений коррупционной направленности,[],26 Февраля 2024,"Следственным отделом по городу Долинск следственного управления Следственного комитета Российской Федерации по Сахалинской области завершено расследование уголовного дела в отношении бывшего государственного инспектора дорожного надзора отделения ГИБДД ОМВД России по ГО «Долинский». Он обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ – мошенничество, ч. 1 ст. 286 УК РФ – превышение должностных полномочий, и  ч. 3 ст. 290 УК РФ – получение взятки.
По версии следствия, обвиняемый узнал от своего знакомого, что он желает произвести автотехническую экспертизу приобретенного им автомобиля, поскольку тот не может поставить его на регистрационный учет. Обвиняемый, достоверно зная о том, что он не наделен полномочиями по производству автотехнической экспертизы транспортных средств и государственной регистрации транспортных средств, так как это не входит в его должностные обязанности, будучи должностным лицом, пообещал своему знакомому, что после произведенной автотехнической экспертизы его автомобиль обязательно пройдет государственную регистрацию в органах государственной инспекции безопасности дорожного движения и будет поставлен на учет, за что получил заранее оговоренную сумму в размере 5000 рублей.
В мае 2017 года сотрудником полиции был остановлен автомобиль под управлением жителя города Долинска, который находился за управлением автомобиля в состоянии алкогольного опьянения. За нарушение водителем ч. 1 ст. 12.8 КоАП РФ сотрудником полиции в отношении него был составлен протокол об административном правонарушении, после чего указанный материал был передан на исполнение в отделение ГИБДД ОМВД России по ГО «Долинский».
Позже к обвиняемому обратилась сестра правонарушителя с просьбой оказать помощь её брату избежать административную ответственность. За вознаграждение в сумме 15 тысяч рублей обвиняемый передал указанный административный материал женщине для передачи его правонарушителю, который в последующем сжёг его.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/961049/,sakh,Следственным отделом по Макаровскому району житель областного центра подозревается в покушении на дачу взятки,[],20 Декабря 2023,"Следственным отделом по Макаровскому району следственного управления Следственного комитета РФ по Сахалинской области (и.о. руководитель отдела Невидимов С.Б.) возбуждено уголовное дело в отношении 39-летнего жителя областного центра. Он подозревается в совершении преступления, предусмотренного ч.3 ст. 30, ч.3 ст. 291 УК РФ.  
В ходе предварительного следствия установлено, что вечером 25 июля 2015 года старшим инспектором ДПС ОГИБДД ОМВД России по Макаровскому району, в районе бухты Таршинская, Макаровского района был остановлен автомобиль, за управлением которого находился вышеуказанный мужчина. В ходе досмотра автомобиля в салоне машины была обнаружена рыба лососевых пород (23 штуки) без документов, подтверждающих легальность её происхождения. Для составления административного протокола за совершенное правонарушение водитель был приглашен в служебный автомобиль, где с целью избежать ответственности он передал сотруднику полиции взятку в виде денежных средств, которые положил между передним пассажирским и водительским сиденьем служебного автомобиля.
Однако, довести до конца свой умысел на дачу взятки должностному лицу водитель не смог по независящим от него обстоятельствам, поскольку сотрудник полиции брать деньги отказался.
В настоящее время по уголовному делу проводятся следственные действия, направленные на сбор и закрепление доказательств. Расследование уголовного дела продолжается."
/news/item/1104642/,sakh,Собранные следственным управлением доказательства признаны судом достаточными для вынесения приговора бывшему сотруднику многофункционального центра,[],15 Декабря 2023,"Собранные отделом по расследования особо важных дел следственного управления Следственного комитета Российской Федерации по Сахалинской области доказательства признаны судом достаточными для вынесения приговора бывшему начальнику отдела развития сети государственного бюджетного учреждения Сахалинской области «Многофункциональный центр предоставления государственных и муниципальных услуг». Она признана виновной в совершении 7 преступлений, предусмотренных ч. 4 ст. 159 УК РФ (мошенничество).
Следствием и судом установлено, что подсудимая вошла в организованную бывшим руководителем вышеуказанного центра преступную группу. Бывший руководитель многофункционального центра знал, что в период с 2013 по 2015 год будет производиться приобретение объектов недвижимости для размещения в них структурных подразделений вверенного ему учреждения  с выделением на указанные цели из областного бюджета значительных денежных средств. Он изложил подсудимой план осуществления хищений денежных средств из бюджета Сахалинской области, после чего предложил принять участие в его осуществлении, в том числе за материальное вознаграждение. Позже подсудимая привлекла для совершения противоправных деяний еще троих лиц. При приобретении в государственную собственность Сахалинской области объектов недвижимости для размещения в них структурных подразделений Центра в городах Оха, Александровск-Сахалинский, Анива, Долинск, Корсаков, а также в поселках городского типа Смирных и Ноглики, они похитили в общей сложности путем искусственного завышения стоимости приобретаемого имущества денежные средства областного бюджета в размере более 37миллионов рублей.
Приговором суда виновной назначено наказание в виде 3 лет 6 месяцев лишения свободы с отбыванием в колонии общего режима, с лишением права занимать определенные должности. Подсудимая взята под стражу в зале суда.
Следует отметить, что подсудимая обвинялась в совершении 7 деяний, за которые уголовным законом предусмотрено наказание в виде лишения свободы на срок до 10 лет, однако судом при назначении наказания было учтено, что в ходе предварительного следствия она заключила досудебное соглашение о сотрудничестве и активно способствовала расследованию, в том числе отысканию доказательств и изобличению иных соучастников преступлений."
/news/item/1186582/,sakh,Следственным отделом по г. Южно-Сахалинск местный житель подозревается в покушении на дачу взятки,[],05 Декабря 2023,"Следственным отделом по городу Южно-Сахалинск следственного управления Следственного комитета Российской Федерации по Сахалинской области в отношении 50-летнего жителя областного центра возбуждено уголовное дело по признакам состава преступления, предусмотренного ч.3 ст. 30, ч.3 ст. 291 УК РФ.
По версии следствия, 30 июня 2015 года, примерно в 12 часов 09 минут, в районе дома № 32 по проспекту Коммунистическому в городе Южно-Сахалинске, инспектором ДПС ГИБДД ОР УМВД России по Сахалинской области, за нарушение Правил дорожного движения, предусмотренных ч.4 ст.12.15 КоАП РФ, был остановлен автомобиль марки «ГАЗ-322132», после чего водитель указанного транспортного средства был приглашен в служебный автомобиль для составления административного материала за совершенное им административное правонарушение.
Желая избежать привлечения к административной ответственности, мужчина положил на папку с документами, находящуюся в руках полицейского взятку в виде денежного вознаграждения.
Свой умысел на дачу взятки должностному лицу подозреваемый довести до конца не смог по независящим от него обстоятельствам, поскольку сотрудник полиции брать деньги отказался.
В настоящее время по уголовному делу проводятся следственные действия, направленные на сбор и закрепление доказательств. Расследование уголовного дела продолжается."
/news/item/1632858/,sakh,Иностранный гражданин подозревается в совершении коррупционного преступления,[],17 Июля 2023,"Корсаковским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Сахалинской области в отношении 39-летнего гражданина иностранного государства возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки).
По версии следствия, в ноябре 2021 года подозреваемый за не привлечение к административной ответственности его родственника и других иностранных граждан, нарушивших миграционное законодательство Российской Федерации, дал сотруднику отдела УФСБ России по г. Корсаков взятку в виде денег в сумме 50 000 рублей, однако, тот отказался и сообщил о факте дачи взятки руководству.
Уголовное дело возбуждено по материалам, предоставленным отделом собственной безопасности УФСБ России по Сахалинской области, сотрудники которого пресекли противоправную деятельность злоумышленника.
По уголовному делу проводятся следственные действия, направленные сбор и закрепление доказательств. Расследование продолжается."
/news/item/718058/,sakh,"В ходе расследования уголовного дела установлено, что получение врачом наркологом взяток носило систематический характер",[],13 Июля 2023,"Ранее пресс-службой следственного управления Следственного комитета Российской Федерации по Сахалинской области сообщалось, что 25.03.2013 года следственным отделом по городу Южно-Сахалинск в отношении врача психиатра-нарколога поликлиники ГУЗ «Сахалинский областной наркологический диспансер» возбуждено уголовное дело по признакам преступления, предусмотренного ч.3 ст. 290 УК РФ - получение должностным лицом взятки за незаконные действия. В ходе расследования уголовного дела установлено, что марте 2013 года подобные случаи получения обвиняемым взяток за совершение незаконных действий носили систематический характер, так к нему обратился житель г. Южно-Сахалинска, который трудоустраивался в одно из предприятий Сахалинской области с просьбой поставить ему отметку в бланке направления в разделе для медицинского заключения по результатам обязательного предварительного медицинского осмотра, свидетельствующую о том, что он не имеет противопоказаний по наркологическому профилю к трудовой деятельности с вредными условиями труда. За совершение указанных незаконных действий врач 19 марта 2013 года получил взятку в размере 3 тысяч рублей. При этом фактический осмотр гражданина и иные необходимые медицинские мероприятия, связанные с выявлением фактов употребления им наркотических средств обвиняемый не проводил. В связи с этим, следственным отделом в отношении него возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 290 УК РФ. Расследование уголовного дела продолжается."
/news/item/826766/,sakh,Следственным отделом по Смирныховскому району мастер ЖКХ подозревается в мошенничестве,[],11 Июля 2023,"Следственным отделом по Смирныховскому району следственного управления Следственного комитета Российской Федерации по Сахалинской области (руководитель отдела Морозов А.С.) возбуждены уголовные дела в отношении мастера по благоустройству муниципального унитарного предприятия «Смирныховское Жилищно - коммунальное хозяйство» муниципального образования городской округ «Смирныховский». Она подозревается в совершении преступлений, предусмотренных ч.3 ст. 159 УК РФ (мошенничество).  

По версии следствия, подозреваемая в период с марта 2013 года по февраль 2014 года составляла гражданско – правовые договоры о якобы выполненных местной жительницей работ по благоустройству поселка Смирных. Договоры, акты выполненных работ и табеля учета рабочего времени в которые вносила заведомо ложные сведения, она подавала в бухгалтерию, после чего лично получала деньги в кассе. В результате указанных действий подозреваемая путем обмана и злоупотребления доверием, с использованием своего служебного положения похитила денежные средства, принадлежащие вышеуказанному предприятию в сумме более 150 тысяч рублей.

В настоящее время по  уголовному делу проводятся следственные действия, направленные на получение и закрепление доказательств. Расследование уголовного дела продолжается."
/news/item/1008872/,sakh,Собранные следственным отделом по г. Южно-Сахалинск доказательства признаны судом достаточными для вынесения приговора жителю г. Холмска,[],05 Июля 2023,"Собранные следственным отделом по г. Южно-Сахалинск следственного управления Следственного комитета Российской Федерации по Сахалинской области доказательства признаны судом достаточными для вынесения приговора 35-летнему жителю города Холмска. Он признан виновным в совершении преступлений, предусмотренных ч.2 ст. 159 УК РФ (мошенничество) и ч.5 ст. 291.1 УК РФ (обещание посредничества во взяточничестве).  
Следствием и судом установлено, что в июне 2015 года Пограничное управление федеральной службы безопасности России по Сахалинской области заключило государственный контракт на поставку продуктов с обществом с ограниченной ответственностью «Мясптицрыбсервис», находящейся в городе Екатеринбурге.
Однако, продукция поставленная вышеуказанным обществом не соответствовала требованиям спецификации государственного контракта. С целью прекращения претензионных работ и оставления в складских помещениях продукции директор и совладелец предприятия  решили передать начальнику санитарно-ветеринарной службы отдела материально-технического обеспечения ПУ ФСБ России по Сахалинской области взятку. Реализуя свой замысел, директор фирмы обратился к своему ранее знакомому жителю города Холмска и предложил выступить посредником в передаче взятки в городе Южно-Сахалинске. Последний дал своё согласие выступить посредником в передаче денег, в связи с чем директор общества на банковскую карту сожительницы подсудимого перечислил 200 тысяч рублей. Не намереваясь в дальнейшем выполнить обещанное посредничество, подсудимый сообщил в Екатеринбург о том, что деньги он передал по назначению, хотя фактически сняв их с карты сожительницы, распорядился ими по своему усмотрению.
Согласно приговору подсудимому назначено наказание в виде 3 лет 3 месяцев лишения свободы условно с испытательным сроком 3 года с штрафом в размере 2 миллионов рублей."
