Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1675385/,saratov,В Саратовской области адвокат признан виновным в совершении преступлений против собственности,"['мошенничество', 'приговор']",18 Апреля 2024,"Собранные Ртищевским межрайонным следственным отделом следственного управления Следственного комитета России по Саратовской области доказательства признаны судом достаточными для признания адвоката  виновным в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество, совершенное в крупном размере), ч.3 ст. 30 – ч.3 ст. 159 УК РФ (покушение на мошенничество, совершенное в крупном размере). 
Судом и следствием установлено, что следователями одного из отделов полиции Саратовской области, расследовалось и было направлено в суд уголовное дело о совершении ряда преступлений. В конце апреля 2020 года мужчина, зарегистрированный в реестре адвокатов Саратовской области, обратился к подсудимому по названному уголовному делу и, сообщив ему заведомо ложную информацию, заверил, что он располагается возможностями и связями и может посодействовать назначению ему судом наказания, не связанного с лишением свободы. За это он потребовал предоставить ему денежные средства в размере 1 млн. рублей, которые он, якобы передаст в качестве взятки должностным лицам за решение указанного вопроса. В действительности адвокат не собирался передавать деньги в качестве взятки, а намеревался похитить их и распорядиться по своему усмотрению. Подсудимый по уголовному делу первоначально согласился на выдвинутые ему адвокатом условия, однако, осознав их незаконность, сообщил об этом в правоохранительные органы.  
21 мая 2020 года, в ходе встречи в помещении филиала коллегии адвокатов, адвокат получил от мужчины, действующего в рамках оперативного эксперимента, денежные средства в размере 970 000 рублей, из которых 50 000 рублей – билеты банка России, а остальная часть – муляжи денег. В момент передачи данной суммы противоправные действия адвоката были пресечены сотрудниками УФСБ России по Саратовской области.  
Кроме того, в период с апреля по май 2018 года адвокат, зная, что у его знакомого имеется судебная тяжба с организацией и физическим лицом, действуя из корыстных побуждений, заверил мужчину, что располагает необходимыми связями и влиянием и может поспособствовать вынесению судом решения по иску в его пользу. За это он потребовал предоставить ему денежные средства в размере 1 млн. рублей, которые он якобы передаст уполномоченным лицам за решение вопроса о принятии данного решения. В действительности, адвокат намеревался похитить полученные денежные средства и ими распорядиться по своему усмотрению. В мае 2018 года адвокат получил от мужчины часть от оговоренной суммы в размере 500 000 рублей, а спустя некоторое время, еще 500 000 рублей. Похищенными обманным путем денежными средствами он распорядился по своему усмотрению. Данный эпизод противоправной деятельности выявлен оперативными сотрудниками УФСБ России по Саратовской области.    
Приговором суда подсудимому назначено наказание в виде 3,5 лет лишения с отбыванием в исправительной колонии общего режима, со штрафом в размере 1 000 000 рублей, с лишением права заниматься адвокатской   деятельностью сроком на 3 года."
/news/item/1732384/,saratov,В Саратовской области вынесен приговор по уголовному делу о покушении на дачу взятки,"['взятка', 'покушение', 'СКР', 'следователь', 'следователь СК']",15 Апреля 2024,"Собранные следственным отделом по городу Балаково следственного управления Следственного комитета Российской Федерации по Саратовской области доказательства признаны судом достаточными для признания 40-летнего мужчины виновным в совершении преступления, предусмотренного ч. 3 ст. 30 – ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение заведомо незаконного бездействия).
Следствием и судом установлено, что 27 мая 2022 года в утреннее время 40-летний мужчина находился в салоне служебного автомобиля, припаркованного у стационарного контрольного поста 1 «Саратов» в Балаковском районе. Он попытался передать старшему государственному инспектору территориального отдела государственного автодорожного надзора по Саратовской области Нижне-Волжского МУГАДН Федеральной службы по надзору в сфере транспорта взятку в сумме две тыс. рублей и 500 долларов США. Вознаграждение предназначалось за несоставление протоколов о совершении злоумышленником административных правонарушений. Инспектор отказался принять денежные средства.
Противоправные действия злоумышленника пресечены сотрудниками УФСБ России по Саратовской области.
Приговором суда ему назначено наказание в виде штрафа."
/news/item/1252023/,saratov,"В Вольске осуждены двое бывших инспекторов ДПС, обвиняемых в совершении мошенничества и пособничестве в нем",[],12 Апреля 2024,"Собранные следственным отделом по городу Вольск следственного управления Следственного комитета Российской Федерации по Саратовской области доказательства признаны судом достаточными для вынесения приговора двоим бывшим инспекторам ДПС группы ДПС ГИБДД отдела МВД России по Вольскому району Денису Игнатьеву и Артему Никулину. Они признаны виновными в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения), ч. 5 ст. 33 – ч. 3 ст. 159 УК РФ (пособничество в мошенничестве).
 
Следствием и судом установлено, что утром 29 апреля 2018 инспектора ДПС приехали к жительнице Вольска, ранее ставшей участницей дорожно-транспортного происшествия. В ходе беседы Игнатьев, используя служебное положение, сообщил женщине несоответствующие действительности сведения о том, что он поможет ей избежать привлечения к административной ответственности, предусмотренной ч. 2 ст. 12.27 КоАП РФ (оставление водителем в нарушение Правил дорожного движения места ДТП), при этом за данные действия она должна будет передать ему денежные средства в сумме 20 000 рублей. В действительности полицейский не мог повлиять на суть принятого решения, так как административная проверка на тот момент уже завершена его коллегами, по результатам ее проведения принято решение об отказе в возбуждении дела об административном правонарушении. Будучи введенной в заблуждение, женщина через Никулина передала частями денежные средства в указанной сумме посредством перевода на банковские карты. Похищенными при пособничестве Никулина денежными средствами Игнатьев распорядился по собственному усмотрению.
 
Противоправные действия злоумышленников выявлены сотрудниками ОРЧ (СБ) ГУ МВД России по Саратовской области.
 
В рамках следствия причиненный потерпевшей ущерб ими возмещен в полном объеме.
 
Приговором суда Игнатьеву назначено наказание в виде штрафа в размере 300 000 рублей, Никулину – 200 000 рублей."
/news/item/1728656/,saratov,В Саратовской области в суд направлено уголовное дело коррупционной направленности,"['взятка', 'СКР', 'следователь', 'следователь СК']",11 Апреля 2024,"Ершовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Саратовской области завершено расследование уголовного дела в отношении 66-летней женщины, обвиняемой в совершении преступления, предусмотренного ч. 3 ст. 30 – ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение заведомо незаконных действий).
По данным следствия, 23 августа 2022 года в утреннее время 66-летняя женщина, являясь индивидуальным предпринимателем, находясь в отделе полиции в городе Ершове, попыталась передать участковому уполномоченному взятку в виде денежных средств в сумме 50 тысяч рублей. Незаконное вознаграждение предназначалось за непринятие мер, связанных с не привлечением ее к административной ответственности за незаконную розничную продажу алкогольной продукции. Сотрудник полиции отказался от взятки и принял меры к пресечению противоправных действий взяткодателя.
Противоправные действия лица выявлены сотрудниками группы ЭБиПК ОМВД России по Ершовскому району Саратовской области.
Следственным органом собраны исчерпывающие доказательства, подтверждающие совершение обвиняемой инкриминируемого деяния. Уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1464503/,saratov,В Саратове следователями СК завершено расследование коррупционного преступления,"['взятка', 'коррупция', 'СКР', 'суд']",11 Апреля 2024,"Следственным отделом по Октябрьскому району города Саратов следственного управления Следственного комитета Российской Федерации по Саратовской завершено расследование уголовного дела в отношении сотрудника ГКУ Саратовской области «Управление капитального строительства», обвиняемого в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег в особо крупном размере, за совершение незаконных действий). 
 
По версии следствия, в 2014 году комитет капитального строительства (ныне ГКУ Саратовской области «Управление капитального строительства») выступил заказчиком возведения объекта на территории Саратовской области. В 2016 году один из сотрудников комитета, руководствуясь корыстными мотивами, решил за вознаграждение поспособствовать коммерческой организации в победе на аукционе по поставке отдельного вида оборудования для объекта. В частности, за вознаграждение в размере 5 миллионов рублей организовать подготовку фиктивных документов для электронных аукционов, создающих видимость конкурентной борьбы между фирмами-претендентами, а в действительности, без фактического участия иных фирм, обеспечив победу в аукционах конкретной фирме и последующее заключение с ней государственных контрактов. Первоначально директор коммерческой организации согласился на предложение  должностного лица. Однако, осознав его противоправность, сообщил о выдвинутых требованиях в правоохранительные органы. Реализуя намеченное, сотрудник комитета обеспечил победу в аукционах конкретному обществу с ограниченной ответственностью и заключение с ним двух государственных контрактов общей стоимостью более 68 миллионов рублей. Затем, в феврале 2019 года он получил от директора фирмы, признанной победителем аукционов, действующего под контролем сотрудников правоохранительных органов, взятку в виде денег в сумме 5 миллионов рублей. После чего его противоправные действия были пресечены сотрудниками УФСБ России по Саратовской области.
 
Несмотря на непризнание обвиняемым вины в содеянном, следственным органом собраны достаточные доказательства, изобличающие его в совершении инкриминируемого деяния. В связи с чем, уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1778864/,saratov,Следователями СК завершено расследование уголовного дела в отношении сотрудницы администрации одного из муниципальных районов Саратовской области,"['злоупотребление', 'мошенничество', 'СКР', 'следователь', 'следователь СК']",08 Апреля 2024,"Базарно-Карабулакским межрайонным следственным отделом регионального следственного управления завершено расследование уголовного дела в отношении сотрудницы отдела по управлению муниципальным имуществом и земельными ресурсами администрации Балтайского муниципального района Саратовской области, обвиняемой в совершении преступлений, предусмотренных ч. 3 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения) и ч. 1 ст. 285 УК РФ (использование должностным лицом своих служебных полномочий вопреки интересам службы, если это деяние совершено из корыстной заинтересованности и повлекло существенное нарушение охраняемых законом интересов общества и государства).
По данным следствия, к сотруднице обратился гражданин по вопросу оформления нежилого помещения в собственность, находящегося у него в аренде. 16 марта 2018 года сотрудница ввела мужчину в заблуждение и сообщила ему не соответствующие действительности сведения о том, что он должен внести деньги за оценку имущества, после чего предложила перевести ей на банковский счет на указанную цель деньги, что он в последующем и сделал.
Кроме того, 3 марта 2020 года обвиняемая в нарушение приказа дала незаконные указания, находящейся в ее подчинении сотруднице об истребовании электронных выписок из ЕГРН и Кадастровых планов территории на объекты недвижимости. Та указания выполнила и заказала выписки на 32 объекта недвижимости, которые она предоставила представителю юридического лица, несмотря на то, что указанные выписки предоставляются через многофункциональный центр за денежные средства.
Противоправные действия должностного лица выявлены сотрудниками УФСБ России по Саратовской области и ОЭБ и ПК МО МВД России «Базарно-Карабулакский» Саратовской области.
Следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1728205/,saratov,Следователями СК завершено расследование уголовного дела коррупционной направленности в отношении бывшего сотрудника медицинского учреждения,"['взятка', 'СКР', 'следователь', 'следователь СК']",07 Апреля 2024,"Следственным отделом по Волжскому району города Саратов следственного управления Следственного комитета Российской Федерации по Саратовской области завершено расследование уголовного дела по обвинению бывшего сотрудника одного из медицинских учреждений города Саратова в совершении двух эпизодов преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки лично за совершение незаконных действий в пользу взяткодателя) и семи эпизодов ч. 1 ст. 291.2 УК РФ (получение взятки лично в размере, не превышающем десяти тысяч рублей).
По предварительным данным, в мае 2021 года сотрудник одного из медицинских учреждений города Саратова в приложении «Telegram» создал аккаунт, где разместил информацию о возможности получения сертификата о вакцинации от коронавирусной инфекции без фактического прохождения вакцинации за денежное вознаграждение. В период с мая по июнь 2021 года к сотруднику обратились девять граждан, которым он способствовал в получении сертификата о вакцинации от коронавирусной инфекции и внес сведения о прохождении ими вакцинации в региональный сегмент единой государственной информационной системы в сфере здравоохранения без их фактического прохождения вакцинации. Денежные средства граждане переводили ему на банковскую карту. От граждан сотрудник медицинского учреждения получил взятку в общей сумме более 60 тысяч рублей.
Противоправная деятельность должностного лица выявлена сотрудниками УЭБ и ПК ГУ МВД России по Саратовской области.
Следственным органом собраны достаточные доказательства, изобличающие обвиняемого в совершении инкриминируемых ему деяний, в связи с чем, уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1257158/,saratov,"Вынесен приговор в отношении жителя города Саратова, обвиняемого в посредничестве во взятке",[],05 Апреля 2024,"Собранные следственным отделом по Октябрьскому району города Саратов следственного управления Следственного комитета Российской Федерации по Саратовской области доказательства признаны судом достаточными для вынесения приговора 60-летнему Юсефу Ярулину. Он признан виновным  в совершении преступления, предусмотренного ч.2 ст.291.1 УК РФ (посредничество во взяточничестве за совершение заведомо незаконных действий).
 
Следствием установлено, что в период времени с апреля по сентябрь 2016 года, Ярулин получил от 27-летнего жителя областного центра денежные средства через 23-летнего посредника денежные средства в размере 55 000 рублей для их дальнейшей передачи начальнику одного из отделений военного комиссариата за совершение действий, влекущих освобождение от призыва на военную службу. В указанный промежуток времени злоумышленник, выступая в качестве посредника в даче взятки, передал полученные им  денежные средства начальнику отделения военного комиссариата. Впоследствии 27-летний мужчина, желавший избежать призыва в вооруженные силы, сообщил о произошедшем в правоохранительные органы, что позволило пресечь противоправные действия указанных лиц.  
 
Начальник отделения военного комиссариата привлечен к предусмотренной Уголовным Кодексом РФ ответственности. В отношение 23-ленего посредника продолжается расследование уголовного дела. Уголовное дело в отношении 27-летнего молодого человека, пытавшегося избежать военной  службы, прекращено в установленном законодательством порядке, так как после совершения противоправного деяния он добровольно сообщил о даче взятки в правоохранительные органы.  
 
В ходе предварительного расследования Ярулин признал вину в инкриминируемом ему деянии.
 
Приговором суда Ярулину назначено наказание в виде 3 лет лишения свободы условно с испытательным сроком 3 года и штрафом в размере 275 000 рублей."
/news/item/1544000/,saratov,В Саратове следователями СК завершено расследование уголовного дела о даче взятки в особо крупном размере,"['взятка', 'коррупция', 'СКР', 'суд']",04 Апреля 2024,"Следственным отделом по Фрунзенскому району городу Саратов следственного управления Следственного комитета России по Саратовской области завершено расследование уголовного дела в отношении представителя коммерческой организации, обвиняемого в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий в особо крупном размере).  
По данным следствия, 3 декабря 2020 года представитель общества с ограниченной ответственностью, проводившего реконструкцию одного из зданий в городе Саратове, находясь в помещении кафе, расположенного на проспекте Кирова города Саратова, передал денежные средства в размере 125 000 рублей, в качестве первой части взятки от ранее оговоренной суммы в размере 6 млн. рублей сотруднику УФСБ России по Саратовской области. Незаконное вознаграждение предназначалось за совершение должностным лицом незаконных действий в интересах представляемой мужчиной организации, а именно, за содействие в силу своего должностного положения в беспрепятственном подписании сотрудниками Управления капитального строительства Саратовской области актов выполненных работ реконструируемого объекта. Сотрудник УФСБ отказался принять взятку. После передачи денежных средств противоправные действия мужчины были пресечены подразделением собственной безопасности УФСБ России по Саратовской области.
Обвиняемый признал вину и раскаялся в содеянном.  
Следственным органом собраны достаточные доказательства, подтверждающие совершение обвиняемым инкриминируемого ему деяния. Уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1460069/,saratov,"Перед судом предстанет сотрудница полиции, обвиняемая в получении взятки в Озинском районе","['взятка', 'коррупция', 'СКР', 'суд']",29 Марта 2024,"Ершовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Саратовской области завершено расследование уголовного дела в отношении сотрудницы полиции возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (получение взятки в размере, не превышающем десяти тысяч рублей).   
По данным следствия, в период с марта по апрель 2019 года женщина, занимающая должность начальника миграционного пункта одного из отделов полиции МВД РФ по Саратовской области, находясь в служебной командировке на территории Озинского района Саратовской области, получила от мужчины взятку в виде денег в сумме 8000 рублей. Незаконное вознаграждение предназначалось за незаконные действия в виде не привлечения иностранных граждан к административной ответственности за совершенное правонарушение. 
Противоправные действия должностного лица выявлены сотрудниками ОРЧ (СБ) ГУ МВД России по Саратовской области. 
Обвиняемая признала вину и раскаялась в содеянном.
Следственным органом собраны достаточные доказательства, изобличающие обвиняемую в совершении инкриминируемого ей деяния, в связи с чем,   уголовное дело с утвержденным прокурором обвинительным заключением, направлено в суд для рассмотрения по существу."
