Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1806311/,spb,"О ходе расследования уголовного дела в отношении должностных лиц образовательного учреждения,  обвиняемых в получении взяток",['взятка'],15 Декабря 2023,"Ранее сообщалось о возбуждении следственными органами ГСУ СК России по Санкт-Петербургу  уголовного дела в отношении  директора одного из общеобразовательных учреждений Невского района, а также двух ее заместителей  по  признакам преступления, предусмотренного п. «а» ч. 5 ст. 290 УК РФ (получение взятки), которым предъявлено обвинение, избрана мера пресечения. По версии следствия, обвиняемые вступили в преступный сговор на получение взяток  за общее покровительство с подчиненных им сотрудников школы. Затем соучастники в декабре 2022 потребовали и получили от двух учителей и рабочего школы взятки на общую сумму не менее  200 тысяч рублей  за  создание для них благоприятных условий труда, в том числе за начисление повышенной премии по итогам работы. В ходе следствия было установлено, что обвиняемые в период с марта 2021 года  по май 2023 года получили от  двух  местных жителей, занимающихся    организацией  спортивных мероприятий и оказанием тренерских услуг  по игре в волейбол,  взятки  в сумме более 2 млн рублей за предоставление спортивных помещений школы. В настоящее время в отношении соучастников возбуждено уголовное дело по признакам преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки).Расследование уголовных дел, которые соединены в одно производство, продолжается."
/news/item/1366516/,spb,"В Санкт-Петербурге перед судом предстанет бывшее руководство АО АКБ «Банкирский дом», обвиняемые в фальсификации финансовых документов учета и отчетности",['фальсификация'],15 Декабря 2023,"Главным следственным управлением Следственного комитета Российской Федерации по г.Санкт-Петербургу завершено расследование уголовного дела в отношении бывших председателя правления и его заместителя, главного бухгалтера и его заместителя АО «АКБ «Банкирский дом». Они обвиняются в совершении преступления, предусмотренного ст. 172.1 УК РФ (фальсификация финансовых документов учета и отчетности финансовой организации).
По версии следствия, соучастники, действуя группой лиц по предварительному сговору, по указанию фактического собственника вышеуказанного Банка, будучи осведомленными о необоснованном отсутствии в Банке наличных денежных средств и оформленных фиктивных кредитных договоров, с 2014 по 2016 год на систематической основе вносили в отчетность Банка заведомо ложные сведения о его финансовом положении, после чего предоставляли данную отчетность в Северо-Западное Главное управление Центрального банка Российской Федерации.
Обвиняемые вину признали в полном объеме и дали исчерпывающие сведения о совершенном ими преступлении.
Уголовное дело направлено в суд для решения вопроса о его прекращении с назначением обвиняемым меры уголовно-правового характера в виде судебного штрафа.
Уголовное дело в отношении фактического собственника Банка прекращено, в связи с его смертью."
/news/item/1232798/,spb,Главным следственным управлением СК России по Санкт-Петербургу продолжается работа по противодействию налоговым преступлениям,[],15 Декабря 2023,"Главным следственным управлением СК России  по Санкт-Петербургу  прекращено расследование уголовного дела в отношении 54-летнего генерального директора одной из коммерческих структур, подозреваемого  в совершении преступления, предусмотренного п. «б»  ч. 2 ст. 199 УК РФ (уклонение от уплаты налогов), в связи с полным возмещением ущерба, причиненного бюджетной системе РФ.
 
           Из материалов уголовного дела следует, что подозреваемый  с 1 января 2012 года по 20 сентября 2013 года,  действуя от имени возглавляемой им коммерческой структуры,  путем включения заведомо ложных сведений в налоговые декларации по налогу на прибыль организации за 2012 и 2013 годы и по налогу на добавленную стоимость за 1-4 кварталы 2012 года и 2 квартал 2013, уклонился от уплаты налога на прибыль организации и НДС, в результате чего причинил ущерб бюджету Российской Федерации на сумму около 60 млн. рублей.
 
           Кроме того, по тем же основаниям, прекращено  уголовное дело в отношении 59-летнего начальника главного управления одного из федеральных  государственных  унитарных предприятий, подозреваемого  в совершении преступления, предусмотренного п. «б»  ч. 2 ст. 199 УК РФ (уклонение от уплаты налогов).
Из материалов уголовного дела следует, что  подозреваемый,  действуя от имени  указанного,  предприятия в период с  1 января 2014 года  по март 2015 года  предоставил налоговую инспекцию отчетность, содержащую заведомо для него ложные сведения, внесенные в налоговые декларации по НДС за 1- 4 кварталы 2014 года и налогу на прибыль организации за 2014 год,  в результате чего причинил ущерб бюджету  Российской Федерации на сумму более 368 млн. рублей."
/news/item/1218676/,spb,В Санкт-Петербурге в отношении главного государственного инспектора труда (по правовым вопросам) ГИТ Санкт-Петербурга возбуждено уголовного дело,"['взятка', 'деньги']",13 Декабря 2023,"Следственными органами Следственного комитета России по Санкт-Петербургу возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки) в отношении главного государственного инспектора труда (по правовым вопросам) государственной инспекции труда Санкт-Петербурга.
Из материалов уголовного дела следует, что подозреваемая в точно неустановленное время не позднее 18 апреля 2018 года, находясь в своем служебном кабинете, расположенном в одном из домов по Виленскому переулку, получила от местной жительницы, являющейся генеральным директором одного из обществ с ограниченной ответственностью Санкт-Петербурга, взятку в размере 25 тысяч рублей за совершение незаконных действий в пользу указанного общества, выразившихся в вынесении постановления о назначении административного наказания в виде предупреждения, в то время как по данным статьям Кодекса об административных правонарушениям для юридических лиц, совершивших указанные административные правонарушения предусмотрена санкция исключительно в виде штрафа в размере от 30 до 50 тысяч рублей.
В настоящее время проводится комплекс следственных действий и оперативно-розыскных мероприятий, направленных на выяснение всех обстоятельств произошедшего. Решается вопрос об избрании в отношении подозреваемого меры пресечения и предъявлении ей обвинения.
Расследование уголовного дела продолжается."
/news/item/1842216/,spb,"В Санкт-Петербурге задержаны начальник следствия и следователь МВД, подозреваемые в получении взятки",['СКР'],12 Декабря 2023,"Главным следственным управлением Следственного комитета России по г.Санкт-Петербургу расследуется уголовное дело, возбужденное первым заместителем Председателя Следственного комитета Российской Федерации Э.В. Кабурнеевым в отношении начальника 5 отдела следственной части по расследованию организованной преступной деятельности и следователя по особо важным делам отделения по расследованию особо важных дел о преступлениях экономической направленности, а также в сфере агропромышленного и топливно-энергетичнеского комплексов данного отдела Главного следственного управления ГУ МВД Российской Федерации по г.Санкт-Петербургу и Ленинградской области, по признакам преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки).
По данным следствия, в производстве следователя находится уголовное дело по ч.4 ст.160 УК РФ, свидетелем по которому является местная жительница 1965 года рождения. Далее, действуя совместно по предварительному сговору в целях личного обогащения, подозреваемые в ноябре 2023 года потребовали с последней взятку в виде денежных средств в сумме 8 млн рублей, заявив, что в случае неисполнения данного требования женщина будет привлечена к уголовной ответственности. Для получения денежных средств соучастники приискали в качестве посредников своих знакомых. Далее, 24 ноября 2023 года в рамках проведения оперативно-розыскного мероприятия «оперативный эксперимент» при передаче муляжа денежных средств, имитирующих вышеуказанную сумму, посредники были изобличены и впоследствии дали согласие на участие в дальнейших оперативно-розыскных мероприятиях. Позднее в этот же день, действуя под контролем оперативных сотрудников, находясь у одного из домов по улице Воронежской передали муляж денежных средств подозреваемому.
В результате проведения следственных действий и оперативно-розыскных мероприятий совместно с сотрудниками региональных управлений ФСБ и МВД подозреваемые задержаны. Решается вопрос об избрании в отношении них меры пресечения и предъявлении им обвинения.
Проводится комплекс мероприятий, направленных на выяснение всех обстоятельств произошедшего. В настоящее время у соучастников по месту жительства проводятся обыски с целью отыскания и изъятия предметов и документов, представляющих интерес для следствия. Расследование уголовного дела продолжается."
/news/item/1172384/,spb,В Санкт-Петербурге бывший судебный пристав-исполнитель признан виновным в получении взятки,[],07 Декабря 2023,"Собранные следственными органами СКР по Санкт-Петербургу доказательства признаны судом достаточными для вынесения приговора в отношении бывшего судебного пристава-исполнителя Западного отдела судебных приставов Приморского района УФССП по Санкт-Петербургу Андрея Тювилина. Он признан виновным в совершении преступления, предусмотренного п. «б» ч. 5 ст. 290 УК РФ (получение взятки).Следствием и судом установлено, что Тювилин потребовал от местного жителя 180 тыс. рублей за активизацию процесса взыскания задолженности, который сообщил об этом в правоохранительные органы.8 апреля 2015 года Тювилин получил часть взятки в сумме 90 тыс. рублей, после чего был задержан сотрудниками полиции.          Приговором суда ему назначено наказание в виде 8 лет лишения свободы с отбыванием в исправительной колонии строгого режима со штрафом в размере 3 млн. 600 тыс. рублей."
/news/item/1571971/,spb,"В Санкт-Петербурге перед судом предстанет заместитель директора  психоневрологического  интерната  обвиняемый в получении взятки,  а также  в превышении должностных полномочий",[],07 Декабря 2023,"ГСУ СК России по Санкт-Петербургу завершено расследование  уголовного дела в отношении 50-летнего заместителя директора одного из психоневрологических интернатов, обвиняемого в совершении преступлений, предусмотренных  п. «в» ч.5,  ч.6 ст. 290, п. «в» ч. 3 ст. 286 УК РФ (получение взятки, превышение должностных полномочий, умышленное причинение легкого вреда здоровья).
Из материалов уголовного дела следует, что  обвиняемый с августа 2016 года по декабрь 2017 года неоднократно получил взятки  от местной жительницы  в  сумме более 5 млн 500 тыс  рублей, а также  взятки в виде  оплаты услуг  двух  ресторанов города  на сумму не менее  560 тыс рублей, за  способствование  приобретению интернатом питания у данной женщины.
В  период с  января по декабрь 2017 года он получил от индивидуального предпринимателя  взятки на общую  сумму 370 тыс рублей за подписание документов, связанных с оплатой контракта по оказанию парикмахерских услуг лицам проживающим в интернате. 
Кроме того, 18 октября 2019 года обвиняемый,   получив информацию о том, что в интернате находится  недееспособный мужчина, нуждающийся в  госпитализации в специализированный  стационар для проведения  медикаментозного и хирургического лечения,  дал  указание подчиненным сотрудникам  не госпитализировать больного, а также  внести  в его историю  болезни ложные сведения о надлежащем и своевременном  оказании социально-медицинских  услуг. В результате действий обвиняемого  больной находился в интернате   до 25 октября 2019 года.
Также  21 июня 2019 года он  по месту жительства во Всеволожском районе в ходе ссоры избил свою жену, причинив ей  легкий вред здоровью.
В ближайшее время уголовное дело с утвержденным обвинительным заключением будет направлено в суд для рассмотрения по существу."
/news/item/1265841/,spb,В  Санкт-Петербурге вынесен приговор по уголовному делу о покушении на мошенничество,[],29 Ноября 2023,"Собранные ГСУ СК России по Санкт-Петербургу доказательства признаны судом достаточными для вынесения приговора в отношении  Романа Фролова. Он признан виновным в  совершении преступления, предусмотренного ч.3 ст.30-ч.3 ст.159 УК РФ (покушение на мошенничество).
         Следствием и  судом установлено, что Фролов, являясь заместителем начальника полиции (по оперативной работе) СПб линейного управления МВД России на транспорте, подполковником полиции,  достоверно зная, что в производстве СПб СО на транспорте Северо-Западного СУ на транспорте СК РФ находится уголовное дело  о мошенничестве сообщил мужчине о наличии у него возможности привлечь его   к ответственности по данному уголовному делу.
         Затем в ноябре 2016 года в ходе  неоднократных личных встреч потребовал от мужчины  250 тыс. рублей, угрожая наступлением неблагоприятных последствий.         
          8 декабря 2016 года около дома 131 по Московскому  проспекту Фролов  получил от мужчины  40 тыс.  рублей и муляж  денежных средств на сумму 210 тыс. рублей, после чего был задержан сотрудниками полиции.
         Приговором суда Фролову назначено наказание в виде  лишения свободы сроком на 2 года 6 месяцев  в ИК общего режима."
/news/item/1187445/,spb,"О ходе расследования уголовного дела, возбужденного по факту незаконной банковской деятельности",[],20 Ноября 2023,"Ранее сообщалось, что следственными органами Следственного комитета России по Санкт-Петербургу расследуется уголовное дело, возбужденное по признакам преступления, предусмотренного п. «б» ч. 2 ст. 172 УК РФ (незаконная банковская деятельность).
В результате проведения следственных действий и оперативно-розыскных мероприятий совместно с сотрудниками УФСБ России и ГУ МВД России по Санкт-Петербургу и Ленинградской области была задержана 54-летняя заместитель управляющего - начальник операционного отдела ООО «Коммерческий банк «Гефест» филиал Санкт-Петербургский. В настоящее время ей предъявлено обвинение и избрана мера пресечения в виде домашнего ареста.
По версии следствия, женщина, действуя совместно с ранее привлеченными к уголовной ответственности по данному делу тремя мужчинами, используя подконтрольные им счета ряда юридических лиц, в период с января 2013 года по ноябрь 2016 года, незаконно осуществляли банковскую деятельность – кассовое обслуживание иных юридических лиц (компаний – клиентов), путем перечисления денежных средств последних на вышеуказанные подконтрольные счета по мнимым возмездным гражданско-правовым договорам, получив при этом доход в размере более 11 миллионов рублей.
Затем, обвиняемые, используя подконтрольные юридические лица, перечисляли денежные средства, ранее полученные от компаний – клиентов, на подконтрольные им счета физических лиц, открытых в кредитных учреждениях, расположенных на территории Санкт-Петербурга по фиктивным основаниям. После чего осуществляли снятие данных денежных средств и передавали их в наличной форме представителям компаний – клиентов за вознаграждение в размере не менее 6,5% от суммы обналиченных денежных средств.
В рамках расследования уголовного дела был проведен ряд обысков, в ходе которых изъяты предметы и документы, имеющие значение для следствия.
Расследование уголовного дела продолжается."
/news/item/1154704/,spb,В Санкт-Петербурге бывший начальник управления и развития капитального строительства Санкт-Петербургского государственного аграрного университета признан виновным в получении взятки,[],11 Октября 2023,"Собранные следственными органами Следственного комитета России по Санкт-Петербургу доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении Израэля Глузмана – бывшего начальника управления и развития капитального строительства ФГБОУ ВО «Санкт-Петербургский государственный аграрный университет» Министерства сельского хозяйства РФ (далее – Университет). Он признан виновным в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки).
Следствием и судом установлено, что в ноябре 2016 года Глузман, занимая вышеуказанную должность, получил 200 тысяч рублей от представителя одной из коммерческих структур за содействие заключения договора аренды здания, принадлежащего Университету, расположенного в одном из домов по улице Садовой в городе Пушкин и последующего не расторжения договорных отношений между Университетом и указанной коммерческой организацией.
Приговором суда Глузману назначено наказание в виде 4 лет лишения свободы условно с испытательным сроком 3 года и штраф в размере 7 миллионов рублей.
Кроме того, Глузман лишен права занимать должности на государственной службе и в органах местного самоуправления, связанные с выполнение организационно-распорядительных, административно-хозяйственных функций сроком на 2 года."
