Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1119537/,sverdlovsk,В Свердловской области адвокат предстанет перед судом по обвинению в даче взятки в значительном размере,[],25 Апреля 2024,"Следственным отделом по г.Ивдель СК России по Свердловской области завершено расследование уголовного дела в отношении действующего 57-летнего адвоката. Он обвиняется в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача должностному лицу взятки в значительном размере).
По данным следствия, в конце января 2017 года обвиняемый, находясь в помещении служебного кабинета одного из исправительных учреждений ГУФСИН России по Свердловской области (в городе Ивдель), передал должностному лицу исправительной колонии взятку в сумме 100 тысяч рублей за возможность использования мобильного телефона одним из осуждённых этой колонии.
Непосредственно после передачи денежных средств адвокат был задержан сотрудниками областного управления ФСБ, которые совместно с оперативниками управления собственной безопасности регионального ГУФСИН проводили оперативное мероприятие по изобличению обвиняемого. Данная спецоперация проводилась в связи с тем, что должностное лицо колонии своевременно сообщило о том, что ему предлагают взятку за незаконные действия.
Следователем СКР собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1728623/,sverdlovsk,"В Екатеринбурге перед судом предстанет бывший доцент кафедры ВУЗа, обвиняемый во взяточничестве","['взятка', 'должностное лицо', 'коррупция', 'суд']",19 Апреля 2024,"архивная фотография            

Следственным отделом по Кировскому району города Екатеринбург СУ СК России по Свердловской области завершено расследование уголовного дела в отношении местного жителя, 1961 г.р., обвиняемого в совершении преступлений, предусмотренных ч.ч. 3, 5 ст. 290 УК РФ (получение взятки за совершение незаконных действий, в том числе совершённое с вымогательством взятки). Наказание за совершение наиболее тяжкого из этих преступлений предусмотрено вплоть двенадцати лет лишения свободы.
По данным следствия, в период с марта 2021 по март 2022 годов обвиняемый, являясь доцентом кафедры одного из высших учебных заведений Екатеринбурга, трижды получил от студентов университета взятки за формальный приём экзаменов и курсовых работ, не проверяя фактические знания студентов. В качестве предметов взятки выступили вертикально-сверлильный станок, люстра и мясорубка.
В ходе предварительного следствия сотрудниками Следственного комитета выполнен комплекс мероприятий по сбору и закреплению доказательств. Допрошено более 30 свидетелей, проведён обыск в жилище, проанализирован значительный объём интересующей следствие документации. Также в ходе расследования приняты меры обеспечительного характера – судом по ходатайству Следственного комитета наложен арест на имущество обвиняемого (изделия из золота и серебра на сумму более 800 тысяч рублей). Несмотря на то, что свою вину фигурант так и не признал, тем не менее следствию СКР удалось собрать достаточную доказательственную базу, в связи с чем уголовное дело с утверждённым обвинительным заключением направлено в Кировский районный суд города Екатеринбурга для рассмотрения по существу."
/news/item/1047193/,sverdlovsk,"В Серове завершено расследование уголовного дела в отношении бывшего чиновника, ведавшего выдачей водительских удостоверений на право управления квадроциклами и снегоходами",[],10 Апреля 2024,"Серовским межрайонным следственным отделом СК России по Свердловской области завершено расследование уголовного дела в отношении 56-летнего бывшего главного инженера-инспектора по надзору за техническим состоянием самоходных машин территориального отраслевого исполнительного органа государственной власти Свердловской области – Верхотурского управления агропромышленного комплекса и продовольствия Министерства агропромышленного комплекса и продовольствия Свердловской области. Он обвиняется в совершении 7 эпизодов преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки за незаконные действия), и 7 эпизодов преступлений, предусмотренных ч. 1 ст. 292 УК РФ (служебный подлог).
По версии следствия, обвиняемый, в чьи служебные полномочия входили прием экзаменов на право управления самоходными машинами и выдача удостоверений тракториста-машиниста, вступил в сговор с руководством одной из автошкол о приеме экзаменов на право управления указанными транспортными средствами для желающих лиц. Так, при приеме экзаменов, в случае допущения экзаменуемыми «грубых» ошибок, обвиняемый не фиксировал данные нарушения, а принимал решения о сдаче ими экзамена, после чего выдавал им удостоверения тракториста-машиниста, впоследствии получая взятку в оговоренном размере от 3 до 14 тысяч рублей.
Всего в виде взяток он получил 56 тысяч рублей. Одним из распространенных нарушений, на которое обвиняемый «закрывал глаза», было отсутствие у экзаменуемых курсантов мотошлемов.
Обвиняемый был изобличен в результате комплекса оперативно-розыскных мероприятий, проведенных сотрудниками полицейского подразделения по экономической безопасности и противодействия коррупции. Будучи задержанным в служебном кабинете с поличным, чиновник признал свою вину и, заключив досудебное соглашение, сообщил о ранее совершенных им преступных эпизодах.
Необходимо отметить, что в отношении указанных руководящих сотрудников автошколы, позиционировавшей себя «автошколой со стопроцентной сдачей курсантами экзаменов», также начата процедура уголовного преследования.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокуратурой обвинительным заключением направлено в суд для рассмотрения по существу.
Отметим, что санкция статьи за совершение наиболее тяжкого преступления (ч. 3 ст. 290 УК РФ) предусматривает наказание в виде лишения свободы на срок до 7 лет."
/news/item/1008795/,sverdlovsk,Бывший глава администрации муниципального образования признан виновным в злоупотреблении должностными полномочиями,[],09 Апреля 2024,"Собранные Верхотурским межрайонным следственным отделом СК России по Свердловской области доказательства признаны судом достаточными для вынесения приговора бывшему главе администрации городского округа Верхотурский. Он признан виновным в совершении преступления, предусмотренного ч.1 ст.285 УК РФ (злоупотребление должностными полномочиями).
Следствием и судом установлено, что в октябре 2012 года обвиняемый, занимая должность главы администрации городского округа, за счет средств подконтрольного ему муниципального унитарного предприятия «Верхотурское ЖКХ» установил в арендуемой им для личного проживания квартире пластиковые окна на сумму более 40 тысяч рублей. Оплата была проведена под видом расчета за ремонтные работы, выполненные в муниципальной квартире. Необходимо при этом отметить, что потраченные бюджетные средства выделялись МУП «Верхотурское ЖКХ» на подготовку к отопительному сезону.
Приговором суда осужденному назначено наказание в виде 1 года лишения свободы условно с испытательным сроком на 2 года."
/news/item/1016759/,sverdlovsk,"В Тугулымском районе перед судом предстанет бывший руководитель территориального пункта миграционной службы, обвиняемая в совершении ряда коррупционных преступлений",[],07 Апреля 2024,"Талицким межрайонным следственным отделом СК России по Свердловской области завершено расследование уголовного дела в отношении 42-летней жительницы Тугулымского района, ранее исполнявшей обязанности начальника территориального пункта УФМС России по Свердловской области в Тугулымском районе. Она обвиняется в совершении преступлений, предусмотренных ч.1 ст.285 УК РФ (злоупотребление должностными полномочиями), ч.1 ст.292 УК РФ (служебный подлог) и чч. 1, 3 ст. 290 УК РФ (получение взятки).
По данным следствия, с апреля по август 2015 года обвиняемая, занимая вышеуказанную должность, дважды произвела фиктивную постановку на учет по месту пребывания иностранных граждан в доме у ранее знакомой женщины без ее ведома и согласия. В частности, обвиняемая собственноручно составила заявления на свое имя с просьбой о постановке на учет по месту пребывания иностранцев от имени принимающей стороны, выполнив в них подписи с подражанием подписи знакомой. После этого она изготовила официальные документы, в которых указала заведомо ложные сведения о месте пребывания в Российской Федерации иностранных граждан, а также о согласии знакомой на временное нахождение у нее в доме иностранцев. В уведомлениях обвиняемая сама выполнила подписи от имени принимающей стороны, поставила штамп УФМС и свою подпись, удостоверив тем самым факт постановки иностранных граждан на учет по месту пребывания как должностное лицо ФМС РФ. В целях придания своим действиям видимости законного характера она внесла необходимые записи в журнал учета уведомлений о прибытии иностранных граждан в место пребывания, а также внесла сведения о постановке на миграционный учет иностранцев в систему центральной базы данных учета иностранных граждан с помощью специального программного обеспечения «Мигрант». За совершение законных и незаконных действий по учету иностранных граждан по месту пребывания в Российской Федерации злоумышленница брала взятки от 500 до 1 тысячи рублей.
Противоправная деятельность обвиняемой выявлена и пресечена в результате оперативных мероприятий, проведенных сотрудниками регионального управления ФСБ России.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1480258/,sverdlovsk,В Ивделе житель Пермского края признан виновным в покушении на дачу взятки сотруднику ГИБДД,"['взятка', 'приговор']",05 Апреля 2024,"Собранные следственным отделом по г. Ивдель СК России по Свердловской области доказательства признаны судом достаточными для вынесения приговора жителю Пермского края. Он признан виновным в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки).
Следствием и судом установлено, что подсудимый, будучи лишённым права управления транспортными средствами на срок 1 год 6 месяцев, продолжил ездить на автомашине и в один из дней передвигался по территории Ивдельского городского округа. При этом, находясь за рулём автомашины, он не был пристёгнут ремнём безопасности. Данное нарушение было обнаружено сотрудниками ДПС ОГИБДД МО МВД России «Ивдельский», которые остановили автомашину нарушителя. При общении с водителем выяснилось, что он не только пренебрегает ремнём безопасности, но и управляет автомашиной, не имея на то законного права. При составлении сотрудником ГИБДД протоколов об административных правонарушениях, подсудимый, не желая быть привлечённым к ответственности, решил «откупиться» и положил в «бардачок» служебного автомобиля ГИБДД взятку в размере 37 тысяч рублей. Однако полицейским данные денежные средства приняты не были, после чего нарушитель был задержан.
Приговором суда подсудимому назначено наказание в виде 2,5 лет лишения свободы условно с испытательным сроком 2 года 6 месяцев."
/news/item/1050767/,sverdlovsk,"Муниципальная служащая обвиняется в ряде преступлений, совершенных с использованием служебного положения",[],07 Марта 2024,"Следственным отделом по городу Невьянск СК России по Свердловской области 55-летней сотруднице отдела по управлению населенными пунктами администрации Невьянского городского округа предъявлено обвинение в совершении преступлений, предусмотренных ч.2 ст.292 УК РФ (служебный подлог), ч.ч. 3,4 ст.159 УК РФ (мошенничество с использованием служебного положения, в крупном и особо крупном размере).
По версии следствия, в период с мая 2010 по октябрь 2014 года обвиняемая с целью последующего приобретения права на чужое имущество путем обмана, воспользовавшись своим служебным положением, внесла в официальные документы – похозяйственные книги - заведомо ложные сведения о наличии у неё, а также у её родственников и знакомых прав пользования земельными участками, расположенными в одном из сёл Невьянского района. В последующем на основании этих ложных сведений она изготовила официальные документы - выписки из похозяйственных книг, в которые также внесла аналогичные заведомо ложные сведения. На основании подложных документов сама обвиняемая, ее родственники и знакомые незаконно зарегистрировали право собственности на земельные участки.
В результате противоправных действий муниципальному образованию «Невьянский городской округ» причинен материальный ущерб на сумму свыше 2 миллионов рублей.
Необходимо отметить, что преступная деятельность обвиняемой была выявлена в результате оперативно-розыскных мероприятий, проведенных сотрудниками подразделения экономической безопасности и противодействия коррупции областного полицейского главка и управления ФСБ России по Свердловской области.
В ближайшее время, после ознакомления обвиняемой с материалами уголовного дела, дело будет направлено для утверждения обвинительного заключения."
/news/item/1365986/,sverdlovsk,В Свердловской области органами СКР организовано проведение доследственной проверки по обращению граждан на Прямую линию с Президентом РФ об аварийном состоянии ряда жилых домов в городе Серове,"['должностное лицо', 'халатность']",19 Февраля 2024,"Следственными органами Следственного комитета РФ по Свердловской области организовано проведение доследственной проверки по информации об аварийном состоянии ряда жилых домов в городе Серове. Жители нескольких домов - по улицам Белореченской и Паровозников - записали видеообращение к Президенту Российской Федерации об аварийном состоянии их жилых домов, а также о длительном непринятии со стороны органов местного самоуправления мер для переселения граждан.
В рамках проверки следователями СК России проводится комплекс мероприятий, направленных на установление всех обстоятельств сложившейся ситуации, в ходе которого ей будет дана объективная правовая оценка. По итогам доследственной проверки органами Следственного комитета будет принято процессуальное решение."
/news/item/1144416/,sverdlovsk,"В Богдановичском районе перед судом предстанет местный житель, обвиняемый в покушении на дачу взятки сотруднику полиции",[],19 Января 2024,"Богдановичским межрайонным следственным отделом СК России по Свердловской области завершено расследование уголовного дела в отношении 63-летнего жителя одного из сел Богдановичского района. Он обвиняется в совершении преступления, предусмотренного ч.3 ст.30 и ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу).
По данным следствия, 13 мая 2017 года обвиняемый, находясь в служебном кабинете одного из руководящих сотрудников ОМВД России по Богдановичскому району, покушался на дачу взятки указанному должностному лицу. 20 тысяч рублей обвиняемый хотел передать за то, чтобы сотрудники полиции не привлекали его к уголовной ответственности за незаконное хранение оружия и боеприпасов. Однако страж порядка взятку не принял, а факт покушения на дачу взятки был зафиксирован сотрудниками ОЭБ и ПК ОМВД России по Богдановичскому району в ходе оперативно-розыскного мероприятия.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
Необходимо отметить, что за инкриминируемое обвиняемому преступление действующим законодательством установлена ответственность, в том числе в виде лишения свободы на срок до 6 лет."
/news/item/1648710/,sverdlovsk,Следователи СКР в городе Ревде расследуют два уголовных дела по фактам покушения на дачу взяток,"['взятка', 'коррупция']",16 Января 2024,"Следственным отделом по городу Ревда СК России по Свердловской области возбуждены уголовные дела в отношении двух граждан, которые подозреваются в совершении преступлений коррупционного характера.
Так, в отношении жителя города Ревды, 1976 г.р., возбуждено уголовное дело по ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу за незаконное бездействие). По версии следствия, 14 января 2022 мужчина совершил дачу взятки оперуполномоченному отделения ЭБиПК МО МВД России «Ревдинский» в сумме 50 тысяч рублей за непринятие полицейскими мер по привлечению указанного гражданина к ответственности за транспортировку древесины без сопроводительной документации. Страж порядка предложенные ему деньги не принял. Необходимо отметить, что как только подозреваемый начал намекать полицейскому о необходимости «договориться», сотрудником МВД ему было разъяснено, что дача взятки является уголовно наказуемым деянием. Однако мужчина проигнорировал данное разъяснение, и всё-таки решил дать взятку. Теперь за необдуманный поступок ему предстоит держать ответственность перед законом.
Аналогичный случай имел место и в городе Дегтярске 15 января 2022 года, когда молодой человек, 1999 г.р., совершил дачу взятки в сумме 20 тысяч рублей старшему инспектору ДПС ГИБДД ММО МВД РФ «Ревдинский» за то, чтобы он не принимал входящих в его компетенцию мер по привлечению указанного молодого человека к ответственности за управление автомобилем в отсутствие документов, подтверждающих право управления транспортным средством. В отношении гражданина также возбуждено уголовное дело по признакам преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки).
В настоящее время следователями СК России по уголовным делам проводится комплекс необходимых мероприятий, направленных на установление всех обстоятельств совершённых преступлений, сбор и закрепление доказательственной базы."
