Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1205714/,tambov,Перед судом по обвинению во взяточничестве предстанет бывший заместитель начальника  ГУ МЧС России по Тамбовской области,"['взятка', 'собранные доказательства']",05 Апреля 2024,"Вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) следственного управления Следственного комитета Российской Федерации по Тамбовской области завершено расследование  уголовного дела  в отношении теперь уже бывшего заместителя начальника регионального ГУ МЧС России, обвиняемого в совершении  преступлений, предусмотренных ст. 290 УК РФ (получение взятки).
По версии следствия, заместитель начальника ГУ МЧС России по Тамбовской области лично и через посредника (подчиненного сотрудника) получал от представителей фирм и индивидуального предпринимателя, занимающихся монтажом, техническим обслуживанием и ремонтом средств обеспечения пожарной безопасности зданий и сооружений, взятки в виде денег за общее покровительство их деятельности и попустительство по службе.
Следователями совместно с сотрудниками регионального УФСБ России установлено несколько эпизодов преступной деятельности обвиняемого. Так, следствием собрано достаточно доказательств, подтверждающих получение им лично с сентября 2014 по июнь 2015 года от представителей одной из фирм 780 тысяч рублей, а с июня по ноябрь 2016 года - получение через посредника от представителя другой фирмы 125 тысяч рублей. Кроме этого, через подчинённого сотрудника он получал от индивидуального предпринимателя ежемесячно денежные средства в размере 10 %  от его дохода, всего за непродолжительный период времени -   около 70 тысяч рублей.
18 ноября 2016 года после получения очередной взятки обвиняемый был задержан в своем рабочем кабинете сотрудниками регионального УФСБ России. Приказом Министра МЧС России он уволен со службы по виновному основанию.
В ходе следствия собрана достаточная доказательственная база, в связи с чем уголовное дело с утверждённым обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/806032/,tambov,"В Тамбовском районе перед судом предстанет житель областного центра, обвиняемый в покушении на дачу взятки сотруднику ДПС",[],05 Апреля 2024,"Тамбовским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Тамбовской области завершено расследование уголовного дела в отношении 38-летнего жителя Тамбовской области. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст. 30 ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу лично за совершение заведомо незаконного бездействия).

По версии следствия, 31 июля 2014 года с 10 до 11 часов 10 минут мужчина, находясь в служебном автомобиле ДПС, расположенном на 12 км участка автодороги «Тамбов-Пенза», с целью избежать административной ответственности за управление транспортным средством в состоянии алкогольного опьянения, положил между передними сиденьями указанного автомобиля в качестве взятки инспектору СБ ДПС ГИБДД ОР УМВД России по Тамбовской области денежные средства в сумме около 9 тысяч рублей. Однако свои противоправные действия обвиняемый не смог довести до конца по независящим от него обстоятельствам, так как денежные средства инспектор не принял и о случившемся сообщил в правоохранительные органы.

Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1619858/,tambov,Бывший сотрудник сотрудника ГИБДД за получение взятки приговорен  к реальному лишению свободы,['взятка'],11 Марта 2024,"Собранные вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) следственного управления Следственного комитета Российской Федерации по Тамбовской области доказательства признаны судом достаточными для вынесения приговора бывшему сотруднику ГИБДД регионального УМВД России. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки).
Следствием и судом, что сотрудник ГИБДД, выявив факт управления автомобилем водителем, ранее лишенным прав управления транспортным средством, объявил ему о наличии в его действиях признаков административного правонарушения, предусмотренного ч. 2 ст. 12.7 КоАП РФ. После этого водитель попросил полицейского за денежное вознаграждение не составлять в отношении него административный материал. Согласившись с данным предложением, сотрудник полиции назвал номер мобильного телефона знакомого, на который водитель автомобиля, используя сервис «Сбербанк Онлайн», осуществил перевод денежных средств в размере 30 тысяч рублей. Преступление выявлено при участии сотрудников регионального управления ФСБ России.
Вину в совершении коррупционного преступления фигурант не признал. Апелляционным определением Тамбовского областного суда приговор суда первой инстанции изменен – условная мера наказания заменена на реальное лишение свободы сроком 3 года с отбыванием в исправительной колонии общего режима."
/news/item/885526/,tambov,Возбуждено уголовное дело в отношении руководителя управления ФНС России по Тамбовской области,[],14 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Тамбовской области по заявлению генерального директора ООО «Лагуна»  возбуждено уголовное дело в отношении руководителя регионального управления ФНС России Любови Круговой. Она подозревается в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки, совершенное в особо крупном размере).

По версии следствия, Кругова, занимая с 2006 по 2013 годы различные руководящие должности в налоговых органах Тамбовской области, систематически вымогала и получала от генерального директора ООО «Лагуна» денежные средства и имущество за непринятие мер ответственности при проведении налоговых проверок возглавляемого им общества. В результате своих противоправных действий подозреваемая за данный период получила от генерального директора указанного общества имущество на общую сумму более 14 миллионов рублей.

По ходатайству ФНС приказом Министра финансов Российской Федерации принято решение о проведении в отношении Любови Круговой  проверки на предмет соблюдения законодательства о противодействии коррупции и об отстранении последней от замещаемой должности на период проверки. В настоящее время подразделением собственной безопасности  ФНС России завершаются проверочные мероприятия.

Оперативное сопровождение по уголовному делу осуществляют сотрудники УМВД РФ по Тамбовской области. Служба безопасности ФНС России оказывает необходимое содействие в расследовании.

Проводятся следственные действия, направленные на закрепление доказательственной базы и установление всех обстоятельств совершенного преступления."
/news/item/885490/,tambov,"В Тамбове возбуждено уголовное дело в отношении сотрудников ГИБДД, подозреваемых в совершении коррупционного преступления",[],13 Февраля 2024,"Следственным отделом по Октябрьскому району города Тамбов следственного управления Следственного комитета Российской Федерации по Тамбовской области по материалам, предоставленным региональным УФСБ России возбуждено уголовное дело в отношении двух инспекторов ДПС СБ ДПС ГИБДД ОР УМВД России по Тамбовской области. В зависимости от роли каждого они подозреваются в совершении преступлений, предусмотренных ч. 1 ст. 291.1 УК РФ (посредничество во взяточничестве) и  ч. 3 ст. 30 ч. 1 ст. 291.1 УК РФ (покушение на посредничество во взяточничестве). 

По версии следствия, 24 ноября 2014 года около 15 часов 10 минут на участке местности, расположенном на пересечении ул. К. Маркса и Рязанской г. Тамбова мужчина передал инспектору ДПС СБ ДПС ГИБДД ОР УМВД России по Тамбовской области часть денежных средств в сумме 15 тысяч рублей за оказание помощи в сдаче его знакомой практического экзамена на право управления транспортным средством в МРЭО ГИБДД УМВД России по Тамбовской области. При этом мужчина пояснил сотруднику ГИДББ, что оставшуюся сумму в размере 15 тысяч рублей он передаст позже. 

В этот же день около 22 часов инспектор, незаконно получивший указанные денежные средства, встретился со своим коллегой около кафе, расположенного в районе Центрального рынка г. Тамбова. В ходе общения один инспектор передал другому часть денег в сумме 10 тысяч рублей, для их последующей передачи должностному лицу экзаменационного отдела МРЭО ГИБДД УМВД России по Тамбовской области за оказание помощи в сдаче практического экзамена на право управления транспортным средством. При этом инспектор ДПС СБ ДПС ГИБДД ОР УМВД России по Тамбовской области предполагал, что получил денежные средства в сумме 30 тысяч рублей. 

В настоящее время проводится комплекс следственных действий, направленных на установление обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1840509/,tambov,В Моршанске бывший сотрудник исправительной колонии обвиняется в получении взятки за пронос осужденному телефона,"['взятка', 'превышение полномочий']",07 Февраля 2024,"Моршанским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Тамбовской области теперь уже бывшему сотруднику исправительной колонии № 5 регионального УФСИН России предъявлено обвинение в совершении преступлений, предусмотренных ч. 3 ст. 286 УК РФ (превышение должностных полномочий) и ч. 3 ст. 290 УК РФ (получение взятки).
Следствием установлено, что сотрудник колонии по договоренности с одним из осужденных приобрел для него и тайно пронес на режимную территорию запрещенный предмет - мобильный телефон. Денежное вознаграждение сотруднику колонии знакомая осужденного перевела по указанным им реквизитам на банковскую карту родственника. Незаконная деятельность фигуранта выявлена и пресечена сотрудниками региональных управлений ФСБ и ФСИН России.
В настоящее время уголовное дело находится на завершающей стадии расследования."
/news/item/783264/,tambov,В Уваровском районе возбуждено уголовное дело в отношении директора ООО «Бастион-строй» по факту коммерческого подкупа,[],15 Декабря 2023,"Уваровским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Тамбовской области возбуждено уголовное дело в отношении директора ООО «Бастион-строй». Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 204 УК РФ (коммерческий подкуп).

По данным следствия, 30 июля текущего года, директор по продажам ООО «Бастион-строй» имея право на реализацию арестованного имущества путем проведения торгов,   передал обратившемуся к нему гражданину документы на автомобиль, ранее принадлежавшего последнему и арестованного в рамках исполнительного производства судебными приставами – исполнителями, без фактического проведения процедуры торгов, за что получил  денежные средства в сумме 20 тысяч рублей.

В настоящее время проводятся необходимые следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1592514/,tambov,"Вынесено судебное решение по уголовному делу в отношении бывшего сотрудника ресурсоснабжающей организации, обвиняемого в коммерческом подкупе",['коммерческий подкуп'],11 Декабря 2023,"Собранные следственными органами следственного управления Следственного комитета Российской Федерации по Тамбовской области доказательства признаны судом достаточными для назначения меры уголовно-правового характера бывшему сотруднику АО «Тамбовские коммунальные системы», обвиняемому в совершении преступления, предусмотренного ч. 6 ст. 204 УК РФ (коммерческий подкуп).
Следствием и судом установлено, что 1 марта 2021 года начальник одного из подразделений АО «Тамбовские коммунальные системы» незаконно получил через посредника, действовавшего в интересах коммерческой организации, денежную сумму в размере 50 тысяч рублей за подготовку и выдачу технической документации для заключения договора холодного водоснабжения и водоотведения между данной фирмой и АО «Тамбовские коммунальные системы». Преступление выявлено сотрудниками УФСБ России по Тамбовской области.
По результатам рассмотрения уголовного дела суд назначил фигуранту меру уголовно-правового характера в виде судебного штрафа в размере 70 тысяч рублей."
/news/item/1031273/,tambov,"В Жердевке водитель легкового автомобиля, нарушивший ПДД, осужден за попытку  дать взятку сотруднику полиции",[],07 Декабря 2023,"Собранные Жердевским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Тамбовской области доказательства признаны судом достаточными для вынесения приговора 44-летнему жителю Ржаксинского района. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291  УК РФ (покушение на дачу взятки).
Как установлено следствием и судом, 10 февраля 2016 года инспектором ДПС ОГИБДД ОМВД Росси по Жердевскому району на улице Советской был остановлен легковой автомобиль, водитель которого осуществлял движение во встречном направлении по дороге с односторонним движением. Для составления протокола об административном правонарушении водитель автомобиля был приглашён в патрульный автомобиль, где с целью избежать административной ответственности положил в отсек для магнитолы денежную купюру достоинством 1000 рублей в качестве взятки сотруднику полиции.
Однако преступный умысел водителя не был доведён до конца, так как инспектор ДПС деньги не взял и о случившемся сообщил в дежурную часть.
Приговором суда мужчине назначено наказание в виде штрафа в размере 30-кратной суммы взятки – 30 тысяч рублей."
/news/item/790053/,tambov,В Сосновском районе возбуждено уголовное дело по факту покушения на дачу взятки должностному лицу,[],22 Ноября 2023,"Моршанским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Тамбовской области возбуждено уголовное дело в отношении 35-летнего местного жителя. Он подозревается в совершении преступления, предусмотренного ч. 3 чт. 30 ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу за совершение им заведомо незаконных действий).
 
По данным следствия, 10 декабря 2013 года около 18 часов мужчина, находясь в служебном кабинете начальника ОГИБДД ОВД по Сосновскому району, с целью вернуть изъятое у него ранее водительское удостоверение до истечения срока, на который он был лишен права управления транспортным средством, предложил начальнику указанного органа деньги в виде взятки в сумме 2,5 тысяч рублей и материальные ценности. Однако довести задуманное мужчине не удалось по независящим от него обстоятельствам, поскольку начальник ОГИБДД ОВД по Сосновскому району отказался принять предложенные ему денежные средства и материальные ценности, о чем сообщил сотрудникам ОМВД по Сосновскому району Тамбовской области.

В настоящее время проводятся необходимые следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
