Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1706827/,tatarstan,В Республике Татарстан сотрудник МЧС подозревается в получении взятки,['взятка'],03 Мая 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан в отношении заместителя начальника отдела надзорной деятельности и профилактической работы по г. Казани по Приволжскому району Управления надзорной деятельности и профилактической работе ГУ МЧС России по РТ возбуждено уголовное дело по ч. 3 ст. 290 УК РФ (получение взятки).
По версии следствия, в 2022 году на базе одной из казанских фирм произошло возгорание. В ходе проведенной проверки подозреваемый выявил в деятельности организации нарушения противопожарной безопасности. В дальнейшем он предложил руководителю фирмы изготовить фиктивные документы о том, что ответственным за обеспечение противопожарной безопасности является физическое, а не юридическое лицо, привлечь его к административной ответственности и таким образом значительно уменьшить размер штрафа. Свои услуги подозреваемый оценил в 70 тыс. рублей.
В ходе грамотно спланированных следственных действий и оперативно-розыскных мероприятий 18 июля 2022 года злоумышленник был задержан после получения денежных средств. Проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1531759/,tatarstan,В Республике Татарстан бывший сотрудник исправительной колонии признан виновным во взяточничестве и иных преступлениях,"['взятка', 'наркотики']",23 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Татарстан доказательства признаны судом достаточными для вынесения приговора 21-летнему бывшему младшему инспектору группы надзора отдела безопасности ФКУ ИК-5 УФСИН России по Республике Татарстан. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 30, п. «б», «г» ч. 4 ст. 228.1 УК РФ (покушение на незаконный сбыт наркотических средств, психотропных веществ, совершенный в крупном размере), ч. 3 ст. 290 УК РФ (получение взятки), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
Следствием и судом установлено, что летом 2020 года неустановленные лица из числа осужденных обратились к инспектору с предложением за взятку в 30 тыс. руб. пронести на территорию колонии наркотические средства. После этого на банковскую карту злоумышленника был перечислен аванс в 5 тыс. руб., а спустя несколько дней неустановленные лица передали ему наркотические средства и психотропные вещества общим весом около 200 граммов. Кроме того, ему были переведены оставшиеся денежные средства. Противоправная деятельность злоумышленника была пресечена в ходе грамотно спланированных следственных действий и оперативно-розыскных мероприятий, проведенных сотрудниками СУ СКР по Республике Татарстан, УЭБиПК МВД по РТ, УФСБ РФ по РТ и службы безопасности УФСИН по РТ.
30 июня, спрятав часть наркотиков под одеждой, инспектор попытался пройти через КПП учреждения, однако был осмотрен и задержан.
Приговором суда мужчине назначено наказание в виде 8,5 лет лишения свободы в колонии общего режима."
/news/item/1813392/,tatarstan,В Республике Татарстан сотрудник исполкома района подозревается в посредничестве во взяточничестве,['взятка'],18 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан в отношении 33-летнего начальника общего отдела Исполнительного комитета Мамадышского района возбуждено уголовное дело по ч. 2 ст. 291.1 УК РФ (посредничество во взяточничестве).
По версии следствия, подозреваемый, узнав, что две его знакомые как малоимущие встали в очередь на получение 327 тыс. рублей по программе социальной адаптации, предложил им передать должностным лицам исполкома района 147 тыс. рублей за содействие в получении помощи. При этом он пояснил, что если не передать взятку они могут вообще ничего не получить, либо получат деньги в меньшем объеме. В феврале 2023 года одной из женщин был заключен социальный контракт с отделом соцзащиты Министерства труда, занятости и социальной защиты РТ в Мамадышском районе. После получения на счет социальной помощи она в тот же день передала подозреваемому требуемую сумму.
Противоправная деятельность была пресечена в ходе грамотно спланированных следственных действий и оперативно-розыскных мероприятий, проведенных совместно с УЭБиПК МВД по РТ.
Проводятся следственные действия, направленные на установление всех обстоятельств произошедшего."
/news/item/1864884/,tatarstan,В Республике Татарстан мужчина предстанет перед судом по обвинению в покушении на дачу взятки сотруднику полиции,"['взятка', 'покушение']",03 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан завершено расследование уголовного дела в отношении 43-летнего мужчины, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
По версии следствия, утром 18 февраля 2024 года на автодороге «Казань-Ульяновск», грузовой автомобиль, которым управлял обвиняемый, был остановлен сотрудниками дорожно-патрульной службы ГИБДД для проверки документов. При этом выяснилось, что водитель лишен прав. После этого, находясь в служебном автомобиле мужчина предложил одному из полицейских 20 тыс. рублей за не привлечение его к административной ответственности, а затем, несмотря на предупреждения об уголовной ответственности за дачу взятки, положил деньги около полицейского. О противоправных действиях сотрудник правоохранительного органа сообщил в дежурную часть.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1489060/,tatarstan,В Республике Татарстан выявлены дополнительные эпизоды преступной деятельности директора казанской школы,['взятка'],18 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан продолжается расследование уголовного дела в отношении бывшего директора МБОУ «Средняя общеобразовательная школа №167 с углубленным изучением отдельных предметов Советского района города Казани», обвиняемой в совершении преступления, предусмотренного ч.3 ст. 290 УК РФ (получение взятки). В ходе расследования уголовного дела выявлено 6 дополнительных эпизодов получения взяток злоумышленницей.
Напомним, по версии следствия, к обвиняемой обратились жители города Казани по вопросу зачисления ребенка в первый класс. Женщина потребовала за устройство ученика 25 тысяч рублей. О противоправных действиях женщины родители сообщили в правоохранительные органы и все дальнейшие действия проходили под контролем оперативных служб. В результате в ходе грамотно спланированных следственных действий и оперативно-розыскных мероприятий, проведенных сотрудниками СУ СКР по Республике Татарстан и ОЭБиПК УМВД по городу Казани 2 июля 2020 года, после получения денежных средств женщина была задержана.
В ходе расследования уголовного дела установлено, что в период с 25 июня по 1 июля 2020 года женщина получила от родителей 6 первоклассников от 10 до 25 тысяч. Рублей за устройство детей в школу.
Причастность к совершению преступления она признала частично. Судом по ходатайству следователя в отношении нее избрана мера пресечения в виде домашнего ареста. Проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1166570/,tatarstan,В Республике Татарстан руководитель муниципального бюджетного учреждения «Департамент жилищно-коммунального хозяйства г. Зеленодольска» подозревается в мошенничестве,"['коррупция', 'мошенничество', 'чиновник']",07 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан возбуждено уголовное дело в отношении руководителя муниципального бюджетного учреждения «Департамент жилищно-коммунального хозяйства г. Зеленодольска», депутата Совета Раифского сельского поселения Зеленодольского муниципального района 42-летнего Олега Анисимова. Он подозревается в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, совершенное группой лиц по предварительному сговору с использованием своего служебного положения в особо крупном размере).
         По предварительной версии, 2010 в г. Зеленодольск Анисимов необоснованно, в отсутствии фактической необходимости, заключил договоры аренды земельных участков и зданий с подконтрольным ему и неустановленным лицам ООО «Торговый Двор». С целью сокрытия хищения и для придания видимости необходимости заключения договоров аренды, Исполнительным комитетом г. Зеленодольска по инициативе подозреваемого из оперативного управления Департамента изымались здания и земельные участки, которыми фактически продолжали использоваться. Впоследствии Департамент перечислил деньги на расчетный счет ООО «Торговый Двор», для распоряжения по собственному усмотрению.
Так, Анисимов, зная, что в оперативном управлении Департамента имеется земельный участок в городе Зеленодольске на улице Паратская, то есть в отсутствии необходимости, заключил договор аренды земельного участка на улице Столичная между Департаментом и ООО «Торговый Двор», с ежемесячной оплатой в размере 16 800 рублей.
В результате чего, на расчетный счет ООО «Торговый Двор» Департаментом было перечислено 194 555 рублей, которыми Анисимов и неустановленные лица распорядились по собственному усмотрению.
Аналогичным образом, Анисимов заключил договор аренды здания на улице Засорина с ежемесячной оплатой в размере 116 305 рублей.
В результате чего, в 2010 году на расчетный счет ООО «Торговый Двор» Департаментом перечислено более 2,6 млн. рублей, которыми злоумышленники также распорядились по собственному усмотрению.
В ближайшее время следователь обратится в суд с ходатайством об избрании в отношении него одной из предусмотренных законодательством мер пресечения.
В настоящее время совместно с ОЭБ и ПК МВД России по Зеленодольскому району проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств произошедшего, а также выявление дополнительных эпизодов. Расследование уголовного дела продолжается."
/news/item/1114113/,tatarstan,О ходе расследования уголовного дела в отношении руководства ПАО «Татфондбанк»,[],06 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан продолжается расследование уголовного дела в отношении председателя правления ПАО «Татфондбанк», депутата Государственного Совета Республики Татарстан 52-летнего Роберта Мусина, возбужденного по признакам преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, совершенное в особо крупном размере).
В ходе расследования уголовного дела выявлен дополнительный эпизод преступной деятельности обвиняемого. По версии следствия, Мусин и неустановленные должностные лица ПАО «Татфондбанк», осведомленные о неплатежеспособности Банка и возможности отзыва лицензии ЦБ России, в декабре 2016 года, незаконно вывели залоговое имущество ООО «Урман» по четырем кредитным договорам с ПАО «Татфондбанк» на сумму более 847 млн. руб., подписав соглашение о расторжении договора о залоге и акта приема-передачи имущества к договору о залоге с ООО «ИнтерСтар», в виде векселя номинальной стоимостью более 207 млн. руб.
В результате часть кредитных обязательств перед Банком осталась без обеспечения, тем самым снизилась перспектива их возврата временной администрацией за счет реализации залогового обеспечения по кредитным договорам с ООО «Урман», что привело к невозможности Банка исполнить свои обязательства перед кредиторами, в том числе, Центральным Банком России, на сумму более 207 млн. руб.
По данному факту в отношении Мусина возбуждено уголовное дело по признакам преступления, предусмотренного ч. 2 ст. 201 УК РФ (злоупотребление полномочиями, повлекшее тяжкие последствия).
Ранее судом по ходатайству следователя в отношении Мусина избрана мера пресечения в виде заключения под стражу.
Проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1572079/,tatarstan,В Республике Татарстан бывший сотрудник исправительной колонии подозревается в получении взятки,['взятка'],31 Января 2024,"Следственными органами следственного комитета Российской Федерации по Республике Татарстан в отношении 42-летнего бывшего начальник центра трудовой адаптации осужденных ФКУ ИК-5 УФСИН России по РТ возбуждено уголовное дело по п. «в» ч. 5 ст. 290 УК РФ (получение взятки).
По версии следствия, в декабре 2018 года злоумышленник получил от предпринимателя в качестве взятки автомобиль Hyundai Creta во временное пользование, за общее покровительство, а также бездействие во взыскании задолженности с возглавляемого им предприятия перед исправительной колонией.
Противоправная деятельность была выявлена в ходе грамотно спланированных следственных действий и оперативно-розыскных мероприятий, проведенных сотрудниками СУ СКР по Республике Татарстан и УЭБиПК МВД по РТ.
Следует отметить, что ранее бывшему сотруднику колонии предъявлено обвинение в совершении преступлений, предусмотренных ч. 5 ст. 33, ч. 4 ст. 159 УК РФ (пособничество в мошенничестве), ч. 1 ст. 286 УК РФ (превышение служебных полномочий), п. «а» ч. 5 ст. 290 УК РФ (получение взятки). Судом по ходатайству следователя в отношении него избрана мера пресечения в виде заключения под стражу.
Проводятся следственные действия, направленные на установление всех обстоятельств произошедшего, а также дополнительных эпизодов преступной деятельности. Расследование уголовного дела продолжается."
/news/item/1823811/,tatarstan,В Республике Татарстан местный житель предстанет перед судом по обвинению в покушении на дачу взятки,"['взятка', 'покушение']",27 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан завершено расследование уголовного дела в отношении неоднократно привлекавшегося к уголовной ответственности 49-летнего местного жителя, обвиняемого в совершении преступления предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
По версии следствия, 11 июня 2023 года обвиняемый, находясь в состоянии алкогольного опьянения за рулем легкового автомобиля, на автодороге «Мамадыш-Тюлячи» был остановлен сотрудниками ОГИБДД ОМВД России по Мамадышскому району с целью проверки документов. Поскольку от мужчины исходил запах спиртного, он был препровожден в служебный автомобиль, где по результатам освидетельствования в отношении него был составлен административный протокол. На следующий день мужчина пришел в служебный кабинет начальника ОГИБДД и стал предлагать ему 50 тыс. рублей за уничтожение протокола об административном правонарушении. Несмотря на неоднократные предупреждения о противоправности таких действий, обвиняемый положил денежные средства в книгу, лежавшую на столе полицейского, после чего тот незамедлительно сообщил о произошедшем в дежурную часть.
Причастность к совершению преступления мужчина полностью признал. Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1846923/,tatarstan,В Республике Татарстан начальник подразделения Ростехнадзора обвиняется в получении взятки,['взятка'],18 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Республике Татарстан 59-летнему начальнику Межрегионального отдела государственного энергетического надзора и надзора за ГТС Приволжского управления Федеральной службы по экологическому, технологическому и атомному надзору предъявлено обвинение в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки).
По версии следствия, в 2023 году по указанию обвиняемого подчинённые при проведении проверок документации электролабораторий ряда фирм необоснованно отказывали в их регистрации и в выдаче соответствующих свидетельств. А в дальнейшем злоумышленник потребовал у представителя фирм передачи незаконного денежного вознаграждения в размере 160 тыс. рублей.
О противоправных действиях тот сообщил в правоохранительные органы и в результате грамотно планированных следственных действий и оперативно-розыскных мероприятий, проведенных совместно с УЭБиПК МВД по РТ, 5 декабря после получения денежных средств обвиняемый был задержан.
Судом по ходатайству следователя в отношении него избрана мера пресечения в виде домашнего ареста. Проводятся следственные действия, направленные на установление всех обстоятельств произошедшего, а также дополнительных эпизодов преступной деятельности."
