Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1427867/,tomsk,В Томске бывший начальник Департамента лесного хозяйства предстанет перед судом по обвинению в злоупотреблении должностными полномочиями и воспрепятствовании предпринимательской деятельности,[],18 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Томской области завершено расследование уголовного дела, возбужденного на основании материалов регионального УФСБ, по обвинению бывшего начальника Департамента лесного хозяйства Томской области в совершении преступлений, предусмотренных  ч.1 ст. 285 УК РФ (злоупотребление должностными полномочиями, то есть использование должностным лицом своих служебных полномочий вопреки интересам службы, если это деяние совершено из иной личной заинтересованности и повлекло существенное нарушение охраняемых законом интересов общества и государства) и ч. 1 ст. 169 УК РФ (воспрепятствование законной предпринимательской деятельности, а именно иное незаконное вмешательство в деятельность индивидуального предпринимателя и юридического лица, если это деяние совершено должностным лицом с использованием своего служебного положения).
По версии следствия, обвиняемый в 2017 году, злоупотребив своими должностными полномочиями, действуя незаконно, вопреки интересам службы, инициировал ведение режима ЧС на территории региона. В качестве подрядчика для проведения работ по уничтожению очагов сибирского шелкопряда он выбрал без проведения конкурсных процедур организацию, не имеющую сертификата на выполнение этих работ. При этом цена госконтракта была завышена на сумму более 13 миллионов рублей.
Кроме того,  при предоставлении лесных участков для заготовки древесины обвиняемый неоднократно завышал начальную цену предметов аукционов на право заключения договоров аренды этих участков с целью ограничения конкуренции и воспрепятствования участию в аукционах индивидуальным предпринимателям и юридическим лицам.
Обвиняемый виновным себя не признал. Избранная по ходатайству следственных органов мера пресечения в виде заключения под стражу изменена ему на подписку о невыезде.
В настоящее время расследование уголовного дела завершено, и материалы дела вместе с утвержденным прокурором обвинительным заключением направлены в суд для рассмотрения по существу."
/news/item/1743305/,tomsk,Задержанная по подозрению в злоупотреблении должностными полномочиями сотрудница Администрации Томского района заключена под домашний арест,['злоупотребление полномочиями'],17 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Томской области продолжается расследование уголовного дела, возбужденного на основании материалов УФСБ России по Томской области по ч.1 ст.285 УК РФ в отношении первого заместителя главы Томского района, в рамках которого задержана председатель комитета строительства, транспортной инфраструктуры и связи - заместитель начальника Управления территориального развития Администрации Томского района, ей предъявлено обвинение в совершении преступления, предусмотренного ч.1 ст.285 УК РФ (злоупотребление должностными полномочиями).
 
По предварительным данным, в декабре 2019 года между Управлением территориального развития Администрации Томского района (далее-Управление) и ООО «СпецМонтажСтрой» по результатам проведения конкурса был заключен муниципальный контракт на выполнение работ по строительству здания Корниловской средней общеобразовательной школы на 200 мест. В декабре того же года между Управлением и ООО «Строительная лаборатория» был заключен муниципальный контракт по осуществлению строительного контроля в отношении указанного объекта.
 
В ходе реализации строительного контроля в 2020 году ООО «Строительная лаборатория» направила в ООО «СпецСтройМонтаж» более двадцати предписаний об устранении выявленных нарушений, которые подрядчиком не были исправлены. В результате выполненные работы не соответствуют нормативным требованиям и проектной документации, элементы конструкции здания находятся в недопустимом техническом состоянии, что влечет опасность для пребывания людей в здании школы.
 
Зная об указанных обстоятельствах, обвиняемая и заместитель главы Томского района подписали счета на оплату, акты о приемке работ и справки о стоимости выполненных работ и затрат на общую сумму чуть менее 14 миллионов рублей, которые впоследствии были необоснованно перечислены на расчетный счет ООО «СпецМонтажСтрой».
 
По ходатайству следователя Кировский районный суд г. Томска избрал в отношении задержанной меру пресечения в виде заключения под домашний арест."
/news/item/1503903/,tomsk,"В Томской области возбуждено уголовное дело в отношении местного жителя, подозреваемого в посредничестве во взяточничестве в значительном размере",[],12 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Томской области на основании материалов регионального УФСБ  возбуждено уголовное дело в отношении жителя г.Стрежевой, подозреваемого в совершении преступления, предусмотренного ч.2 ст.2911 УК РФ (посредничество во взяточничестве в значительном размере за совершение заведомо незаконных действий).    
По предварительным данным, подозреваемый в сентябре 2020 года передал по просьбе своей коллеги сотруднику МО МВД России «Стрежевской» УМВД России по Томской области взятку в виде денег в общей сумме 100 тысяч рублей за подмену изъятых у её родственницы сотрудниками полиции запрещенных к обороту на территории Российской Федерации особо ценных видов рыб (породы осетровых) на иные виды (стерлядь) и непривлечение этой родственницы к уголовной ответственности.
Подозреваемому предъявлено обвинение в совершении преступления, предусмотренного ч.2 ст.2911 УК РФ, его коллеге – по ч.3 ст.291 УК РФ (дача взятки должностному лицу через посредника, в значительном размере, за совершение заведомо незаконных действий). Обвиняемые полностью признали себя виновными.
В отношении родственницы обвиняемой возбуждено уголовное дело по признакам преступления, предусмотренного ст.2581 УК РФ (незаконный оборот особо ценных водных биологических ресурсов, принадлежащих к видам, занесенным в Красную книгу РФ).
В настоящее время проводятся следственные действия, направленные на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1368771/,tomsk,В Томской области направлено в суд уголовное дело по обвинению предпринимательницы в получении коммерческого подкупа,[],12 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Томской области завершено расследование уголовного дела по обвинению директора коммерческой организации в совершении нескольких эпизодов преступлений, предусмотренных п. «в» ч.7 ст.204 УК РФ (получение коммерческого подкупа за незаконные действия), ч.1 ст.204.2 УК РФ (получение мелкого коммерческого подкупа).
Уголовное дело возбуждено на основании материалов ОЭБиПК УМВД России по ЗАТО г.Северск и УФСБ России по ЗАТО г.Северск.
По версии следствия, обвиняемая в период с 2012 по 2016 годы получала от различных лиц в качестве коммерческого подкупа денежные средства за содействие в оформлении разрешения на въезд на охраняемую территорию ЗАТО  Северск Томской области путем предоставления в режимно-секретный отдел Администрации ЗАТО  Северск заведомо подложных трудовых договоров, заключенных между коммерческой организацией, директором которой она является, и лицами, желающими въехать на закрытую территорию ЗАТО Северск.
В результате незаконных действий обвиняемой за указанный период десять человек получили в режимно-секретном отделе Администрации ЗАТО Северск Томской области разрешения без законных оснований на въезд на охраняемую территорию города. Общая сумма коммерческого подкупа составила более ста тысяч рублей.
В настоящее время расследование уголовного дела завершено, и материалы дела вместе с утвержденным прокурором обвинительным заключением в ближайшее время будут направлены в суд для рассмотрения по существу."
/news/item/1311638/,tomsk,В Томской области бывший директор Томского филиала ФГБУ «Рослесинфорг» предстанет перед судом по обвинению в получении взятки в значительном размере,[],11 Сентября 2023,"Следственными органами Следственного комитета Российской Федерации по Томской области завершено расследование уголовного дела, возбужденного на основании материалов регионального УФСБ России, по обвинению бывшего директора Томского филиала Федерального государственного бюджетного учреждение «Рослесинфорг» в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение должностным лицом через посредника взятки в виде денег в значительном размере за незаконные действия в пользу взяткодателя).
По версии следствия, обвиняемый, являясь директором Томского филиала ФГБУ «Рослесинфорг» (далее – Филиала учреждения), имеющего, помимо прочего, право проводить и участвовать в проведении экспертиз по вопросам лесного хозяйства, использования лесов и землеустройства, в 2017 году в ответ на обращение директора коммерческой организации с просьбой о проведении судебной экспертизы по арбитражному делу сотрудниками  Филиала учреждения, потребовал от него передать ему (обвиняемому) взятку в виде денег в сумме 100 тысяч рублей за проведение указанной экспертизы в короткие сроки и за оказание влияния на эксперта, которому он даст указание не включать в заключение допущенные взяткодателем нарушения Правил пожарной безопасности при выполнении его организацией работ в Бакчарском участковом лесничестве.
Получив согласие предпринимателя на передачу указанной суммы, обвиняемый поручил своему заместителю получить от взяткодателя оговоренную сумму и передать ему. Из полученных ста тысяч рублей обвиняемый пятьдесят тысяч отдал своему заместителю, выступившему посредником в получении взятки.
Во исполнение договоренности обвиняемый дал находящемуся в его подчинении эксперту незаконное указание не включать в заключение эксперта выявленные при проведении экспертизы нарушения Правил пожарной безопасности, допущенные коммерческой организацией при выполнении работы в Бакчарском участковом лесничестве. Впоследствии данное экспертное заключение было направлено в Арбитражный суд Томской области.
Обвиняемый находится под домашним арестом. В ходе следствия на его имущество наложен арест на сумму три миллиона рублей.
В настоящее время расследование уголовного дела завершено, и материалы дела с утвержденным прокурором обвинительным заключением направлены в суд для рассмотрения по существу."
/news/item/1119286/,tomsk,"В Томской области вынесен обвинительный приговор сотруднику регионального УМВД, признанному виновным в получении взятки в крупном размере",[],03 Августа 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Томской области  доказательства признаны судом достаточными для вынесения обвинительного приговора начальнику Управления экономической безопасности и противодействия коррупции УМВД России по Томской области, признанному виновным в совершении преступления, предусмотренного п.«в» ч.5 ст.290 УК РФ (получение должностным лицом лично взятки в крупном размере в виде иного имущества и незаконного оказания ему услуг имущественного характера за совершение действий в пользу взяткодателя и представляемых им лиц, если такие действия входят в служебные полномочия должностного лица и если оно в силу должностного положения может способствовать таким действиям, за общее покровительство и попустительство по службе, за незаконные действий и незаконное бездействие).
Уголовное дело было возбуждено на основании материалв проверки УФСБ России по Томской области.
Как установлено судом и следствием, в период с октября 2013 года по  декабрь 2015 года подсудимый лично получил от томского  предпринимателя  взятку частями в виде имущества, а именно:  три мобильных телефона марки iPhone 5S, дополнительное оборудование на автомобиль Toyota Highlander, незаконное оказание ему услуг имущественного характера в виде освобождения его (подсудимого) от обязанности по оплате  части денежных средств по договору купли-продажи указанного автомобиля и услуг по установке дополнительного оборудования на автомобиль Toyota Highlander и его техническому обслуживанию. Взятка на общую сумму 695 740 рублей была получена за обещание подсудимого не применять имеющиеся у него служебные полномочия в случае выявления преступлений и правонарушений, совершенных предпринимателем и  представляемыми им юридическими и физическими лицами, обеспечить соответствующие действия и бездействие подчиненных сотрудников  в ходе проведения налоговых, процессуальных проверок и расследования уголовного дела в отношении предпринимателя и представляемых им юридических и физических лиц, а также оказывать воздействие на руководство налоговых органов и предоставлять  информацию о ходе проведения указанных проверок и расследования уголовного дела.
 
В ходе предварительного и судебного следствия подсудимый виновным себя не признал. По ходатайству следователя он заключен судом под стражу и отстранен от занимаемой должности руководством регионального УМВД.
 
Расследованием уголовного дела занимался отдел по расследованию особо важных дел. Следствие велось в течение шести месяцев, два из которых обвиняемый и его защитники знакомились с материалами дела.  В процессе расследования было допрошено несколько десятков свидетелей, назначены и  проведены судебные экспертизы: фоноскопическая, автотехническая, почерковедческая, психофизиологические. Объем материалов уголовного дела составил 11 томов.
 
Приговором Томского областного суда подсудимый признан виновным в совершении инкриминируемых деяний и ему назначено наказание в виде 7,5 лет лишения свободы и штрафа в размере около семи миллионов рублей. Также он лишен права в течение двух лет занимать должности, связанные с осуществлением функций представителя власти в правоохранительных органах. Приговор в законную силу не вступил и может быть обжалован."
/news/item/1220442/,tomsk,"В Томской области экс-начальник регионального УМВД, обвиняемый  в получении взятки в особо крупном размере, злоупотреблении должностными полномочиями и мошенничестве, по ходатайству следователя помещен судом под домашний арест",[],27 Июля 2023,"Следственными органами Следственного комитета Российской Федерации по Томской области в рамках расследования уголовного дела по обвинению  бывшего начальника УМВД России по Томской области в совершении   преступлений,  предусмотренных ч.6 ст.290 УК РФ (получение должностным лицом лично взятки в особо крупном размере), ч.1 ст.285 УК РФ (злоупотребление должностными полномочиями) и ч.1 ст.159.2 УК РФ (мошенничество при получении выплат), представлено в суд ходатайство об избрании в отношении обвиняемого меры пресечения в виде домашнего ареста.
 
По версии следствия, обвиняемый, состоя в должности начальника УМВД России по Томской области, в период времени с мая 2011 года по апрель 2014 года получил от томского предпринимателя взятку частями в виде незаконного оказания им услуг имущественного характера близким родственникам и иному лицу на общую сумму более двух миллионов рублей, что является особо крупным размером.
 
Также он, получив от экс-начальника УЭБиПК УМВД России по Томской области информацию о незаконной банковской деятельности вышеуказанного предпринимателя, не организовал проверку полученных сведений.
 
Помимо этого, при увольнении из правоохранительных органов в марте 2017 обвиняемый при подаче заявления о назначении ему пенсии за выслугу лет, предоставил в отдел пенсионного обслуживания ЦФО УМВД России по Томской области заведомо ложные сведения о проживании в районе Томкой области, приравненном к крайнему северу, при этом фактически там не проживал. В результате  этих действий ему начислена пенсия с размером переплаты с учетом применения повышенного районного коэффициента (50%) в сумме более 180 тысяч рублей.
 
Суд, рассмотрев ходатайство следователя, удовлетворил его и избрал в отношении обвиняемого меру пресечения в виде домашнего ареста.
 
Расследование уголовного дела продолжается."
/news/item/1555653/,tomsk,В Томской области арбитражный управляющий коммерческой организации задержан по подозрению в получении коммерческого подкупа в крупном размере,[],25 Июля 2023,"Следственными органами Следственного комитета Российской Федерации по Томской области на основании материалов УЭБиПК УМВД России по Томской области возбуждено уголовное дело в отношении конкурсного управляющего томской коммерческой организации, подозреваемого в совершении преступления, предусмотренного п. «г» ч.7 ст.204 УК РФ (коммерческий подкуп в крупном размере).
По предварительным данным, 8 апреля 2021 года арбитражный управляющий одной из томских коммерческих организаций незаконно получил от директора частной охранной организации деньги в сумме 120 тысяч рублей, как часть ранее оговоренной суммы коммерческого подкупа в размере 350 тысяч рублей, за ускорение и способствование взысканию с коммерческой организации, в которой он выполнял  управленческие функции, задолженности в сумме 1 миллиона рублей перед данной охранной организацией.
Подозреваемый задержан сотрудниками полиции при содействии ОМОН Управления Росгвардии по Томской области. При допросе в качестве подозреваемого задержанный отказался от дачи показаний. Решается вопрос об избрании в отношении него меры пресечения.
В настоящее время проводятся следственные действия, направленные на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1648384/,tomsk,В Томской области исполнительный директор коммерческой организации признан судом виновным в получении коммерческого подкупа в особо крупном размере и хранении взрывных устройств,[],13 Июля 2023,"Собранные следственными органами  Следственного комитета Российской Федерации по Томской области доказательства признаны судом достаточными для вынесения обвинительного приговора исполнительному директору одной из коммерческих организаций, признанному виновным в совершении преступлений, предусмотренных  ч.8 ст.204 УК РФ (получение коммерческого подкупа в особо крупном размере) и ч.1 ст.2221 УК РФ (незаконное приобретение, хранение взрывных устройств).
Как установлено следствием и судом, подсудимый, являясь исполнительным директором одной из коммерческих организаций, занимающейся производством комплексных решений, предназначенных для обеспечения автоматизации технологических процессов в различных отраслях промышленности, в том числе на объектах трубопроводного транспорта нефти и нефтепродуктов, нефтегазовой промышленности, химических производств и энергетики, в период с 2016 года по 2021 год на систематической основе получал от индивидуального предпринимателя наличные денежные средства в качестве коммерческого подкупа за заключение с ним договора об оказании услуг по перевозке работников коммерческой организации. Общая сумма полученных за указанный период денежных средств составила более 1,4 миллионов рублей, что является особо крупным размером.
Помимо этого, подсудимый не позднее апреля 2021 года приобрел из неустановленного источника взрывные устройства (несколько боевых ручных гранат,  запалы к ним, тротиловые шашки), которые хранил в сейфе в служебном кабинете и которые были обнаружены и изъяты сотрудниками правоохранительных органов при производстве обыска.
Суд приговорил виновного к 8 годам лишения свободы с отбыванием наказания в исправительной колонии строгого режима со штрафом в размере 4,3 млн рублей, с лишением права занимать определенные должности сроком на 3 года. Приговор в законную силу не вступил и может быть обжалован."
/news/item/1611782/,tomsk,"В Томской области вынесен обвинительный приговор бывшему сотруднику мэрии Томска, признанному виновным в получении взяток в крупном и особо крупном размерах",['приговор'],03 Июля 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Томской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему заместителю мэра города Томска по безопасности и общим вопросам, признанному виновным в совершении преступлений, предусмотренных п.«в» ч.5 ст.290 УК РФ (получение должностным лицом лично взятки в виде иного имущества в крупном размере) и ч.6 ст.290 УК РФ (получение должностным лицом лично взятки в виде иного имущества и незаконного оказания ему услуг имущественного характера в особо крупном размере).
Уголовные дела возбуждены на основании материалов УФСБ России по Томской области.
Как установлено судом и следствием, подсудимый в период с 2016 по 2020 годы лично получил от двух граждан взятки в крупном и особо крупном размере в виде иного имущества (строительных материалов) и незаконного оказания ему услуг имущественного характера в виде выполнения работ по строительству дома и придомовых построек в Томском районе Томской области,  за общее покровительство по службе, за способствование в силу должностного положения в совершении действий иными должностными лицами в интересах представляемых взяткодателями двух коммерческих организаций. Общая сумма взяток составила более 3,5 миллионов рублей.
Приговором Томского районного суда Томской области подсудимый признан виновным в совершении инкриминируемого деяния и ему назначено наказание в виде четырех лет лишения свободы с отбыванием наказания в колонии строгого режима и штрафа в размере семи миллионов рублей с лишением права занимать должности в государственных и муниципальных учреждениях, связанные с выполнением организационно-распорядительных полномочий сроком на четыре года. Приговор в законную силу не вступил."
