Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1140415/,tuva,В Республике Тыва сотрудник ДПС ОГИБДД подозревается в получении взятки,[],03 Мая 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Тыва в отношении 28-летнего инспектора дорожно-патрульной службы ОГИБДД УМВД по городу Кызылу возбуждено уголовное дело. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконное действие (бездействие).
По версии следствия, 24 апреля 2015 года около 22 часов инспектор дорожно-патрульной службы, с целью личного обогащения, лично получил от гражданина, действовавшего в рамках оперативно-розыскного мероприятия, взятку в виде денег в размере 24 тысяч рублей, за незаконное бездействие, выраженное в не возбуждении в отношении гражданина дел об административном правонарушении и незаконного освобождения от административной ответственности. Подозреваемый был задержан с поличным при получении взятки сотрудниками отдела собственной безопасности регионального МВД.
В настоящее время проводится комплекс необходимых следственных действий, направленных на установление всех фактических обстоятельств. Расследование уголовного дела продолжается"
/news/item/1185002/,tuva,В следственном управлении подвели итоги детского конкурса рисунков на тему противодействия коррупции,"['дети', 'коррупция', 'противодействие']",23 Апреля 2024,"В следственном управлении Следственного комитета Российской Федерации по Республике Тыва подведены итоги регионального этапа конкурса детского творчества, организованного Следственным комитетом Российской Федерации к Международному дню борьбы с коррупцией. Лучшие работы будут представлены на финальном этапе в Москве, в Следственном комитете России 
Участниками конкурса стали 6 детей сотрудников в возрастных категориях от 6 до 11 лет и от 12 до 14 лет включительно. Дети представили свои творческие работы- рисунки, выполненные в различных техниках на заданную тему борьбы с коррупцией. Ребята творчески отнеслись к поставленной задаче 
Все работы были рассмотрены комиссией, которая оценила представленные работы на соответствие заявленной теме и ее актуальности, техники исполнения, оригинальности композиционного и цветового решения, замыслу и подходу к выполнению творческого задания. Члены комиссии отметили, что все рисунки выполнены на достойном уровне и со знанием проблемы 
По итогам конкурса две творческие работы Валерии Хумбун и Айко Оюн уже направлены в Москву на финальный этап, где представители Следственного комитета России отберут лучшие работы. Все дети, принявшие активное участие в конкурсе, были поощрены призами"
/news/item/1365950/,tuva,В Республике Тыва бывший работник бюджетного учреждения здравоохранения признана виновной в совершении мошенничества,"['коррупция', 'мошенничество', 'приговор']",09 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Тыва доказательства признаны достаточными для вынесения приговора 50-летней бывшей исполняющей обязанности начальника отдела организации лекарственного обеспечения ГБУЗ «Медицинский информационно-аналитический центр Республики Тыва» Айлан Ховалыг. Она признана виновной в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана, совершенное лицом с использованием своего служебного положения, в крупном размере). 
Следствием и судом установлено, что Ховалыг в силу занимаемой должности знала о заключенном в апреле 2018 года между министерством здравоохранения республики (заказчиком) и индивидуальным предпринимателем (исполнителем) государственном контракте на приемку от поставщиков, контроль качества, хранение, учет, доставку и отпуск медицинским организациям лекарственных препаратов, медицинских изделий и специализированных продуктов лечебного питания. Будучи осведомленной о поступлении на счета исполнителя денежных средств в счет оплаты по государственному контракту, женщина с целью хищения в ходе личной встречи с индивидуальным предпринимателем путем обмана, преувеличивая свою роль в проведении электронного аукциона, пообещав дальнейшее покровительство при исполнении государственного контракта, а также ссылаясь на свои полномочия, якобы позволяющие прекратить или приостановить финансирование оплаты по контракту, потребовала от потерпевшей передачи несколькими частями 500 000 рублей от суммы контракта. 
Получив через несколько дней от находящейся в заблуждении потерпевшей первую сумму в размере 70 000 рублей Ховалыг распорядилась ими по собственному усмотрению. Всего в период с июля по сентябрь 2018 года путем неоднократных телефонных звонков и смс-сообщений, высказывая угрозы прекращения якобы оказываемого покровительства, осужденная добилась передачи 295 тысяч рублей, из которых 170 тысячами рублей распорядилась по собственному усмотрению, а в момент передачи 125 тысяч рублей была задержана сотрудниками правоохранительных органов в рамках оперативно-разыскного мероприятия. 
Приговором суда Ховалыг назначено наказание в виде лишения свободы сроком на два года, со штрафом в размере 30 000 рублей, с лишением права занимать должности, связанные с осуществлением организационно-распорядительных, административно-хозяйственных функций в органах государственной власти и местного самоуправления, государственных и муниципальных учреждениях и предприятиях на 2 года. Наказание в виде лишения свободы Ховалыг будет отбывать условно. Приговор суда вступил в законную силу."
/news/item/1192017/,tuva,В Республике Тыва бывший главный врач учреждения предстанет перед судом за совершение мошенничества,"['злоупотребление', 'коррупция', 'мошенничество']",01 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Тыва завершено расследование уголовного дела по обвинению 38-летней бывшей главного врача ГБУЗ Республики Тыва «Тоджинская центральная кожуунная больница» в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, то есть хищение чужого имущества путем обмана и злоупотребления доверия, совершенное с использованием служебного положения)
По версии следствия, в декабре 2016- январе 2017 года обвиняемая, занимая должность главного врача, используя свое должностное положение руководителя учреждения здравоохранения, с целью незаконного материального обогащения своей родственницы, издала не соответствующий действительности приказ о расторжении трудового договора с сотрудницей из числа младшего медицинского персонала и приеме на работу своей родственницы. После этого 17 января 2017 года на имя фактически не работающей родственницы обвиняемой был выписан листок нетрудоспособности об освобождении от работы в период с 17 февраля по 15 июня 2017 года, на основании которого на ее имя было перечислено пособие по беременности и родам в размере 51 781, 80 рублей, которыми последняя распорядилась по собственному усмотрению. Таким образом, в результате противоправных действий обвиняемой был причинен ущерб ГБУЗ Республики Тыва Тоджинская ЦКБ на указанную сумму
Следствием собрана достаточная доказательственная база, уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу"
/news/item/1687172/,tuva,В Республике Тыва местная жительница предстанет перед судом за посредничество во взяточничестве в крупном размере,"['взятка', 'посредничество']",16 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Тыва завершено расследование уголовного дела по обвинению 37-летней местной жительницы в совершении преступления, предусмотренного п. «б» ч. 3 ст. 291.1 УК РФ (посредничество во взяточничестве, совершенное в крупном размере).
По версии следствия, обвиняемая в период с октября 2020 по март 2021г., действуя в интересах взяткополучателя – бывшего заместителя начальника следственного управления МВД по республике, посредством мобильного приложения и банкомата осуществила перевод денежных средств на сумму свыше 100 тыс.рублей в пользу последней. В марте 2021 г. обвиняемая организовала встречу между взяткодателем и взяткополучателем для передачи взятки в размере 60 тыс.рублей за способствование в трудоустройстве. В общей сложности обвиняемая непосредственно передала и способствовала в передаче денежных средств на общую сумму 200 тыс.рублей.
Следствием собрана достаточная доказательственная база, уголовное дело направлено в суд для рассмотрения по существу.
Уголовное дело в отношении взяткополучателя – бывшего заместителя начальника следственного управления МВД по республике ранее также направлено в суд для рассмотрения по существу. Противоправная деятельность обвиняемых была пресечена оперативными сотрудниками ФСБ и МВД по Республике Тыва в ходе оперативно-разыскных мероприятий."
/news/item/1140409/,tuva,В Республике Тыва инспектор ДПС подозревается в получении взятки,[],02 Февраля 2024,"10 ноября 2014 года в правоохранительные органы Барун-Хемчикского района республики поступило заявление местной жительницы о том, что сотрудник ДПС 08 ноября 2014 года требовал у нее деньги в размере 10 тысяч рублей. По данному факту следственными органами Следственного комитета Российской Федерации по Республике Тыва возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконное действие (бездействие).
По версии следствия 08 ноября 2014 года в служебном кабинете инспектор ДПС ОГИБДД МО МВД РФ «Барун-Хемчикский» потребовал у заявительницы взятку в виде денег в размере 10 тысяч рублей за не привлечение ее к административной ответственности за управление транспортным средством водителем, находящимся в состоянии опьянения. 10 ноября 2014 года подозреваемый лично получил денежные средства у заявительницы, после чего был задержан с поличным сотрудниками регионального МВД.    
В настоящее время проводится комплекс необходимых следственных действий, направленный на закрепление доказательственной базы. Расследование уголовного дела продолжается"
/news/item/1140396/,tuva,В Республике Тыва главный врач учреждения здравоохранения подозревается в злоупотреблении должностными полномочиями,[],02 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Тыва в отношении главного врача Государственного бюджетного учреждения здравоохранения Республики Тыва «Республиканская консультативно-диагностическая поликлиника»  возбуждено уголовное дело. Она подозревается в совершении преступления, предусмотренного ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
По версии следствия в период с 2009 по 2011 годы подозреваемая незаконно подписывала документы, содержащие не соответствующие действительности сведения об оказании гражданам лечебно-профилактической медицинской помощи, которая фактически гражданам не оказывалась, после чего предъявляла их на оплату. На основании указанных документов на счет медицинского учреждения из средств территориального фонда медицинского страхования были неправоверно перечислены денежные средства на общую сумму свыше 400 тысяч рублей.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1830790/,tuva,В Республике Тыва бывшему министру лесного хозяйства и природопользования предъявлено обвинение по новому эпизоду преступной деятельности,['взятка'],10 Января 2024,"Фото СУ СК России по Республике Тыва             

Следователем следственного управления СК России по Республике Тыва в отношении бывшего министра лесного хозяйства и природопользования возбуждено второе уголовное дело в связи с наличием в его действиях признаков преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом через посредника взятки в виде денег, за совершение действий в пользу взяткодателя, если указанные действия входят в служебные полномочия должностного лица либо если оно в силу должностного положения может способствовать указанным действиям, в крупном размере).
По версии следствия, в феврале-марте 2022 года бывший министр, являясь должностным лицом, через посредника во взяточничестве получил взятку от представителей автономного учреждения в размере 500 000 рублей за общее покровительство в пользу автономного учреждения, на которое распространялись его контрольные и организационно–распорядительные функции. Противоправная деятельность бывшего чиновника выявлена оперативными сотрудниками УФСБ по Республике Тыва.
В настоящее время обвиняемому предъявлено обвинение, судом по ходатайству следователя в отношении него избрана мера пресечения в виде заключения под стражу. Расследование продолжается."
/news/item/1844922/,tuva,Состоялась совместная пресс-конференция руководителей правоохранительных органов по вопросам противодействия коррупции,['мероприятия'],28 Декабря 2023,"Фото СУ СК России по Республике Тыва             

В работе пресс-конференции приняли участие руководитель следственного управления Следственного комитета Российской Федерации по Республике Тыва Константин Владимирович Столбин, прокурор Республики Тыва Сергей Николаевич Дябкин, и.о. министра внутренних дел Республики Тыва Кежватов Алексей Андреевич, журналисты информационных агентств, региональных печатных и электронных средств массовой информации.
Отвечая на вопросы журналистов руководитель следственного управления СК России по Республике Тыва Константин Владимирович Столбин отметил, что в истекшем периоде 2023 года на территории республики изменений по видам коррупционных преступлений по уголовным делам, расследованным следователями следственного управления, не отмечается: как и ранее, основными остаются мошенничество и взяточничество, а также хищения бюджетных средств, при это последние совершаются в сфере исполнения контрактов и договоров для государственных и муниципальных нужд. До сведения общественности доведено, что в истекшем периоде текущего года следователями следственного управления возбуждено и расследовано 24 (АППГ–25) уголовных дел, в том числе по фактам мошенничества 5 (АППГ–3), по фактам взяточничества – 16 (АППГ–11). В том же периоде в суды республики направлено 19 (АППГ–23).чая
Особое внимание следственным управлением уделяется вопросу возмещения причиненного коррупционными преступлениями ущерба. Руководителем ведомства отмечено, что общая сумма причиненного ущерба преступлениями коррупционного характера по сравнению с аналогичным периодом прошлого года увеличилась и составила 7 199 (АППГ – 5 887) тыс.рублей. Так, по уголовному делу, в настоящее время рассматриваемому судом, по обвинению бывшего председателя администрации города Ак-Довурака Республики Тыва и генерального директора коммерческого предприятия, совместными действиями которых причинен ущерб на сумму 4 256 тыс.рублей, для обеспечения исполнения приговора в части гражданского иска, взыскания штрафа, других имущественных взысканий или возможной конфискации имущества обеспечено наложение ареста на имущество обвиняемых на общую сумму свыше 5 300 тыс.рублей.
Следователями следственного управления в целях возмещения ущерба активно используются предусмотренные законом меры по наложению ареста на имущество обвиняемых, в том числе оформленное для сокрытия на родственников и иных лиц. Так, за 9 месяцев 2023 года наложен арест на имущество обвиняемых по коррупционным уголовным делам на сумму 46 395 тыс.рублей (АППГ – 35 970 тыс.рублей).
Руководитель следственного управления ответил на все интересующие вопросы журналистов о результатах, стадиях расследования резонансных коррупционных уголовных дел. В частности, руководитель напомнил, что следователями следственного управления направлены в суды республики для рассмотрения по существу уголовные дела по обвинению бывшего председателя Госкомитета по лесному хозяйству Республики Тыва и его «контрагентов: двух взяткодателей и посредника во взяточничестве. К уголовной ответственности привлечены председатели администраций города Ак-Довурак,  Дзун-Хемчикского района и бывший заместитель председателя администрации Тес-Хемского района, уголовные дела также рассматриваются судом.
Отдельно отмечено, что следователями следственного управления при расследовании уголовных дел о хищениях бюджетных средств подрядчиками или поставщиками, дается принципиальная оценка действиям (бездействию) должностных лиц, недобросовестное и халатное отношение к служебным обязанностям которых позволяет хозяйствующим субъектам похищать бюджетные средства. Так, в анализируемом периоде привлечены к уголовной ответственности за превышение должностных полномочий и халатность бывший министр сельского хозяйства республики и его коллега – исполняющая обязанности министра, по вине которых необоснованно были перечислены бюджетные средства на сумму 17,5 млн.рублей.   
Необходимо отметить, что борьба с коррупцией – это многогранный процесс, требующий усилий не только правоохранительных, контролирующих, надзорных органов, но и активного участия гражданского общества. Одним из важнейших элементов механизма противодействия коррупции является формирование у населения системы взглядов, включающих нетерпимость к коррупционным проявлениям и понимание отрицательного воздействия коррупции на развитие российского общества в целом.
Руководитель следственного управления отметил, что ведомство всегда открыто для жителей республики и предлагает принять активное участие в борьбе с коррупцией посредством направления сообщений об известных фактах дачи, получения и вымогательства взятки, злоупотребления и превышения должностных полномочий, незаконном участии должностных лиц в предпринимательской и коммерческой деятельности или иных проявлениях коррупции со стороны должностных лиц органов власти и правопорядка. Каждое такое обращение будет тщательно рассмотрено с проверкой всех доводов и принятием решения в строгом соответствии с законом. Предоставленная гражданами информация позволит оперативно пресечь совершаемые преступления и привлечь к ответственности виновных лиц.
Такое обращение может быть направлено посредством Интернет-приёмной на официальном сайте следственного управления tuva.sledcom.ru. Обо всех фактах коррупционных проявлений также можно сообщить путем обращения в СУ СК России по Республике Тыва, расположенного по адресу: 667011, Республика Тыва, г. Кызыл, ул. Бай-Хаакская, д. 3, а также по телефону доверия: 8(39422) 6-37-33 (функционирует круглосуточно)."
/news/item/1260834/,tuva,"В Республике Тыва бывший председатель районной администрации признан виновным в превышении должностных полномочий, повлекших причинение материального ущерба в особо крупном размере","['коррупция', 'превышение полномочий', 'приговор', 'чиновник']",08 Декабря 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Тыва доказательства признаны достаточными для вынесения приговора 55-летнему бывшему председателю районной администрации республики, которому предъявлено обвинение в совершении преступления, предусмотренного п. «в» ч. 3 ст. 286 УК РФ (превышение должностных полномочий, повлекших причинение тяжких последствий) 
Следствием и судом установлено, что в ноябре 2014 года осужденный, являясь председателем муниципального района, выступая в качестве заказчика, заключил с подрядчиком- обществом с ограниченной ответственностью «Титан РТ» в лице его генерального директора два муниципальных контракта стоимостью 12 017 400 рублей и 8 710 300 рублей соответственно, на выполнение аварийно-восстановительных работ на 25 объектах города Шагонар Республики Тыва, со сроком исполнения к 15 декабря 2014 года 
В декабре 2014 года, осужденный, явно превышая свои полномочия, заключил с подрядчиком дополнительные соглашения к муниципальным контрактам, согласно которым срок исполнения контрактов был продлен, а затем под видом авансирования подписал платежные поручения, на основании которых на счета ООО «Титан РТ» необоснованно перечислены бюджетные средства на общую сумму 20 727 700 рублей 
Между тем, подрядчиком аварийно-восстановительные работы ни на одном объекте не были выполнены в полном объеме. Более того, генеральный директор ООО «Титан РТ» похитил денежные средства в размере 20 727 700 рублей, которыми впоследствии распорядился по своему усмотрению, тем самым причинив администрации муниципального района материальный ущерб на указанную сумму 
Согласно заключению судебной строительно-технической экспертизы объем выполненных ООО «Титан РТ» работ по объектам, заявленный в документации, не соответствует фактически выполненным объемам, стоимость выполненных работ, отраженных в формах КС-2 и КС-3, не соответствует фактически выполненным объемам, а их качество не соответствует нормативным требованиям в области строительства. Преступление выявлено в ходе оперативно-розыскных мероприятий, проведенных сотрудниками УФСБ России по Республике Тыва 
Приговором суда бывшему председателю администрации муниципального района назначено наказание в пяти лет лишения свободы с лишением права занимать должности, связанные с выполнением организационно-распорядительных и административно-хозяйственных полномочий на государственной службе и в органах местного самоуправления сроком на два года. Наказание в виде лишения свободы назначено условно, с испытательным сроком на пять лет"
