Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1603295/,udm,"В Ижевске завершено расследование уголовного дела в отношении местной жительницы, обвиняемой в даче мелкой взятки судебному приставу-исполнителю",[],10 Апреля 2024,"Следственным отделом по Первомайскому району г. Ижевска     следственного управления СК России по Удмуртской Республике завершено расследование уголовного дела в отношении 36-летней жительницы г. Ижевска, обвиняемой в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (Мелкое взяточничество).  
Следствием установлено, что в отношении обвиняемой заведено исполнительное производство по судебному решению о взыскании задолженности перед банками. Желая уклониться от ее погашения, женщина перечислила судебному приставу – исполнителю посредством он-лайн – перевода на ее телефонный номер деньги в сумме 500 руб. с просьбой не направлять исполнительное производство для дальнейшего исполнения в другой территориальный отдел службы судебных приставов. Судебный пристав-исполнитель сообщила об указанных неправомерных действиях своему руководству.
В ходе расследования уголовного дела обвиняемая признала вину в совершенном преступлении. Уголовное дело направлено прокурору для решения вопроса об утверждении обвинительного заключения. За совершенное преступление предусмотрено наказание в виде штрафа до двухсот тысяч рублей, либо лишения свободы на срок до одного года."
/news/item/1237334/,udm,"В с. Якшур-Бодья перед судом предстанет житель г. Можга, обвиняемый в даче взятки",[],08 Апреля 2024,"Октябрьским межрайонным следственным отделом следственного управления  СК России по Удмуртской Республике завершено расследование уголовного дела в отношении  43-летнего предпринимателя из г. Можга. Мужчина обвиняется в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По данным следствия, мужчина занимался коммерческой деятельностью в сфере продажи  бытовой техники и электроники, неоднократно приезжал в с. Якшур-Бодья  в служебные командировки. 7 мая текущего года  сотрудники полиции начали проверку по факту обнаружения в магазине обвиняемого, находившемся в с. Якшур-Бодья, растений, предположительно являющихся  сырьем для производства наркотических средств. Обвиняемый решил дать взятку сотрудникам полиции, чтобы избежать дальнейшего разбирательства. С этой целью он  попытался передать заместителю начальника отдела полиции принтер. При совершении данных неправомерных действий мужчина был задержан сотрудниками полиции.
В рамках расследования уголовного дела произведён осмотр места происшествия, изъят предмет взятки – принтер, допрошены свидетели. Уголовное дело направлено в суд с обвинительным заключением. За совершенное преступление предусмотрено наказание до одного года лишения свободы."
/news/item/1005539/,udm,В Удмуртской Республике помощник начальника медсанчасти республиканского МВД подозревается в получении взятки,[],15 Февраля 2024,"Следственным отделом по Первомайскому району г. Ижевска следственного управления СК РФ по Удмуртской Республике возбуждено уголовное дело в отношении помощника начальника ФКУЗ «Медико-санитарная часть Министерства внутренних дел Российской Федерации по Удмуртской Республике» 38-летнего Данила Мардашова. Он подозревается в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки).
По версии следствия, Мардашов по роду служебного положения выполнял функции в сфере хозяйственной деятельности медсанчасти, в том числе связанные с подготовкой и исполнением контрактов, контроль и приемку выполненных по контрактам работ.
В соответствии с заключенным контрактом ООО «Ленгус» в декабре 2015 года выполнило работы по установке пластиковых окон в здании, занимаемом медсанчастью.
По завершению работ Мардашов потребовал у представителя коммерческой организации деньги в сумме 7 000 рублей за содействие в подписании актов выполненных работ, дальнейшее общее покровительство и победу в аукционах по заключению контрактов.
О противоправных действиях помощника начальника медсанчасти предприниматель сообщил в органы внутренних дел, после чего все дальнейшие действия проходили под контролем оперативных служб. Вечером 12 января 2016 года Мардашов при получении взятки в сумме 7 тысяч рублей был задержан.
В настоящее время он заключен под стражу в порядке ст. 91 УПК РФ.
Расследование уголовного дела продолжается, проводятся следственные действия, направленные на установление всех обстоятельств произошедшего."
/news/item/1432598/,udm,"В г. Сарапуле перед судом предстанет мужчина, обвиняемый в даче взятки главе муниципального образования",[],19 Января 2024,"Сарапульским межрайонным следственным отделом следственного управления СК России по Удмуртской Республике завершено расследование уголовного дела в отношении 60-летнего мужчины, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки).
           По данным следствия, обвиняемый на протяжении нескольких лет арендовал земельный участок в Сарапульском районе. В связи с вынесением незадолго до этого судебного  решения о приведении участка в соответствие с предъявляемыми требованиями, мужчина  решил  дать взятку главе муниципального образования, на территории которого он находится, за изготовление документа, подтверждающего надлежащее состояние земли. После того, как обвиняемый обратился к главе муниципального  образования, тот сообщил о факте склонения к совершению коррупционного преступления в правоохранительные органы. В конце ноября 2019 года при передаче денег в сумме 30 тысяч рублей взяткодатель был задержан сотрудниками УФСБ России по Удмуртской Республике.
         В ходе следствия мужчина признал вину в совершенном преступлении в полном объеме, по ходатайству следователя судом в отношении него избрана мера пресечения в виде домашнего ареста, наложен арест на его имущество.
         Уголовное дело с обвинительным заключением направлено прокурору. За совершенное преступление предусмотрено наказание в виде штрафа в размере до 1,5 млн. рублей либо лишения свободы на срок до 8 лет со штрафом в размере до тридцатикратной суммы взятки."
/news/item/1777839/,udm,В Кизнере арестован бывший руководитель районного информационно-технического центра,"['взятка', 'деньги', 'коррупция', 'чиновник']",28 Декабря 2023,"Можгинским межрайонным следственным отделом следственного управления СК России по Удмуртской Республике расследуется уголовное дело в отношении 36-летнего бывшего руководителя муниципального автономного учреждения образования «Кизнерский районный информационно-технический центр», обвиняемого в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки должностным лицом за совершение действий в пользу взяткодателя, совершенное в особо крупном размере).
По данным следствия, обвиняемый, используя свои должностные полномочия, в период с 2011 по 2021 год получил от индивидуального предпринимателя денежные средства на общую сумму более 1,8 млн рублей за способствование в заключении договоров на поставку компьютерной техники образовательным учреждениям.
По ходатайству следователя судом в отношении обвиняемого избрана мера пресечения в виде заключения под стражу."
/news/item/1775591/,udm,В Удмуртской Республике директор одного из бюджетных учреждений предстанет перед судом,"['взятка', 'злоупотребление полномочиями']",27 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Удмуртской Республике завершено расследование уголовного дела в отношении 56-летнего директора одного из бюджетных учреждений, обвиняемого в совершении 5 эпизодов преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки за незаконное действие), а также преступления, предусмотренного ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).Следствием установлено, что в период с 2020 года по 2022 год обвиняемый предоставил директору одной из коммерческих организаций информацию о планируемых к заключению контрактах на поставку автозапчастей, а также за денежное вознаграждение предложил организации предоставить в адрес бюджетного учреждения коммерческое предложение с завышенной ценой, в т.ч. от иных организаций, обеспечив впоследствии заключение контракта с указанной организацией.Общая сумма незаконно полученного денежного вознаграждения составила более 280 тыс. рублей.Преступная деятельность директора бюджетного учреждения пресечена в результате совместных мероприятий, проведенных следователями следственного управления и регионального ФСБ.В ходе расследования уголовного дела выполнен значительный объем следственных действий, направленных на установление обстоятельств совершенных преступлений, в т.ч. наложен арест на имущество обвиняемого.Уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд."
/news/item/1824133/,udm,Житель Малопургинского района предстанет перед судом по обвинению в покушении на дачу взятки,"['взятка', 'деньги', 'коррупция', 'собранные доказательства', 'суд']",22 Декабря 2023,"Завьяловским межрайонным следственным отделом следственного управления СК России по Удмуртской Республике завершено расследование  уголовного дела в отношении 40-летнего жителя деревни Пытцам Малопургинского района. Мужчина обвиняется в совершении  преступления, предусмотренного  ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
По данным следствия, 18 августа 2023 года в вечернее время в полицию поступило сообщение от граждан о том, что по территории села Малая Пурга передвигается легковой автомобиль под управлением водителя, предположительно находящегося в нетрезвом состоянии.
При проверке сообщения сотрудниками Росгвардии данные обстоятельства подтвердились. В автомобиле обнаружен обвиняемый с признаками алкогольного опьянения. Желая избежать административной ответственности и лишения права управления транспортным средством, он  предложил сотруднику полиции за незаконное денежное вознаграждение в размере 90 тыс. рублей не составлять протокол об административном правонарушении, положив денежные средства на переднее сиденье патрульного автомобиля. В этот момент его противоправные действия были пресечены сотрудниками полиции.
С учетом собранной доказательственной базы уголовное дело направлено в суд с обвинительным заключением. За совершение данного преступления предусмотрено наказание до 8 лет лишения свободы."
/news/item/1551636/,udm,В с. Дебесы возбуждено уголовное дело о попытке дачи взятки инспектору ГИБДД,[],04 Декабря 2023,"Балезинским межрайонным следственным отделом следственного управления СК России по Удмуртской Республике возбуждено уголовное дело в отношении 27-летнего жителя Шарканского района, обвиняемого в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По данным следствия, 20 марта 2021 года автомобиль под управлением обвиняемого во время следования по автодороге Шаркан-Дебесы был остановлен сотрудниками ГИБДД. Обвиняемый, не закончивший к тому моменту обучение в автошколе, находился за рулем без водительского удостоверения.  В связи с этим полицейские приступили к оформлению протокола об административном правонарушении, предусмотренном ч. 1 ст. 12.7 КоАП РФ (управление транспортным средством водителем, не имеющим права управления транспортным средством). Желая избежать привлечения к административной ответственности, обвиняемый подошел к инспектору ДПС и попытался положить в карман его форменной куртки деньги в сумме 10 000 рублей. При этом он был задержан полицейскими.
         В рамках расследования уголовного дела проведен осмотр места происшествия, изъяты деньги, явившиеся предметом взятки, допрошены свидетели, проведена проверка показаний обвиняемого на месте. Расследование уголовного дела продолжается. Проводятся мероприятия, направленные на установление всех обстоятельств совершенного преступления."
/news/item/1592844/,udm,В Ижевске осуждена бывшая заведующая складом республиканской клинической психиатрической больницы за получение взяток,[],28 Ноября 2023,"Собранные следственным отделом по Индустриальному району г. Ижевска следственного управления СК России по Удмуртской Республике доказательства признаны судом достаточными для вынесения приговора в отношении бывшей заведующей продовольственным складом Бюджетного учреждения здравоохранения и судебно-психиатрических экспертиз Удмуртской Республики «Республиканская клиническая психиатрическая больница Министерства здравоохранения Удмуртской Республики». Она признана виновной в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки).
Следствием и судом установлено, что в 2016 – 2018 г.г. осужденная неоднократно лично получала от представителя индивидуального предпринимателя взятки за беспрепятственную приемку поставляемых продуктов питания, не соответствующих условиям государственного контракта. Общий размер незаконно полученных ею денежных средств составил более 95 тыс. руб.
Приговором суда женщине назначено наказание виде лишения свободы сроком на 3 года 6 месяцев с испытательным сроком на 2 года, со штрафом в размере 60 000 руб., с лишением права занимать должности государственной гражданской службы, связанные с осуществлением административно-хозяйственных функций, сроком на 3 года."
/news/item/1263904/,udm,В Можгинском районе директор школы осужден за получение взяток,[],27 Октября 2023,"Собранные Можгинским межрайонным следственным отделом следственного управления СК России по Удмуртской Республике доказательства признаны судом достаточными для вынесения приговора в отношении 50-летнего жителя Можгинского района. Он признан виновным в совершении нескольких преступлений, предусмотренных ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
Как установлено следствием и судом, осужденный занимал должность директора районной средней образовательной школы. Он  неоднократно получал взятки в виде денежных средств на суммы, не превышающие 10 тысяч рублей, за предоставление в аренду помещения школьной столовой для проведения различных увеселительных мероприятий. Полученные суммы директор присваивал.
Приговором суда он признан виновным в совершенных преступлениях, ему назначено наказание в виде штрафа в размере 10 тысяч рублей."
