Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1391446/,ulyanovsk,В Ульяновской области сотрудница системы исполнения наказаний подозревается в присвоении денежных средств,['присвоение'],09 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Ульяновской области возбуждено уголовное дело в отношении главного бухгалтера ФКУ КП-5 УФСИН РФ по Ульяновской области, подозреваемой в совершении преступления, предусмотренного ч. 3 ст. 160 УК РФ (присвоение чужого имущества с использованием своего служебного положения).
По данным следствия, с мая 2018 года по август 2019 года главный бухгалтер «Колонии-поселения №5» незаконно совершала перечисления денежных средств себе на личный расчетный счет. Всего ей удалось присвоить более 470 тысяч рублей.
Пресечена преступная деятельность злоумышленницы в результате совместных мероприятий органов Следственного комитета и подразделения собственной безопасности УФСИН, а также Управления ФСБ России по Ульяновской области.
В настоящее время проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления, изъята соответствующая документация, назначены необходимые экспертные исследования. Расследование уголовного дела продолжается."
/news/item/1370263/,ulyanovsk,"В Ульяновске экс-сотрудник системы исполнения наказаний  обвиняется в получении взятки, незаконном обороте наркотиков и других преступлениях","['взятка', 'коррупция', 'наркотики', 'чиновник']",14 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Ульяновской области завершено расследование уголовного дела в отношении 32-летнего бывшего младшего инспектора группы надзора отдела безопасности ФКУ ИК-9 УФСИН России по Ульяновской области, обвиняемого в совершении преступлений, предусмотренных ч.1 ст. 285 УК РФ (злоупотребление служебными полномочиями), ч.3 ст.290 УК РФ (получение должностным лицом взятки на незаконные действия), ч. 5 ст. 33 ч. 3 ст. 30 ч. 1 ст. 228 УК РФ (пособничество в покушении на незаконное приобретение наркотических средств в значительном размере), ч.1 ст.174.1 УК РФ (легализация денежных средств, приобретенных лицом в результате совершения им преступления).
По данным следствия, в феврале 2019 года обвиняемый за взятку в размере 30 тысяч рублей пронес на территорию ИК №9 для заключенных 10 сотовых телефонов.
Также установлено, что 26 февраля 2019 года обвиняемый, договорившись за вознаграждение в размере 25 тысяч рублей с одним из заключенных, приобрел для него наркотическое средство «гашиш», однако был задержан при передаче наркотика.
Пресечена преступная деятельность злоумышленника в результате совместных мероприятий органов Следственного комитета и подразделения собственной безопасности УФСИН по Ульяновской области.
Следователем собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1829202/,ulyanovsk,В Ульяновске бывший первый заместитель губернатора региона осужден за хищение бюджетных средств,"['взятка', 'приговор']",21 Октября 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Ульяновской области доказательства признаны судом достаточными для вынесения приговора бывшему первому заместителю губернатора Ульяновской области. Он признан виновным в совершении преступления, предусмотренного ч. 6 ст. 290 (получение должностным лицом, занимающим государственную должность субъекта Российской Федерации, лично взятки в виде иного имущества и незаконного оказания ему услуг имущественного характера за способствование в силу должностного положения совершению незаконных действий в пользу взяткодателя, совершенное в особо крупном размере).
Следствием и судом установлено, что осужденный, используя свое должностное положение, привлек к участию в конкурсах на заключение государственных контрактов аффилированных ему предпринимателей, которые в период строительства в 2019-2021 годы вносили в проектно-сметную документацию ложные сведения, увеличив стоимость строительных материалов и работ на сумму свыше 3 млн рублей.
По ходатайству следственных органов Следственного комитета России по Ульяновской области в отношении него избиралась мера пресечения в виде заключения под стражу. Преступная деятельность осужденного была пресечена в ходе совместных мероприятий сотрудников региональных управлений Следственного комитета и ФСБ России.
Расследование уголовного дела находилось на личном контроле руководителя СУ СКР по Ульяновской области.
Следователем собрана достаточная доказательственная база, на основании которой суд вынес бывшему первому заместителю губернатора Ульяновской области приговор. Ему назначено наказание в виде 5 лет лишения свободы с отбыванием в колонии строгого режима. Также осужденный должен выплатить штраф в размере 5,5 млн. руб.
Приговор вступил в законную силу."
/news/item/1846233/,ulyanovsk,В Ульяновской области по подозрению в получении взятки задержан заместитель начальника исправительной колонии,['взятка'],05 Октября 2023,"Следственными органами Следственного комитета по Ульяновской области возбуждено уголовное дело в отношении заместителя начальника ФКУ ИК-10 УФСИН России по Ульяновской области, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки должностным лицом за незаконные действия).
По данным следствия, в период с июля по сентябрь 2023 года подозреваемый получил от осужденного взятку в размере 20 тысяч рублей за неприменение к нему дисциплинарных взысканий и общее покровительство. Взятку заместитель начальника ИК получил через знакомых осужденного в виде сертификата на покупку ювелирных изделий.
Преступная деятельность подозреваемого была пресечена в результате совместных действий сотрудников региональных управлений ФСИН, ФСБ и Следственного комитета России.
Следователь будет ходатайствовать об избрании в отношении подозреваемого меры пресечения в виде заключения под стражу.
В настоящее время проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления."
/news/item/1752440/,ulyanovsk,Житель Инзенского района осужден за дачу взятки в значительном размере,"['взятка', 'приговор']",10 Августа 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Ульяновской области доказательства признаны судом достаточными для вынесения приговора 40-летнему жителю Инзенского района Ульяновской области. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу через посредника).
Следствием и судом установлено, что осужденный, не желая добросовестно, в соответствии с установленным законом порядком сдавать теоретический и практический экзамены на право управления транспортным средством, в апреле 2022 года передал посреднику денежные средства в размере 70 000 рублей для последующей передачи их должностным лицам МРЭО ГИБДД УМВД России по Ульяновской области (г. Барыш) за совершение заведомо незаконных действий в виде обеспечения успешной сдачи осужденным соответствующих экзаменов.
Расследование уголовного дела в отношении посредника продолжается.
Следователем собрана достаточная доказательственная база, на основании которой суд вынес мужчине приговор. Ему назначено наказание в виде штрафа в размере 80 000 рублей."
/news/item/1231707/,ulyanovsk,Сотрудник полиции обвиняется в получении взятки,['взятка'],17 Февраля 2023,"Следственными органами Следственного комитета Российской Федерации по Ульяновской области завершено расследование уголовного дела в отношении инспектора дорожно-патрульной службы ОГИБДД межмуниципального отдела внутренних дел «Барышский», обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 290 УК РФ (покушение на получение должностным лицом через посредника взятки в виде денег за незаконное бездействие).
 
По версии следствия, в ночь с 8 на 9 сентября 2017 года обвиняемый, находясь на улице Ленина в городе Барыш Ульяновской области, потребовал у задержанного им за управление транспортным средством в состоянии алкогольного опьянения местного жителя передачи ему в качестве взятки 15 тысяч рублей за несоставление протокола об административном правонарушении. Деньги от задержанного сотрудник полиции попросил получить своего знакомого.
 
Преступная деятельность обвиняемого пресечена в результате совместных мероприятий органов Следственного комитета и подразделения собственной безопасности УМВД по Ульяновской области.
 
Следователем собрана достаточная доказательственная база, в связи с чем уголовное дело утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1404892/,ulyanovsk,Преподаватель Димитровградского технического колледжа осужден за получение взяток,"['взятка', 'приговор']",03 Февраля 2023,"Собранные Димитровградским межрайонным следственным отделом Следственного комитета Российской Федерации по Ульяновской области доказательства признаны судом достаточными для вынесения приговора преподавателю областного государственного бюджетного профессионального образовательного учреждения «Димитровградский технический колледж». Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки за совершение незаконных действий).
Следствием и судом установлено, что в мае 2019 года 30-летний преподаватель получил через посредника от студентов данного колледжа взятки в размере 299 тысяч рублей за защиту дипломных работ. Всего в ходе следствия установлено 23 эпизода его преступной деятельности. Денежные средства студенты перечисляли на банковскую карту родственницы преподавателя, которая впоследствии их обналичивала и передавала ему.
Осужденному назначено наказание в виде штрафа в размере 1 миллиона рублей, также ему запрещено 4 года заниматься преподавательской деятельностью."
/news/item/1217806/,ulyanovsk,В Ульяновской области бывший сотрудник полиции осужден за получение взятки,"['бывший сотрудник', 'взятка', 'приговор', 'собранные доказательства']",23 Декабря 2022,"Собранные следственными органами Следственного комитета Российской Федерации по Ульяновской области доказательства признаны судом достаточными для вынесения приговора бывшему  инспектору дорожно-патрульной службы межмуниципального отдела внутренних дел «Барышский» Ильдару Умеркину. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки за совершение незаконных действий).
 
Следствием и судом установлено, что 27 сентября 2016 года осужденный, находясь в салоне автомашины, припаркованной около одного из домов по улице Красноармейской в городе Барыш Ульяновской области, незаконно получил от местного жителя в качестве взятки 12 тысяч рублей за сокрытия факта совершения этим лицом правонарушения – незаконной вырубки деревьев. Факт получения взятки задокументирован в ходе совместных мероприятий органов Следственного комитета по Ульяновской области и подразделения собственной безопасности УМВД по региону.
 
Приговором суда Умеркину назначено наказание в виде штрафа в размере 590 тысяч рублей."
/news/item/1498235/,ulyanovsk,Сотрудница администрации города Димитровграда подозревается в получении взятки,['взятка'],17 Ноября 2022,"Следственными органами Следственного комитета по Ульяновской области возбуждено уголовное дело в отношении начальника управления социально-экономического развития администрации города Димитровграда, подозреваемой в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки должностным лицом за незаконные действия в крупном размере).
По данным следствия, 10 сентября 2020 года подозреваемая на территории г.Димитровграда Ульяновской области получила от местного предпринимателя взятку в размере 300 тысяч рублей за незаконные действия при заключении договоров аренды земельных участков.
Преступная деятельность подозреваемой была пресечена в результате совместных действий сотрудников региональных управлений МВД и Следственного комитета России.
В настоящее время проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1265584/,ulyanovsk,В Ульяновске руководство образовательного учреждения обвиняется в получении взяток,"['взятка', 'злоупотребление полномочиями']",07 Ноября 2022,"Следственными органами Следственного комитета Российской Федерации по Ульяновской области завершено расследование уголовного дела в отношении бывшего заместителя директора по административно-хозяйственной работе областного государственного автономного профессионального образовательного учреждения «Ульяновский  авиационный колледж - Межрегиональный центр компетенций»,  обвиняемого в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки и должностным лицом за незаконные действия) и ч.1 ст. 285 (злоупотребление должностными полномочиями).
По версии следствия, в период с конца 2016 года по ноябрь 2017 года 49-летний обвиняемый незаконно получал от представителей коммерческих организаций денежные средства за положительное решение вопросов о заключении с ними гражданско-правовых сделок. Пользуясь своим должностным положением, взяткополучатель за «откаты» способствовал заключению договоров на изготовление для учебного заведения фасадных вывесок и приобретение дизельного двигателя для лаборатории. Всего следствием установлено 3 эпизода получения взяток заместителем директора на сумму 27 тысяч рублей.
Пресечена преступная деятельность обвиняемого в результате совместных мероприятий органов Следственного комитета и подразделений по борьбе с экономическими преступлениями органов внутренних дел.
Следователем собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
