Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1844416/,vladimir,"Выявлен новый эпизод преступной деятельности работников районной больницы, подозреваемых в получении взятки",['взятка'],03 Мая 2024,"Следственными органами следственного управления СК России по Владимирской области возбуждено уголовное дело в отношении  заведующего автохозяйством и работника гаража ГБУЗ ВО «Петушинская районная больница» по признакам преступления, предусмотренного пп. «а» и «в» ч. 5 ст. 290 УК РФ (получение взятки группой лиц по предварительному сговору в крупном размере). Уголовное дело возбуждено на основании материалов, предоставленных сотрудниками регионального УФСБ.
Ранее в отношении указанных лиц возбуждалось уголовное дело о растрате  (ч. 3 ст. 160 УК РФ) по факту незаконной продажи транспортного средства учреждения. В ближайшее время уголовные дела будут соединены в одно производство. В отношении заведующего автохозяйством организации судом по ходатайству следователя избрана мера пресечения в виде заключения под стражу.
По предварительным данным, фигуранты в период с января 2022 года по октябрь 2023 года регулярно получали от индивидуального предпринимателя, занимающегося поставкой автозапчастей, ремонтом и обслуживанием служебного транспорта больницы, денежное вознаграждение в размере 20 % от общей суммы средств, выплаченных предпринимателю учреждением.
Денежные средства на общую сумму более 700 тысяч рублей перечислялись предпринимателем на банковские счета фигурантов, которые их расходовали по своему усмотрению. За это подозреваемые обеспечивали ему оперативное согласование документации, беспрепятственную приемку работ и содействие в их оперативной оплате.
Следователями СК проводятся допросы лиц, осматривается документация, изучается движение средств по банковским счетам, выполняются иные следственные и процессуальные действия, направленные на сбор и закрепление доказательственной базы."
/news/item/1809721/,vladimir,Следственными органами СК России по Владимирской области возбуждено уголовное дело по факту дачи взятки,"['взятка', 'должностное лицо', 'мошенничество', 'особо тяжкое']",26 Апреля 2024,"Следственными органами СК России по Владимирской области возбуждено уголовное дело по признакам преступления, предусмотренного п. «а», «б» ч. 4 ст. 291 УК РФ (дача взятки группой лиц по предварительному сговору в крупном размере).
По предварительным данным, 29 июня 2023 года в вечернее время двое мужчин, предварительно договорившись между собой и желая избежать уголовной ответственности за ранее совершенное преступление, передали оперуполномоченному УМВД России по г. Владимиру в качестве взятки денежные средства в размере 200 000 рублей за вынесение постановления об отказе в возбуждении уголовного дела по заявлению о совершении ими мошенничества в особо крупном размере.
В момент передачи взятки оба подозреваемых были задержаны сотрудниками УФСБ России по Владимирской области, проводившими по сообщению полицейского о поступившем ему предложении взятки оперативно-розыскные мероприятия. Злоумышленникам предъявлено обвинение в совершении особо тяжкого коррупционного преступления.
По ходатайству следователя Октябрьского межрайонного следственного отдела в отношении ранее судимого за мошенничество 32-летнего жителя г. Москвы и нигде не работающего 31-летнего жителя г. Владимира избрана мера пресечения в виде заключения под стражу.
Расследование уголовного дела продолжается."
/news/item/1661543/,vladimir,Бывший заместитель директора ГБУЗ ВО «МИАЦ» признан виновным в хищении бюджетных средств,"['должностное лицо', 'коррупция', 'мошенничество', 'приговор', 'присвоение']",24 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Владимирской области во взаимодействии с региональным УФСБ доказательства признаны судом достаточными для вынесения приговора бывшему заместителю директора ГБУЗ ВО «МИАЦ». 
Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 159 и ч. 3 ст. 160 УК РФ (мошенничество и присвоение, совершенные лицом с использованием своего служебного положения, а равно в крупном размере). 
Следствием и судом установлено, что обвиняемый введя в заблуждение директора учреждения получил разрешение на совмещение работы по должности аналитика в отделе обучения и развития персонала, установив себе соответствующую доплату. С октября 2019 года по июль 2020 года, фактически не выполняя трудовые обязанности по совместительству, чиновник получил необоснованную заработную плату в размере более 700 тысяч рублей. 
Кроме того, в периоды временного отсутствия директора ГБУЗ ВО «МИАЦ», обвиняемый, используя свое должностное положение, присвоил более 100 тысяч рублей, подписав приказы о выплате себе повышенных стимулирующих выплат за выполнение работы по совместительству по должности аналитика. 
Вину в совершенных преступлениях чиновник признал полностью, в содеянном раскаялся. Ущерб возместил в полном объеме. 
С учетом всех обстоятельств совершенных преступлений суд назначил ему наказание в виде 4 лет лишения свободы условно с испытательным сроком 3 года, а также на 3 года лишил права занимать должности, связанные с осуществлением организационно-распорядительных и административно-хозяйственных функций в государственных учреждениях."
/news/item/1801176/,vladimir,Во Владимире возбуждено уголовное дело по факту превышения должностных полномочий в отношении бывшего директора филиала по Владимирской области ФГУП «Паспортно-визовый центр»,"['должностное лицо', 'должностные преступления', 'превышение полномочий']",23 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Владимирской области возбуждено уголовное дело по признакам преступления, предусмотренного п. «е» ч. 3 ст. 286 УК РФ (превышение должностных полномочий, совершенное из корыстной заинтересованности).
По версии следствия, 44-летний подозреваемый, действуя из корыстных побуждений в интересах третьих лиц, организовал принудительное направление иностранных граждан для подготовки к выдаче или переоформлению патента в ООО «Содействие 33-Плюс», которым руководит его знакомый.
Кроме того, он заблокировал вход в филиал по Владимирской области ФГУП «Паспортно-визовый центр» (далее – Филиал) таким образом, что в помещение можно было попасть только  через ООО «Содействие», находящееся в том же здании, вследствие чего иностранные граждане физически не имели возможности получить услуги, минуя указанное ООО.
В результате весь спектр миграционных услуг, которые был обязан осуществлять Филиал, оказывался ООО «Содействие 33-Плюс», что повлекло за собой причинение материального ущерба государственному бюджету в размере не менее 8 000 000 рублей.
Следователями СУ СК России по Владимирской области во взаимодействии с УФСБ России по Владимирской области противоправная деятельность выявлена и пресечена. Расследование уголовного дела продолжается."
/news/item/1840404/,vladimir,Возбуждено уголовное дело о мошенничестве при реконструкции мемориала во Владимирской области,"['мошенничество', 'следователь СК']",18 Апреля 2024,"Следственными органами следственного управления СК России по Владимирской области возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, совершенное в крупном размере), по факту мошеннических действий при реконструкции Мемориала на месте гибели Героев Советского Союза летчика-космонавта Гагарина Ю.А. и летчика-испытателя Серегина В.С.
По предварительным данным, в 2017 году администрации Киржачского района из областного бюджета выделена дотация в размере 20 млн рублей на реконструкцию Мемориала на месте гибели Героев Советского Союза Гагарина Ю.А. и Серегина В.С. В ходе проведения второго этапа работ, выполняемых в рамках муниципального контракта коммерческой строительной организацией, их стоимость увеличена на 1,4 млн рублей по сравнению с первоначальной сметой. При этом часть предусмотренных сметой работ на общую сумму около 250 тысяч рублей выполнена не была, в том числе часть монумента не облицована гранитом, на стелах не выполнены именные таблички. При этом оплата подрядчику произведена в полном объеме.
Следователями проведен осмотр мемориала с участием специалистов, допрашиваются представители подрядной организации, должностные и иные лица, осматривается документация, выполняются иные следственные и процессуальные действия, направленные на установление всех обстоятельств совершенного преступления.
В ходе расследования будут также дана надлежащая правовая оценка действиям (бездействию) должностных лиц уполномоченных органов."
/news/item/1661546/,vladimir,Во Владимире вынесен приговор экс-директору медицинского информационно-аналитического центра,"['должностное лицо', 'коррупция', 'приговор', 'присвоение', 'растрата']",17 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Владимирской области во взаимодействии с региональным УФСБ доказательства признаны судом достаточными для вынесения приговора экс-директору ГБУЗ ВО «Медицинский информационно-аналитический центр» Ивану Сметанину.
 Он признан виновным в совершении двух преступлений, предусмотренных ч. 3 ст. 160 УК РФ (присвоение и растрата с использованием своего служебного положения, а равно в крупном размере). 
Следствием и судом установлено, что в период с ноября 2019 года по апрель 2020 года Сметанин, являясь директором бюджетного учреждения, дал указание подчиненным сотрудникам об утверждении и подписании бухгалтерских документов о производстве ему выплат за работу по должности программиста отдела обслуживания и администрирования, при этом фактически трудовых функций он не выполнял. 
В результате незаконных действий должностного лица учреждению причинен ущерб на сумму более 700 тысяч рублей. 
Кроме того, в марте 2020 года в нарушение своих должностных обязанностей, из корыстных побуждений, с целью обратить вверенные ему денежные средства на выплату заработной в свою пользу, от лица своей супруги написал заявление о ее приеме на работу на должность аналитика в отдел первичного звена здравоохранения. По его незаконному указанию подчиненные сотрудники также оформили трудовые отношения между супругой обвиняемого и ГБУЗ ВО «Медицинский информационно-аналитический центр», а также бухгалтерские документы о выплате заработной платы. 
Таким образом, за период с марта по июль 2020 года Сметанин растратил бюджетные денежные средства на сумму более 170 тысяч рублей. 
Вину в совершенных преступлениях обвиняемый признал полностью, в содеянном раскаялся. Причиненный ущерб возместил в полном объеме. 
С учетом всех обстоятельств суд назначил ему наказание в виде 3,5 лет лишения свободы условно с аналогичным испытательным сроком, а также на 3 года лишил права занимать должности, связанные с осуществлением организационно-распорядительных и административно-хозяйственных функций в государственных учреждениях."
/news/item/1834399/,vladimir,Бывший врио заместителя губернатора Владимирской области осужден за совершение коррупционных преступлений,"['взятка', 'деньги', 'должностное лицо', 'мошенничество']",09 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Владимирской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему временно исполняющему обязанности заместителя губернатора Владимирской области Григорию Вишневскому. Он признан виновным в совершении двух преступлений, предусмотренных п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере), а также преступлений, предусмотренных ч. 4 ст. 290 УК РФ (получение взятки лицом, занимающим государственную должность субъекта Российской Федерации), ч. 3 ст. 159 УК РФ (мошенничество с причинением значительного ущерба гражданину, совершенное с использованием служебного положения).
Следствием и судом установлено, что в 2021 году Вишневский временно исполнял обязанности заместителя губернатора Владимирской области, благодаря чему имел возможность влиять на решения, принимаемые должностными лицами областной администрации и органов местного самоуправления. Пользуясь этим, в указанный период Вишневский получил взятки на общую сумму более 835 тысяч рублей лично, а также через своих доверенных лиц, в том числе с использованием их банковских счетов.
В том числе, подсудимый получил взятки за общее покровительство и попустительство по службе и способствование принятию решений в интересах взяткодателей и представляемых ими организаций от директора ГАУ ВО «Спортивный комплекс «Торпедо», генерального директора строительной организации, осуществлявшей с привлечением средств граждан строительство многоквартирного жилого дома в городе Владимире, а также от представителя еще одной строительной фирмы, которая в рамках муниципального контракта производила капитальный ремонт образовательного учреждения в Коврове.
Взятки получались Вишневским как в виде денег, так и услуг имущественного характера. В частности, по его инициативе представителями строительных организаций были оплачены перелет по маршруту Оренбург-Москва и обратно его знакомой, аренда микроавтобуса, на котором фигурант передвигался во Владимире и Суздале 4 сентября 2021 года, а также проживание самого Вишневского в гостинице в Москве на протяжении нескольких дней в сентябре и ноябре 2021 года.
Кроме того, подсудимый путем обмана убедил представителя строительной коммерческой фирмы перечислить пожертвование на благотворительные цели в сумме 150 тысяч рублей, которыми распорядился по своему усмотрению.
При получении 15 ноября 2021 года последней части взятки от представителя одной из строительных фирм в сумме 400 тысяч рублей в помещении ресторана во Владимире фигурант был задержан сотрудниками ФСБ.
Следователями СК проведен большой объем следственных и иных процессуальных действий, в том числе, допрошены должностные лица региональных и местных органов власти, сотрудники коммерческих организаций и другие свидетели, проведены очные ставки, сложные компьютерно-технические и фоноскопическая судебные экспертизы, изъяты и осмотрены документация, мобильные телефоны, носители электронной информации, движение средств по расчетным счетам, детализации телефонных соединений и записи переговоров участников дела. По результатам собраны достаточные доказательства, изобличающие Вишневского в совершении указанных преступлений.
Наложен арест на имущество и денежные средства подсудимого на сумму более 630 тысяч рублей.
Уголовное дело расследовано в аппарате следственного управления при оперативном сопровождении сотрудников УФСБ России по Владимирской области.
Приговором суда виновному назначено наказание в виде лишения свободы сроком на 10 лет с отбыванием в колонии строгого режима со штрафом в размере 7 млн рублей с лишением права занимать должности в государственных органах, связанные с осуществлением организационно-распорядительных и административно-хозяйственных полномочий на 5 лет."
/news/item/1143290/,vladimir,"Перед судом предстанет бывший начальник медико-санитарной части регионального управления МВД России, обвиняемый в получении взятки",[],05 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Владимирской области завершено расследование уголовного дела в отношении бывшего начальника медико-санитарной части федерального казенного учреждения здравоохранения «МСЧ МВД Российской Федерации по Владимирской области» полковника полиции 58-летнего Александра Догаева.
Он обвиняется в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение лично и через посредника взятки в крупном размере).
 
По версии следствия, Догаев, находясь с января 2006 года на занимаемой должности, через постоянное служебное общение с руководителями основных структурных подразделений – госпиталя и поликлиники, психологически формировал их зависимость от принятия собственных решений по установлению стимулирующих выплат, материальных поощрений и  общему покровительству.
В январе 2012 года начальник МСЧ перешел от психологического воздействия к воплощению корыстного замысла и потребовал от  руководителей подразделений определить «круг доверия» из числа подчиненных, которые должны ежемесячно передавать ему деньги за установление повышенных ставок различных выплат и лояльного режима работы.
Осознавая свое положение, рассчитывая на благосклонное отношение начальника и предотвращение негативных последствий по службе, подчиненные согласились на предложенные условия.
                                                                                                                 
В течение трех лет с февраля 2012 по ноябрь 2014 года шесть сотрудников МСЧ передали Догаеву взятку в общем размере 673 тысячи 500 рублей.   
Кроме того, в декабре 2013 года обвиняемый в корыстных целях использовал предоставленные полномочия при реализации права распределения финансовых средств, выделенных медико-санитарной части на годовую премию персоналу. Он поставил перед руководителями структурных подразделений «задачу» собрать с подчиненных 64 тысячи рублей взамен на издание приказа о выплате  повышенного размера премирования. Указанную сумму он получил в качестве взятки и обратил в свою пользу.
Аналогичным образом он действовал и в декабре 2014 года при распределении бюджетных средств на премирование персонала по итогам года.
26 декабря 2014 года 9 сотрудников медико-санитарной части собрали личные средства и «делегировали» двух врачей для передачи денег Догаеву.
В тот же день в служебном кабинете обвиняемый получил от подчиненных взятку в размере 156 тысяч рублей и был задержан сотрудниками правоохранительных органов.
По оценкам следствия за период с февраля 2012 по 26 декабря 2014 года Догаев получил лично и через посредников взятку в общем размере 893 тысячи 500 рублей.
В ходе следствия он полностью признал вину в инкриминируемом коррупционном преступлении.
Следствием собрана достаточная доказательственная база, допрошено более 100 свидетелей, проведены объемные судебно-бухгалтерские экспертизы за четырехлетний период финансово-хозяйственной деятельности медико-санитарной части УМВД.
В настоящее время по уголовному делу объемом в 18 томов утверждено обвинительное заключение, проводится процедура направления дела в суд для рассмотрения по существу.
Расследование уголовного дела осуществлялось при оперативном сопровождении региональных управлений ФСБ и МВД России."
/news/item/1711382/,vladimir,В Петушках завершено расследование уголовного дела в отношении жителя Московской области обвиняемого в дачи взятки и организации проведения азартных игр,"['азартные игры', 'взятка']",02 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Владимирской области завершено расследование уголовного дела в отношении 52-летнего жителя Московской области.
Он обвиняется в совершении преступлений, предусмотренных п. «а» ч. 3 ст. 171.2 УК РФ (незаконные организация и проведение азартных игр) и ч. 5 ст. 291 УК РФ (дача взятки в особо крупном размере).
По версии следствия, в период с января 2014 года по июль 2017 года житель Московской области возглавлял и руководил организованной преступной группой, которая осуществляла преступную деятельность по незаконной организации и проведению азартных игр с использованием игрового оборудования вне игорной зоны и с использованием информационно-телекоммуникационных сетей, в том числе сети «Интернет», на территории городов Петушки и Покров Владимирской области. 
Кроме того, с июля 2014 года по май 2017 года обвиняемый совместно с другим членом группы за сообщения о планируемых проверках игорных заведений систематически перечисляли бывшему оперуполномоченному сотруднику ОМВД России по Петушинскому району незаконные денежные вознаграждения в виде денег на общую сумму более 5,6 миллионов рублей. 
В октябре 2019 года организатор незаконной деятельности скрылся от следствия, в связи с чем, был объявлен в розыск. В марте 2022 года обвиняемого задержали и заключили под стражу. 
Вину в совершенных преступлениях мужчина не признал. 
Следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено в Петушинский районный суд для рассмотрения по существу. 
Следует отметить, что бывший сотрудник полиции осужден по ч. 6 ст. 290 УК РФ (получение взятки в виде денег в особо крупном размере за совершение заведомо незаконных действий), и ему назначено наказание в виде лишения свободы на срок 6 лет 4 месяца с отбыванием наказания в исправительной колонии строгого режима. Кроме того, к уголовной ответственности привлечены также и другие члены организованной преступной группы – им назначены наказания от 1 до 2,5 лет лишения свободы условно, а одному из членов группы –  штраф в размере 50 тысяч рублей."
/news/item/1405776/,vladimir,Бывший государственный  инспектор труда признан виновным в совершении коррупционного деяния,[],27 Марта 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Владимирской области доказательства признаны судом достаточными для вынесения приговора 32-летнему бывшему государственному инспектору труда Государственной инспекции труда во Владимирской области.
Он признан виновным по двум эпизодам противоправного поведения, квалифицированных по ч. 1 и 3 ст. 290 УК РФ (получение взятки).
Следствием и судом установлено, что в марте 2015 года мужчина был принят на государственную службу с полномочиями надзора и контроля за соблюдением законодательства об охране труда хозяйствующими субъектами.
В октябре 2018 года инспектор возглавил комиссию по расследованию несчастного случая со смертельным исходом с рабочим одного из муромских предприятий, одновременно в акционерном обществе проводилась внеплановая проверка по исполнению трудового законодательства.
По результатам расследования и проверки государственный инспектор выявил нарушения со стороны руководства предприятия, за которые в силу закона следовало оформление предписаний, составления протоколов об административной ответственности юридического лица с последующим назначением штрафов. 
Преследуя корыстные цели, государственный инспектор совершил противоправные действия и бездействие в интересах руководства предприятия, выразившиеся в попустительстве и непривлечении ответственных лиц к установленной законом ответственности.
За свою «услугу» он получил взятку в размере 80 тысяч рублей.
В октябре 2018 года при проведении внеплановой проверки владимирского предприятия в связи с несчастным случаем с рабочим, инспектор  за 15 тысяч рубле     й «закрыл глаза» на выявленный факт допуска работника на производство в нетрезвом состоянии. В результате вместо обязательного назначения штрафа нарушитель трудового законодательства отделался предупреждением.
В ходе следствия и в суде бывший инспектор полностью признал вину в инкриминируемых деяниях.
Приговором  Ленинского районного суда осужденному назначено наказание в виде 3 лет 2 месяцев лишения свободы условно со штрафом в размере 400 тысяч рублей. Суд также лишил осужденного права занимать должности на государственной службе сроком на 3 года.
Уголовное дело расследовано при оперативном сопровождении управления экономической безопасности и противодействия коррупции УМВД и регионального управления ФСБ России.
Подразделение - отдел по расследованию особо важных дел следственного управления"
