Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1115508/,volgograd,В Волгограде подозреваемый в невыплате заработной платы коммерсант уличен в присвоении 14 миллионов рублей из кассы своего предприятия,[],17 Апреля 2024,"Следственным отделом по Ворошиловскому району Следственного управления СКР по области возбуждено уголовное дело в отношении 41-летнего генерального директора коммерческой организации. Он подозревается в совершении преступления, предусмотренного ч.4 ст.160 УК РФ (присвоение, совершенное лицом с использованием своего служебного положения в особо крупном размере).
По данным следствия, в период времени с января 2015 года по февраль 2017 года коммерсант без согласия Общего собрания учредителей и Совета директоров своей фирмы необоснованно назначал себе денежные вознаграждения, которые в указанный период времени составили более 9,5 млн. рублей.
Кроме того, в этот же промежуток времени из кассы им были получены под отчет денежные средства на общую сумму свыше 4 млн. рублей, однако, документы об использовании указанных денег представлены им не были и на расчетный счет предприятия не возвращены.
В результате преступных действий подозреваемого фирме причинен ущерб на общую сумму почти 14 миллионов рублей.
Основанием для возбуждения уголовного дела в том числе послужил результаты проверки, проведенной прокуратурой Ворошиловского района.
В настоящее время проводится комплекс следственных действий, направленных на установление всех обстоятельств совершенного преступления.
К слову, этот коммерсант не первый раз попадает в поле зрения правоохранителей. В настоящее время в отношении него органами Следственного комитета расследуется уголовное дело, возбужденное в марте текущего года, о невыплате заработной платы 170 работникам своей фирмы. Общая сумма задолженности перед ними составила свыше 16 миллионов рублей, которая на сегодняшний день не погашена."
/news/item/1143081/,volgograd,Обвиняемый в превышении должностных полномочий и взяточничестве экс-сотрудник исправительной колонии предстал перед судом,[],09 Апреля 2024,"Следственным отделом по Тракторозаводскому району Следственного управления СКР по области завершено расследование уголовного дела в отношении бывшего старшего оперуполномоченного оперативного отдела Исправительной колонии №9 УФСИН России по Волгоградской области. Он обвиняется в совершении преступлений, предусмотренных ч.1 ст.286 УК РФ (превышение должностных полномочий), ч.3 ст.290 УК РФ (получение должностным лицом взятки за незаконные действия).
По данным следствия, в конце февраля 2016 года к обвиняемому обратился один из заключенных с просьбой организовать доставку на территорию исправительного учреждения мобильных телефонов. За каждую партию средств связи, незаконно пронесенных в режимный объект, майору внутренней службы была гарантирована оплата в размере 10 тысяч рублей. В период с 11 по 26 марта 2016 года сотрудник колонии получил от супруги заключенного не менее 18 аппаратов сотовых телефонов, которые впоследствии принес в свой служебный кабинет и отдал осужденному, получив за запрещённые предметы не менее 20 тысяч рублей.
Преступная деятельность оборотня в погонах была пресечена оперативными сотрудниками отдела собственной безопасности регионального УФСИН России.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с обвинительным заключением, утвержденным прокуратурой Тракторозаводского района, направлено в суд для рассмотрения, по существу.
На стадии предварительного расследования свою вину в содеянном подозреваемый полностью признал."
/news/item/1142974/,volgograd,Инспектор ГИБДД обвиняется в мошенничестве,[],08 Декабря 2023,"Следственным отделом по Тракторозаводскому району Следственного управления СКР по области завершено расследование уголовного дела в отношении бывшего инспектора отдельного батальона ДПС городского управления МВД России. Он обвиняется в совершении преступления, предусмотренного ч.3 ст.159 УК РФ (мошенничество, совершённое лицом с использованием своего служебного положения).
По данным следствия, 30 декабря 2013 года сотрудниками ГИБДД был остановлен автомобиль, за управлением которого находился мужчина  с явными признаками алкогольного опьянения. В связи с тем, что водитель отказался от прохождения медицинского освидетельствования, в отношении него стражами порядка был составлен административный протокол. О данном факте правонарушитель сообщил собственнику транспортного средства, пояснив, что опасается быть лишенным прав на управление транспортным средством в связи совершенным правонарушением, который, связавшись со своим знакомым полицейским, попросил его помочь и посодействовать в непривлечение нарушителя  к ответственности. Сотрудник МВД заверил, что сможет помочь, но для этого ему необходимо 30 тысяч рублей, предназначенных якобы для передачи в качестве взятки мировому судье, в чьем производстве будет находиться данный административный материал. В действительности, предпринимать каких-либо действий по выполнению своего обещания инспектор ДПС не собирался, а полученными денежными средствами распорядился по своему усмотрению.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с обвинительным заключением, утвержденным прокуратурой Тракторозаводского района, направлено в суд для рассмотрения по существу."
/news/item/1142963/,volgograd,Сотрудник администрации и полицейский признаны виновными во взяточничестве,[],04 Декабря 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Волгоградской области доказательства признаны судом достаточными для вынесения приговора специалисту администрации Дзержинского района, а также инспектору группы по исполнению административного законодательства районного отдела внутренних дел. Они признаны виновными в совершении преступления, предусмотренного п.«а» ч.5 ст.290 УК РФ (получение взятки в значительном размере за незаконные действия и бездействие, совершенное группой лиц по предварительному сговору).
Следствием и судом установлено, что в силу занимаемой должности осужденные обязаны были, в том числе, выявлять и привлекать к установленной законом ответственности лиц, занимающихся незаконной торговлей на территории Дзержинского района. Решив на этом заработать, в 2013 году они предложили одному из таких «постоянных нарушителей» общее покровительство, но взамен потребовали ежемесячно передавать им по 4 тысячи рублей. За эти деньги чиновник и страж порядка пообещали не только не привлекать к административной ответственности за торговлю вне специально отведенных для этого мест и осуществление предпринимательской деятельности без государственной регистрации в качестве индивидуального предпринимателя, но и заблаговременно информировать о начале и окончании соответствующих рейдов, проводимых сотрудниками полиции.
В общей сложности за такую услугу осужденные получили около 40 тысяч рублей.
Оперативное сопровождение хода расследования этого уголовного дела осуществлялось оперативными сотрудниками службы собственной безопасности регионального ГУ МВД России.
Приговором суда бывший сотрудник полиции и экс-чиновник приговорены к 7 годам лишения свободы каждый, отбывать которые они будут в исправительной колонии строгого режима. Кроме того, суд назначил каждому осужденному дополнительное наказание в виде штрафа в размере 2,2 миллиона рублей. Государственное обвинение поддерживалось прокуратурой Дзержинского района."
/news/item/1142998/,volgograd,"По подозрению в злоупотреблении полномочиями задержан депутат городской Думы, ранее руководивший строительной фирмой",[],27 Ноября 2023,"Следственными органами Следственного комитета Российской Федерации по Волгоградской области возбуждено уголовное дело в отношении депутата Волгоградской городской Думы, ранее занимавшего должность генерального директора коммерческой организации. Он подозревается в совершении преступления, предусмотренного ч.1 ст.201 УК РФ (злоупотребление полномочиями).
По данным следствия, летом 2012 года между строительной фирмой, возглавляемой на тот момент подозреваемым, и муниципальной средней школой, расположенной в поселке Береславка Калачевского района Волгоградской области, был заключен контракт на ремонт указанного образовательного учреждения. Для выполнения условий указанного контракта подозреваемым была привлечена субподрядная организация. За полтора месяца почти все работы были выполнены, а их стоимость составила около 1 миллиона 230 тысяч рублей. Оплатив лишь пятую часть от этой суммы, остальные деньги депутат решил сэкономить. Для этого он подготовил и вручил субподрядчику уведомление с требованием приостановить работы по капитальному ремонту школы, поскольку их дальнейшая оплата производиться не будет. Не мотивировало его погасить задолженность перед субподрядчиком и решение Арбитражного суда Волгоградской области, обязавшего депутата расплатиться со стройфирмой.
Основанием для возбуждения уголовного дела послужили материалы, представленные оперативными сотрудниками управления экономической безопасности и противодействия коррупции регионального ГУ МВД России.
В настоящее подозреваемый задержан, решается вопрос об избрании в отношении него меры пресечения. Проводятся дальнейшие следственные действия, направленные на установление всех обстоятельств совершенного преступления. Свою вину в содеянном депутат не признает."
/news/item/1143024/,volgograd,Гражданка Китая подозревается в даче взятки сотруднику районного подразделения ФМС,[],17 Ноября 2023,"Следственным отделом по Светлоярскому району Следственного управления СКР по области возбуждено уголовное дело в отношении 40-летней гражданки Китая. Она подозревается в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу за заведомо незаконное бездействие).
По данным следствия, с августа 2015 года подозреваемая проживает в Светлоярском районе Волгоградской области, где занимается выращиванием овощных культур. 24 марта 2016 года она обратилась к руководителю районного подразделения УФМС по Волгоградской области с просьбой помочь оформить ее соотечественникам временное разрешение на проживание в Российской Федерации, а также в последующем оказывать общее покровительство, в том числе заблаговременно предупреждать о запланированных проверках соблюдения миграционного законодательства. Не дождавшись ответа от сотрудника УФМС, иностранка оставила на его столе шоколадку и ушла. Как оказалось в упаковке вместо сладости находились денежные средства в сумме 100 тысяч рублей. О данном факте мужчина сообщил вышестоящему руководству. В результате слаженной работы следователей районного подразделения Следственного управления СКР, а также оперативных сотрудников отделения экономической безопасности и противодействия коррупции отдела полиции и УФСБ России по Волгоградской области преступная деятельность гражданки Китая была пресечена.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Подозреваемая ужа дала признательные показания. Установлено, что на территории России она находится легально. Расследование уголовного дела продолжается."
/news/item/1374250/,volgograd,Завкафедрой одного из вузов подозревается в служебном подлоге и получении взятки,"['взятка', 'коррупция', 'служебный подлог']",26 Октября 2023,"Следственным отделом по Центральному району Следственного управления СКР по области возбуждено уголовное дело в отношении заведующей кафедрой одного из волгоградских вузов. Она подозревается в совершении преступлений, предусмотренных ч.1 ст.292 УК РФ (служебный подлог), ч.3 ст.290 УК РФ (получение должностным лицом взятки за заведомо незаконные действия).
По данным следствия, осенью прошлого года подозреваемая по просьбе своего знакомого изготовила подложный протокол о том, что якобы 30 августа 2018 года на заседании кафедры была рассмотрена и одобрена диссертационная работа, на которую впоследствии подготовлен положительный отзыв. Пакет фальсифицированных официальных документов был направлен в аналогичный вуз Санкт-Петербурга, где по итогам обсуждения педагогическим советом принято решение присвоить автору работы научную степень «доктор наук».
Кроме того, как установили следователи, в 2017 году являясь научным руководителем дипломной работы одного из студентов и по совместительству заместителем председателя государственной экзаменационной комиссии, подозреваемая предложила выпускнику облегчить его труд – за 20 тысяч рублей написать за него магистерскую диссертацию и помочь в её защите. Получив деньги, своё обещание женщина выполнила – на итоговом экзамене учащемуся была выставлена оценка «отлично».
Основанием для возбуждения уголовного дела послужили материалы, представленные оперативными сотрудниками УФСБ России по Волгоградской области.
В настоящее время проводится комплекс следственных действий, направленных на сбор и закрепление доказательственной базы по уголовному делу. Свою вину в содеянном педагог уже полностью признала. В адрес Высшей аттестационной комиссии следователями уже направлено письмо о необходимости рассмотреть вопрос об отмене результатов заседания диссертационного совета, присвоившего волгоградке ученую степень «доктор наук».
Расследование уголовного дела продолжается."
/news/item/1142152/,volgograd,В Волгограде начальник районного отдела ЖКХ со своим подчиненным и двумя местными жителями подозреваются во взяточничестве,[],25 Октября 2023,"Следственными органами Следственного комитета Российской Федерации по Волгоградской области возбуждено уголовное дело в отношении начальника одного из отделов муниципального учреждения «Жилищно-коммунального хозяйства Красноармейского района Волгограда», инженера этого отдела, а также двоих местных жителей. Они подозреваются в совершении преступления, предусмотренного п. «а» ч.5 ст.290 УК РФ (получение взятки организованной группой).
По данным следствия, в конце 2016 года начальник отдела муниципального предприятия ЖКХ предложил своему подчиненному, инженеру этого же отдела, завести себе дополнительный источник дохода – собирать деньги с торговцев, занимающихся коммерцией вне специально отведенных для этого местах, а взамен не привлекать их к административной ответственности. В свою преступную схему чиновники вовлекли еще двух безработных жителей Красноармейского района, которые вместе с инженером МБУ ЖКХ должны были отыскивать таких нарушителей, под угрозой привлечения к ответственности заставлять их подписать договоры аренды на земельные участки, где располагаются торговые точки, а в случае отказа сообщать об этом организатору преступной группы, а тот в свою очередь будет направлять своих сотрудников для составления в отношении этих граждан протоколов об административном правонарушении. Только за 4 месяца, с января по конец апреля 2017 года, такая схема позволила чиновникам и их сообщникам собрать с двух мелких торговцев свыше 65 тысяч рублей. Следствие полагает, что будут установлены иные эпизоды преступной деятельности.
Основанием для возбуждения уголовного дела послужили результаты оперативных мероприятий, проведенных сотрудниками УФСБ и ГУ МВД России по Волгоградской области. Следует отметить, что взяточников удалось изобличить во многом благодаря активной поддержке правоохранительных органов, оказанной администрацией Красноармейского района.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Члены организованной группы задержаны. В суд подготовлено ходатайство об избрании в отношении них меры пресечения. Двое подозреваемых уже полностью признали свою вину в содеянном."
/news/item/1143063/,volgograd,"Перед судом предстал глава поселения, обвиняемый в превышении должностных полномочий и служебном подлоге",[],18 Сентября 2023,"Следственными органами Следственного комитета Российской Федерации по Волгоградской области завершено расследование уголовного дела в отношении главы Россошенского сельского поселения Городищенского района Петра Шляхова. Он обвиняется в совершении преступлений, предусмотренных ч.2 ст.286 УК РФ (превышении должностных полномочий) и ч.2 ст.292 УК РФ (служебном подлоге).По данным следствия, обвиняемый начиная с 2010 года и на протяжении 5 лет изготавливал подложные постановления о безвозмездном выделении земельных участков частным лицам. В результате преступной деятельности чиновника 45 участков общей площадью 5,5 га незаконно перешли в собственность его знакомым. Ущерб государству составил около 7 миллионов рублей.
Основанием для возбуждения уголовного дела послужили результаты проверки, проведенной прокуратурой Городищенского района, а также материалы, представленные оперативными сотрудниками управления экономической безопасности и противодействия коррупции регионального ГУ МВД России.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с обвинительным заключением, утверждённым прокуратурой области, направлено в суд для рассмотрения по существу. На стадии расследования свою вину в содеянном глава поселения признал в полном объеме. По ходатайству следователя от отстранен от занимаемой должности."
/news/item/1294483/,volgograd,Житель Суровикинского района подозревается в покушении на дачу взятки сотруднику полиции,"['взятка', 'деньги', 'коррупция']",11 Сентября 2023,"Суровикинским межрайонным следственным отделом Следственного управления СКР по области возбуждено уголовное дело в отношении 49-летнего местного жителя. Он подозревается в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу за заведомо незаконное бездействие).
По данным следствия, 24 января текущего года в городе Суровикино сотрудниками ДПС был остановлен автомобиль, за управлением которого находился подозреваемый. В ходе проверки документов выяснилось, что ранее мужчина был привлечен к административной ответственности и лишен права управлять транспортными средствами, кроме того, стражи порядка заподозрили, что правонарушитель находится в состоянии алкогольного опьянения, в связи с чем предложили ему пройти медицинское освидетельствование. Мужчина отказался, предложив полицейским альтернативу – 15 тысяч рублей. В эту сумму он оценил несоставление в отношении него очередного протокола. Полицейские от взятки отказались, зафиксировав факт передачи им денежных средств в рамках оперативно-розыскных мероприятий, результаты которых и стали основанием для возбуждения уголовного по статье «покушение на дачу взятки».
В настоящее время проводится комплекс следственных действий, направленных на сбор и закрепление доказательственной базы по уголовному делу. Свою вину в содеянном подозреваемый уже полностью признал."
