Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1808151/,voronezh,Глава одного из сельских поселений Панинского муниципального района Воронежской области осужден за получение взятки,"['взятка', 'приговор', 'собранные доказательства']",03 Мая 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Воронежской области доказательства признаны судом достаточными для вынесения приговора в отношении главы одного из сельских поселений Панинского муниципального района Воронежской области (депутата Совета народных депутатов этого же поселения). Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом взятки за незаконные действия). 
Следствием и судом установлено, что в сентябре 2020 года к главе администрации обратился местный житель с просьбой оказать содействие в постановке заведомо ложных сведений об отбытии им уголовного наказания. Мужчина осужден за неоднократное управление транспортным средством в состоянии опьянения и ему назначено наказание в виде обязательных работ на срок 300 часов с лишением права заниматься деятельностью по управлению транспортными средствами на срок 2 года 6 месяцев. Глава поселения согласился поставить отработанные часы за взятку свыше 12 тысяч рублей. Ложную информацию об отработке наказания он внес в официальные документы - табели учета рабочего времени, заверив их своей подписью и гербовой печатью администрации. Указанные документы глава поселения лично передал в уголовно-исполнительную инспекцию, получив незаконное денежное вознаграждение в виде денежного перевода на свой расчетный счет.
Руководитель Аннинского межрайонного следственного отдела регионального следственного управления Николай Кузнецов сообщал, что на  предварительном следствии глава поселения вину в совершении указанного преступления признал. Также его вина подтверждалась показаниями свидетелей, результатами проведенных экспертиз, протоколами осмотров, иными материалами уголовного дела.
Приговором суда виновному назначено наказание в виде 3 лет лишения свободы условно с таким же испытательным сроком и также лишением права в течение 3 лет занимать должности на государственной службе, в органах местного самоуправления, связанные с осуществлением функций представителя власти. Приговор не вступил в законную силу."
/news/item/1865288/,voronezh,Индивидуальный предприниматель подозревается в даче взятки сотруднику полиции,"['взятка', 'коррупция']",30 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Воронежской области возбуждено уголовное дело в отношении 40-летнего местного жителя по признакам преступления, предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки).
По предварительным данным, в феврале 2024 года сотрудниками полиции в рамках проведения процессуальной проверки изъята продукция с признаками контрафакта в магазине, расположенном в Рамонском районе. Спустя несколько дней владелец торговой точки прибыл в отдел полиции, где предложил начальнику отдела экономической безопасности и противодействия коррупции ОМВД России по Рамонскому району незаконное денежное вознаграждение в сумме 200 тысяч рублей за возврат изъятой продукции и непривлечение его к уголовной ответственности.
Несмотря на разъяснения о том, что данные действия являются уголовно-наказуемым деянием, мужчина своих намерений не изменил. Спустя несколько часов он через своего знакомого, неосведомленного о преступном намерении, осуществил перевод 200 тысяч рублей на банковскую карту должностного лица. Страж порядка от незаконного денежного вознаграждения отказался и сообщил о произошедшем в дежурную часть ОМВД. Противоправные действия местного жителя были пресечены сотрудниками правоохранительных органов. 
Мужчина задержан по подозрению в совершении указанного преступления. По ходатайству следственных органов судом в отношении подозреваемого избрана мера пресечения в виде заключения под стражу. При проведении следственных действий мужчина дал признательные показания. В ближайшее время следствие планирует предъявление обвинения.  
По уголовному делу проводится комплекс следственных действий, направленных на установление всех обстоятельств произошедшего, сбор и закрепление доказательственной базы - рассказал руководитель Семилукского межрайонного следственного отдела регионального следственного управления СК России Роман Новиченков."
/news/item/1568620/,voronezh,В Воронеже местный житель ответит в суде за попытку дачи взятки сотруднику полиции,[],27 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Воронежской области завершено расследование уголовного дела в отношении 52-летнего местного жителя, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки за совершение незаконного бездействия).
Следствием установлено, что в марте 2021 года в Воронеже 52-летний водитель управлял автомобилем в состоянии алкогольного опьянения. За данное правонарушение в отношении него сотрудниками ДПС составлен административный протокол. 26 марта 2021 года мужчина прибыл в здание ГИБДД, где, не желая быть привлеченным к административной ответственности в виде штрафа с лишением права управления транспортным средством, предложил сотруднице полиции незаконное денежное вознаграждение за ненаправление административного материала для рассмотрения в суд. Несмотря на разъяснения правоохранителя о том, что данные действия являются уголовно-наказуемым деянием, местный житель своих намерений не изменил и попытался передать должностному лицу денежные средства в размере 50 тысяч рублей, положив их на рабочий стол в кабинете. Сотрудница полиции от получения взятки отказалась, сообщив о предложении коррупционного характера в дежурную часть. Подозреваемый был задержан правоохранителями на месте преступления.
В ходе предварительного расследования обвиняемый признал вину, дал показания по существу совершенного преступления. Его вина также подтверждается показаниями свидетелей, протоколами следственных и процессуальных действий, иными материалами уголовного дела, в связи с чем утверждено обвинительное заключение  и  уголовное дело  направлено в суд для рассмотрения по существу – рассказал руководитель следственного отдела по Левобережному району регионального управления СК России Матвей Сладких."
/news/item/1631840/,voronezh,Руководитель коммерческой организации предстанет перед судом за попытку дать взятку сотруднику полиции,"['взятка', 'деньги', 'коррупция']",24 Апреля 2024,"Фото из свободных источников            

Следственными органами Следственного комитета Российской Федерации по Воронежской области завершено расследование уголовного дела в отношении 42-летнего жителя Ростовской области, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки за незаконное  бездействие).
По данным следствия, в сентябре 2021 года старшим оперуполномоченным по особо важным делам ОЭБиПК ГУ МВД России по Воронежской области в ходе проведения проверочных мероприятий был выявлен факт осуществления организацией медицинской деятельности без соответствующей лицензии, в связи с чем в действиях руководства данной фирмы усматривались признаки преступления, предусмотренного ст. 171 УК РФ (незаконное предпринимательство). 20 сентября 2021 года 42-летний фактический руководитель организации прибыл в кабинет сотрудника полиции, где, не желая негативных для себя последствий в виде возможного привлечения к уголовной ответственности, предложил должностному лицу, находящемуся при исполнении служебных обязанностей, незаконное денежное вознаграждение за прекращение проверочных мероприятий в отношении указанной организации и дальнейшее ненаправление материала по подследственности для принятия процессуального решения. 
Несмотря на разъяснения старшего уполномоченного  о том, что данные действия являются уголовно-наказуемым деянием, мужчина своих намерений не изменил и попытался передать должностному лицу денежные средства в размере 50 тысяч рублей, положив их на рабочий стол. Сотрудник полиции от получения взятки отказался, сообщив о предложении коррупционного характера руководству. Действия взяткодателя были пресечены на месте, предмет взятки изъят. 
На следствии обвиняемый полностью признал вину, в содеянном раскаялся. Его вина подтверждается также показаниями свидетелей, оперативными материалами, протоколами осмотров и выемок, иными материалами уголовного дела, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу – рассказал руководитель следственного отдела по Левобережному району г. Воронежа регионального управления СК России Матвей Сладких."
/news/item/1697290/,voronezh,Бывший адвокат признана виновной в мошенничестве,"['адвокат', 'коррупция', 'лишение свободы', 'мошенничество', 'приговор', 'условное']",11 Апреля 2024,"Фото из открытых источников            

Собранные следственными органами Следственного комитета Российской Федерации по Воронежской области доказательства признаны судом достаточными для вынесения приговора в отношении 33-летнего бывшего адвоката. Она признана виновной в совершении преступлений, предусмотренных ч.2 ст. 159 УК РФ (мошенничество с причинением значительного ущерба гражданину), ч.3 ст. 30, ч.4 ст. 159 УК РФ (покушение на мошенничество, совершенное в особо крупном размере), ч.3 ст. 30, ч.3 ст. 159 УК РФ (покушение на мошенничество, совершенное в крупном размере). Уголовное дело возбуждалось на основании материалов, предоставленных сотрудниками УФСБ России по Воронежской области.
Следствием и судом установлено, что в августе 2018 года обвиняемая изготовила фиктивный договор купли-продажи, согласно которому якобы четырьмя месяцами ранее она приобрела у скончавшегося в июле 2018 года ее близкого знакомого принадлежащий тому автомобиль марки «БМВ Х6», находившийся на специализированной стоянке ОГИБДД ОМВД России по Калачеевскому району, куда был помещен со значительными техническими повреждениями после имевшего место ДТП в сентябре 2017 года. На основании фиктивных договора и паспорта транспортного средства указанный автомобиль был передан «новой владелице», которая переместила его в с. Новая Усмань и в последующем продала третьему лицу. В связи с чем законным наследникам умершего - 66-летней матери и 19-летней дочери – был причинен ущерб в значительном размере около 35 тысяч рублей, составляющий стоимость автомобиля с учетом состояния после ДТП. 
Кроме того, обвиняемая, зная об открытии наследства умершего и наличии у него в собственности двухкомнатной квартиры в городе Воронеже стоимостью более 2,5 млн. рублей, решила мошенническим путем ей завладеть. В этих целях в августе 2018 года бывший адвокат обратилась к своей знакомой, которой сообщила заведомо ложные сведения о том, что является наследницей имущества по завещанию, и попросила ее выступить в роли покупателя в фиктивно подготовленных документах о продаже квартиры умершим. Введенная в заблуждение женщина согласилась помочь, а затем по указанию обвиняемой обратилась в суд с иском о регистрации права собственности на спорную квартиру. Однако решением суда, оставленным в силе вышестоящими судебными инстанциями, в удовлетворении заявленных требований было отказано, договор купли-продажи признан недействительной сделкой.   
По аналогичной схеме обвиняемая попыталась при помощи другой знакомой, не осведомленной о преступном характере действий юриста, отсудить у законных наследников умершего принадлежащий тому земельный участок в селе Новая Усмань стоимостью свыше 560 тысяч рублей.
О противоправной деятельности бывшего адвоката стало известно органам безопасности, после чего в июне 2021 года она была задержана при проведении совместных мероприятий следователями СК и сотрудниками УФСБ России по Воронежской области.
Как сообщалось ранее, на предварительном следствии обвиняемая дала признательные показания. Ее вина подтверждалась также показаниями свидетелей, оперативными материалами регионального управления ФСБ, протоколами следственных и процессуальных действий, в связи с чем уголовное дело с утвержденным обвинительным заключением было направлено в суд для рассмотрения по существу.
Приговором суда виновная осуждена к 3 годам лишения свободы условно с испытательным сроком 4 года. Также с подсудимой в пользу двух потерпевших взыскана компенсация морального вреда в размере 100 тысяч рублей каждому. Приговор может быть обжалован в течение 10 дней."
/news/item/1217362/,voronezh,"Воронежец, представлявшийся сотрудником спецслужб, привлекается к уголовной ответственности за покушение на мошенничество",[],11 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Воронежской области по результатам доследственной проверки и на основании материалов, предоставленных УФСБ России по Воронежской области, возбуждено уголовное дело в отношении 25-летнего местного жителя. Он подозревается в совершении преступления, предусмотренного ч.3 ст. 30, ч.3 ст.159 УК РФ (покушение на мошенничество).
По версии следствия, в начале апреля 2018 года подозреваемому стало известно о намерении  местного жителя трудоустроиться в органы ФСБ России. Встретившись с последним, он сообщил, что якобы является действующим сотрудником спецслужбы, имеет воинское звание «майор» и может оказать содействие в его трудоустройстве. При фактическом отсутствии какой-либо возможности повлиять на данный факт, лжесотрудник потребовал за это незаконное денежное вознаграждение в сумме 300 тысяч рублей. Молодой человек, имеющий намерение поступить на военную службу, будучи введенным в заблуждение и реально воспринимая вышеуказанную информацию, согласился. 10 апреля 2018 года знакомый подозреваемого, неосведомленный о его преступных намерениях, получил от потерпевшего часть денежного вознаграждения в сумме 100 тысяч рублей для последующей передачи их лжесотруднику.  
При проведении следственных действий подозреваемый сознался в совершенном преступлении и дал подробные показания. В ближайшее время следствие планирует предъявление обвинения.  Сотрудниками регионального СК и УФСБ России по Воронежской области продолжается выполнение комплекса необходимых мероприятий, направленных на установление обстоятельств совершенного преступления и закрепление доказательственной базы. Расследование уголовного дела продолжается - рассказал руководитель следственного отдела по Левобережному району г. Воронежа регионального следственного управления СК России Матвей Сладких."
/news/item/1675519/,voronezh,Завершено расследование уголовного дела по обвинению руководителя ветеринарного учреждения в получении взятки,"['взятка', 'деньги', 'коррупция', 'собранные доказательства']",09 Апреля 2024,"Фото из открытых источников            

Следственными органами Следственного комитета Российской Федерации по Воронежской области завершено расследование уголовного дела по обвинению 55-летнего руководителя ветеринарного учреждения в совершении преступления, предусмотренного ч.3 ст. 290 УК РФ (получение взятки в значительном размере). Уголовное дело возбуждено на основании материалов, предоставленных сотрудниками УФСБ и ГУ МВД России по Воронежской области.
По данным следствия, обвиняемый, занимая должность заведующего Верхне-Карачанского ветеринарного участка бюджетного учреждения Воронежской области «Грибановская районная станция по борьбе с болезнями животных», в период с марта по декабрь 2020 года, действуя из корыстной заинтересованности, получил от индивидуального предпринимателя незаконное денежное вознаграждение в общей сумме свыше 114 тысяч рублей, перечисленных на банковскую карту обвиняемого, за изготовление и выдачу указанному лицу  ветеринарных свидетельств, содержащих заведомо ложные сведения о надлежащем состоянии подлежащей реализации мясной продукции, без фактического проведения предубойного осмотра крупного рогатого скота и в нарушение установленного порядка убоя животных. В последующем подлежащая реализации мясная продукция была отправлена в другой регион.  
На предварительном следствии обвиняемый признал вину, дал подробные показания. Его вина подтверждается также оперативными материалами региональных управлений ФСБ и МВД, показаниями свидетелей, протоколами осмотров и выемок, иными материалами уголовного дела, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в  суд для рассмотрения по существу – сообщил и.о. руководителя Борисоглебского межрайонного следственного отдела регионального управления СК России Роман Филатов."
/news/item/1598069/,voronezh,"В Воронеже мужчина пытался дать взятку сотруднику органов безопасности, желая избежать привлечения к ответственности",[],04 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Воронежской области возбуждено уголовное дело в отношении 40-летнего жителя Семилукского района Воронежской области по признакам преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки в значительном размере).
По предварительным данным, в июле 2021 года в отношении 40-летнего жителя Семилукского района проводилась проверка  по факту хищения муниципального имущества. Не желая быть привлеченным к уголовной ответственности, мужчина высказал намерение передать оперативному сотруднику незаконное денежное вознаграждение за непроведение в отношении него проверочных мероприятий. Несмотря на разъяснения о том, что данные действия являются уголовно-наказуемым деянием, мужчина своих намерений не изменил и 30 июля 2021 года в городе Воронеже попытался передать должностному лицу денежные средства в сумме 50 тысяч рублей. Однако умысел взяткодателя не был доведен до конца ввиду его задержания на месте преступления в ходе совместных мероприятий следователей СК и сотрудников УФСБ России по Воронежской области. На допросе подозреваемый сознался в содеянном, дал подробные показания.  
Следователями СК проведен осмотр места происшествия, в ходе которого изъяты переданные в качестве взятки денежные средства, допрашиваются свидетели, при взаимодействии с оперативными сотрудниками регионального управления ФСБ выполняются иные мероприятия, направленные на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1581850/,voronezh,Житель Россошанского района признан виновным в покушении на дачу взятки полицейскому,[],02 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Воронежской области завершено расследование уголовного дела в отношении 51-летнего жителя Россошанского района. Он признан судом виновным в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки за совершение заведомо незаконных действий).
Следствием и судом установлено, что 10 апреля 2021 года в дневное время 51-летний местный житель, находясь в городе Россошь в помещении экзаменационного класса межрайонного регистрационно-экзаменационного отделения ГИБДД № 11 ГУ МВД России по Воронежской области, попытался передать начальнику данного подразделения денежные средства в размере 30 тысяч рублей, положив их в конверте под системный блок компьютера, за выставление положительной оценки по  теоретической части экзамена на право управления транспортным средством без фактической проверки знаний. Несмотря на неоднократное предупреждение должностного лица о том, что дача взятки является уголовно-наказуемым преступлением, обвиняемый не отказался от своих намерений. Сотрудник полиции от получения взятки отказался, сообщив о предложении коррупционного характера в дежурную часть. 
Как ранее сообщалось, в ходе следствия обвиняемый признал вину в полном объеме, дал показания по существу совершенного деяния. Органами следствия собрана достаточная доказательственная база, в связи с чем утверждено обвинительное заключение,  и  уголовное дело  было направлено в суд для рассмотрения по существу.
Вступившим в законную силу приговором суда мужчина осужден к 3 годам лишения свободы условно."
/news/item/1309518/,voronezh,Бывший сотрудник департамента земельных и имущественных отношений Воронежской области обвиняется в получении взятки,"['взятка', 'коррупция']",12 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Воронежской области завершено расследование уголовного дела в отношении бывшего сотрудника департамента земельных и имущественных отношений Воронежской области. Он обвиняется в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение взятки).
По данным следствия, должностное лицо потребовало от индивидуального предпринимателя денежные средства в размере 30 тысяч рублей за совершение незаконных действий в его пользу,  выраженных в предупреждении о внеплановых проверках соблюдения лицензионных требований при осуществлении розничной продажи алкогольной и спиртосодержащей продукции и привлечение к административной ответственности за незаконную реализацию алкогольной продукции в торговых объектах не его самого, как индивидуального предпринимателя, а его продавца, как физическое лицо.  
В декабре 2018 года в ходе производства совместных мероприятий сотрудниками регионального СК, УФСБ и ГУ МВД России по Воронежской области должностное лицо было задержано на месте преступления при передаче ему оставшейся части требуемой суммы в размере 20 тыс. рублей. 
На предварительном следствии обвиняемый дал признательные показания. Его вина также подтверждается материалами, предоставленными сотрудниками УФСБ и ГУ МВД России по Воронежской области, показаниями свидетелей, протоколами осмотров, а также иными доказательствами, собранными по уголовному делу. Обвинительное заключение утверждено прокурором и уголовное дело направлено в суд для рассмотрения по существу - рассказал руководитель следственного отдела по Левобережному району города Воронежа регионального следственного управления Матвей Сладких."
