Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1546311/,yanao,В Салехарде мужчина признан виновным в приготовлении к даче взятки сотруднику правоохранительных органов,['взятка'],02 Мая 2024,"Собранные Салехардским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу доказательства признаны судом достаточными для вынесения приговора в отношении местного жителя. Мужчина признан виновным в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (приготовление к даче взятки должностному лицу, в крупном размере).
По данным следствия и суда, в городе Салехарде в ночь на 9 на 10 октября 2020 года мужчина управляя автомобилем в состоянии алкогольного опьянения, нарушил правила дорожного движения, в связи с чем был остановлен инспектором ГИБДД ОМВД России по г.Салехарду. При составлении протокола мужчина, с целью избежать ответственности за совершенное  административное правонарушение, предложил сотруднику полиции взятку в размере 30 тысяч рублей. Получив предупреждение о привлечении его к уголовной ответственности за совершение противоправного деяния, мужчина вновь предложил указанную сумму, после чего инспектор ГИБДД сообщил о происшествии в дежурную часть полиции.
Приговором суда осужденному назначено наказание в виде штрафа в размере 900 тысяч рублей. До приведения приговора суда в исполнение в части имущественного взыскания, сохранен наложенный постановлением суда арест на два автомобиля, принадлежащие осужденному, в полном объеме."
/news/item/1602537/,yanao,В ходе следствия выявлен дополнительный эпизод преступной деятельности бывшего заместителя директора филиала ФГБУ «Центр лабораторного анализа и технических измерений по УрФО» по ЯНАО,"['коррупция', 'мошенничество']",26 Апреля 2024,"Ноябрьским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу завершено расследование уголовного дела в отношении заместителя директора филиала ФГБУ «Центр лабораторного анализа и технических измерений по УрФО» по ЯНАО, обвиняемого в совершении преступлений, предусмотренных  ч.3 ст.290 УК РФ (получение должностным лицом взятки за незаконные действия (бездействие) и п. «в» ч.5 ст.290 УК РФ (получение должностным лицом взятки в крупном размере за незаконные действия (бездействие). В настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд.
Кроме этого, следователями установлен еще один дополнительный эпизод преступной деятельности фигуранта - мошенничество, совершенное лицом с использованием своего служебного положения (ч.3 ст.159 УК РФ).
Так, по данным следствия, в городе Ноябрьске, в 2019 и 2020 годах заместитель директора филиала ФГБУ «Центр лабораторного анализа и технических измерений по УрФО» в ЯНАО, действуя в интересах коммерческой организации, у которой заключен договор с иным юридическим лицом на выполнение работ, связанных с рекультивацией земель, переработке нефтешлама и обустройству кустовых площадок на месторождениях нефти и газа, получил через посредников взятки от генерального директора ООО «СеверАвтоТранс» в виде денег в общей сумме более 350 тысяч рублей за решение вопросов, связанных с получением положительного результата по протоколам испытаний, заключений нефтесодержащих отходов и твердых остатков от сжигания нефтесодержащих отходов и передачей отходов на утилизацию.
Далее, 30 сентября 2020 года заместитель директора филиала ФГБУ оплатил частью полученной взятки ремонт служебного автомобиля, после чего представил в бухгалтерию по месту работы ложные отчетные документы о ремонте автомобиля за личные средства. В результате мошеннических действий мужчина получил денежные средства в сумме 18 тысяч рублей, причинив на указанную сумму материальный ущерб организации.
В ходе предварительного следствия по уголовному делу, направленному в суд, следствием наложен арест на имущество обвиняемого, с целью обеспечения решения суда.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления по статье «Мошенничество». Расследование уголовного дела продолжается."
/news/item/1814148/,yanao,В Ямало-Ненецком автономном округе перед судом предстанут бывшие должностные лица регионального управления Росреестра,"['взятка', 'коррупция']",24 Апреля 2024,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу завершено расследование уголовного дела в отношении организованной преступной группы из числа должностных лиц руководства управления Росреестра и кадастровой палаты Ямало-Ненецкого автономного округа. Они обвиняются в совершении преступлений, предусмотренных ч. 5, 6 ст. 290 УК РФ (получение взятки).
В ходе следствия установлено, что с января 2016 года по декабрь 2019 года руководитель управления Росреестра по ЯНАО, его заместитель и директор филиала ФГБУ Федеральной кадастровой палаты Росреестра по ЯНАО через посредников, которые использовали свою сеть посредников, в составе организованной группы, скрыто используя подчиненных им сотрудников, при строгой конспирации преступных действий, получили около двух десятков взяток в виде денег на общую сумму более 25 млн рублей за незаконные регистрационные действия и заведомо низкую оценку недвижимости на территории Ямало-Ненецкого автономного округа, что привело к нарушению охраняемых законом интересов общества и Государства.
Организованные и слаженные действия следователей СУ СК России по ЯНАО при содействии сотрудников УЭБ и ПК МВД России и сотрудников территориальных ведомств (г. Москва, Челябинска, Кургана, Тюмени, Барнаула, Нового Уренгоя, Салехарда) дали основания для задержания и ареста фигурантов дела, возбуждения более 40 уголовных дел о коррупционных преступлениях, соединенных в одном производстве.  
В ходе предварительного следствия наложен арест на денежные средства, автомобили и недвижимость обвиняемых.
Уголовное дело возбуждено на основании результатов оперативно-розыскной деятельности сотрудников УЭБ и ПК УМВД России по Ямало-Ненецкому автономному округу
В настоящее время следствием собрано достаточно доказательств вины обвиняемых, в связи с чем, уголовное дело с утвержденным обвинительным заключением будет направлено в суд."
/news/item/1814315/,yanao,"В Ямало-Ненецком автономном округе перед судом предстанет заместитель руководителя коммерческой организации, обвиняемый в покушении на мошенничество в особо крупном размере","['коррупция', 'мошенничество']",11 Апреля 2024,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу завершено расследование уголовного дела в отношении бывшего заместителя генерального директора юридического лица, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30 ч. 4 ст. 159 УК РФ (покушение на мошенничество, совершенное лицом с использованием своего служебного положения, в особо крупном размере).
По данным следствия, заместитель генерального директора коммерческой организации, обладая полномочиями по представлению в пределах своей компетенции интересов Общества во взаимоотношениях с другими организациями, с целью скрыть противоправные действия подчиненных ему работников по приемке и оплате невыполненных работ, желая обеспечить завершение в срок работ на строительном объекте, а также переложить бремя материальных затрат на ликвидацию последствий на другое лицо, под угрозой прекращения договорных отношений с юридическим лицом, арендующем земли на нефтегазоконденсатном месторождении, сообщил представителю коммерческой организации заведомо ложные, не соответствующие действительности сведения о наличии у него служебных полномочий по расторжению субарендного договора. Предложив урегулировать возникший спорный вопрос, он потребовал от руководителя субарендной организации закупить строительные материалы на сумму более 9 млн рублей для нужд иных коммерческих организаций, выполняющих строительные работы на объекте.
Однако свой преступный умысел обвиняемый не смог довести до конца по независящим от него причинам, поскольку руководитель субарендной организации обратилась в правоохранительные органы с заявлением о его противоправных действиях.
В ходе предварительного следствия заместитель генерального директора активно противодействовал следствию, предпринимая меры по оказанию давления на свидетелей, большинство из которых находились в его прямом подчинении. Следователями в кратчайшие сроки были установлены и пресечены его действия. По ходатайству следователя судом в отношении обвиняемого избрана меры пресечения в виде запрета на общение со свидетелями, а также запрет на посещение ряда учреждений, где он осуществлял трудовую деятельность.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено в суд."
/news/item/1489449/,yanao,"Следственными органами в ходе расследования уголовного дела в отношении экс-заместителя генерального директора ООО «Харампурнефтегаз» выявлены дополнительные эпизоды его преступной деятельности. Мужчина обвиняется в коммерческом подкупе, совершенном в крупном и особо крупном размерах",['коррупция'],10 Апреля 2024,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу (с дислокацией в г.Губкинский) в рамках расследования уголовного дела, возбужденного в отношении экс-заместителя генерального директора по капитальному строительству ООО «Харампурнефтегаз», обвиняемого в совершении преступления, предусмотренного ч. 8 ст. 204 УК РФ (коммерческий подкуп, совершенный в особо крупном размере), выявлены дополнительные эпизоды его преступной деятельности в получении коммерческого подкупа в крупном и особо крупном размерах.
Благодаря тщательно спланированным оперативно-розыскным мероприятиям и следственным действиям, в ходе расследования преступления, совершенного заместителем генерального директора в июне 2019 года, следствием установлено, что в декабре 2018 и в июле 2019 года обвиняемый, занимая руководящую должность в дочерней компании ПАО «НК-Роснефть», незаконно получил от представителя коммерческой организации денежные  средства в сумме 1,5 млн и 750 тысяч рублей  за совершение действий в интересах этой организации.
Напоминаем, что в июне 2019 года обвиняемый получил от представителя коммерческой организации коммерческий подкуп в размере 2 млн 750 тысяч рублей.
В настоящее время экс-заместитель руководителя коммерческой организации обвиняется в совершении преступлений, предусмотренных  п. «г», ч.7 ст. 204 УК РФ (коммерческий подкуп, совершенный в крупном размере) и ч.8 ст. 204 УК РФ (в совокупности два эпизода) (коммерческий подкуп, совершенный в особо крупном размере).
В отношении представителя коммерческой организации возбуждены уголовные дела, п. «в» ч.3 ст. 204 УК РФ (коммерческий подкуп в крупном размере) и ч.4 ст. 204 УК РФ (коммерческий подкуп в особо крупном размере).
Прокуратурой Ямало-Ненецкого автономного округа проверена законность возбуждения уголовных дел и избрания в отношении обвиняемого меры пресечения в виде заключения под стражу.
В настоящее время в целях обеспечения исполнения решения суда по ходатайству следствия на установленное имущество обвиняемого наложен арест.
Преступление выявлено ЭБиПК УМВД России по ЯНАО при содействии службы безопасности ПАО «НК-Роснефть».
Расследование уголовных дел продолжается."
/news/item/1292448/,yanao,"Апелляционная инстанция, изменив приговор городского суда, ужесточила наказание бывшему заместителю Главы Администрации Надымского района, осужденному за коррупционные преступления",['коррупция'],01 Апреля 2024,"Следственным отделом по г.Надым следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу в ходе расследования уголовного дела в отношении бывшего заместителя Главы администрации Надымского района выявлены следующие эпизоды его преступной коррупционной деятельности.
По версии следствия, мужчина в период с 2013 по 2015 год находясь в должности заместителя Главы Администрации муниципального образования Надымский район, курируя сферу управления имуществом района, из личной заинтересованности в стремлении извлечь выгоду имущественного характера, потребовал от индивидуального предпринимателя  в обмен на свое молчание о его незаконной предпринимательской деятельности перечислить в качестве благотворительной помощи 2 миллиона рублей на счет некоммерческой организации «Фонд развития муниципального образования Надымский район».
Предприниматель перечислил на указанный счет 1,5 миллиона рублей, которыми  осужденный в дальнейшем распорядился по своему усмотрению - приобрел имущество, которое использовал в личных целях.
Другой предприниматель, поставленный в такие же условия, перечислил на этот счет благотворительную помощь в размере 500 тысяч рублей.
В указанный период времени, осужденный, зная в силу исполнения своих должностных обязанностей о том, что в хозяйственном ведении МУП  «Управление энергоснабжения и инженерных сетей» находится объект недвижимого имущества - баня-прачечная, включенная в реестр муниципального имущества, дал незаконное указание директору муниципального предприятия осуществить процедуру продажи бани-прачечной путем проведения торгов, оценив ее по минимальной цене.
По результатам торгов объект муниципальной собственности, рыночная стоимость которого на момент заключения сделки составляла 6,7 миллионов рублей, оказалась продана физическому лицу за сумму чуть более 2 миллионов рублей, чем муниципальному образованию был причинен существенный имущественный  вред.
Кроме того, осужденный, зная, что ОАО «Севергазстрой» неоднократно получало от администрации района отказы на обращения о получении согласия на залог права аренды земельных участков, которое требовалось организации для обеспечения по кредитной линии, выдвинул руководству коммерческой организации требование продать указанному им гражданину принадлежащую организации причальную стенку по цене 500 тысяч рублей, при реальной стоимости объекта 20 млн. рублей. Поставленный в безвыходное положение руководитель коммерческой организации, желая избежать финансовых трудностей, а также иных возможных негативных последствий  для организации, подписал документы, необходимые для продажи имущества.
Следователи квалифицировали преступные действия осужденного по ч. 1 ст. 286 УК РФ (превышение должностных полномочий по двум эпизодам), ч. 1 ст. 285 УК РФ (нецелевое расходование бюджетных средств), ч.6 ст.290 УК РФ (получение взятки в особо крупном размере).
Предварительное следствие по уголовному делу значительно осложнялось противодействием которое оказывали осужденный и его адвокаты. Следствию приходилось неоднократно обращаться в суд с ходатайством об ограничении осужденного и адвокатов во времени ознакомления с уголовным делом. В итоге многоэпизодное уголовное дело уложилось в 37 томов. С утвержденным обвинительным заключением дело поступило в городской суд.
Надымский городской суд, рассмотрев уголовное дело, переквалифицировал обвинение и осудил мужчину за совершение четырех преступлений, предусмотренных ч.1 ст.285 УК РФ, назначив ему наказание в виде 3 лет 6 месяцев лишения свободы с отбыванием наказания в колонии-поселении с лишением права занимать должности на государственной службе и в органах местного самоуправления на срок 3 года.
24 января 2019 года судебная коллегия по уголовным делам суда ЯНАО, рассмотрев уголовное дело по жалобе осужденного и апелляционному представлению прокурора, изменила приговор городского суда, переквалифицировав действия осужденного в отношении ОАО ""Севергазстрой"" с ч.1 ст.285 УК РФ на ч.6 ст.290 УК РФ.
Решением суда апелляционной инстанции осужденному назначено наказание в виде 10 лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима.
Осужденный взят под стражу в зале суда."
/news/item/1627041/,yanao,В Ямало-Ненецком автономном округе расследуется уголовное дело о коммерческом подкупе в особо крупном размере,['коррупция'],28 Марта 2024,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу возбуждено уголовное дело в отношении начальника отдела ОАО «Севернефтегазпром», подозреваемого в совершении преступления, предусмотренного ч. 8 ст. 204 УК РФ (коммерческий подкуп, совершенный в особо крупном размере) и руководителя коммерческой организации, подозреваемого в совершении преступления по ч.4 ст. 204 УК РФ (незаконная передача лицу, выполняющему управленческие функции в коммерческой организации, денег, за совершение действий в интересах дающего, в особо крупном размере).
По данным следствия, в 2016 году в городе Новый Уренгой начальник отдела ОАО «Севернефтегазпром», зная о заинтересованности у руководителя коммерческой организации в заключении договора на оказание услуг с ОАО, предложил мужчине незаконно передавать ему денежные средства в качестве вознаграждения за совершение им действий в интересах коммерческой организации, входящих в его служебные полномочия.
Достигнув преступного соглашения, в период с января 2016 по май 2021 года начальник отдела ОАО получил от руководителя коммерческой организации коммерческий подкуп в виде денег на общую сумму около 4,4 млн рублей,
 Преступление выявлено РУ ФСБ России по Тюменской области
В настоящее время следствием проводятся мероприятия, направленные на установление всех обстоятельств совершенных преступлений.
Расследование уголовного дела продолжается."
/news/item/1551269/,yanao,Осужденный к лишению свободы за совершение коррупционного преступления экс-главный инженер АО «Салехардэнерго» исполнил дополнительное наказание в виде штрафа,['взятка'],19 Марта 2024,"Осужденный приговором Салехардского городского суда бывший главный инженер АО «Салехардэнерго» за в совершение  преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение должностным лицом через посредника взятки в виде денег за совершение действий в пользу взяткодателя, если указанные действия входят в служебные полномочия должностного лица и если оно в силу должностного положения может способствовать указанным действиям, в особо крупном размере) к 8 годам лишения свободы с отбыванием наказания в колонии строгого режима со штрафом в размере взятки, исполнил приговор в части уплаты штрафа, внеся в бюджет Российской Федерации денежные средства в сумме 3 млн. 800 тыс. рублей.
Как сообщалось ранее, собранные Салехардским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу доказательства признаны судом достаточными для вынесения в ноябре 2020 года обвинительного приговора в отношении экс-главного инженера АО «Салехардэнерго».
По данным следствия и суда, в городе Салехарде, в 2019 году, главный инженер акционерного общества, зная, что между АО «Салехардэнерго» и коммерческим предприятием заключен договор на капитальный ремонт газотурбинного двигателя, через посредника предложил руководителю предприятия за взятку в виде денег поспособствовать в беспрепятственном выполнении ремонтных работ, своевременном подписании акта приемки выполненных работ и в полной своевременной оплате по договору.
Получив согласие, в октябре 2019 года осужденный, действуя в качестве исполняющего обязанности руководителя, а также главного инженера акционерного общества, утвердил акт о проведении пуско-наладочных работ, испытаний и допуска оборудования к промышленной эксплуатации, акт сдачи-приемки выполненных работ, тем самым ускорив процесс согласования исполнительно-технической документации и передачу документов для производства расчетов с подрядчиком. После произведенной полной оплаты по договору в размере более 80 млн. рублей, руководитель организации-подрядчика, лично заинтересованный в результатах финансово-хозяйственной деятельности предприятия, передал через посредника в качестве благодарности должностному лицу за совершенные в его пользу действия, взятку в размере 3 млн. 800 тыс. рублей. Предмет взятки изъят в полном размере при производстве неотложного обыска в жилище главного инженера.
Исполнение приговора в части дополнительного наказания в виде штрафа, обеспечено наложенным в ходе предварительного следствия арестом на имущество осужденного.
Приговор вступил в законную силу."
/news/item/1180755/,yanao,Удовлетворено ходатайство следствия об избрании меры пресечения в отношении депутата Законодательного собрания ЯНАО,['коррупция'],13 Марта 2024,"Постановлением Салехардского городского суда, рассмотревшего ходатайство следствия об избрании меры пресечения в отношении руководителя дочернего предприятия АО «Газпромнефть», 19 ноября 2017 года принято решение о заключении указанного лица под стражу сроком на два месяца.
На основании материалов оперативно-розыскных мероприятий, проведенных сотрудниками Регионального Управления ФСБ России по Тюменской области, отдела по Ямало-Ненецкому автономному округу Регионального Управления ФСБ России по Тюменской области, а также УЭБиПК УМВД России по Ямало-Ненецкому автономному округу совместно с сотрудниками 12-го отдела Управления «Р» ГУЭБиПК МВД России руководителем следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу возбуждено уголовное дело в отношении руководителя дочернего предприятия АО «Газпромнефть», депутата Законодательного Собрания Ямало-Ненецкого автономного округа по признакам  преступления, предусмотренного ч. 8 ст. 204 УК РФ (незаконное получение лицом, выполняющим управленческие функции в коммерческой или иной организации, денег за совершение действий (бездействие) в интересах дающего, если указанные действия (бездействие) входят в служебные полномочия такого лица либо если оно в силу своего служебного положения может способствовать указанным действиям (бездействию) в особо крупном размере).
Прокуратурой Ямало-Ненецкого автономного округа проверена законность постановлений о возбуждении уголовных дел и поддержано ходатайство следствия перед судом об избрании меры пресечения.
Установлено, что 17 ноября 2017 года в городе Ноябрьск генеральный директор дочернего предприятия АО «Газпромнефть» получил от лица, действующего в интересах коммерческих организаций, через посредника в качестве коммерческого подкупа деньги в сумме более 1 миллиона рублей за совершение в интересах коммерческих организаций действий, входящих в его служебные полномочия.
В отношении лица, являющегося посредником в передаче коммерческого подкупа, отделом по расследованию особо важных дел регионального следственного управления возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 204.1 УК РФ (посредничество в коммерческом подкупе, совершенное в особо крупном размере).
По уголовному делу продолжается проведение необходимых следственных действий и оперативно-розыскных мероприятий."
/news/item/1295087/,yanao,"В Надыме возбуждены уголовные дела в отношении сотрудника городской больницы и представителей коммерческой организации, подозреваемых в совершении коррупционных преступлений",['взятка'],11 Марта 2024,"Следственным отделом по г. Надым следственного управления Следственного комитета Российской Федерации по Ямало-Ненецкому автономному округу возбуждены уголовные дела в отношении сотрудника ГБУЗ ЯНАО ""Надымская ЦРБ"", подозреваемого в совершении преступления, предусмотренного п. «а» ч.5 ст.290 УК РФ (получение взятки в крупном размере, совершенное группой лиц по предварительному сговору) и в отношении двух представителей коммерческой организации, подозреваемых в совершении преступления, предусмотренного п. «а», «б»  ч.4 ст.291 УК РФ (дача взятки, совершенная группой лиц по предварительному сговору в крупном размере, за совершение заведомо незаконных действий).
По данным следствия в городе Надыме в 2018 году сотрудник ГБУЗ ЯНАО ""Надымская ЦРБ"", наделенный организационно-распорядительными и финансово-хозяйственными функциями в бюджетной организации, в чьи полномочия входит представление интересов учреждения, как балансодержателя, имея намерение незаконно обогатиться, вступил в предварительный сговор с представителем ООО «Сакура», действующим в интересах коммерческой организации. В обмен за денежное вознаграждение - 10% от общей суммы заключенного контракта, сотрудник больницы обещал своевременно информировать коммерческую организацию о предстоящем проведении торгов и заключении государственных контрактов по выполнению капитального ремонта больницы с ГКУ «Дирекция капитального строительства и инвестиций ЯНАО», а также оказывать содействие обществу с ограниченной ответственностью, выступавшему подрядчиком при исполнении работ по контракту, в незамедлительном подписании актов сдачи-приемки выполненных работ в случае невозможности сдать объекты в установленные сроки. О достигнутом соглашении представитель подрядной коммерческой организации поставил в известность своего директора, и получил от него согласие на систематическую передачу взятки должностному лицу государственного учреждения.
Позже, по достигнутой договоренности сотрудник больницы известил коммерческую организацию о заключенном контракте на сумму около 3 млн. рублей. В период с сентября по ноябрь 2018 года, подозреваемый, действуя в рамках представленных ему должностных полномочий, незамедлительно подписывал все необходимые акты приема – передачи объектов капитального ремонта, зная, что работы выполнены не в полном объеме. Кроме этого, по просьбе руководителя коммерческой организации он оказал содействие в отсрочке приемки объектов и внес ГКУ «Дирекция капитального строительства и инвестиций ЯНАО» предложения для заключения дополнительных соглашений по оплате неучтенных контрактом работ на сумму около 300 тысяч рублей.
За осуществление действий в интересах взяткодателя сотрудник больницы получил от представителя ООО ""Сакура"" в качестве взятки 266 тысяч рублей, как часть денежных средств от общей оговоренной суммы.
Преступление выявлено в ходе проведения оперативно-розыскных мероприятий сотрудниками полиции.
В настоящее время следствие устанавливает все обстоятельства совершенных преступлений. Решается вопрос о применении к подозреваемым меры пресечения. Расследования уголовных дел продолжаются."
