Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1393947/,yaroslavl,"В отношении сотрудника полиции, задержанного в рамках расследования уголовного дела о мошенничестве с квартирами,  избрана мера пресечения в виде заключения под стражу","['взятка', 'мошенничество', 'СКР']",10 Апреля 2024,"Следственными органами СК России по Ярославской области продолжается расследование уголовного дела о мошенничестве с квартирами. В рамках расследования данного уголовного дела во взаимодействии с сотрудниками оперативно-розыскной части собственной безопасности регионального УМВД России задержан седьмой фигурант. Им является сотрудник одного из территориальных отделов полиции, который за денежное вознаграждение сообщал другим обвиняемым сведения об одиноких гражданах, в том числе пожилого возраста, имеющих в собственности квартиры. В настоящее время ему предъявлено обвинение в пособничестве в мошенничестве и получении взяток.
Сегодня судом рассмотрено ходатайство следствия об избрании в отношении злоумышленника меры пресечения в виде заключения под стражу. Доводы следствия признаны судом обоснованными. По результатам судебного разбирательства в отношении злоумышленника избрана мера пресечения в виде заключения по стражу.
Расследование уголовного дела продолжается."
/news/item/1413748/,yaroslavl,По подозрению в присвоении и растрате  задержан бывший директор регионального Департамента государственного жилищного надзора,"['коррупция', 'присвоение', 'растрата', 'СКР']",28 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Ярославской области по материалам, предоставленным управлением экономической безопасности и противодействия коррупции УМВД России по Ярославской области, возбуждено уголовное дело в отношении бывшего директора регионального Департамента государственного жилищного надзора. Женщина подозревается в совершении преступления, предусмотренного ч.4 ст. 160 УК РФ (присвоение и растрата).
По данным следствия, в 2017 году подозреваемая фиктивно трудоустроила в возглавляемое ею учреждение своего знакомого, заведомо зная о том, что принятый на работу гражданин фактически не будет исполнять возложенные на него обязанности, при этом получая  заработную плату. В результате указанных действий Департаменту, за счет которого в период с апреля 2017 года по июль 2019 года гражданину выплачивались денежные средства, был причинен материальный ущерб на сумму около 1 миллиона 100 тысяч рублей.
Подозреваемая задержана. Проводятся следственные действия, направленные на установление всех обстоятельств произошедшего.
Решается вопрос об избрании в отношении подозреваемой меры пресечения.
Напоминаем, что при полном или частичном использовании материалов сайта ссылка на следственное управление Следственного комитета Российской Федерации по Ярославской области обязательна."
/news/item/1656101/,yaroslavl,В Ярославской области бывший директор регионального департамента государственного жилищного надзора признана виновной в присвоении.,[],19 Марта 2024,"Собранные следственными органами СК России по Ярославской области признаны судом достаточными для внесения приговора в отношении жительницы города Ярославля. Она признана виновной в совершении преступлений, предусмотренных ч. 3 ст. 160, ч. 4 ст. 160 УК РФ (присвоение, совершенное с использованием служебного положения в крупном и особо крупном размере).Следствием и судом установлено, что злоумышленница, занимая должность директора департамента государственного жилищного надзора Ярославской области, фиктивно устроила на работу в учреждение своего знакомого. В период с 2017 по 2019 годы мужчина получал заработную плату и премии, при этом не выполнял фактические трудовые обязанности. Кроме того, в период с 2017 по 2019 годы подсудимая выплачивала ряду сотрудников завышенные и необоснованные премии, при этом часть полученных денежных средств работники передавали ей. Действиями обвиняемой причинен ущерб на сумму более 2 миллионов рублей.Приговором суда злоумышленнице назначено наказание в виде 4 лет лишения свободы условно с испытательным сроком 4 года, со штрафом в размере 200 тысяч рублей, с лишением права занимать должности в государственных органах, связанные с осуществлением функций представителя власти, либо с выполнением организационно-распорядительных, административно-хозяйственных функций на срок 2 года. Удовлетворен иск прокуратуры в интересах субъекта РФ в лице Департамента государственного жилищного надзора, с осужденной взыскано в возмещение ущерба 2440363,13 руб."
/news/item/1869007/,yaroslavl,В Ярославской области возбуждено уголовное дело по факту совершения мошеннических действий несовершеннолетним,"['мошенничество', 'несовершеннолетний', 'СКР']",18 Марта 2024,"Ростовским межрайонным следственным отделом следственного управления СК России по Ярославской области возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество, совершенное в крупном размере) в отношении несовершеннолетнего местного жителя. 
В ходе следствия установлено, что несовершеннолетний подозреваемый в ходе телефонного звонка убедил потерпевшую в необходимости передать денежные средства за избежание близким родственником уголовной ответственности. 
В общей сложности преступными деяниями причинен ущерб на сумму более 370 тыс. рублей.
Подозреваемый задержан УУР УМВД России по Ярославской области. 
Судом по ходатайству следователя СК России фигуранту избрана мера пресечения в виде заключения под стражу. 
В ближайшее время ему будет предъявлено обвинение. 
В настоящее время продолжается проведение необходимых следственных действий, направленных на установление всех обстоятельств произошедшего. Принимаются меры к возмещению причиненного ущерба."
/news/item/1829325/,yaroslavl,В Ярославской области житель Вологодской области подозревается в покушении на дачу взятки инспектору ДПС,"['взятка', 'коррупция', 'МВД', 'СКР']",28 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Ярославской области возбуждено и расследуется уголовное дело в отношении жителя Вологодской области, подозреваемого в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст. 291 УК РФ (покушение на дачу взятку должностному лицу в виде денег за незаконные действия). 
По данным следствия, 3 октября текущего года за непривлечение к административной ответственности по ч.1 ст. 12.8 КоАП РФ подозреваемый дал взятку в виде денег инспектору ДПС ГИБДД МУ МВД России «Рыбинское».
Преступление не было доведено до конца в связи с тем, что инспектор отказался принимать денежное вознаграждение и сообщил о незаконных действиях подозреваемого. 
В настоящее время следователем продолжается проведение необходимых следственных действий, направленных на сбор и закрепление доказательственной базы."
/news/item/1696555/,yaroslavl,"В Ярославле перед судом предстанет бывший инспектор СИЗО-1, обвиняемый в получении взятки","['взятка', 'коррупция', 'собранные доказательства', 'суд']",16 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Ярославской области завершено расследование уголовного дела в отношении 38-летнего бывшего младшего инспектора 1 категории дежурной службы СИЗО-1 города Ярославля, обвиняемого в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денегза незаконные действия, в крупном размере). 
По данным следствия, обвиняемый с 2018 по 2019 год познакомился со следственно-арестованным гражданином, содержащимся в СИЗО-1 города Ярославля, у которого, после освобождения, возник преступный умысел на передачу лицам, содержащимся в СИЗО-1, средств мобильной связи и коммуникации, а также комплектующих к ним, обеспечивающих их работу.
В целях реализации задуманного в октябре 2019 года, он предложил обвиняемому на системной основе совершать незаконные действия, заключающиеся в проносе на территорию СИЗО-1 запрещенных предметов мобильной связи за взятку в виде денег в крупном размере безналичным способом на расчетные счета. 
Всего с октября 2019 по июнь 2021 года на расчетные счета обвиняемого были перечислены денежные средства в размере более 820 тысяч рублей. 
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утверждённым обвинительным заключением направлено в суд для рассмотрения по существу.
#СКР #СКР76 #Следственноеуправление #СКРоссии"
/news/item/1743085/,yaroslavl,"В Ярославле перед судом предстанет местный житель, обвиняемый в даче взятки в особо крупном размере","['взятка', 'посредничество', 'СКР', 'собранные доказательства', 'суд']",14 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Ярославской области завершено расследование уголовного дела в отношении 31-летнего жителя города Ярославля, обвиняемого в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу через посредника в особо крупном размере). 
По данным следствия, злоумышленник в середине марта 2022 года, находясь на территории Дзержинского района города Ярославля, за согласование и подписание договора купли-продажи недвижимого имущества между акционерным обществом, в котором стопроцентным акционером является КУМИ города Ярославля и обвиняемым, который является индивидуальным предпринимателем, передал через посредника денежные средства в размере более 1 500 000 руб. директору вышеуказанного акционерного общества.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утверждённым обвинительным заключением направлено в суд для рассмотрения по существу.
#СКР #СКР76 #Следственноеуправление #СКРоссии"
/news/item/1338940/,yaroslavl,"Завершено расследование уголовного дела в отношении бывшего Главы Переславского муниципального района, обвиняемого в превышении должностных полномочий","['превышение полномочий', 'СКР']",07 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Ярославской области завершено расследование уголовного дела в  отношении  61-летнего бывшего Главы Переславского муниципального района. Ему предъявлено обвинение в совершении преступления, предусмотренного п. «в» ч. 3 ст. 286 УК РФ (превышение должностных полномочий, совершенное главой органа местного самоуправления, с причинением тяжких последствий).
Как следует из материалов уголовного дела, в феврале 2017 года обвиняемый выдал разрешение на строительство 2 жилых домов на объекте культурного наследия федерального значения «Селище «Клещино», Х-ХII вв.». В связи с последующим проведением строительных и земляных работ, данный объект культурного наследия был поврежден, а именно, уничтожен археологический культурный слой на части территории. Материальный ущерб оценивается в 2 миллиона 778 тысяч рублей.
Объекты культурного наследия (памятники истории и культуры) народов Российской Федерации представляют собой уникальную ценность для всего многонационального народа Российской Федерации и являются неотъемлемой частью всемирного культурного наследия. Государством гарантируется сохранность таких объектов в интересах настоящего и будущего поколений. 
Государственная охрана объектов культурного наследия является одной из приоритетных задач органов государственной власти Российской Федерации, органов государственной власти субъектов Российской Федерации и органов местного самоуправления. 
Таким образом, противоправные действия обвиняемого нарушили конституционные права каждого на доступ к культурным ценностям, а лично им нарушена его конституционная обязанность заботиться о сохранении исторического и культурного наследия, беречь памятники истории и культуры. 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело направлено прокурору для утверждения обвинительного заключения и последующей передачи в суд для рассмотрения по существу. В отношении обвиняемого избрана мера пресечения в виде подписки о невыезде и надлежащем поведении.
Следствием приняты исчерпывающие меры для возмещения ущерба, причиненного государству.  В частности, наложен арест на имущество обвиняемого в размере, равном  сумме ущерба.
При полном или частичном использовании материалов сайта ссылка на следственное управление Следственного комитета Российской Федерации по Ярославской области обязательна."
/news/item/1792862/,yaroslavl,"В Ярославле перед судом предстанет бывший сотрудник колонии, обвиняемый в получении взяток","['взятка', 'деньги', 'коррупция', 'СКР', 'ФСБ', 'ФСИН']",07 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Ярославской области завершено расследование уголовного дела в отношении 48-летнего бывшего сотрудника пенитенциарной системы, обвиняемого в совершении преступлений, предусмотренных ч.1 ст.290 УК РФ (получение взятки за совершение действий в пользу взяткодателя), ч. 2 ст. 290 УК РФ (получение взятки за совершение действий в пользу взяткодателя в значительном размере) - 2 эпизода, ч. 3 ст. 290 УК РФ (получение взятки за незаконные действия в значительном размере), ч. 1 ст. 291.2 УК РФ (получение взятки через посредника) - 5 эпизодов. 
По данным следствия, в 2021 году обвиняемый получал взятки за совершение действий, связанных с применением к осужденным мер поощрения в виде вынесения постановлений и объявления благодарностей. 
В 2021-2022 г.г. обвиняемый получал взятки за проносы на режимную территорию запрещенных к использованию мобильных телефонов с СИМ-картами и зарядных устройств. 
В общей сложности обвиняемый получил денежные средства в размере более 190 тысяч рублей. 
В ходе проведения оперативно-розыскных мероприятий сотрудниками УФСБ России по Ярославской области, совместно с сотрудниками отдела собственной безопасности УФСИН России по Ярославской области преступная деятельность обвиняемых была пресечена. 
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело с утверждённым обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1859337/,yaroslavl,В Ярославле перед судом предстанет обвиняемый в незаконной передаче коммерческого подкупа в крупном и особо крупном размерах,"['деньги', 'коррупция', 'СКР']",06 Февраля 2024,"Вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) следственного управления СК России по Ярославской области завершено расследование уголовного дела в отношении жителя города Ярославля, обвиняемого в совершении преступлений, предусмотренных п.п. «б, в» ч.3 ст.204 УК РФ (коммерческий подкуп, совершенный в крупном размере), ч.4 ст.204 УК РФ (коммерческий подкуп, совершенный в особо крупном размере).
Преступление выявлено сотрудниками УЭБиПК УМВД России по Ярославской области. 
По данным следствия, обвиняемый, являясь директором одной из коммерческих организаций города Ярославля, с марта 2021 года по август 2023 года передал директору по производству другой коммерческой организации, которая специализируется на изготовлении медицинского оборудования, как наличным, так и безналичным способом в качестве коммерческого подкупа денежные средства в общей сумме не менее 200 000 рублей, за совершение действий, выразившихся в организации беспрепятственной приемки поставленной продукции и выполненных работ ненадлежащего качества с последующей передачей бракованной продукции для устранения выявленного брака без уведомления о таких фактах и применения штрафных санкций, в целях своевременной и полной оплаты поставленной продукции и выполненных работ. 
С мая 2022 года по февраль 2023 года, обвиняемый передал как наличным, так и безналичным способом в качестве коммерческого подкупа денежные средства в общей сумме не менее 1 млн 500 тыс. рублей директору по производству и начальнику отдела материально-технического снабжения и логистики другой коммерческой организации, которая специализируется на изготовлении медицинского оборудования за совершение аналогичных действий. 
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утверждёнными обвинительным заключением будет направлено в суд для рассмотрения по существу.
В отношении директора по производству, который обвиняется в совершении преступлений, предусмотренных 
п.п. «в», «г» ч. 7 ст. 204 УК РФ (незаконное получение коммерческого подкупа в крупном размере); 
ч.8 ст.204 УК РФ (незаконное получение коммерческого подкупа в особо крупном размере); 
и начальника отдела материально-технического снабжения и логистики  коммерческой организации который обвиняется в совершении преступления, предусмотренного ч.8 ст.204 УК РФ (незаконное получение коммерческого подкупа  в особо крупном размере) уголовные дела с утвержденными обвинительными заключениями также будут направлены в суд для рассмотрения по существу."
