Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1543172/,ykt,Бывший бухгалтер районного управления образования Жиганского района предстанет перед судом по обвинению в хищении бюджетных денежных средств,['мошенничество'],21 Марта 2024,"фото из открытых источников            

Арктическим межрайонным следственным отделом СУ СК России по Республике Саха (Якутия) завершено расследование уголовного дела в отношении бывшего бухгалтера муниципального казенного учреждения «Жиганское районное управление образования». Женщина обвиняется в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ, - мошенничество, то есть хищение чужого имущества путем злоупотребления доверием, совершенное лицом с использованием своего служебного положения. 
Следствием установлено, что в феврале-апреле 2018 года обвиняемая использовала рабочий компьютер  своей коллеги и при помощи ее электронно-цифровой подписи через установленную программу под видом оплаты несуществующего договора на поставку индивидуальным предпринимателем  продуктов питания в детский сад составляла платежные поручения о перечислении денежных средств на расчетный счет своей знакомой.  
Как установлено следствием, всего за указанный период женщина похитила 150 тысяч рублей, распорядившись ими по своему усмотрению.  
Расследование уголовного дела завершено, с утвержденным обвинительным заключением материалы дела направлены в суд для рассмотрения по существу.  
Следует отметить, что это не все преступные эпизоды в биографии обвиняемой. В 2020 году она признана виновной в хищении аналогичным способом денежных средств на сумму свыше 770 тысяч рублей.  
Женщина признала вину в совершенных преступных деяниях и в полном объеме возместила причиненный ущерб. 
Уголовное дело возбуждено по материалам проверки, проведенной прокуратурой. 

Старший помощник руководителя СУ СК России по Республике Саха (Якутия) по взаимодействию со СМИ Надежда Дворецкая"
/news/item/1364109/,ykt,Заместителю мэра города Якутска и его сообщникам предъявлено обвинение в получении взятки квадратными метрами и в посредничестве в ее получении,"['взятка', 'коррупция']",19 Марта 2024,"фото из открытых источников            

Следственными органами Следственного комитета России по Республике Саха (Якутия) предъявлено обвинение по ч. 6 ст. 290 УК РФ заместителю главы по развитию территорий ГО «Город Якутск» Василию Гоголеву по уголовному делу по факту получения взятки в особо крупном размере.
Его сообщникам, представляющим интересы Общества с ограниченной ответственностью «Утум-Инвест»,  Георгию Карамзину и Татьяне Самсоновой  предъявлено обвинение в посредничестве в получении данной взятки по ч. 4 ст. 291.1 УК РФ.
По ходатайству органа расследования Якутским городским судом Гоголев и Карамзин заключены под стражу, Самсоновой избран домашний арест.
По данным следствия, заместитель главы по развитию территорий ГО «Город Якутск» Василий Гоголев, курируя вопросы капитального строительства в городе Якутске, получил от ООО «Строй-Академия», осуществляющего строительство многоквартирного жилого дома в городе Якутске, взятку в виде имущественных прав на недвижимость в данном строящемся доме в размере 1491 кв.м. на сумму 114 миллионов рублей за выдачу разрешений на увеличение этажности здания и отклонение от предельных параметров при строительстве жилого комплекса.
Взятка получена заместителем главы через посредников Карамзина и Самсонову в пользу строительной фирмы ООО «Утум-Инвест», владельцем и учредителем которой являлся сам Гоголев до сентября 2018 года – до назначения на должность заместителем главы.
В ряде интернет-изданий опубликована информация о том, что в сумму данной взятки входит в стоимость земельного участка на сумму 150 млн.р. по договору купли-продажи, заключенному ранее между ООО «Утум-Инвест» и ООО «Строй-Академия».
Органом расследования объективно установлено, что указанные выше лица требовали, помимо исполнения обязательств по договору на сумму 150 млн.р., передачи взятки в виде имущественных прав на недвижимость на сумму 114 млн.р. за выдачу соответствующих разрешительных документов.
В настоящее время выполняется комплекс следственных и оперативных мероприятий, направленных на установление всех обстоятельств совершенного преступления.
Орган предварительного расследования не преследует цели  воспрепятствования предпринимательской деятельности коммерческих предприятий ООО «Утум-Инвест» и ООО «Строй-Академия», которые осуществляют ведение строительного бизнеса в Республике Саха (Якутия). Строительство вновь вводимых объектов данными предприятиями производится без каких-либо ограничений в установленные сроки.
Старший помощник руководителя СУ СК России по Республике Саха (Якутия) по взаимодействию со СМИ  Надежда Дворецкая"
/news/item/1718507/,ykt,По факту гибели двух лиц при опрокидывании моторной лодки в Чурапчинском районе проводится процессуальная проверка,['причинение смерти по неосторожности'],18 Марта 2024,"Чурапчинским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Республике Саха (Якутия) проводится процессуальная проверка по факту опрокидывания моторной лодки, вследствие чего утонули мужчины, 1987 и 1979 годов рождения.
В ходе доследственной проверки установлено, что в ночь на 29 августа 2022 года на реке Амга в местности «Кырыс», расположенной в 10 км от села Мындагай Чурапчинского района, во время рыбалки перевернулась моторная лодка, на которой находились четыре местных жителя. По предварительным данным, судоводитель и один пассажир утонули. Второй пассажир самостоятельно выбрался на берег и позвал на помощь. Третьего пассажира спасли, он держался за корму лодки.
Состояние здоровья у спасенных удовлетворительное, они отказались от госпитализации.
В настоящее время силами МЧС, МВД, местной администрации, общественности и родственников проводятся мероприятия по поиску утонувших.
По данному факту в рамках процессуальной проверки следователями СКР устанавливаются обстоятельства произошедшего. По результатам проверки будет принято решение в соответствии с действующим законодательством."
/news/item/1779893/,ykt,Бывший бухгалтер муниципального учреждения Верхоянского района осуждена за должностные преступления,['мошенничество'],07 Марта 2024,"фото СУ СК России по Республике Саха (Якутия)            

Доказательства, собранные Верхоянским межрайонным следственным отделом СУ СК России по Республике Саха (Якутия), явились достаточными для вынесения обвинительного приговора в отношении  бывшего бухгалтера Муниципального бюджетного учреждения. Женщина признана виновной в совершении трех эпизодов преступления, предусмотренного ч.3 ст. 159 УК РФ (мошенничество, совершенное лицом с использованием своего служебного положения).
Следствие и судом установлено, что летом 2020 года женщина внесла в платежные документы заведомо ложные сведения о начислении себе заработной платы как работнику  Центра детско-юношеского туризма и экскурсий и спортивной школы. При этом каких-либо трудовых отношений с учреждениями у нее не было.
В последующем указанные финансовые документы были направлены в банковскую организацию, и на основании данных документов на счет женщины перечислены денежные средства, которыми обвиняемая  распорядилась по своему усмотрению.
Хищения вскрылись в ходе проверки, проведенной прокуратурой и оперативными сотрудниками МО МВД России «Верхоянский».
Следствием проведен комплекс необходимых следственных действий, направленных на сбор и закрепление доказательственной базы. На основании собранных доказательств судом подсудимая признана виновной и осуждена к наказанию в виде 3 лет лишения свободы условно с испытательным сроком 2 года. Необходимо отметить, что обвиняемая признала вину в ходе следствия и в полном объеме возместила причиненный ущерб."
/news/item/1842815/,ykt,Завершено расследование уголовного дела по обвинению бывшего директора психоневрологического интерната Вилюйского района в хищении денежных средств и получении взятки,['взятка'],05 Марта 2024,"Вилюйским межрайонным следственным отделом СУ СК России по Республике Саха (Якутия) завершено расследование уголовного дела по обвинению бывшего директора ГБУ Республики Саха (Якутия) «Вилюйский психоневрологический интернат им. К. Марсден» в совершении преступлений, предусмотренных ч. 4 ст. 160 УК РФ – присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения в особо крупном размере,  и п.п. «б», «в» ч. 5 ст. 290 УК РФ – получение взятки за совершение бездействия в пользу взяткодателя, если указанное бездействие входит в служебные полномочия должностного лица, совершенные с вымогательством взятки, в крупном размере.     
Согласно материалам уголовного дела, в период с  декабря 2020 по декабрь 2022 года обвиняемый давал незаконные устные указания подчиненным сотрудникам о подготовке документов для начисления премии себе, своему заместителю и главному бухгалтеру. В последующем указанным лицам  неправомерно перечислялись премии, что повлекло причинение социальному учреждению особо крупного ущерба.
Кроме того, согласно данным следствия, обвиняемый требовал у индивидуального предпринимателя, с которым имелись договорные отношения по поставке в интернат продуктов питания, перечислять ему денежные средства и передавать ему продукты питания в качестве благодарности за заключение указанных договоров. При этом в случае отказа он угрожал расторжением договоров и поиском другого поставщика. Потерпевший соглашался с незаконными требованиями обвиняемого, не желая терять  постоянного заказчика.
Следствием проведен комплекс необходимых следственных действий, направленных на сбор и закрепление доказательственной базы. С утвержденным прокурором обвинительным заключением уголовное дело направлено в суд для рассмотрения по существу.
Уголовное дело возбуждено по материалам проверки, проведенной районным подразделением УЭБиПК МВД по РС (Я)."
/news/item/1529594/,ykt,В отношении главного инженера нефтегазовой компании возбуждено уголовное дело о получении взятки в особо крупном размере,['взятка'],09 Января 2024,"фото из открытых источников            

Отделом по расследованию особо важных дел СУ СК России по  Республике Саха (Якутия) возбуждено уголовное дело в отношении главного инженера  ОАО «Саханефтегазсбыт»  Эдуарда Чикачева о получении взятки в особо крупном размере (ч. 6 ст. 290 УК РФ).
По данным следствия, главный инженер получил от директора коммерческой организации  взятку в виде отделочных материалов, мягкой и корпусной мебели, а также предметов интерьера на общую сумму около 3 миллионов 970 тысяч рублей. Имущество было получено им за обоснование перед руководством ОАО «Саханефтегазсбыт» необходимости перечисления  авансовых платежей  в пользу коммерческого предприятия  вопреки условиям ранее заключенного между организациями договора  по строительству Ленской нефтебазы на общую сумму свыше 90 миллионов рублей. Кроме того, Чикачев обещал беспрепятственную приемку и оплату строительных работ, выполненных подрядной организацией.
Приобретенные отделочные материалы, мягкая и корпусная мебель, а также предметы интерьера  были оплачены с расчетного счета коммерческой организации и доставлены в город Омск в квартиру Чикачева.
Преступление выявлено оперативными сотрудниками Управления экономической безопасности и противодействия коррупции МВД по Республике Саха (Якутия).
По ходатайству следователя Чикачев заключен под стражу на время производства следственных действий, ему предъявлено обвинение.
В настоящее время по уголовному делу проводятся следственные действия, направленные на сбор и закрепление доказательственной базы. Расследование продолжается."
/news/item/1738797/,ykt,Бывший сотрудник исправительного учреждения признан виновным в получении взятки в крупном размере,"['взятка', 'коррупция']",22 Декабря 2023,"фото СУ СК России по Республике Саха (Якутия)            

Доказательства, собранные следственным отделом по городу Якутску СУ СК России по Республике Саха (Якутия), явились достаточными для вынесения приговора бывшему сотруднику одного из исправительных учреждений республики. Он признан виновным в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере).
Следствием и судом установлено, что в феврале 2022 года подсудимый состоял в должности младшего инспектора группы надзора отдела безопасности исправительного учреждения и получил от осужденного взятку в сумме свыше 190 тыс. рублей за пронос на территорию исправительного учреждения запрещенных предметов – сотовых телефонов, зарядных устройств к ним и наушников.
Преступление было выявлено оперативными сотрудниками службы собственной безопасности УФСИН России по Республике Саха (Якутия).
Следствием проведен комплекс необходимых следственных действий, результаты которых легли в основу обвинительного приговора.
Подсудимый признан виновным и приговорен к наказанию в виде  штрафа в сумме 2 млн. рублей с лишением права занимать должности, связанные с осуществлением функций представителя власти и выполнением организационно-распорядительных и административно-хозяйственных полномочий в органах государственной власти   и органах местного самоуправления сроком на 3 года."
/news/item/1502528/,ykt,Возбуждено уголовное дело о даче взятки бывшему сотруднику Гостехнадзора  соседнего с Якутией региона,"['взятка', 'коррупция']",08 Декабря 2023,"фото из открытых источников            

Следственным отделом по Олекминскому району СУ СК России по Республике Саха (Якутия) возбуждено уголовное дело в отношении работника одного из золотодобывающих предприятий Олекминского района по  факту дачи взятки должностному лицу через посредника за совершение заведомо незаконных действий (ч.3 ст. 291 УК РФ).
По данным следствия, летом 2018 года мужчина решил повысить свою квалификацию незаконным путем, приобретя удостоверение тракториста-машиниста. Для реализации задуманного он обратился к мужчине, который вызвался помочь ему и выступить посредником между подозреваемым и главным государственным инспектором по Агинскому району отдела государственного технического надзора Государственной инспекции Забайкальского края.
Подозреваемый передал посреднику предоплату за удостоверение в сумме 15 тысяч рублей и позже, в ноябре 2018 года, узнав о готовности документа, передал посреднику оставшуюся часть оговоренной суммы в размере 10 тысяч рублей.
Таким образом в руках работника предприятия оказались удостоверение тракториста-машиниста, а также индивидуальная карточка о прохождении обучения.
Преступление было выявлено сотрудниками УФСБ России по Забайкальскому краю при проведении оперативно-розыскных мероприятий.
Следует отметить, что следователи по расследованию особо важных дел СУ СК России по Забайкальскому краю в настоящее время расследуют уголовное дело в отношении бывшего главного государственного инспектора по Агинскому району ОГТН  Гостехнадзора о получении взяток при аналогичных обстоятельствах на территории Забайкальского края.
                                                      
 
Старший помощник руководителя СУ СК России по Республике Саха (Якутия) по взаимодействию со СМИ  Надежда Дворецкая"
/news/item/1765961/,ykt,Завершено расследование уголовного дела  по обвинению бывшего сотрудника полиции в коррупционных преступлениях,['взятка'],05 Декабря 2023,"фото из открытых источников            

Первым отделом по расследованию особо важных дел СУ СК России по Республике Саха (Якутия) завершено расследование уголовного дела по обвинению бывшего сотрудника Отдела Министерства внутренних дел России по Нерюнгринскому району в совершении пяти эпизодов преступлений, предусмотренных п. «в» ч.5 ст. 290 УК РФ (получение взятки).
Согласно материалам уголовного дела, в период с 2020 по 2022 год обвиняемый получил взятки за общее покровительство деятельности коммерсантов, которые  приобретали и сбывали немаркированную алкогольную продукцию  в особо крупном размере. 
Преступление выявлено во взаимодействии с оперативными сотрудниками УФСБ России по Республике Саха (Якутия) и ОРЧ СБ МВД по Республике Саха (Якутия).
В ходе расследования уголовного дела установлены причины и условия, способствовавшие совершению преступлений, внесены представления об их устранении. Обвиняемый уволен со службы, в ходе расследования наложен арест на его имущество.
С утвержденным прокурором обвинительным заключением уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1534484/,ykt,"Завершено расследование уголовного дела в отношении бывшего директора Алданского медицинского колледжа, обвиняемой в хищении денежных средств учреждения в особо крупном размере",['присвоение'],01 Декабря 2023,"фото из открытых источников            

Старшим следователем СО по Алданскому району СУ СК России по Республике Саха (Якутия) завершено расследование уголовного дела в отношении бывшего директора ГБОУ СПО РС (Я) «Алданский медицинский колледж». Женщина обвиняется в совершении преступления, предусмотренного ч. 4 ст. 160 УК РФ – присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения, в особо крупном размере.
Следствием по материалам проверки, проведенной сотрудниками УФСБ России по Алданскому району, установлено, что в период с апреля 2014 по декабрь 2016 года с корыстной целью из желания личного материального обогащения, обвиняемая издавала приказы и давала устные распоряжения подчиненным сотрудникам, на основании которых ей производились выплаты стимулирующего характера. При этом обвиняемой было достоверно известно о том, что стимулирование директора учреждения производится в порядке, определенном Министерством здравоохранения Республики Саха (Якутия) и относится к компетенции министерства.
Как установлено в ходе следствия, общая сумма незаконно выплаченных обвиняемой денежных премий составила свыше 1 миллионов 400 тысяч рублей.
Несмотря на непризнание обвиняемой вины в совершенном преступлении, следствием собрана доказательственная база, которая легла в основу обвинительного заключения.  В целях возмещения ущерба на имущество обвиняемой наложен арест на общую сумму 3 миллиона 700 тысяч рублей.
С утвержденным прокурором обвинительным заключением материалы уголовного дела в ближайшее время будут направлены в суд для рассмотрения по существу.
Следует отметить, что обвиняемая лишилась должности еще на стадии доследственной проверки."
