Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1772175/,zabaykalye,Бывший директор муниципального предприятия признан виновным в получении взятки,['взятка'],11 Апреля 2024,"Доказательства, собранные вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Забайкальскому краю признаны судом достаточными для вынесения обвинительного приговора бывшему директору муниципального предприятия городского округа «Город Чита» «Дорожно-мостовое ремонтно-строительное управление» Алексею Котову. Он признан виновным в получении взятки в особо крупном размере (ч. 6 ст. 290 УК РФ).
Как установлено следствием и судом, в конце 2021 года Котов получил взятку за заключение договора поставки оборудования — так называемый откат - от руководителя коммерческой фирмы. Сумма заключенного контракта составила около 52 млн рублей. В качестве предмета взятки выступил автомобиль Lexus RX 300 стоимостью около 4,3 млн рублей.
В ходе предварительного следствия и в судебном заседании Котов признал вину.
Приговором суда Котову назначено наказание в виде 4 лет лишения свободы с отбыванием в колонии строгого режима."
/news/item/1490498/,zabaykalye,Экс-сотрудник исправительной колонии признан виновным во взяточничестве,"['взятка', 'злоупотребление полномочиями']",28 Марта 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Забайкальскому краю доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему сотруднику исправительной колонии-2 УФСИН по Забайкальскому краю. Он признан виновным в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки) и ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
Как установлено следствием и судом, в 2019 году сотрудник исправительной колонии, злоупотребив своими полномочиями, за взятки проносил на территорию учреждения запрещенные предметы, в том числе, мобильные телефоны. За три факта проноса в колонию запрещенных предметов сотрудник получил от заключенного взятку на общую сумму около 39 тысяч рублей. 
После выявления преступлений сотрудник уволен по отрицательным мотивам. 
Приговором суда экс-сотруднику ИК назначено наказание в виде 4,5 лет лишения свободы. 
Заключенный, передававший деньги сотруднику ИК, признан виновным в даче взятки (ч. 3 ст. 291 УК РФ), по совокупности преступлений и приговоров ему назначено наказание в виде лишения свободы на срок 7 лет 6 месяцев с отбыванием наказания в исправительной колонии особого режима."
/news/item/1137781/,zabaykalye,Доцент Забайкальского госуниверситета подозревается в получении взятки от студента,[],04 Марта 2024,"Следственным отделом по Центральному району Читы СУ СКР по Забайкальскому краю возбуждено уголовное дело в отношении доцента одной из кафедр Забайкальского государственного университета. Она подозревается в получении взятки за незаконные действия (ч. 3 ст. 290 УК РФ).
По версии следствия, подозреваемая за взятку в полторы тысячи рублей проставила студенту университета положительные отметки в зачетную книжку и экзаменационную ведомость без фактической сдачи экзамена. Студент сообщил о взятке в полицию, и передача денег происходила под контролем оперативных сотрудников. Подозреваемая была задержана с поличным при передаче денег. 
Следователи допросят доцента в качестве подозреваемой, истребуют экзаменационные ведомости и другие необходимые документы. Не исключается, что выявленный факт проставления экзаменов за деньги не единичный. 
Расследование уголовного дела продолжается."
/news/item/1137776/,zabaykalye,Бывший высокопоставленный полицейский предстанет перед судом по обвинению в совершении особо тяжких преступлений,[],19 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Забайкальскому краю завершено расследование уголовного дела в отношении бывшего начальника отделения одного из управлений ГУСБ МВД России. Он обвиняется в совершении двух преступлений, предусмотренных ч. 6 ст.290 (получение взятки в особо крупном размере), а также преступлений, предусмотренных ч. 4, 5 ст. 33 и п. «з» ч.2 ст.105 (подстрекательство и пособничество убийству из корыстных побуждений), ч. 4 ст. 33 и ч. 2 ст.222 подстрекательство к незаконному хранению и ношению огнестрельного оружия и боеприпасов, а также ч. 4 ст. 33 и ч.3 ст. 160 УК РФ (подстрекательство к совершению растраты, совершенной с использованием служебного положения).
Обвиняемый, занимая должность в МВД России, фактически исполнял обязанности по обеспечению собственной безопасности в Забайкальском ЛУ МВД на транспорте. По данным следствия, обвиняемый, в 2011-2012 годах получал от руководителя коммерческой фирмы, работающей в железнодорожной сфере, взятки в особо крупном размере за оказание общего покровительства и организации прикрытия его фирмы от проверок контролирующих органов. По данным уголовного дела высокопоставленный полицейский требовал и получал от директора фирмы, Ярослава Топоркова суммы, составляющие до трети дохода фирмы. В течение 2011-2012 годов обвиняемый получил таким образом не менее 2 млн. 600 тысяч рублей. 
В начале 2012 года обвиняемый узнал о том, что Топорков скрывает сумму получаемого фирмой дохода для того, чтобы платить взятки меньшего размера. После этого обвиняемый договорился с ранее знакомым, бывшим полицейским, совершить убийство Топоркова для захвата его фирмы. Для совершения убийства злоумышленники обратились к ранее судимому знакомому, который согласился подыскать исполнителей убийства за участие в распределении доходов фирмы и договорился с двумя читинцами за деньги убить Топоркова. Одному из киллеров передал часть денег и пистолет Марголина. Киллеры долгое время выслеживали директора фирмы и в июне 2012 года застрелили его в центре Читы. 
После этого высокопоставленный полицейский в течение августа – ноября 2012 года продолжил получать взятки от нового руководителя бывшей фирмы Топоркова. По данным следствия, за этот период обвиняемый в несколько приемов получил 1 млн. 440 тысяч рублей.
Кроме этого, в ходе расследования уголовного дела следствием установлено, что в 2012 году обвиняемый вместе с заместителем начальника Забайкальского ЛУ МВД на транспорте по тылу завладел деньгами пятерых сотрудников управления, предназначенных для выплаты материальной помощи. Указанные руководители транспортной полиции заставляли подчиненных писать рапорты на оказание материальной помощи с условием возврата полученных денег. Действия обвиняемого следствием инкриминируются по статье УК «подстрекательство к совершению растраты, совершенной с использованием служебного положения». 
Уголовное дело возбуждено по материалам, поступившим из регионального управления ФСБ России, расследование проводили следователи второго отдела по расследованию особо важных дел краевого следственного управления.
Следствием собрана достаточная доказательственная база, уголовное дело направлено в суд для рассмотрения по существу. Уголовное дело в отношении организатора, пособника и непосредственных исполнителей убийства Топоркова находится в завершающей стадии. Уголовное дело в отношении замначальника линейного управления МВД в настоящее время расследуется следователями Восточно-Сибирского управления СКР на транспорте."
/news/item/1439582/,zabaykalye,"Заместитель министра регионального правительства, подозреваемый в получении взяток, взят под стражу",['взятка'],15 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Забайкальскому краю продолжается расследование уголовного дела в отношении первого заместителя министра жилищно-коммунального хозяйства, энергетики, цифровизации и связи Забайкальского края Олега Кузнецова. Он подозревается в совершении двух преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере).
По данным следствия, в 2016 году Олег Кузнецов, занимая должность руководителя администрации городского округа «Город Чита», получил взятку в виде безвозмездного выполнения дорогостоящих работ от читинского индивидуального предпринимателя за оказание ему общего покровительства. Так, в 2016 году предприниматель произвел работы по благоустройству придомовой территории частного дома Кузнецова, расположенного в пригороде Читы. Стоимость работ составила около 2 млн рублей. В этом же году предприниматель безвозмездно оказал Кузнецову другие имущественные услуги стоимостью 5 млн рублей. Общая сумма взяток, инкриминируемых Кузнецову, составляет 7 млн рублей.

Сегодня судом Центрального района города Читы удовлетворено ходатайство следователей об избрании в отношении подозреваемого меры пресечения в виде заключения под стражу. Суд учел доводы следствия о том, что, оставаясь на свободе, подозреваемый может скрыться, а также использовать своё должностное положение для оказания давления на других участников дела.  

В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1570724/,zabaykalye,Житель Бурятии предстанет перед судом по обвинению в покушении на дачу взятки полицейскому,[],20 Декабря 2023,"Читинским межрайонным следственным отделом СУ СКР по Забайкальскому краю завершено расследование уголовного дела в отношении жителя Республики Бурятия 1988 года рождения. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 (покушение на дачу взятки должностному лицу за совершение заведомо незаконных действий).
По данным следствия, 25 апреля 2021 года 32-летний мужчина во время управления автомобилем был остановлен сотрудниками дорожно-патрульной службы полиции на стационарном посту. При проверке документов полицейские обнаружили у мужчины признаки алкогольного опьянения. Сотрудники ДПС провели освидетельствование и составили протокол об административном правонарушении.
Желая избежать ответственности за управление автомобилем в состоянии опьянения, мужчина несколько раз просил сотрудников полиции не составлять протокол, предлагая взамен 30 тысяч рублей. Полицейские объяснили, что это незаконно.Несмотря на это, мужчина вложил купюры в футляр от компакт-диска и положил его рядом с полицейским.
Сотрудники полиции сообщили о произошедшем в органы СК. В ходе предварительного следствия обвиняемый не признал вины в инкриминируемом деянии. Несмотря на это, следователи собрали необходимую доказательственную базу.
Уголовное дело с утверждённым прокурором обвинительным заключением направлено для рассмотрения в суд."
/news/item/1847523/,zabaykalye,Бывший адвокат признана виновной в даче взяток,['взятка'],05 Декабря 2023,"Доказательства, собранные следователями второго отдела по расследованию особо важных дел следственного управления СК России по Забайкальскому краю признаны судом достаточными для вынесения обвинительного приговора 43-летней Ирине Алабужевой, бывшему адвокату палаты адвокатов Забайкальского края. Она признана виновной в совершении трёх преступлений, предусмотренных ч. 3 ст. 291 УК РФ - дача взятки должностному лицу в значительном размере за совершение заведомо незаконных действий.
Как установлено следствием и судом, в 2016–2018 годах Алабужева, действуя в интересах трёх граждан, не осведомлённых о преступном характере действий подсудимой, под видом законного оказания им юридических услуг трижды передала в качестве взятки по 50 тысяч рублей начальнику отдела разрешений на строительство и ввод объектов в эксплуатацию управления архитектуры и градостроительства комитета по развитию инфраструктуры администрации городского округа «Город Чита».
Взамен в двух случаях должностное лицо совершило незаконные действия по вводу в эксплуатацию реконструированных объектов капитального строительства, а в одном случае – незаконно не приняло решение об отказе в выдаче разрешения на ввод в эксплуатацию такого объекта.
Преступление выявлено сотрудниками регионального управления ФСБ. После возбуждения уголовного дела и задержания обвиняемой ее статус адвоката прекращен, по ходатайству следствия судом в отношении Алабужевой  избрана мера пресечения в виде заключения под стражу.
Приговором суда Алабужевой назначено наказание в виде четырёх лет лишения свободы с отбыванием в колонии общего режима со штрафом в 1,2 млн рублей с лишением права заниматься профессиональной деятельностью по оказанию юридических услуг на срок два года."
/news/item/1533341/,zabaykalye,"Следователи завершили расследование уголовного дела в отношении бывшего замминистра регионального правительства, обвиняемого во взяточничестве","['взятка', 'чиновник']",14 Ноября 2023,"Вторым отделом по расследованию особо важных дел СУ СКР по Забайкальскому краю завершено расследование уголовного дела в отношении бывшего первого заместителя министра жилищно-коммунального хозяйства, энергетики, цифровизации и связи Забайкальского края Олега Кузнецова. Он обвиняется в совершении двух преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере).
По данным следствия, Олег Кузнецов, занимая должность руководителя администрации городского округа «Город Чита», в 2016-2019 годах  использовал должностное положение для получения взяток от одного из читинских предпринимателей за оказание ему покровительства.
В 2016 году Олег Кузнецов, получил от предпринимателя взятку в виде безвозмездного выполнения дорогостоящих работ. Предприниматель произвел работы по благоустройству придомовой территории частного дома, принадлежащего гражданской супруге Кузнецова, расположенного в пригороде Читы. Стоимость работ составила 2,3 млн рублей. В этом же году предприниматель восстановил дом сожительницы Кузнецова, уничтоженный пожаром, оплатив стоимость ремонта на сумму около 7 млн рублей. Помимо этого, предприниматель приобрел мебель и другие предметы на сумму около 700 тысяч рублей.
Таким образом, общая сумма взяток Кузнецову составила около 10 млн рублей. В ходе предварительного следствия Кузнецов не признал вину в инкриминируемом деянии.
Предприниматель сообщил о факте даче взятки чиновнику в правоохранительные органы и освобожден от уголовной ответственности в соответствии с примечанием к ст. 291 УК РФ.
Следствием собрана достаточная доказательственная база, уголовное дело направлено прокурору для утверждения обвинительного заключения. По действующему законодательству, за каждое из инкриминируемых Кузнецову преступлений предусмотрено наказание вплоть до 15 лет лишения свободы со штрафом в размере до 70-кратной суммы взятки."
/news/item/1348835/,zabaykalye,Экс-министр здравоохранения Забайкальского края признан виновным во взяточничестве,"['взятка', 'должностное лицо']",18 Октября 2023,"Собранные Первым отделом по расследованию особо важных дел следственного управления СКР по Забайкальскому краю доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему министру здравоохранения Забайкальского края Михаилу Лазуткину. Он признан виновным в получении взяток в особо крупном размере, за незаконные действия, совершённые лицом, занимающим государственную должность субъекта Российской Федерации (ч. 6 ст. 290 УК РФ).
Как установлено следствием и судом, Лазуткин в 2014-2015 годах, занимая должность министра здравоохранения Забайкальского края, получал взятки в особо крупном размере от руководителей коммерческих фирм за обеспечение их победы в аукционах на поставку дорогостоящего медицинского оборудования в больницы и другие медучреждения региона.
Так, в 2014 году Лазуткин получил от руководителя коммерческой фирмы взятку в сумме 9 млн. рублей за заключение восьми госконтрактов на общую сумму более 60 млн. рублей на поставку медицинского оборудования в две районные больницы Забайкальского края в рамках региональной программы совершенствования медицинской помощи пострадавшим при дорожно-транспортных происшествиях, а в 2015 году Лазуткин получил взятку в сумме 5,2 млн. рублей от руководителя другой фирмы, выигравшей аукцион на поставку томографа в один из диспансеров Забайкалья. Сумма контракта составила более 31 млн. рублей. 
Для облегчения получения взяток Лазуткин, занимая должность министра регионального правительства, инициировал создание в министерстве здравоохранения Центра материально-технического обеспечения медицинских организаций Забайкальского края, который получил полномочия самостоятельно подготавливать и проводить аукционы, минуя Департамент госзакупок Забайкальского края, контролирующего эту сферу деятельности. На должность директора Центра Лазуткин назначил своего знакомого, который по поручению Лазуткина, в нарушение законодательства о проведении аукционов при заключении госконтрактов, заранее передавал определенным фирмам-участникам аукционов технически данные о предстоящих торгах, которые позволяли этим фирмам беспрепятственно участвовать в аукционах и выигрывать их.
Преступление выявлено сотрудниками Управления экономической безопасности и противодействия коррупции регионального УМВД.
Приговором суда Лазуткину назначено наказание в виде 12 лет лишения свободы с отбыванием в колонии строгого режима со штрафом 12 млн рублей"
/news/item/1137782/,zabaykalye,"Уголовное дело возбуждено в отношении лесничего, подозреваемого в халатности",[],02 Октября 2023,"Читинским межрайонным следственным отделом СУ СКР по Забайкальскому краю возбуждено уголовное дело в отношении участкового лесничего - государственного лесного инспектора Верхне-Читинского отдела лесной службы Забайкальского края, подозреваемого в халатности (ч. 1 ст. 293 УК РФ).
По версии следствия, в течение 2012 года лесничий составил и выдал индивидуальному предпринимателю несколько подложных актов освидетельствования мест рубок деревьев на общий объем свыше 1100 кубометров. На самом деле подозреваемый на места порубок не выезжал. Полученные документы использовались предпринимателем для подтверждения законности заготовленной древесины. При проведении контрольной проверки установлено, что предприниматель вырубал деревья в не предназначенном для этого месте. Ущерб от незаконных рубок составил свыше 4 млн. рублей. 
Уголовное дело возбуждено по материалам, поступившим из УМВД России по Забайкальскому краю. В настоящее время выясняются все обстоятельства совершенного преступления. При этом следователи не исключают, что в действиях подозреваемого будут выявлены признаки других преступлений.  
Расследование уголовного дела продолжается."
