Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1182701/,zapsib-sut,В Красноярске генеральный директор ФКП «Аэропорты Красноярья» и его заместитель подозреваются во взяточничестве,[],26 Апреля 2023,"Красноярским следственным отделом на транспорте Западно-Сибирского следственного управления на транспорте СК России по материалам оперативно-розыскной деятельности, проведенной сотрудниками Сибирского ЛУ МВД России и УФСБ России по Красноярскому краю, возбуждены уголовные дела в отношении генерального директора ФКП «Аэропорты Красноярья» и его заместителя. Они подозреваются  в получении взятки в особо крупном размере (ч. 6 ст. 290 УК РФ) и в крупном размере (п. «в» ч. 5 ст. 290 УК РФ) соответственно.
Предварительно установлено, что генеральный директор дважды получил взятки от руководителей коммерческих организаций, как в виде денежного вознаграждения, так и в виде приобретенного имущества для собственных нужд, за лоббирование  интересов и общее покровительство при осуществлении финансово-хозяйственной деятельности между коммерческими организациями и ФКП «Аэропорты Красноярья». Общая сумма незаконно полученного вознаграждения составила более 2 млн 100 тысяч рублей.
Также  предварительно установлено, что заместитель генерального директора ФКП «Аэропорты Красноярья» неоднократно получал от директора коммерческой организации, осуществляющей снабжение ФКП «Аэропорты Красноярья», взятки в виде имущества на общую сумму 160 тысяч рублей за обеспечение заключения договоров на поставку товаров для нужд предприятия.
По ходатайству следствия подозреваемым судом избрана мера пресечения в виде заключения под стражу.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенных преступлений. Расследование уголовных дел продолжается."
/news/item/1186680/,zapsib-sut,В Красноярском крае житель Норильска подозревается в покушении на дачу взятки сотруднику полиции 22 Августа 08:12,[],11 Апреля 2023,"Красноярским следственным отделом на транспорте Западно-Сибирского следственного управления на транспорте  СК России возбуждено уголовное дело в отношении жителя г. Норильска по факту покушения на дачу взятки сотруднику полиции (ч. 3 ст. 30  ч. 3 ст. 291 УК РФ).
Предварительно установлено, что 9 августа 2017 года в ходе оперативных мероприятий сотрудниками транспортной полиции задержаны двое жителей города Норильска 32 и 37 лет, у которых изъят сверток, замотанный черной изолентой, в котором находилось порошкообразное вещество. Проведенная экспертиза показала, что изъятое вещество является наркотическим средством синтетического происхождения. Один из доставленных в линейный пункт полиции «Валек» Таймырского ЛО МВД России предложил сотруднику полиции денежные средства в размере 20 000 рублей за прекращение в отношении него проверки по факту незаконного приобретения и хранения наркотического средства, положив указанную сумму денег между листами объяснения, лежащего на рабочем столе. Однако сотрудник полиции от взятки отказался, а преступные действия мужчины были пресечены прибывшими на место коллегами полицейского.
Кроме того, Красноярским следственным отелом на транспорте принято к производству возбужденное Таймырским ЛО МВД России уголовное дело в отношении указанных граждан по факту незаконного приобретения и хранения наркотического средства (ч. 1 ст. 228 УК РФ).
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1753246/,zapsib-sut,В Омске за получение взяток и служебный подлог перед судом предстанет бывший преподаватель образовательного учреждения,"['взятка', 'служебный подлог']",05 Апреля 2023,"Омским следственным отделом на транспорте Восточного межрегионального СУ на транспорте СК России завершено расследование уголовного дела по обвинению бывшего преподавателя одного из образовательных учреждений города Омска в совершении 3 эпизодов преступлений, предусмотренных ч. 1 ст. 292 УК РФ (служебный подлог, то есть внесение должностным лицом в официальные документы заведомо ложных сведений, если эти деяния совершены из корыстной заинтересованности), и 3 эпизодов преступлений, предусмотренных ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По данным следствия, в 2020 и 2021 году обвиняемая, являясь преподавателем, систематически получала от студентов техникума взятки в виде денег через посредников в размере, не превышающем десяти тысяч рублей, за совершение заведомо незаконных действий в их пользу, а именно за допуск к сдаче экзамена и выставление положительных оценок за экзамен без фактической проверки их знаний, выставляя им положительные оценки в зачетно-экзаменационные ведомости и зачетные книжки, тем самым внося в указанные официальные документы заведомо ложные сведения, влекущие определенные юридические последствия.
Вину в совершенных преступлениях фигурантка не признала.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным транспортным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/610819/,zapsib-sut,В Омской области возбуждено уголовное дело по факту взяточничества в таможенной сфере,[],04 Апреля 2023,"Следственными органами Западно-Сибирского следственного управления на транспорте Следственного комитета Российской Федерации в отношении 35-летнего предпринимателя, а также заместителя начальника Омского таможенного поста Омской таможни возбуждено уголовное дело. Первый из них подозревается в даче взятки (п. «б» ч. 4 ст. 291 УК РФ), второй – в ее получении (п. «в» ч. 5 ст. 290 УК РФ).
По предварительным данным в сентябре 2013 года сотрудник таможни за незаконное денежное вознаграждение содействовал коммерсанту в ввозе на территорию России двух грузовых автомобилей производства КНР.
Уголовное дело возбуждено на основании материалов УФСБ по Омской области, а также службы собственной безопасности Омской таможни.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1309358/,zapsib-sut,В Красноярском крае возбуждены уголовные дела в отношении заведующей складом ГСМ одной из красноярских авиакомпаний по факту совершения мошенничества и служебного подлога,"['взятка', 'коррупция']",03 Апреля 2023,"Красноярским следственным отделом на транспорте  Западно-Сибирского следственного управления на транспорте СК России по материалам оперативно-розыскной деятельности, проведенной сотрудниками отдела по борьбе с экономическими преступлениями и противодействия коррупции Сибирского ЛУ МВД России, возбуждены уголовные дела в отношении заведующей складом ГСМ одной из красноярских авиакомпаний по факту совершения мошенничества и служебного подлога  (ч. 3 ст. 159,  ч. 1 ст. 159.2,  ч. 1 ст. 292 УК РФ).
По предварительным данным, заведующая складом ГСМ одной из красноярских авиакомпаний, расположенного в поселке Тура Эвенкийского района Красноярского края, используя свое служебное положение, в феврале 2016 года фиктивно трудоустроила на должность уборщика производственных помещений склада службы топливообеспечения свою дочь.
После этого подозреваемая, в целях получения материальной выгоды, неоднократно вносила в табели учета рабочего времени и расчета оплаты труда, заведомо ложные сведения о выполнении ее дочерью должностных обязанностей по уборке производственных помещений указанного склада, при этом последняя была трудоустроена фиктивно и обусловленные ее трудовым договором работы не выполняла.
На основании указанных подложных табелей подозреваемая незаконно получала заработную плату и иные выплаты, предусмотренные фиктивным трудовым договором, причитающиеся ее фиктивно трудоустроенной дочери, причинив своими действиями красноярской авиакомпании материальный ущерб на сумму более 200 000 рублей.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1184941/,zapsib-sut,Западно-Сибирским следственным управлением на транспорте возбуждено уголовное дело в отношении генерального директора авиакомпании «КрасАвиа» по факту  получения взятки,[],29 Марта 2023,"Фото: yarskonline.ru            

Красноярским следственным отделом на транспорте Западно-Сибирского следственного управления на транспорте СК России по материалам оперативно-розыскной деятельности, проведенной сотрудниками Сибирского ЛУ МВД России совместно с УФСБ России по Красноярскому краю, возбуждено уголовное дело в отношении генерального директора Государственного предприятия Красноярского края «КрасАвиа». Он подозревается в получении взятки в особо крупном размере (ч. 6 ст. 290 УК РФ).
Предварительно установлено, что подозреваемый через посредника получил от директора одной из коммерческих организаций, осуществившей поставку специальной техники для нужд авиакомпании, взятку в размере  10% от суммы договора поставки, что составило 3 950 тысяч рублей, за  лоббирование интересов данной коммерческой организации при заключении договоров с авиакомпанией в будущем.
Подозреваемый задержан в порядке ст. 91 УПК РФ, в ближайшее время суд рассмотрит ходатайство следствия об избрании подозреваемому меры пресечения.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1583287/,zapsib-sut,В Красноярском крае возбуждено уголовное дело по факту получения взятки бывшим начальником отдела тылового обеспечения Красноярской таможни,"['взятка', 'коррупция']",24 Марта 2023,"Красноярским следственным отделом на транспорте Западно-Сибирского следственного управления на транспорте СК России по результатам материалов оперативно-разыскной деятельности УФСБ России по Красноярскому краю и отдела по противодействую коррупции Красноярской таможни в отношении бывшего начальника отдела тылового обеспечения Красноярской таможни Сибирского таможенного управления Федеральной таможенной службы возбуждено уголовное дело по факту получения взятки в значительном размере за заведомо незаконные действия (ч. 3 ст. 290 УК РФ).
Предварительным следствием установлено, что обвиняемый летом 2020 года предложил знакомому, который является генеральным директором одной из коммерческих организаций, специализирующейся на работе с металлоконструкциями, принять участие в электронном аукционе на заключение государственного контракта на поставку и монтаж рольставней для нужд Сибирской электронной таможни, в котором гарантировал ему обеспечить победу.
В результате преступных действий обвиняемого указанная коммерческая организация выиграла аукцион, сумма государственного контракта составила более 1 500 000 рублей.
После заключения контракта организация выполнила соответствующие  работы. При этом качество работ не отвечало требованиям контракта, вместе с тем обвиняемый, зная о допущенных нарушениях, подписал акты приемок выполненных работ. За оказание содействия в заключение контракта на дачном участке обвиняемого был установлен забор из металлоконструкций.
Преступными действиями обвиняемого Красноярской таможне причинен ущерб на сумму более 250 тысяч рублей.
Сумма взятки имущественного характера экспертами оценена в размере 190 тысяч рублей.
Начальнику отдела тылового обеспечения Красноярской таможни Сибирского таможенного управления Федеральной таможенной службы предъявлено обвинение в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ.
Центральным районным судом г. Красноярска по ходатайству следствия в отношении обвиняемого избрана мера пресечения в виде домашнего ареста.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1113939/,zapsib-sut,Бывший преподаватель Красноярского института железнодорожного транспорта судом признана виновной во взяточничестве и служебном подлоге,[],24 Марта 2023,"Собранные Красноярским следственным отделом на транспорте Западно-Сибирского следственного управления на транспорте Следственного комитета Российской Федерации  доказательства признаны судом достаточными для вынесения обвинительного приговора в отношении бывшего старшего преподавателя Красноярского института железнодорожного транспорта – филиала ФГБОУ ВПО «Иркутский государственный университет путей сообщения». Она признана виновной в получении взятки  и  служебном подлоге (ч. 3 ст. 290, ч. 1 ст. 292 УК РФ).
Как установлено судом и следствием, в 2015 году старший преподаватель института  получила от пяти студентов института незаконное вознаграждение в виде взятки в размере 25 000 рублей за проставление положительных оценок без фактической сдачи экзамена и защиты курсовых проектов по предмету «Управление эксплуатационной работой», после чего внесла недостоверные сведения в их зачетные книжки и экзаменационные ведомости.
Приговором суда осужденной назначено наказание в виде трех лет лишения свободы условно и штрафа в размере 35 тысяч рублей. Приговор в законную силу не вступил."
/news/item/1776047/,zapsib-sut,В Республике Бурятия по факту смертельного травмирования работника на Восточно-Сибирской железной дороге возбуждено уголовное дело,['охрана труда'],23 Марта 2023,"Восточно-Байкальским следственным отделом на транспорте Восточного межрегионального СУТ СК России по результатам проведения доследственной проверки по факту смертельного травмирования работника на Восточно-Сибирской железной дороге возбуждено уголовное дело по признакам состава преступления, предусмотренного ч. 2 ст. 143 УК РФ (нарушение требований охраны труда, повлекшее по неосторожности смерть человека).
По данным следствия, 18 марта 2023 года работник структурного подразделения Восточно-Сибирской дирекции управления движением - составитель поездов железнодорожной станции Заудинский, находясь на рабочем месте, при выполнении работ по составлению поездов на пути № 4, попал под цистерну грузового состава, двигавшегося по пути № 6, в результате чего скончался на месте происшествия.
Следователями проводятся следственные и процессуальные действия, направленные на установление всех обстоятельств и причин произошедшего."
/news/item/1557800/,zapsib-sut,В Алтайском крае старший осмотрщик-ремонтник вагонов предстанет перед судом за совершение трех коррупционных преступлений,"['взятка', 'деньги', 'коррупция']",10 Марта 2023,"Барнаульским следственным отделом на транспорте   Западно-Сибирского СУТ СК России завершено расследование уголовного дела в отношении старшего осмотрщика-ремонтника вагонов контрольного поста на станции Новоблаговещенка пункта технического обслуживания грузовых вагонов на станции Кулунда. Он обвиняется в получении взяток от представителей транспортных компаний за совершение незаконного бездействия (ч. 3 ст. 290 УК РФ, ч. 1 ст. 291.2 УК РФ - 2 эпизода преступной деятельности).
По версии следствия, обвиняемый с октября 2019 года по декабрь 2020 года получил от представителей транспортных компаний взятки на сумму более 30 тыс. рублей за непринятие решений о направлении вагонов на текущий отцепочный ремонт, при выявлении у них технических неисправностей. В результате его незаконного бездействия, в ущерб безопасности движения поездов по железнодорожным путям, технически неисправные вагоны не простаивали, тем самым собственник груза не нес убытков.
Преступные действия обвиняемого были пресечены сотрудниками подразделения ОБ и ПК Алтайского ЛУ МВД России.
В настоящее время уголовное дело, с утвержденным обвинительным заключением, направлено в Благовещенский районный суд Алтайского края для рассмотрения по существу."
