Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1652323/,zmsut,В Рязанской области уголовное дело в отношении бывшего начальника станции Дягилево и ее мужа направлено в суд,"['взятка', 'злоупотребление полномочиями', 'мошенничество']",29 Января 2024,"Следственными органами Западного межрегионального следственного управления на транспорте Следственного комитета Российской Федерации завершено расследование и направлено в суд  в отношении бывшего начальника станции Дягилево Московской железной дороги – филиала ОАО «РЖД», обвиняемой в совершении преступлений, предусмотренных ч. 3 ст. 159, ч. 3 ст. 159, п. «б» ч. 2 ст. 165, ч. 1 ст. 285, ч. 1 ст. 290, ч. 2 ст. 290, ч. 2 ст. 290 и ч. 1 ст. 291.2 УК РФ (мошенничество; причинение имущественного ущерба собственнику имущества путем злоупотребления доверием; злоупотребление должностным лицом своих служебных полномочий; получение должностным лицом взяток), а также ее мужа, обвиняемого в совершении преступлений, предусмотренных ч . 1 ст. 291.1 и ч. 1 ст. 285 УК РФ (пособничество во взяточничестве; злоупотребление должностным лицом своих служебных полномочий).

Следствием по материалам УФСБ России по Рязанской области и Рязанского ЛО МВД России на транспорте, установлено, с 2015 по 2020 годы бывший начальник станции Дягилево Московской железной дороги получала от представителей коммерческих организаций денежные средства за разработку и согласование инструкций по эксплуатации подъездных путей необщего пользования, внесение изменений в инструкции по их эксплуатации , размещая при этом вагоны сторонней коммерческой организации на подъездных путях Открытого акционерного общества. За указанный период обвиняемая получила не менее 340 тысяч рублей в качестве взяток, а также причинила имущественный ущерб госкорпорации на сумму свыше 1 млн. рублей. Ее муж, занимая руководящую должность в холдинге, выступал в качестве посредника при получении супругой взяток. Кроме того, в рамках расследования уголовного дела были выявлены факты злоупотребления им служебными полномочиями, поскольку в 2016-2018 годах в результате трудоустройства и использования труда работника в личных целях, был причинен ущерб Обществу на сумму более 600 тысяч рублей.

Следователем Восточного следственного отдела на транспорте собрана достаточная доказательственная база для направления уголовного дела с утвержденным обвинительным заключением в суд."
/news/item/1474511/,zmsut,В Краснодарском крае бывший член Палаты адвокатов Нижегородской области подозревается в посредничестве во взяточничестве,[],06 Декабря 2023,"фото из открытых источников            

Краснодарским следственным отделом на транспорте по материалам коллег из службы в г. Новороссийске УФСБ России по Краснодарскому краю возбуждено уголовное дело в отношении бывшего члена Палаты адвокатов Нижегородской области. Он подозревается в совершении преступления, предусмотренного п. «б» ч. 3 ст. 291.1 УК РФ (посредничество во взяточничестве).
Следствием установлено, что в мае 2020 года, подозреваемый, находясь на территории аэропорта Анапа, передал заместителю начальника отдела Анапского городского отдела судебных приставов Управления Федеральной службы судебных приставов по Краснодарскому краю денежные средства в размере 200 тысяч рублей  за ускорение принятия решения по исполнительному производству о переводе денежных средств на сумму свыше 8 млн рублей в адрес  Общества с ограниченной ответственностью.
Следствие продолжает сбор доказательственной базы и расследование уголовного дела."
/news/item/1513018/,zmsut,В Рязанской области сотрудники ГИМС подозреваются в получении взятки,['взятка'],26 Октября 2023,"фото из открытых источников            

Следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации по материалам УФСБ России по Рязанской области и ОЭБ и ПК Рязанского ЛО МВД России на транспорте возбуждено уголовное дело в отношении заместителя руководителя территориального органа и руководителя инспекторского участка ГУ МЧС России по Рязанской области. Они подозреваются в совершении преступления, предусмотренного п. «а» ч. 5 ст. 290 УК РФ (получение взятки, то есть получение должностными лицом лично взятки в виде денег за незаконные действия в пользу взяткодателя, совершенное группой лиц по предварительному сговору).
 
 
Следствием установлено, что 9 октября 2020 года подозреваемые, в составе аттестационной комиссии, принимали экзамены на право управления маломерными судами у 9 граждан.
В ходе сдачи теоретической части они предложили гражданину передать денежные средства за принятие решения о сдаче экзамена на право управления маломерным судном без фактической проверки его знаний, на что последний согласился.
После передачи денежных средств и алкогольной продукции, злоумышленники внесли правильные ответы в экзаменационные тесты, подтвердили правильность их заполнения и соответствие предъявляемым законодательством требованиям.
Следователи Восточного следственного отдела на транспорте продолжают сбор доказательственной базы и выявление дополнительных эпизодов преступной деятельности подозреваемых.
Расследование уголовного дела продолжается."
/news/item/1138217/,zmsut,В Московской области за совершение коррупционного преступления перед судом предстанет местный житель,[],06 Октября 2023,"Следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации завершено расследование и направлено в суд уголовное дело в отношении 38-летнего безработного жителя Одинцовского района Подмосковья. Он обвиняется в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу за совершение заведомо незаконных действий).
По версии следствия, вечером 29 мая 2015 года сотрудники транспортной полиции проводили проверку торгового павильона, расположенного на ст. Одинцово Белорусского направления Московской железной дороги, и выявили ряд нарушений, влекущих привлечение продавцов данного павильона к административной ответственности. Знакомый продавцов решил помочь им избежать ответственности и попытался дать взятку одному из проверяющих в сумме 15 тысяч рублей за сокрытие выявления правонарушения. Однако, полицейский от взятки отказался и сообщил об этом своим коллегам. Преступные действия злоумышленника были пресечены по независящим от него причинам.
Свою вину в инкриминируемом преступлении обвиняемый не признал. Уголовное дело с утвержденным обвинительным заключением направлено в Одинцовский городской суд Московской области для рассмотрения по существу."
/news/item/1138224/,zmsut,"В Рязанской области возбуждено уголовное дело по фактам получения взятки врачом больницы ОАО ""РЖД"" и служебного подлога",[],12 Сентября 2023,"Следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации возбуждено  уголовное дело в отношении 46-летнего врача-уролога НУЗ ""Отделенческая больница на ст. Рыбное ОАО ""РЖД"". Он подозревается в совершении  преступлений, предусмотренных ч.3 ст.290 и ч.1 ст.292 УК РФ (получение взятки за незаконное действие и служебный подлог).  По версии следствия, 23 мая 2016 года врач-уролог получил от обратившегося к нему работника предприятия железнодорожного транспорта взятку в размере 3 тысяч рублей  за оформление больничного листка нетрудоспособности без фактического наличия у него какого-либо заболевания. После этого врач оформил подложный документ об освобождении от работы мужчины на срок с 23 по 25 мая 2016 года.  В настоящее время по уголовному делу проводятся следственные действия, направленные на сбор необходимой доказательственной базы, выявление иных эпизодов преступной деятельности подозреваемого.  Расследование уголовного дела продолжается."
/news/item/1428314/,zmsut,В Калужской области осужден бывший начальник железнодорожной станции «Азарово»,['взятка'],03 Июля 2023,"фото из открытых источников            

Собранные следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации доказательства признаны судом достаточными для вынесения приговора бывшему начальнику железнодорожной станции «Азарово» структурного подразделения Центральной дирекции управления движением – филиала ОАО «РЖД». Она признана виновной в совершении преступлений, предусмотренных ч. 2 ст. 290 УК РФ (получение взятки должностным лицом), два эпизода ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
Как установлено следствием и судом, в период с июня по декабрь 2017 года, обвиняемая получила взятку от собственников вагонов в общей сумме 32 тысячи рублей за незаконные действия, связанные с необоснованным увеличением срока службы 64 грузовых вагонов.
Приговором суда ей назначено наказание в виде штрафа в размере 500 тысяч рублей."
/news/item/1555501/,zmsut,В Краснодарском крае завершено расследование уголовного дела о коррупции в Тихорецком техникуме железнодорожного транспорта,['взятка'],31 Мая 2023,"фото из открытых источников            

Следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации завершено расследование и направлено в суд уголовное дело в отношении преподавателя и студента Тихорецкого техникума железнодорожного транспорта – филиала Федерального государственного бюджетного образовательного учреждения высшего образования «Ростовский государственный университет путей сообщения». В зависимости от роли каждого они обвиняются в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки, то есть получение должностным лицом лично взятки в виде денег за совершение незаконных действий в пользу взяткодателя) и ч. 3 ст. 291 УК РФ (дача взятки должностному лицу лично за совершение заведомо незаконных действий).
Следствием установлено, что в феврале 2020 года преподаватель указанного учебного заведения выдвинула требование старосте группы четвертого курса заочной формы обучения о необходимости передаче денежных средств от 7 студентов за изготовление дипломных проектов, соответствующих предъявляемым требованиям по темам выпускных квалификационных работ от их имени, написание положительных отзывов на дипломные проекты и их успешную защиту на заседании государственной экзаменационной комиссии.
 Согласившись с условиями, студенты передали через старосту денежные средства в размере 175 тысяч рублей, после чего беспрепятственно защитили дипломы на отличную оценку.
Уголовное дело, которое уже направлено в суд, возбуждено по материалам ОЭБ и ПК ЛО МВД России на ст. Кавказская."
/news/item/1539432/,zmsut,Задержаны должностные лица Сочинской транспортной полиции,"['взятка', 'злоупотребление']",05 Мая 2023,"фото из открытых источников            

Следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации по подозрению в совершении преступлений, предусмотренных ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями) и ч. 3 ст. 290 УК РФ (получение взятки), задержаны начальник линейного отделения полиции в морском порту Сочи Сочинского ЛУ МВД России на транспорте и начальник Сочинского линейного управления МВД России на транспорте Управления на транспорте Министерства внутренних дел Российской Федерации по Южному федеральному округу.
 
Следствием по материалам ГУСБ МВД России установлено, что подозреваемые в течение 2019 – 2020 г.г., действуя из корыстной заинтересованности, группой лиц по предварительному сговору, получили выгоду имущественного характера в виде 50 % скидки на обслуживание в одном из кафе, расположенном на территории оперативного обслуживания, обеспечили непроведение проверок деятельности заведения силами подчиненных им сотрудников, тем самым не организовав надлежащую работу по выявлению и пресечению совершения административных правонарушений, при этом начальник ЛОП в морском порту Сочи получил лично взятку в виде незаконного оказания ему услуг имущественного характера.
В настоящее время подозреваемые задержаны, в ближайшее время им будет предъявлено обвинение и избрана мера пресечения.
Следственная группа совместно с ГУСБ МВД России продолжает сбор и закрепление доказательств, а также выявление дополнительных эпизодов преступной деятельности указанных лиц.
Расследование уголовного дела продолжается."
/news/item/1486554/,zmsut,"В Москве осужден бывший начальник санатория ФТС России, обвиняемый в получении взятки в особо крупном размере",['взятка'],14 Апреля 2023,"фото из открытых источников            

Собранные следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации доказательства признаны судом достаточными для вынесения приговора бывшему начальнику ФГКУ «Санаторий «Пестово» ФТС России. Он признан виновным  в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере).
 
Как установлено следствием и судом, в октябре 2019 года обвиняемый, занимая должность начальника ФГКУ «Санаторий «Пестово» ФТС России, получил от представителя коммерческой организации, выступавшей субподрядчиком по государственному контракту, взятку в размере 290 000 рублей, как часть от общей суммы 3 680 000 рублей, за подписание акта выполненных работ, перечисление денежных средств и непринятие входящих в его полномочия мер претензионного характера, в случае их выявления.
Преступные действия взяткодателя были пресечены сотрудниками ФТС России в ходе проведения оперативно-розыскных мероприятий при передаче первой части денежных средств.
 Приговором суда ему назначено наказание в виде лишения свободы сроком на 6 лет с отбыванием наказания в колонии строгого режима,  с лишением права занимать должности на государственной службе и в органах местного самоуправления, связанные с осуществлением организационно-распорядительных и административно-хозяйственных функций сроком на 5 лет."
/news/item/1334960/,zmsut,В Москве вынесен приговор бывшему заместителю директора департамента производства полетов  ПАО «Аэрофлот российские авиалинии»  за покушение на дачу взятки,['взятка'],12 Апреля 2023,"фото из открытых источников            

Собранные следственными органами Московского межрегионального следственного управления на транспорте Следственного комитета Российской Федерации доказательства признаны судом достаточными для вынесения приговора бывшему заместителю директора департамента производства полетов – главного пилота ПАО «Аэрофлот российские авиалинии». Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятку в значительном размере).
Как установлено следствием и судом, 2 апреля 2018 года около 10 часов бывший заместитель директора департамента производства полетов – главный пилот ПАО «Аэрофлот российские авиалинии» в служебном помещении передал председателю центральной врачебно-летной экспертной комиссии взятку в размере 50 тыс. рублей  за оказанное ему содействие в получении положительного заключения о годности к летной работе, несмотря на результаты медицинских исследований, свидетельствующих о наличии у него заболевания сердечно-сосудистой системы, исключающего годность к летной работе.
Обвиняемый вину в совершении указанного преступления признал частично. 
Приговором суда ему назначено наказание в виде штрафа в размере 250 тысяч рублей."
